标题,开发商,房子信息,发布信息,售价/万,单价
金兰小区 3室2厅 南,金兰小区 -罗浮广场,3室2厅 | 134.76平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 25天以前发布,64.8,"4,809元/平"
北外胡家坝医院旁边。花园小区。出行便利,凤翎锦绣 -北客站,3室2厅 | 101平米 | 东南 南 | 其他 | 中楼层(共33层)  | 平房,3人关注 / 8个月以前发布,67,"6,634元/平"
升华商圈花园小区 三房双卫清水小高层 业主诚心出售,盛煌·南城国际 -南客站,3室2厅 | 100.37平米 | 东南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,67.5,"6,726元/平"
御南苑 3室2厅 东南,御南苑 -南客站,3室2厅 | 129平米 | 东南 | 其他 | 低楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,69.8,"5,411元/平"
信德城市绿洲，三房两厅双卫，房东诚心出售,信德城市绿洲 -西客站,3室1厅 | 97.04平米 | 西南 | 精装 | 高楼层(共16层)  | 塔楼,14人关注 / 8个月以前发布,58,"5,977元/平"
罗浮阳光 4室2厅 南,罗浮阳光 -西客站,4室2厅 | 115平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,88,"7,653元/平"
南外天益广场巨林天下城 紧凑型三范，装修温馨,巨林天下城A区 -南客站,3室1厅 | 84平米 | 东南 | 其他 | 高楼层(共26层)  | 塔楼,3人关注 / 7个月以前发布,58,"6,905元/平"
罗浮南山美庐 4室2厅 南,罗浮南山美庐 -南客站,4室2厅 | 134.22平米 | 南 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 1个月以前发布,82,"6,110元/平"
华夏康廉背后带院停车位出售！！！！！！,财政家属院 -南客站,3室2厅 | 148平米 | 东 南 西 北 | 其他 | 中楼层(共12层)  | 板塔结合,1人关注 / 11个月以前发布,56,"3,784元/平"
蓝光芙蓉风华 3室2厅 东南,蓝光芙蓉风华 -北客站,3室2厅 | 121平米 | 东南 | 其他 | 高楼层(共25层)  | 暂无数据,1人关注 / 4个月以前发布,88,"7,273元/平"
南外升华广场旁锦云府清水套三户型方正光线好,兴诚·锦云府 -南客站,3室2厅 | 87平米 | 东 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,60,"6,897元/平"
南客站旁 一新国际、毛坯三房出售,一新国际社区 -南客站,3室2厅 | 98.31平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,1人关注 / 9个月以前发布,66.5,"6,765元/平"
花园新小区  背靠大寨子公园  随时看房,罗浮·山水美地 -西客站,3室2厅 | 110平米 | 东 | 其他 | 低楼层(共25层)  | 塔楼,6人关注 / 5个月以前发布,89,"8,091元/平"
房龄新，采光通透，楼层中层，房东诚意出售。,宏峰大厦 -中心广场,3室2厅 | 100平米 | 东南 | 其他 | 中楼层(共13层)  | 板塔结合,1人关注 / 11个月以前发布,61,"6,100元/平"
环境好绿化好西城壕巷90号拎包入住,西城壕巷90号 -中心广场,3室1厅 | 80平米 | 东南 | 精装 | 中楼层(共10层)  | 暂无数据,2人关注 / 一年前发布,39,"4,875元/平"
地段好，电梯房，楼层适中，适合养老过渡,龙脉·江南世家 -三里坪,3室2厅 | 129平米 | 东南 | 简装 | 高楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,63,"4,884元/平"
江湾城三期套三电梯，急售随时看房,江湾城三期 -江湾城,3室2厅 | 80平米 | 东南 | 其他 | 低楼层(共29层)  | 塔楼,1人关注 / 2个月以前发布,71,"8,875元/平"
房东诚心出售，带居家家电一起。拎包入住。,华标大厦 -西客站,3室2厅 | 122.3平米 | 南 | 其他 | 高楼层(共13层)  | 板楼,0人关注 / 1个月以前发布,48,"3,925元/平"
朝中庭，业主安心出售，看房方便,通锦国际嘉园Ⅲ期 -罗浮广场,3室2厅 | 91平米 | 东 | 毛坯 | 低楼层(共25层)  | 塔楼,2人关注 / 2个月以前发布,68.5,"7,528元/平"
罗浮第壹区 3室2厅 东,罗浮第壹区 -罗浮广场,3室2厅 | 120平米 | 东 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 8个月以前发布,108,"9,000元/平"
西外山语城小区优质新房源现出售  。,滨江山語城 -罗浮广场,3室2厅 | 85平米 | 南 | 其他 | 中楼层(共34层)  | 塔楼,1人关注 / 5个月以前发布,68,"8,000元/平"
恒阳骊都一期 3室1厅 西南,恒阳骊都一期 -罗浮广场,3室1厅 | 113.86平米 | 西南 | 简装 | 中楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,72,"6,324元/平"
九昌海棠新村步梯精装三房，房东诚心出售。。。。,久昌·海棠新村 -罗浮广场,3室2厅 | 91.59平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,45,"4,914元/平"
兰桂花园，中间楼层，房子要加装电梯了，配套设施齐全,兰桂花园 -罗浮广场,3室2厅 | 125平米 | 东 | 其他 | 中楼层(共7层)  | 板塔结合,6人关注 / 8个月以前发布,47,"3,760元/平"
地段好，户型方正，次新房，河景房.横厅.,蓝润·置地广场A地块 -罗浮广场,4室2厅 | 115平米 | 东南 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 31天以前发布,107,"9,305元/平"
西苑佳居 3室2厅 东南,西苑佳居 -罗浮广场,3室2厅 | 119.18平米 | 东南 | 其他 | 高楼层(共29层)  | 塔楼,5人关注 / 10个月以前发布,83.8,"7,032元/平"
巨林天下城花园小区精装套三双卫证满两年税费低,巨林天下城B区 -南客站,3室2厅 | 105平米 | 东南 | 简装 | 中楼层(共26层)  | 塔楼,7人关注 / 一年前发布,79,"7,524元/平"
南客站旁 一新国际、毛坯三房出售,一新国际社区 -南客站,3室2厅 | 98.31平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,1人关注 / 9个月以前发布,66.5,"6,765元/平"
地段好，户型方正，次新房，河景房.横厅.,蓝润·置地广场A地块 -罗浮广场,4室2厅 | 115平米 | 东南 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 31天以前发布,107,"9,305元/平"
西苑佳居 3室2厅 东南,西苑佳居 -罗浮广场,3室2厅 | 119.18平米 | 东南 | 其他 | 高楼层(共29层)  | 塔楼,5人关注 / 10个月以前发布,83.8,"7,032元/平"
西外山语城小区优质新房源现出售  。,滨江山語城 -罗浮广场,3室2厅 | 85平米 | 南 | 其他 | 中楼层(共34层)  | 塔楼,1人关注 / 5个月以前发布,68,"8,000元/平"
罗浮第壹区 3室2厅 东,罗浮第壹区 -罗浮广场,3室2厅 | 120平米 | 东 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 8个月以前发布,108,"9,000元/平"
九昌海棠新村步梯精装三房，房东诚心出售。。。。,久昌·海棠新村 -罗浮广场,3室2厅 | 91.59平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,45,"4,914元/平"
兰桂花园，中间楼层，房子要加装电梯了，配套设施齐全,兰桂花园 -罗浮广场,3室2厅 | 125平米 | 东 | 其他 | 中楼层(共7层)  | 板塔结合,6人关注 / 8个月以前发布,47,"3,760元/平"
三叉路口家属院，户型方正，交通便利,工行达州分行本部家属院 -万达路,4室2厅 | 160平米 | 东南 | 简装 | 中楼层(共11层)  | 板塔结合,2人关注 / 5个月以前发布,56,"3,500元/平"
朝中庭，业主安心出售，看房方便,通锦国际嘉园Ⅲ期 -罗浮广场,3室2厅 | 91平米 | 东 | 毛坯 | 低楼层(共25层)  | 塔楼,2人关注 / 2个月以前发布,68.5,"7,528元/平"
楼盘中的明星，户型当中的英雄。。。。,天誉誉府 -莲花湖,3室1厅 | 107平米 | 东 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,78,"7,290元/平"
三房领包入住配套齐全，看房方便业主诚心卖,草街子巷 -三岔路口,3室2厅 | 91平米 | 东南 | 其他 | 中楼层(共10层)  | 暂无数据,0人关注 / 10个月以前发布,40,"4,396元/平"
光线好，户型正，中间楼层，拎包入住，绿化环境美,金万达酒店 -三里坪,3室1厅 | 114平米 | 东南 | 其他 | 高楼层(共23层)  | 板塔结合,0人关注 / 8个月以前发布,50,"4,386元/平"
花园小区，配套齐全，地势平坦。,盛源城市风景 -三里坪,3室2厅 | 104.06平米 | 南 | 其他 | 高楼层(共8层)  | 板塔结合,1人关注 / 8个月以前发布,47,"4,517元/平"
已交税，马上下证，楼层     好,天誉誉府 -莲花湖,3室2厅 | 125平米 | 西南 | 其他 | 高楼层(共31层)  | 塔楼,0人关注 / 7个月以前发布,88,"7,040元/平"
洲河湾 3室2厅 南,洲河湾 -三岔路口,3室2厅 | 115平米 | 南 | 其他 | 低楼层(共32层)  | 塔楼,1人关注 / 6个月以前发布,70,"6,087元/平"
石化南苑 4室2厅 东南 北,石化南苑 -南客站,4室2厅 | 120平米 | 东南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,81,"6,750元/平"
恒阳骊都一期 3室1厅 西南,恒阳骊都一期 -罗浮广场,3室1厅 | 113.86平米 | 西南 | 简装 | 中楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,72,"6,324元/平"
天誉誉府 4室2厅 南,天誉誉府 -莲花湖,4室2厅 | 139.5平米 | 南 | 其他 | 高楼层(共27层)  | 塔楼,7人关注 / 6个月以前发布,115,"8,244元/平"
仁和春天国际花园 3室2厅 南,仁和春天国际花园 -金龙大道,3室2厅 | 90.82平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,74,"8,148元/平"
草街子巷64号 2室1厅 西南,草街子巷64号 -三岔路口,2室1厅 | 77.5平米 | 西南 | 其他 | 中楼层(共10层)  | 板楼,4人关注 / 6个月以前发布,29,"3,742元/平"
水印长滩 3室2厅 东南,水印长滩 -三里坪,3室2厅 | 116平米 | 东南 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,76.8,"6,621元/平"
三里坪领域广场，休闲娱乐好场所……,外贸车队家属院 -万达路,3室2厅 | 100平米 | 东南 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 1个月以前发布,36,"3,600元/平"
江湾城三期 3室2厅 南,江湾城三期 -江湾城,3室2厅 | 79.9平米 | 南 | 其他 | 中楼层(共30层)  | 塔楼,0人关注 / 2个月以前发布,71.8,"8,987元/平"
万达路精品三房，带私人花园，交通便捷,宏源小区 -万达路,3室2厅 | 101平米 | 东南 | 精装 | 高楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,42.8,"4,238元/平"
莲花湖片区四房，房东诚心出售，安心卖，价格好谈。,中迪广场二期 -莲花湖,4室2厅 | 110平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,85.8,"7,800元/平"
邦泰·天著 3室2厅 南,邦泰·天著 -莲花湖,3室2厅 | 79平米 | 南 | 其他 | 高楼层(共31层)  | 塔楼,2人关注 / 3个月以前发布,59,"7,469元/平"
莲花湖片区，三房精装房，购物广场旁边……。,中迪广场二期 -莲花湖,3室1厅 | 82平米 | 东南 | 其他 | 中楼层(共28层)  | 板塔结合,19人关注 / 一年前发布,71.5,"8,720元/平"
莲花湖购物广场旁边三房，总价低，精装修………………,中迪广场二期 -莲花湖,3室2厅 | 90平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,22人关注 / 一年前发布,65,"7,223元/平"
莲花湖商圈，舒适自居住宅诚心出售！,中迪广场二期 -莲花湖,3室2厅 | 110平米 | 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,80.6,"7,328元/平"
莲花湖小高层，视野开阔。小区环境优美,邦泰·天著 -莲花湖,3室2厅 | 85.41平米 | 东南 | 其他 | 低楼层(共16层)  | 塔楼,0人关注 / 1个月以前发布,68,"7,962元/平"
莲花湖三房诚心出售，价格可谈。有车位，位置好。,邦泰·天著 -莲花湖,3室2厅 | 87平米 | 北 | 其他 | 高楼层(共31层)  | 塔楼,0人关注 / 4个月以前发布,66.6,"7,656元/平"
朝中庭，视野开阔，环境优美，看房方便。,邦泰·天著 -莲花湖,3室1厅 | 79平米 | 东 | 毛坯 | 中楼层(共31层)  | 塔楼,0人关注 / 4个月以前发布,63.5,"8,038元/平"
莲花湖片区，三房精装房，购物广场旁边……。,中迪广场二期 -莲花湖,3室1厅 | 82平米 | 东南 | 其他 | 中楼层(共28层)  | 板塔结合,19人关注 / 一年前发布,71.5,"8,720元/平"
莲花湖购物广场旁边三房，总价低，精装修………………,中迪广场二期 -莲花湖,3室2厅 | 90平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,22人关注 / 一年前发布,65,"7,223元/平"
莲花湖商圈，舒适自居住宅诚心出售！,中迪广场二期 -莲花湖,3室2厅 | 110平米 | 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,80.6,"7,328元/平"
西外复兴清水三房 出行方便 诚心出售,世纪泓瑞 -复兴镇,3室2厅 | 92.34平米 | 东南 | 其他 | 低楼层(共17层)  | 塔楼,1人关注 / 1个月以前发布,32.5,"3,520元/平"
南外一号干道正宗三室两厅一厨一卫，毛坯房,红盾公寓 -三岔路口,3室2厅 | 96.66平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,1人关注 / 3个月以前发布,49,"5,070元/平"
河景房滨河公园旁，南北朝向，临河，成熟地段花园小区,洲河湾 -三岔路口,3室2厅 | 111平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,68,"6,127元/平"
环城明珠 3室2厅 南,环城明珠 -复兴镇,3室2厅 | 99.58平米 | 南 | 毛坯 | 中楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,38,"3,817元/平"
恒城集团 3室1厅 东南,恒城集团 -三岔路口,3室1厅 | 175平米 | 东南 | 其他 | 中楼层(共12层)  | 板塔结合,1人关注 / 1个月以前发布,75,"4,286元/平"
晨曦小区 3室2厅 东南,晨曦小区 -三岔路口,3室2厅 | 108平米 | 东南 | 其他 | 中楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,46.5,"4,306元/平"
视野开阔，采光好，精装大三房，地势平坦房龄新,石化南苑 -南客站,3室1厅 | 125平米 | 西北 北 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,85,"6,800元/平"
房东诚心出售  小区环境不错  低月供,中瑞阳光 -复兴镇,3室2厅 | 110.87平米 | 南 | 其他 | 中楼层(共20层)  | 暂无数据,0人关注 / 2个月以前发布,48,"4,330元/平"
此房采光好 位置好 户型方正 价格便宜  位置好,中环花园 -复兴镇,3室2厅 | 88.48平米 | 南 | 毛坯 | 低楼层(共17层)  | 塔楼,46人关注 / 一年前发布,29,"3,278元/平"
凤翎锦绣全临河的标准4房出售.户型采光都很好,凤翎锦绣 -北客站,4室2厅 | 140平米 | 东南 | 精装 | 中楼层(共33层)  | 平房,4人关注 / 一年前发布,95,"6,786元/平"
尚城华府 3室2厅 东南,尚城华府 -复兴镇,3室2厅 | 109平米 | 东南 | 其他 | 低楼层(共19层)  | 板楼,0人关注 / 1个月以前发布,48,"4,404元/平"
蓝光芙蓉风华 3室2厅 南,蓝光芙蓉风华 -北客站,3室2厅 | 112平米 | 南 | 其他 | 低楼层(共24层)  | 暂无数据,2人关注 / 8个月以前发布,75,"6,697元/平"
蓝润10年城 4室2厅 东南,蓝润10年城 -罗浮广场,4室2厅 | 112.59平米 | 东南 | 其他 | 中楼层(共6层)  | 塔楼,1人关注 / 5个月以前发布,84,"7,461元/平"
这个房子楼层好，视野开阔.次新房.地段好不计算面积多,蓝润·置地广场A地块 -罗浮广场,3室2厅 | 104平米 | 东南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,89,"8,558元/平"
莲花湖小高层大四房，大型区园小区，配套完善。,邦泰·天著 -莲花湖,4室2厅 | 113平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板塔结合,0人关注 / 1个月以前发布,90,"7,965元/平"
西外⑦小  地段好 花园小区小洋房,国际新城 -罗浮广场,3室1厅 | 108.29平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,9人关注 / 9个月以前发布,67,"6,188元/平"
此房采光好 交通方便 楼层好 看房方便 标准三居室,滨江山語城 -罗浮广场,3室2厅 | 85平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,25人关注 / 一年前发布,63,"7,412元/平"
仁和春天国际花园 3室1厅 西,仁和春天国际花园 -金龙大道,3室1厅 | 80平米 | 西 | 其他 | 高楼层(共30层)  | 板塔结合,3人关注 / 6个月以前发布,63,"7,875元/平"
朝中庭，视线好。业主全款购房，产权清晰，,江湾城澜岸 -江湾城,3室2厅 | 86平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,11人关注 / 8个月以前发布,59,"6,861元/平"
小三房室电梯 ，户型合理，光线充足。拎包入住,荣瑞南滨 -三岔路口,3室1厅 | 60平米 | 东 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,43.8,"7,300元/平"
江湾城澜岸 3室2厅 南,江湾城澜岸 -江湾城,3室2厅 | 94平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,1人关注 / 3个月以前发布,70,"7,447元/平"
侨兴▪锦华广场 4室1厅 南,侨兴▪锦华广场 -南客站,4室1厅 | 69平米 | 南 | 其他 | 低楼层(共25层)  | 板塔结合,0人关注 / 3个月以前发布,71.8,"10,406元/平"
花溪街69号 3室2厅 东南 南,花溪街69号 -万达路,3室2厅 | 115平米 | 东南 南 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 3个月以前发布,48,"4,174元/平"
莲花湖旁 三房双卫 清水毛坯房 户型方正 业主诚心出售,蓝光芙蓉风华 -北客站,3室2厅 | 119.5平米 | 南 | 毛坯 | 中楼层(共24层)  | 暂无数据,2人关注 / 3个月以前发布,73,"6,109元/平"
南天丽都 3室2厅 东南,南天丽都 -三里坪,3室2厅 | 106.02平米 | 东南 | 其他 | 中楼层(共28层)  | 板塔结合,2人关注 / 6个月以前发布,62,"5,848元/平"
花园小区，户型方正，房东诚心出售,罗浮阳光 -西客站,3室1厅 | 115.96平米 | 东 南 | 其他 | 低楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,63.8,"5,502元/平"
奥韵未来城 4室2厅 东南,奥韵未来城 -南客站,4室2厅 | 120.8平米 | 东南 | 其他 | 低楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,80.9,"6,698元/平"
南外一新国际3房2厅2卫 基础装修新房子,一新国际社区 -南客站,3室2厅 | 104.6平米 | 东 | 其他 | 高楼层(共28层)  | 暂无数据,1人关注 / 4个月以前发布,72.2,"6,903元/平"
南外繁华地段，房龄新，采光好，大三房,一新国际社区 -南客站,3室2厅 | 102平米 | 东 | 其他 | 中楼层(共25层)  | 塔楼,1人关注 / 2个月以前发布,71,"6,961元/平"
曹家梁社区五小区 3室2厅 南,曹家梁社区五小区 -万达路,3室2厅 | 103平米 | 南 | 其他 | 中楼层(共10层)  | 塔楼,2人关注 / 5个月以前发布,36.8,"3,573元/平"
宏源小区精装房  看房方便  户型采光巴适,宏源小区 -万达路,3室2厅 | 128平米 | 东南 | 其他 | 中楼层(共9层)  | 板塔结合,0人关注 / 5个月以前发布,54,"4,219元/平"
文体公园旁大型花园小区内部设施完善,上观南城 -南客站,3室2厅 | 88.62平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,60人关注 / 一年前发布,60.5,"6,827元/平"
南外二号干道石化南苑 三房两厅两卫 精装修,石化南苑 -南客站,3室2厅 | 103平米 | 东南 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,73.5,"7,136元/平"
此房证满五，户型方正 采光好 交通方便,达州市达川区审计局 -南客站,3室2厅 | 107平米 | 南 | 其他 | 高楼层(共8层)  | 暂无数据,11人关注 / 7个月以前发布,32,"2,991元/平"
御南苑 3室1厅 东南,御南苑 -南客站,3室1厅 | 110平米 | 东南 | 精装 | 中楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,71.8,"6,528元/平"
万达路中段，正南大厦电梯房出售！！！！！！,正南大厦 -万达路,3室2厅 | 105平米 | 东南 | 简装 | 低楼层(共15层)  | 板楼,4人关注 / 一年前发布,48,"4,572元/平"
鑫政花园 3室2厅 东南,鑫政花园 -南客站,3室2厅 | 130平米 | 东南 | 其他 | 中楼层(共8层)  | 板塔结合,1人关注 / 2个月以前发布,55,"4,231元/平"
上观南城清水三房，楼层好，视野好，业主诚心出售,上观南城 -南客站,3室2厅 | 91平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,65,"7,143元/平"
升华广场旁，装修三房，采光好，看房方便，诚心出售,奥韵未来城 -南客站,3室2厅 | 105.58平米 | 东南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 3个月以前发布,76,"7,199元/平"
莲花湖一梯两户毛坯套四洋房诚心出售,澜湖郡 -莲花湖,4室2厅 | 127.68平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,112,"8,772元/平"
南大街的原装电梯房，户型方正采光好,清晨佳苑 -万达路,3室2厅 | 103平米 | 南 | 其他 | 中楼层(共15层)  | 板塔结合,0人关注 / 3个月以前发布,58,"5,632元/平"
国际新城大四房精装修、看房方便,国际新城 -罗浮广场,4室1厅 | 130平米 | 东 | 其他 | 中楼层(共11层)  | 板楼,4人关注 / 一年前发布,95,"7,308元/平"
房东诚心 西外花园小区中间楼层,仁和春天国际花园 -金龙大道,3室2厅 | 80平米 | 东南 | 其他 | 中楼层(共31层)  | 板塔结合,1人关注 / 5个月以前发布,65,"8,125元/平"
房屋位于金龙大道主干道，三房清水优质房,时尚家苑 -西客站,3室2厅 | 106平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,9人关注 / 一年前发布,62,"5,850元/平"
花园小区河景房，带停车场，交通便利，一梯3户,洲河花园 -老车坝,4室2厅 | 177平米 | 东南 | 精装 | 中楼层(共15层)  | 板塔结合,1人关注 / 8个月以前发布,80,"4,520元/平"
金山大厦 3室2厅 东南,金山大厦 -西客站,3室2厅 | 106.85平米 | 东南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 6个月以前发布,72,"6,739元/平"
侨兴新城中间楼层，业主装修，诚心出售,侨兴新城C区 -中心广场,3室2厅 | 129平米 | 南 | 其他 | 低楼层(共30层)  | 塔楼,0人关注 / 一年前发布,78,"6,047元/平"
此房为小洋房，楼顶可种菜种花，或者打造成休闲地,罗马郦城 -西客站,3室2厅 | 102.59平米 | 东南 | 毛坯 | 高楼层(共12层)  | 板塔结合,16人关注 / 一年前发布,59,"5,752元/平"
罗浮阳光 3室2厅 南 北,罗浮阳光 -西客站,3室2厅 | 125平米 | 南 北 | 其他 | 中楼层(共8层)  | 塔楼,0人关注 / 5个月以前发布,68,"5,440元/平"
大地·天和盛世 3室2厅 东南,大地·天和盛世 -中心广场,3室2厅 | 101平米 | 东南 | 精装 | 高楼层(共26层)  | 平房,0人关注 / 1个月以前发布,69,"6,832元/平"
天然气公司家属院 3室2厅 东,天然气公司家属院 -老车坝,3室2厅 | 116.8平米 | 东 | 其他 | 低楼层(共10层)  | 暂无数据,0人关注 / 5个月以前发布,52,"4,453元/平"
金山大厦 3室2厅 东南,金山大厦 -西客站,3室2厅 | 111.21平米 | 东南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 6个月以前发布,73,"6,565元/平"
西外华标大厦 3室2厅 交通便利 ，价格诱人,华标大厦 -西客站,3室2厅 | 101.27平米 | 南 | 简装 | 中楼层(共12层)  | 板楼,8人关注 / 一年前发布,46.5,"4,592元/平"
东升教育花园 3房2厅2卫 步梯房 配套齐全,东升·教育花园 -南客站,3室2厅 | 120.98平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,45,"3,720元/平"
奥韵未来城 4室2厅 东南,奥韵未来城 -南客站,4室2厅 | 120.8平米 | 东南 | 其他 | 低楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,80.9,"6,698元/平"
此房证满五，户型方正 采光好 交通方便,达州市达川区审计局 -南客站,3室2厅 | 107平米 | 南 | 其他 | 高楼层(共8层)  | 暂无数据,11人关注 / 7个月以前发布,32,"2,991元/平"
御南苑 3室1厅 东南,御南苑 -南客站,3室1厅 | 110平米 | 东南 | 精装 | 中楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,71.8,"6,528元/平"
东升教育花园 3房2厅2卫 步梯房 配套齐全,东升·教育花园 -南客站,3室2厅 | 120.98平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,45,"3,720元/平"
南外繁华地段，房龄新，采光好，大三房,一新国际社区 -南客站,3室2厅 | 102平米 | 东 | 其他 | 中楼层(共25层)  | 塔楼,1人关注 / 2个月以前发布,71,"6,961元/平"
鑫政花园 3室2厅 东南,鑫政花园 -南客站,3室2厅 | 130平米 | 东南 | 其他 | 中楼层(共8层)  | 板塔结合,1人关注 / 2个月以前发布,55,"4,231元/平"
升华广场旁，装修三房，采光好，看房方便，诚心出售,奥韵未来城 -南客站,3室2厅 | 105.58平米 | 东南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 3个月以前发布,76,"7,199元/平"
文体公园旁大型花园小区内部设施完善,上观南城 -南客站,3室2厅 | 88.62平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,60人关注 / 一年前发布,60.5,"6,827元/平"
万达路中段，正南大厦电梯房出售！！！！！！,正南大厦 -万达路,3室2厅 | 105平米 | 东南 | 简装 | 低楼层(共15层)  | 板楼,4人关注 / 一年前发布,48,"4,572元/平"
上观南城清水三房，楼层好，视野好，业主诚心出售,上观南城 -南客站,3室2厅 | 91平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,65,"7,143元/平"
南外二号干道石化南苑 三房两厅两卫 精装修,石化南苑 -南客站,3室2厅 | 103平米 | 东南 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,73.5,"7,136元/平"
南外一新国际3房2厅2卫 基础装修新房子,一新国际社区 -南客站,3室2厅 | 104.6平米 | 东 | 其他 | 高楼层(共28层)  | 暂无数据,1人关注 / 4个月以前发布,72.2,"6,903元/平"
楼层佳视野开阔，临河，楼下就是河边公园,碧桂园珑樾湾 -塔坨,3室2厅 | 94平米 | 东 | 其他 | 中楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,86.8,"9,235元/平"
房东诚心出售   保养的很好    配套成熟,西城名苑 -金龙大道,3室2厅 | 99.4平米 | 东 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,78,"7,848元/平"
升华广场旁优质小区四房双卫出售,里仁居南苑 -南客站,4室2厅 | 87.84平米 | 东南 南 | 精装 | 高楼层(共32层)  | 暂无数据,4人关注 / 4个月以前发布,72,"8,197元/平"
诚心出售，证件齐全，美女房东很爱护，等待有缘人,恒阳骊都一期 -罗浮广场,3室2厅 | 112.87平米 | 南 | 其他 | 中楼层(共8层)  | 塔楼,0人关注 / 2个月以前发布,57,"5,051元/平"
花园小区精装三房，配套齐全，交通方便,洲河湾 -三岔路口,3室2厅 | 61平米 | 西南 | 精装 | 高楼层(共31层)  | 塔楼,2人关注 / 1个月以前发布,46,"7,541元/平"
书香雅筑11号 3室1厅 东南,书香雅筑11号 -罗浮广场,3室1厅 | 106平米 | 东南 | 其他 | 高楼层(共21层)  | 塔楼,0人关注 / 1个月以前发布,75,"7,076元/平"
