标题,开发商,房子信息,发布信息,售价/万,单价
新上优质大四房 高楼层采光好 直望北龙湖 视野好,鑫苑名家 -北站,4室2厅 | 190.77平米 | 南 北 | 简装 | 中楼层(共23层)  | 板塔结合,2人关注 / 9天以前发布,265,"13,892元/平"
朝南 采光好  低总价 低首付2室无抵押 有钥匙,汇泉城2号院 -常西湖,2室1厅 | 77.79平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,4人关注 / 3个月以前发布,70,"8,999元/平"
业主做生意的，卖房变现。着急卖，全款房，随时可过户,升龙城5号院 -市财政局,1室1厅 | 53.07平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,2人关注 / 6个月以前发布,48.5,"9,139元/平"
采光好，视野好，看房方便，诚心出售。,东方港湾 -郑州东站,2室2厅 | 88.11平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,54人关注 / 7个月以前发布,160,"18,160元/平"
鑫苑国际城市花园 前排双气 朝南 没有贷款,鑫苑国际城市花园 -王府井,1室1厅 | 39.59平米 | 南 | 简装 | 高楼层(共25层)  | 塔楼,5人关注 / 4个月以前发布,36.5,"9,220元/平"
新烟学  校对  面 小区双气 南北通透两室 随时看房,地质勘察家属院 -新郑城区,2室1厅 | 54.33平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 2个月以前发布,19.8,"3,645元/平"
地铁口双气小户型年轻人过渡之选,SOHO广场 -沙口路,1室1厅 | 39.54平米 | 东 南 | 简装 | 中楼层(共24层)  | 塔楼,2人关注 / 3个月以前发布,30,"7,588元/平"
多层小户型 户型方正 小户型独立厨卫 商场交通成熟,青年居易 -省中医院,1室1厅 | 23.04平米 | 北 | 精装 | 高楼层(共6层)  | 板塔结合,6人关注 / 5个月以前发布,19.9,"8,638元/平"
福泽家园社区电厂西院   中高楼层  大两室,福泽社区电厂西院 -荥阳城区,2室1厅 | 61平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,5人关注 / 2个月以前发布,10.4,"1,705元/平"
急售！急售！  满五唯一  带阁楼装修过。,21世纪国际城北区 -南龙湖商圈,1室0厅 | 30.3平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,24人关注 / 一年前发布,13.4,"4,423元/平"
中间楼层，采光好，户型方正，业主诚心出售，看房方便,阳光嘉苑 -普罗旺世,3室2厅 | 101.81平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,101,"9,921元/平"
三环内两梯三户精装大两房，诚心卖，欢迎看房,正商明钻一期 -五龙口,2室1厅 | 88.12平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,8人关注 / 3个月以前发布,91.8,"10,418元/平"
北龙湖北，次新小区，绿化环境好。,伟业龙湖上城 -杨金路,2室2厅 | 87.86平米 | 东南 | 毛坯 | 高楼层(共16层)  | 板塔结合,4人关注 / 3个月以前发布,115.5,"13,146元/平"
此房满五年，采光好，视野好，业主诚心出售,龙凤苑 -东建材,2室2厅 | 93.47平米 | 东南 | 精装 | 中楼层(共26层)  | 板楼,3人关注 / 3个月以前发布,100,"10,699元/平"
水岸鑫城  一期两室   通透户型,水岸鑫城 -中牟城区,2室2厅 | 95.47平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 3个月以前发布,35,"3,667元/平"
绿荫公园，海尚，中医院旁，家具家电齐全,香桔市 -省中医院,1室0厅 | 23.12平米 | 北 | 简装 | 低楼层(共7层)  | 板塔结合,10人关注 / 2个月以前发布,13.8,"5,969元/平"
索河湾边户大两室，精装双气南北桶透，看房方便有密码,光明索河湾一期 -荥阳城区,2室2厅 | 92.2平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,7人关注 / 4个月以前发布,48,"5,207元/平"
陈寨 地铁楼 多层双气电梯洋房 得房率高 南北通透,盛润小城之春 -陈寨,2室2厅 | 89.1平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,19人关注 / 5个月以前发布,139.8,"15,691元/平"
索河湾边户大两室，精装双气南北桶透，看房方便有密码,光明索河湾一期 -荥阳城区,2室2厅 | 92.2平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,7人关注 / 4个月以前发布,48,"5,207元/平"
业主做生意的，卖房变现。着急卖，全款房，随时可过户,升龙城5号院 -市财政局,1室1厅 | 53.07平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,2人关注 / 6个月以前发布,48.5,"9,139元/平"
未使用 无个税  钥匙委托 资金周转 限时降价 过期涨价,英地天骄华庭二期 -文博广场,2室2厅 | 83.09平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,29人关注 / 一年前发布,195,"23,469元/平"
上东城自住精装婚房，客卧朝南 带家具家电,上东城 -象湖,2室1厅 | 83.61平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,96,"11,482元/平"
电梯洋房 一梯两户 全天阳光 无遮挡  带精装,阳光城8号院 -阳光城,2室2厅 | 90.81平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,1人关注 / 5个月以前发布,135,"14,867元/平"
升龙又一城小面积住宅46.91m²精装一室,升龙又一城AB区 -高新梧桐,1室0厅 | 47.3平米 | 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,21人关注 / 一年前发布,35,"7,400元/平"
北三环江山路19年次新双气两房随时看房,绿地璀璨天城 -省体育中心,2室2厅 | 82.76平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,13人关注 / 一年前发布,95,"11,479元/平"
上学方便，配套成熟，纯南大两房,正商华钻澜庭1号院 -蓝钻商圈,2室2厅 | 88.1平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,107,"12,146元/平"
和昌南苑  精致两房  地铁口    配套齐全,和昌悦澜南苑 -新北站,2室2厅 | 75.21平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,0人关注 / 3个月以前发布,109,"14,493元/平"
电梯小高层精装小户型，有钥匙随时看房，出门就是地铁,安泰金苑 -索凌路北段,1室0厅 | 42.39平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,45,"10,616元/平"
数码公寓小户型标准间诚心出售，重新装修过。,正弘数码公寓 -文博广场,1室0厅 | 24.54平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 7个月以前发布,49.5,"20,172元/平"
视野开阔，观景北龙湖，精装两房，朝南双气,维也纳森林花园 -汽配大世界,2室2厅 | 88.13平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,9人关注 / 1个月以前发布,127,"14,411元/平"
洞林湖地铁口的精装两室  契税满,恒大山水城 -荥阳城区,2室2厅 | 88.87平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,18人关注 / 4个月以前发布,38.6,"4,344元/平"
不看此房 白来观洲国际一趟 标间天花板 朝南采光好,观洲国际 -未来大厦,1室0厅 | 48.75平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,9人关注 / 4个月以前发布,49.1,"10,072元/平"
吾悦广场旁 六小隔壁人车分流  业主急卖 新装修未入住,泰成悦府 -荥阳城区,3室2厅 | 105平米 | 南 | 简装 | 低楼层(共32层)  | 板塔结合,3人关注 / 2个月以前发布,62.8,"5,981元/平"
瀚宇天悦湾1号院  中间楼层  精装两室 可拎包入住,瀚宇天悦湾1号院 -荥阳城区,2室1厅 | 90.67平米 | 西南 | 简装 | 中楼层(共32层)  | 板塔结合,47人关注 / 一年前发布,49,"5,405元/平"
复式精装修，家具家电齐全，无高额税费，,新芒果春天大厦 -高新梧桐,1室1厅 | 42.01平米 | 东 | 精装 | 高楼层(共21层)  | 板楼,46人关注 / 5个月以前发布,24,"5,713元/平"
福彩路恒升府第    朝南标准2房  户型合理,恒升府第 -北站,2室2厅 | 73.41平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,4人关注 / 1个月以前发布,85,"11,579元/平"
小区位于未来路与商城路交汇处西北角,未来城 -商代遗址,1室1厅 | 62.56平米 | 东 | 精装 | 中楼层(共24层)  | 板塔结合,11人关注 / 一年前发布,67,"10,710元/平"
四环内精装温馨小居室，高品质高颜值公寓，业主包税,亚新嵩山路新公馆 -万客来,1室1厅 | 28.33平米 | 北 | 精装 | 低楼层(共22层)  | 塔楼,18人关注 / 7个月以前发布,15,"5,295元/平"
光明索河湾一期 2室1厅 东南,光明索河湾一期 -荥阳城区,2室1厅 | 91.19平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板楼,2人关注 / 2个月以前发布,39,"4,277元/平"
国际城 洋房 精装修 好楼层 急售,21世纪国际城北区 -南龙湖商圈,1室1厅 | 44.93平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,25,"5,565元/平"
院内有免费停车位地铁8号线龙王庙站800米,锦绣家苑 -白沙,2室2厅 | 82.37平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,9人关注 / 4个月以前发布,42,"5,099元/平"
大学南路地铁口，精装修，业主诚心出售,鑫苑都汇广场 -万客来,1室1厅 | 40.49平米 | 南 | 简装 | 高楼层(共23层)  | 板塔结合,9人关注 / 2个月以前发布,21,"5,187元/平"
郑东新区商ye中xin双层小复式，楼下是商场、近地铁,云朵公寓 -商业中心,1室0厅 | 36.33平米 | 东 | 精装 | 高楼层(共12层)  | 板楼,27人关注 / 11个月以前发布,32,"8,809元/平"
双气小区，户型方正，中楼层，视野开阔,博士嘉园 -新郑城区,2室1厅 | 83.54平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,40,"4,789元/平"
经典朝南户型，带暖气，总价划算，看房随时,阳光新城 -北站,1室0厅 | 34.31平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,35人关注 / 一年前发布,30.5,"8,890元/平"
逸品香山，2号线地铁口，双气社区，两房通透户型,逸品香山二期北苑 -北大学城,2室2厅 | 84.78平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,9人关注 / 6个月以前发布,94,"11,088元/平"
建业品质大两房，好楼层好视野，诚心出售,建业春天里 -象湖,2室2厅 | 89.2平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,93,"10,427元/平"
锦艺欧尚75平朝南两房不临铁路 好楼层 业主诚心出售,锦艺国际华都欧尚 -热电厂,2室1厅 | 74.39平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,101,"13,578元/平"
建业实力开发商，小区居住舒服，两室宜住宜投-资,建业春天里 -象湖,2室1厅 | 89.04平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,14人关注 / 8个月以前发布,86,"9,659元/平"
精装修，全南两房，无抵押，楼层好，采光足。,阳光城5号院 -阳光城,2室1厅 | 78.37平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,11人关注 / 5个月以前发布,108,"13,781元/平"
精装双气翰林蘑菇 公 寓 均价6000一平,翰林国际城蘑菇公寓 -高新公园道,1室1厅 | 49.23平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,25,"5,079元/平"
新北站刘庄地铁口 双气精装三居室，看房方便,和昌悦澜南苑 -新北站,3室2厅 | 88.68平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,5人关注 / 一年前发布,125,"14,096元/平"
小区配套实施齐全，绿城广场，碧沙岗公园，电影院,仟禧桃源国际公寓 -老郑大,1室1厅 | 71.75平米 | 东南 | 简装 | 中楼层(共30层)  | 塔楼,1人关注 / 2个月以前发布,57.8,"8,056元/平"
逸品香山，2号线地铁口，双气社区，两房通透户型,逸品香山二期北苑 -北大学城,2室2厅 | 84.78平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,9人关注 / 6个月以前发布,94,"11,088元/平"
经典朝南户型，带暖气，总价划算，看房随时,阳光新城 -北站,1室0厅 | 34.31平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,35人关注 / 一年前发布,30.5,"8,890元/平"
国际城 洋房 精装修 好楼层 急售,21世纪国际城北区 -南龙湖商圈,1室1厅 | 44.93平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,25,"5,565元/平"
建业品质大两房，好楼层好视野，诚心出售,建业春天里 -象湖,2室2厅 | 89.2平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,93,"10,427元/平"
同乐社区小两室【户型方正】随时看房,同乐社区 -绿茵广场,2室1厅 | 56.94平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,24人关注 / 8个月以前发布,34.8,"6,112元/平"
通透大两房出售，业主靠谱随时看房,星城国际西苑 -中牟城区,2室2厅 | 101.27平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,48,"4,740元/平"
华钻澜庭3号院 诚售全屋定制 中层采光好朝南户型,正商华钻澜庭3号院 -蓝钻商圈,2室2厅 | 86.07平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,19人关注 / 7个月以前发布,114,"13,246元/平"
此房满五年 业主诚心出售 视野开阔,正商幸福港湾A区 -幸福港湾,2室2厅 | 85.58平米 | 东北 | 精装 | 低楼层(共34层)  | 板楼,4人关注 / 2个月以前发布,93,"10,868元/平"
业主诚心急售，双气小区，中装修，格局好，明厨明卫,正商幸福港湾A区 -幸福港湾,2室2厅 | 87.32平米 | 东南 | 精装 | 低楼层(共29层)  | 板楼,7人关注 / 8个月以前发布,102,"11,682元/平"
户型比较方正 业主诚心出售 看房方便,鑫苑中央花园 -通泰路,3室2厅 | 117平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,236,"20,171元/平"
税费少，18年新小区，房屋新，南北通透，精装修。,润城时光里 -通泰路,2室2厅 | 88.23平米 | 南 北 | 精装 | 高楼层(共25层)  | 塔楼,8人关注 / 2个月以前发布,116,"13,148元/平"
位于中华南路路东小区，中间楼层  三卧朝南,七彩阳光 -新郑城区,3室2厅 | 135.69平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,58,"4,275元/平"
安和文苑 33万精装修通透大三房  飞机户型看房随时,安和文苑 -龙子湖,3室2厅 | 141.81平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,11人关注 / 3个月以前发布,315,"22,213元/平"
95年建成，可商贷，三楼纯南户业主诚心卖,陇中南巷5号院 -市财政局,2室1厅 | 81.93平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,12人关注 / 3个月以前发布,51.5,"6,286元/平"
米兰小镇精装三室急售，拎包入住，税费低，出行方便,米兰小镇 -新郑城区,3室2厅 | 98.51平米 | 东 南 | 精装 | 高楼层(共17层)  | 塔楼,1人关注 / 2个月以前发布,56,"5,685元/平"
二环内 双气 电梯洋房 有阳光房   满五唯一,正商新蓝钻E区 -蓝钻商圈,3室2厅 | 143.32平米 | 西南 | 精装 | 中楼层(共7层)  | 板楼,123人关注 / 5个月以前发布,249,"17,374元/平"
广武路口，146平三室，简装双气便宜出售,弘嘉阳光苑 -荥阳城区,3室2厅 | 146.64平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 5个月以前发布,30,"2,046元/平"
锦艺大两房 中间楼层 采光无遮挡 视野好,锦艺国际华都欧尚 -热电厂,2室1厅 | 79.72平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,4人关注 / 2个月以前发布,104.5,"13,109元/平"
满五唯一，10年的房子，采光充足，配套齐全,家天下 -轻工业学院,2室1厅 | 69.38平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼,15人关注 / 7个月以前发布,82,"11,819元/平"
启明村大两房，业主诚心出售，看房方便！,启明村 -高新梧桐,2室1厅 | 87.1平米 | 西南 | 简装 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,56,"6,430元/平"
市五院旁。黄河路地铁口。48万的两房。低总价。能贷款,卫生路2号院 -大石桥,2室1厅 | 60.13平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 3个月以前发布,41,"6,819元/平"
电梯双气两房，交通便利，中间楼层,正弘春晓 -绿茵广场,2室2厅 | 78.2平米 | 西 南 | 简装 | 33层  | 塔楼,2人关注 / 4个月以前发布,76,"9,719元/平"
花园小区，地理位置比较好，独栋，全天采光,东润华景 -白沙,3室2厅 | 121.01平米 | 东 东南 | 精装 | 低楼层(共27层)  | 板楼,2人关注 / 2个月以前发布,96,"7,934元/平"
别墅区中的   南北通透    两房,商城路叁号院 -燕庄,2室2厅 | 88.91平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,4人关注 / 3个月以前发布,116,"13,047元/平"
永威枫香庭西院 2室2厅 南,永威枫香庭西院 -蓝钻商圈,2室2厅 | 72.58平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 2个月以前发布,99.9,"13,765元/平"
市五院旁。黄河路地铁口。48万的两房。低总价。能贷款,卫生路2号院 -大石桥,2室1厅 | 60.13平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 3个月以前发布,41,"6,819元/平"
启明村大两房，业主诚心出售，看房方便！,启明村 -高新梧桐,2室1厅 | 87.1平米 | 西南 | 简装 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,56,"6,430元/平"
满五唯一，10年的房子，采光充足，配套齐全,家天下 -轻工业学院,2室1厅 | 69.38平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼,15人关注 / 7个月以前发布,82,"11,819元/平"
此房南北通透，一楼带院子，采光充足,壹品蓝湾景苑 -新郑城区,4室2厅 | 126.35平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,19人关注 / 7个月以前发布,82,"6,490元/平"
精装双层小别野，有天然气，有空调，,锦艺国际轻纺城 -常西湖,1室1厅 | 45.58平米 | 北 | 简装 | 中楼层(共20层)  | 塔楼,8人关注 / 2个月以前发布,21,"4,608元/平"
此房满五唯一，楼层好，教育和交通便利，业主诚心出售,北云鹤花园 -北站,3室2厅 | 100.71平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,126,"12,512元/平"
北港万科，南向3室，中间楼层，采光好，急售，随时看,万科美景魅力之城 -航空港商圈,3室1厅 | 82.42平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,66,"8,008元/平"
新上房源 电梯中层 2梯5户 产权清晰税费少,正商世纪港湾 -海洋馆,2室2厅 | 88.09平米 | 东南 | 简装 | 高楼层(共18层)  | 板塔结合,2人关注 / 6个月以前发布,99,"11,239元/平"
宏基王朝牡丹苑，两室两厅一卫，精装，低楼层,牡丹苑 -新郑城区,2室2厅 | 96.23平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,16人关注 / 一年前发布,39,"4,053元/平"
世纪欢乐园旁 一楼带50平花园 可遇不可求 精装修,美景天城 -世纪欢乐园,3室2厅 | 126.11平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,31人关注 / 8个月以前发布,175,"13,877元/平"
房满五唯一 客餐直线对流 两梯两户 南北通透，双阳台,中力七里湾 -通泰路,2室2厅 | 90.08平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,1人关注 / 3个月以前发布,146,"16,208元/平"
世纪公园旁 经典复式楼 采光充足 楼上楼下 宽敞明亮,美景天城 -世纪欢乐园,4室2厅 | 102.73平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,9人关注 / 6个月以前发布,135,"13,142元/平"
70年产权住宅，精装修，实木家具，急售！急售！,金立方 -南龙湖商圈,3室2厅 | 110.39平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,3人关注 / 1个月以前发布,50,"4,530元/平"
人车分流小区 中间好楼层  经开标杆小区 诚意出售,富田九鼎世家 -恒大绿洲,2室1厅 | 84.5平米 | 北 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,145.5,"17,219元/平"
满五唯一精装修 一梯两户 中间位置 中间楼层 随时可看,橡树玫瑰城 -阳光城,3室2厅 | 91.65平米 | 南 北 | 精装 | 6层  | 板楼,11人关注 / 7个月以前发布,119.9,"13,083元/平"
户型南户通透  采光可以  经典两房,荣邦城 -高新外国语,2室2厅 | 81.06平米 | 东南 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 2个月以前发布,94,"11,597元/平"
世纪家苑3室南北通透户型方正配套齐全,世纪家苑 -恒大绿洲,3室2厅 | 123.46平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 2个月以前发布,118,"9,558元/平"
河南省农科院东家属院 3室2厅 南,河南省农科院东家属院 -枣庄,3室2厅 | 87.83平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,195,"22,202元/平"
双地铁口，多层小区，带地下室，中间层，客厅两卧朝南,紫荆阳光地带 -正商城,3室2厅 | 122.68平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 3个月以前发布,145,"11,820元/平"
三环边 业主急换新房 一楼带院 养花种菜养老房,瑞祥花园 -普罗旺世,3室2厅 | 137.09平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,29人关注 / 3个月以前发布,175.5,"12,802元/平"
此房满五年不唯一 5号线地铁口 生活设施配套齐全,远大理想城 -远大理想城,3室2厅 | 121.43平米 | 南 北 | 简装 | 高楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,125,"10,294元/平"
省医旁 地铁双气两室 精装地暖 中间楼层 诚心出售,天宏咖汇 -财富广场,2室1厅 | 71.62平米 | 北 | 精装 | 中楼层(共31层)  | 塔楼,47人关注 / 6个月以前发布,88,"12,288元/平"
荥阳市龙岗路与光武路交叉口电梯双气,建海绿荫半岛 -荥阳城区,3室2厅 | 127.54平米 | 南 北 | 精装 | 高楼层(共33层)  | 平房,3人关注 / 4个月以前发布,82,"6,430元/平"
美盛旁2010年小区，精准双气，好楼层，满五唯一无个税,天伦水晶城 -陈寨,2室2厅 | 89.45平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,4人关注 / 3个月以前发布,103,"11,515元/平"
此房满五年，楼层好，视野宽阔，业主诚心..,正弘数码公寓 -文博广场,1室1厅 | 40.77平米 | 东 | 精装 | 高楼层(共32层)  | 板塔结合,2人关注 / 9个月以前发布,77.5,"19,010元/平"
绿博园旁大平层南北户型通精装修透采光好,名门紫园 -绿博,4室3厅 | 286.75平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,370,"12,904元/平"
亚星开发 满五 人车分流 业主急售,亚星玉晖园 -万客来,2室1厅 | 57.69平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,13人关注 / 6个月以前发布,55,"9,534元/平"
富田丽景花园 双气 双地 铁  3室2厅2卫  急卖,富田丽景花园 -南阳路,3室2厅 | 138.73平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,12人关注 / 一年前发布,135,"9,732元/平"
北郡一期优质洋房 精装修 诚心出售,北郡一期 -惠济万达,4室2厅 | 118.84平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,270,"22,720元/平"
此房满五不唯一，楼层好，采光充足，配套齐全,SOHO世纪城 -花园路,4室2厅 | 204.38平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,2人关注 / 1个月以前发布,133,"6,508元/平"
急售！三环内 朝南 双气  满五年 看房方便 配套完善,城市山水 -兴华南街,2室1厅 | 89.12平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,2人关注 / 2个月以前发布,98,"10,997元/平"
鑫苑鑫家一期  南北通透小三房 中间层 带车位家具家电,鑫苑鑫家一期 -万客来,3室2厅 | 88.49平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,23人关注 / 4个月以前发布,95.3,"10,770元/平"
此房满五年住房，南北通透户型，小高层，临河观景房,正商新蓝钻E区 -蓝钻商圈,3室2厅 | 137.85平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,195,"14,146元/平"
紧挨二七万达，市第二人民医院采光好,航海中路145号院 -二七万达,3室1厅 | 87.96平米 | 南 | 精装 | 7层  | 板楼,1人关注 / 2个月以前发布,69,"7,845元/平"
二环航海路 正商城和园  地铁口  此价格带地下车位,正商城和园3号院 -正商城,3室2厅 | 128.9平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,188,"14,585元/平"
满五唯一无抵押，二号线五号线地铁300米，公摊小,正馨花园 -正商城,3室2厅 | 102.1平米 | 西南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,70,"6,857元/平"
罗马假日  满五唯一  朝南好户型,罗马假日 -汽配大世界,2室2厅 | 92.74平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,18人关注 / 一年前发布,116,"12,509元/平"
纯南户型采光好楼层合适诚心出售,天伦水晶城 -陈寨,2室1厅 | 69.82平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,78,"11,172元/平"
湾景1号院18年次新小区 精装双气已改地暖  诚心出售,正商华钻湾景1号院 -蓝钻商圈,3室2厅 | 111.43平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,2人关注 / 2个月以前发布,170,"15,257元/平"
卧室朝南，采光好。楼层居中，空气好。业主诚售。,海豫花园 -长江一号,2室1厅 | 83.4平米 | 东南 | 简装 | 低楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,72,"8,634元/平"
房子满五唯一 视野开阔 设施齐全 产权清晰 业主诚心卖,香榭丽舍 -碧沙岗,2室1厅 | 94.72平米 | 西南 | 精装 | 30层  | 塔楼,7人关注 / 8个月以前发布,125,"13,197元/平"
房子满五年 无贷款  精装修 诚心出售,百文花园北区 -省体育中心,2室2厅 | 124.22平米 | 南 北 | 简装 | 低楼层(共15层)  | 板塔结合,10人关注 / 9个月以前发布,88,"7,085元/平"
亚星世纪嘉园三室二厅一楼带院子简装出售,亚星世纪嘉园 -上街区,3室2厅 | 143.56平米 | 西 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,58,"4,041元/平"
精装修  满五唯一 光线充足 中间楼层 前无遮挡,恒大名都 -科技市场,2室1厅 | 96.92平米 | 南 东南 | 简装 | 32层  | 板塔结合,10人关注 / 5个月以前发布,179,"18,469元/平"
定看好房 润城 新装修一年临河能看到小区环境南北通透,润城时光里 -通泰路,2室2厅 | 89.93平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,119,"13,233元/平"
汝河小区 双气 地铁口 看房方便,汝河小区 -儿童公园,2室1厅 | 55.11平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,17人关注 / 4个月以前发布,26.6,"4,827元/平"
业主诚心出售通风好 谈方便。沟通起来好说。看房方便,泰宏建业国际城18号院 -万客来,2室2厅 | 74平米 | 南 | 简装 | 中楼层(共13层)  | 板塔结合,13人关注 / 8个月以前发布,82,"11,082元/平"
经开区 高档社区景观两房  纯南 享受无限阳光生活！,富田九鼎世家 -恒大绿洲,2室2厅 | 84.5平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,2人关注 / 3个月以前发布,142,"16,805元/平"
业主自住房，改的小三房，两卧朝南，采光好视野好,恒通新城 -象湖,3室2厅 | 127.97平米 | 西 | 简装 | 中楼层(共17层)  | 板楼,4人关注 / 6个月以前发布,103,"8,049元/平"
五层电梯洋房 好楼层  精装满五唯一,鑫苑逸品香山 -北大学城,3室2厅 | 136.09平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,5人关注 / 3个月以前发布,176.5,"12,970元/平"
