标题,开发商,房子信息,发布信息,售价/万,单价
春天花园 中间楼层 纯毛坯 带23朝南车库 看房方便,春天花园 -能达商务区,3室1厅 | 124.86平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,140,"11,213元/平"
户型方正，楼层好，采光完全无遮挡，阳光充足！,御锦馨河城 -如皋市区,4室1厅 | 185.99平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,0人关注 / 7天以前发布,220,"11,829元/平"
东区洋房，全天采光，户型方正，业主诚心！,龙湖丽园 -如皋市区,3室2厅 | 149.8平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 10天以前发布,169.8,"11,336元/平"
东区洋房，全天采光，户型方正，业主诚心！,龙湖丽园 -如皋市区,3室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 8天以前发布,160,"11,429元/平"
碧桂园·中邦上海城 5室2厅 南,碧桂园·中邦上海城 -启东市,5室2厅 | 215平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 11天以前发布,377,"17,535元/平"
此房楼层户型好，采光好，交通便利，适宜居住,明月江南 -如东县,5室2厅 | 183.78平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 9天以前发布,230,"12,515元/平"
：东区洋房，全天采光，户型方正，业主诚心！,龙湖丽园 -如皋市区,4室2厅 | 149.8平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 12天以前发布,163.8,"10,935元/平"
车站旁边复式楼 长龙怡福苑 城北区域 集大型生活*市,长龙怡福苑南区 -启东市,3室2厅 | 128.74平米 | 南 | 毛坯 | 高楼层(共5层)  | 板塔结合,3人关注 / 一年前发布,178,"13,827元/平"
出行方便户型方正居住方便舒适采光好,育贤花园 -如皋市区,6室2厅 | 172平米 | 东南 | 简装 | 高楼层(共5层)  | 塔楼,4人关注 / 一年前发布,258,"15,000元/平"
紫荆花园楼中楼，精装满二，有钥匙随时看房，房东诚心,紫荆花园 -能达商务区,3室2厅 | 112.19平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,164,"14,619元/平"
南通1912 自带车位 全天采光  诚心出售，随时看,南通1912 -永兴,3室2厅 | 136.11平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 一年前发布,320,"23,511元/平"
第九园复式楼，房东急售，2层标准层高，满二。,第九园 -先锋,3室2厅 | 199平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,8人关注 / 11个月以前发布,250,"12,563元/平"
交通方便，不管是去老城区还是新城区都方便,江海皇都私家花园 -金沙,5室2厅 | 152.78平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,10人关注 / 一年前发布,302,"19,767元/平"
一二叠加洋房带地下室，精装修，满二年无大税,军山花园 -军山,4室2厅 | 187.56平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,415,"22,127元/平"
出行方便，户型方正，居住舒适温馨。,嘉麟花园一期 -海安县,4室2厅 | 168.97平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,149.9,"8,872元/平"
七星国际城7-3-1-4 298.00m² 372.8 万,七星国际城 -海安县,7室3厅 | 293.57平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,4人关注 / 一年前发布,372.8,"12,699元/平"
小区前排，全天采光，视野开阔，10平米地下车库,冠城大通棕榈湾 -观音山,4室2厅 | 128.94平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,340,"26,369元/平"
振兴中路，附70平阁楼和电瓶车车库，采光好，房东诚心,振兴中路 -能达商务区,3室2厅 | 100.11平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,115,"11,488元/平"
南上湖旁 无大税 毛胚好房， 总价低 上学神器,果园名居 -金沙,3室2厅 | 126.95平米 | 南 | 毛坯 | 高楼层(共5层)  | 板楼,56人关注 / 一年前发布,140,"11,028元/平"
户型方正户型方正 地铁口2号线 任意装修 环境优美,第九园 -先锋,4室2厅 | 144.6平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,0人关注 / 一年前发布,220,"15,215元/平"
前排5楼楼中楼，精装修拎包入住，看房有钥匙,和谐汇景新苑 -永兴,4室2厅 | 200平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,10人关注 / 一年前发布,202,"10,100元/平"
下叠 地下2层 地上2层 房东诚心 价格可议 全天采光,中南熙悦(南通经济技术开发区) -能达商务区,4室1厅 | 130平米 | 南 | 毛坯 | 低楼层(共3层)  | 板塔结合,1人关注 / 一年前发布,400,"30,770元/平"
房型南北通风度高，地理位置优越，全新毛坯,瑞德广场 -启东市,3室2厅 | 123.93平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,6人关注 / 一年前发布,244.8,"19,754元/平"
空中别墅绿墅湾135平复式高层满二带装修,意邦绿墅湾 -永兴,3室2厅 | 133.04平米 | 南 | 简装 | 高楼层(共35层)  | 板楼,2人关注 / 一年前发布,288,"21,648元/平"
业主诚心，此房户型方正，位置好，采光好,海尚家园 -小海,3室2厅 | 126.08平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,21人关注 / 一年前发布,150,"11,898元/平"
101北，景瑞望府首排，经典户型 无大税 设备全留,景瑞望府 -能达商务区,3室2厅 | 123.22平米 | 南 北 | 简装 | 低楼层(共25层)  | 板楼,9人关注 / 一年前发布,200,"16,232元/平"
满二无大税，精装修，经典飞机户型，自住精装修,中港城世家 -永兴,3室2厅 | 140.09平米 | 南 西 北 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 8个月以前发布,220,"15,705元/平"
复式房源，采光充足，视野开阔，交通便利，适合居住。,联邦花园 -姜灶,4室2厅 | 220.55平米 | 南 | 精装 | 高楼层(共15层)  | 暂无数据,2人关注 / 8个月以前发布,300,"13,603元/平"
此房源户型好，房东诚心出售。。。。,百家花苑 -金沙,3室2厅 | 282.67平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,165,"5,838元/平"
东诚心出售，满二唯一。一梯一户 毛坯，随心装修！,金通家园 -金沙,3室2厅 | 142.46平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,4人关注 / 一年前发布,200,"14,040元/平"
户型方正，房东诚心出售，欢迎大家推荐,第九园 -先锋,3室2厅 | 144.56平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,1人关注 / 一年前发布,210,"14,527元/平"
保利香槟国际+大四房+带车位+业主诚意+细节可谈,保利香槟国际 -永兴,4室2厅 | 161.03平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,7人关注 / 一年前发布,320,"19,873元/平"
此房为私产房，房本满二年无大税,名都豪庭 -姜灶,3室2厅 | 103.19平米 | 南 | 其他 | 高楼层(共10层)  | 板楼,0人关注 / 一年前发布,178,"17,250元/平"
顶楼复式，复式上面还有顶。视野开阔，采光充足，,优山美地花园南区 -军山,6室2厅 | 231.93平米 | 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,11人关注 / 一年前发布,454,"19,575元/平"
工农路东侧，南山国际社区，泳池社区,南山国际社区 -秦灶,4室1厅 | 162.39平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,1人关注 / 一年前发布,308,"18,967元/平"
联排海景别墅，环境优美，房东诚心出售，价格优惠,龙豪海景湾南区 -启东市,4室2厅 | 220.3平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,13人关注 / 一年前发布,199.8,"9,070元/平"
总价低，房东急卖。2卫，大套户型，采光好，视野好,江湾国际中心 -苏通,3室2厅 | 119.16平米 | 南 | 毛坯 | 26层  | 板塔结合,1人关注 / 一年前发布,102,"8,560元/平"
此房满五唯一户型方正通透采光充足复式楼得房率高,长龙二村 -启东市,2室2厅 | 101.59平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,147,"14,470元/平"
小高层满五好楼层，精装家具全留，电梯直达地下车库,冠城大通棕榈湾 -观音山,4室2厅 | 132.09平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,2人关注 / 一年前发布,309,"23,394元/平"
房东诚心出售，价格可议，看房方便。,万科有湖（翡翠心湖） -能达商务区,5室2厅 | 152.33平米 | 南 | 毛坯 | 低楼层(共3层)  | 板楼,1人关注 / 一年前发布,460,"30,198元/平"
上海庄园别墅  前排 大院子 看房方便 房东诚心出售,上海庄园 -启东市,5室2厅 | 248.07平米 | 南 | 毛坯 | 低楼层(共1层)  | 暂无数据,6人关注 / 一年前发布,308,"12,416元/平"
中成河滨花园，配套成熟，交通方便。,中成河滨花园 -启东市,3室2厅 | 138.26平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 9个月以前发布,156,"11,284元/平"
东方花园多层叠加毛坯房小区环境优越 全天采光,东方花园 -启东市,5室2厅 | 232.41平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 暂无数据,2人关注 / 9个月以前发布,413.8,"17,805元/平"
开来华府大平层东首房，187平方,开来华府 -启东市,4室2厅 | 186.91平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 11个月以前发布,365,"19,529元/平"
别墅+洋房品质小区，地段佳，出行便利,万濠山庄 -永兴,4室2厅 | 166.18平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,7人关注 / 一年前发布,390,"23,469元/平"
毛坯可以随心装修 地铁2号线站口 出行便利,第九园 -先锋,5室2厅 | 352.95平米 | 南 | 毛坯 | 3层  | 板塔结合,1人关注 / 3个月以前发布,620,"17,567元/平"
外墙贴红面砖，6/6楼中楼，带车库朝南28,南川园东区 -虹桥,5室2厅 | 207平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,13人关注 / 一年前发布,248,"11,981元/平"
新开苑的房子 户型方正 价格好,新开苑 -能达商务区,4室2厅 | 204平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,13人关注 / 一年前发布,165,"8,089元/平"
满二 采光户型格局好 阳光房 精装修 交通便利,名人世家 -金沙,6室3厅 | 231.35平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,259.2,"11,204元/平"
雅博苑 5室2厅 南,雅博苑 -长江,5室2厅 | 299.23平米 | 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,1人关注 / 一年前发布,319,"10,661元/平"
户型好，楼层好，拎包入住，看房方便，金郊旁,金桥南苑 -金沙,3室3厅 | 114平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,4人关注 / 一年前发布,139.8,"12,264元/平"
小区地理位置好，配套齐全。满五税少。,绿润名都 -如皋市区,4室2厅 | 160.81平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 11个月以前发布,238,"14,801元/平"
大独栋，带独立院子，鸟语花香，享受生活！,恒盛庄园东区 -长江,5室2厅 | 486.3平米 | 南 | 毛坯 | 3层  | 板塔结合 | 独栋别墅 ,0人关注 / 3个月以前发布,500,"10,282元/平"
水绘绿源  楼层好采光佳，景观佳，毛坯便于设计装修,水绘绿源 -如皋市区,4室2厅 | 169.52平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,2人关注 / 一年前发布,169,"9,970元/平"
户型方正，格局好，视野宽阔，配套设施齐全，总价低,恒生汇金苑 -金沙,5室2厅 | 207.58平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 一年前发布,260,"12,526元/平"
果园名居 顶楼复式 大空间 装修设计自由,果园名居 -金沙,5室2厅 | 208平米 | 南 | 毛坯 | 高楼层(共5层)  | 板楼,7人关注 / 一年前发布,135.8,"6,529元/平"
百家花苑、南山湖畔、交通方便、楼层好、看房方便,百家花苑 -金沙,5室2厅 | 233.34平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,155,"6,643元/平"
户型方正，格局好，视野宽阔，配套设施齐全，总价低,恒生汇金苑 -金沙,5室2厅 | 207.58平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 一年前发布,260,"12,526元/平"
此房满2年，诚心出售，毛坯，可任意装修,海尚家园东区 -小海,3室2厅 | 110平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,20人关注 / 一年前发布,123,"11,182元/平"
业主目前空置，诚心出售，精装修好户型，全天采光！,优山美地花园南区 -军山,4室2厅 | 136.01平米 | 南 | 其他 | 高楼层(共11层)  | 塔楼,2人关注 / 10个月以前发布,265,"19,484元/平"
便宜好房 蝶湖苑 中高楼层 采光全天 一梯一户,蝶湖苑 -启东市,4室2厅 | 229.55平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,3人关注 / 4个月以前发布,399.8,"17,417元/平"
绿墅湾旋转楼梯 毛坯户型 满2年 看房提前约 我住小区,意邦绿墅湾 -永兴,3室3厅 | 141.81平米 | 南 | 毛坯 | 中楼层(共35层)  | 板楼,6人关注 / 10个月以前发布,265,"18,687元/平"
户形方正，采光好，毛坯房任意装修，带车库!,世濠花园 -观音山,4室2厅 | 132.49平米 | 南 | 毛坯 | 11层  | 板塔结合,30人关注 / 一年前发布,175,"13,209元/平"
中南熙悦洋房，中层精装，带储藏室车位，,中南熙悦(南通经济技术开发区) -能达商务区,4室2厅 | 120.44平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,280,"23,249元/平"
豪天花苑，四室楼梯房，户型方正,豪天花苑 -长江,4室2厅 | 134.06平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,3人关注 / 9个月以前发布,80,"5,968元/平"
长龙三村，复式楼，房型好，精装，交通便捷，诚心出售,长龙三村 -启东市,5室2厅 | 109.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,149,"13,595元/平"
精装修，楼下129平楼上98平，房东诚心出售,明珠花园 -能达商务区,3室2厅 | 227平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,198,"8,723元/平"
满五  视野很好 采光无阻碍 诚心出售,星湖花园 -能达商务区,3室2厅 | 150.07平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,5人关注 / 一年前发布,159,"10,596元/平"
房东诚心出售，户型方正，楼层好，采光好,中港城世家 -永兴,4室2厅 | 175.58平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,8人关注 / 一年前发布,360,"20,504元/平"
此房为上下二层，环境优美，空气怡人 别墅,苏中植物园 -海安县,10室5厅 | 329.97平米 | 东 南 西 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,5人关注 / 一年前发布,735,"22,275元/平"
上海庄园别墅 满五唯一，看房方便 房东诚心出售,上海庄园 -启东市,5室2厅 | 247.95平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,308,"12,422元/平"
校西品质住宅 大平层 开发商一手装修 无住人看房随时,运杰龙馨园(崇川区) -观音山,3室2厅 | 161.9平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,310,"19,148元/平"
户型方正，房东诚心出售。。。。。 。,翰林俯邸 -三余,3室2厅 | 197平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,79,"4,011元/平"
南北通透  视野开阔   设施设备齐全,恒大海上威尼斯 -启东市,4室1厅 | 172.21平米 | 南 北 | 精装 | 低楼层(共3层)  | 塔楼,1人关注 / 一年前发布,190,"11,034元/平"
善成全新毛坯好房 实用面积200+ 诚心出售 价格实惠！,善成新村 -启东市,3室2厅 | 108.77平米 | 南 | 毛坯 | 高楼层(共4层)  | 板楼,0人关注 / 一年前发布,159.6,"14,674元/平"
东首户带阁楼，采光好，面积大，单价低，阁楼精装,永兴佳园 -永兴,4室1厅 | 204.7平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,173,"8,452元/平"
绿墅湾115平，四室精装复式，楼层好全天采光，有车库,意邦绿墅湾 -永兴,4室1厅 | 115平米 | 南 | 精装 | 中楼层(共35层)  | 板楼,9人关注 / 一年前发布,218.5,"19,000元/平"
狼山脚下山景水岸空中花园视野好直视长江诚心出售满2,山景水岸 -军山,6室3厅 | 177.11平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,12人关注 / 一年前发布,319,"18,012元/平"
满五年，楼梯复式，上下两层，诚心出售,龙游御境 -如皋市区,3室1厅 | 189.15平米 | 南 北 | 毛坯 | 4层  | 板塔结合,2人关注 / 1个月以前发布,180,"9,517元/平"
中创东区，离地铁近，户型方正，采光好,海韵花园 -小海,3室2厅 | 139平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,158,"11,367元/平"
本房户型格局好，采光好，业主诚心出售。,润福花园 -启东市,4室2厅 | 105.24平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,155,"14,729元/平"
闹中取静，毛坯大三房，得房率高，业主诚心出售,万濠山庄 -永兴,3室2厅 | 143.55平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,4人关注 / 一年前发布,305,"21,247元/平"
此房满五年不唯一，交通便利，成熟小区,东珠新村 -启东市,3室2厅 | 146.93平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,248.8,"16,934元/平"
此房位于五水商圈，户型方正，空间布局合理。,南通1912 -永兴,3室2厅 | 136.12平米 | 南 | 毛坯 | 高楼层(共14层)  | 板楼,1人关注 / 一年前发布,300,"22,040元/平"
南山湖畔，果园名居，电梯顶复，满二无大税带车库,果园名居 -金沙,4室2厅 | 204平米 | 南 | 毛坯 | 高楼层(共9层)  | 板楼,10人关注 / 10个月以前发布,150,"7,353元/平"
房子产权清晰，看房方便，采光好，视觉效果好,中南漫悦湾 -秦灶,6室2厅 | 163.29平米 | 东南 | 精装 | 高楼层(共17层)  | 板塔结合,13人关注 / 一年前发布,298,"18,250元/平"
户型方正 有车位 品质小区 品牌物业 精装修拎包入住,公馆1895 -任港,4室2厅 | 139.08平米 | 南 | 精装 | 17层  | 板楼,1人关注 / 一年前发布,405,"29,120元/平"
星湖花园顶楼复式，满五唯一，急售，带车库，随时看房,星湖花园 -能达商务区,3室2厅 | 143.7平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,15人关注 / 8个月以前发布,140,"9,743元/平"
此房位于五水商圈，户型方正，空间布局合理。,南通1912 -永兴,3室2厅 | 136.12平米 | 南 | 毛坯 | 高楼层(共14层)  | 板楼,1人关注 / 一年前发布,300,"22,040元/平"
南北通透  视野开阔   设施设备齐全,恒大海上威尼斯 -启东市,4室1厅 | 172.21平米 | 南 北 | 精装 | 低楼层(共3层)  | 塔楼,1人关注 / 一年前发布,190,"11,034元/平"
善成全新毛坯好房 实用面积200+ 诚心出售 价格实惠！,善成新村 -启东市,3室2厅 | 108.77平米 | 南 | 毛坯 | 高楼层(共4层)  | 板楼,0人关注 / 一年前发布,159.6,"14,674元/平"
公馆1895好房带车位！上首户 前排全天采光,公馆1895 -任港,4室2厅 | 139.08平米 | 南 | 精装 | 17层  | 板楼,2人关注 / 一年前发布,375,"26,963元/平"
楼层高，采光无遮挡，客厅连大阳台。,中南君悦府 -金沙,5室2厅 | 205.52平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 板楼,7人关注 / 一年前发布,320,"15,571元/平"
狼山脚下山景水岸空中花园视野好直视长江诚心出售满2,山景水岸 -军山,6室3厅 | 177.11平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,12人关注 / 一年前发布,319,"18,012元/平"
东首户带阁楼，采光好，面积大，单价低，阁楼精装,永兴佳园 -永兴,4室1厅 | 204.7平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,173,"8,452元/平"
带新风地暖的四房两厅两卫，房东急售。,恒大海上威尼斯 -启东市,4室2厅 | 140.79平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,90.5,"6,429元/平"
绿墅湾115平，四室精装复式，楼层好全天采光，有车库,意邦绿墅湾 -永兴,4室1厅 | 115平米 | 南 | 精装 | 中楼层(共35层)  | 板楼,9人关注 / 一年前发布,218.5,"19,000元/平"
棕榈湾4房2卫 西边户 毛坯 看房随时,冠城大通棕榈湾 -观音山,3室2厅 | 134.35平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,202,"15,036元/平"
佳期漫精装洋房 小区环境优美 配套成熟,佳期漫 -观音山,4室2厅 | 144.83平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,6人关注 / 一年前发布,349,"24,098元/平"
橡树湾一期稀 少户型 小洋房得房率高 位置好 全天采光,南通橡树湾 -能达商务区,4室2厅 | 168.99平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,67人关注 / 一年前发布,280,"16,570元/平"
市区总层4层楼中楼 含两个朝南车库 看房有钥匙随时看,东晖花园 -观音山,4室2厅 | 217.59平米 | 南 | 毛坯 | 高楼层(共4层)  | 板塔结合,0人关注 / 2个月以前发布,298,"13,696元/平"
军山花园 3层4层叠加别墅 有车位 有车库 阳台面积大,军山花园 -军山,6室2厅 | 242.64平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,15人关注 / 一年前发布,430,"17,722元/平"
绿茵港湾，四室两厅两卫，带装修朝阳车库20平,绿茵港湾 -三厂,4室2厅 | 135.06平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,160,"11,847元/平"
小区位置好，环境好，绿化好，交通出行方便,冠城大通棕榈湾 -观音山,3室2厅 | 133.64平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 11个月以前发布,280,"20,952元/平"
精装，有地暖，满5年，采光好 户型正,运杰龙馨园(海门市) -海门,3室2厅 | 152平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 10个月以前发布,273.8,"18,014元/平"
植物园东 带电梯双拼别墅 带大院 南北通透 配套完善,金河名人世家 -军山,6室3厅 | 300.08平米 | 南 北 | 毛坯 | 4层  | 板塔结合 | 联排别墅 ,0人关注 / 2个月以前发布,916,"30,526元/平"
棕榈湾 中上楼层 毛坯 诚心出售 看房随时,冠城大通棕榈湾 -观音山,4室1厅 | 138.61平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 11个月以前发布,266,"19,191元/平"
前排视野好，采光通透，有钥匙，诚心卖,万科城市之光 -观音山,4室2厅 | 142.62平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,4人关注 / 一年前发布,320,"22,438元/平"
橡树湾 首排十楼 能达CBD 大三房 西边户 采光视野好,南通橡树湾 -能达商务区,3室2厅 | 140.76平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,20人关注 / 一年前发布,199.8,"14,195元/平"
房东诚心置换，户型方正，无别的费用,罗福宫 -先锋,4室2厅 | 137.65平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,206,"14,966元/平"
橡树湾首排 视野开阔 全天采光 清水房 五个阳台,南通橡树湾 -能达商务区,3室1厅 | 131.1平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,28人关注 / 一年前发布,217,"16,553元/平"
毛坯，配套齐全，交通便利，房东诚心出售，,善成新村 -启东市,5室4厅 | 129.73平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,0人关注 / 3个月以前发布,159.8,"12,318元/平"
出行便捷，户型方正，居住方便舒适，实际利用面积大,优山美地花园南区 -军山,4室1厅 | 251.15平米 | 东南 | 精装 | 低楼层(共5层)  | 板塔结合,14人关注 / 7个月以前发布,460,"18,316元/平"
东恒盛国际公馆 全天采光 房东诚心出售,东恒盛·国际公馆 -海门,4室2厅 | 193.93平米 | 南 | 毛坯 | 低楼层(共23层)  | 板楼,6人关注 / 一年前发布,360.8,"18,605元/平"
第九园有毛坯房，房东诚心出售中，可随时看房,第九园 -先锋,4室2厅 | 141.88平米 | 南 | 毛坯 | 低楼层(共23层)  | 板塔结合,8人关注 / 一年前发布,179,"12,617元/平"
植物园东 带电梯双拼别墅 带大院 南北通透 配套完善,金河名人世家 -军山,6室3厅 | 300.08平米 | 南 北 | 毛坯 | 4层  | 板塔结合 | 联排别墅 ,0人关注 / 2个月以前发布,916,"30,526元/平"
橡树湾 首排十楼 能达CBD 大三房 西边户 采光视野好,南通橡树湾 -能达商务区,3室2厅 | 140.76平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,20人关注 / 一年前发布,199.8,"14,195元/平"
含车库  中洋水景园，精装4室，环境优美，适合居住,中洋水景园 -海安县,4室2厅 | 176.17平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,180,"10,218元/平"
星湖湾  5室3卫 通透明亮，毛坯自由设计 大平层湖景房,星湖湾 -海安县,5室2厅 | 186.97平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,3人关注 / 7个月以前发布,194.36,"10,396元/平"
星湖花园的好房，此房无大税，楼间距大,星湖花园 -能达商务区,5室2厅 | 198.66平米 | 南 | 毛坯 | 高楼层(共5层)  | 板楼,9人关注 / 一年前发布,238,"11,981元/平"
景瑞首排别墅带院子，全新精装 满二 两个车位，急售,景瑞望府 -能达商务区,5室2厅 | 189.66平米 | 南 | 精装 | 低楼层(共4层)  | 板楼,5人关注 / 5个月以前发布,588,"31,003元/平"
星湖花园的顶复；空中花园，你值得拥有,星湖花园 -能达商务区,6室1厅 | 225.24平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,2人关注 / 2个月以前发布,235,"10,434元/平"
交通便利 小区景观运河房 环境干净舒适,崇川星光域 -濠河,6室3厅 | 372.57平米 | 南 | 毛坯 | 32层  | 板塔结合 | 双拼别墅 ,0人关注 / 1个月以前发布,2580,"69,249元/平"
阳光嘉园  电梯顶层复式  空中别墅 毛坯 自由设计,阳光嘉园 -海安县,5室3厅 | 291.77平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 7个月以前发布,263,"9,014元/平"
户型方正 有车位 品质小区 品牌物业 精装修拎包入住,公馆1895 -任港,4室2厅 | 173.42平米 | 南 | 精装 | 17层  | 板楼,1人关注 / 一年前发布,510,"29,409元/平"
海尚家园大三房，上首房，户型方正置换的可以看看,海尚家园东区 -小海,3室2厅 | 126.73平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,4人关注 / 11个月以前发布,135,"10,653元/平"
本房屋户型方正，配套成熟，小区有沿街商铺，西门,帝奥世伦名郡 -观音山,5室3厅 | 223.18平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 10个月以前发布,496,"22,225元/平"
大润发旁，国城璟府大三房，户型方正,国城璟府 -观音山,3室2厅 | 140.68平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,16人关注 / 一年前发布,290,"20,615元/平"
小区前排。房东诚心出售，中间楼层 ，户型方正，,景瑞御府 -军山,4室2厅 | 147.59平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,35人关注 / 一年前发布,260,"17,617元/平"
房东诚心出售，户型方正，布局合理，楼层好,天瑞绿洲 -如皋市区,4室2厅 | 128.57平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,5人关注 / 一年前发布,129.8,"10,096元/平"
军山脚下 裤子港河边 别墅区 双拼别墅 东首户 带小苑,顺发御园 -军山,4室2厅 | 326.29平米 | 南 | 毛坯 | 3层  | 板塔结合 | 双拼别墅 ,0人关注 / 4个月以前发布,1500,"45,972元/平"
