标题,开发商,房子信息,发布信息,售价/万,单价
电力湖心路双阳台户型-一期实用高户型-业主保养好,家和城一期 -白藤头,3室2厅 | 113.31平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 10天以前发布,180,"15,886元/平"
户型方正，100平方大天台，实用率高，视野好,新城市中心广场 -新香洲,3室2厅 | 106平米 | 北 | 简装 | 高楼层(共7层)  | 塔楼,9人关注 / 一年前发布,280,"26,416元/平"
湾仔华发峰景湾三房两厅两卫，业主急售,华发峰景湾 -湾仔,3室2厅 | 97.97平米 | 南 | 毛坯 | 中楼层(共38层)  | 塔楼,20人关注 / 一年前发布,300,"30,622元/平"
珠海!湖心路口 !少税！电梯精装3房2卫！景观好 ！,左邻右居 -红旗镇,3室2厅 | 91.51平米 | 西北 | 精装 | 低楼层(共16层)  | 板楼,22人关注 / 一年前发布,99,"10,819元/平"
万科精装四房 离横琴近，小区绿化好 篮球场+游泳池,万科城市花园 -三灶镇,4室2厅 | 132.85平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,6人关注 / 一年前发布,193,"14,528元/平"
红旗双湖北路 永泰假日公馆 带装修两房 带小平台,永泰假日公馆 -红旗镇,2室2厅 | 50.22平米 | 西北 | 简装 | 低楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,61,"12,147元/平"
珠海西区华发商都大空间3房 出行交通方便,丽雅苑 -红旗镇,3室2厅 | 122.7平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,160,"13,040元/平"
红旗带大露台满五*怡泰雅苑三房两卫,怡泰雅苑 -红旗镇,3室2厅 | 93.25平米 | 南 | 毛坯 | 低楼层(共11层)  | 塔楼,26人关注 / 一年前发布,125,"13,405元/平"
湖心路口 鸿泰海半山 靠山看海  中间楼层,鸿泰海半山 -红旗镇,2室2厅 | 76平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,112.5,"14,803元/平"
夏湾拱北河畔 银石雅园 精装大三房 看房方便 随时看房,银石雅园 -拱北,3室2厅 | 108平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,39人关注 / 一年前发布,260,"24,075元/平"
富华里 大三房南向采光好 高层无遮挡 业主诚心出售,富华里 -拱北,3室2厅 | 129.99平米 | 东南 | 精装 | 29层  | 板塔结合,2人关注 / 一年前发布,400,"30,772元/平"
金海华府，高层电梯房，南向户型，视野景观好,金海华府 -三灶镇,3室2厅 | 99.9平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 一年前发布,130,"13,014元/平"
金湾航空新城金地格林春晓精装三房户型方正户型采光好,金地格林春晓一期（金地扑满花园） -航空新城,3室2厅 | 79.22平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,8人关注 / 4个月以前发布,95,"11,992元/平"
白藤头西江月电梯三房，户型格局好，采光通风好,西江月 -白藤头,3室1厅 | 101.05平米 | 北 | 简装 | 中楼层(共16层)  | 板楼,7人关注 / 一年前发布,125,"12,371元/平"
江湾东一苑3-1-1-1 93.15m² 83 万,江湾东一苑 -井岸镇,3室1厅 | 93.15平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,70,"7,515元/平"
海怡湾畔 高层南北通  四房  精装修出售,海怡湾畔 -唐家湾镇,4室2厅 | 206平米 | 南 北 | 精装 | 31层  | 板塔结合,3人关注 / 一年前发布,438,"21,263元/平"
华发世纪城四期楼 王，看别墅，看河景，位置方便,华发世纪城四期 -南湾,5室2厅 | 243平米 | 东 东南 | 精装 | 28层  | 板楼,6人关注 / 一年前发布,710,"29,219元/平"
一线海景房，户型格局方正，通风采光好,海湾新家园 -拱北,2室1厅 | 108.83平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,239,"21,961元/平"
金湾一，小红旗电梯精装小三房书香门邸,书香门邸 -红旗镇,3室2厅 | 82平米 | 东南 | 精装 | 中楼层(共17层)  | 板楼,16人关注 / 一年前发布,138.5,"16,891元/平"
恒隆华萃园 毛坯南北通3房 近北理工 看房方便,恒隆华萃园 -唐家湾镇,3室2厅 | 129.71平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,1人关注 / 一年前发布,295,"22,744元/平"
小区环境位置好 物业管理好 高楼层,中珠山海间2期 -红旗镇,2室2厅 | 75.5平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,1人关注 / 7个月以前发布,130,"17,219元/平"
单价优势，总价优势，配套齐，交通便利,风和日丽公馆 -南水镇,3室2厅 | 121.19平米 | 南 | 毛坯 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,89,"7,344元/平"
方正四房 看海景 位置安静 税费各付 诚心出售,华策帝景湾 -唐家湾镇,4室2厅 | 113.99平米 | 东南 西北 | 精装 | 26层  | 板塔结合,0人关注 / 2个月以前发布,400,"35,091元/平"
一线海景！航空新城两房！放眼望去都是海,时代山湖海6期 -航空新城,3室2厅 | 93.04平米 | 西北 | 精装 | 中楼层(共31层)  | 板塔结合,12人关注 / 一年前发布,175.5,"18,863元/平"
首付35万买河景三房 采光好 通风好  舒适少税,招商依云水岸 -白蕉镇,3室2厅 | 85.67平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,108,"12,607元/平"
玉兰苑  南向小三房  看高尔夫球场 房和车位打包出售,翠湖香山玉兰苑 -唐家湾镇,3室2厅 | 103.79平米 | 南 | 精装 | 32层  | 板楼,1人关注 / 3个月以前发布,350,"33,722元/平"
富华里商圈次新房 南向高层 视野开阔 可看河景,中铁诺德国际 -拱北,3室2厅 | 106.32平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 5个月以前发布,477,"44,865元/平"
红旗广安路电梯两房带装修仅售100万,丽雅苑 -红旗镇,2室2厅 | 78.37平米 | 南 | 简装 | 高楼层(共18层)  | 平房,0人关注 / 1个月以前发布,98,"12,505元/平"
新房 2楼带平台 原价急售 精装修,燕都 -前山,3室2厅 | 88.32平米 | 东南 | 简装 | 低楼层(共32层)  | 板塔结合,19人关注 / 一年前发布,243,"27,514元/平"
横琴后花园 金湾滨海商务区 新世界海滨花园实用四房,珠海新世界海滨花园 -三灶镇,4室2厅 | 119.56平米 | 西南 | 简装 | 高楼层(共7层)  | 板塔结合,40人关注 / 一年前发布,127.5,"10,665元/平"
龙珠花园楼梯房简装看房方便有钥匙,龙珠花园 -井岸镇,3室2厅 | 91.5平米 | 东南 | 简装 | 高楼层(共8层)  | 平房,3人关注 / 一年前发布,55,"6,011元/平"
山海一品海岸花园高层大四方无遮挡，看海景，诚心出售,山海一品海岸花园 -三灶镇,4室2厅 | 144.31平米 | 东 西 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 一年前发布,252,"17,463元/平"
湖心路 简装三房 邻近市场 配套齐,藤湖苑西 -白蕉镇,3室2厅 | 93.51平米 | 东南 西南 | 简装 | 中楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,68,"7,272元/平"
前山招商花园城一期精装修三房二厅一卫业主急售,招商花园城一期 -前山,3室2厅 | 90.19平米 | 南 北 | 简装 | 低楼层(共23层)  | 板楼,16人关注 / 4个月以前发布,262,"29,050元/平"
近学 校 方正四房 实用横厅设计 诚心出售 看房方便,华策帝景湾 -唐家湾镇,4室2厅 | 113.15平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 7个月以前发布,430,"38,003元/平"
复式五房4卫还带一个大露台，业主诚心出售,海逸豪庭 -白蕉镇,5室3厅 | 263.16平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,13人关注 / 一年前发布,264,"10,032元/平"
品质楼盘 华发山庄 纯板楼+别墅 园林绿化很美,华发山庄 -前山,4室2厅 | 167.44平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 塔楼,2人关注 / 3个月以前发布,570,"34,043元/平"
拱北电梯大三房 东南向无遮挡 无欠款,桂花中心大厦 -拱北,3室2厅 | 118.08平米 | 东南 | 简装 | 中楼层(共22层)  | 板楼,0人关注 / 3个月以前发布,222,"18,801元/平"
华发城央 品质楼盘 纯板楼 南北通透 小区中间位置,华发山庄 -前山,4室2厅 | 167.44平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 3个月以前发布,586,"34,998元/平"
经典格局三个房朝南，视野开阔 无遮挡,恒荣格拉斯堡 -红旗镇,3室2厅 | 109.38平米 | 东南 | 毛坯 | 低楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,139.5,"12,754元/平"
天庆金海岸，四房两厅两卫一厨，南北通,天庆晋海岸 -三灶镇,4室2厅 | 129.34平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 一年前发布,165,"12,758元/平"
海怡湾畔 高层南北通  四房  精装修出售,海怡湾畔 -唐家湾镇,4室2厅 | 206平米 | 南 北 | 精装 | 31层  | 板塔结合,3人关注 / 一年前发布,438,"21,263元/平"
房子是红旗广安幼儿园隔壁  小区配套设施齐,中珠山海间2期 -红旗镇,2室2厅 | 75.49平米 | 西南 | 毛坯 | 中楼层(共25层)  | 板塔结合,3人关注 / 7个月以前发布,116,"15,367元/平"
金湾一，小红旗电梯精装小三房书香门邸,书香门邸 -红旗镇,3室2厅 | 82平米 | 东南 | 精装 | 中楼层(共17层)  | 板楼,16人关注 / 一年前发布,138.5,"16,891元/平"
小区环境位置好 物业管理好 高楼层,中珠山海间2期 -红旗镇,2室2厅 | 75.5平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,1人关注 / 7个月以前发布,130,"17,219元/平"
恒隆华萃园 毛坯南北通3房 近北理工 看房方便,恒隆华萃园 -唐家湾镇,3室2厅 | 129.71平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,1人关注 / 一年前发布,295,"22,744元/平"
单价优势，总价优势，配套齐，交通便利,风和日丽公馆 -南水镇,3室2厅 | 121.19平米 | 南 | 毛坯 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,89,"7,344元/平"
方正四房 看海景 位置安静 税费各付 诚心出售,华策帝景湾 -唐家湾镇,4室2厅 | 113.99平米 | 东南 西北 | 精装 | 26层  | 板塔结合,0人关注 / 2个月以前发布,400,"35,091元/平"
一线海景房，户型格局方正，通风采光好,海湾新家园 -拱北,2室1厅 | 108.83平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,239,"21,961元/平"
中信红树湾 平层三房两卫 业主诚心出售,中信红树湾一期 -南湾,3室2厅 | 118.85平米 | 南 | 精装 | 32层  | 板楼,71人关注 / 一年前发布,455,"38,284元/平"
荣泰河庭，2004年的小区，，,荣泰河庭 -前山,2室2厅 | 70.6平米 | 西北 | 简装 | 高楼层(共6层)  | 板楼,37人关注 / 一年前发布,139,"19,689元/平"
房子简装 实用 格局通透 采光好,竹苑新村 -吉大,3室2厅 | 80.17平米 | 东北 | 简装 | 中楼层(共8层)  | 板楼,8人关注 / 一年前发布,140,"17,463元/平"
白蕉新城 电梯精装三房两卫 户型方正看房方便,海逸假期花园 -白蕉镇,3室2厅 | 91.62平米 | 东北 | 精装 | 中楼层(共16层)  | 板塔结合,14人关注 / 一年前发布,95,"10,369元/平"
香海大桥落脚点，视野开阔户型房正带车位出售,时代香海彼岸 -白藤头,3室1厅 | 88.26平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,17人关注 / 一年前发布,135,"15,296元/平"
吉大电梯，景湾住宅，4房2卫 精装复式 上下两层,景湾商住楼 -吉大,4室2厅 | 225.99平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,7人关注 / 一年前发布,480,"21,240元/平"
金海湾花园，老香洲电梯中层海景房,金海湾花园 -老香洲,3室2厅 | 112.19平米 | 东北 | 简装 | 中楼层(共24层)  | 塔楼,9人关注 / 一年前发布,320,"28,524元/平"
香洲区云顶澜山 带两地车牌 南向精装三房,云顶澜山 -上冲,3室2厅 | 126.84平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,29人关注 / 一年前发布,295,"23,258元/平"
湖心路美湖湾精装两房118万出售  奇正小 学一  墙之隔,美湖湾 -白藤头,2室2厅 | 73.34平米 | 东南 西南 | 精装 | 低楼层(共28层)  | 板塔结合,6人关注 / 一年前发布,115,"15,681元/平"
洋房满五 南北通单边位 小区中部景观漂亮采光足,华发蔚蓝堡 -唐家湾镇,4室2厅 | 172.41平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,19人关注 / 8个月以前发布,430,"24,941元/平"
园林溪郡 精美装修 三房两厅两卫 看房方便,园林熙郡 -吉大,4室2厅 | 109.64平米 | 东北 | 精装 | 低楼层(共18层)  | 塔楼,34人关注 / 一年前发布,312,"28,457元/平"
湖心路 金碧丽江东海岸花园 精装 南向三房,金碧丽江东海岸 -白藤头,3室2厅 | 109.33平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,15人关注 / 一年前发布,165,"15,092元/平"
房子格局方正，精装房，业主很爱惜房子，保持的很新。,山水华庭 -吉大,3室2厅 | 122.41平米 | 东南 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 一年前发布,290,"23,691元/平"
香海大桥落脚点德昌盛景精装修2房拧包入住,德昌盛景花园 -白藤头,2室1厅 | 74.88平米 | 西南 | 精装 | 低楼层(共26层)  | 板塔结合,6人关注 / 10个月以前发布,97.8,"13,061元/平"
吉大的海湾东苑好房放盘，格局方正，光线好,海湾东苑 -吉大,3室1厅 | 119.8平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,299,"24,959元/平"
白藤一路公交站富红苑精装大三房，格局方正,富红苑 -红旗镇,3室2厅 | 98.8平米 | 东 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 一年前发布,85,"8,604元/平"
世荣名筑  南向三房看房 看房方便,世荣名筑 -白藤头,3室2厅 | 116.05平米 | 东南 | 毛坯 | 高楼层(共16层)  | 板楼,5人关注 / 一年前发布,157,"13,529元/平"
房子户型好 保养好 格局方正 南北通,西江月 -白藤头,2室2厅 | 66.7平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,85,"12,744元/平"
南北鸟瞰河景，123平方高层刚需大三房,华发新城二期 -南湾,3室2厅 | 122.77平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,5人关注 / 5个月以前发布,386,"31,441元/平"
航空新城热门小区，精装三房视野宽阔。。,时代山湖海6期 -航空新城,3室2厅 | 112.23平米 | 东南 | 精装 | 中楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,227,"20,227元/平"
小三房，楼层好，视野开阔，邻近生活配套成熟,海怡大厦 -吉大,3室1厅 | 105.69平米 | 西北 | 精装 | 高楼层(共28层)  | 塔楼,2人关注 / 一年前发布,201,"19,018元/平"
德昌顶楼复式，无费用 改造空间大 靠 近家和城,德昌盛景花园 -白藤头,4室2厅 | 145.44平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,9人关注 / 一年前发布,210,"14,439元/平"
业主诚心出售，看房很方便的，价格可以小谈,岭南世家景园 -柠溪,2室2厅 | 79.38平米 | 北 | 精装 | 低楼层(共11层)  | 塔楼,8人关注 / 一年前发布,200,"25,196元/平"
桃源居东区，精装4房2卫，家私家电齐，南北对流,桃源居东 -白蕉镇,4室2厅 | 94.5平米 | 西南 | 精装 | 中楼层(共15层)  | 板楼,2人关注 / 8个月以前发布,113.8,"12,043元/平"
有钥匙看 美湖湾 3房2卫 朝南向 看小区园景 各付各税,美湖湾 -白藤头,3室2厅 | 89.44平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,2人关注 / 6个月以前发布,125,"13,976元/平"
金涛园精装两房 满五 中间楼层 采光通风好 户型方正,金涛园 -红旗镇,2室2厅 | 81.77平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,85,"10,396元/平"
公务员小区 楼间距宽  电梯中层  东南朝南 2个洗手间,福康花园 -柠溪,2室2厅 | 80.6平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,5人关注 / 一年前发布,158,"19,603元/平"
高新区 金景豪园 3房2厅2卫 南北通透,金景豪园 -唐家湾镇,3室2厅 | 110.65平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,80人关注 / 一年前发布,181,"16,358元/平"
港珠澳桥头堡 靠山面海 精装修别墅看一线海景,山海一品别墅 -吉大,3室2厅 | 254.01平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,1500,"59,053元/平"
吉大侨星花园 温馨两房 户型方正 面积实用 有钥匙,侨星花园 -吉大,2室2厅 | 81.59平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,29人关注 / 一年前发布,146,"17,895元/平"
世荣名筑 2室2厅 东南,世荣名筑 -白藤头,2室2厅 | 81.14平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,105,"12,941元/平"
前山近市场南北向简装小高层四房,心海州 -前山,4室2厅 | 134.94平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,300,"22,233元/平"
房子格局好房间东南方向，阳台视野广，楼层好。,格力广场一期 -吉大,4室2厅 | 173.3平米 | 西北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,585,"33,757元/平"
笋笋价！一梯两户南北通！航空新城后花园，7000多入住,永结花园 -白藤头,3室2厅 | 86.62平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,9人关注 / 一年前发布,60,"6,927元/平"
南北鸟瞰河景，123平方高层刚需大三房,华发新城二期 -南湾,3室2厅 | 122.77平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,5人关注 / 5个月以前发布,386,"31,441元/平"
高新区 金景豪园 3房2厅2卫 南北通透,金景豪园 -唐家湾镇,3室2厅 | 110.65平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,80人关注 / 一年前发布,181,"16,358元/平"
港珠澳桥头堡 靠山面海 精装修别墅看一线海景,山海一品别墅 -吉大,3室2厅 | 254.01平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,1500,"59,053元/平"
园林溪郡 精美装修 三房两厅两卫 看房方便,园林熙郡 -吉大,4室2厅 | 109.64平米 | 东北 | 精装 | 低楼层(共18层)  | 塔楼,34人关注 / 一年前发布,312,"28,457元/平"
吉大侨星花园 温馨两房 户型方正 面积实用 有钥匙,侨星花园 -吉大,2室2厅 | 81.59平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,29人关注 / 一年前发布,146,"17,895元/平"
格局方正，采光好，东南朝向，双阳台两房,华兴豪庭 -红旗镇,2室2厅 | 78.3平米 | 东南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,95,"12,133元/平"
吉大忠心地段，海滨公园，情侣路上,诚丰星座 -吉大,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,27人关注 / 11个月以前发布,359,"28,047元/平"
前山近市场南北向简装小高层四房,心海州 -前山,4室2厅 | 134.94平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,300,"22,233元/平"
业主急售 高层南北通 精装四房未住过 价可谈,万威森林园二期 -白藤头,4室2厅 | 116.82平米 | 西南 东北 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 8个月以前发布,180,"15,409元/平"
世荣名筑 2室2厅 东南,世荣名筑 -白藤头,2室2厅 | 81.14平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,105,"12,941元/平"
格局方正配套齐地理优越景观好看房方便,东方威尼城 -白藤头,3室2厅 | 125.52平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,155,"12,349元/平"
夏湾新鸿苑 一梯两户 电梯小高层,新鸿苑 -夏湾,3室2厅 | 105.6平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,250,"23,675元/平"
万威美地优质好房，东南朝向，楼层好 视野宽阔 通风好,万威美地 -白藤头,3室1厅 | 109.21平米 | 东南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,126,"11,538元/平"
关口  次新楼盘 自住房 装修精致 低层看园景,龙光玖龙湾 -夏湾,3室1厅 | 99.27平米 | 南 | 精装 | 25层  | 塔楼,3人关注 / 7个月以前发布,365,"36,769元/平"
恒隆华翠园  业主诚心出售 看房方便,恒隆华萃园 -唐家湾镇,3室2厅 | 130.22平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,0人关注 / 一年前发布,360,"27,646元/平"
户型方正，采光通风很好，诚心出售,中珠上郡 -红旗镇,2室2厅 | 78.64平米 | 西南 | 精装 | 中楼层(共11层)  | 板楼,14人关注 / 一年前发布,105,"13,352元/平"
吉大金景花园三房，中间楼层，电梯小高层，户型方正,金景花园 -吉大,3室2厅 | 104.24平米 | 南 北 | 简装 | 中楼层(共10层)  | 板楼,11人关注 / 一年前发布,239,"22,928元/平"
金涛园精装两房 满五 中间楼层 采光通风好 户型方正,金涛园 -红旗镇,2室2厅 | 81.77平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,85,"10,396元/平"
笋笋价！一梯两户南北通！航空新城后花园，7000多入住,永结花园 -白藤头,3室2厅 | 86.62平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,9人关注 / 一年前发布,60,"6,927元/平"
公务员小区 楼间距宽  电梯中层  东南朝南 2个洗手间,福康花园 -柠溪,2室2厅 | 80.6平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,5人关注 / 一年前发布,158,"19,603元/平"
房子格局好房间东南方向，阳台视野广，楼层好。,格力广场一期 -吉大,4室2厅 | 173.3平米 | 西北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,585,"33,757元/平"
金地格林春晓三期南北通透4+1户型，格局方正采光好,金地格林春晓二三期 -航空新城,4室2厅 | 126.88平米 | 东南 西北 | 毛坯 | 中楼层(共22层)  | 板塔结合,0人关注 / 6个月以前发布,220,"17,340元/平"
航空城一线海景 祥祺明月湾大面积南北通 满五唯 一,祥祺明月湾 -航空新城,4室2厅 | 155平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 塔楼,2人关注 / 3个月以前发布,250,"16,130元/平"
航空城鸿泰花园 精装三房两卫 中间楼层视野采光好,鸿泰花园 -航空新城,3室2厅 | 107.71平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,225,"20,890元/平"
洋房满五 南北通单边位 小区中部景观漂亮采光足,华发蔚蓝堡 -唐家湾镇,4室2厅 | 172.41平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,19人关注 / 8个月以前发布,430,"24,941元/平"
房子格局方正，精装房，业主很爱惜房子，保持的很新。,山水华庭 -吉大,3室2厅 | 122.41平米 | 东南 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 一年前发布,290,"23,691元/平"
湖心路 金碧丽江东海岸花园 精装 南向三房,金碧丽江东海岸 -白藤头,3室2厅 | 109.33平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,15人关注 / 一年前发布,165,"15,092元/平"
吉大山海一品277 平4室，精装，环境优雅，居住适宜,山海一品 -吉大,4室2厅 | 277.44平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 塔楼,5人关注 / 一年前发布,760,"27,394元/平"
美湖湾*新毛坯业主诚心出售。。,美湖湾 -白藤头,3室2厅 | 87平米 | 西南 | 毛坯 | 低楼层(共28层)  | 塔楼,5人关注 / 一年前发布,129,"14,828元/平"
香洲区云顶澜山 带两地车牌 南向精装三房,云顶澜山 -上冲,3室2厅 | 126.84平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,29人关注 / 一年前发布,295,"23,258元/平"
金海湾花园，老香洲电梯中层海景房,金海湾花园 -老香洲,3室2厅 | 112.19平米 | 东北 | 简装 | 中楼层(共24层)  | 塔楼,9人关注 / 一年前发布,320,"28,524元/平"
香海大桥落脚点，视野开阔户型房正带车位出售,时代香海彼岸 -白藤头,3室1厅 | 88.26平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,17人关注 / 一年前发布,135,"15,296元/平"
湖心路美湖湾精装两房118万出售  奇正小 学一  墙之隔,美湖湾 -白藤头,2室2厅 | 73.34平米 | 东南 西南 | 精装 | 低楼层(共28层)  | 板塔结合,6人关注 / 一年前发布,115,"15,681元/平"
吉大电梯，景湾住宅，4房2卫 精装复式 上下两层,景湾商住楼 -吉大,4室2厅 | 225.99平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,7人关注 / 一年前发布,480,"21,240元/平"
德昌顶楼复式，无费用 改造空间大 靠 近家和城,德昌盛景花园 -白藤头,4室2厅 | 145.44平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,9人关注 / 一年前发布,210,"14,439元/平"
桃源居东区，精装4房2卫，家私家电齐，南北对流,桃源居东 -白蕉镇,4室2厅 | 94.5平米 | 西南 | 精装 | 中楼层(共15层)  | 板楼,2人关注 / 8个月以前发布,113.8,"12,043元/平"
业主诚心出售，看房很方便的，价格可以小谈,岭南世家景园 -柠溪,2室2厅 | 79.38平米 | 北 | 精装 | 低楼层(共11层)  | 塔楼,8人关注 / 一年前发布,200,"25,196元/平"
高新区诚心出售环境优美小区中间位置中间楼层采光好,远大美域 -唐家湾镇,5室2厅 | 212平米 | 南 | 精装 | 7层  | 板塔结合,0人关注 / 1个月以前发布,640,"30,189元/平"
诚心出售，电梯房，新小区环境好，毛坯2房，看房方便,中珠上郡二三期 -红旗镇,2室2厅 | 82.17平米 | 东南 | 毛坯 | 低楼层(共23层)  | 板塔结合,0人关注 / 7个月以前发布,112,"13,631元/平"
吉大的海湾东苑好房放盘，格局方正，光线好,海湾东苑 -吉大,3室1厅 | 119.8平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,299,"24,959元/平"
房子户型好 保养好 格局方正 南北通,西江月 -白藤头,2室2厅 | 66.7平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,85,"12,744元/平"
小三房，楼层好，视野开阔，邻近生活配套成熟,海怡大厦 -吉大,3室1厅 | 105.69平米 | 西北 | 精装 | 高楼层(共28层)  | 塔楼,2人关注 / 一年前发布,201,"19,018元/平"
世荣名筑  南向三房看房 看房方便,世荣名筑 -白藤头,3室2厅 | 116.05平米 | 东南 | 毛坯 | 高楼层(共16层)  | 板楼,5人关注 / 一年前发布,157,"13,529元/平"
白藤一路公交站富红苑精装大三房，格局方正,富红苑 -红旗镇,3室2厅 | 98.8平米 | 东 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 一年前发布,85,"8,604元/平"
航空新城热门小区，精装三房视野宽阔。。,时代山湖海6期 -航空新城,3室2厅 | 112.23平米 | 东南 | 精装 | 中楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,227,"20,227元/平"
有钥匙看 美湖湾 3房2卫 朝南向 看小区园景 各付各税,美湖湾 -白藤头,3室2厅 | 89.44平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,2人关注 / 6个月以前发布,125,"13,976元/平"
华发新城近商都，大4房子 价格实惠南北通看河景,华发新城三期 -南湾,4室2厅 | 158.89平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,31人关注 / 一年前发布,430,"27,063元/平"
交通便利，生活购物于一体。简装大三房.,富都大厦 -吉大,3室2厅 | 125.6平米 | 西 北 | 简装 | 中楼层(共19层)  | 板楼,0人关注 / 7个月以前发布,236,"18,790元/平"
