标题,开发商,房子信息,发布信息,售价/万,单价
观江府4-2-1-2 118.00m² 房东急售 江景房,观江府 -大兴,4室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,88,"7,458元/平"
国家单位家属房交通便利 小区环境干净舒适 适合居住,国税局宿舍 -名山区,3室2厅 | 154.93平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,63,"4,067元/平"
七彩雅安大套三双卫，带车库出售，诚心卖拎包入住,七彩雅安 -名山区,3室2厅 | 133平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,65,"4,888元/平"
西康国际套三 交通便利 小区环境干净舒适 适合居住,西康国际 -名山区,3室2厅 | 106.5平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 一年前发布,50.8,"4,770元/平"
西康国际精装修套三，基本没怎么住过，视野采光好,西康国际 -名山区,3室2厅 | 108平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,69.5,"6,436元/平"
名城御景 一梯两户 精装套三 单价五千多,名城御景 -名山区,3室2厅 | 129平米 | 东 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,68.8,"5,334元/平"
品质小区 中高层，视野很好，户型方正，采光充足,翰城1981二期 -姚桥,3室2厅 | 95.5平米 | 东南 | 毛坯 | 中楼层(共17层)  | 板塔结合,1人关注 / 3个月以前发布,67.8,"7,100元/平"
此房户型方正 视野采光楼层好 地理位置好,金科天宸雅郡 -大兴,3室2厅 | 126平米 | 东南 | 毛坯 | 低楼层(共10层)  | 暂无数据,0人关注 / 3个月以前发布,95,"7,540元/平"
恒信上海城 精装套三 诚心出售  看上价格可议,恒信上海城 -姚桥,3室1厅 | 96平米 | 西南 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,93,"9,688元/平"
一楼方便做生意，面积大，大套五双卫.....,临江雅廊 -东城区域,5室2厅 | 150平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,95,"6,334元/平"
金科三期 一梯两户 洋房 套四双卫,金科集美江宸 -大兴,4室2厅 | 114平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,100,"8,772元/平"
金科一期 精装套四双卫 洋房 带400平平台 满2年,金科天宸雅苑 -大兴,4室2厅 | 132平米 | 东南 | 精装 | 低楼层(共10层)  | 板楼,1人关注 / 5个月以前发布,175,"13,258元/平"
七彩雅安 3室2厅 交通便利 小区环境干净舒适 适合居住,七彩雅安 -名山区,3室2厅 | 112.32平米 | 东南 | 毛坯 | 高楼层(共15层)  | 塔楼,1人关注 / 一年前发布,62,"5,520元/平"
七彩雅安 套三 交通便利 小区环境干净舒适 适合居住,七彩雅安 -名山区,3室2厅 | 133平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,1人关注 / 一年前发布,68,"5,113元/平"
瀚城1981一期 舒适套三 带车位房屋出售,翰城1981一期 -姚桥,3室1厅 | 112.21平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,77,"6,863元/平"
翰城1981一期 套三双卫  清水 楼层好  配套齐全,翰城1981一期 -姚桥,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,0人关注 / 一年前发布,68,"7,011元/平"
位置好，采光好，视野开阔   房东诚心出售,正黄金色雅郡 -姚桥,3室2厅 | 107平米 | 东南 | 毛坯 | 中楼层(共23层)  | 板塔结合,5人关注 / 一年前发布,65,"6,075元/平"
此房 视野足，采光好，值得推荐,花间集 -大兴,3室2厅 | 105平米 | 东南 | 毛坯 | 高楼层(共15层)  | 暂无数据,1人关注 / 一年前发布,72,"6,858元/平"
翰城1981.三室两厅两卫，现房现房 诚意卖,翰城1981一期 -姚桥,3室2厅 | 98平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,68,"6,939元/平"
沙湾川航小区 房主诚心出售 看上价格可议,沙湾川航小区 -姚桥,3室2厅 | 124平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,65,"5,242元/平"
龙博城套三双卫出售 看房方便 价格可议,龙溪源 -大兴,3室2厅 | 106平米 | 东南 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 6个月以前发布,65,"6,133元/平"
此房 视野足，采光好，值得推荐,花间集 -大兴,3室2厅 | 105平米 | 东南 | 毛坯 | 高楼层(共15层)  | 暂无数据,1人关注 / 一年前发布,72,"6,858元/平"
金科三期 一梯两户 洋房 套四双卫,金科集美江宸 -大兴,4室2厅 | 114平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,100,"8,772元/平"
金科一期 精装套四双卫 洋房 带400平平台 满2年,金科天宸雅苑 -大兴,4室2厅 | 132平米 | 东南 | 精装 | 低楼层(共10层)  | 板楼,1人关注 / 5个月以前发布,175,"13,258元/平"
一楼方便做生意，面积大，大套五双卫.....,临江雅廊 -东城区域,5室2厅 | 150平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,95,"6,334元/平"
沙湾川航小区 房主诚心出售 看上价格可议,沙湾川航小区 -姚桥,3室2厅 | 124平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,65,"5,242元/平"
恒信上海城 精装套三 诚心出售  看上价格可议,恒信上海城 -姚桥,3室1厅 | 96平米 | 西南 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,93,"9,688元/平"
香江南路3室2厅1厨2卫 房东诚心出售,香江南路97号大院 -康藏路区域,3室2厅 | 110.91平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,54,"4,869元/平"
四季名城 套三双卫 交通便利 小区环境干净舒适,四季名城 -名山区,3室2厅 | 122平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,6人关注 / 一年前发布,70,"5,738元/平"
名山城区大套三 户型方便 无物管费 停车方便,新民路139号 -名山区,3室2厅 | 128平米 | 东 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 11个月以前发布,50,"3,907元/平"
生活便利，上学方便，出门就是繁华商 业街,黄金苑 -名山区,3室2厅 | 145.3平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,58,"3,992元/平"
彩虹路十字路口铺面，框架结构独栋，临大道店铺出售,彩虹路49号 -名山区,12室2厅 | 1167.98平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,350,"2,997元/平"
单位房大套三，无物业管理费，拎包入住,青年巷1号 -名山区,3室2厅 | 125平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,48,"3,840元/平"
川航小区，大套三，拎包入住，停车方便,沙湾川航小区 -姚桥,3室2厅 | 124平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 3个月以前发布,58,"4,678元/平"
阳光小区，套四双卫，双阳台 ，看房方便,阳光小区 -名山区,4室2厅 | 195平米 | 东 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 3个月以前发布,86,"4,411元/平"
客厅面向河边，采光充足，含地下车位一个,科雅苑 -名山区,3室2厅 | 127.6平米 | 西北 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 10个月以前发布,99,"7,759元/平"
名城御景，自住套三精装房，上学生活便利,名城御景 -名山区,3室2厅 | 131平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 9个月以前发布,88,"6,718元/平"
"金科二期，户型方正,采光好，交通便 利 配套齐",金科天宸雅郡 -大兴,3室2厅 | 95.5平米 | 东南 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 4个月以前发布,72,"7,540元/平"
金科二期精装房，房东诚心卖，户型方正，采光好,金科天宸雅郡 -大兴,3室2厅 | 98平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,85,"8,674元/平"
翰城1981 套四双卫清水 楼层采光好 看房方便 价格可议,翰城1981一期 -姚桥,4室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,91,"7,166元/平"
民生桥附 近单位房，配套齐全赶车方便！,新民路177号 -名山区,3室2厅 | 112.36平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,38,"3,382元/平"
名城御景大套三双卫，精装修拎包入住,名城御景 -名山区,3室2厅 | 128.1平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,73,"5,699元/平"
新民路251号小区 3室2厅交通便利 小区环境干净舒适 ，,新民路251号 -名山区,3室2厅 | 137平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,50,"3,650元/平"
七彩雅安，5跃6，带花园 看房方便,七彩雅安 -名山区,3室2厅 | 143平米 | 东 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,80,"5,595元/平"
三室两厅大套三户型，户型方正居住舒适,嘉祥瑞庭峰景 -东城区域,3室2厅 | 126平米 | 东南 | 毛坯 | 高楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,110,"8,731元/平"
三室两厅一厨两卫.............,西网江湾城 -大兴,3室2厅 | 97平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 9个月以前发布,75,"7,732元/平"
此房南北通透格局、楼层好、视野宽阔、采光充足、,正黄金域华府 -大兴,3室1厅 | 107.47平米 | 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 8个月以前发布,74,"6,886元/平"
中大街原大华楼上四居室出售环境优美交通便利,中大街102号 -西城区域,4室2厅 | 120平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,62.8,"5,234元/平"
幸福家园3室2厅2卫   楼层好,幸福家园 -上坝区域,4室2厅 | 166平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,83,"5,000元/平"
挺进路工行单位房 3室2厅 清水房 楼层好 停车方便,挺进路147号 -河北区域,3室2厅 | 86平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,39.8,"4,628元/平"
名山半岛大套三双卫 好楼层 房东诚心出售,名山半岛 -名山区,3室2厅 | 130平米 | 东 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,68,"5,231元/平"
正黄五期 对中庭 不吵 户型方正 看房方便 不靠外环,正黄金域名座 -姚桥,3室2厅 | 102.43平米 | 南 | 毛坯 | 低楼层(共19层)  | 板塔结合,0人关注 / 一年前发布,73,"7,127元/平"
套三双卫。小区环境好，交通方便看房方便,翰城1981二期 -姚桥,3室2厅 | 122平米 | 东 | 毛坯 | 低楼层(共17层)  | 板塔结合,0人关注 / 10个月以前发布,75,"6,148元/平"
四小 学 区房，3室2厅1卫，公摊低，采光好，,正黄金色雅郡 -姚桥,3室2厅 | 86平米 | 西北 | 毛坯 | 低楼层(共25层)  | 塔楼,12人关注 / 一年前发布,48,"5,582元/平"
带车位，坐北朝南，对小区中庭，大套三,正黄金色雅郡 -姚桥,3室2厅 | 105.77平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,2人关注 / 一年前发布,70,"6,619元/平"
公园里的江景房，一梯两户，洋房观青衣江景，随时看房,观江府 -大兴,4室2厅 | 118平米 | 东 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,90,"7,628元/平"
山水茗都 套三双卫 精装修   住在公园旁的房子,山水茗都 -名山区,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 2个月以前发布,64.8,"5,587元/平"
金科集美学府套三 户型方正  房东诚心出售.,集美学府 -名山区,3室2厅 | 101平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,51.5,"5,100元/平"
平桥街三室俩厅交通便利 小区环境干净舒适 适合居住,平桥街151号 -名山区,3室2厅 | 130平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,46,"3,539元/平"
第壹江岸精装3室2厅2卫  9层新,拓海第一江岸1期 -姚桥,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,95,"9,224元/平"
业主诚意出售，户型方正无浪费，采光通透视野开阔,金科天宸雅郡 -大兴,3室2厅 | 104平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,3人关注 / 一年前发布,77,"7,404元/平"
大兴花间集，位置好，采光，房东诚心出售,花间集 -大兴,3室2厅 | 94平米 | 东南 | 毛坯 | 高楼层(共16层)  | 塔楼,1人关注 / 一年前发布,56,"5,958元/平"
名邸，套三双卫清水房带地下车位一个,名邸 -名山区,3室2厅 | 120.23平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,64,"5,324元/平"
四小旁边，3室2厅1卫，可以商贷公积金,正黄金域首座 -姚桥,3室2厅 | 86平米 | 西北 | 毛坯 | 中楼层(共26层)  | 塔楼,3人关注 / 一年前发布,55,"6,396元/平"
上学方便，大套三，无物业费！！,河坪巷2号 -名山区,3室2厅 | 139.5平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 11个月以前发布,45,"3,226元/平"
满五 精装房源 户型方正 采光好 配套完善 交通便,朝阳街24号 -东城区域,3室1厅 | 122.57平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,52,"4,243元/平"
此房地段好，户型好，交通方便，采光好。,西门南路26号 -西城区域,3室2厅 | 116平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,46,"3,966元/平"
端头135户型 前后看小区中庭视线很好 随时看房,凯悦天地 -大兴,4室1厅 | 125平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,105,"8,400元/平"
东安郦景 3室2厅 南,东安郦景 -康藏路区域,3室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,48,"4,445元/平"
桃花巷75号 3室2厅 南,桃花巷75号 -东城区域,3室2厅 | 97平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 4个月以前发布,43,"4,433元/平"
翰城一期套四双卫，采光好，视野好，适合一家人居住,翰城1981一期 -姚桥,4室2厅 | 128平米 | 东南 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,89,"6,954元/平"
格局方正通透、采光好、小区环境优美，居住舒适度高,龙溪源 -大兴,3室2厅 | 102平米 | 东南 | 简装 | 中楼层(共14层)  | 板塔结合,0人关注 / 3个月以前发布,59.6,"5,844元/平"
精装三室两厅一厨两卫，采光好，楼层好，家电齐全,拓海第一江岸1期 -姚桥,3室2厅 | 109.5平米 | 西南 | 简装 | 高楼层(共29层)  | 塔楼,0人关注 / 6个月以前发布,100,"9,133元/平"
两梯两户板式结构，舒适度高，江景房,西网江湾城 -大兴,3室1厅 | 121.87平米 | 东南 | 毛坯 | 高楼层(共14层)  | 暂无数据,0人关注 / 5个月以前发布,117,"9,601元/平"
每个房间采光佳 套四户型，适合一家人居住,金科集美江宸 -大兴,4室1厅 | 114平米 | 东南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,95,"8,334元/平"
正黄金域首座 3室1厅 东南,正黄金域首座 -姚桥,3室1厅 | 93.58平米 | 东南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 4个月以前发布,80,"8,549元/平"
金科天宸雅郡  4-2-1-3  顶跃  带车位,金科天宸雅郡 -大兴,4室2厅 | 133平米 | 南 | 毛坯 | 高楼层(共10层)  | 板楼,0人关注 / 一年前发布,190,"14,286元/平"
小区品质高.人车分流.人文环境好.中间楼层 有电梯,翰城1981二期 -姚桥,3室2厅 | 110.47平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 5个月以前发布,78,"7,061元/平"
精装修 房东保养很好 带负一楼车位 急售 价格好谈,恒信上海城 -姚桥,3室2厅 | 101平米 | 南 | 精装 | 低楼层(共33层)  | 平房,2人关注 / 一年前发布,77,"7,624元/平"
四小旁  正黄小区  套三单卫  精装修,正黄金域名座 -姚桥,3室2厅 | 95平米 | 东南 | 精装 | 高楼层(共19层)  | 板塔结合,1人关注 / 一年前发布,90,"9,474元/平"
四季名城一期 套三双卫，拎包入住,四季名城 -名山区,3室2厅 | 122平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼,2人关注 / 一年前发布,84,"6,886元/平"
小区品质高.人车分流.人文环境好.中间楼层 有电梯,翰城1981二期 -姚桥,3室2厅 | 110.47平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 5个月以前发布,78,"7,061元/平"
翰城一期套四双卫，采光好，视野好，适合一家人居住,翰城1981一期 -姚桥,4室2厅 | 128平米 | 东南 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,89,"6,954元/平"
正黄 金色雅郡、套三双卫、采光好、户型方正,正黄金色雅郡 -姚桥,3室2厅 | 105平米 | 东 | 毛坯 | 低楼层(共24层)  | 塔楼,4人关注 / 一年前发布,61,"5,810元/平"
交通便利、小区环境干净舒适、适合居住、,正黄金色雅郡 -姚桥,3室2厅 | 105.5平米 | 东 东南 | 毛坯 | 高楼层(共25层)  | 塔楼,0人关注 / 一年前发布,67,"6,351元/平"
恒信上海城，中庭位置，实际面积120平左右,恒信上海城 -姚桥,3室2厅 | 96.37平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,88,"9,132元/平"
凯悦天地，跃层，房东全款，急售，视野开阔。,凯悦天地 -大兴,4室2厅 | 159.43平米 | 东 东南 | 毛坯 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,180,"11,291元/平"
第壹江岸套三双卫精装修大卧室拎包入住,拓海第一江岸1期 -姚桥,3室2厅 | 107平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,88,"8,225元/平"
东安明珠四居室环境优美 交通便利,东安明珠A区 -三雅园,4室2厅 | 230平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,148,"6,435元/平"
交通便利、小区环境干净舒适、适合居住,滨江奥斯卡 -草坝,4室2厅 | 159.88平米 | 东 | 毛坯 | 高楼层(共6层)  | 塔楼,1人关注 / 一年前发布,50,"3,128元/平"
精装大套三，目前正在装修中..,十里原湾 -上坝区域,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,3人关注 / 一年前发布,130,"11,305元/平"
房子对中庭，精装，价格还可以在谈,十里原湾 -上坝区域,3室2厅 | 116平米 | 东南 | 简装 | 中楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,148,"12,759元/平"
房子位置不错，离姚桥也近，房子也好,西网江湾城 -大兴,3室2厅 | 119平米 | 东 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,105,"8,824元/平"
急售正黄一期精装修 带车位 可看江 （无人住过）,正黄金域首府一期 -姚桥,3室2厅 | 89.76平米 | 东 东南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 7个月以前发布,108,"12,033元/平"
南二路巴士的房子来罗 价格美丽,南二路51号 -河北区域,3室2厅 | 131平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 7个月以前发布,52.8,"4,031元/平"
坐北朝南，采光好，成熟地段，配套完善,正黄金域名座 -姚桥,3室2厅 | 97平米 | 东南 东 | 简装 | 中楼层(共19层)  | 塔楼,0人关注 / 6个月以前发布,75,"7,732元/平"
十里原湾套四双卫户型方正面积大正中庭,十里原湾 -上坝区域,4室1厅 | 130平米 | 东 | 毛坯 | 中楼层(共31层)  | 塔楼,2人关注 / 一年前发布,115,"8,847元/平"
十里原湾  大套三  江景房  户型巴适,十里原湾 -上坝区域,3室2厅 | 116.8平米 | 东 | 毛坯 | 高楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,108,"9,247元/平"
视野开阔 楼层好 户型漂亮 配套齐全,金科天宸雅郡 -大兴,3室2厅 | 96平米 | 东南 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 6个月以前发布,68,"7,084元/平"
急售 价格好谈 楼层巴适 视野开阔,金科天宸雅郡 -大兴,3室2厅 | 95.04平米 | 东南 | 毛坯 | 高楼层(共21层)  | 板塔结合,3人关注 / 一年前发布,65,"6,840元/平"
2梯2户 楼层视野好 急售 小区密度低,蘭台府一期 -大兴,3室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,1人关注 / 10个月以前发布,80,"7,018元/平"
大兴江湾城清水房，楼层好，视野开阔，采光充足,西网江湾城 -大兴,4室2厅 | 133平米 | 东南 | 毛坯 | 高楼层(共13层)  | 暂无数据,0人关注 / 2个月以前发布,122,"9,173元/平"
40万装修江景 包含6万多车位 急售 套四 没住过人,城投文曲新座 -城后区域,4室2厅 | 126平米 | 南 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 7个月以前发布,105,"8,334元/平"
带车位 视野开阔 户型好 满2 急售 恒信正黄旁,拓海第一江岸1期 -姚桥,3室2厅 | 103.8平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,82,"7,900元/平"
姚桥新区，大洋房 ，户型方正，采光充足。。。。。,翡翠云庭 -姚桥,4室2厅 | 122.62平米 | 东南 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,120,"9,787元/平"
半岛御景 ，户型方正，楼层好， 套四双卫。,半岛御景 -上坝区域,4室3厅 | 186平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,135,"7,259元/平"
四小旁 正黄小区 套三双卫 价格实惠,正黄金域名座 -姚桥,3室2厅 | 100平米 | 东 | 毛坯 | 中楼层(共19层)  | 塔楼,0人关注 / 一年前发布,66,"6,600元/平"
文教新城，套三单卫，楼层巴适，采光好。。,滨江奥斯卡 -草坝,3室1厅 | 96平米 | 东南 | 简装 | 中楼层(共6层)  | 平房,2人关注 / 11个月以前发布,40,"4,167元/平"
户型方正，采光好，看房方便，契税满两年,正黄金域名座 -姚桥,3室2厅 | 97.69平米 | 东南 | 毛坯 | 低楼层(共19层)  | 塔楼,0人关注 / 一年前发布,70,"7,166元/平"
此房为顶楼、楼层视野好、视野宽阔、采光充足,正黄金域华府 -大兴,3室1厅 | 99.12平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,3人关注 / 8个月以前发布,62,"6,256元/平"
，教师新村 三室两厅 交通便利 小区环境干净 适合居住,教师新村 -名山区,3室2厅 | 108平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,42,"3,889元/平"
小区位于熊猫绿岛公园旁，房型为套4双卫，采光好,十里原湾 -上坝区域,4室2厅 | 126平米 | 东南 | 毛坯 | 高楼层(共31层)  | 塔楼,3人关注 / 6个月以前发布,108,"8,572元/平"
三室两厅两卫，四小旁边，价格可议,正黄金域名座 -姚桥,3室2厅 | 99平米 | 南 | 毛坯 | 中楼层(共19层)  | 塔楼,0人关注 / 一年前发布,76,"7,677元/平"
户型方正，房东诚心出售。拎包入住。。,茶都大道261号 -名山区,3室2厅 | 126平米 | 东 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,39,"3,096元/平"
带楼顶花园 洋房 楼层视野好 急售 小区品质好,领地蘭台府云璟 -大兴,4室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,6人关注 / 10个月以前发布,88,"7,458元/平"
正黄一期 2梯4户 精装修 保养新 楼层好,正黄金域首府一期 -姚桥,3室2厅 | 89平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,81,"9,102元/平"
小区品质高.人车分流.人文环境好.中间楼层 .江景房,恒信上海城 -姚桥,2室2厅 | 89平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,1人关注 / 一年前发布,81,"9,102元/平"
大兴现房 户型方正 业主急急急出售,龙溪源 -大兴,3室2厅 | 120.69平米 | 南 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 5个月以前发布,74,"6,132元/平"
名城御景 3室2厅 交通便利 小区环境干净舒适 适合居住,名城御景 -名山区,3室2厅 | 120平米 | 东 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 一年前发布,67,"5,584元/平"
，教师新村 三室两厅 交通便利 小区环境干净 适合居住,教师新村 -名山区,3室2厅 | 108平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,42,"3,889元/平"
金色雅郡 刚需小套三 房东诚心出售 满二,正黄金色雅郡 -姚桥,3室2厅 | 85平米 | 南 | 简装 | 低楼层(共25层)  | 塔楼,2人关注 / 2个月以前发布,57,"6,706元/平"
套三双卫，户型方正，宽敞明亮，带一个产权车位,正黄金域名座 -姚桥,3室1厅 | 102.7平米 | 东南 | 毛坯 | 中楼层(共19层)  | 塔楼,0人关注 / 3个月以前发布,72,"7,011元/平"
靠公园  小区环境优美  位置好,领地蘭台府云璟 -大兴,4室2厅 | 116.7平米 | 东南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,90,"7,713元/平"
南四路，七号四室两厅一厨双卫，157平米。,南四路7号 -康藏路区域,4室2厅 | 157平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,67,"4,268元/平"
满五唯一顶跃，视野好，环境优美,滨江奥斯卡 -草坝,4室2厅 | 158平米 | 东南 | 毛坯 | 高楼层(共6层)  | 塔楼,0人关注 / 5个月以前发布,61.5,"3,893元/平"
雅安公园房 看周公河，视野开阔，风景美，通透户型,十里原湾 -上坝区域,3室2厅 | 126平米 | 东 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,6人关注 / 一年前发布,108,"8,572元/平"
雅安唯一公园房，看周公河，视野开阔，户型大套三双卫,十里原湾 -上坝区域,3室2厅 | 126.6平米 | 东 | 毛坯 | 高楼层(共32层)  | 塔楼,3人关注 / 一年前发布,110,"8,689元/平"
清水无抵押 户型方正 采光充足,正黄金域名座 -姚桥,3室1厅 | 102平米 | 东南 | 毛坯 | 中楼层(共19层)  | 塔楼,2人关注 / 一年前发布,70,"6,863元/平"
顶楼跃层，价格实惠，房东急售。,西网江湾城 -大兴,4室2厅 | 150平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,220,"14,667元/平"
金域名座，套3双卫，横厅，中间楼层，带车位,正黄金域名座 -姚桥,3室2厅 | 99.72平米 | 东北 | 毛坯 | 中楼层(共19层)  | 板塔结合,0人关注 / 一年前发布,66,"6,619元/平"
套四双卫 户型方正，采光好，看房方便,翰城1981二期 -姚桥,4室1厅 | 121平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,80,"6,612元/平"
领地大套三，户型方正，采光好楼层好，配套成熟,领地二期 -姚桥,3室2厅 | 109平米 | 东 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 8个月以前发布,105,"9,634元/平"
此房户型方正 出行方便，居住方便,沙湾川航小区 -姚桥,3室2厅 | 123.45平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,5人关注 / 一年前发布,58,"4,699元/平"
