标题,开发商,房子信息,发布信息,售价/万,单价
御龙湾，东上首户型，好楼层，诚心出售。,金鹰御珑湾 -东台市,3室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 15天以前发布,210,"15,910元/平"
鹿鸣路西校区旁 金大洋花园 中楼层 3室2厅1卫,金大洋花园 -缤纷亚洲商圈,3室2厅 | 110.71平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,2人关注 / 一年前发布,225,"20,324元/平"
德惠尚书府 小区环境好绿化高 户型方正 采光好通风好,德惠尚书府 -白马商圈,3室1厅 | 103.78平米 | 南 | 精装 | 低楼层(共11层)  | 塔楼,1人关注 / 8个月以前发布,108,"10,407元/平"
解放南路  南金鹰  宏都花园  三房出售,宏都花园 -聚龙湖商圈,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,168,"15,273元/平"
精装修三房 带车库  满二年  全屋定制家具,日月星城 -聚龙湖商圈,3室2厅 | 108.81平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,1人关注 / 3个月以前发布,163,"14,981元/平"
紫薇国际广场C区 楼层好，阳光充足,紫薇国际广场C区 -聚龙湖商圈,2室1厅 | 88.56平米 | 西 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,106.8,"12,060元/平"
此房南北通风格局，楼层好，视野开阔，阳光充足.,碧桂园珺悦府 -亭湖高中商圈,3室2厅 | 115.69平米 | 东 | 精装 | 中楼层(共11层)  | 板楼,7人关注 / 一年前发布,206,"17,807元/平"
香苑小区，新弄里，中南商圈，得房率高,香苑小区 -中南商圈,3室2厅 | 96.07平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,1人关注 / 一年前发布,120.8,"12,575元/平"
大数据旁中海万锦南园精装三房采光良好看房方便,中海万锦南园 -中南商圈,3室1厅 | 98平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 9个月以前发布,160,"16,327元/平"
城北优质小区  业主诚心出售  采光无遮挡 满两年,苏东翡翠南园 -白马商圈,3室2厅 | 118.97平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,122,"10,255元/平"
朝阳新村 中间楼层 此房南北通透 满五且唯一 四个房间,朝阳新村 -东台市,5室2厅 | 112.34平米 | 南 北 | 简装 | 低楼层(共6层)  | 平房,1人关注 / 5个月以前发布,108.8,"9,685元/平"
人民路新龙路 龙桥新园 精装电梯3房 楼层适中欢迎来电,龙桥新园 -白马商圈,3室2厅 | 94.12平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,6人关注 / 一年前发布,83,"8,819元/平"
解放路旁 高力金色果缘 产证满五唯一  精装三室,高力金色果缘 -中南商圈,3室2厅 | 110.44平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,3人关注 / 1个月以前发布,149.8,"13,564元/平"
东景濠庭 户型方正，视野宽阔，采光充足,东景濠庭 -盐都商圈,3室2厅 | 101.42平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,63.5,"6,262元/平"
金水湾四期洋房带朝南28平及半地下37平汽车库另算价优,金水湾 -东台市,3室2厅 | 127.61平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 3个月以前发布,229.6,"17,993元/平"
全新近30万精装修，拎包即住，有地下车位，中上楼层!,明新半岛花园 -潘黄商圈,3室2厅 | 97.57平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,150,"15,374元/平"
朝阳新村 中间楼层 此房南北通透 满五且唯一 四个房间,朝阳新村 -东台市,5室2厅 | 112.34平米 | 南 北 | 简装 | 低楼层(共6层)  | 平房,1人关注 / 5个月以前发布,108.8,"9,685元/平"
此房为出让满五唯一 精装修 通透型，采光好，交通便捷,新桥小区 -东台市,3室2厅 | 144.59平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,139.8,"9,669元/平"
钱江方洲南区 飞机户 满五唯一 精装三房 房东好说话,钱江方洲南区 -宝龙商圈,3室2厅 | 132.39平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 8个月以前发布,294,"22,208元/平"
此房是钱江方洲唯一套大面积的，全盐城寻找有缘人！,钱江方洲北区 -宝龙商圈,4室2厅 | 192.26平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,450,"23,406元/平"
紫金花园好楼层，精装修诚心出售！,紫金花园南区 -缤纷亚洲商圈,3室2厅 | 122.06平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,3人关注 / 7个月以前发布,326,"26,709元/平"
户型方正 精装 景山 解放路 青年路南环路 交通便利,德惠尚书房锦苑 -亭湖高中商圈,4室2厅 | 122.11平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,175,"14,332元/平"
现代华庭西区 楼层好 采光足 户型方正 诚心出售,现代华庭西园 -缤纷亚洲商圈,3室2厅 | 137.82平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,290,"21,042元/平"
紫金花园好楼层，满五唯一，得房率高，采光好！,紫金花园南区 -缤纷亚洲商圈,3室2厅 | 120.96平米 | 南 | 精装 | 中楼层(共14层)  | 暂无数据,6人关注 / 一年前发布,325,"26,869元/平"
中南世纪城瑞城 四室两厅双卫 精装修 全屋地暖,中南世纪城瑞城 -中南商圈,4室2厅 | 138.15平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,4人关注 / 3个月以前发布,228,"16,504元/平"
南洋 多层 顶楼看房方便门口有公园,百安居东苑 -亭湖商圈,3室2厅 | 129.2平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,72,"5,573元/平"
中南城旁 高力金色果缘 精装三室 满二税少 看房方便,高力金色果缘 -中南商圈,3室2厅 | 110.44平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,5人关注 / 3个月以前发布,151,"13,673元/平"
万达旁 西城逸品 精装两房 双阳台 采光好 楼层好,西城逸品 -潘黄商圈,2室2厅 | 97.57平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 1个月以前发布,120,"12,299元/平"
解放路世纪大道丨丽都怡园丨清新装修丨随时看房,丽都怡园 -聚龙湖商圈,2室2厅 | 49.5平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 4个月以前发布,109,"22,021元/平"
聚龙湖商圈 恒大帝景 精装三房 拎包入住 诚心出售,恒大帝景 -聚龙湖商圈,3室2厅 | 96.36平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,2人关注 / 4个月以前发布,145,"15,048元/平"
龙桥新园 精装修大三房 房东诚心出售 看房方便,龙桥新园 -白马商圈,3室2厅 | 90.91平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,88,"9,680元/平"
宏图伟厦嘉园 中间楼层 精装修 采光好,宏图伟厦嘉园 -缤纷亚洲商圈,3室2厅 | 105.14平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,169,"16,074元/平"
万泰时代城悦府3-2-1-1 100.41m² 135 万,万泰时代城悦府 -招商场商圈,3室2厅 | 100.41平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 29天以前发布,135,"13,445元/平"
紫云集飞机户型，南北通透，交通便利。,紫云府  -东台市,3室1厅 | 98平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,135.8,"13,858元/平"
万达商圈！交通便捷！临靠万达!,新日月翠洲嘉园 -万达商圈,3室2厅 | 113.86平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,150,"13,175元/平"
中上楼层，带车库，采光全天无影响,康欣花园 -亭湖商圈,2室1厅 | 86.98平米 | 南 | 毛坯 | 高楼层(共16层)  | 塔楼,0人关注 / 29天以前发布,75,"8,623元/平"
市区，紧靠人民医院，大润发，南临步行街，户型方正,望海小区 -东台市,2室2厅 | 89.75平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 22天以前发布,102.8,"11,455元/平"
窦楼小区，三室一卫，好楼层，合适可议，满五,窦楼小区 -东台市,2室1厅 | 90平米 | 东 东南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,82.8,"9,200元/平"
公园道一号  装修漂亮.全屋中，央空调加地暖  采光好,公园道1号 -宝龙商圈,3室2厅 | 142.63平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,398,"27,905元/平"
解放路BRT 金色果缘 精装两居室 看房方便,高力金色果缘 -中南商圈,2室2厅 | 86.19平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 24天以前发布,125.8,"14,596元/平"
优质好房，保持很好，中间楼层，采光好,月湖花城 -缤纷亚洲商圈,3室2厅 | 99.87平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 27天以前发布,175,"17,523元/平"
飞机户型 华建雅园三开间朝南，采光好,华建雅园 -亭湖高中商圈,3室2厅 | 126.36平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,174.5,"13,810元/平"
优质好房，保持很好，中间楼层，采光好,月湖花城 -缤纷亚洲商圈,3室2厅 | 99.87平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 27天以前发布,175,"17,523元/平"
新桥小区 好楼层 有17平朝南车库 出让证 过户便宜,新桥小区 -东台市,2室2厅 | 79.16平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,76.8,"9,702元/平"
总价便宜，精装2房 车库13平，随时看房,太和名苑 -亭湖商圈,2室1厅 | 82.44平米 | 南 | 精装 | 高楼层(共6层)  | 平房,0人关注 / 29天以前发布,80,"9,705元/平"
通榆新村七区2室2厅1卫62平方诚心卖,通榆新村七区 -招商场商圈,2室2厅 | 61.94平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 19天以前发布,61.9,"9,994元/平"
城东一号 精装2房 采光好 诚意出售 看房方便,城东一号 -盐城会展中心商圈,2室2厅 | 86.01平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 30天以前发布,116,"13,487元/平"
人民公园旁边，精装修两房南北通风，户型方正阳光不挡,金水湾 -东台市,2室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 19天以前发布,115.8,"12,063元/平"
博奥东园 好楼层 带车库 装修很漂亮 欢迎前来看房,博奥东苑 -永基广场商圈,2室1厅 | 66.49平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 20天以前发布,110,"16,544元/平"
城东宝龙 经开区  次顶楼 馥桂名居 精装两房 诚意出售,馥桂名居 -亭湖商圈,2室2厅 | 98.77平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 23天以前发布,108,"10,935元/平"
奥体壹号 楼层好 采光佳 品质毛坯三房,奥体壹號 -中南商圈,3室2厅 | 144.38平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,1人关注 / 一年前发布,256,"17,731元/平"
珺悦府 毛坯房 楼层好 采光好 视野开阔,珺悦府 -滨海体育中心商圈,4室2厅 | 146平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,146,"10,000元/平"
生活便利，居住适宜，一个让你打开心扉的家。,紫薇国际广场B2幢 -聚龙湖商圈,2室1厅 | 115.42平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 一年前发布,220,"19,061元/平"
毛坯大五房 楼层好采光不错 可随意装修,阳光御园 -中南商圈,5室2厅 | 200平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,295,"14,750元/平"
串场河旁，恒大帝景，精装三房，看房方便，诚意出售,恒大帝景 -聚龙湖商圈,3室2厅 | 108平米 | 南 北 | 精装 | 中楼层(共24层)  | 塔楼,1人关注 / 一年前发布,188,"17,408元/平"
精装修 房东诚售 看房提前联系 欢迎咨询！,中海世纪公馆 -聚龙湖商圈,3室1厅 | 107.72平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,5人关注 / 一年前发布,190,"17,639元/平"
欧堡利亚珺悦府，毛坯采光无遮挡，电梯洋房，随时看房,珺悦府 -滨海体育中心商圈,4室2厅 | 148平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,150,"10,136元/平"
此房靠抢 楼层好 采光好 大四房,钱江绿洲 -崇礼路商圈,4室2厅 | 126.3平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,145,"11,481元/平"
大面积毛坯三房，闹中取静，配套齐全,嘉城和苑 -东台市,3室1厅 | 121.3平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,18人关注 / 一年前发布,48.8,"4,024元/平"
出售丰园小区两房，96平，86.8万,丰园小区 -滨海体育中心商圈,2室1厅 | 96.78平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,78.8,"8,143元/平"
清华学士园，毛坯三房，得房率高，黄晶次顶楼，车库,清华学仕园 -麦德龙商圈,3室2厅 | 107.5平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,2人关注 / 一年前发布,140,"13,024元/平"
示范小区，榜上有名，环境优雅，清洁靓丽，保安24小..,中庚海德公园 -中南商圈,3室1厅 | 92平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 塔楼,2人关注 / 一年前发布,166,"18,044元/平"
城南品质小区 欧风花街旁香水湾三房出售,香水湾 -聚龙湖商圈,3室2厅 | 129.9平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,4人关注 / 一年前发布,297,"22,864元/平"
城南品质楼盘  中海物业   小高层  前排无遮挡,中海万锦北园 -中南商圈,3室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,37人关注 / 一年前发布,190,"15,448元/平"
大三房 可以自主装修。小区无物业费和停车费,光明东苑 -中南商圈,3室2厅 | 134平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,138,"10,299元/平"
盛世明都 三房 视野开阔 好楼层 带车库 房东诚心出售,盛世明都 -麦德龙商圈,3室2厅 | 113.85平米 | 南 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 一年前发布,150,"13,176元/平"
盛世名都，十二楼砖石层，毛坯随心装，满五唯一,盛世明都 -麦德龙商圈,4室2厅 | 144.91平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,2人关注 / 11个月以前发布,180,"12,422元/平"
南苑小区，房东诚心出售，急急急,南苑小区(亭湖区) -缤纷亚洲商圈,3室1厅 | 103.34平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,243,"23,515元/平"
老城区   毓东小区 三楼 普装三室二厅  单价低,毓东小区 -新四军纪念馆商圈,3室2厅 | 99.87平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,24人关注 / 一年前发布,91,"9,112元/平"
城南芯板块串场河旁 毛坯三房户型方正有钥匙随时看房,滨河花园(亭湖) -聚龙湖商圈,3室2厅 | 132.07平米 | 南 | 毛坯 | 低楼层(共16层)  | 塔楼,0人关注 / 3个月以前发布,226,"17,113元/平"
金融城南，新都路北，地段繁华，户型楼层好,紫薇花园(亭湖区) -聚龙湖商圈,4室2厅 | 157.4平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,8人关注 / 一年前发布,347,"22,046元/平"
聚龙版块 得天独厚的地段 身份的象征 彰显繁华,龙泊湾 -聚龙湖商圈,3室1厅 | 143.3平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 塔楼,1人关注 / 一年前发布,348,"24,285元/平"
品质小区，毛坯三房，随心装修，有车库车位，诚心出售,港龙华侨城 -麦德龙商圈,3室2厅 | 120.8平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,17人关注 / 一年前发布,160,"13,246元/平"
串场河旁 盐渎路北 恒大帝景 品质小区,恒大帝景 -聚龙湖商圈,3室2厅 | 128.8平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,6人关注 / 一年前发布,190,"14,752元/平"
城南体育馆旁 在家听演唱会的好房子 楼层佳,奥体玫瑰园B区 -中南商圈,3室2厅 | 117.48平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板楼,10人关注 / 一年前发布,169,"14,386元/平"
"城南毛坯三房,自主装修,满两年,房东诚心出售!",奥体玫瑰园B区 -中南商圈,3室2厅 | 121.56平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,204,"16,782元/平"
金鑫花园大平层，毛坯 户型方正 楼层好,金鑫花园 -东台市,4室2厅 | 165平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,87,"5,273元/平"
聚亨路  恒大帝景精装  楼层好  满二年,恒大帝景 -聚龙湖商圈,3室2厅 | 120.34平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,165,"13,712元/平"
房东自住  精装修 楼层好，看房方便。,恒大帝景 -聚龙湖商圈,3室2厅 | 122平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,6人关注 / 一年前发布,169,"13,853元/平"
聚龙湖商圈，恒大帝景， 房东诚心出售，看房方便,恒大帝景 -聚龙湖商圈,3室2厅 | 128.86平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,9人关注 / 一年前发布,190,"14,745元/平"
中 央花园 毛坯三房 得房率高 通透格局,中央花园 -滨海体育中心商圈,3室2厅 | 125平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,138,"11,040元/平"
珺悦府 毛坯三室 凤凰层 采光好 有车库车位,珺悦府 -滨海体育中心商圈,3室2厅 | 113平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,106,"9,381元/平"
出门公交车站，道路四通八达，交通便利，边上有银行,中南景城南区 -中南商圈,3室2厅 | 102.66平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,9人关注 / 一年前发布,170,"16,560元/平"
香苑西园，洋房十楼，全屋地暖，满两年税少,香苑西园 -中南商圈,3室2厅 | 139.14平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,26人关注 / 一年前发布,278,"19,980元/平"
碧桂园天玺202平  毛坯  带大露台,碧桂园天玺 -富康路商圈,4室2厅 | 202.7平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 暂无数据,9人关注 / 一年前发布,370,"18,254元/平"
香城世家/东边户/采光楼层好/满2年/西南好房城投品质,香城世家 -麦德龙商圈,3室2厅 | 117.26平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,175,"14,925元/平"
晶都悦府洋房 满二 价格含车库车库 从早到晚不挡阳光,晶都悦府 -中南商圈,4室2厅 | 141.5平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,355,"25,089元/平"
碧桂园天境大平层，楼层好，诚心出售！,碧桂园天境 -五星车站商圈,5室2厅 | 273平米 | 南 | 毛坯 | 中楼层(共10层)  | 板塔结合,1人关注 / 一年前发布,578,"21,173元/平"
棕榈泉广场，毛坯复式，*大阳光房，可自由装修,棕榈泉广场公寓 -聚龙湖商圈,5室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 塔楼,12人关注 / 一年前发布,248,"17,343元/平"
悦达天山水岸 联排毛坯 别墅  有院子 看房可联系,悦达天山水岸 -盐城会展中心商圈,5室2厅 | 292平米 | 东 西 | 毛坯 | 2层  | 暂无数据,7人关注 / 一年前发布,340,"11,644元/平"
翰林壹品城 好楼层，采光不错，毛坯三房，有车库,翰林壹品城 -麦德龙商圈,3室2厅 | 114平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,158,"13,860元/平"
城南丨晶都悦府 丨诚心出售丨二楼洋房看房方便,晶都悦府 -中南商圈,4室2厅 | 165.57平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,300,"18,120元/平"
植物园旁 香苑东园 中上楼层 东上手首 大平层,香苑东园 -中南商圈,4室2厅 | 169.8平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,1人关注 / 10个月以前发布,280,"16,490元/平"
，楼层好，采光好，户型也方正，,中海万锦南园 -中南商圈,4室2厅 | 132.43平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,20人关注 / 一年前发布,212,"16,009元/平"
海德公园   三房 诚心出售   看房方便,中庚海德公园 -中南商圈,3室2厅 | 95.57平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,6人关注 / 一年前发布,175,"18,312元/平"
楼层好，毛坯自由装修 小区品质好 物业到家服务好,凤凰汇紫园 -聚龙湖商圈,3室2厅 | 120平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板楼,6人关注 / 一年前发布,358.5,"29,875元/平"
急出售！城西南品质小区 翰林壹品城 毛坯三房,翰林壹品城 -麦德龙商圈,3室2厅 | 113.76平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,22人关注 / 一年前发布,117,"10,285元/平"
中南八期洋房     业主诚心出售,中南景城南区 -中南商圈,4室1厅 | 136.24平米 | 南 | 毛坯 | 高楼层(共8层)  | 板楼,12人关注 / 一年前发布,258,"18,938元/平"
靠抢！总高10层 有车库 洋房飞机户 香城世家 诚心卖,香城世家 -麦德龙商圈,3室2厅 | 112.64平米 | 南 | 毛坯 | 高楼层(共10层)  | 板楼,7人关注 / 一年前发布,198,"17,579元/平"
河边空中别墅的顶楼复式，毛坯，带大露台，视野开阔，,大地•滨河壹号 -东台市,7室2厅 | 202.7平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,7人关注 / 一年前发布,218,"10,755元/平"
聚龙湖旁 恒荣世家 大三房  好楼层,恒荣世家 -聚龙湖商圈,3室2厅 | 139.78平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,1人关注 / 11个月以前发布,175,"12,520元/平"
公园道一号顶层复式户型好，阳光刺眼，房东诚心出售！,公园道1号 -宝龙商圈,5室2厅 | 237平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,19人关注 / 一年前发布,431,"18,186元/平"
业主诚心转让：臻园联排别墅   纯毛坯  看中好谈。,欧堡利亚臻园 -滨海体育中心商圈,5室3厅 | 313平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,6人关注 / 一年前发布,408,"13,036元/平"
怡和园幸福里 采光无遮挡 诚心出售,怡和园幸福里 -崇礼路商圈,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,135,"10,800元/平"
大洋湾 恒隆花园花园洋房 满两年毛坯四室 改善住宅,恒隆花园 -亭湖商圈,4室2厅 | 141.66平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,150,"10,589元/平"
中海凯旋门三房  有钥匙看房  满五唯一,中海凯旋门 -新河商业街商圈,3室2厅 | 109.81平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,2人关注 / 一年前发布,143,"13,023元/平"
该房房子好，价格优惠，生活配套好，设施齐全,绿都风尚 -盐都商圈,3室2厅 | 122平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,68,"5,574元/平"
城南 盐城植物园 视野好 采光足  晶都悦府 品质小区,晶都悦府 -中南商圈,3室2厅 | 102平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,6人关注 / 一年前发布,160,"15,687元/平"
城南南环路旁，品质物业小区万锦园。,中海万锦南园 -中南商圈,4室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 塔楼,25人关注 / 一年前发布,220,"15,385元/平"
新弄里商圈 高楼层采光好 精装三房 盐渎路,锦盛豪庭·北苑 -中南商圈,3室2厅 | 135平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 一年前发布,220,"16,297元/平"
"小区地理位置好，绿化高，居民素质高 ,位于开创路东侧",碧桂园凤城北苑东区 -麦德龙商圈,4室2厅 | 255平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,3人关注 / 6个月以前发布,320,"12,550元/平"
城南 近南金鹰 日月星城 毛坯三房 飞机户型 满两年,日月星城 -聚龙湖商圈,3室2厅 | 134.87平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,8人关注 / 一年前发布,220,"16,313元/平"
聚龙湖旁，新丰花园多层得房率高，欧洲风情街旁!,新丰花园 -聚龙湖商圈,3室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,28人关注 / 一年前发布,136,"9,715元/平"
诚心出售！三房一卫，楼层佳，采光好，看房方便,冠亨名城 -麦德龙商圈,3室2厅 | 110平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,11人关注 / 一年前发布,119.8,"10,891元/平"
吾悦和府沁园总高18层的小高层。业主诚心出售。有车位,吾悦和府沁园 -麦德龙商圈,4室2厅 | 129.94平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,154.8,"11,914元/平"
观棠府毛坯3房 好楼层 包含车位！,观棠府 -麦德龙商圈,3室1厅 | 99.99平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,4人关注 / 8个月以前发布,130,"13,002元/平"
碧桂园二期精装好房，好楼层，采光无影响。,碧桂园二期 -麦德龙商圈,4室2厅 | 143平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,198,"13,847元/平"
城南盐渎路旁，品质小区锦盛豪庭。。。,锦盛豪庭·北苑 -中南商圈,4室2厅 | 161平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,3人关注 / 一年前发布,230,"14,286元/平"
城南品质小区  中海万锦南园  四开间朝南户型方正,中海万锦南园 -中南商圈,4室2厅 | 165平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,13人关注 / 一年前发布,245,"14,849元/平"
四开间朝南户型 户型非 常好 小区环境特 别好,中南世纪城景城二区 -中南商圈,5室1厅 | 148平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 暂无数据,6人关注 / 一年前发布,293,"19,798元/平"
格局好，高层阳光不挡，视野开阔，诚心出售，交通便捷,熙悦佳园 -东台市,3室2厅 | 113平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,13人关注 / 一年前发布,85.8,"7,593元/平"
神州路两房恒大名都 精装修 拎包即住,恒大名都 -麦德龙商圈,2室1厅 | 90.57平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 4个月以前发布,108,"11,925元/平"
空中别墅，视野开阔，全天采光无遮挡,中南熙悦 -亭湖高中商圈,6室3厅 | 173.79平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,16人关注 / 一年前发布,223.8,"12,878元/平"
晶都悦府 4室2厅 南,晶都悦府 -中南商圈,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,19人关注 / 一年前发布,288,"20,140元/平"
神州豪苑三房精装修，有车库，拎包即住,神州豪苑 -麦德龙商圈,2室1厅 | 94.54平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,99,"10,472元/平"
