标题,开发商,房子信息,发布信息,售价/万,单价
有大红本    早就满五   户型方正    采光充足,十八中宿舍 -旧省政府,2室1厅 | 66.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,91.8,"13,793元/平"
小店区 南北两居 坤泽翰林华府 南北通透 看房方便,坤泽-翰林华府 -经济开发区商圈,2室1厅 | 76.48平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,58,"7,584元/平"
理工大片区  南北通透 两居室 中间楼层  大红本,山西省科协宿舍 -理工大商圈,2室1厅 | 66.14平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,56,"8,467元/平"
小店区 南北两居 坤泽翰林华府 南北通透 看房方便,坤泽-翰林华府 -经济开发区商圈,2室1厅 | 76.48平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,58,"7,584元/平"
南内环长治路D铁口电梯两居全明户型大红本满五可贷款,新城市花园 -亲贤商圈,2室1厅 | 89平米 | 东 西 北 | 其他 | 低楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,102,"11,461元/平"
人民路，正阳街，地铁口，小户型。楼层好,浦东雅典 -经济开发区商圈,1室1厅 | 51平米 | 东 西 | 精装 | 高楼层(共18层)  | 板塔结合,15人关注 / 7个月以前发布,42,"8,236元/平"
恒大绿洲 朝南两居 红本满五唯一 急售！,太原恒大绿洲 -经济开发区商圈,2室2厅 | 84.21平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,96,"11,401元/平"
大东关宜佳上东城   精装修  低楼层  一居室 出售,宜佳上东城 -大东关商圈,1室1厅 | 38.59平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,15人关注 / 5个月以前发布,31,"8,034元/平"
康宁交通小区 3室1厅 南 北,康宁交通小区 -经济开发区商圈,3室1厅 | 98.65平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,77,"7,806元/平"
西客站 奥林匹克花园 中高楼层 南北通透可按揭,太原奥林匹克花园南区 -西客站商圈,3室2厅 | 137平米 | 南 北 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 8天以前发布,93,"6,789元/平"
出行方便，大红本，总价低。看房方便，,纺织南一条 -理工大商圈,2室0厅 | 45.99平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,21,"4,567元/平"
此房本过二南北通三居 出门就是九一方便接孩子,城南都市嘉园 -南站机场商圈,3室1厅 | 90.31平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 26天以前发布,90,"9,966元/平"
三层 大红本 南北通透 临下元迎泽大街地铁口,机电公司宿舍 -千峰北路商圈,2室1厅 | 69.96平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,53,"7,576元/平"
精装三居室   南北通透  房本满二   看房方便,富力城文栖谷 -富力城商圈,3室2厅 | 95.64平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 6天以前发布,97,"10,143元/平"
东中环凯旋街 馨春龙城苑 南北通透大红本小三居 急售,馨春龙城苑A区 -肿瘤医院商圈,3室1厅 | 94.6平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 10天以前发布,68.5,"7,242元/平"
房子所在这个楼是框架楼 一体浇筑房 房本满五年,太原铁路迎春小区E区 -大东关商圈,2室2厅 | 62.33平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,35.5,"5,696元/平"
新上 院子小二楼 新联巷 煤运宿舍 中等装修 南北通透,新联巷 -经济开发区商圈,4室2厅 | 105平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 12天以前发布,140,"13,334元/平"
老军营北区，中间楼层，满五三居，业主诚心出售,老军营北小区 -老军营商圈,3室1厅 | 82平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 8天以前发布,126,"15,366元/平"
恒大御景湾一期 3室2厅 南 北,恒大御景湾一期 -森林公园商圈,3室2厅 | 111.5平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 8天以前发布,95,"8,521元/平"
山投城上城 南北户型 精装小三居价格可谈 业主急售,山投滨江城尚城 -三给,3室2厅 | 106.61平米 | 南 北 | 精装 | 中楼层(共34层)  | 暂无数据,0人关注 / 5天以前发布,74,"6,942元/平"
客厅双卧朝阳 两居室，业主诚心卖，稀有大两居,首开·国风琅樾 -龙城商圈,2室2厅 | 99平米 | 南 | 简装 | 低楼层(共29层)  | 板楼,0人关注 / 7天以前发布,100,"10,102元/平"
三给片区低单价低总价的三居室。,多福佳苑 -三给,3室2厅 | 98平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,48,"4,898元/平"
裕昌蓝庭 2室2厅 东 南,裕昌蓝庭 -千峰北路商圈,2室2厅 | 81.87平米 | 东 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 7天以前发布,73,"8,917元/平"
华润悦府 3室2厅 南 北,华润悦府 -长风商务区商圈,3室2厅 | 169平米 | 南 北 | 精装 | 中楼层(共46层)  | 板楼,0人关注 / 6天以前发布,169,"10,000元/平"
万科蓝山二期 3室2厅 南 北,万科蓝山二期 -和平南路商圈,3室2厅 | 139平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 3天以前发布,162,"11,655元/平"
长治路地铁口 高层电梯 交通方便 新城市花园,新城市花园 -亲贤商圈,2室1厅 | 106.57平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,110,"10,322元/平"
长治路地铁口新城市花园茂业北美交通方便高层电梯,新城市花园 -亲贤商圈,2室1厅 | 106.57平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,110,"10,322元/平"
都市悦憬 万达广场 大北门地铁 龙潭公园,都市悦憬 -龙潭公园,3室1厅 | 124.26平米 | 南 北 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 7天以前发布,130,"10,462元/平"
413小区 2室1厅 南 北,413小区 -西山商圈,2室1厅 | 61.38平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,20,"3,259元/平"
出售银座2居室，大红本，户型方正。,永乐苑银座 -千峰北路商圈,2室1厅 | 101.96平米 | 南 西 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2天以前发布,78,"7,651元/平"
府东苑 3室2厅 南 北,府东苑 -西山商圈,3室2厅 | 90平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2天以前发布,35,"3,889元/平"
浦东雅典 3室2厅 南 北,浦东雅典 -经济开发区商圈,3室2厅 | 137.59平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 12天以前发布,130,"9,449元/平"
馨春龙城苑 大红本现房 精装修带家具家电 支持公积金,馨春龙城苑C区 -肿瘤医院商圈,3室2厅 | 106.43平米 | 南 北 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 15天以前发布,83,"7,799元/平"
馨春龙城苑 大红本现房 精装修带家具家电 支持公积金,馨春龙城苑C区 -肿瘤医院商圈,3室2厅 | 106.43平米 | 南 北 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 15天以前发布,83,"7,799元/平"
北中环敦化坊单位房，浇筑房，2层，大红本，,敦化坊北小区 -敦化坊商圈,2室1厅 | 72平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 14天以前发布,45,"6,250元/平"
温馨两居 采光充足 电梯小高层 精装修 大红本,富力城F区 -富力城商圈,2室1厅 | 82平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,0人关注 / 13天以前发布,78,"9,513元/平"
解放路北大街 上北关小区 大红本,上北关小区 -北大街商圈,2室1厅 | 75平米 | 西 | 简装 | 高楼层(共34层)  | 塔楼,0人关注 / 8天以前发布,46,"6,134元/平"
建设路  大东关  天福邸小区  精装两居室,天福邸小区 -大东关商圈,2室1厅 | 81.14平米 | 西 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 8天以前发布,55,"6,779元/平"
三墙路万达广场柳巷停车方便楼层中间楼层,永定路铁路宿舍 -三墙路,3室1厅 | 57.5平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,0人关注 / 20天以前发布,42,"7,305元/平"
中车国际广场二期 3室1厅 南 北,中车国际广场二期 -区政府商圈,3室1厅 | 107平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 18天以前发布,133,"12,430元/平"
长风街 太航小区 配套成熟 三居室,太航小区 -亲贤商圈,3室2厅 | 77.58平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 22天以前发布,90,"11,601元/平"
省人大宿舍 3室1厅 南 北,省人大宿舍 -桃园南路,3室1厅 | 59平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 20天以前发布,80,"13,560元/平"
大红本，浇筑房，龙潭公园，菜市场,鑫汇苑小区 -北大街商圈,2室1厅 | 108平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 18天以前发布,86,"7,963元/平"
东润国际新城 2室1厅 南,东润国际新城 -南站机场商圈,2室1厅 | 70.44平米 | 南 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 13天以前发布,62,"8,802元/平"
新上房源 双塔公园 37 青年路价格合适中间楼层电梯房,国泰龙城湾 -朝阳街,3室1厅 | 117.36平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 12天以前发布,108,"9,203元/平"
化肥厂小区(晋源区) 2室1厅 南 北,化肥厂小区(晋源区) -晋阳湖商圈,2室1厅 | 65平米 | 南 北 | 其他 | 低楼层(共3层)  | 板楼,0人关注 / 16天以前发布,30,"4,616元/平"
大红本 中间层 采光好 停车方便 配套齐全,老军营西区 -老军营商圈,2室1厅 | 60平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 17天以前发布,100,"16,667元/平"
新上南内环鲲鹏小区大红本中间层南北通透亮厅可贷款,鲲鹏小区 -亲贤商圈,2室1厅 | 70.34平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 13天以前发布,72,"10,236元/平"
省人民医院+高层电梯房+大红本能贷款+精装房,玲珑居 -人民医院,2室1厅 | 93平米 | 东 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 13天以前发布,79,"8,495元/平"
兴华街 大红本 南北通透 客厅带窗 中间楼层 低首付,丽日小区 -兴华,3室1厅 | 90平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 11天以前发布,58,"6,445元/平"
化肥厂小区(晋源区) 2室1厅 南 北,化肥厂小区(晋源区) -晋阳湖商圈,2室1厅 | 70平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,45,"6,429元/平"
杏花岭  后小河  单位房 环境优 精装修,省政协机关公寓 -三墙路,4室2厅 | 150平米 | 北 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,226,"15,067元/平"
108万北中环 富力城 国樾龙城四居室 毛坯房 大红本,国樾龙城湾A区 -动物园商圈,4室2厅 | 141.64平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 7天以前发布,108,"7,625元/平"
"桃南37,中间层总价低,96年房龄采光没遮挡,房龄新",康乐南街 -桃园南路,2室1厅 | 48.86平米 | 东 西 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 9天以前发布,51.5,"10,541元/平"
宜佳上东城  精装修一居室   朝南格局,宜佳上东城 -大东关商圈,1室1厅 | 38.59平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 11天以前发布,33,"8,552元/平"
南北通透，带平台，带车位，精装修，龙潭公园，万..,金泽苑 -北大街商圈,2室2厅 | 89.21平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 9天以前发布,65,"7,287元/平"
富力城F区 2室2厅 南,富力城F区 -富力城商圈,2室2厅 | 89.18平米 | 南 | 其他 | 高楼层(共13层)  | 板楼,0人关注 / 10天以前发布,77,"8,635元/平"
南中环 毛坯现房，大红本在手 大三居南北大通透,泰瑞城·九礼 -义井商圈,3室2厅 | 134平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,120,"8,956元/平"
下元 西矿街 3卧朝阳 花园式小区 满五唯一 大红本,南组团小区 -千峰北路商圈,3室2厅 | 125.12平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 22天以前发布,104,"8,313元/平"
南内环长治路 大社区 一层 采光好 简单装修 地铁口,南内环小区 -亲贤商圈,2室1厅 | 60平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 23天以前发布,81,"13,500元/平"
新上好房，全新精装修 南北通透大三居 业主诚意出售,首开·国风琅樾 -龙城商圈,3室2厅 | 165平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 18天以前发布,258,"15,637元/平"
煤化所上滨河三十七，大院落舒适，小三居中间层配套全,中国科学院山西煤炭化学研究所宿舍 -桃园南路,3室1厅 | 69.84平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 20天以前发布,116,"16,610元/平"
新联巷 1室1厅 南 北,新联巷 -经济开发区商圈,1室1厅 | 55.04平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 28天以前发布,57,"10,357元/平"
此房基本毛坯，适合想自己装修的客户，户型采光优质,西华苑三期北区 -西客站商圈,3室1厅 | 97平米 | 北 南 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,75,"7,732元/平"
户型方正，交通便利，两居朝南，生活方便,新民东街10号 -旧省政府,2室1厅 | 62平米 | 北 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,88,"14,194元/平"
楼梯房，总价低。生活成本低，南北房,紫竹園 -义井商圈,2室1厅 | 72.48平米 | 东 西 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,58,"8,003元/平"
玉门花园A区  1室1厅 南,玉门花园A区  -西山商圈,1室1厅 | 62平米 | 南 | 简装 | 低楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,33,"5,323元/平"
府东街多彩城商圈  电梯小户型 红本在手,坤昇小区 -五龙口商圈,2室1厅 | 72平米 | 南 | 精装 | 低楼层(共22层)  | 暂无数据,0人关注 / 1个月以前发布,55,"7,639元/平"
紧挨平阳路南内环地铁口 中间层 实用面积大,省建二公司寇庄小区 -亲贤商圈,3室1厅 | 60.39平米 | 南 | 简装 | 中楼层(共4层)  | 板塔结合,0人关注 / 1个月以前发布,41,"6,790元/平"
胜景天地小区 2室1厅 南,胜景天地小区 -北大街商圈,2室1厅 | 86平米 | 南 | 简装 | 低楼层(共35层)  | 塔楼,0人关注 / 31天以前发布,55,"6,396元/平"
小区环境好 出行方便 中间楼层 拎包入住 精装,金基泰和苑 -大东关商圈,3室2厅 | 148.77平米 | 南 北 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 1个月以前发布,70,"4,706元/平"
一眼就能瞄上 中正天街 五一广场 大红本,东岗巷东岗小区 -桥东街,2室1厅 | 43.97平米 | 西 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 1个月以前发布,18,"4,094元/平"
单价4000多大红本和平公园地矿小区南北通透,地矿小区 -千峰南路商圈,2室1厅 | 76平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,40,"5,264元/平"
新上洋房!长风东复地东山国际208平电梯洋房独梯独户,复地东山国际 -东山商圈,4室2厅 | 207.65平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 板楼,1人关注 / 11天以前发布,208,"10,017元/平"
大红本   电梯房    户型正   采光足,东大盛世华庭 -三墙路,4室2厅 | 223.98平米 | 南 北 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 13天以前发布,155,"6,921元/平"
汾河边 景观房 满二 户型好 采光好 看房方便,丽泽花苑 -晋阳湖商圈,4室2厅 | 200.84平米 | 南 北 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 21天以前发布,245,"12,199元/平"
漪汾街 市图书 滨河花苑 高层 框架结构 大红本 有钥匙,滨河花苑 -千峰北路商圈,3室2厅 | 111.45平米 | 南 东北 | 简装 | 中楼层(共28层)  | 塔楼,2人关注 / 11天以前发布,94,"8,435元/平"
晋阳街晋瑞苑 小高层 公摊小 南北通透  大红本满两年,晋瑞苑 -南站机场商圈,4室2厅 | 189.74平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,0人关注 / 15天以前发布,199,"10,489元/平"
祥和苑，南北通透，三室两厅一卫，位置好，交通便利,祥和苑 -区政府商圈,3室1厅 | 98.44平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1天以前发布,84,"8,534元/平"
绿地世纪城  精装修 户型方正 可看汾河 景阳湖 本满二,绿地塞纳公馆 -晋阳湖商圈,3室1厅 | 105.25平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 29天以前发布,118,"11,212元/平"
旱西门小区对口新建路满二年三室,旱西门小区 -金刚堰商圈,3室1厅 | 102.9平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,0人关注 / 25天以前发布,100,"9,719元/平"
千峰北路 漪汾公园东 149平米大三居 南北房 中间层,玉园翠景 -千峰北路商圈,3室2厅 | 148.89平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 25天以前发布,138,"9,269元/平"
摩天石新上 毛坯 中间楼层  小区公园双景观,摩天石 -千峰北路商圈,4室2厅 | 343.49平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 20天以前发布,420,"12,228元/平"
金刚堰 房龄新 杏花岭 大红本 两卧朝南 明厨明厕,金刚堰十三冶小区 -金刚堰商圈,3室2厅 | 106.05平米 | 南 东 西 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 19天以前发布,88,"8,298元/平"
对桃园 浇筑房 采光好 近公园 出行便利 配套齐全 急售,晋商银行宿舍 -桃北商圈,3室2厅 | 128.95平米 | 东南 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 14天以前发布,115,"8,919元/平"
为民服务大厅南侧  本满二  三居室  采光相当棒,梧桐院 -义井商圈,3室1厅 | 129.86平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 20天以前发布,145,"11,166元/平"
大唐长风3居2厅2卫长治路2号线学府街站，带阁楼有露台,大唐长风 -学府商圈,3室2厅 | 126.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 28天以前发布,208,"16,430元/平"
房子户型南北通透 采光好 客厅大,半坡东街 -半坡商圈,2室2厅 | 85.62平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 31天以前发布,55,"6,424元/平"
五一路 单位房 2层  大红本 有钥匙,五一路小学宿舍 -柳巷商圈,2室1厅 | 67.38平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 21天以前发布,83,"12,319元/平"
山鼎庄园，中叠别墅，露台车位，土建门窗已换,绿地山鼎庄园 -东山商圈,5室2厅 | 206.93平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,1人关注 / 18天以前发布,223,"10,777元/平"
此房大红本在手，房龄新，中间楼层 ，一梯2户,康怡小区 -经济开发区商圈,3室2厅 | 129.8平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 20天以前发布,116,"8,937元/平"
澳林滨河花园 万象城旁 本满二 南北通透 高层 采光好,澳林滨河花园 -义井商圈,3室2厅 | 161.22平米 | 南 北 | 简装 | 中楼层(共28层)  | 塔楼,0人关注 / 15天以前发布,186,"11,538元/平"
万科精装修满二税低 直观小区园林 三居室诚心出售,万科金域蓝湾 -晋阳湖商圈,3室1厅 | 137.72平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 13天以前发布,180,"13,070元/平"
半坡西街 采光好 无遮挡 可按揭 钥匙在手 随时看房,半坡西街小区 -半坡商圈,2室1厅 | 61.19平米 | 西 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,52,"8,499元/平"
大红本满五年 漪汾街心脑血管医院旁 三室两厅两卫,军安里小区 -千峰北路商圈,3室2厅 | 143.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,110,"7,666元/平"
1南北通透92年的房子低楼层采光不挡三室一厅停车方便,工艺品宿舍 -水西关商圈,3室1厅 | 80.83平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 10天以前发布,88,"10,888元/平"
亲贤街 茂业旁 复式结构 拎包入住,奥林花园 -亲贤商圈,3室2厅 | 72.63平米 | 西 | 简装 | 低楼层(共16层)  | 板塔结合,2人关注 / 7个月以前发布,142,"19,552元/平"
省人大宿舍 水西关南街  南北通透四居室,省人大宿舍院 -水西关商圈,4室1厅 | 111.78平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 6个月以前发布,105,"9,394元/平"
汾河景观房 大复式  实用五百八平左右  带露台,长岛国际 -千峰南路商圈,7室3厅 | 285.05平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,7人关注 / 5个月以前发布,475,"16,664元/平"
水西关天龙宿舍 02年浇筑房 大红本可按揭,天龙宿舍 -水西关商圈,3室2厅 | 93.67平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,90,"9,609元/平"
柳巷单位宿舍南北通透大三居首付30万单价低至8000多点,东米市柴市巷小区 -柳巷商圈,3室2厅 | 104.14平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,27人关注 / 一年前发布,85,"8,163元/平"
水西关街上的房龄较新的房建新花园,建新花园 -水西关商圈,3室2厅 | 147.71平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 9个月以前发布,122,"8,260元/平"
长治地铁口 高层电梯房 单价低,嘉苑小区 -亲贤商圈,4室2厅 | 194.12平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,37人关注 / 一年前发布,180,"9,273元/平"
大红本满两年纯观景房俯瞰汾河全家，楼层好视野宽阔,绿地塞纳公馆 -晋阳湖商圈,4室2厅 | 185.38平米 | 东南 北 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,246,"13,271元/平"
后小河 东缉虎营 地电宿舍  电梯房 停车方便,地电宿舍楼 -三墙路,3室2厅 | 169.76平米 | 西南 | 简装 | 低楼层(共17层)  | 板塔结合,1人关注 / 7个月以前发布,166,"9,779元/平"
满五 地铁 浇筑房 解放路 万达广场 医院,永济路小区 -三墙路,3室2厅 | 113平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,100,"8,850元/平"
金刚堰十三冶小区 大红本可贷款 非顶层,金刚堰十三冶小区 -金刚堰商圈,2室1厅 | 68.65平米 | 南 东 西 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,48.5,"7,065元/平"
大红本格局不错的好房，电梯房，有迎泽公园,云路杰座 -柳巷商圈,3室2厅 | 116.02平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,1人关注 / 1个月以前发布,110,"9,482元/平"
迎泽大街新建路单位小区 院子大 出行方便可停车,省机电厅宿舍 -大南门商圈,4室2厅 | 126.01平米 | 北 南 | 简装 | 中楼层(共5层)  | 板楼,8人关注 / 一年前发布,110,"8,730元/平"
北大街解放路 单位宿舍 停车方便 诚心出售 随时看房,山西电建宿舍 -三墙路,3室1厅 | 71.46平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,50,"6,997元/平"
南中环 户型好 三卧朝阳 单价低,国际大都会东区 -晋阳街商圈,3室2厅 | 121.58平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,89,"7,321元/平"
房子位置好 户型好 南北通透 出行方便,精英家园 -旧省政府,3室2厅 | 143.22平米 | 南 北 | 简装 | 中楼层(共16层)  | 板塔结合,6人关注 / 一年前发布,147,"10,264元/平"
解放路 北大街 电梯房 后小河 地铁二号线 格局好,泛华盛世小区 -三墙路,3室2厅 | 151.3平米 | 南 北 | 简装 | 低楼层(共13层)  | 板楼,9人关注 / 11个月以前发布,135,"8,923元/平"
长治路北园街阳光地带 大红本三居小区配套成熟w府井,阳光地带 -亲贤商圈,3室2厅 | 147.23平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,5人关注 / 一年前发布,190,"12,905元/平"
府西街  三室一厅 双卧朝阳 采光好,半坡东街29号院 -半坡商圈,3室1厅 | 90.53平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,70,"7,733元/平"
一层带院、带院、带院、标准的两室两厅、采光无遮挡,建新花园 -水西关商圈,2室2厅 | 107平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,100,"9,346元/平"
水西关南街 劲松北路 好房一套96年建成大三居,劲松北路15号 -水西关商圈,3室1厅 | 89.14平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,90,"10,097元/平"
和平北路 嘉怡国际丽都城 南北通透四居室 精装修 满二,嘉怡国际丽都城 -千峰北路商圈,4室2厅 | 161.73平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,4人关注 / 一年前发布,148,"9,152元/平"
水西关南街 中间楼层南北通透 三居室,水西关社区水务局宿舍 -水西关商圈,3室1厅 | 79.58平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 4个月以前发布,68,"8,545元/平"
汾河景观房 品质装修 东户 层高3.5米,摩天石 -千峰北路商圈,4室2厅 | 314.34平米 | 东 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,15人关注 / 一年前发布,440,"13,998元/平"
解放路 地铁口 万达广场 后小河 四居室 南北 浇筑房,山西省农行小区 -龙潭公园,4室2厅 | 189.17平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,219,"11,577元/平"
府西街半坡西街二层大红本南北通透可按揭,半坡西街小区 -半坡商圈,2室1厅 | 102.99平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,0人关注 / 3个月以前发布,75,"7,283元/平"
小区停车方便，南北通透，带小平房,三桥街道桃园北路东社区 -十二中商圈,3室1厅 | 78.46平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,96,"12,236元/平"
桥头街工商银行宿舍 4室2厅 东 南 西 北,桥头街工商银行宿舍 -柳巷商圈,4室2厅 | 184.07平米 | 东 南 西 北 | 精装 | 中楼层(共17层)  | 板塔结合,7人关注 / 一年前发布,191,"10,377元/平"
柳巷 铜锣湾 大红本在手 满五 电梯房,文瀛大厦 -柳巷商圈,3室2厅 | 156.86平米 | 西北 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 4个月以前发布,110,"7,013元/平"
地铁二号线万达商圈龙潭公园 精装满二 拎包入住,鸿昇龙潭公馆 -龙潭公园,3室2厅 | 158.98平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,7人关注 / 一年前发布,220,"13,839元/平"
