标题,开发商,房子信息,发布信息,售价/万,单价
11层小高8楼西打头三室两卫 相当于毛坯 满二 随时看房,越秀星汇金沙 -北京中路,3室2厅 | 117.04平米 | 北 西南 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 7天以前发布,95,"8,117元/平"
房子精装修，南北通透户型，双卫，电梯好楼层。,龙门山水华庭 -莱阳市,3室2厅 | 133.5平米 | 南 北 | 其他 | 18层  | 塔楼,0人关注 / 5天以前发布,80,"5,993元/平"
此房证满两年 70年大产权 民水民电 高层电梯房 精装修,蓬莱碧桂园 -蓬莱市,2室2厅 | 81平米 | 南 北 | 简装 | 32层  | 板楼,0人关注 / 8天以前发布,59,"7,284元/平"
小户型，祥和！！！南北通透，1T2户,幸芝里 -祥和,1室1厅 | 39.44平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,58,"14,706元/平"
蜜橙，打头三居室，好楼栋，装修不错呀~,蜜橙 -高级中学,3室2厅 | 108.52平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 3天以前发布,108,"9,953元/平"
梨园小区，三楼，两室，带小房，简单装修,梨园小区 -莱阳市,2室2厅 | 67平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3天以前发布,26.8,"4,000元/平"
步梯一楼，重新收拾的，拎包入住。。,抹直口社区 -蓬莱市,2室2厅 | 71.74平米 | 南 北 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 3天以前发布,40,"5,576元/平"
东打头好楼层双南卧，全明户型，精装修保持很好,魁玉花园 -魁玉路,3室2厅 | 121.48平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 2天以前发布,137,"11,278元/平"
名仕豪庭南大街，一居室总价 低，采光好,名仕豪庭 -毓璜顶,1室1厅 | 34.76平米 | 北 | 精装 | 中楼层(共55层)  | 塔楼,0人关注 / 1个月以前发布,82.5,"23,735元/平"
凤凰新城(莱山) 3室1厅 南 北,凤凰新城(莱山) -迎春大街,3室1厅 | 146平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 9天以前发布,145,"9,932元/平"
绿色优质一居室，房主诚心出售，价格可聊,绿色家园 -迎春大街,1室1厅 | 36.9平米 | 西 | 简装 | 高楼层(共22层)  | 塔楼,0人关注 / 2个月以前发布,36,"9,757元/平"
小高层，楼前无遮挡，可满二，有楼台,越秀星汇金沙 -北京中路,3室2厅 | 92.44平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,5人关注 / 3个月以前发布,74,"8,006元/平"
置优越 南北通透两居 楼层合适 户型好 诚心出售,凤凰小区 -迎春大街,2室2厅 | 64平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,64,"10,000元/平"
祥隆天合城 1室1厅 北,祥隆天合城 -迎春大街,1室1厅 | 34.99平米 | 北 | 简装 | 高楼层(共18层)  | 塔楼,1人关注 / 2个月以前发布,41,"11,718元/平"
多层公摊低，东打头，南北通透，装修好,凤凰新城(莱山) -迎春大街,2室2厅 | 106平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 5个月以前发布,95,"8,963元/平"
万泰花苑 3室1厅 东 南 北,万泰花苑 -祥和,3室1厅 | 118.37平米 | 东 南 北 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 13天以前发布,131,"11,067元/平"
产证在手，精装满二，南北通透，拎包入住，采光好,中海国际社区 -科技大道,2室1厅 | 84.88平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 3个月以前发布,75,"8,837元/平"
双卧朝南，西打头，全明户型。 中高楼，采光视野好,万光府前花园 -迎春大街,3室1厅 | 111.59平米 | 南 北 | 其他 | 高楼层(共22层)  | 板楼,2人关注 / 28天以前发布,119,"10,665元/平"
毛胚南北通透两居室，小高层视野采光无遮挡,南山丽景花园 -山海南路,2室1厅 | 94.64平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,6人关注 / 8个月以前发布,69.8,"7,376元/平"
祥隆天合城 2室2厅 西南,祥隆天合城 -迎春大街,2室2厅 | 90.48平米 | 西南 | 精装 | 中楼层(共16层)  | 塔楼,11人关注 / 3个月以前发布,86,"9,505元/平"
融创毛坯两居室，带车位，高楼层,融创迩海 -龙湖,2室2厅 | 90.51平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,2人关注 / 一年前发布,55,"6,077元/平"
天籁花园精装两室 南向 小区* 高楼层 拎包即住,天籁中园 -山海南路,2室2厅 | 79.77平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,5人关注 / 一年前发布,72,"9,026元/平"
万光府前花园 2室1厅 南 北,万光府前花园 -迎春大街,2室1厅 | 99.13平米 | 南 北 | 其他 | 中楼层(共23层)  | 板楼,3人关注 / 1个月以前发布,88,"8,878元/平"
保利香榭里公馆装修两居室，小高层公摊小,保利香榭里公馆 -山海南路,2室2厅 | 97.94平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,12人关注 / 5个月以前发布,100,"10,211元/平"
万象城 精装修 三室两卫 主卧室南北有窗,万象城 -大学城,3室2厅 | 119.25平米 | 北 | 精装 | 高楼层(共22层)  | 塔楼,1人关注 / 26天以前发布,138,"11,573元/平"
一楼加复式的房子，买一层带一层,越秀星汇凤凰 -凤凰台,3室2厅 | 125.76平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板楼,8人关注 / 一年前发布,191,"15,188元/平"
同和馨园 顶加阁 带露台  低密度多层小区，环境安静,同和馨苑 -三站,4室3厅 | 90.12平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 板楼,14人关注 / 一年前发布,152,"16,867元/平"
金城小区 框架房 三室户型 楼层好 采光好 诚意出售,金城小区 -天地广场,3室2厅 | 84.64平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 3天以前发布,106,"12,524元/平"
银河小区  南北通透  干净明亮  户型方正,银河小区 -松霞,3室1厅 | 75.1平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3天以前发布,57,"7,590元/平"
碧海云天 南北通透 采光好 全明户型 低总价 看房方便,碧海云天 -碧海云天,2室2厅 | 114.19平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 3天以前发布,139,"12,173元/平"
东打头三室两卫 满二 南北通透 随意装修 随时看房,越秀星汇金沙 -北京中路,3室2厅 | 132.34平米 | 东 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 3天以前发布,105,"7,935元/平"
此房产证满二年，高楼层 精品装修可以俯览整个福莱山,海信慧园西区 -高级中学,3室2厅 | 112.84平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 6天以前发布,128,"11,344元/平"
别墅社区 上叠产品 带露台 打头房,永弘桃源里 -福山周边,4室2厅 | 187.13平米 | 南 北 西 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 12天以前发布,210,"11,223元/平"
中海紫御公馆 4室2厅 南 北,中海紫御公馆 -科技大道,4室2厅 | 253.11平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,1人关注 / 15天以前发布,268,"10,589元/平"
瀛洲宁海 3室1厅 南 北,瀛洲宁海 -牟平振华,3室1厅 | 90.71平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 6天以前发布,67.8,"7,475元/平"
福海路旁，大三居，配套设施齐全 全明户型,东方华府 -福海路,3室2厅 | 125.5平米 | 南 北 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 7天以前发布,108,"8,606元/平"
寰宇小区 2室2厅 南 北,寰宇小区 -福海路,2室2厅 | 80平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2天以前发布,57.5,"7,188元/平"
精装修，拎包入住，实木装修，好楼层,中海紫御公馆 -科技大道,2室1厅 | 97.26平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 7个月以前发布,128,"13,161元/平"
亲海翠苑珍藏顶加复，空中别墅，东打头海景房。,亲海翠苑 -碧海云天,5室2厅 | 232.67平米 | 东 南 北 | 精装 | 高楼层(共19层)  | 板楼,4人关注 / 一年前发布,280,"12,035元/平"
电梯房，精装南北通透，全明户型，满五年,东华城市花园 -鱼鸟河,2室1厅 | 95.56平米 | 南 北 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 8天以前发布,46.8,"4,898元/平"
振华海滨假日 178平米海景房好楼层  房主诚售随时看房,振华海滨假日花园 -黄河路,3室2厅 | 178.02平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 11天以前发布,177,"9,943元/平"
北方月光怡景， 多层带阁楼2室2厅，南北通透，急售,北方月光怡景 -富豪,2室2厅 | 87.48平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 14天以前发布,88,"10,060元/平"
越秀星汇金沙 采光无遮挡 可看海 生活配套齐全,越秀星汇金沙 -北京中路,3室2厅 | 95.44平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 12天以前发布,103,"10,793元/平"
中冶沁海运墅 电梯洋房 南向大院子 采光好,中冶沁海云墅 -龙湖,2室2厅 | 93.39平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 14天以前发布,135,"14,456元/平"
银都财富中心 2室1厅 西南,银都财富中心 -毓璜顶,2室1厅 | 93.59平米 | 西南 | 精装 | 低楼层(共52层)  | 塔楼,0人关注 / 4天以前发布,170,"18,165元/平"
绿色家园 3室2厅 东南,绿色家园 -迎春大街,3室2厅 | 89.38平米 | 东南 | 精装 | 中楼层(共22层)  | 塔楼,0人关注 / 6天以前发布,75,"8,392元/平"
精装修未住，满两年，小高层，采光好格局好，带小棚,金桥澎湖湾 -北京中路,2室2厅 | 80.5平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 15天以前发布,87,"10,808元/平"
桦林颐和苑 动静分离大三室  精装修2米宽景阳台双车位,桦林·颐和苑 -魁玉路,3室2厅 | 123.38平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 4天以前发布,198,"16,048元/平"
实yan，框架房，精装三室，带阁楼，拎包入住,新潮三区 -牟平振华,3室2厅 | 95.13平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,63,"6,623元/平"
立雪佳苑楼栋位置好，三居诚意出售，精装修，好楼层,立雪佳苑 -高级中学,3室1厅 | 100.62平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 4天以前发布,136,"13,517元/平"
鸿福御景 2室1厅 南 北,鸿福御景 -鸿福街,2室1厅 | 94.44平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 8天以前发布,71,"7,519元/平"
锦绣新城一期 3室2厅 南 北,锦绣新城一期 -只楚,3室2厅 | 100.19平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 6天以前发布,103,"10,281元/平"
精装自住价格便宜，着急出售，带家具家电，看房方便,宁海佳苑 -黄河路,3室2厅 | 169.5平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 3天以前发布,150,"8,850元/平"
海信天山郡）三室两厅精装修，拎包入住不靠路中间楼层,海信天山郡 -汽车西站,3室2厅 | 98.47平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 6天以前发布,125,"12,695元/平"
中建小两居 高楼层 采光好 空间格局好,中建悦海和园 -北京中路,2室2厅 | 77.39平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 13天以前发布,92,"11,888元/平"
上海滩新上三层顶层复式加阁楼，南北通透，采光无遮挡,大华上海滩花园 -三滩社区,5室2厅 | 161.35平米 | 东 南 北 | 其他 | 高楼层(共12层)  | 板楼,0人关注 / 9天以前发布,255,"15,805元/平"
精装修 万达商圈 顶加阁，拎包入住 看房方便.,翠园芳邻 -万达,2室1厅 | 92.89平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 29天以前发布,110,"11,842元/平"
万达金融，好楼层，单价低，费用各付,万达金融中心 -毓璜顶,3室1厅 | 121.33平米 | 东 | 毛坯 | 中楼层(共46层)  | 塔楼,0人关注 / 1个月以前发布,100,"8,242元/平"
满五唯一 带车位小棚 毛坯 东打头好楼层 北向观海,海晟花园 -万科城,3室2厅 | 146.13平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板楼,1人关注 / 1个月以前发布,150,"10,265元/平"
精装修三居室 大飘窗 可观海采光充足 带地下车位,海天雅筑 -科技大道,3室2厅 | 113.24平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,111,"9,803元/平"
丹阳小区 3室2厅 东 南 北,丹阳小区 -德胜,3室2厅 | 87.05平米 | 东 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 26天以前发布,88,"10,110元/平"
祥隆理想城 3室2厅 南,祥隆理想城 -科技大道,3室2厅 | 121.3平米 | 南 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 20天以前发布,110,"9,069元/平"
华明星海湾 3室2厅 南 北,华明星海湾 -黄河路,3室2厅 | 96.65平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 28天以前发布,149,"15,417元/平"
鑫发小区 顶加阁楼 带小棚露台 双南卧 阁楼不算面积,鑫发小区 -刘家台,3室2厅 | 91.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,86,"9,399元/平"
支持公积金组合贷款 怡海翠庭 南北视野无遮挡,怡海翠庭 -黄河路,3室2厅 | 138.11平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 27天以前发布,200,"14,482元/平"
海晟花园 3室2厅 南 北,海晟花园 -万科城,3室2厅 | 146.13平米 | 南 北 | 其他 | 中楼层(共22层)  | 板楼,0人关注 / 24天以前发布,130,"8,897元/平"
三站东方巴黎 南北通透 小区里 全明户型 三室两厅两卫,东方巴黎 -三站,3室2厅 | 122.4平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 26天以前发布,126.8,"10,360元/平"
毛坯房，东南北通透，采光好，房屋整体很敞亮。,富顺苑星都 -世回尧,3室2厅 | 131.95平米 | 东 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 29天以前发布,145,"10,990元/平"
房子维护的很好，新框架，楼层好。房主诚心卖。,凤台小区 -天地广场,2室1厅 | 70平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 20天以前发布,76,"10,858元/平"
：多层三室，公摊小，精装修，南北通透。车位单卖,万科假日风景 -万科,3室2厅 | 105.04平米 | 北 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 23天以前发布,92,"8,759元/平"
新潮尚书台 3室1厅 南 北,新潮尚书台 -通海路,3室1厅 | 132.8平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 24天以前发布,89,"6,702元/平"
富邦•逅海小镇 3室2厅 南 北,富邦•逅海小镇 -通海路,3室2厅 | 102.75平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 27天以前发布,72,"7,008元/平"
小区环境好 适合人类居住，离海近 生活舒适,振华海滨假日花园 -黄河路,3室2厅 | 178平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板楼,1人关注 / 20天以前发布,180,"10,113元/平"
新潮尚书台 3室1厅 南 北,新潮尚书台 -通海路,3室1厅 | 132.8平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 24天以前发布,89,"6,702元/平"
华明星海湾 南北通透，产权清晰，诚心出售，价格可谈,华明星海湾 -黄河路,3室1厅 | 158.02平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 16天以前发布,245,"15,505元/平"
福海路 精装三居室 便宜出售 拎包入住 看房方便,澳城苑 -福海路,3室1厅 | 105.59平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 16天以前发布,85,"8,051元/平"
三和绿景 顶加阁 不动产权证 可贷款,三和绿景小区 -黄务,3室2厅 | 76平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,107,"14,079元/平"
夹河苑 3楼 两室朝阳客厅朝阳 耳朵户型的三室错层房,夹河苑 -金东,3室2厅 | 136.38平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 17天以前发布,177,"12,979元/平"
山水名园 3室2厅 东 南 北,山水名园 -万达,3室2厅 | 124.47平米 | 东 南 北 | 其他 | 高楼层(共29层)  | 塔楼,0人关注 / 13天以前发布,110,"8,838元/平"
婚房装修，三居室，海景，好楼层，拎包入住,金桥澎湖湾 -北京中路,3室1厅 | 114.05平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 15天以前发布,120,"10,522元/平"
房子满五唯一 精装三室 拎包入住,银和怡海国奥天地 -黄河路,3室1厅 | 120.24平米 | 东 西 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 12天以前发布,123,"10,230元/平"
祥隆上市里 4室1厅 南 北,祥隆上市里 -大学城,4室1厅 | 136.24平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 6天以前发布,180,"13,212元/平"
南北通透|带地下车位中间楼层|临海社区环境优美,天和静海苑 -黄河路,3室2厅 | 128.39平米 | 南 北 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 10天以前发布,150,"11,684元/平"
清泉寨城北区 2室1厅 南,清泉寨城北区 -大学城,2室1厅 | 87.67平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,65,"7,415元/平"
紫郡城旁，南北通透三居室，进门厅，户型方正,南河南崖 -上夼,3室1厅 | 84.32平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 6天以前发布,75,"8,895元/平"
此房证满两年无大税，四居室，南北阳台,祥隆理想城 -科技大道,4室2厅 | 146平米 | 南 北 | 其他 | 低楼层(共25层)  | 板塔结合,0人关注 / 12天以前发布,120,"8,220元/平"
大华上海滩花园 2室2厅 南 北,大华上海滩花园 -三滩社区,2室2厅 | 102.65平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 1天以前发布,105,"10,229元/平"
碧海绿洲三室精装  格局好 诚心卖  看房方便,金桥碧海绿洲 -黄河路,3室2厅 | 122.25平米 | 北 南 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 14天以前发布,152,"12,434元/平"
中建悦海   三室两厅两卫   户型好  随时看 可塑性强,中建悦海和园 -北京中路,3室2厅 | 119.66平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,3人关注 / 一年前发布,125,"10,447元/平"
中海紫御公馆别墅北面高层，南北视野开阔,中海紫御公馆 -科技大道,4室2厅 | 197.64平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,26人关注 / 一年前发布,268,"13,561元/平"
银芝框架 多层2层 带装修 含车库 生活便利,银芝小区 -德胜,5室2厅 | 165.3平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,11人关注 / 一年前发布,145,"8,772元/平"
南山世纪星海湾，低层，毛坯房 南边客厅双南卧采光好,南山世纪星海湾 -大学城,4室2厅 | 228.36平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,48人关注 / 一年前发布,298,"13,050元/平"
独栋产品，地上两层，地下100多平挑高4.8米，前后院子,龙湖滟澜海岸 -牟平周边,5室2厅 | 232.98平米 | 南 北 | 毛坯 | 2层  | 塔楼 | 独栋别墅 ,16人关注 / 一年前发布,380,"16,311元/平"
招商马尔贝拉 162平别墅 带阁楼 前后花园 带车位,招商马尔贝拉 -北京中路,5室2厅 | 161.49平米 | 南 北 | 毛坯 | 3层  | 板楼 | 联排别墅 ,5人关注 / 4个月以前发布,393,"24,336元/平"
依云小镇顶加阁小区北侧俯瞰开发区全景全屋忠央空调,海信依云小镇 -福莱山公园,4室3厅 | 190.32平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,26人关注 / 一年前发布,160,"8,407元/平"
一线海景房，两梯两户大平层，尊享奢华,天越湾 -大学城,5室2厅 | 467.52平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,91人关注 / 一年前发布,480,"10,267元/平"
碧海云天顶加阁，南北通透，视野好，看房方便,碧海云天 -碧海云天,4室2厅 | 192平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,175,"9,115元/平"
烟台一线海景房 看海大平层 带大阳台,天越湾 -大学城,5室2厅 | 468.41平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,32人关注 / 一年前发布,630,"13,450元/平"
中南山海湾上叠，西打头，景观区旁，上下三层，大露台,中南山海湾 -开发区周边,4室2厅 | 122.5平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,12人关注 / 11个月以前发布,144,"11,756元/平"
顶加阁带南北平台  南北通透 居住*舒适,绿色家园 -迎春大街,5室2厅 | 136.47平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,52人关注 / 一年前发布,138.9,"10,179元/平"
中南山海湾下叠别墅一楼带同面积地下两层带130平大院,中南山海湾 -开发区周边,3室2厅 | 135.93平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 板楼,18人关注 / 一年前发布,180,"13,243元/平"
此房是南厅双南卧的格局，南北通透采光充足，精装修。,万达公馆 -毓璜顶,4室2厅 | 190.58平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,68人关注 / 一年前发布,430,"22,563元/平"
框架， 满五唯一，南北通透，楼层好，交通便利,旭日小区 -德胜,4室2厅 | 139.37平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,19人关注 / 一年前发布,115,"8,252元/平"
碧海云天顶加阁，南北通透，视野好，看房方便,碧海云天 -碧海云天,4室2厅 | 192平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,175,"9,115元/平"
顶加阁带南北平台  南北通透 居住*舒适,绿色家园 -迎春大街,5室2厅 | 136.47平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,52人关注 / 一年前发布,138.9,"10,179元/平"
海滨路独栋别墅，前后院，上下三层，无低点，利用率高,海滨花园 -碧海云天,4室2厅 | 327.27平米 | 南 北 | 精装 | 3层  | 暂无数据 | 独栋别墅 ,3人关注 / 1个月以前发布,1150,"35,140元/平"
紫郡城东打头+看山看海+上下三层+100万装修+带车位,紫郡城 -上夼,4室3厅 | 127.66平米 | 东 南 北 | 其他 | 高楼层(共15层)  | 板楼,19人关注 / 一年前发布,380,"29,767元/平"
新中式，，，，海景精装修，拎包入住,中海紫御公馆 -科技大道,4室2厅 | 192.26平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,5人关注 / 4个月以前发布,270,"14,044元/平"
东打头上下两层面积共300多平，精装修，可看夹河，,夹河苑 -金东,5室3厅 | 160.04平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,22人关注 / 一年前发布,300,"18,746元/平"
精装修顶加阁二楼卧室厕所无低点暖气可交一层带车位,海信依云小镇 -福莱山公园,6室3厅 | 211.88平米 | 东 南 北 | 精装 | 高楼层(共6层)  | 板楼,17人关注 / 7个月以前发布,162,"7,646元/平"
山海湾上叠别墅    业主诚心出售    优质好房,中南山海湾 -开发区周边,3室2厅 | 122.41平米 | 北 南 | 其他 | 低楼层(共3层)  | 平房,2人关注 / 一年前发布,175,"14,297元/平"
中海紫御公馆，毛坯大四居，采光棒,中海紫御公馆 -科技大道,4室2厅 | 196.21平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,78人关注 / 一年前发布,185,"9,429元/平"
星海花园小高层复式住宅 三个阳台  位置好出入方便,星海花园 -碧海云天,5室1厅 | 159.44平米 | 南 北 | 简装 | 高楼层(共10层)  | 板楼,10人关注 / 11个月以前发布,195,"12,231元/平"
锦绣新城 南北通透  精装修 四室三厅  复式加阁楼,锦绣新城一期 -只楚,4室3厅 | 197.35平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,25人关注 / 一年前发布,130,"6,588元/平"
河海双景 中建洋房 毛坯 户型优越 高楼层 满两年,中建洋房壹号 -北京中路,4室2厅 | 169.11平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,310,"18,332元/平"
黄海小区全新家具家电 未入住顶+阁楼 阁楼精装80平,黄海小区 -碧海云天,3室2厅 | 133.2平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,39人关注 / 一年前发布,149,"11,187元/平"
海景高层大四居，宽阔舒适很宜居,南山世纪华庭 -大学城,4室2厅 | 220.69平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,10人关注 / 一年前发布,197,"8,927元/平"
莱山区单价不到1万奢华海景大四居,南山世纪华庭 -大学城,4室2厅 | 220.69平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,74人关注 / 一年前发布,170,"7,704元/平"
东方巴黎 3室2厅 南 东南,东方巴黎 -三站,3室2厅 | 131.26平米 | 南 东南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,138,"10,514元/平"
西北坝 双实验旁 精装修三室  二楼,西北坝 -牟平振华,3室2厅 | 90.35平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 7天以前发布,53,"5,867元/平"
房子已经满两年了，没有大税，全明户型,金桥澎湖湾 -北京中路,2室2厅 | 80.48平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 3天以前发布,66,"8,201元/平"
房主诚意出售，精装修保持的不错，看房方便！,中海银海熙岸 -东泊子,3室2厅 | 92.34平米 | 东 南 北 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 4天以前发布,100,"10,830元/平"
房子是三室两厅两卫，打头房，精装修拎包入住全明户型,星河城 -福海路,3室2厅 | 128.25平米 | 东 南 北 | 精装 | 高楼层(共23层)  | 塔楼,0人关注 / 2天以前发布,100,"7,798元/平"
化工机械厂宿舍楼 3室1厅 南 北,化工机械厂宿舍楼 -莱阳市,3室1厅 | 63.48平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 3天以前发布,39.8,"6,270元/平"
双南卧一北卧西打头好楼层满五年无个税带车位,栖里凤台山庄 -万达,3室2厅 | 90.49平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 3天以前发布,120,"13,262元/平"
金桥澎湖湾 2室2厅 南 北,金桥澎湖湾 -北京中路,2室2厅 | 89.94平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 2天以前发布,69,"7,672元/平"
精装三室向阳房拎包入住实用面积大,东兴街 -解放路,4室1厅 | 98.93平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 3天以前发布,200,"20,217元/平"
不临街不靠道， 东打头户型好，采光好，视野好。,翡翠明珠 -南通路,3室2厅 | 115.93平米 | 东 南 北 | 其他 | 中楼层(共19层)  | 板楼,0人关注 / 2天以前发布,278,"23,980元/平"
栖里凤台 全南两室 毛坯满二 看房方便,栖里凤台山庄 -万达,2室1厅 | 89.52平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 17天以前发布,100,"11,171元/平"
帝景苑南区 多层南北通透三室 有钥匙看房方便价格优惠,帝景苑(芝罘) -世回尧,3室2厅 | 79.77平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 12天以前发布,71.2,"8,926元/平"
