标题,开发商,房子信息,发布信息,售价/万,单价
三居室，明室明厅 精装修南北通透 观景房,松林亲水湾 -新城区,3室2厅 | 157.78平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,38人关注 / 一年前发布,143,"9,064元/平"
临河小区 3室2厅 南 北,临河小区 -松山区,3室2厅 | 113.57平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,94,"8,277元/平"
户型方正  视野开阔  边户   小区环境优美,金御华府B区 -松山区,3室2厅 | 127.61平米 | 南 北 | 简装 | 低楼层(共22层)  | 板楼,0人关注 / 一年前发布,102,"7,994元/平"
小面积三室    南北通透   经典户型,中法家属楼 -红山区,3室1厅 | 78.9平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,47.5,"6,021元/平"
南北通透  3居室  精装修  步梯4楼,一建地税小区 -红山区,3室2厅 | 96.86平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,67,"6,918元/平"
产权清晰价格合理随时看房急售好房,红山世家 -红山区,3室2厅 | 124.6平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,7人关注 / 一年前发布,84,"6,742元/平"
正花园小区 九小对 面 大三室 已改造小区环境新,花园小区西区 -红山区,3室2厅 | 92.62平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,62,"6,695元/平"
大三室，明室明厅 东边户 双卫,消防队家属楼（钢铁街） -红山区,3室2厅 | 165.5平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 一年前发布,120,"7,251元/平"
南北三居室，精装修，一天没住过，诚心出售,中梁首府壹号 -松山区,3室1厅 | 117.02平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,93,"7,948元/平"
人气社区  大三室格局  南北通透,昭乌达华源松园 -红山区,3室2厅 | 142.28平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,86,"6,045元/平"
电业清河小区 3室1厅 南 北,电业清河小区 -红山区,3室1厅 | 86.97平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,61,"7,014元/平"
团结小区 3室1厅 南 北,团结小区 -红山区,3室1厅 | 85.56平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,59,"6,896元/平"
三补跃层，精装修边户，无任何捆绑，房主置换价格可议,长青花园 -红山区,3室2厅 | 148.41平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,3人关注 / 一年前发布,80,"5,391元/平"
福润园  步梯4楼 采光充足 无遮挡,福润园 -松山区,2室1厅 | 87.7平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,73,"8,324元/平"
步梯二楼  双阳卧室  南北通透  小税 十七小,菊香花园 -红山区,3室2厅 | 125.13平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,79,"6,314元/平"
工业局家属楼 3室2厅 南 北,工业局家属楼 -红山区,3室2厅 | 96.75平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,55,"5,685元/平"
腊阳小区 六 小 八 中  区 城市中  心 步行街近在咫尺,腊阳小区 -红山区,3室2厅 | 93.63平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,82,"8,758元/平"
步梯2楼  精装三室  南北通透  采光充足,水泵厂家属楼 -红山区,3室1厅 | 90.71平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,57,"6,284元/平"
馨风雅居 边户明室明厅双阳卧室格局 4楼 小税无捆绑,馨风雅居 -新城区,3室2厅 | 100.91平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,13人关注 / 一年前发布,88,"8,721元/平"
三阳格局 三步跃层  大开间  居家好选择,鑫源小区(红山区) -红山区,3室2厅 | 146.39平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,123,"8,403元/平"
蓝山庭院-采光好-格局好好楼层,蓝山庭院西区 -松山区,3室1厅 | 90.45平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,75,"8,292元/平"
精装满五高层无遮挡视野开阔随时看房,中天御园 -新城区,4室2厅 | 168平米 | 南 北 | 精装 | 中楼层(共25层)  | 塔楼,1人关注 / 1个月以前发布,160,"9,524元/平"
红山区十一幼儿园 昭乌达 学府 赤峰学院,春城雅苑小区 -新城区,3室1厅 | 83.5平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 3个月以前发布,68,"8,144元/平"
柴胡篮子金矿家属楼 80平 两室 大坝观景房 明厅,柴胡栏金矿集资楼 -松山区,2室2厅 | 79.57平米 | 南 北 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 一年前发布,51,"6,410元/平"
金和美地  明厅独立三室边户 小 税 随时看房,金和美地 -红山区,3室2厅 | 100.72平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,72,"7,149元/平"
团结小区 3室2厅 南 北,团结小区 -红山区,3室2厅 | 156.45平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,5人关注 / 一年前发布,99,"6,328元/平"
房主置去外地买房 诚心出售 双阳卧室中间客厅 采光好,市政家属楼 -红山区,3室2厅 | 91.27平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,52,"5,698元/平"
鑫源小区  楼层好  看房方便  精装修,鑫源小区(红山区) -红山区,3室2厅 | 131.76平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,95,"7,211元/平"
13年的房子.小面积.三室格局方正.视野宽阔.采光充足.,龙景小区 -红山区,3室2厅 | 88.45平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,55,"6,219元/平"
鑫源小区，全明户型，步梯三室，过户小税,鑫源小区(红山区) -红山区,3室2厅 | 130.23平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,103.5,"7,948元/平"
松北家园 东边户  中间楼层 视野开阔,松北家园 -松山区,3室2厅 | 134.58平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,107,"7,951元/平"
红山世家，精装修东边户，无遮挡,红山世家 -红山区,3室2厅 | 126平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,95,"7,540元/平"
福润园 一楼带花园 明厅独立三室 装修好 采光好,福润园 -松山区,3室1厅 | 119.12平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,96,"8,060元/平"
金百合北区 证74平 6+7 楼上一样大 单价8500 三室,金百合北区 -红山区,3室2厅 | 74.02平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 8个月以前发布,61,"8,242元/平"
红山地税 六楼非顶 四室双卫 格局好 价位合适,红山地税小区 -红山区,4室2厅 | 157.64平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,3人关注 / 7个月以前发布,86,"5,456元/平"
金晨领地无捆绑  单价便宜  看房方便..,金宸领地 -红山区,3室2厅 | 106.18平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 一年前发布,51,"4,804元/平"
业主诚心出售房子，南北通透，户型方正，阳光充足,怡康家园(五道街) -红山区,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,96,"7,680元/平"
松州小区北区 三室两厅 小税无捆绑 中装 步梯三楼,松州小区 -红山区,3室2厅 | 94.85平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,81,"8,540元/平"
运输小区 一楼带花园 小税 看房随时,运输小区 -红山区,3室1厅 | 93.13平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,78,"8,376元/平"
向阳七组团  南北通透  格局好 配套成熟,向阳小区七组团 -松山区,3室1厅 | 81.17平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 9个月以前发布,58,"7,146元/平"
格局方正 交通便利 眼缘好 随时能看房,盛世嘉园A区 -红山区,4室2厅 | 180.05平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,3人关注 / 一年前发布,142,"7,887元/平"
全明户型  精装修  眼缘好  三居大 空 间,百合园(红山区) -红山区,3室2厅 | 106.95平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,1人关注 / 一年前发布,115,"10,753元/平"
荷枫水岸一期 独立三室边户 纯纯的精装修 看房就相中,荷枫水岸一期 -桥北新区,3室2厅 | 117.16平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,89,"7,597元/平"
可贷款 经典三室 中装修   三区交界点,地税家属楼01号 -松山区,3室2厅 | 94.25平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 7个月以前发布,64.5,"6,844元/平"
亲水湾 精装修 眼缘好 户型好 无捆绑 全天采光,松林亲水湾 -新城区,3室2厅 | 124.68平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,124,"9,946元/平"
金泽园  三室二厅二卫 精装修 小税,金泽园 -新城区,3室2厅 | 133.24平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,0人关注 / 1个月以前发布,126,"9,457元/平"
房子西边户，采光好，格局好楼层好................,晨曦花苑 -松山区,3室2厅 | 139.29平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 5个月以前发布,83,"5,959元/平"
此房位置八块地地段好。南北卧。2室2厅1卫。采光足。,景泰苑 -新城区,3室2厅 | 108.3平米 | 南 | 简装 | 中楼层(共13层)  | 板楼,4人关注 / 一年前发布,88,"8,126元/平"
新城区临潢大街 天宇大厦，办公楼，可自用，出租,天宇大厦 -新城区,1室1厅 | 166.12平米 | 西 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,1人关注 / 8个月以前发布,84,"5,057元/平"
中税 没有捆绑 精装修 能贷款 四室双卫,万达华城B区 -新城区,5室2厅 | 225.05平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,1人关注 / 7个月以前发布,171,"7,599元/平"
赤峰市红山区铁南大街与宁澜路交汇处，电梯三楼格局好,毅刚·百合国际 -红山区,3室1厅 | 120.5平米 | 南 北 | 简装 | 低楼层(共23层)  | 板楼,0人关注 / 4个月以前发布,88,"7,303元/平"
航安金和枫景 一楼带负一 楼上,航安金和枫景 -新城区,3室2厅 | 151.79平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 7个月以前发布,153,"10,080元/平"
豪  华装修  南北通透  小高层  无遮挡  采光好,首地·红山郡 -新城区,3室2厅 | 147.47平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 6个月以前发布,173,"11,732元/平"
格局方正。精装修。小税。大客厅采光足,馨风雅居 -新城区,3室2厅 | 131.87平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,119,"9,025元/平"
房屋位于小区中间位置，好楼层，南北通透，精装四室。,燕山府邸 -新城区,4室2厅 | 240.75平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,14人关注 / 一年前发布,280,"11,631元/平"
新城区 富兴嘉城B区 精装三室双卫 户型好 楼层好,富兴嘉城B区 -新城区,3室2厅 | 143.43平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,14人关注 / 一年前发布,128,"8,925元/平"
华府尚城1楼103平3室2厅明室明厅可贷款首付低,华府尚城 -新城区,3室2厅 | 102.97平米 | 南 北 | 简装 | 低楼层(共27层)  | 板塔结合,15人关注 / 8个月以前发布,88,"8,547元/平"
水榭花都B区大三阳格局东边户全明户型三室主卧平顶,水榭花都B区 -新城区,3室2厅 | 94.63平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,56,"5,918元/平"
步梯五楼  精装三室  南北通透,金狮住宅 -红山区,3室2厅 | 95.75平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,59.8,"6,246元/平"
锦绣花园三阳户型单价低简单装修物业管理好低容积,锦绣花园（新城区） -新城区,3室1厅 | 127.56平米 | 东 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,92,"7,213元/平"
房子是三室双卫格局南北通透房子楼层好建议实地看房,沈铁花园 -红山区,3室2厅 | 126.65平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,71,"5,607元/平"
富兴嘉城 精装修 经典三室 无捆绑 小税,富兴嘉城B区 -新城区,3室2厅 | 117.08平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,103,"8,798元/平"
亚兴国际公寓  环境 大面积平层  看房预约  精装修,亚兴国际公寓 -新城区,3室2厅 | 226.37平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,4人关注 / 一年前发布,213,"9,410元/平"
明室明厅三室 电梯7楼 过户中税 无捆绑  看房提前预约,亚兴国际公寓 -新城区,3室2厅 | 161.5平米 | 南 北 | 精装 | 高楼层(共19层)  | 板楼,0人关注 / 3个月以前发布,155,"9,598元/平"
电梯中层，精装婚房，采光好明厅,金日怡景 -新城区,3室2厅 | 128.12平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,105,"8,196元/平"
精品格局双阳卧室三中街红山区优质地段适合过渡陪读,民族建银小区 -红山区,3室1厅 | 101.69平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 8个月以前发布,64.5,"6,343元/平"
房子精装修三室双阳格局  楼层好,万达华城C区 -新城区,3室2厅 | 115.56平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,4人关注 / 5个月以前发布,98,"8,481元/平"
首地·红山郡 3室2厅 南 北,首地·红山郡 -新城区,3室2厅 | 159.88平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,2人关注 / 一年前发布,159,"9,945元/平"
龙熙园 明室明厅 三室双卫 价格便宜 配套齐全,龙熙园(新城区) -新城区,3室2厅 | 140.96平米 | 南 | 简装 | 高楼层(共14层)  | 板楼,4人关注 / 7个月以前发布,105,"7,449元/平"
富河国际C区 前排观景 复式 共180平,富河国际C区 -新城区,3室2厅 | 179.1平米 | 东 西 | 简装 | 高楼层(共12层)  | 板楼,3人关注 / 8个月以前发布,153,"8,543元/平"
电梯洋房  有电梯 眀室明厅格局 无捆绑,德润公馆 -新城区,2室2厅 | 106.32平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,100,"9,406元/平"
南北通透大两室户型  楼层好 视野宽阔 采光充足,玉龙家园(新城区) -新城区,2室2厅 | 93.94平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,76,"8,091元/平"
富和园七区，全明四室双卫，观景房，看房方便,富和园 -新城区,4室2厅 | 204.21平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,5人关注 / 一年前发布,190,"9,305元/平"
亚兴国际公寓  环境 大面积平层  看房预约  精装修,亚兴国际公寓 -新城区,3室2厅 | 226.37平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,4人关注 / 一年前发布,213,"9,410元/平"
富兴嘉城 精装修 经典三室 无捆绑 小税,富兴嘉城B区 -新城区,3室2厅 | 117.08平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,103,"8,798元/平"
明室明厅三室 电梯7楼 过户中税 无捆绑  看房提前预约,亚兴国际公寓 -新城区,3室2厅 | 161.5平米 | 南 北 | 精装 | 高楼层(共19层)  | 板楼,0人关注 / 3个月以前发布,155,"9,598元/平"
精品格局双阳卧室三中街红山区优质地段适合过渡陪读,民族建银小区 -红山区,3室1厅 | 101.69平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 8个月以前发布,64.5,"6,343元/平"
温馨家园 明厅 格局方正 不临街 前面一点遮挡没有,温馨家园(新城区) -新城区,3室2厅 | 155.71平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,9人关注 / 8个月以前发布,138.6,"8,902元/平"
交通便利 购物方便  有公立幼儿/园、小/学,下洼子小区 -新城区,3室1厅 | 99.9平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,70,"7,008元/平"
团结小区    十七小  十中  小面积三室,团结小区 -红山区,3室2厅 | 88.14平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,43,"4,879元/平"
精装三居室 5楼东边户 97年房 位置好,东安小区 -红山区,3室2厅 | 86.06平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,57,"6,624元/平"
昭乌达小区 精装修  楼中楼格局  精装修,昭乌达梅香庭院 -红山区,3室2厅 | 176.19平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 9个月以前发布,107,"6,073元/平"
坤睿·富华天地 3室1厅 南 北,坤睿·富华天地 -红山区,3室1厅 | 73平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,53,"7,261元/平"
王府花园一期 3室2厅 南 北,王府花园一期 -新城区,3室2厅 | 145.02平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,150,"10,344元/平"
园林路居委会 3室2厅 南 北,园林路居委会 -红山区,3室2厅 | 104.03平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,59.8,"5,749元/平"
阳光花园，一楼带花园，经典三室出售,阳光花园(新城区) -新城区,3室2厅 | 88.12平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,79,"8,966元/平"
成龙嘉园  南北通透  环境还,成龙嘉园 -新城区,3室2厅 | 114平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,89,"7,808元/平"
富和园八区，一梯一户，观景房，,富和园 -新城区,3室2厅 | 138.54平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 6个月以前发布,130,"9,384元/平"
小税 不临街不把边 采光好 边户,金狮住宅 -红山区,3室2厅 | 127.56平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,84,"6,586元/平"
单价7400 富和园八区  明厅三室双卫  小税 格局好,富和园 -新城区,3室2厅 | 141.1平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,14人关注 / 7个月以前发布,102,"7,229元/平"
金和枫景 电梯9楼 花园式品质社区,航安金和枫景 -新城区,3室2厅 | 120.12平米 | 南 北 | 精装 | 中楼层(共21层)  | 板楼,0人关注 / 2个月以前发布,125,"10,407元/平"
春城雅苑 步梯2楼 精装修  东边户,春城雅苑小区 -新城区,3室2厅 | 92.03平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,10人关注 / 8个月以前发布,72,"7,824元/平"
本小区de  幼儿园：实验幼儿园 学：,皇家帝苑二期C区 -新城区,3室2厅 | 139.65平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 一年前发布,147,"10,527元/平"
万达华城 明室明厅南北通透   精致装修拎包入住,万达华城A区 -新城区,3室2厅 | 142.3平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,10人关注 / 一年前发布,113,"7,941元/平"
红城商厦  三室两厅   宽敞明亮   装修好,红城商厦 -红山区,3室2厅 | 118.3平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,0人关注 / 一年前发布,85,"7,186元/平"
王，府花园一期  单价8889  大落地窗  小税,王府花园一期 -新城区,3室2厅 | 157.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,140,"8,889元/平"
红山地税小区 3室2厅 南 北,红山地税小区 -红山区,3室2厅 | 154.48平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,99,"6,409元/平"
2011年房 钻石三楼 明厅大三室,学苑小区 -松山区,3室2厅 | 132.64平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,98,"7,389元/平"
向阳七组团 94平 三室 步梯6楼 小税 看房方便,向阳小区七组团 -松山区,3室2厅 | 94.38平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 10个月以前发布,70,"7,417元/平"
香格里拉 电梯楼层好 三室 精装修着急卖,香格里拉国际城 -松山区,3室2厅 | 101.93平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,21人关注 / 一年前发布,89,"8,732元/平"
恒茂大厦 精装三室 明室明厅 温馨舒适 无捆绑,恒茂大厦 -松山区,3室2厅 | 158.52平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,110,"6,940元/平"
3室，宽敞明亮，小区有门禁，停车位充足，环境好肃静,公安小区 -松山区,3室2厅 | 98.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,68,"6,870元/平"
红星小区 81平 三室 步梯3楼 南北通透 95年房,红星小区 -红山区,3室2厅 | 81.64平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,40,"4,900元/平"
大三阳 格局方正 使用面积大 通透三室 付款方式灵活,水榭花都B区 -新城区,3室2厅 | 141.95平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 10个月以前发布,130,"9,159元/平"
南北通透 三室格局 繁华地段 适中楼层,锡伯河小区 -松山区,3室2厅 | 123.96平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 一年前发布,86,"6,938元/平"
丰泽园精装修 四室 明厅 单价低  格局好,丰泽园小区 -松山区,4室2厅 | 139.56平米 | 西南 | 简装 | 高楼层(共30层)  | 塔楼,1人关注 / 一年前发布,99,"7,094元/平"
格局明厅            建议看房,沈铁花园 -红山区,3室2厅 | 129.11平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,102,"7,901元/平"
步梯一楼带花园 南北通透  格局好 出行方便,盛世嘉园B区 -红山区,3室2厅 | 83.13平米 | 南 北 | 简装 | 低楼层(共7层)  | 塔楼,1人关注 / 7个月以前发布,65,"7,820元/平"
此房三室格局 南北通透 楼层好 视野开阔 采光充足,松秀园 -松山区,3室2厅 | 73.97平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,55,"7,436元/平"
东安成型社区不临街 不把边  精装修5楼经典三室，,东安小区 -红山区,3室1厅 | 87.78平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,61.4,"6,995元/平"
房子格局好，采光好，楼层好，房主人况好，交通便利。,造纸厂家属院（哈达街） -红山区,3室2厅 | 102.25平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,72,"7,042元/平"
红山郡一期 精装修 明厅三室 无捆绑 看房随时,首地·红山郡 -新城区,3室1厅 | 119.63平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,125,"10,449元/平"
房子精装修 楼中楼复式 6室 全明户型 挑高客厅,钓鱼台D区 -桥北新区,6室3厅 | 340.02平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,3人关注 / 一年前发布,400,"11,765元/平"
此房前后不临街，采光好无遮挡，业主诚心出售,浩安新城 -松山区,3室2厅 | 105.45平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,91,"8,630元/平"
长安小区，成熟社区，温馨三居室，过户小税,长安小区 -新城区,3室2厅 | 94.33平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,95,"10,072元/平"
精.装修 边户 三室 拎包入住 小税,龙山鸿郡B区 -桥北新区,3室2厅 | 125.27平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,1人关注 / 3个月以前发布,100,"7,983元/平"
吉祥阳光新城 精装 屋子干净 中层 采光好,吉祥阳光新城I区 -新城区,3室2厅 | 91.43平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,5人关注 / 10个月以前发布,86,"9,407元/平"
精装三室双卫  没住多久  好楼层  视野开阔  采光刺眼,万达华城C区 -新城区,3室2厅 | 130.59平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,5人关注 / 5个月以前发布,122,"9,343元/平"
中天悦府禧园 精装修  东边户  房子很漂亮 看房方便,中天悦府二期禧园 -新城区,3室2厅 | 102.69平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,17人关注 / 一年前发布,122,"11,881元/平"
小区很好 业主素质高  物业好  绿化很好  环境优美,航安金和枫景 -新城区,3室2厅 | 122.93平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,3人关注 / 一年前发布,122,"9,925元/平"
如意家园电梯9楼.精装四室.两卫带全屋家电家具.,如意家园（新城区） -新城区,4室2厅 | 176.98平米 | 南 北 | 精装 | 中楼层(共13层)  | 板塔结合,1人关注 / 一年前发布,124,"7,007元/平"
7700/平   精装修  明室明厅  采光好  前面是花园,钓鱼台A区 -桥北新区,3室2厅 | 134.88平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,105,"7,785元/平"
香格里拉                  一层带负一,香格里拉国际城 -松山区,4室2厅 | 85.12平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,6人关注 / 一年前发布,105,"12,336元/平"
步梯 二楼  东边户 房子三室格局 房子干净 贺亮,下洼子小区 -新城区,3室1厅 | 99.9平米 | 东 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,85,"8,509元/平"
中税 没有捆绑 精装修 能贷款 四室双卫,万达华城B区 -新城区,4室2厅 | 224.92平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,5人关注 / 一年前发布,152,"6,758元/平"
金御华府 精装修  东户 南北通透 明室明厅,金御华府B区 -松山区,3室2厅 | 145平米 | 南 北 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 一年前发布,145,"10,000元/平"
龙山鸿郡 大三阳落地窗  大三居,龙山鸿郡B区 -桥北新区,3室2厅 | 119.32平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,3人关注 / 一年前发布,120,"10,057元/平"
中税 没有捆绑 精装修 能贷款 四室双卫,万达华城B区 -新城区,4室2厅 | 224.92平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,5人关注 / 一年前发布,152,"6,758元/平"
吉祥阳光新城 精装 屋子干净 中层 采光好,吉祥阳光新城I区 -新城区,3室2厅 | 91.43平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,5人关注 / 10个月以前发布,86,"9,407元/平"
精装三室双卫  没住多久  好楼层  视野开阔  采光刺眼,万达华城C区 -新城区,3室2厅 | 130.59平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,5人关注 / 5个月以前发布,122,"9,343元/平"
精.装修 边户 三室 拎包入住 小税,龙山鸿郡B区 -桥北新区,3室2厅 | 125.27平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,1人关注 / 3个月以前发布,100,"7,983元/平"
富贵园 3室2厅 南 北,富贵园 -松山区,3室2厅 | 116.5平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 5个月以前发布,80,"6,867元/平"
