标题,开发商,房子信息,发布信息,售价/万,单价
保利拉菲公馆东区 体育公园 小高层 南北通透 诚心出售,保利拉菲公馆朗菲园二期 -裕兴,3室2厅 | 148.54平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,106人关注 / 9个月以前发布,282,"18,985元/平"
火车站商圈，塔坛两室，2号地铁线，交通便利,塔坛村 -塔谈,2室2厅 | 96.04平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,3人关注 / 1个月以前发布,112,"11,662元/平"
中楼层，明厨明卫，客厅双卧朝南，南北通透,中山尚城 -鹿泉市,3室2厅 | 113.54平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,6人关注 / 6个月以前发布,93,"8,191元/平"
业主诚心出售，中间楼层，采光充足，无遮挡,卓达星辰花园 -天山海世界,2室2厅 | 99.49平米 | 南 | 简装 | 高楼层(共20层)  | 板楼,1人关注 / 1个月以前发布,122,"12,263元/平"
万达  世纪公园  精装两室  低楼层   有钥匙,电路板厂宿舍 -槐北,2室1厅 | 58.49平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,73,"12,481元/平"
精装修两室好户型。总价比较低。适合刚需。,锦融尚御名邸 -高营,2室2厅 | 87.89平米 | 南 | 简装 | 32层  | 板楼,10人关注 / 4个月以前发布,82.5,"9,387元/平"
洋房，落地窗。D铁口。阳面客厅，随时看房。急售,东龙花园 -南长,3室1厅 | 152.32平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,15人关注 / 10个月以前发布,168,"11,030元/平"
品质小区 洋房9跃10 精装修 挑空 带露台70平,融创裕华壹号 -二十里铺,5室2厅 | 209.55平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,15人关注 / 7个月以前发布,565,"26,963元/平"
观景大宽厅，中间楼层，视野好，口碑物业，人车分流！,西美五洲天地 -大马村,3室2厅 | 197.93平米 | 西南 | 精装 | 中楼层(共35层)  | 板塔结合,5人关注 / 5个月以前发布,370,"18,694元/平"
恒大雅苑 3室2厅 南 北,恒大雅苑 -众美,3室2厅 | 96.62平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,15人关注 / 7个月以前发布,121,"12,524元/平"
着急出售大马庄园两居室！看房方便！物业费低！,大马庄园 -大马村,2室1厅 | 80.69平米 | 西 | 精装 | 低楼层(共17层)  | 板楼,50人关注 / 一年前发布,85,"10,535元/平"
此房为复式，出行便利 交通购物方便,新界商务楼 -裕东,3室2厅 | 53.52平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,47人关注 / 一年前发布,58,"10,838元/平"
国赫天著 格局好视野宽阔，小区环境优美，,国赫天著 -义堂,3室2厅 | 133.56平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,31人关注 / 7个月以前发布,216,"16,173元/平"
DT三号线   阳面大客厅  好楼层采光充足 看房方便,弘石湾C1区 -水上公园,2室2厅 | 98.5平米 | 南 | 简装 | 低楼层(共26层)  | 板楼,12人关注 / 8个月以前发布,108,"10,965元/平"
此房低楼层，交通便利，业主诚心出售,启馨园 -西南高校区,3室2厅 | 122.02平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,38人关注 / 一年前发布,120,"9,835元/平"
东胜 建华 翟营商圈  中上楼层 采光好两居,悦城七区 -翟营,2室2厅 | 96.85平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,143,"14,766元/平"
2016年底交房，户型方正，前后无遮挡采充足,花园小区C区 -建北,1室1厅 | 61.77平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,12人关注 / 11个月以前发布,59.9,"9,698元/平"
二环旁，两室两厅，精装修带全套家具家电，婚房未入住,玉村馨苑 -玉村,2室2厅 | 91.05平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,103,"11,313元/平"
3号地铁口中间好楼层视野野好采光无遮挡看房效果好,启程苑 -维明,2室1厅 | 70.14平米 | 南 | 简装 | 低楼层(共32层)  | 塔楼,4人关注 / 1个月以前发布,86.7,"12,361元/平"
南北通透，全明两居室，诚意出售，全天采光无遮挡,盛世春天北区 -建北,2室2厅 | 95.12平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,101,"10,619元/平"
绿朗时光 楼龄新 楼层好 业主诚心出售,绿朗时光 -富力,2室2厅 | 90.13平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,24人关注 / 8个月以前发布,96,"10,652元/平"
龙盛华府，多层一楼，满五唯一，含小房,龙盛华府 -正定县,2室1厅 | 90.74平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,9人关注 / 7个月以前发布,110,"12,123元/平"
28 大1室，房子大价格低，房龄新诚心卖,省新闻出版局 -西三庄,1室1厅 | 49.01平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,16人关注 / 一年前发布,55,"11,223元/平"
采光好，视野好 近欧韵公园 业主急售,汇通天下 -孙村,1室1厅 | 59.24平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,34人关注 / 一年前发布,58,"9,791元/平"
二环里精装修通透两室带地下室急售急售呀！,盛达鑫苑 -城角,2室1厅 | 88.39平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,106,"11,993元/平"
省儿童医院宿舍 建华万达 人文素质高 两室交通便利,省儿童医院宿舍 -东苑,2室1厅 | 55平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 3个月以前发布,59.5,"10,819元/平"
40青园街 1室 总 价 低 采 光 好,富华小区 -四十中学,1室1厅 | 36.41平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,97,"26,642元/平"
中楼层、视野宽阔、采光充足；交通便利；配套设施齐全,中天世都 -平安公园,2室2厅 | 97.76平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,7人关注 / 6个月以前发布,138,"14,117元/平"
有房本有钥匙loft户型 阳面户型 楼下繁华里  价格可谈,天山世界之门 -天山海世界,1室1厅 | 55.73平米 | 南 | 毛坯 | 高楼层(共22层)  | 塔楼,3人关注 / 1个月以前发布,31.5,"5,653元/平"
祈福悦城，业主急售！首付 低，价格美丽！机不可失！,南翟营祈福悦城B区 -翟营,2室2厅 | 93.9平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,119,"12,674元/平"
电梯中间楼层，采光好，全明户型 无任何遮挡,万国园白金汉府 -二十里铺,2室2厅 | 91.58平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,5人关注 / 4个月以前发布,116,"12,667元/平"
国宾壹号，毛坯小两室，户型方正，满二无大税 有钥匙,天山国宾壹號 -天山海世界,2室1厅 | 61.35平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,85,"13,855元/平"
天洲视界城中高层 通厅 看房方便 诚意卖,天洲视界城 -十里铺,2室2厅 | 90.3平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,3人关注 / 3个月以前发布,98,"10,853元/平"
南北通透，大客厅，阳光明媚，带明卫，带地下室更便宜,卓达太阳城希望之州 -冶河镇,2室2厅 | 92.36平米 | 南 北 | 简装 | 高楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,79,"8,554元/平"
通透两室 精装修 首付22万 月供4100 恒大品质 地铁口,恒大御景半岛 -高营,2室2厅 | 78.61平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,103,"13,103元/平"
高楼层 次新房 精装修 通透两居 采光充足 视野开阔,花园小区C区 -建北,2室1厅 | 99.4平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,108,"10,866元/平"
次新房  高铁商务区 精装修 前后无遮挡 出行方便,盛邦花园六区 -孙村,2室2厅 | 97.5平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,149,"15,283元/平"
国宾壹号，简装两室 中间楼层，全天采光，诚心出售,天山国宾壹號 -天山海世界,2室1厅 | 86.68平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 4个月以前发布,132,"15,229元/平"
天山国宾壹號 2室2厅 南,天山国宾壹號 -天山海世界,2室2厅 | 86.51平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,1人关注 / 1个月以前发布,130,"15,028元/平"
休门欣园 房本满二 位置佳 采光好 通风效果好,休门欣园 -平安公园,2室2厅 | 91.34平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,2人关注 / 1个月以前发布,98,"10,730元/平"
国宾壹号 中间楼层，采光好，精装两室 洋房社区,天山国宾壹號 -天山海世界,2室2厅 | 66.25平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,30人关注 / 4个月以前发布,98,"14,793元/平"
东二环槐中路正规商品房 有电梯  现代化精装修,万国园星洲美域 -二十里铺,1室1厅 | 55.27平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,68,"12,304元/平"
急售 心海假日 开间7.4米 精装一室 空间大,心海假日 -天山海世界,1室1厅 | 63.29平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,17人关注 / 4个月以前发布,75,"11,851元/平"
户型方正，南北通透，采光无忧，视野好,华城绿洲二区 -华夏,2室2厅 | 94.25平米 | 南 北 | 简装 | 高楼层(共28层)  | 板楼,23人关注 / 3个月以前发布,120,"12,733元/平"
中间楼层  全南户型   看房方便  满二过户,悦城二区 -翟营,2室1厅 | 91.63平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,142,"15,498元/平"
首付26万 精装两室 中间楼层 采光好 地铁口 随时看房,奥冠奥北公元 -丰收路,2室2厅 | 87.02平米 | 南 | 精装 | 中楼层(共38层)  | 板楼,2人关注 / 3个月以前发布,125,"14,365元/平"
洋房社区 户型方正 好楼层视野好,天山国宾壹號 -天山海世界,2室2厅 | 76.27平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,17人关注 / 4个月以前发布,113,"14,816元/平"
房东诚心出售，房子采光好，出行方便，交通方便，,省儿童医院宿舍 -东苑,2室1厅 | 55平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,37人关注 / 一年前发布,49,"8,910元/平"
此房好楼层采光充足，阳面大客厅，视野开阔,元亨家园 -新乐市,3室2厅 | 124平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,85,"6,855元/平"
南北通风户型 偏门 客厅有窗户 全明户型 带地下室,七四二零南苑小区 -胜北,2室2厅 | 74.18平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 5个月以前发布,83,"11,189元/平"
奥北公元+南北通透+全明户型+精装修+业主诚意卖,奥冠奥北公元 -丰收路,3室2厅 | 133.99平米 | 南 北 | 精装 | 高楼层(共38层)  | 板楼,1人关注 / 2个月以前发布,170,"12,688元/平"
富强小区， 满五唯一，43旁，一环边，三室通阳台急售,富强小区沁舒园 -青园,3室2厅 | 118.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,82人关注 / 一年前发布,100,"8,425元/平"
小户型，经济实用，明厨明卫，小区环境优美,阿尔卡迪亚荣景园 -胜北,3室1厅 | 105.18平米 | 东北 | 简装 | 低楼层(共34层)  | 板楼,1人关注 / 2个月以前发布,207,"19,681元/平"
恒大旁，高配精装修，可直接住，近规划4号线地铁,锦融尚御名邸 -高营,3室1厅 | 111.65平米 | 南 北 | 精装 | 29层  | 板楼,1人关注 / 1个月以前发布,102,"9,136元/平"
华普城 精装婚房 带地下室 车位 业主诚心出售,华普城 -西王,2室2厅 | 90.25平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 1个月以前发布,93,"10,305元/平"
二环里，D铁口，配套齐全。高楼层，视野开阔采光充足,西三庄西区 -西三庄,2室2厅 | 98.06平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,95,"9,688元/平"
高营商圈多层，大三室，光线好，户型方正，生活便利,北高营新村 -高营,3室2厅 | 118.07平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 10个月以前发布,92,"7,792元/平"
此房是8层洋房 公摊面积小 新小区 绿化好 格局好,紫御澜湾 -藁城市,3室2厅 | 145.14平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 7个月以前发布,160,"11,024元/平"
精装三室两厅两卫。花园社区，二环旁,盛世御城4区 -玉村,3室2厅 | 124.61平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,4人关注 / 3个月以前发布,185,"14,847元/平"
此房满五唯一，中间楼层，配套齐全。,防疫站家属楼 -藁城市,3室2厅 | 134.21平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 5个月以前发布,100,"7,452元/平"
省广播电视局宿舍 2室1厅 南,省广播电视局宿舍 -广安,2室1厅 | 54.3平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 2个月以前发布,58,"10,682元/平"
金马和27 急售 价格可谈 实地看房效果很好 采光好,金马小区腾达园 -裕东,3室2厅 | 120.88平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,31人关注 / 3个月以前发布,119,"9,845元/平"
裕华壹号 品质小区 精装大三室  价不高,融创裕华壹号 -二十里铺,3室2厅 | 128.23平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,25人关注 / 6个月以前发布,220,"17,157元/平"
一环、配套全、新源燕府三室、下楼长安公园,新源燕府 -南三条,3室2厅 | 106.28平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,28人关注 / 3个月以前发布,219,"20,606元/平"
必卖好房 二环内小高层 一梯两户 中间楼层三居室 可谈,融诚府 -城角,3室2厅 | 137.3平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,142,"10,343元/平"
古城遗址公园旁，通透三居，全明户型精装修，好楼层,上河湾 -高营,3室2厅 | 102.32平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,45人关注 / 6个月以前发布,103,"10,067元/平"
房龄新 大三室  精装修 总价低,锦悦桦庭 -窦妪镇,3室2厅 | 114.67平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,57,"4,971元/平"
急售 东胜紫御府 裕西公园 西王地铁 花园社区,东胜紫御府 -裕西公园,3室2厅 | 122.12平米 | 南 北 | 简装 | 高楼层(共30层)  | 板楼,5人关注 / 2个月以前发布,165,"13,512元/平"
次顶楼层 双阳卧室 采光好 视野好 总价低  价格能谈,中城蓝溪谷 -二十里铺,2室2厅 | 84.6平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,1人关注 / 5个月以前发布,84.5,"9,989元/平"
亚润花园，全明户型，双阳卧室，业主急售！,上城上林苑 -西三庄,2室2厅 | 116.36平米 | 南 | 简装 | 高楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,105,"9,024元/平"
二环内电梯小高层 精品三居室 户型方正 通透格局急售,融诚府 -城角,3室2厅 | 135.93平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,152人关注 / 11个月以前发布,138,"10,153元/平"
出售大马两居室17层总高两梯四户低楼层采光无遮挡,大马庄园 -大马村,2室1厅 | 89.41平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,11人关注 / 4个月以前发布,104,"11,632元/平"
低楼层 经典小三室 采光好 看房方便,颐康小区 -振头,3室1厅 | 90.33平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,6人关注 / 5个月以前发布,156,"17,271元/平"
洋房社区，好楼层，南北通透2室，明厨明卫，急售,紫林湾 -兆通,2室2厅 | 103.63平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,11人关注 / 10个月以前发布,120,"11,580元/平"
万达商圈，中间楼层，南北通透户型，价格美丽,尖岭小区 -槐北,2室1厅 | 59.14平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,29人关注 / 一年前发布,72,"12,175元/平"
长安万达旁，18层小高，楼间距大采光好,清木苑 -谈固,2室1厅 | 104.68平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 2个月以前发布,121,"11,560元/平"
精装修拎包入住，通透户型，低楼层全天采光无遮挡。,廣泰花园 -藁城市,3室2厅 | 135.01平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,135,"10,000元/平"
急售 南环 金域华府跃层 带电梯,金域华府 -新乐市,4室2厅 | 157.95平米 | 南 | 简装 | 低楼层(共26层)  | 暂无数据,3人关注 / 4个月以前发布,104,"6,585元/平"
柠檬小镇 2室1厅 南,柠檬小镇 -鹿泉市,2室1厅 | 74.94平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,8人关注 / 8个月以前发布,51,"6,806元/平"
万达商圈，中间楼层，南北通透户型，价格美丽,尖岭小区 -槐北,2室1厅 | 59.14平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,29人关注 / 一年前发布,72,"12,175元/平"
洋房社区，好楼层，南北通透2室，明厨明卫，急售,紫林湾 -兆通,2室2厅 | 103.63平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,11人关注 / 10个月以前发布,120,"11,580元/平"
恒大绿洲 2室2厅 南,恒大绿洲 -东开发区,2室2厅 | 99.46平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,92,"9,250元/平"
二环里盛世春天，两室户型，好楼层采光好,盛世春天南区 -建北,2室2厅 | 102.24平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,11人关注 / 5个月以前发布,110,"10,759元/平"
二环边 玉村馨苑 精装修  双阳卧室  通透户型,玉村馨苑 -玉村,3室2厅 | 116.38平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,25人关注 / 4个月以前发布,128,"10,999元/平"
建华商圈，朝南客厅，北宋地铁站,乐城半岛 -跃进,2室2厅 | 92.56平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,45人关注 / 7个月以前发布,128,"13,829元/平"
火车站商圈，塔坛庄园两室，采光充足，交通便利,塔坛庄园 -塔谈,2室1厅 | 95.15平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,14人关注 / 7个月以前发布,106.9,"11,235元/平"
下午阳光还行，公立私塾-养老两不误,大马庄园 -大马村,1室1厅 | 67.84平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,75,"11,056元/平"
通阳台大两室，二环内，装修好直接入住不用重新装修。,翰玉门庭 -土贤庄,2室2厅 | 100.18平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2人关注 / 2个月以前发布,96,"9,583元/平"
海悦万象 一室一厅 地铁口 本人亲自看过 价格合适,南街 -南长,1室1厅 | 33.52平米 | 南 北 | 简装 | 7层  | 板楼,0人关注 / 21天以前发布,37,"11,039元/平"
瀚唐小区 公园新社区 全阳大阳台两室 精装修,瀚唐 -古城村,2室1厅 | 86.82平米 | 南 北 | 精装 | 33层  | 板楼,0人关注 / 30天以前发布,112,"12,901元/平"
洋房社区，跃层，单价12000元/平,天山熙湖 -天山海世界,3室2厅 | 117平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板楼,8人关注 / 4个月以前发布,143,"12,223元/平"
六期全明两室，户型方正，中高楼层采光好，视野好。,恒大御景半岛 -高营,2室2厅 | 82.01平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,108,"13,170元/平"
二环边上新小区一室 带电梯  随时可看,中城蓝溪谷 -二十里铺,1室1厅 | 44.13平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,2人关注 / 1个月以前发布,44,"9,971元/平"
"二环内，中间楼层,小户型，总价单价都低",翰玉门庭 -土贤庄,1室1厅 | 51.82平米 | 东 北 | 简装 | 中楼层(共26层)  | 板楼,17人关注 / 6个月以前发布,43,"8,298元/平"
诚 心 出 售 一 居 室 !,翰玉门庭 -土贤庄,1室1厅 | 40.25平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,14人关注 / 6个月以前发布,35.5,"8,820元/平"
"近地铁，此房不满年,交通便利，配套齐全,生活便利",休门欣园 -平安公园,2室1厅 | 82.46平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,13人关注 / 3个月以前发布,82,"9,945元/平"
槐安路红旗大街地段好，房龄新 中间楼层，采光好,翰林观天下二期 -振头,2室2厅 | 86.02平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,137,"15,927元/平"
急售 东二环 全天无遮挡 经典小两居  全明户型,安联新青年广场 -白佛,2室2厅 | 77.2平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,2人关注 / 1个月以前发布,86,"11,140元/平"
克拉公馆，1居室，可以贷款，住宅。,克拉公馆 -北站,1室1厅 | 45.73平米 | 东 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 4个月以前发布,43,"9,404元/平"
精装修两室两厅，阳面大客厅，格局方正，小高层,文庭雅苑 -玉村,2室1厅 | 92.95平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,25人关注 / 5个月以前发布,123,"13,233元/平"
2楼两室  槐安路与红旗大街交汇处,省委振头宿舍 -红旗,3室1厅 | 82.66平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,60人关注 / 一年前发布,116,"14,034元/平"
小两居，带电梯 精装修自住 ，采光视野好，诚心出售,南石新村 -十里铺,2室2厅 | 77.27平米 | 南 | 精装 | 34层  | 板楼,13人关注 / 一年前发布,85,"11,001元/平"
出门地铁3号线太行大街站，采光好，无遮挡。随时看房,主语城 -富力,3室2厅 | 98.26平米 | 南 | 简装 | 高楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,108,"10,992元/平"
金桥嘉园  两室两厅  偏门 两梯三户  精装修 有房本,金桥嘉园 -简良,2室1厅 | 101.44平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,1人关注 / 2个月以前发布,88,"8,676元/平"
高远森林城 精装修的房子 租户在看房子方便,高远森霖城 -柳董庄,2室2厅 | 91.72平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,5人关注 / 3个月以前发布,107,"11,666元/平"
精装婚房.户型好楼层棒.带地下室.实际看房效果好,天河悦城 -天苑,2室1厅 | 88.59平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,10人关注 / 5个月以前发布,116,"13,095元/平"
出行方便，精装修，拎包入住，采光不受影响，视野开阔,燃料公司宿舍(友谊南大街) -振头,3室1厅 | 69.48平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,8人关注 / 5个月以前发布,122,"17,560元/平"
红旗小区  2楼 诚心卖，南北通透户形.满五唯一,红旗小区 -西里,3室1厅 | 87.5平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,48人关注 / 一年前发布,138,"15,772元/平"
建华商圈，双阳卧室，视野开阔，全天采光无遮挡,东明苑 -跃进,2室2厅 | 70.39平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,93,"13,213元/平"
精装两室，楼层好，视野开阔，户型方正,都市怡景 -北国益庄,2室1厅 | 79.7平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,82,"10,289元/平"
天山熙湖一室+洋房社区+诚意出售,天山熙湖 -天山海世界,1室1厅 | 45.06平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,70人关注 / 7个月以前发布,51,"11,319元/平"
好房诚心出售国际城精装电梯房中间楼层小阳台拎包入住,香槟郡 -银通,1室1厅 | 57.14平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,5人关注 / 3个月以前发布,63,"11,026元/平"
房龄新楼层好，环境好，物业管理规范，价格合理,文荟佳园 -宫家庄,1室1厅 | 38.95平米 | 东 | 简装 | 高楼层(共26层)  | 板楼,17人关注 / 一年前发布,43.8,"11,246元/平"
等无大税过户！好楼层，好装修，业主诚心出售,锦城 -白佛,2室2厅 | 90.72平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,107,"11,795元/平"
二环内银都花园旁，精装房，带电梯。采光好，,银都公馆 -义堂,2室2厅 | 83.46平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,10人关注 / 3个月以前发布,88,"10,544元/平"
花园小区 双阳卧室 高楼层 通风采光好,欣景家园 -玉村,2室2厅 | 83.9平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 3个月以前发布,105,"12,515元/平"
天海物业 出行方便 精装房业主诚心出售 带地下室8平米,天海容天下 -白佛,2室2厅 | 83.64平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,130,"15,543元/平"
好楼层，急售，看房方便，精装两室，好谈,绿朗时光 -富力,2室2厅 | 85.69平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,23人关注 / 4个月以前发布,96,"11,204元/平"
低首付，低楼层，利用率高，适于刚需过度,6410宿舍 -沿东,1室1厅 | 22.84平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,57人关注 / 10个月以前发布,24,"10,508元/平"
维西小区 2室2厅 南,维西小区 -东里,2室2厅 | 78.82平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,100,"12,688元/平"
低总价，精装修，朝向好，品质社区。,天山国宾壹號 -天山海世界,2室1厅 | 57.54平米 | 西 | 精装 | 中楼层(共34层)  | 板楼,2人关注 / 1个月以前发布,74,"12,861元/平"
房龄新楼层好，环境好，物业管理规范，价格合理,文荟佳园 -宫家庄,1室1厅 | 56.5平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,2人关注 / 4个月以前发布,50,"8,850元/平"
西王地铁口 裕西公园旁 精装两室 中间好楼层 全明户型,大谈裕园 -裕西公园,2室2厅 | 85平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 2个月以前发布,103,"12,118元/平"
一环内，交通便利，总价低，精装修,启程苑 -维明,1室1厅 | 56.18平米 | 西 西北 | 精装 | 低楼层(共33层)  | 板楼,11人关注 / 4个月以前发布,58,"10,324元/平"
刚需精致小两室，中间楼层，看房方便,北城国际A区 -沿东,2室2厅 | 77.9平米 | 南 | 简装 | 24层  | 板楼,0人关注 / 1个月以前发布,93,"11,939元/平"
中间好楼层，阳面客厅，全明户型，配套齐全，精装修,鑫界王府 -玉村,2室2厅 | 98.68平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,110,"11,148元/平"
中山路 地铁口 华宸电梯房 满五唯一税费少 很诚心卖,华宸怡园 -白佛,2室2厅 | 91.68平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,3人关注 / 1个月以前发布,98,"10,690元/平"
乐汇城商圈 地铁口 海棠院 精装小两室 低层无遮挡,绿地中山华府海棠院 -大经,1室1厅 | 56.15平米 | 西 北 | 简装 | 低楼层(共27层)  | 板楼,25人关注 / 一年前发布,81,"14,426元/平"
市妇幼旁，17片，精装一室，总价低，随时可看,燕西台 -西南高校区,1室1厅 | 52.11平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,2人关注 / 2个月以前发布,56.5,"10,843元/平"
临43  精装修 满五年 个税  总价低 诚心卖,经编厂宿舍 -富强,1室1厅 | 42.44平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 6个月以前发布,87,"20,500元/平"
此房挨着万和恒大，楼层好，采光好，满二,富瀛苏园（南区） -高营,2室2厅 | 95平米 | 南 | 简装 | 低楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,107,"11,264元/平"
一环边，精装，有地下室，楼层好，采光视野好,悦城七区 -翟营,2室2厅 | 95.99平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,7人关注 / 3个月以前发布,153,"15,940元/平"
