标题,开发商,房子信息,发布信息,售价/万,单价
东方明珠三村 中间楼层 精装修 大三房 拎包入住。,东方明珠三村 -江东,3室2厅 | 128.62平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,198,"15,395元/平"
此房满五唯一，低楼层二楼。配套设施齐全。,师苑新村 -桃园,3室1厅 | 71.07平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,92,"12,945元/平"
天泽水岸，双阳台，精装婚房，南北通透，诚心出售,天泽水岸 -佳山,3室2厅 | 127.43平米 | 南 北 | 精装 | 高楼层(共15层)  | 塔楼,5人关注 / 一年前发布,135,"10,595元/平"
东方明珠四村三室一厅，精装修拎包入住,东方明珠四村 -江东,3室1厅 | 109.94平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,12人关注 / 一年前发布,175,"15,918元/平"
深业华府 4室2厅 南,深业华府 -安民,4室2厅 | 141.62平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,268,"18,924元/平"
"晨光花园一楼 三，室,，生化方便",晨光花园 -佳山,3室2厅 | 100.95平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,82,"8,123元/平"
印象花园，城中板块精装三房，拎包入住,印象欧洲 -佳山,3室2厅 | 107.45平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 5个月以前发布,135,"12,564元/平"
此房满五年不唯一，多层的二楼，不靠马路。,江南御花园 -佳山,3室2厅 | 143.42平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,8人关注 / 5个月以前发布,140,"9,762元/平"
此房满五唯一复式套内130平精装拎包入住,深业华府 -安民,3室2厅 | 100.09平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,11人关注 / 4个月以前发布,159,"15,886元/平"
印象欧洲，婚房装修，满五唯一。,印象欧洲 -佳山,3室2厅 | 93.55平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,9人关注 / 一年前发布,109,"11,652元/平"
桃花村3-1-1-1，满五唯一，拎包入住。,桃花村 -桃园,3室1厅 | 65.42平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,45,"6,879元/平"
此房满五不唯一，精装修，多层电梯房，中间楼层,海外海名筑时代广场 -雨山,4室2厅 | 271.95平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 5个月以前发布,125,"4,597元/平"
春晖悦府大平层 户型图尺寸为套内纯尺寸,春晖悦府 -安民,4室2厅 | 172.4平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,12人关注 / 5个月以前发布,385,"22,332元/平"
万达中央华城 精装修三房 楼层采光好,万达中央华城 -安民,3室2厅 | 123.86平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,14人关注 / 9个月以前发布,155,"12,515元/平"
全南大客厅，满五唯一，房东稳。到价就卖！,春天花园 -安民,2室2厅 | 110.65平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,14人关注 / 一年前发布,86.5,"7,818元/平"
顶楼复式 自住精装修 拎包入住,春晖家园东区 -佳山,4室2厅 | 105.79平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,11人关注 / 一年前发布,139.8,"13,215元/平"
中南熙悦 东边户 二次精装一次未住 满二 看房提前预约,中南熙悦 -佳山,3室2厅 | 125.62平米 | 南 | 精装 | 中楼层(共15层)  | 板塔结合,2人关注 / 3个月以前发布,242,"19,265元/平"
深业一期，精装三房，婚房装修。,深业华府 -安民,3室2厅 | 108.17平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,10人关注 / 一年前发布,146,"13,498元/平"
多层三楼东边户 南北通透洋房户型,颐画嘉园 -桃园,3室2厅 | 124.43平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,123.8,"9,950元/平"
东誉城三室精装修户型方正拎包入住采光刺眼,东誉城 -当涂县,3室2厅 | 116.06平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,110,"9,478元/平"
万达中央华城 中间楼层 使用面积大 诚心出售,万达中央华城 -安民,5室2厅 | 132.19平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,3人关注 / 6个月以前发布,155,"11,726元/平"
此房满五唯一，格局好，采光好 交通方便,江东小区 -桃园,3室2厅 | 138.95平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,92,"6,622元/平"
满五 精装修 采光好 房东诚心卖,天泽水岸 -佳山,3室2厅 | 122.03平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,5人关注 / 一年前发布,120,"9,834元/平"
万家花园精装修大三房  房东诚心出售,九华万家花园 -佳山,3室2厅 | 108.55平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 一年前发布,71.8,"6,615元/平"
江南御花园三开间朝南户型，方正户型，精装修拎包入住,江南御花园 -佳山,3室2厅 | 139.43平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,160,"11,476元/平"
三房两厅 南北通透 精装修 中间楼层,春晖家园东区 -佳山,3室2厅 | 88.95平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,110,"12,367元/平"
满五唯一，精装修，品牌家具家电，户型好，楼栋位置佳,康乐家园 -桃园,6室3厅 | 182.57平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,198,"10,846元/平"
双阳台，前后无遮挡，三室两卫，全新毛坯,春晖家园东区 -佳山,3室2厅 | 121.5平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,42人关注 / 一年前发布,175,"14,404元/平"
多层三楼东边户 南北通透洋房户型,颐画嘉园 -桃园,3室2厅 | 124.43平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,123.8,"9,950元/平"
格林花园 位置号小区安静 配套齐全 低层好房出售,格林花园 -佳山,3室2厅 | 147.04平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,2人关注 / 7个月以前发布,199.5,"13,568元/平"
和泰国际花园，精装修大三房，含车位，看中可谈,和泰国际花园 -桃园,3室2厅 | 132.45平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,5人关注 / 6个月以前发布,264.8,"19,993元/平"
春晖家园低楼层，小区环境优美，物业负责，看房方便,春晖家园东区 -佳山,3室2厅 | 113.39平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,4人关注 / 4个月以前发布,136.8,"12,065元/平"
满五唯一，中间楼层，精装修，拎包入住,东方城 -霍里,3室2厅 | 136.69平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,2人关注 / 11个月以前发布,182,"13,315元/平"
此房满五年 南北通透 中间楼层 诚心出售 看房方便,春晖家园西区 -佳山,3室2厅 | 134.83平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,4人关注 / 10个月以前发布,160,"11,867元/平"
，精装修，顶楼复式采光充足视野宽阔，有个大平台。,鑫福家园 -佳山,4室3厅 | 95平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,76,"8,000元/平"
加州尚景园新空毛坯，好楼层，采光好，看房有钥匙,加州尚景园 -未知商圈,3室2厅 | 122.15平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,68,"5,567元/平"
春晖家园中装三房 满五不唯一 拎包入住 看房方便,春晖家园西区 -佳山,3室2厅 | 133.16平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 5个月以前发布,156,"11,716元/平"
翡翠庄园，典雅装饰，邻水别墅，3面环花园，独栋品质,塞纳翡翠庄园怡景苑 -当涂县,6室3厅 | 311平米 | 东 东南 西南 西 北 | 精装 | 2层  | 暂无数据 | 独栋别墅 ,1人关注 / 6个月以前发布,600,"19,293元/平"
格林花园 带20多平地下室 三开间朝南 拎包入住,格林花园 -佳山,3室2厅 | 127.55平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,2人关注 / 5个月以前发布,138,"10,820元/平"
此房满五唯一，婚房精装，标准三房，中高楼层。,颐园世家 -佳山,3室1厅 | 93.89平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 4个月以前发布,115,"12,249元/平"
店长推荐 马钢花园 电梯好房 随时看房 满五唯一,钢城花园一村 -安民,3室2厅 | 130.47平米 | 南 | 简装 | 高楼层(共10层)  | 板楼,0人关注 / 3个月以前发布,120,"9,198元/平"
深业华府 4室2厅 南,深业华府 -安民,4室2厅 | 182.06平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,51人关注 / 一年前发布,260,"14,282元/平"
精装修户型很好，可以拎包入住，采光刺眼。,东湖碧水湾 -佳山,3室1厅 | 135.88平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,3人关注 / 11个月以前发布,138,"10,157元/平"
桃花村3-1-1-1，满五唯一，拎包入住。,桃花村 -桃园,3室1厅 | 65.42平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,45,"6,879元/平"
江东小区一楼带院子采光不遮挡精装四室诚意出售,江东小区 -桃园,4室2厅 | 199.01平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,15人关注 / 6个月以前发布,248,"12,462元/平"
珍珠西园 一楼边户大三室 带架空层 买了直接拎包入住,珍珠西园 -雨山,3室2厅 | 132.62平米 | 东南 南 | 精装 | 低楼层(共11层)  | 板楼,20人关注 / 11个月以前发布,125,"9,426元/平"
户型通透，小区品质好，品牌物业，楼层好，精装,碧桂园滨江世家 -当涂县,3室2厅 | 91.83平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,65,"7,079元/平"
此房满五唯一，低楼层二楼。配套设施齐全。,师苑新村 -桃园,3室1厅 | 71.07平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,92,"12,945元/平"
天泽水岸，双阳台，精装婚房，南北通透，诚心出售,天泽水岸 -佳山,3室2厅 | 127.43平米 | 南 北 | 精装 | 高楼层(共15层)  | 塔楼,5人关注 / 一年前发布,135,"10,595元/平"
东方明珠四村三室一厅，精装修拎包入住,东方明珠四村 -江东,3室1厅 | 109.94平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,12人关注 / 一年前发布,175,"15,918元/平"
万嘉南苑二村 复式结构 楼下74平 实用面积大  满五年,万嘉南苑二村 -佳山,4室2厅 | 74.39平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,55,"7,394元/平"
店长推荐 马钢花园 电梯好房 随时看房 满五唯一,钢城花园一村 -安民,3室2厅 | 130.47平米 | 南 | 简装 | 高楼层(共10层)  | 板楼,0人关注 / 3个月以前发布,120,"9,198元/平"
小高层的中上层，环视慈湖河景观，靠进东站,朝辉东方城三区 -霍里,3室2厅 | 97.28平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,5人关注 / 3个月以前发布,131,"13,467元/平"
此房带院子，舒适读好，户型佳，没有爬楼的辛苦，,珍珠园六村 -雨山,2室1厅 | 62.86平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,12人关注 / 6个月以前发布,77.9,"12,393元/平"
万达中央华城 精装修三房 楼层采光好,万达中央华城 -安民,3室2厅 | 123.86平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,14人关注 / 9个月以前发布,155,"12,515元/平"
纺东新村 顶楼复式 带露台 精装修保养好,纺东新村 -安民,4室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,80,"5,715元/平"
此房满五唯一，小区中间位置房型好，楼层好,西湖花园 -解放路,4室2厅 | 148.67平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,168,"11,301元/平"
西湖花园好房出售，从新装修过的，采光好,西湖花园 -解放路,4室2厅 | 160.93平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 5个月以前发布,140,"8,700元/平"
生化新村 低楼层 三室两厅 生活便利 房东诚心出售,生化新村 -桃园,3室2厅 | 102.12平米 | 南 北 | 精装 | 低楼层(共6层)  | 平房,1人关注 / 7个月以前发布,133,"13,024元/平"
宝龙华庭大三房，拎包入住，业主诚意售卖，看房联系。,宝龙华庭 -桃园,3室1厅 | 139.87平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,189,"13,513元/平"
此房满五不唯一精装修房屋保养很好户型方正，有跃层,金汇城市花园 -桃园,3室1厅 | 104.13平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,129.8,"12,466元/平"
中间楼层，户型房正，保养很好，房子满五看房约,西湖花园 -解放路,4室2厅 | 137.78平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 9个月以前发布,167,"12,121元/平"
深业华府 4室2厅 南,深业华府 -安民,4室2厅 | 154.8平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 2个月以前发布,245,"15,827元/平"
诚心出售，中间楼层位置很好，采光无 敌不遮挡,深业华府春天里 -安民,3室1厅 | 112.79平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,3人关注 / 4个月以前发布,166,"14,718元/平"
万达二期 中上楼层 小区中间 精装修 采光好 业主急售,万达中央华城 -安民,3室1厅 | 80.99平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,5人关注 / 4个月以前发布,110,"13,582元/平"
此房满五不唯一，精装修，多层电梯房，中间楼层,海外海名筑时代广场 -雨山,4室2厅 | 271.95平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 5个月以前发布,125,"4,597元/平"
精装修拎包入住，带大露台，房型 格局好，配套齐全,汇成上东 -解放路,2室1厅 | 89.15平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,15人关注 / 一年前发布,118,"13,237元/平"
全新精装一天未住硬件顶配带直达车位,西湖公元皇府 -佳山,5室2厅 | 178.38平米 | 南 北 | 其他 | 中楼层(共30层)  | 平房,1人关注 / 3个月以前发布,277.98,"15,584元/平"
前后双阳台，面积30，实用面积100多,向阳村 -沙塘,3室1厅 | 77.23平米 | 东南 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,67.8,"8,779元/平"
翡翠庄园，典雅装饰，邻水别墅，3面环花园，独栋品质,塞纳翡翠庄园怡景苑 -当涂县,6室3厅 | 311平米 | 东 东南 西南 西 北 | 精装 | 2层  | 暂无数据 | 独栋别墅 ,1人关注 / 6个月以前发布,600,"19,293元/平"
此房满五唯一，婚房精装，标准三房，中高楼层。,颐园世家 -佳山,3室1厅 | 93.89平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 4个月以前发布,115,"12,249元/平"
格林花园 带20多平地下室 三开间朝南 拎包入住,格林花园 -佳山,3室2厅 | 127.55平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,2人关注 / 5个月以前发布,138,"10,820元/平"
泰和天成 采光无遮挡  精装  拎包入住,泰和天成 -佳山,3室2厅 | 132.84平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2人关注 / 5个月以前发布,146,"10,991元/平"
此房精装修，三开间朝南格局好，楼层好，拎包入住,江南御花园 -佳山,3室2厅 | 139.41平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,135,"9,684元/平"
公元皇府的三房，采光好，格局好,西湖公元皇府 -佳山,3室1厅 | 116.33平米 | 南 | 精装 | 中楼层(共17层)  | 平房,0人关注 / 4个月以前发布,146,"12,551元/平"
金汇城市花园 5室2厅 南 北,金汇城市花园 -桃园,5室2厅 | 116.37平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 11个月以前发布,166,"14,265元/平"
房子满五带阁楼三露台（南2北1）家电齐全（5台空调）,春晖家园东区 -佳山,4室2厅 | 89平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,100,"11,236元/平"
康泰佳苑 顶楼复式   带电梯   两个露台,康泰佳苑 -安民,6室2厅 | 141.31平米 | 南 | 简装 | 高楼层(共11层)  | 塔楼,8人关注 / 4个月以前发布,190,"13,446元/平"
春晖家园东区 4室2厅 南 北,春晖家园东区 -佳山,4室2厅 | 118.34平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 7个月以前发布,168,"14,197元/平"
师苑新村精装三房 拎包入住 满两年 诚心出售看房方便,师苑新村 -桃园,3室1厅 | 71.07平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,92,"12,945元/平"
正棱山庄 2室1厅 南,正棱山庄 -解放路,2室1厅 | 86.3平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,105,"12,167元/平"
奢阔大平层，百万装修，墅居体验，拎包即住,西湖公元皇府 -佳山,3室2厅 | 233平米 | 南 | 精装 | 低楼层(共30层)  | 平房,0人关注 / 1个月以前发布,380,"16,310元/平"
三开间朝南 总高18层的小高层 采光充足 热门商圈,深业华府春天里 -安民,3室2厅 | 96.37平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,135,"14,009元/平"
此房位置很好，小区中间位置，满二年，户型空气流通,康城花园 -解放路,2室1厅 | 86.23平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 24天以前发布,98,"11,365元/平"
此房楼层好小区位置好精装修两室朝南明厨明卫采光好,万嘉颐园六村 -霍里,2室2厅 | 78.78平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 22天以前发布,74,"9,394元/平"
满五唯一 拎包入住 家电全丢 诚心出售,盛泰名邸 -安民,3室2厅 | 121.07平米 | 南 北 | 其他 | 中楼层(共23层)  | 板楼,0人关注 / 25天以前发布,122,"10,077元/平"
映翠二村，楼层采光好，楼下菜市场市公交站。方便,映翠花园二村 -安民,3室2厅 | 94.06平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,65,"6,911元/平"
房东诚心出售，房型方正，看房提前联系维护人,金瑞新城四村 -江东,3室2厅 | 102.56平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,62,"6,046元/平"
此房满5唯一，虽然是1楼，采光没有影，有架空层,东方明珠四村 -江东,2室2厅 | 101.36平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 25天以前发布,138.6,"13,675元/平"
格林花园 3室2厅 南,格林花园 -佳山,3室2厅 | 118.44平米 | 南 | 其他 | 低楼层(共6层)  | 塔楼,0人关注 / 27天以前发布,168,"14,185元/平"
店长推荐，上下复式楼，急售！！！,碧桂嘉苑 -解放路,5室2厅 | 188.43平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 24天以前发布,132,"7,006元/平"
深业华府，118平4房，全新装修，空间合理利用，满二年,深业华府春天里 -安民,4室2厅 | 117.96平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 25天以前发布,172,"14,582元/平"
香樟园 2室1厅 南,香樟园 -桃园,2室1厅 | 61.25平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,51,"8,327元/平"
映翠花园三村 3室1厅 南,映翠花园三村 -安民,3室1厅 | 95.41平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,69.5,"7,285元/平"
诚心出售，全明户型，两室朝南采光好,春天花园 -安民,2室1厅 | 78.45平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 19天以前发布,59,"7,521元/平"
紫源大厦 3室2厅 南,紫源大厦 -霍里,3室2厅 | 271.61平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 23天以前发布,217,"7,990元/平"
香樟园三楼，户型好采光无遮挡，南北通透,香樟园 -桃园,2室1厅 | 61.07平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 21天以前发布,46,"7,533元/平"
深业华府 中上好楼层 拎包入住 满两年 采光全天无遮挡,深业华府春天里 -安民,3室2厅 | 96.3平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 25天以前发布,135,"14,019元/平"
红旗北路2-1-1-1 81.59平方 42.8 万,红旗北路 -未知商圈,2室1厅 | 81.59平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 31天以前发布,42.8,"5,246元/平"
紫竹园 2室1厅 南,紫竹园 -解放路,2室1厅 | 56.03平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,38,"6,783元/平"
小区环境好 户型通透 楼间距大 视野开阔,信达城 -霍里,3室2厅 | 143.91平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 28天以前发布,175,"12,161元/平"
东苑小区里面气象新村两室满五年五楼精装修拎包入住,气象新村 -解放路,2室1厅 | 64.8平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 26天以前发布,72,"11,112元/平"
深业华府春天里好户型小高层中上楼层小区正中间位置,深业华府春天里 -安民,4室2厅 | 117.89平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 28天以前发布,169,"14,336元/平"
康城花园 2室1厅 南,康城花园 -解放路,2室1厅 | 81.63平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 29天以前发布,76.9,"9,421元/平"
婚房装修，3室2厅，基本未住，房东南京置业，诚心出售,润泽家园 -霍里,3室2厅 | 105.75平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 20天以前发布,120,"11,348元/平"
向阳村 3室1厅 南,向阳村 -沙塘,3室1厅 | 62.95平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 28天以前发布,36,"5,719元/平"
恒泰学府里 中上楼层 全天采光 视野 满二年房东诚心卖,达观天下学府里 -佳山,3室2厅 | 97.99平米 | 南 北 | 其他 | 高楼层(共25层)  | 板塔结合,0人关注 / 29天以前发布,93.8,"9,573元/平"
绿洲花园一村 2室2厅 南,绿洲花园一村 -塘西,2室2厅 | 90.34平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 30天以前发布,85,"9,409元/平"
金玉兰花园 4室2厅 南,金玉兰花园 -塘西,4室2厅 | 138.01平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 18天以前发布,48,"3,479元/平"
松源嘉苑 2室2厅 南 北,松源嘉苑 -佳山,2室2厅 | 91.86平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 24天以前发布,56,"6,097元/平"
深业华府 满五唯一 精装四室 中 高层,深业华府 -安民,4室2厅 | 132.54平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 25天以前发布,190,"14,336元/平"
东方明珠三村 3室2厅 南,东方明珠三村 -江东,3室2厅 | 128.62平米 | 南 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 20天以前发布,207,"16,094元/平"
东方明珠六村 3室2厅 南,东方明珠六村 -江东,3室2厅 | 110.06平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 30天以前发布,158,"14,356元/平"
金鹰旁 湖北路29号 二楼 两室一厅 简装,湖北路29号 -沙塘,2室1厅 | 68.06平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,70,"10,286元/平"
深业华府，满两年 中上楼层 随时看房,深业华府春天里 -安民,3室2厅 | 112.76平米 | 南 北 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 20天以前发布,169,"14,988元/平"
剑桥公馆 2室2厅 南,剑桥公馆 -解放路,2室2厅 | 100.48平米 | 南 | 其他 | 低楼层(共12层)  | 板塔结合,0人关注 / 26天以前发布,105,"10,450元/平"
领秀国际，房东诚心出售，精装修格局方正，没有浪费。,融邦领秀国际 -霍里,3室2厅 | 86.61平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 28天以前发布,79,"9,122元/平"
金玉兰花园 4室2厅 南,金玉兰花园 -塘西,4室2厅 | 138.01平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 18天以前发布,48,"3,479元/平"
朱家塘小区 2室1厅 南,朱家塘小区 -解放路,2室1厅 | 58.08平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 22天以前发布,53,"9,126元/平"
梨苑一楼带院子 全新精装 满二年,梨苑 -桃园,2室1厅 | 60.52平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 25天以前发布,87,"14,376元/平"
天泽水岸 满五唯一 电梯房精装好楼层,天泽水岸 -佳山,2室1厅 | 87.39平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 16天以前发布,93,"10,642元/平"
汽修新村，2001年建成的房子，房东诚心出售,汽修新村 -解放路,2室1厅 | 60.97平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 15天以前发布,56,"9,185元/平"
秀山湖壹号小高层，精装修，拎包入住！,秀山湖壹號 -霍里,3室2厅 | 104.09平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 27天以前发布,135,"12,970元/平"
万达商圈 天玺苑 永丰河景观尽收眼底 户型方正,伟星天玺 -佳山,3室1厅 | 144.23平米 | 北 南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,240,"16,641元/平"
东湖碧水湾 3室1厅 南,东湖碧水湾 -佳山,3室1厅 | 135.88平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 24天以前发布,170,"12,512元/平"
城东翡翠豪庭 电梯顶楼复式 采光视野好,翡翠豪庭 -当涂县,3室2厅 | 99.67平米 | 南 北 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 19天以前发布,78.8,"7,907元/平"
一楼，五室户型，基本毛坯，有架空,金汇城市花园 -桃园,4室2厅 | 158平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 27天以前发布,188,"11,899元/平"
多层六楼复式，南北有露台 精装三房可以领包入住,金山嘉苑一区 -未知商圈,3室2厅 | 73.56平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,59.8,"8,130元/平"
碧桂园天域 万达南一点五公里 旁边有菜市场公园 轻轨,碧桂园天域 -佳山,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 23天以前发布,170,"14,407元/平"
万嘉颐园南区 新装修保养好  楼层采光好 房东靠谱,万嘉颐园南区 -霍里,2室1厅 | 74.15平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,80,"10,789元/平"
此房为一楼带20平院子，满五唯一，生活方便,鸳鸯小区三村(红旗中路) -安民,3室1厅 | 95.27平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 26天以前发布,100,"10,497元/平"
师苑新村 一楼带院子 市中 心 位置好  采光佳,师苑新村 -桃园,2室1厅 | 71.07平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,95,"13,368元/平"
鸳鸯一村 简单装修 采光不挡 诚心出售,鸳鸯小区一村 -安民,2室1厅 | 54平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 28天以前发布,32,"5,926元/平"
