标题,开发商,房子信息,发布信息,售价/万,单价
人民路南华康城 中 央公馆精装两室小区内价格合适一套,中央公馆三期 -立交桥,2室2厅 | 93平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,5人关注 / 8个月以前发布,68,"7,312元/平"
牡丹公馆，邻人民路牡丹园，有证可以贷款,牡丹公馆 -牡丹园,3室2厅 | 120平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,70,"5,834元/平"
太阳城 3室1厅 南,太阳城 -北外环,3室1厅 | 98平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,68,"6,939元/平"
小三室，地理位置不错，好楼层！！！,名门世都 -汽配城,3室1厅 | 97平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,6人关注 / 10个月以前发布,62,"6,392元/平"
鲁商凤凰城  中装 南北通透 人民路主干道三室,鲁商凤凰城 -牡丹园,3室1厅 | 100.76平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,80,"7,940元/平"
小区位于菏泽市曹州牡丹园东邻，人民路贯穿菏泽南北,御河丹城 -牡丹园,3室1厅 | 119平米 | 西 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 10个月以前发布,79,"6,639元/平"
赵王河畔 经典三居 观景房 环境好 交通便利,赵王河新村 -牡丹园,3室2厅 | 116平米 | 南 | 其他 | 高楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,56.9,"4,906元/平"
华侨城一期        三室两厅一卫   全明格局,时代·华侨城一期 -和平南路,3室2厅 | 100平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,72,"7,200元/平"
火车站东邻  东城国际 精装三室 带车位 带储藏室,东城国际 -广州南路,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,102,"7,670元/平"
万达旁  大三室 老证 诚心出售,新闻家园 -和平南路,3室2厅 | 150平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,117,"7,800元/平"
配套齐全，交通便利，价格合适，小区内环境良好,花城小区 -广州南路,3室2厅 | 96.2平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,36,"3,743元/平"
中华东路天润嘉园眼镜房大三居、精装、地上车位,天润嘉园 -火车站,3室2厅 | 135.93平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,4人关注 / 10个月以前发布,118,"8,681元/平"
公园一号 中 央公馆旁精装修大三室眼睛房有车位储藏室,盛世豪庭 -立交桥,3室2厅 | 150平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,8人关注 / 一年前发布,105,"7,000元/平"
房子四室，............0....公摊小，包改名。,天华长城公馆 -大学城,4室2厅 | 180.97平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,149,"8,234元/平"
视野宽阔、采光充足、配套设施齐全、交通便利,城建华府观澜小区 -牡丹园,3室2厅 | 153平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 一年前发布,95,"6,210元/平"
房东诚心出售 简单装修 采光好 视野宽阔无遮挡,水利花苑 -北外环,2室1厅 | 82平米 | 东北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,43,"5,244元/平"
大观园多层 公摊少  房子精装3室通阳台 离校近,曹州大观园 -青年湖,3室2厅 | 140.3平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,142.8,"10,179元/平"
3-2-1-1 118.96m² 92 万,御河丹城 -牡丹园,3室2厅 | 118.96平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,93.5,"7,860元/平"
经典四室，小区环境好，绿化好 诚心出售,城建华府兰庭小区 -牡丹园,4室2厅 | 178平米 | 东南 北 | 其他 | 低楼层(共28层)  | 板楼,1人关注 / 一年前发布,150,"8,427元/平"
视野广阔 采光足 有储藏室 小区安静,领将帅府 -广州南路,3室2厅 | 106.85平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,20人关注 / 一年前发布,59.9,"5,606元/平"
天阔逸城 三室两厅 精装修带家具家电 带车位储藏室,天阔逸城 -立交桥,3室2厅 | 143.39平米 | 南 北 | 其他 | 高楼层(共31层)  | 板楼,2人关注 / 一年前发布,85,"5,928元/平"
大三室  简单装修 家具家电齐全 交通便利,菏泽学院家属院 -大学城,3室2厅 | 125平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,75,"6,000元/平"
精装四室，户型好，采光透明，老证，随时看,华英嘉园 -惠慈医院,3室2厅 | 150平米 | 东南 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,109.5,"7,300元/平"
怡欣花园，精致三室，带车位，有证可按揭,怡欣花园 -牡丹园,3室2厅 | 147平米 | 南 北 | 简装 | 中楼层(共27层)  | 板楼,3人关注 / 一年前发布,82,"5,579元/平"
万达旁  精装三室  老证 可贷款 诚心出售,新闻家园 -和平南路,3室2厅 | 205平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,105,"5,122元/平"
农行机关宿舍 3室1厅 南,农行机关宿舍 -银座,3室1厅 | 75平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 10个月以前发布,52.5,"7,000元/平"
凯兴天下  中间楼层精装修拎包入住 诚心出售看房方便,凯兴温莎郡 -北外环,3室2厅 | 129平米 | 南 北 | 其他 | 中楼层(共34层)  | 塔楼,0人关注 / 11个月以前发布,96,"7,442元/平"
大学嘉园诚心买经典户型业主外地发展忍痛割爱奥利给！,大学嘉园 -汽配城,2室2厅 | 83平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,48,"5,784元/平"
赵王河，银座，人民路  采光充足，位置优越，交通便利,鲁商凤凰城 -牡丹园,3室2厅 | 147平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,130,"8,844元/平"
鲁商凤凰城 三室带车位，带21平储藏室，房东诚心出售,鲁商凤凰城 -牡丹园,3室2厅 | 124.46平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,92,"7,392元/平"
房子老证可全款可按揭房东诚心出售,龍田名郡 -北外环,3室2厅 | 183.7平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,101,"5,499元/平"
长江东路  精装两室   有车位  诚心出售,领将帅府 -广州南路,2室2厅 | 80.9平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,1人关注 / 11个月以前发布,52,"6,428元/平"
海洋凰庭苑 二十二中 位置优越 位于八一路上,海洋凰庭苑 -三中,3室2厅 | 136.65平米 | 南 北 | 其他 | 高楼层(共22层)  | 板楼,4人关注 / 10个月以前发布,82,"6,001元/平"
华平小区  2室一卫简装  带储藏室  无孩子上学,华平小区 -万达广场,2室1厅 | 83平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,72,"8,675元/平"
融邦中山苑  简装  两室两厅  看房方便  自住,融邦中山苑 -万达广场,2室2厅 | 93平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,66.5,"7,151元/平"
多层低公摊，老证税费低，万达旁，好位置。,亨通园 -银座,3室2厅 | 147平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,5人关注 / 一年前发布,86.7,"5,898元/平"
视野宽阔、采光充足、配套设施齐全、交通便利,中南世纪锦城 -牡丹园,3室1厅 | 110平米 | 南 | 简装 | 低楼层(共31层)  | 板楼,0人关注 / 4个月以前发布,66.6,"6,055元/平"
奥林花园 三室 业主诚心急售 随时看房,奥林花园 -和平南路,3室1厅 | 92平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,58,"6,305元/平"
此房位置好，楼层好，采光充足，配套齐全，交通便利,华鼎学府 -大学城,3室2厅 | 141平米 | 北 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 一年前发布,89.5,"6,348元/平"
万达旁  大三室 老证 诚心出售,新闻家园 -和平南路,3室2厅 | 150平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,117,"7,800元/平"
华侨城一期        三室两厅一卫   全明格局,时代·华侨城一期 -和平南路,3室2厅 | 100平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,72,"7,200元/平"
火车站东邻  东城国际 精装三室 带车位 带储藏室,东城国际 -广州南路,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,102,"7,670元/平"
多层低公摊，老证税费低，万达旁，好位置。,亨通园 -银座,3室2厅 | 147平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,5人关注 / 一年前发布,86.7,"5,898元/平"
中华东路天润嘉园眼镜房大三居、精装、地上车位,天润嘉园 -火车站,3室2厅 | 135.93平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,4人关注 / 10个月以前发布,118,"8,681元/平"
此房老证有储藏室，楼层好，采光充足，通透格局。,天华交通家园 -广州路,3室2厅 | 123平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,1人关注 / 10个月以前发布,69.9,"5,683元/平"
公园一号 中 央公馆旁精装修大三室眼睛房有车位储藏室,盛世豪庭 -立交桥,3室2厅 | 150平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,8人关注 / 一年前发布,105,"7,000元/平"
"中间户,户型方正,看房方便.诚心出售",太阳城 -北外环,3室2厅 | 95平米 | 南 | 其他 | 高楼层(共20层)  | 板塔结合,1人关注 / 11个月以前发布,55,"5,790元/平"
经典两室，户型明亮，多层公摊小,电厂家属院西区 -东电厂,2室2厅 | 82.5平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 10个月以前发布,34,"4,122元/平"
好房推荐！中南世纪锦城，经典两室，赵王河旁，老证,中南世纪锦城 -牡丹园,3室1厅 | 85.7平米 | 南 | 其他 | 中楼层(共29层)  | 板楼,0人关注 / 11个月以前发布,71.8,"8,379元/平"
小三室~看房子方便~业主看房子方便,天华交通家园 -广州路,3室2厅 | 115平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 10个月以前发布,80,"6,957元/平"
此小区位置佳，户型方正，南北通透。。,中华世纪城 -火车站,3室2厅 | 106平米 | 南 北 | 其他 | 中楼层(共25层)  | 板楼,1人关注 / 6个月以前发布,77,"7,265元/平"
将军苑两室，干湿分离，动静分区,将军苑 -三院,2室2厅 | 100.43平米 | 南 北 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 一年前发布,66.5,"6,622元/平"
人民路牡丹公馆 带车位储藏室有证,牡丹公馆 -牡丹园,3室2厅 | 161平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,1人关注 / 一年前发布,89.9,"5,584元/平"
次房子房产证满2年，税费比较低，可贷款，急卖,公园一号 -立交桥,3室2厅 | 119平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,86.1,"7,236元/平"
房子四室，............0....公摊小，包改名。,天华长城公馆 -大学城,4室2厅 | 180.97平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,149,"8,234元/平"
视野宽阔、采光充足、配套设施齐全、交通便利,城建华府观澜小区 -牡丹园,3室2厅 | 153平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 一年前发布,95,"6,210元/平"
房东诚心出售 简单装修 采光好 视野宽阔无遮挡,水利花苑 -北外环,2室1厅 | 82平米 | 东北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,43,"5,244元/平"
房子一楼带院，三室两厅两卫，精装修，老证,华英嘉园 -惠慈医院,3室2厅 | 155.56平米 | 东南 | 其他 | 低楼层(共24层)  | 板塔结合,2人关注 / 一年前发布,150,"9,643元/平"
视野广阔 采光足 有储藏室 小区安静,领将帅府 -广州南路,3室2厅 | 106.85平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,20人关注 / 一年前发布,59.9,"5,606元/平"
天阔逸城 三室两厅 精装修带家具家电 带车位储藏室,天阔逸城 -立交桥,3室2厅 | 143.39平米 | 南 北 | 其他 | 高楼层(共31层)  | 板楼,2人关注 / 一年前发布,85,"5,928元/平"
经典四室，小区环境好，绿化好 诚心出售,城建华府兰庭小区 -牡丹园,4室2厅 | 178平米 | 东南 北 | 其他 | 低楼层(共28层)  | 板楼,1人关注 / 一年前发布,150,"8,427元/平"
配套齐全，交通便利，价格合适，小区内环境良好,花城小区 -广州南路,3室2厅 | 96.2平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,36,"3,743元/平"
赵王河新村  三室  好楼层  南 简装  交通便利,赵王河新村 -牡丹园,3室2厅 | 118平米 | 南 | 简装 | 低楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,55,"4,662元/平"
怡欣花园，精致三室，带车位，有证可按揭,怡欣花园 -牡丹园,3室2厅 | 147平米 | 南 北 | 简装 | 中楼层(共27层)  | 板楼,3人关注 / 一年前发布,82,"5,579元/平"
农行机关宿舍 3室1厅 南,农行机关宿舍 -银座,3室1厅 | 75平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 10个月以前发布,52.5,"7,000元/平"
大学嘉园诚心买经典户型业主外地发展忍痛割爱奥利给！,大学嘉园 -汽配城,2室2厅 | 83平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,48,"5,784元/平"
赵王河，银座，人民路  采光充足，位置优越，交通便利,鲁商凤凰城 -牡丹园,3室2厅 | 147平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,130,"8,844元/平"
房子老证可全款可按揭房东诚心出售,龍田名郡 -北外环,3室2厅 | 183.7平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,101,"5,499元/平"
长江东路  精装两室   有车位  诚心出售,领将帅府 -广州南路,2室2厅 | 80.9平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,1人关注 / 11个月以前发布,52,"6,428元/平"
怡欣花园三室两厅卫  精装修      眼睛房,怡欣花园 -牡丹园,3室2厅 | 147平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,103,"7,007元/平"
此房三室两厅一卫，三室朝阳，采光较好，房东诚心卖,新闻家园 -和平南路,3室2厅 | 151平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,85,"5,630元/平"
房子业主目前诚信出售，现在空置中,东城国际 -广州南路,3室2厅 | 120平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,2人关注 / 一年前发布,72,"6,000元/平"
多层金祥小区  公摊少带家具家电一块出售,金祥小区 -步行街,3室2厅 | 96平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,55,"5,730元/平"
桂陵路上 城建华府观澜小区 看房方便,城建华府观澜小区 -牡丹园,3室2厅 | 153.55平米 | 南 北 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 一年前发布,105,"6,839元/平"
诚心出售 面积太小换套大的 观景发布,鲁商凤凰城 -牡丹园,3室2厅 | 119平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,2人关注 / 一年前发布,84,"7,059元/平"
长江路东城国际3室精装婚房，带车位储藏室，可按揭,东城国际 -广州南路,3室2厅 | 135平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,96.8,"7,171元/平"
上学方便，出门就是实小诚意出售，顶层房屋,菏泽学院东校区家属院 -天香公园,3室2厅 | 82平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 10个月以前发布,60,"7,318元/平"
水榭花都  经典小户型  简单装修房东诚心出售,水榭花都 -三院,2室1厅 | 87平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,6人关注 / 一年前发布,42,"4,828元/平"
天华交通家园三室两厅两卫 老证可按揭,天华交通家园 -广州路,3室2厅 | 122平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,68,"5,574元/平"
城建华府 兰庭  花园房  经典三室  车位  储藏室,城建华府兰庭小区 -牡丹园,3室2厅 | 150平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,2人关注 / 一年前发布,100,"6,667元/平"
菏泽一中旁 剑桥公馆 一楼带院   带储藏室,剑桥公馆 -一佳,3室2厅 | 122平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,2人关注 / 一年前发布,72,"5,902元/平"
小区环境干净卫生、得房率高、绿化好、入住率高、,港湾新城 -牡丹园,4室2厅 | 163.81平米 | 南 西 | 其他 | 高楼层(共11层)  | 板楼,5人关注 / 10个月以前发布,96.8,"5,910元/平"
邮政局家属院 单价低 简装修 户型方正,菏泽市邮政局家属院 -步行街,3室2厅 | 90平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,52,"5,778元/平"
一中 旁两室两厅 一卫   老证 可按揭,康馨雅苑 -一佳,2室2厅 | 75平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,41,"5,467元/平"
牡丹公馆眼镜房大三居、带车位储藏室！老证可贷款,牡丹公馆 -牡丹园,3室2厅 | 160平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,3人关注 / 一年前发布,82,"5,125元/平"
业主装修没有住过 好房源好价格诚心出售,交通未来城 -惠慈医院,3室2厅 | 118平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 一年前发布,85,"7,204元/平"
房子位于市区楼间距大诚心出售。,国贸中心B区 -银座,2室2厅 | 95平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,2人关注 / 一年前发布,77,"8,106元/平"
牡丹路 带车位储藏室 优质房源 交通方便 经济实惠,滨河新城 -一佳,2室1厅 | 87平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,3人关注 / 10个月以前发布,38,"4,368元/平"
鲁商凤凰城一期3室2厅2卫老证可贷款！,鲁商凤凰城 -牡丹园,3室1厅 | 104平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,10人关注 / 11个月以前发布,61.5,"5,914元/平"
瑞海国府大院 4室2厅 南 北,瑞海国府大院 -立交桥,4室2厅 | 150平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,3人关注 / 11个月以前发布,126,"8,400元/平"
天华新天地，离区委比较近，户型方正,天华新天地 -区委,3室2厅 | 122.69平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,70,"5,706元/平"
天阔逸城 3室2厅 南,天阔逸城 -立交桥,3室2厅 | 140.87平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,1人关注 / 一年前发布,75,"5,325元/平"
鲁商凤凰城 观景房 有车位 家具家电 曹州牡丹园,鲁商凤凰城 -牡丹园,3室2厅 | 123.9平米 | 东 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 一年前发布,105,"8,475元/平"
鲁商凤凰城毛坯房 楼层好  位置佳,鲁商凤凰城 -牡丹园,3室2厅 | 144.4平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,2人关注 / 一年前发布,126,"8,726元/平"
中华世纪城  三室两厅一卫  挨着火车站,中华世纪城 -火车站,3室2厅 | 107平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,80,"7,477元/平"
赵王河畔 精装三室 带储藏室 西邻赵王河随时看房,鲁商凤凰城 -牡丹园,3室2厅 | 119平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,3人关注 / 一年前发布,84.99,"7,143元/平"
位于大学路菏泽学院，书香世家必不可少,菏泽学院家属院 -大学城,3室2厅 | 126平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,65,"5,159元/平"
精装修，全明户型，位置佳前后无遮挡！！房东赔钱急售,古园小区 -牡丹园,3室2厅 | 145平米 | 南 | 其他 | 中楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,100,"6,897元/平"
牡丹公馆精装一楼带院，带车位储藏室 可等老证,牡丹公馆 -牡丹园,3室2厅 | 127平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,8人关注 / 一年前发布,99.9,"7,867元/平"
佳合花园 市区少有多层 三室朝阳 采光好 诚心出售,佳合花园 -图书馆,3室2厅 | 129.38平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,77,"5,952元/平"
中达逸景刘菜园 带车位储藏室 精装修 诚心出售,中达逸景刘菜园嘉苑 -西客站,3室1厅 | 141平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,100,"7,093元/平"
万达广场500米四周餐馆丰富购物便捷舒适适合居住,锦绣嘉园 -和平南路,3室2厅 | 100.83平米 | 北 南 | 简装 | 中楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,77,"7,637元/平"
鲁商凤凰城 精装婚房老证可贷款,鲁商凤凰城 -牡丹园,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,122,"9,607元/平"
此房位置好楼层好，采光充足，交通便利,牡丹公馆 -牡丹园,3室2厅 | 140平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,1人关注 / 一年前发布,74,"5,286元/平"
经典三室 带阳面车库 诚心出售 看房方便,天舜家园 -区委,3室2厅 | 130平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,19人关注 / 10个月以前发布,42,"3,231元/平"
长城路中南世纪锦城精装两室老证，拎包入住,中南世纪锦城 -牡丹园,3室1厅 | 80平米 | 南 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,48.8,"6,100元/平"
华侨城两居室，梦想的家，绿化好。,时代·华侨城一期 -和平南路,2室1厅 | 70平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,48,"6,858元/平"
户型方正，楼层好采光好，精装修，诚心出售,御河丹城 -牡丹园,3室1厅 | 109平米 | 南 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 10个月以前发布,76,"6,973元/平"
国花嘉苑，楼层好，采光充足。。。。。。。。。。,国花嘉苑 -牡丹园,2室2厅 | 103.7平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,43,"4,147元/平"
此房业主诚心出售 精装修房屋整洁干净 房子户型方正,古园小区 -牡丹园,3室2厅 | 142平米 | 南 北 | 其他 | 低楼层(共25层)  | 板塔结合,2人关注 / 一年前发布,85,"5,986元/平"
奥林花园 二室二厅一卫 中等装修  老证出售,奥林花园 -和平南路,2室2厅 | 80平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,57,"7,125元/平"
时代奥城三居室，诚心出售，精装修老证可按揭看房方便,亿联时代奥城 -二十一中,3室2厅 | 88平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,76,"8,637元/平"
交通便利。出行方便，人流量聚集，配套设施齐全,龙田府邸 -牡丹园,3室2厅 | 144平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,85.1,"5,910元/平"
华侨城二期 精装  带车位 三室两厅  可按揭,时代·华侨城一期 -和平南路,3室2厅 | 102平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,83.7,"8,206元/平"
此房户型方正三室两厅多层低公摊 好楼层 采光好,柏青花园小区 -图书大厦,3室2厅 | 143平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,86.5,"6,049元/平"
和谐银座商圈，赵王河畔。精装小三室 凤凰楼层,鲁商凤凰城 -牡丹园,3室2厅 | 102平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,4人关注 / 一年前发布,74.5,"7,304元/平"
有车位储藏室精装修带80平方院子。,天华长城公馆 -大学城,3室2厅 | 124平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,110,"8,871元/平"
大三室，中间楼层，户型方正，公摊小,菏泽学院家属院 -大学城,3室2厅 | 125平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,75,"6,000元/平"
奥林花园北区老证，一楼，带车库价格实惠。,时代奥林花园北区 -和平南路,3室2厅 | 148平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,6人关注 / 一年前发布,136,"9,190元/平"
中间户  好楼层 新小区   万象城旁,天华新天地 -区委,2室2厅 | 75平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,2人关注 / 一年前发布,39.7,"5,294元/平"
诚心出售，户型南北通风，东边户，楼层好,福临阅城名苑南区 -北外环,4室2厅 | 137平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,97,"7,081元/平"
金域澜湾西边户120平 精装修诚意出售,金域澜湾 -牡丹园,3室2厅 | 120平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,1人关注 / 10个月以前发布,78,"6,500元/平"
牡丹公馆好好楼层。低价格。好地段。精装拎包入住。,牡丹公馆 -牡丹园,3室2厅 | 158平米 | 北 南 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 一年前发布,97,"6,140元/平"
华侨城  小砖楼  一楼带院子  南北通透,时代·华侨城一期 -和平南路,2室1厅 | 99.6平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,60,"6,025元/平"
房子带露台使用，老证可按揭，看房方便,龙田府邸 -牡丹园,3室2厅 | 139.64平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,92,"6,589元/平"
现代城3-2-1-1 105.00m² 82 万,现代城 -区委,3室2厅 | 105平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,82,"7,810元/平"
有证可以随时过户  诚心出售    有装修,恒祥·彩虹城 -桂陵南路,2室1厅 | 76平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,45,"5,922元/平"
龙泽花园 2室1厅 南,龙泽花园 -二十一中南校区,2室1厅 | 116平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,102,"8,794元/平"
赵王河畔  鲁商凤凰城  精装两室随时看房,鲁商凤凰城 -牡丹园,2室2厅 | 100.55平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,80,"7,957元/平"
万达旁 ，简装两室，房屋产权清晰，房东诚心出售,华侨城二期 -万达广场,3室1厅 | 99.71平米 | 东南 | 其他 | 高楼层(共22层)  | 暂无数据,10人关注 / 一年前发布,66.3,"6,650元/平"
和平人家 精装修老证 看房方便 好楼层,和平人家 -和平南路,2室1厅 | 98平米 | 北 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,78,"7,960元/平"
此房是单位自   建房   公摊小得房率高 小区出入方便,公路小区(成武县) -成武县,3室2厅 | 79.81平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,3人关注 / 一年前发布,28,"3,509元/平"
赵王河畔银座邻148平大三居东边户带车位、有证可贷款,城建国际广场 -牡丹园,3室2厅 | 148平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,83.5,"5,642元/平"
带车位 多层在售 交通便利  万达商圈 东南片区好楼层,时代·华侨城一期 -和平南路,3室2厅 | 99.7平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,77.8,"7,804元/平"
