标题,开发商,房子信息,发布信息,售价/万,单价
宝龙城江南墅边，交通便利。小区环境佳,瑞景名苑 -轮渡路,1室1厅 | 34平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 27天以前发布,75,"22,059元/平"
诚心出售，户型方正，小区地段好， 小区环境好,中梁府 -东平路,5室1厅 | 160.6平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 11个月以前发布,611,"38,045元/平"
采光好，通风好。楼栋位置好，户型好,和润锦园 -东平路,3室2厅 | 96.9平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,269.8,"27,844元/平"
小区好房，风景优美，户型合理，楼栋位置好,中梁府 -东平路,4室2厅 | 146平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,2人关注 / 9个月以前发布,418,"28,631元/平"
新小区 绿化好 楼层好 采光好 小区品质高,金成华府 -东平路,3室2厅 | 99平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,1人关注 / 8个月以前发布,235.6,"23,798元/平"
天辰誉府  小区环境清幽，四季鸟语花香，邻里和睦,方远·天辰誉府 -机场北路,4室2厅 | 185平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,1人关注 / 6个月以前发布,460,"24,865元/平"
绿城物业 翰澜苑全新自住精装修4室 采光好楼层好,五联天翔翰澜苑 -东平路,4室2厅 | 140平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,3人关注 / 4个月以前发布,323.8,"23,129元/平"
水岸丽景  精品封闭式小区 精装修,水岸丽景 -靖江,2室2厅 | 89.98平米 | 南 北 | 精装 | 中楼层(共10层)  | 暂无数据,10人关注 / 一年前发布,165,"18,338元/平"
此房 格局南北通，适合自主装修，视野宽阔，采光充足,珑悦名苑 -东平路,4室2厅 | 177.97平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,420,"23,600元/平"
东京湾自由城高层。配套齐全，看房方便,东京湾自由城 -东平路,3室2厅 | 148平米 | 南 | 简装 | 高楼层(共16层)  | 板塔结合,5人关注 / 一年前发布,226,"15,271元/平"
碧桂园珑悦140平三室，毛坯房。两个车位另加,珑悦名苑 -东平路,3室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,350,"25,000元/平"
采光充足，楼层好，视野开阔，户型方正，配置成熟,文鼎苑 -东平路,3室2厅 | 88平米 | 南 | 毛坯 | 高楼层(共12层)  | 板楼,1人关注 / 9个月以前发布,208,"23,637元/平"
环境安静，户型方正，居住舒适的不二选择环境清,方远·天辰誉府 -机场北路,3室2厅 | 137平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 5个月以前发布,335,"24,453元/平"
此房通透，格局方正，可用面积多,西锦御园南区 -东平路,3室2厅 | 171平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,0人关注 / 10个月以前发布,248,"14,503元/平"
好房出售，敬请关注，看房联系我,天禧嘉邸 -东平路,3室2厅 | 137平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,3人关注 / 一年前发布,385,"28,103元/平"
采光充足，配套齐，交通方便，大落地窗,中央花园 -东平路,3室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共21层)  | 板楼,3人关注 / 一年前发布,419,"29,717元/平"
小区环境优美，居住舒心，生活配套齐备,珑悦名苑 -东平路,3室2厅 | 138平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,330,"23,914元/平"
出售3室2厅1厨二卫绿化环境好,中梁府 -东平路,4室2厅 | 137.8平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,17人关注 / 一年前发布,345,"25,037元/平"
毛坯新房 小区环境好 楼栋无遮挡 高层视野开阔,珑悦名苑 -东平路,3室2厅 | 140平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,290,"20,715元/平"
出售秀水铭苑二期 满2年 交通便利 采光充足,秀水铭苑二期 -路南,4室2厅 | 163.9平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,2人关注 / 一年前发布,213.2,"13,008元/平"
此房通透，格局方正，可用面积多,西锦御园南区 -东平路,4室2厅 | 171平米 | 南 | 毛坯 | 中楼层(共12层)  | 板楼,1人关注 / 一年前发布,258,"15,088元/平"
朝南大主卧大阳台带电梯温馨如家阳光充足,珑悦名苑 -东平路,4室2厅 | 180平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,3人关注 / 11个月以前发布,358,"19,889元/平"
金域华府精装修三室两厅好位置诚心出售,金域华府 -东平路,3室2厅 | 143平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,400,"27,973元/平"
中央花园183平毛坯，包2个车位，小区品质高，绿化好,中央花园 -东平路,3室2厅 | 183平米 | 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 6个月以前发布,600,"32,787元/平"
5楼 刚需2室小户型  出租装修,椒兰郡 -东平路,2室1厅 | 87平米 | 南 | 简装 | 低楼层(共15层)  | 板楼,1人关注 / 6个月以前发布,204,"23,449元/平"
龙湖丽景小区 3室2厅 南,龙湖丽景小区 -桐屿,3室2厅 | 129.94平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,5人关注 / 一年前发布,158,"12,160元/平"
碧海明珠北区顶跃可以加上去做大露台,碧海明珠花园 -东平路,3室2厅 | 143.31平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,3人关注 / 一年前发布,249,"17,375元/平"
看不见庙好楼层好楼栋楼间距醉宽一幢,云樾观岭 -温岭市,4室2厅 | 130.42平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 5个月以前发布,339,"25,993元/平"
御庭壹号165平毛坯，带车位，小区环境好，采光无影响,御庭壹号 -东平路,4室2厅 | 165平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 8个月以前发布,480,"29,091元/平"
翰澜苑小区绿城物业毛坯高层户型方正房东诚心出售,五联天翔翰澜苑 -东平路,4室1厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,2人关注 / 10个月以前发布,265,"19,065元/平"
御庭壹号，大户型南北通，采光好，交通方便,御庭壹号 -东平路,4室2厅 | 187平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 7个月以前发布,500,"26,738元/平"
此房南北朝向，配套齐全，采光好，小区绿化面积高..,珑悦名苑 -东平路,3室2厅 | 139.61平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 6个月以前发布,288,"20,629元/平"
新明半岛4室基础装修已装好有阁楼可以利用看房方便,新明半岛 -东平路,4室2厅 | 157平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 7个月以前发布,400,"25,478元/平"
新小区，采光好，价格适中，入住率高。,川安华庭 -温岭市,2室1厅 | 88平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,108,"12,273元/平"
小区属于高档小区，环境很好，交通便利,江南首府 -东平路,4室2厅 | 177.22平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 5个月以前发布,668,"37,694元/平"
水岸丽景  精品封闭式小区 精装修,水岸丽景 -靖江,2室2厅 | 89.98平米 | 南 北 | 精装 | 中楼层(共10层)  | 暂无数据,10人关注 / 一年前发布,165,"18,338元/平"
此房 格局南北通，适合自主装修，视野宽阔，采光充足,珑悦名苑 -东平路,4室2厅 | 177.97平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,420,"23,600元/平"
东京湾自由城高层。配套齐全，看房方便,东京湾自由城 -东平路,3室2厅 | 148平米 | 南 | 简装 | 高楼层(共16层)  | 板塔结合,5人关注 / 一年前发布,226,"15,271元/平"
诚心出售，户型方正，小区地段好， 小区环境好,中梁府 -东平路,5室1厅 | 160.6平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 11个月以前发布,611,"38,045元/平"
采光好，通风好。楼栋位置好，户型好,和润锦园 -东平路,3室2厅 | 96.9平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,269.8,"27,844元/平"
小区好房，风景优美，户型合理，楼栋位置好,中梁府 -东平路,4室2厅 | 146平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,2人关注 / 9个月以前发布,418,"28,631元/平"
新小区 绿化好 楼层好 采光好 小区品质高,金成华府 -东平路,3室2厅 | 99平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,1人关注 / 8个月以前发布,235.6,"23,798元/平"
天辰誉府  小区环境清幽，四季鸟语花香，邻里和睦,方远·天辰誉府 -机场北路,4室2厅 | 185平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,1人关注 / 6个月以前发布,460,"24,865元/平"
景隆Z中.心57.84平180万拎包入住包车位高层优质,景隆Z中心 -东平路,2室1厅 | 75平米 | 南 | 精装 | 高楼层(共19层)  | 板塔结合,1人关注 / 一年前发布,180,"24,000元/平"
新小区，环境优美，档次高，楼层高，采光好，无遮挡,珑悦名苑 -东平路,3室1厅 | 140平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,315,"22,500元/平"
格局南北通，适合自主装修，视野宽阔，采光充足,珑悦名苑 -东平路,3室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,330,"23,572元/平"
碧桂园新房 南北通，毛坯，视野开阔，采光充足。,珑悦名苑 -东平路,3室2厅 | 129平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,10人关注 / 一年前发布,272,"21,086元/平"
此房通透，格局方正，可用面积多,西锦御园南区 -东平路,4室2厅 | 171平米 | 南 | 毛坯 | 中楼层(共12层)  | 板楼,1人关注 / 一年前发布,258,"15,088元/平"
朝南大主卧大阳台带电梯温馨如家阳光充足,珑悦名苑 -东平路,4室2厅 | 180平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,3人关注 / 11个月以前发布,358,"19,889元/平"
太阳城朝南大套，大落地窗 采光好 位置好,东方太阳城 -东平路,4室2厅 | 180平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,2人关注 / 一年前发布,200,"11,112元/平"
适合自住的品质房 此房 格局南北通适合自主装修,珑悦名苑 -东平路,3室2厅 | 140.61平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,2人关注 / 一年前发布,285,"20,269元/平"
纯毛坯 高层住宅，房东诚心出售。价格可谈,江南首府 -东平路,3室2厅 | 109平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,8人关注 / 一年前发布,318,"29,175元/平"
此房 格局南北通， 小区环境宜人，安保设施完善，,珑悦名苑 -东平路,3室1厅 | 140平米 | 东 | 毛坯 | 中楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,288,"20,572元/平"
小区环境好，房子户型方正，南北通,珑悦名苑 -东平路,3室2厅 | 139平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 一年前发布,299.8,"21,569元/平"
13号楼东灿，采光充足，小区设备完善，视野好,碧海明珠花园 -东平路,3室2厅 | 135平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,220,"16,297元/平"
碧桂园 格局南北通，清水房，采光充足,珑悦名苑 -东平路,3室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,11人关注 / 7个月以前发布,251.5,"19,961元/平"
天辰誉府 户型方正 刚需户型 采光通透，视野开阔,方远·天辰誉府 -机场北路,4室2厅 | 185平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,1人关注 / 4个月以前发布,462.5,"25,000元/平"
本房西灿户型方正，好楼栋好楼层采光无遮挡，满五唯一,金域华府 -东平路,4室2厅 | 143.8平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,368,"25,592元/平"
碧桂园物业 高楼大平层 没有车位看房很方便,珑悦名苑 -东平路,3室2厅 | 127平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,295,"23,229元/平"
南北通，采光充足，配套齐，交通方便,御庭壹号 -东平路,4室2厅 | 165平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,0人关注 / 8个月以前发布,480,"29,091元/平"
配套齐，交通方便，环境优美 视野开阔,中央花园 -东平路,3室2厅 | 225平米 | 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,2人关注 / 一年前发布,680,"30,223元/平"
金成华府 4室2厅 南,金成华府 -东平路,4室2厅 | 129.88平米 | 南 | 简装 | 低楼层(共17层)  | 暂无数据,2人关注 / 7个月以前发布,285.8,"22,005元/平"
珑悦高层带车位，房东诚心出售。看房方便,珑悦名苑 -东平路,4室2厅 | 179平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,408,"22,794元/平"
市中 心三室 绿城开发 绿城管理  核 心位置,玉兰广场·琼华园 -东平路,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,1人关注 / 一年前发布,428,"36,272元/平"
银泰城133平，精装修，景观房，单价只要12256一平！,银泰城(温岭市) -温岭市,3室2厅 | 133平米 | 西北 | 精装 | 高楼层(共24层)  | 板塔结合,28人关注 / 一年前发布,163,"12,256元/平"
毛坯新房 小区环境好 楼栋无遮挡 高层视野开阔,珑悦名苑 -东平路,3室2厅 | 140平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,290,"20,715元/平"
采光充足，配套齐，交通方便，大落地窗,中央花园 -东平路,3室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共21层)  | 板楼,3人关注 / 一年前发布,419,"29,717元/平"
出售秀水铭苑二期 满2年 交通便利 采光充足,秀水铭苑二期 -路南,4室2厅 | 163.9平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,2人关注 / 一年前发布,213.2,"13,008元/平"
三朝南，户型方正，配套齐全，采光全天无遮挡,珑悦名苑 -东平路,3室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,1人关注 / 11个月以前发布,270,"21,260元/平"
楼层好 采光充足 小区环境优美 配套设施齐全,云樾观岭 -温岭市,3室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 7个月以前发布,364.65,"25,500元/平"
精品小区，楼层采光好，交通便捷,海尚望府 -洪家,4室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,3人关注 / 8个月以前发布,246.6,"20,899元/平"
精品小二居，适合小夫妻一家人居住,天骄嘉苑 -温岭市,2室2厅 | 58平米 | 南 | 毛坯 | 中楼层(共12层)  | 塔楼,1人关注 / 8个月以前发布,148,"25,518元/平"
珑悦复式跃层，实用面积很大 看房方便,珑悦名苑 -东平路,3室2厅 | 180平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,388,"21,556元/平"
出售碧桂园10平带车位毛坯交付 看房方便,珑悦名苑 -东平路,3室2厅 | 140平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,318,"22,715元/平"
颐景名苑 3室2厅 南,颐景名苑 -东平路,3室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,320,"22,378元/平"
和润锦园  新校区带2个车位，楼间距大，全天采光好,和润锦园 -东平路,3室1厅 | 140平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,380,"27,143元/平"
龙湖丽景小区 3室2厅 南,龙湖丽景小区 -桐屿,3室2厅 | 129.94平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,5人关注 / 一年前发布,158,"12,160元/平"
方远·天辰誉府 5室2厅 南,方远·天辰誉府 -机场北路,5室2厅 | 185平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,1人关注 / 4个月以前发布,375,"20,271元/平"
小区设施齐全，环境好，采光充足,金成华府 -东平路,3室2厅 | 99.07平米 | 南 | 简装 | 高楼层(共27层)  | 板楼,0人关注 / 7个月以前发布,248,"25,033元/平"
中央花园 3室2厅 南,中央花园 -东平路,3室2厅 | 183平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,1人关注 / 1个月以前发布,570,"31,148元/平"
天辰誉府 三室两厅户型方正刚需户型采光通透视野开阔,方远·天辰誉府 -机场北路,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,6人关注 / 4个月以前发布,248,"19,375元/平"
繁荣家园诚心出售南北通两室一厅带装修高楼层东灿,繁荣家园 -东平路,2室1厅 | 80平米 | 东 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 8个月以前发布,169,"21,125元/平"
采光充足，楼层好，视野开阔，户型方正，配置成熟,文鼎苑 -东平路,3室2厅 | 88平米 | 南 | 毛坯 | 高楼层(共12层)  | 板楼,1人关注 / 9个月以前发布,208,"23,637元/平"
碧桂园开发，小区绿化高，环境安静整洁，楼距宽采,碧桂园钻石湾 -温岭市,4室2厅 | 121.77平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,9人关注 / 一年前发布,100,"8,213元/平"
环境安静，户型方正，居住舒适的不二选择环境清,方远·天辰誉府 -机场北路,3室2厅 | 137平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 5个月以前发布,335,"24,453元/平"
碧桂园珑悦140平三室，毛坯房。两个车位另加,珑悦名苑 -东平路,3室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,350,"25,000元/平"
天辰誉府  四朝南 高层大平层 房东诚心出售  随时看房,方远·天辰誉府 -机场北路,4室2厅 | 185平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,468,"25,298元/平"
此房通透，格局方正，可用面积多,西锦御园南区 -东平路,3室2厅 | 171平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,0人关注 / 10个月以前发布,248,"14,503元/平"
方远天辰誉府叠墅 灿头好户型 有独立车库,方远·天辰誉府 -机场北路,5室2厅 | 227.67平米 | 南 | 毛坯 | 中楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,908,"39,883元/平"
出售荣安华府3室2厅1厨2卫户型方正采光视线明亮,荣安华府 -东平路,3室2厅 | 133.77平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 7个月以前发布,387.8,"28,991元/平"
御庭壹号165平毛坯，带车位，小区环境好，采光无影响,御庭壹号 -东平路,4室2厅 | 165平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 8个月以前发布,480,"29,091元/平"
翰澜苑小区绿城物业毛坯高层户型方正房东诚心出售,五联天翔翰澜苑 -东平路,4室1厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,2人关注 / 10个月以前发布,265,"19,065元/平"
御庭壹号，大户型南北通，采光好，交通方便,御庭壹号 -东平路,4室2厅 | 187平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 7个月以前发布,500,"26,738元/平"
诚心出售，户型方正，小区地段好， 小区环境好,中梁府 -东平路,5室1厅 | 160.6平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 11个月以前发布,611,"38,045元/平"
水岸丽景  精品封闭式小区 精装修,水岸丽景 -靖江,2室2厅 | 89.98平米 | 南 北 | 精装 | 中楼层(共10层)  | 暂无数据,10人关注 / 一年前发布,165,"18,338元/平"
此房 格局南北通，适合自主装修，视野宽阔，采光充足,珑悦名苑 -东平路,4室2厅 | 177.97平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,420,"23,600元/平"
东京湾自由城高层。配套齐全，看房方便,东京湾自由城 -东平路,3室2厅 | 148平米 | 南 | 简装 | 高楼层(共16层)  | 板塔结合,5人关注 / 一年前发布,226,"15,271元/平"
天辰誉府  小区环境清幽，四季鸟语花香，邻里和睦,方远·天辰誉府 -机场北路,4室2厅 | 185平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,1人关注 / 6个月以前发布,460,"24,865元/平"
绿城物业 翰澜苑全新自住精装修4室 采光好楼层好,五联天翔翰澜苑 -东平路,4室2厅 | 140平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,3人关注 / 4个月以前发布,323.8,"23,129元/平"
采光好，通风好。楼栋位置好，户型好,和润锦园 -东平路,3室2厅 | 96.9平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,269.8,"27,844元/平"
小区好房，风景优美，户型合理，楼栋位置好,中梁府 -东平路,4室2厅 | 146平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,2人关注 / 9个月以前发布,418,"28,631元/平"
新小区 绿化好 楼层好 采光好 小区品质高,金成华府 -东平路,3室2厅 | 99平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,1人关注 / 8个月以前发布,235.6,"23,798元/平"
和润景园   房屋格局南北  配套齐全,和润锦园 -东平路,4室1厅 | 132.6平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,343,"25,868元/平"
银都碧水豪庭 5室2厅 南,银都碧水豪庭 -桐屿,5室2厅 | 222.48平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,1人关注 / 11个月以前发布,470,"21,126元/平"
景和茗苑  此房满两年，精装修，带产权车位,景和名苑 -机场北路,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,7人关注 / 一年前发布,264,"19,850元/平"
太平大厦，75平，满5年，楼层低方便老年人陪读,太平大厦 -温岭市,2室1厅 | 75平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,138,"18,400元/平"
碧桂园开发，小区绿化高，环境安静整洁，楼距宽采光好,碧桂园翡翠湾 -温岭市,3室2厅 | 132.24平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,2人关注 / 11个月以前发布,105.6,"7,986元/平"
此房南北通风，配套齐全，采光好，小区绿化面积高..,东泰翠湖嘉园 -温岭市,3室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,3人关注 / 9个月以前发布,158,"15,800元/平"
三面临湖，住在湿地公园中，轻轨规划途经点，无遮挡,碧桂园翡翠湾 -温岭市,3室1厅 | 127平米 | 东南 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,5人关注 / 一年前发布,95.2,"7,497元/平"
东部大品牌楼层好户型好采光好交通便利,碧桂园翡翠湾 -温岭市,3室2厅 | 141平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,7人关注 / 一年前发布,110,"7,802元/平"
新小区，采光好，价格适中，入住率高,川安华庭 -温岭市,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 10个月以前发布,147.29,"10,300元/平"
户型方正简单装修，出行方便，双九龙就在旁边,温岭市盛世学府 -温岭市,3室2厅 | 132平米 | 东南 | 简装 | 中楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,336,"25,455元/平"
万家之星旁 丰泰苑 大三房 看房方便,丰泰苑 -温岭市,3室2厅 | 124.57平米 | 南 | 毛坯 | 高楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,218,"17,501元/平"
房子三朝南，西灿，双阳台，高楼层,颐景名苑 -东平路,4室2厅 | 175平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 31天以前发布,400,"22,858元/平"
纯毛坯房，看房提前联系，诚心出售,华景名苑 -东平路,3室2厅 | 142平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,3人关注 / 10个月以前发布,360,"25,353元/平"
诚心出售，自住精装修··看房方便，带花园,和润锦园 -东平路,3室2厅 | 108平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,249.8,"23,130元/平"
户型好，楼层好，交通方便，房东诚心出售,城市花园（椒江区） -轮渡路,3室2厅 | 136.4平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 一年前发布,143,"10,484元/平"
此房朝南，配套齐全，采光好，交通方便,宁兴佳苑 -温岭市,2室2厅 | 87.74平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 9个月以前发布,120,"13,677元/平"
中梁湖滨雅苑，      万象城旁高品质,中梁九龙首府 -温岭市,5室2厅 | 170平米 | 南 | 简装 | 低楼层(共30层)  | 暂无数据,7人关注 / 一年前发布,380,"22,353元/平"
户型方正，视野开阔，采光充足，业主诚售,泰和园 -温岭市,3室2厅 | 140.6平米 | 南 | 精装 | 高楼层(共17层)  | 平房,0人关注 / 7个月以前发布,155,"11,025元/平"
碧桂园珑悦采光充足视野宽阔南北通透随时看房,珑悦名苑 -东平路,4室2厅 | 180平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 7个月以前发布,400,"22,223元/平"
尚景名苑 高楼层 三室两厅一厨两卫  带产权车位一,尚景名苑 -东平路,3室2厅 | 113.56平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,1人关注 / 10个月以前发布,286,"25,185元/平"
南北通，采光充足，配套齐，交通方便，环境优美,御庭壹号 -东平路,4室2厅 | 187平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 9个月以前发布,538,"28,771元/平"
中楼层好位置通透户型方正采光好！,金成华府 -东平路,3室2厅 | 109平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 7个月以前发布,263,"24,129元/平"
南北通，采光无遮挡，小区绿化好，物业管理不错,江南首府 -东平路,3室1厅 | 110平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,300,"27,273元/平"
电梯房，地理位置佳，边套采光充足，视野开阔,新河新悦佳苑 -温岭市,3室2厅 | 116平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,5人关注 / 10个月以前发布,99.8,"8,604元/平"
御庭壹号142平出租装修，视野开阔，采光好,御庭壹号 -东平路,3室2厅 | 143平米 | 南 | 简装 | 低楼层(共26层)  | 板楼,1人关注 / 一年前发布,356,"24,896元/平"
户型好，楼层采光好，方远的建造,尚景名苑 -东平路,4室2厅 | 162.4平米 | 南 | 毛坯 | 中楼层(共15层)  | 板楼,2人关注 / 一年前发布,428,"26,355元/平"
方远天璟御府全新装修带车位诚心出售,天璟誉府 -机场北路,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 5个月以前发布,338,"26,407元/平"
出售：中梁府160平方+车位538万,中梁府 -东平路,4室1厅 | 160平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 暂无数据,3人关注 / 一年前发布,518,"32,375元/平"
此房楼层高视野好，采光好，自住新装修,东方太阳城 -东平路,2室1厅 | 94平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,2人关注 / 8个月以前发布,135,"14,362元/平"
朝晖小区 3室1厅 南,朝晖小区 -机场北路,3室1厅 | 120平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,153.8,"12,817元/平"
香榭水岸方远品质 绿城物业 南北通透视野开阔,香榭水岸 -机场北路,3室2厅 | 141.6平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,258,"18,221元/平"
南北通，采光充足，配套齐，交通方便，环境优美,御庭壹号 -东平路,3室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共17层)  | 塔楼,1人关注 / 一年前发布,351,"24,719元/平"
