标题,开发商,房子信息,发布信息,售价/万,单价
金属材料公司家属院，精装好房，配套齐全,金属材料公司家属院 -驿城区,3室2厅 | 125.02平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,46,"3,680元/平"
天中山大道碧水芳庭装修大三房，双卧朝南，看房有钥匙,碧水芳庭小区 -驿城区,3室2厅 | 140.5平米 | 南 北 | 简装 | 中楼层(共13层)  | 板塔结合,5人关注 / 5个月以前发布,78.5,"5,588元/平"
业主委托，天水雅居，两室两厅一卫，带储藏室，好楼层,天水雅居 -驿城区,2室2厅 | 80.78平米 | 南 | 毛坯 | 低楼层(共6层)  | 塔楼,0人关注 / 一年前发布,41,"5,076元/平"
供销社家属院3-2-1-1 115.,供销社家属院 -驿城区,3室2厅 | 115平米 | 南 | 简装 | 6层  | 板塔结合,0人关注 / 2个月以前发布,43.9,"3,818元/平"
金雀路与盘龙山路交叉口西南。。。。。。。。。。。。,东方花都 -驿城区,3室2厅 | 122.27平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,3人关注 / 4个月以前发布,88,"7,198元/平"
西苑步梯3楼双气，4房2厅2卫通厅通透采光好,置地天中第一城西苑 -驿城区,4室2厅 | 152平米 | 南 | 精装 | 中楼层(共5层)  | 塔楼,0人关注 / 2个月以前发布,123,"8,093元/平"
此房老证户型方正通风通透效果好采光充足前面无遮挡,绣花厂家属院 -驿城区,3室2厅 | 88.88平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,32.5,"3,657元/平"
东边户，通厅通透，老证可按揭，中间楼层，全天采光,驻马店建业森林半岛 -驿城区,2室2厅 | 95.6平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,68.6,"7,176元/平"
房子有房产证，交易安全快捷，钥匙在手，看房方便,天地惠城西区 -驿城区,3室2厅 | 129.22平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,68,"5,263元/平"
南区3楼步梯房  老证过户便宜,锦绣名门 -驿城区,3室2厅 | 97平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,52,"5,361元/平"
老证税费低，精装修，小区绿化好，,鹏宇新城 -驿城区,5室2厅 | 146.09平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,3人关注 / 6个月以前发布,64.8,"4,436元/平"
同信缤纷之窗精装修三室，中间楼层，老证可按揭,同信缤纷之窗 -驿城区,3室2厅 | 107平米 | 南 | 简装 | 中楼层(共31层)  | 板楼,1人关注 / 4个月以前发布,75,"7,010元/平"
置地百盛园  老证 简单装修 看房提前联系,置地百盛园 -驿城区,3室2厅 | 138.67平米 | 南 | 简装 | 26层  | 板楼,3人关注 / 4个月以前发布,102,"7,356元/平"
开来花园，两卧朝阳，户型方正，老证，全天采光,置地开来花园 -驿城区,3室2厅 | 144平米 | 南 | 毛坯 | 26层  | 塔楼,0人关注 / 4个月以前发布,96.9,"6,730元/平"
润博新城一楼带院，2室2厅1卫毛坯双气，有证可按揭，,润博新城 -驿城区,2室2厅 | 90.22平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,52,"5,764元/平"
金淮阳光花园，3楼带平台 老证可按揭，双气，大三室,金淮阳光花园 -驿城区,3室2厅 | 158平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,2人关注 / 4个月以前发布,81,"5,127元/平"
滨河家园 标准三室 位置优越 配套齐全,滨河万象城 -驿城区,3室2厅 | 121.26平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,68.5,"5,650元/平"
凤凰城，三房毛坯户型好，含车位115万，中间楼层,东申凤凰城 -驿城区,3室2厅 | 137平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,115,"8,395元/平"
福华御苑电梯房，毛坯139平三室两厅前后双阳台老证。,福華御苑B区 -驿城区,3室2厅 | 139平米 | 南 | 毛坯 | 21层  | 塔楼,0人关注 / 5个月以前发布,88.9,"6,396元/平"
此房三卧朝南，户型方正，居住舒服，出行方便,纱厂社区 -驿城区,3室2厅 | 126.47平米 | 东南 | 简装 | 6层  | 暂无数据,0人关注 / 10个月以前发布,45.8,"3,622元/平"
昌建誉峰，边户前方无遮挡，视野开阔，可以看到少年宫,昌建誉峰 -驿城区,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,1人关注 / 3个月以前发布,70,"6,087元/平"
老证红本在手，业主急卖，价格可小刀,鹏宇天下城 -驿城区,3室2厅 | 118.93平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,78,"6,559元/平"
南区练江路 福华御苑 精装修 电梯洋房,福華御苑A区 -驿城区,3室2厅 | 143.97平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 5个月以前发布,82,"5,696元/平"
此房无抵押，有房产证，房东诚心出售，按揭全款均可,怡景嘉园 -驿城区,3室2厅 | 129.11平米 | 南 | 毛坯 | 中楼层(共21层)  | 板塔结合,1人关注 / 5个月以前发布,76.9,"5,957元/平"
天水雅居 3室2厅 西,天水雅居 -驿城区,3室2厅 | 128.7平米 | 西 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,68.2,"5,300元/平"
中.央城邦，电梯洋房顶层复式老证可按揭,中央城邦 -驿城区,5室2厅 | 186.86平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,7人关注 / 一年前发布,130,"6,958元/平"
丰达小区 3室1厅 南 北,丰达小区 -驿城区,3室1厅 | 104平米 | 南 北 | 简装 | 5层  | 板塔结合,0人关注 / 1个月以前发布,38.5,"3,702元/平"
风中社区小区 3室2厅 南,风中社区小区 -驿城区,3室2厅 | 119平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,50,"4,202元/平"
信合学府春天3-1-1-2 121.00m² 价优,信合学府春天 -驿城区,3室2厅 | 120.57平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,5人关注 / 4个月以前发布,60,"4,977元/平"
本房是三室两厅一卫，俩个卧室朝南，客厅朝南户型,碧桂园清月湾 -驿城区,3室2厅 | 114.86平米 | 东南 | 简装 | 高楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,95,"8,271元/平"
药检所家属院 3室2厅 南,药检所家属院 -驿城区,3室2厅 | 113.89平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,50,"4,391元/平"
交通局家属院，，，，，，，，，，，，，，，，，,交通局家属院 -驿城区,3室2厅 | 130平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,59,"4,539元/平"
书香水岸2-2-1-1 94.36m²,书香水岸 -驿城区,2室2厅 | 94.36平米 | 南 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 2个月以前发布,52,"5,511元/平"
杂技团家属院 3室2厅 南 北,杂技团家属院 -驿城区,3室2厅 | 110平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,64.8,"5,891元/平"
此房户型格局，楼层好，无遮挡，视野好,金域水岸 -驿城区,3室2厅 | 116.21平米 | 南 | 毛坯 | 23层  | 板楼,0人关注 / 4个月以前发布,71,"6,110元/平"
此房诚心卖房 带着家具家电 老证过户便宜，户型合理,民生天都星城北区 -驿城区,2室1厅 | 92.07平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,69.8,"7,582元/平"
简装 居住少 房屋新 税费低 采光佳 看房方便 市政.,金淮阳光花园 -驿城区,3室2厅 | 140平米 | 北 | 简装 | 高楼层(共4层)  | 板楼,0人关注 / 6个月以前发布,87,"6,215元/平"
房子朝南.居住舒适。70年住宅 产权清晰，随时可过户,天中第五大道 -驿城区,1室1厅 | 50平米 | 南 | 简装 | 26层  | 板塔结合,0人关注 / 5个月以前发布,38.5,"7,700元/平"
新天地·紫金城 4室2厅 南,新天地·紫金城 -驿城区,4室2厅 | 157.5平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,2人关注 / 4个月以前发布,108,"6,858元/平"
建业新城半岛3-2-1-2 137.05m²,建业新城半岛 -驿城区,3室2厅 | 137.05平米 | 南 | 毛坯 | 低楼层(共20层)  | 塔楼,1人关注 / 4个月以前发布,95,"6,932元/平"
户型方正合理楼层佳朝向南北视野开阔采光无遮挡,同信滨江贰号 -驿城区,3室1厅 | 84平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,2人关注 / 3个月以前发布,68.2,"8,120元/平"
人民公园旁，建业城，两卧朝阳，随时看房，采光好,建业城 -驿城区,3室2厅 | 122.7平米 | 南 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 3个月以前发布,100,"8,150元/平"
此房是步梯六楼，小区物业费低，带配房，,老市委家属院 -驿城区,3室2厅 | 93.8平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,56,"5,971元/平"
世纪景苑三室两厅两卫，两卧朝阳，采光充足。,世纪景苑 -驿城区,3室2厅 | 144.66平米 | 南 | 简装 | 高楼层(共27层)  | 板楼,1人关注 / 6个月以前发布,116,"8,019元/平"
明珠港湾小区，环境好，位置佳，配套全！,明珠港湾 -驿城区,3室2厅 | 147平米 | 东 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,103.6,"7,048元/平"
驿通轿车维修站家属院 3室2厅 南 北,驿通轿车维修站家属院 -驿城区,3室2厅 | 124.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,68.5,"5,503元/平"
建业十八城5期 新上三房  双卫 好楼层10层 无抵押,建业十八城四期 -驿城区,3室2厅 | 136.85平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,113,"8,258元/平"
紫东苑三室两厅精装，户型方正有证可按揭,三和·紫东苑 -驿城区,3室2厅 | 150.27平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,105,"6,988元/平"
西园四中世纪广场 的好房推荐，，，，，，，，，，，,教育学院家属院北院 -驿城区,3室1厅 | 77.24平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,41.6,"5,386元/平"
陶瓷新区3-2-1-1 118.00m² 69.8 万）,陶瓷新区 -驿城区,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 一年前发布,64,"5,424元/平"
此房带配房，电梯洋房·舒适度高，老证过户费低出租中,鹏宇新城 -驿城区,3室2厅 | 137.8平米 | 南 北 | 精装 | 低楼层(共9层)  | 塔楼,1人关注 / 5个月以前发布,78,"5,661元/平"
雪松大道 润博新城小区 小区绿化好 停车方便 有证,润博新城 -驿城区,3室2厅 | 110平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,66,"6,000元/平"
户型方正 通厅通透 采光充足 房屋结构合理 质量高,天中国际 -驿城区,3室2厅 | 109平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,71,"6,514元/平"
蓝天顺河社区，好楼层，毛坯3房，,蓝天顺河社区 -驿城区,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,1人关注 / 5个月以前发布,42.5,"3,542元/平"
世纪景苑 3室2厅 南,世纪景苑 -驿城区,3室2厅 | 144.34平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,1人关注 / 5个月以前发布,122,"8,453元/平"
屋里比较干净，出行方便，旁边有菜市场，购物方便,天中小区 -驿城区,3室2厅 | 126平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,38.8,"3,080元/平"
宏达化工小区，2室2厅，简装，一楼带院，老证可按揭,宏达化工小区 -驿城区,2室2厅 | 100平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,56.7,"5,670元/平"
上海滩花园3-2-1-2 129.00m²,上海滩花园 -驿城区,3室2厅 | 128.74平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,77,"5,982元/平"
爱克首fu电梯洋房5层毛坯，老证，南北方正户型,CBD爱克首府B区 -驿城区,3室2厅 | 142平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,125,"8,803元/平"
同信江屿洲，电梯小高层，户型方正，三室两室两卫。,同信江屿洲 -驿城区,3室2厅 | 114平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,79.8,"7,000元/平"
天中国际，毛坯大三房，可根据自己喜欢装修，设计,天中国际 -驿城区,3室2厅 | 126.61平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,79.8,"6,303元/平"
建业十八城  大四房南北通透 有证可按揭 看房有钥匙,建业十八城 -驿城区,4室2厅 | 176.85平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,2人关注 / 4个月以前发布,125,"7,069元/平"
同信世博院3-2-1-1 116.63m²,同信世博院 -驿城区,3室2厅 | 116.63平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 3个月以前发布,65,"5,574元/平"
连江湖畔观景三房，小区环境优美，户型方正，视野好,同信滨江贰号 -驿城区,3室2厅 | 116平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,73.5,"6,337元/平"
大地丽都三期位于竹沟路与洪河大道交叉口,大地丽都三期 -驿城区,3室2厅 | 125平米 | 北 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 4个月以前发布,70.8,"5,664元/平"
急售 楼层佳，视野开阔南北通厅通透，采光充足。,信合学府春天 -驿城区,3室1厅 | 141.5平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,65,"4,594元/平"
有车位一个，全天采光，布局合理。,明珠港湾 -驿城区,3室2厅 | 135平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,7人关注 / 4个月以前发布,80,"5,926元/平"
此房满两年，户型通透，老证，采光好，繁华地段,驿城区税务局家属院 -驿城区,3室1厅 | 78.21平米 | 南 | 简装 | 4层  | 板楼,6人关注 / 一年前发布,46,"5,882元/平"
全天采光的三房，居住环境舒适。公摊面积小,锦桂苑 -驿城区,3室2厅 | 123平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 4个月以前发布,75,"6,098元/平"
东高国际花园 3室1厅 南,东高国际花园 -驿城区,3室1厅 | 108平米 | 南 | 精装 | 29层  | 板楼,0人关注 / 1个月以前发布,78.8,"7,297元/平"
天中广场一路之隔，精装修，拎包入住。,天中豪园 -驿城区,3室2厅 | 138平米 | 南 | 精装 | 26层  | 板楼,1人关注 / 4个月以前发布,113.6,"8,232元/平"
小清河旁，银丰清水园 107平，户型方正 有证 可按揭,银丰清水园 -驿城区,3室2厅 | 108.33平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 5个月以前发布,63.5,"5,862元/平"
此房精装修，居住舒服，生活方便，出行便利,中盛立方城 -驿城区,4室2厅 | 156平米 | 西 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 5个月以前发布,106,"6,795元/平"
一楼带院子70平方，全天采光，两个卧室朝南,明珠港湾 -驿城区,3室2厅 | 137平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,137,"10,000元/平"
急售西园街春晓街口前王住宅小区，中式精装3楼带配房,前王住宅小区 -驿城区,3室2厅 | 128.61平米 | 南 | 精装 | 5层  | 板楼,0人关注 / 1个月以前发布,77,"5,988元/平"
森林公园旁双气小区毛坯房温馨小三房,同信滨江1号 -驿城区,3室2厅 | 105平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,64,"6,096元/平"
天都名园，精装3室2厅2卫，户型方正，采光充足可按揭,天都名园 -驿城区,3室2厅 | 138平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,85.5,"6,196元/平"
金都华庭住宅小区 3室2厅 南 北,金都华庭住宅小区 -驿城区,3室2厅 | 137平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,72,"5,256元/平"
森林公园旁大三房户型方正配套齐全,同信滨江1号 -驿城区,3室2厅 | 122.19平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,75,"6,138元/平"
置地二期 双气 一梯两户户型通透 孩子上学近 过户便宜,置地广场北苑二期 -驿城区,3室2厅 | 143.05平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,81.8,"5,719元/平"
双气，精装修未入住，两卧朝南，三个卧室都有飘窗,天中第五大道 -驿城区,3室2厅 | 144.12平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,2人关注 / 5个月以前发布,115,"7,980元/平"
天中国际小区，全屋精装修，老证过户费用低,天中国际 -驿城区,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,86.3,"7,505元/平"
急售龙源新城 双气社区.户型合理.环境优美.,龙源新城 -驿城区,3室1厅 | 161平米 | 西南 | 毛坯 | 高楼层(共13层)  | 平房,1人关注 / 5个月以前发布,104,"6,460元/平"
金盾花园 3室1厅 南,金盾花园 -驿城区,3室1厅 | 140.67平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,86,"6,114元/平"
电梯洋房，南北通透，顶楼带平台,经纬花园 -驿城区,3室2厅 | 156平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,115,"7,372元/平"
通达二期，3室，两卧朝阳，中间楼层采光好，毛坯有证,通达小区 -驿城区,3室2厅 | 136平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,135,"9,927元/平"
格局好，楼层好，视野宽阔，采光充足，配套设施齐全,金尚•帝景蓝湾 -驿城区,3室1厅 | 104.64平米 | 南 | 毛坯 | 23层  | 板楼,0人关注 / 4个月以前发布,58,"5,543元/平"
户型方正，配套齐全，南北通透 。。,同信滨江贰号 -驿城区,3室2厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,1人关注 / 3个月以前发布,80,"6,250元/平"
高铁片区 精装未入住南北通透 中上楼层 全天采光,同信缤纷之窗 -驿城区,3室2厅 | 107平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,2人关注 / 3个月以前发布,78.8,"7,365元/平"
东高国际花园 3室1厅 南,东高国际花园 -驿城区,3室1厅 | 108平米 | 南 | 精装 | 29层  | 板楼,0人关注 / 1个月以前发布,78.8,"7,297元/平"
此房带配房，电梯洋房·舒适度高，老证过户费低出租中,鹏宇新城 -驿城区,3室2厅 | 137.8平米 | 南 北 | 精装 | 低楼层(共9层)  | 塔楼,1人关注 / 5个月以前发布,78,"5,661元/平"
雪松大道 润博新城小区 小区绿化好 停车方便 有证,润博新城 -驿城区,3室2厅 | 110平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,66,"6,000元/平"
蓝天顺河社区，好楼层，毛坯3房，,蓝天顺河社区 -驿城区,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,1人关注 / 5个月以前发布,42.5,"3,542元/平"
西园四中世纪广场 的好房推荐，，，，，，，，，，，,教育学院家属院北院 -驿城区,3室1厅 | 77.24平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,41.6,"5,386元/平"
户型方正 通厅通透 采光充足 房屋结构合理 质量高,天中国际 -驿城区,3室2厅 | 109平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,71,"6,514元/平"
驿通轿车维修站家属院 3室2厅 南 北,驿通轿车维修站家属院 -驿城区,3室2厅 | 124.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,68.5,"5,503元/平"
陶瓷新区3-2-1-1 118.00m² 69.8 万）,陶瓷新区 -驿城区,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 一年前发布,64,"5,424元/平"
紫东苑三室两厅精装，户型方正有证可按揭,三和·紫东苑 -驿城区,3室2厅 | 150.27平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,105,"6,988元/平"
银成公馆 精装修三室 老证可按揭 城中区 出入便利,银成公馆 -驿城区,3室2厅 | 120平米 | 南 | 精装 | 25层  | 塔楼,1人关注 / 1个月以前发布,73.9,"6,159元/平"
楼层好，视野宽阔，采光充足，配套设施齐全。,CBD爱克·首府 -驿城区,3室2厅 | 142平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,130,"9,155元/平"
东方花都 16楼 双气 老证 南北通 毛坯房 随意装修,东方花都 -驿城区,3室2厅 | 128.27平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2人关注 / 5个月以前发布,88.6,"6,908元/平"
此房是步梯房，小区物业费低，带配房。,水利局家属院 -驿城区,2室1厅 | 60平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,1人关注 / 3个月以前发布,37,"6,167元/平"
置地开来花园15楼3室2厅1卫精装双气有证,置地开来花园 -驿城区,3室2厅 | 121.8平米 | 南 | 精装 | 18层  | 塔楼,0人关注 / 1个月以前发布,105,"8,621元/平"
中亿宝 地 精致三房 方正通透性好,中亿宝第 -驿城区,3室2厅 | 129.04平米 | 南 | 毛坯 | 25层  | 板塔结合,0人关注 / 1个月以前发布,69,"5,348元/平"
开源公园旁，春江铭都，精装修3房，看房子方便,春江铭都 -驿城区,3室2厅 | 127平米 | 南 | 精装 | 32层  | 板楼,2人关注 / 2个月以前发布,89,"7,008元/平"
天中国际3-2-1-1 116.00,天中国际 -驿城区,3室2厅 | 116平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,85,"7,328元/平"
聚福苑3-2-1-2 130.52m² 79 万,聚福苑 -驿城区,3室2厅 | 130.52平米 | 南 | 其他 | 高楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,79,"6,053元/平"
信合学府春天3-2-1-2 124.00m² 66 万,信合学府春天 -驿城区,3室2厅 | 124平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,66,"5,323元/平"
信合学府春天 3室2厅 南 北,信合学府春天 -驿城区,3室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,79.8,"5,581元/平"
蓝天壹品两房，高楼层，采光好，户型方正，精装修,蓝天壹品 -驿城区,2室2厅 | 97平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 26天以前发布,58.8,"6,062元/平"
北区大型社区，南北通透大三房，随心装修。,银丰财富广场 -驿城区,3室2厅 | 138平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 22天以前发布,68.6,"4,972元/平"
明珠港湾 2室2厅 南,明珠港湾 -驿城区,2室2厅 | 137.74平米 | 南 | 毛坯 | 低楼层(共27层)  | 塔楼,0人关注 / 21天以前发布,92.6,"6,723元/平"
新天地未来城 3室1厅 南,新天地未来城 -驿城区,3室1厅 | 94平米 | 南 | 毛坯 | 26层  | 塔楼,0人关注 / 1个月以前发布,60,"6,383元/平"
东申凤凰城 精装大三房 空置 诚心出售,东申凤凰城 -驿城区,3室2厅 | 143平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,135,"9,441元/平"
小区位于雪松路与乐山路，繁华位置，老证,中央城邦 -驿城区,1室1厅 | 50平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 30天以前发布,39.8,"7,960元/平"
市商务局第二家属院 2室2厅 东 西,市商务局第二家属院 -驿城区,2室2厅 | 97.17平米 | 东 西 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,45,"4,632元/平"
区委家属院 2室1厅 南,区委家属院 -驿城区,2室1厅 | 40平米 | 南 | 其他 | 中楼层(共4层)  | 塔楼,0人关注 / 20天以前发布,15,"3,750元/平"
此房源户型好， 采光好，小区环境优美，交通便利,蓝天尚品 -驿城区,3室2厅 | 137.5平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 31天以前发布,110.9,"8,066元/平"
纬二路大型社区，市政供暖，有证可按揭。,天地惠城东区 -驿城区,3室2厅 | 136.63平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,0人关注 / 17天以前发布,74.5,"5,453元/平"
富華名门小区3-2-1-1 117.00m² 65 万,富華名门小区 -驿城区,3室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 21天以前发布,65,"5,556元/平"
驿安小区 2室2厅 南,驿安小区 -驿城区,2室2厅 | 90平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 21天以前发布,40,"4,445元/平"
富华名门小区3室2厅2卫  南北,富華名门小区 -驿城区,3室2厅 | 140.48平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 26天以前发布,68,"4,841元/平"
体育场旁天中上境1期.简装修.楼层好.老证可按揭,天中上境I期 -驿城区,2室2厅 | 122.87平米 | 南 | 简装 | 34层  | 塔楼,0人关注 / 21天以前发布,85,"6,918元/平"
驻马店恒大名都 3室1厅 南,驻马店恒大名都 -驿城区,3室1厅 | 144平米 | 南 | 精装 | 30层  | 板楼,0人关注 / 2个月以前发布,120,"8,334元/平"
西湖庄园 5室2厅 南,西湖庄园 -驿城区,5室2厅 | 218平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,230,"10,551元/平"
高铁站旁，精准四房，精装修，交通便利,驻马店恒大名都 -驿城区,4室2厅 | 151平米 | 东 | 精装 | 33层  | 板楼,0人关注 / 1个月以前发布,125,"8,279元/平"
小区位于天中山大道与之地大道交汇处交通便利生活便利,天中国际 -驿城区,4室2厅 | 167平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,128,"7,665元/平"
东高国际  四室两厅两卫 161平方大平层,东高国际花园 -驿城区,4室2厅 | 161平米 | 南 | 精装 | 28层  | 板楼,0人关注 / 29天以前发布,106,"6,584元/平"
户型方正，采光通风效果好，实用设计合理， 视野开阔,顯逹花园 -驿城区,4室2厅 | 152平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,113,"7,435元/平"
天腾盛世，三室一厅一卫，简单装修，市政供暖，老证可,天腾盛世 -驿城区,3室2厅 | 93平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 30天以前发布,68,"7,312元/平"
开源公园新地高旁未来城精装三房有证可按揭,新天地未来城 -驿城区,3室2厅 | 99平米 | 南 | 精装 | 26层  | 板塔结合,0人关注 / 27天以前发布,65,"6,566元/平"
香水湾  优质房源   看房方便,香水湾 -驿城区,3室2厅 | 110.67平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 31天以前发布,78,"7,048元/平"
该房格局好，视野宽阔，采光充足，设施齐全,驿城碧桂园 -驿城区,4室2厅 | 143平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 21天以前发布,111,"7,763元/平"
