标题,开发商,房子信息,发布信息,售价/万,单价
龙湖澜岸小区三室两厅两卫，户型方正，适合居住,龙湖澜岸 -华龙区,3室2厅 | 126.36平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,77,"6,094元/平"
房子温馨小三室精装修拎包入住，契税满五唯一随时过户,格瑞斯小镇 -濮阳县,3室1厅 | 93.9平米 | 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 16天以前发布,55,"5,858元/平"
已交房 毛坯三室两厅 可随时装修 看房方便,汇丰·海斯顿公园 -华龙区,3室2厅 | 120平米 | 南 | 其他 | 低楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,105,"8,750元/平"
茗雅苑小区 2室2厅 交通便利 小区环境干净舒适,茗雅苑 -濮阳县,2室2厅 | 95平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,50,"5,264元/平"
德胜国际小区 3室2厅 交通便利 小区环境干净舒适,德胜国际 -濮阳县,3室2厅 | 127平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,64,"5,040元/平"
兴龙湾小区，交通便利，小区环境干净舒适，适合居住。,兴龙湾三期 -华龙区,3室2厅 | 128.02平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 10个月以前发布,70,"5,468元/平"
昆吾花园二期两室  一厅一厨一卫  简单装修,昆吾花园二期 -华龙区,2室2厅 | 91.46平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,90,"9,841元/平"
南乐温莎尚郡  电梯房  四室两厅两卫,温莎尚郡 -南乐县,4室2厅 | 150.86平米 | 西 | 毛坯 | 中楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,83,"5,502元/平"
建业通和府3室2厅1卫交通便利环境优美,建业通和府 -华龙区,3室2厅 | 114平米 | 西南 | 其他 | 低楼层(共27层)  | 暂无数据,2人关注 / 11个月以前发布,77.5,"6,799元/平"
文昌苑小区三室两厅两卫 交通便利 小区环境干净舒适,文昌苑西区 -南乐县,3室2厅 | 130平米 | 东 | 其他 | 高楼层(共18层)  | 暂无数据,3人关注 / 11个月以前发布,76,"5,847元/平"
南北通透格局，楼层好，视野宽阔，采光充足。,清丰建业城 -清丰县,4室2厅 | 138平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,80,"5,798元/平"
毛坯复shi，视野采光好，可以按照自己风格装修,华信越绣樟园 -华龙区,3室2厅 | 141平米 | 南 | 其他 | 高楼层(共23层)  | 暂无数据,1人关注 / 6个月以前发布,82,"5,816元/平"
交通便利 小区环境干净舒适 适合居住,中梁壹号院 -华龙区,4室2厅 | 132平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 11个月以前发布,100,"7,576元/平"
恒大悦龙湾 装修好未入住 看房子有钥匙,恒大悦珑湾 -华龙区,3室2厅 | 132.2平米 | 东 | 其他 | 高楼层(共21层)  | 暂无数据,0人关注 / 7个月以前发布,115,"8,699元/平"
褔谐花园温馨大两室  一楼带院,福谐花园 -濮阳县,2室2厅 | 104平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,60,"5,770元/平"
南海路建行家属院 3室2厅 南 北,南海路建行家属院 -华龙区,3室2厅 | 109.63平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 5个月以前发布,75,"6,842元/平"
此房子是电梯毛坯房四室两厅一厨两卫，户型好采光好。,荣域花果园小区 -华龙区,4室2厅 | 153平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,99,"6,471元/平"
盘锦花园电梯洋房南北通透带地下室25平,盘锦花园 -华龙区,3室2厅 | 103平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,82.8,"8,039元/平"
荣域珑府，三室两厅两卫一厨，环境好，交通便利,荣域·瓏府 -濮阳县,3室2厅 | 116平米 | 东 西 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 10个月以前发布,60,"5,173元/平"
荣域龙府小区洋房位置好西边户有个地下室看房方便,荣域·瓏府 -濮阳县,3室2厅 | 129.95平米 | 东 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 8个月以前发布,79,"6,080元/平"
翰林文苑三室交通便利小区环境干净舒适适合居住,翰林文苑 -濮阳县,3室2厅 | 117平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,56.5,"4,830元/平"
乙烯生活区，南北通透，三室一厅，诚意出售,中原乙烯生活区 -华龙区,3室2厅 | 88.9平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,67,"7,537元/平"
交通便利 小区环境干净舒适 适合居住带地下室十四平,华府山水 -华龙区,3室2厅 | 103平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 10个月以前发布,85,"8,253元/平"
荣盛华府一楼带100平方大院子 带地下室140平方,荣盛华府 -华龙区,3室2厅 | 126平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,2人关注 / 6个月以前发布,210,"16,667元/平"
德胜国际三室两厅两卫户型方正交通便利,德胜国际 -濮阳县,3室2厅 | 138平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 9个月以前发布,80,"5,798元/平"
观湖御府的房子，小高层一梯两户的房子，业主诚心出售,观湖御府 -濮阳县,4室2厅 | 149平米 | 东 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,83,"5,571元/平"
恒丰广场住宅楼，业主急售，带家具拎包入住,恒丰中央广场D区 -华龙区,3室2厅 | 104平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,1人关注 / 7个月以前发布,89.2,"8,577元/平"
昌乐花园小区 三室两厅一卫 交通便利 适合居住,昌乐花园一期 -南乐县,3室2厅 | 104平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,51,"4,904元/平"
天鹅堡 三室两厅两卫户型方正 毛坯随意装 适合居住,天鹅堡小区 -华龙区,3室2厅 | 134平米 | 南 北 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 6个月以前发布,93,"6,941元/平"
容金 国际三室两厅两 户型方正  采光好无遮挡,容金国际 -华龙区,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,110,"9,167元/平"
房子是洋房一楼带院三室两厅两卫，户型方正采光无遮挡,荣域·瓏府 -濮阳县,3室2厅 | 129.95平米 | 东 | 毛坯 | 低楼层(共8层)  | 暂无数据,0人关注 / 5个月以前发布,88,"6,772元/平"
天鹅堡小区3室2厅交通便利小区环境干净舒适带阁楼。,天鹅堡小区 -华龙区,3室2厅 | 127平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,1人关注 / 10个月以前发布,98,"7,717元/平"
满五唯一，带车位。看房有钥匙，业主诚心出售,建业·世和府 -华龙区,4室2厅 | 136平米 | 南 北 | 其他 | 中楼层(共27层)  | 暂无数据,0人关注 / 7个月以前发布,130,"9,559元/平"
房子满五不唯一 户型方正  交通便利  居住舒适,华清文苑一期 -华龙区,3室2厅 | 114平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,92,"8,071元/平"
中梁壹号院 4室2厅 南 北,中梁壹号院 -华龙区,4室2厅 | 130平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,135,"10,385元/平"
出行方便，户型方正，居住方便舒适,金庆小区 -华龙区,3室2厅 | 120.7平米 | 北 | 其他 | 低楼层(共6层)  | 暂无数据,2人关注 / 9个月以前发布,70,"5,800元/平"
越绣樟园三室两厅两卫洋房  小区干净舒适 适合居住,华信越绣樟园 -华龙区,3室2厅 | 127平米 | 南 | 毛坯 | 低楼层(共12层)  | 暂无数据,2人关注 / 11个月以前发布,75,"5,906元/平"
此房满五年，三室朝阳，户型格局好，采光充足配套齐全,中原小区 -华龙区,3室2厅 | 98.9平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,72,"7,281元/平"
兴龙湾三期 交通便利 小区环境干净舒适 适合居住,兴龙湾三期 -华龙区,3室2厅 | 125平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,1人关注 / 8个月以前发布,78,"6,240元/平"
一楼复式 带30平车位  四室两厅两卫,南江小区三期 -华龙区,4室2厅 | 157平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,145,"9,236元/平"
未来城小区四室两厅两卫  交通便利  小区干净舒适,未来城一期 -濮阳县,4室2厅 | 148平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,75,"5,068元/平"
越绣章园小区 3室2厅交通便利 小区环境干净舒适,华信越绣樟园 -华龙区,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,58,"5,472元/平"
房子是东湖湾小区的电梯房 ，房子是是三室两厅一厨一,汇丰东湖湾 -华龙区,3室2厅 | 114.7平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,80,"6,975元/平"
绿城花园好楼层  采光佳  带入户花园 大客厅,绿城花园 -华龙区,3室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 6个月以前发布,121,"8,462元/平"
此房出行方便，户型方正，居住舒适，小区有幼儿园。,汇丰东湖湾 -华龙区,3室2厅 | 130.4平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 8个月以前发布,100,"7,669元/平"
交通便利小区环境干净舒适适合居住,越绣桂园 -濮阳县,3室2厅 | 125平米 | 西 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,95,"7,600元/平"
质监站家属院 3室1厅 南,质监站家属院 -华龙区,3室1厅 | 87.5平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 3个月以前发布,69,"7,886元/平"
建业城小区三室两厅一卫 环境干净整洁 交通便利,建业城1期 -濮阳县,3室2厅 | 122平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 9个月以前发布,58,"4,755元/平"
通和府 三室两厅两卫 南北通透 诚心出售,中梁壹号院 -华龙区,4室2厅 | 129平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,90,"6,977元/平"
龙湖澜岸，中间位置，中间楼层，精装修,龙湖澜岸 -华龙区,3室2厅 | 110.79平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 7个月以前发布,80,"7,221元/平"
五一公社 三室两厅 电梯洋房 随时签约,五一公社 -华龙区,3室2厅 | 126平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,132,"10,477元/平"
建业通和府四室两厅交通便利小区环境干净舒适适宜居住,建业通和府 -华龙区,4室2厅 | 143.39平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 5个月以前发布,105,"7,323元/平"
东湖花畔小区三室两厅一厨一卫，交通便利。,东湖花畔 -华龙区,3室2厅 | 119.92平米 | 南 北 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,83,"6,922元/平"
濮水桃花源，风景适宜，环境好，三室两厅两卫,濮水桃花源 -濮阳县,3室2厅 | 125平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,63,"5,040元/平"
建业城1期 交通便利 小区环境干净舒适,建业城1期 -濮阳县,3室2厅 | 113平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,57,"5,045元/平"
玖昌悦府  三室客厅两卫 毛坯房 新小区环境好,玖昌悦府 -华龙区,3室2厅 | 130.99平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,2人关注 / 4个月以前发布,77,"5,879元/平"
泰和花园 南北通透 四室 随时签约,泰和花园北区 -华龙区,4室2厅 | 144平米 | 南 北 | 其他 | 中楼层(共12层)  | 板楼,2人关注 / 8个月以前发布,145,"10,070元/平"
龙都花园3室2厅交通便利 小区环境干净舒适 适合居住,龙都花园 -濮阳县,3室2厅 | 97平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,58,"5,980元/平"
业主计划和老人孩子一起住，现在卖房改善换房,建业通和府 -华龙区,3室2厅 | 117平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 8个月以前发布,77,"6,582元/平"
华府山水，四室两厅两卫交通便利小区环境干净舒适,华府山水 -华龙区,4室2厅 | 148平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,117,"7,906元/平"
君悦兰庭三室两厅，交通便利小区环境干净舒适适合居住,瑞璞君悦兰庭 -华龙区,3室2厅 | 134.92平米 | 南 北 | 其他 | 中楼层(共22层)  | 暂无数据,1人关注 / 11个月以前发布,85,"6,301元/平"
清华苑小区，三室两厅，精装修，楼层好，采光充足,清华苑小区 -清丰县,3室2厅 | 134平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,62,"4,627元/平"
小区出行方便，户型方正，居住方面舒适。,香树花城 -清丰县,3室2厅 | 123平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,54,"4,391元/平"
华创首府小区，三室两厅，楼层格局好，采光充足，。嗯,华创首府 -清丰县,3室2厅 | 120平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,52,"4,334元/平"
凯旋城 三室两厅两卫 交通便利 小区环境干净舒适,凯旋城 -华龙区,3室2厅 | 135.45平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,122,"9,008元/平"
水电小区 三室朝阳，南北通透。,光明小区 -华龙区,3室1厅 | 73平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,51,"6,987元/平"
房子是三室毛坯有钥匙随时可看，契税满三年，业主包税,物华国际城二期 -华龙区,3室2厅 | 132.4平米 | 南 | 其他 | 中楼层(共27层)  | 暂无数据,0人关注 / 11个月以前发布,100,"7,553元/平"
龙湖澜岸 毛坯房随意装修户型方正,龙湖澜岸 -华龙区,3室2厅 | 126平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,1人关注 / 3个月以前发布,80,"6,350元/平"
上海城三室两厅两卫，带120平大平台,上海城 -华龙区,3室2厅 | 139.8平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,1人关注 / 11个月以前发布,138,"9,872元/平"
中央公园小区，交通方便，小区环境干净舒适，,中央公园 -华龙区,4室2厅 | 165.32平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 7个月以前发布,124,"7,501元/平"
荣域龙府小区环境好交通方便户型方正小区人文素养高关,荣域·瓏府 -濮阳县,3室2厅 | 109.63平米 | 西 | 毛坯 | 低楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,69,"6,294元/平"
春风十里洋房三室两厅两卫毛坯房任意装修,春风十里 -华龙区,3室2厅 | 119.9平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,112,"9,342元/平"
自然水岸 3室2厅 南,自然水岸 -濮阳县,3室2厅 | 128平米 | 南 | 其他 | 中楼层(共12层)  | 暂无数据,1人关注 / 7个月以前发布,60,"4,688元/平"
龙都名城 3室2厅 南,龙都名城 -濮阳县,3室2厅 | 123平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,65,"5,285元/平"
龙城印象小区 3室2厅交通便利 小区环境干净舒适,龙城印象 -濮阳县,3室2厅 | 123平米 | 南 | 其他 | 低楼层(共12层)  | 暂无数据,0人关注 / 4个月以前发布,62,"5,041元/平"
此房满五不唯一，一个点个税，看房子方便，步梯五楼。,物华假日一期 -华龙区,3室2厅 | 113.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,80.5,"7,093元/平"
房子是悦海棠的毛坯房，户型是三室两厅两卫的，南北通,君恒悦海棠 -华龙区,3室2厅 | 136平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 7个月以前发布,108,"7,942元/平"
荣誉龙府毛坯现房可以走新房手续一楼带院带下沉式地下,荣域·瓏府 -濮阳县,4室2厅 | 193.7平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,160,"8,261元/平"
建业通和府 年满两年  交通便利,建业通和府 -华龙区,3室2厅 | 117平米 | 南 | 其他 | 低楼层(共21层)  | 暂无数据,0人关注 / 3个月以前发布,85,"7,265元/平"
此房子精装修带个阁楼做的上下复式物业费低出行方便。,丽都时代家园 -华龙区,3室2厅 | 125平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,92,"7,360元/平"
汇丰桃李春风 3室2厅 南,汇丰桃李春风 -华龙区,3室2厅 | 118.32平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,76,"6,424元/平"
建业臻悦汇，目前空置，诚心出售，看房提前联系,建业臻悦汇 -华龙区,4室2厅 | 139平米 | 南 北 | 其他 | 中楼层(共27层)  | 暂无数据,1人关注 / 6个月以前发布,110,"7,914元/平"
南关社区5室两厅两卫一厨，交通便利，房源优质,南关社区 -南乐县,5室2厅 | 219平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,1人关注 / 9个月以前发布,76,"3,471元/平"
越秀樟园 交通便利 小区环境干净舒适 适合居住,华信越绣樟园 -华龙区,3室2厅 | 133.9平米 | 南 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 4个月以前发布,77,"5,751元/平"
建业景园，新交房的小区，环境好，物业好,建业璟园 -濮阳县,3室2厅 | 125平米 | 南 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 7个月以前发布,68,"5,440元/平"
龙城花园，步梯三楼，三室，公摊小，证件都有,龙城新村 -濮阳县,3室2厅 | 94平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,43,"4,575元/平"
龙湖壹号幸福城 洋房  户型方正  采光好,龙湖壹号幸福城 -华龙区,4室2厅 | 179平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,205,"11,453元/平"
此房离万达。水秀。交通便利。道路宽敞。散步方便出入,绿洲风景 -华龙区,3室2厅 | 113平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,92,"8,142元/平"
中梁壹号院 四室两厅两卫 户型方正 毛坯随意装修,中梁壹号院 -华龙区,4室2厅 | 128平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,1人关注 / 5个月以前发布,85,"6,641元/平"
此房满4年，出行方便，户型方正，居住方便舒适,兴龙湾三期 -华龙区,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,2人关注 / 一年前发布,70,"5,600元/平"
出行方便，交通便利，绿化好环境好,怡海龙湖壹号 -华龙区,4室2厅 | 171平米 | 南 北 | 其他 | 高楼层(共24层)  | 塔楼,0人关注 / 4个月以前发布,146,"8,539元/平"
南江小区三期 三室两厅一卫 简单装修,南江小区三期 -华龙区,3室2厅 | 106平米 | 西 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,66.8,"6,302元/平"
林雅苑三室两厅交通便利，小区环境干净舒适时候居住,茗雅苑 -濮阳县,3室2厅 | 126平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,60,"4,762元/平"
龙城花园大社区，物业好，绿化好,龙城花园北区 -濮阳县,3室2厅 | 107.79平米 | 西 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 9个月以前发布,46,"4,268元/平"
汇丰胜东花园 毛坯房 南户  可随意装修,汇丰胜东花园 -华龙区,3室2厅 | 111平米 | 南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,85,"7,658元/平"
四季果岭小区三室两厅小区环境好出行方便满五,四季果岭 -华龙区,3室2厅 | 105平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,76,"7,239元/平"
户型方正，阳光充足，视野无遮挡，采光好。,温泉花园 -华龙区,4室2厅 | 176.15平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,107,"6,075元/平"
和谐花园3室2厅 交通便利 小区环境干净舒适 适合居住,和谐花园 -濮阳县,3室2厅 | 93平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,41,"4,409元/平"
君恒悦海棠  边户出售 毛坯现房,君恒悦海棠 -华龙区,3室2厅 | 128平米 | 南 | 其他 | 低楼层(共27层)  | 暂无数据,1人关注 / 3个月以前发布,81,"6,329元/平"
庆丰小区 三室两厅一卫 交通便利 小区环境舒适干净,庆丰小区 -华龙区,3室2厅 | 102平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,72,"7,059元/平"
建业城小区交通便利，商圈配套成熟，,建业新城 -华龙区,4室2厅 | 142平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,3人关注 / 9个月以前发布,74,"5,212元/平"
冶都世外桃源三室两厅两卫毛坯现房出售，随意装修！,冶都世外桃源 -清丰县,3室2厅 | 128.4平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 10个月以前发布,75.5,"5,881元/平"
清丰建业城东区三室毛坯现房出售 凤凰层采光好随意装,清丰建业城 -清丰县,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 10个月以前发布,55,"5,189元/平"
出行方便，户型方正，居住方便舒适,中梁壹号院 -华龙区,4室2厅 | 146平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 11个月以前发布,105,"7,192元/平"
近视楼台  精装修三室  南北通透  满五唯一 可贷款,近水樓臺 -华龙区,3室2厅 | 106平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,1人关注 / 一年前发布,98,"9,246元/平"
建业城少有的精装小三室，业主急售,建业城4期 -濮阳县,3室2厅 | 129平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 10个月以前发布,72,"5,582元/平"
花半里二期新小区，小区环境好，户型方正,花半里二期 -华龙区,3室2厅 | 125.98平米 | 南 北 | 其他 | 高楼层(共20层)  | 暂无数据,1人关注 / 10个月以前发布,76,"6,033元/平"
房子满五唯一，电梯六楼，看房子方便有钥匙，精装修。,玉兰 · 嘉和逸景 -华龙区,3室2厅 | 108平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,130,"12,038元/平"
房子三室两厅两卫毛坯出售，户型方正楼层好采光无遮挡,建业新城四期 -华龙区,3室2厅 | 120.74平米 | 西 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,66,"5,467元/平"
荣域天鹅堡，毛坯房，可更名，诚心出售,天鹅堡小区 -华龙区,3室2厅 | 101平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,3人关注 / 7个月以前发布,65,"6,436元/平"
房子精装修 全新未入住  所见即所得 低楼层,世纪景苑北区 -华龙区,3室2厅 | 124.19平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,178,"14,333元/平"
碧水云天4室三厅，交通便利小区环境干净舒适适合居住,碧水云天 -华龙区,4室3厅 | 190.63平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,168,"8,813元/平"
春风十里三室两厅两卫出行方便户型方正居住方便舒,春风十里 -华龙区,3室2厅 | 126.77平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,90,"7,100元/平"
交通便利 小区环境干净舒适 适合居住,兴龙湾三期 -华龙区,3室2厅 | 135平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 10个月以前发布,78,"5,778元/平"
小区出行方便，户型方正，居住方便舒适,明日星城 -华龙区,3室2厅 | 84.89平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,42,"4,948元/平"
首付低，可贷款，随时过户，随时贷款,天桥社区 -华龙区,3室2厅 | 90.91平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,75,"8,250元/平"
兴龙湾二期 3室2厅 南,兴龙湾二期 -濮阳县,3室2厅 | 112平米 | 南 | 毛坯 | 低楼层(共17层)  | 板塔结合,1人关注 / 5个月以前发布,63.5,"5,670元/平"
新装修未入住 紧凑三室 看房有钥匙,建业壹号城邦(西区) -华龙区,3室2厅 | 104.8平米 | 南 北 | 其他 | 高楼层(共32层)  | 暂无数据,5人关注 / 11个月以前发布,72,"6,871元/平"
祥瑞家园，三室两厅一卫一厨，采光好，带家具家电,祥瑞家园 -南乐县,3室2厅 | 128.89平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 10个月以前发布,59,"4,578元/平"
房子南北通透，格局好，户型方正,兴龙湾一期 -华龙区,3室2厅 | 137平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板塔结合,1人关注 / 4个月以前发布,86,"6,278元/平"
祥瑞家园 3室2厅 东,祥瑞家园 -南乐县,3室2厅 | 148平米 | 东 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,63,"4,257元/平"
文昌苑东区 4室2厅 西南,文昌苑东区 -南乐县,4室2厅 | 140.03平米 | 西南 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 4个月以前发布,78.4,"5,599元/平"
交通便利 小区环境干净舒适 适合居住,畅和苑 -濮阳县,3室2厅 | 118.25平米 | 西 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,45,"3,806元/平"
恒大悦珑湾 3室2厅 南,恒大悦珑湾 -华龙区,3室2厅 | 105平米 | 南 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,105,"10,000元/平"
文昌苑东区四室两厅两卫急售  毛坯现房  即卖即装,文昌苑东区 -南乐县,4室2厅 | 140平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,2人关注 / 4个月以前发布,70,"5,000元/平"
慧竹丽景 3室2厅 南 北,慧竹丽景 -华龙区,3室2厅 | 99.8平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,84,"8,417元/平"
此房满五年，唯一，精装修四室两厅两卫,世纪景苑北区 -华龙区,4室2厅 | 151平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,150,"9,934元/平"
建业城小区 3室2厅 交通便利 小区环境干净舒适,建业城4期 -濮阳县,3室2厅 | 85平米 | 西 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,47,"5,530元/平"
明日星城三室朝阳的户型小区环境舒适适合居住,明日星城 -华龙区,3室2厅 | 103平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,35,"3,399元/平"
房子户型很好。。交通便利。。繁华地段。,生化公司生活区 -华龙区,3室1厅 | 98平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,82,"8,368元/平"
