标题,开发商,房子信息,发布信息,售价/万,单价
自在澜湾空中别墅，西面看湖，东面观海。,自在澜湾 -荣成市,4室3厅 | 205.8平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 塔楼,104人关注 / 一年前发布,110,"5,345元/平"
户型南北朝向的 无遮挡 采光好 视野开阔，看房方便,爬山街 -文登市区,2室1厅 | 93.17平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,43.2,"4,637元/平"
经区汽车站皇冠中区230平顶加隔便宜出售交通便利,德顺园 -皇冠,5室2厅 | 232.58平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,195.29,"8,397元/平"
顶楼复式买两层用三层，精装修，带地下车位，价格可议,维多利亚山海名宅 -孙家疃,6室3厅 | 210.59平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 一年前发布,298,"14,151元/平"
五渚河生态城3室毛坯，南北通透，格局方正带车位,五渚河生态城 -东部滨海新城,3室2厅 | 140.37平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,10人关注 / 一年前发布,99,"7,053元/平"
钦村 框架房 装修不错可以拎包入住,王府家园 -卧龙山,3室1厅 | 93平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,85,"9,140元/平"
塔山公园旁的好楼层 小两居 地势高采光好,塔山中路 -环翠楼,2室1厅 | 66.61平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,69.8,"10,479元/平"
青岛路水岸名居三室向阳大方厅电梯精装南北通透。,水岸明居 -竹岛,3室2厅 | 155.3平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 一年前发布,253,"16,292元/平"
侨乡商圈，二中南，住人4楼，南北通透，采光好...,海滨北路114号 -竹岛,3室1厅 | 91平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,97,"10,660元/平"
塔山 金凤苑 封闭式管理 顶加阁东边户 带38平储藏室,金凤苑小区 -竹岛,4室2厅 | 218平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,170,"7,799元/平"
卧龙山庄 好位置 精装可拎包入住,卧龙山庄 -卧龙山,3室1厅 | 73.21平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,59.8,"8,169元/平"
侨乡商圈，二中南，住人4楼，南北通透，采光好...,海滨北路114号 -竹岛,3室1厅 | 91平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,97,"10,660元/平"
塔山公园旁的好楼层 小两居 地势高采光好,塔山中路 -环翠楼,2室1厅 | 66.61平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,69.8,"10,479元/平"
寨子框架封闭电梯房 古寨 顶楼加阁楼,萬美家园 -寨子,5室3厅 | 179.91平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,164.5,"9,144元/平"
离海边近步行可到，购物方便。是万达恒大商圈。,永宁里小区 -望岛,3室2厅 | 125.78平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,168,"13,357元/平"
近塔山校园矮楼层三室南北通透新威路,新威路164-1号 -竹岛,3室1厅 | 84.68平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,80,"9,448元/平"
保利红叶谷 空中花园 楼下130平 楼上50平 70平露台,保利红叶谷 -竹岛,4室3厅 | 180平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,18人关注 / 9个月以前发布,235,"13,056元/平"
世昌大道杏花村，好楼层，三室大方厅1梯2户,杏花村居民小区 -环翠楼,3室2厅 | 139平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,120,"8,634元/平"
望海园永嘉里 3室 南北通透 公摊小 好楼层,望海园永嘉里 -望岛,3室2厅 | 95平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 一年前发布,105,"11,053元/平"
永康里三室2厅一卫，楼层很好，,望海园永康里 -望岛,3室2厅 | 93.5平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,87,"9,305元/平"
理想山大平层百万装修全明带2个车位落地窗2卫带窗,理想山北区 -卧龙山,4室2厅 | 231.99平米 | 南 北 | 精装 | 中楼层(共25层)  | 暂无数据,1人关注 / 8个月以前发布,428,"18,450元/平"
威百望海园好房急售必看必看必看,威百望海园 -望岛,3室2厅 | 147平米 | 南 北 | 毛坯 | 低楼层(共19层)  | 板楼,0人关注 / 一年前发布,235,"15,987元/平"
此房满五唯一 格局好视野宽阔采光充足 配套设施齐全,水岸明居 -竹岛,3室2厅 | 138平米 | 南 西南 北 | 精装 | 低楼层(共16层)  | 塔楼,1人关注 / 9个月以前发布,175,"12,682元/平"
户型南北朝向的 无遮挡 采光好 视野开阔，看房方便,幸福海岸 -环翠楼,2室2厅 | 121平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,4人关注 / 一年前发布,185,"15,290元/平"
维多利亚上叠边户，精装修带50万家具，带车库带小院子,维多利亚山海名宅 -孙家疃,5室2厅 | 223.04平米 | 南 北 | 精装 | 5层  | 板楼,0人关注 / 6个月以前发布,358,"16,051元/平"
南竹岛幸福翠竹小区框架多层顶加阁,南竹岛小区C区 -竹岛,3室1厅 | 105平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,105,"10,000元/平"
一线海景房 四室二卫 全明户型 封闭小区,海港城 -九龙湾,4室2厅 | 120.58平米 | 南 北 西 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,138,"11,445元/平"
古陌早市旁，精装修住人五楼，顶三，南北通透带储藏室,古陌苑 -市政府,3室2厅 | 82.8平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,4人关注 / 一年前发布,76,"9,179元/平"
市政府 宫松岭路 三室两厅 南北通透带储藏室,宫松岭路 -市政府,3室2厅 | 81平米 | 北 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,99,"12,223元/平"
少年路 住人五楼 西边户 带储藏室，三室两厅一厨一,长征社区 -市政府,3室2厅 | 87平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 18天以前发布,76,"8,736元/平"
长征古寨双阳台东边户客厅大窗方正带平台南北通透古陌,古陌路 -环翠楼,3室2厅 | 118.96平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,9人关注 / 9个月以前发布,82.8,"6,961元/平"
小商品  卧龙山  西北山路  四室两厅一卫  南北通透,西北山路 -市政府,4室2厅 | 118.67平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 9个月以前发布,102,"8,596元/平"
建设街小户型三室采光好带储藏室,建设街 -市政府,3室1厅 | 63.29平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,69.8,"11,029元/平"
塔山双校园身旁 金凤苑小区顶加阁 家庭人口多选择,金凤苑小区 -竹岛,5室2厅 | 147平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,23人关注 / 一年前发布,89.8,"6,109元/平"
环翠区大福源商圈的房子，采光通风好,渔港路 -竹岛,3室2厅 | 88.81平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,74.5,"8,389元/平"
视野无遮挡 采光以及通风好，看房方便,新威附路 -竹岛,3室1厅 | 67.28平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,67,"9,959元/平"
华新园 南北朝向的 无遮挡 采光好视野开阔,华新园 -竹岛,3室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,2人关注 / 一年前发布,170,"12,143元/平"
大福源 户型南北通透 两室向阳多路公交通达南北,金线顶社区 -竹岛,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,9人关注 / 一年前发布,130,"10,000元/平"
三室全明 封闭小区精装修 南北通透位置佳,海韵华府 -戚家庄,3室2厅 | 98平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,7人关注 / 一年前发布,128,"13,062元/平"
望岛望海园 永宁里 三室住人三楼 带储藏室,永宁里小区 -望岛,3室2厅 | 84.77平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,96,"11,325元/平"
大世界 花园南路 人民法院  南北通透,花园南路 -市政府,2室1厅 | 68.03平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,60,"8,820元/平"
小商品  卧龙山  西北山路  四室两厅一卫  南北通透,西北山路 -市政府,4室2厅 | 118.67平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 9个月以前发布,102,"8,596元/平"
四方路市场南竹岛H区框架两室交通便利生活方便出售,南竹岛H区 -竹岛,2室2厅 | 74.76平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,86.9,"11,624元/平"
三室全明 封闭小区精装修 南北通透位置佳,海韵华府 -戚家庄,3室2厅 | 98平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,7人关注 / 一年前发布,128,"13,062元/平"
视野无遮挡 采光以及通风好，看房方便,新威附路 -竹岛,3室1厅 | 67.28平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,67,"9,959元/平"
大福源 户型南北通透 两室向阳多路公交通达南北,金线顶社区 -竹岛,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,9人关注 / 一年前发布,130,"10,000元/平"
华新园 南北朝向的 无遮挡 采光好视野开阔,华新园 -竹岛,3室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,2人关注 / 一年前发布,170,"12,143元/平"
环翠区大福源商圈的房子，采光通风好,渔港路 -竹岛,3室2厅 | 88.81平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,74.5,"8,389元/平"
保利凯旋公馆 西边户 全明户型  精装修,保利凯旋公馆 -戚家庄,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,2人关注 / 一年前发布,228,"18,096元/平"
世昌大道寨子大润发南威建新村住人一楼,威建新村 -寨子,3室2厅 | 117.34平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 6个月以前发布,123,"10,483元/平"
带地上车位 可拎包入  满五唯一  生活便利,新都花园一区 -凤林&宋家洼,4室2厅 | 90.74平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,88,"9,699元/平"
新都花园 三居室 通透 孩子上学方便 交通便利,新都花园二区 -凤林&宋家洼,3室2厅 | 93.85平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,9人关注 / 一年前发布,90,"9,590元/平"
山海华府独栋别墅，一共3层，院子300平，毛坯房,山海華府 -孙家疃,6室4厅 | 298.59平米 | 南 北 | 毛坯 | 3层  | 板楼 | 双拼别墅 ,11人关注 / 一年前发布,1200,"40,189元/平"
户型南北朝向的 无遮挡 采光好 视野开阔，看房方便,天润城居民小区 -文登市区,3室2厅 | 122.88平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,72.5,"5,901元/平"
寨子金蚂蚁大厦南边。1题2户，三室，两室朝阳....,潍坊路社区 -寨子,3室1厅 | 73.22平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,48,"6,556元/平"
新都花园二区 框架结构 顶加阁 空间大 交通便利,新都花园二区 -凤林&宋家洼,3室2厅 | 110.6平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,85,"7,686元/平"
滨海龙城  精装两室  带车位 草厦子  经典户型,滨海龙城 -蒿泊,2室1厅 | 91.53平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,11人关注 / 一年前发布,105,"11,472元/平"
宜家花园 塔山早市 大福源 300-500米之内 简装 三室。,塔山中路 -环翠楼,3室1厅 | 96.7平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,85,"8,791元/平"
塔山中路 四方路 陶家夼社区 精装修三室格局,陶家夼社区 -竹岛,3室2厅 | 73.8平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,68.8,"9,323元/平"
塔山中路 好位置 南北通透  宽敞明亮,塔山中路 -环翠楼,2室2厅 | 84.96平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,104,"12,242元/平"
此房南北通风格局好，地势平坦，住人2楼，不用爬楼梯,永宁里小区 -望岛,3室2厅 | 85平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,102,"12,000元/平"
鸿园封闭小区，精装修，有产权车库单独算,鸿园小区 -涝台社区,6室2厅 | 269.14平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,280,"10,404元/平"
小高层好楼层三居室，带车库储藏室。,五洲太阳城天鹤园 -九龙湾,3室2厅 | 94.4平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 塔楼,11人关注 / 10个月以前发布,72,"7,628元/平"
华润湾九里三居 一线海景 精装修 中间好楼层，带车位,华润威海湾九里 -竹岛,3室1厅 | 142平米 | 南 西 北 | 精装 | 中楼层(共33层)  | 板楼,8人关注 / 一年前发布,249,"17,536元/平"
威高林溪院别墅，上下3层，精装未住，带前后院,威高七彩城林溪院 -海水浴场,5室2厅 | 249.07平米 | 南 北 | 精装 | 3层  | 板楼 | 联排别墅 ,3人关注 / 2个月以前发布,650.5,"26,118元/平"
房子精装修、南北通透、带外开门储藏室、位置好,曙光家园 -市政府,3室2厅 | 130.21平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,11人关注 / 一年前发布,95,"7,296元/平"
华润精装两居室 中高楼层 看海效果还不错,华润威海湾九里 -竹岛,3室2厅 | 116平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,175,"15,087元/平"
大润发商圈中间楼层3室2厅精装修带2个车库,海源丽舍 -竹岛,3室2厅 | 132.59平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,4人关注 / 10个月以前发布,160,"12,068元/平"
陶家夼多层框架住人3楼，精装修三室两厅，朝阳坡,陶家夼社区 -竹岛,3室1厅 | 109.93平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 10个月以前发布,138,"12,554元/平"
环翠区青岛路边水岸名居好楼层，全明看海，好楼层,水岸明居 -竹岛,3室1厅 | 147.18平米 | 西北 | 精装 | 中楼层(共13层)  | 塔楼,29人关注 / 10个月以前发布,169,"11,483元/平"
房子南北通透，东边户，客厅明亮。房源自带大草厦子,长征社区 -市政府,3室1厅 | 81.97平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,11人关注 / 一年前发布,61.5,"7,503元/平"
旅游惠园公寓 住人二楼 四室户型 简单装修 拎包入住,旅游惠园公寓 -海水浴场,4室2厅 | 123.69平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,125.6,"10,155元/平"
陶家夼框架房三室南北通透免费停车位充足,陶家夼社区 -竹岛,3室1厅 | 91.92平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,7人关注 / 一年前发布,64,"6,963元/平"
市里塔山矮楼层3室带外开门草厦子免费停车位充足,塔山中路 -环翠楼,3室1厅 | 76平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,72,"9,474元/平"
竹岛大润发 塔山同心路 简单装修三室,同心路 -竹岛,3室1厅 | 73平米 | 南 北 | 简装 | 中楼层(共5层)  | 塔楼,3人关注 / 一年前发布,74.8,"10,247元/平"
竹岛大润发 渔港路 好楼层框架房东边户 三室向阳,渔港路 -竹岛,3室2厅 | 131.28平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,17人关注 / 一年前发布,122.8,"9,355元/平"
配套设施齐全，交通出行便利，环境优美。,光明花园西区 -环翠楼,3室1厅 | 118.5平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,3人关注 / 5个月以前发布,129,"10,887元/平"
产证满五，带车位储藏室现代轻奢风格看房方便一线观景,华润威海湾九里 -竹岛,3室1厅 | 143平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,5人关注 / 4个月以前发布,205,"14,336元/平"
温泉明珠 2室1厅 南 北,温泉明珠 -温泉,2室1厅 | 92平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3天以前发布,92,"10,000元/平"
南曲阜A区精装修拎包入住，生活配套，出行便利,南曲阜小区A区 -天东&南曲阜,2室1厅 | 105平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,61,"5,810元/平"
青岛路 海韵华府 电梯复式 海景房 视野开阔 精装修,海韵华府 -戚家庄,4室3厅 | 194.6平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,14人关注 / 一年前发布,268,"13,772元/平"
蓝湾怡庭 南北朝向 视野无遮挡 采光以及通风好,蓝湾怡庭 -戚家庄,3室2厅 | 141.78平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,9人关注 / 一年前发布,286,"20,173元/平"
户型南北朝向的 无遮挡 采光好 视野开阔，看房方便,海宴台 -孙家疃,3室2厅 | 100.5平米 | 东 西 | 精装 | 低楼层(共5层)  | 板楼,8人关注 / 一年前发布,123,"12,239元/平"
海景花园，多层顶加阁，南向两室，北向客厅，带出藏室,海景花园(环翠区) -海水浴场,2室2厅 | 114.51平米 | 北 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 11个月以前发布,108,"9,432元/平"
杨家滩花园精装三室拎包入住配套齐全,杨家滩花园 -九龙湾,3室2厅 | 83.56平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,10人关注 / 一年前发布,79,"9,455元/平"
框架。好位置，带储藏室，南北通透，2室向阳，,望岛村 -望岛,3室1厅 | 81.88平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,73.8,"9,014元/平"
望岛名郡电梯小高层，带储藏室，产证满五唯一随时过户,望岛名郡 -望岛,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,9人关注 / 6个月以前发布,185,"14,800元/平"
经区皇冠南区好楼层3室精装修带车库118平好位置,皇冠花园南区 -皇冠,3室1厅 | 118.3平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,150.8,"12,748元/平"
九龙明珠花园 电梯洋房二楼  115平   售价  125万,九龙明珠花园 -九龙湾,3室2厅 | 115.09平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,14人关注 / 一年前发布,125,"10,862元/平"
万象城人车分流，带车位储藏室，精装修，高楼层采光好,蓝星万象城 -皇冠,3室2厅 | 123.87平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,3人关注 / 一年前发布,158.8,"12,820元/平"
文平和谐家园三室两厅一卫精装视野开阔,文平和谐家园 -戚家庄,3室2厅 | 113平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,5人关注 / 一年前发布,157.8,"13,965元/平"
古寨  东山家园 精装修 没有斜坡顶加阁  单开门,东山家园 -寨子,3室2厅 | 138.03平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,178,"12,896元/平"
利民街顶楼两室房东诚心出售，看房方便,利民街小区 -文登市区,2室2厅 | 93平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,29.8,"3,205元/平"
九龙湾商圈，三室好楼层，好户型，采光好,悦海锦府 -九龙湾,3室2厅 | 107平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 13天以前发布,85,"7,944元/平"
大润发南 寨子商圈 寨河路 三居出售,寨河路 -寨子,3室1厅 | 74.19平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,39.8,"5,365元/平"
金域仕家精装大三室  带地下车位,信泰金域仕家 -蒿泊,3室2厅 | 130.28平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,8人关注 / 一年前发布,195,"14,968元/平"
望岛名郡多层，好楼层3室南北通透，封闭小区,望岛名郡 -望岛,3室2厅 | 96.44平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,136,"14,103元/平"
龙跃国际一期精装修93.6平售价110万带储藏室,龙跃国际 -九龙湾,2室2厅 | 93.6平米 | 南 北 | 简装 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,110,"11,753元/平"
同德路社区简装三室配套齐全交通便利,同德社区 -环翠楼,3室1厅 | 79.31平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,51.8,"6,532元/平"
欧典花园精装修4室南北通透可看海封闭小区,欧典花园 -竹岛,3室2厅 | 168平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 3个月以前发布,240,"14,286元/平"
威海环翠区电梯房 侨乡广场一期东边户看海效果好，,侨乡城市广场一期 -竹岛,3室2厅 | 145平米 | 南 北 | 简装 | 高楼层(共28层)  | 板塔结合,0人关注 / 5个月以前发布,155,"10,690元/平"
山海华府 精装下叠别墅 改造的大 院子100多平,山海華府 -孙家疃,6室2厅 | 237平米 | 南 北 | 精装 | 下叠(共3层)  | 板楼 | 叠拼别墅 ,0人关注 / 10天以前发布,388,"16,372元/平"
急售 长峰馨安苑 东边户 三室 离皇冠近,长峰馨安苑小区 -长峰,3室1厅 | 77.2平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 13天以前发布,74,"9,586元/平"
黄家夼 3室2厅 南 北,黄家夼 -寨子,3室2厅 | 115.14平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,95,"8,251元/平"
此房户型是南北朝向 视野无遮挡 采光以及通风好,海韵华府三期郎郡 -戚家庄,3室2厅 | 99平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,13人关注 / 一年前发布,154,"15,556元/平"
海景壹号电梯高层一线观海大三居一梯一户,海景壹号 -海水浴场,3室2厅 | 157.97平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,15人关注 / 一年前发布,309.8,"19,612元/平"
长峰锦绣北山框架房三室两厅两卫,锦绣北山 -长峰,3室2厅 | 97.64平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,238.8,"24,458元/平"
皇冠乐天世纪城 三室房源 精装修,乐天世纪城 -皇冠,3室2厅 | 113.75平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,125,"10,990元/平"
泰和雅居精装修未住，三室，66.8万。,泰和雅居 -文登市区,3室1厅 | 119.78平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 15天以前发布,66.5,"5,552元/平"
九龙城商圈 九龙湾花园 3居室 交通便利 配套齐全,皇冠九龙湾花园 -皇冠,3室1厅 | 80.4平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 12天以前发布,92.5,"11,505元/平"
文化路沸腾工厂路北三室好楼层，看方便,文化路 -文登市区,3室1厅 | 99.9平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,56.6,"5,666元/平"
世昌大道南 万宁街 潍坊路 好楼层 出售,潍坊路社区 -寨子,3室1厅 | 64.52平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,48.8,"7,564元/平"
哈工大富贵园多层顶楼复式，精装修 急售，组织按电梯,富贵园 -昌鸿,5室2厅 | 200.27平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,7人关注 / 5个月以前发布,139.5,"6,966元/平"
四方路  边户 一梯两户 三室 南北通透卫生间带窗,四方社区 -竹岛,3室1厅 | 71.09平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,7人关注 / 一年前发布,59,"8,300元/平"
青岛北路小区，三室两厅一厨一卫,青岛北路小区 -竹岛,3室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,14人关注 / 一年前发布,78,"8,388元/平"
凤林小区 2室2厅 南 北,凤林小区 -凤林&宋家洼,2室2厅 | 83.72平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,68,"8,123元/平"
青岛路 海滨路 侨乡大润发 侨乡C座 东南向 三室两卫,侨乡城市广场一期 -竹岛,3室2厅 | 161平米 | 东南 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 3天以前发布,165,"10,249元/平"
杏花村居民小区 2室1厅 南 北,杏花村居民小区 -环翠楼,2室1厅 | 75平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,61,"8,134元/平"
鲸园十堰一楼带小院老三居户型带草厦子简装,建设西街 -市政府,3室1厅 | 62平米 | 南 北 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 2天以前发布,83.8,"13,517元/平"
市里樱花小区好位置中楼层好户型,樱花小区 -环翠楼,3室2厅 | 108.12平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,108,"9,989元/平"
紫苑明居 小高层 带电梯 出售,紫苑名居 -市政府,3室2厅 | 160.78平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,2人关注 / 1个月以前发布,255,"15,861元/平"
户型是南北朝向 视野无遮挡 采光以及通风好看房方便,建设街 -市政府,3室2厅 | 112.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,98.8,"8,767元/平"
大福源商圈.生活配套设施完善好楼层，无坡,梦海苑 -竹岛,3室2厅 | 95.73平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,104.1,"10,875元/平"
望岛名郡带露台，望岛x校，满五唯一，万达商圈无抵押,望岛名郡 -望岛,3室1厅 | 97.75平米 | 南 西 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,118,"12,072元/平"
此房西边户南北通透格局好，楼层视野宽阔，采光充足,卧龙花园 -昌鸿,3室2厅 | 95.53平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,72.8,"7,621元/平"
华夏中南华夏熙悦精装修10楼三室两厅两卫采光很好,中南华夏熙悦 -华夏,3室2厅 | 118.12平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 11天以前发布,147,"12,445元/平"
新都海源丽都西区 精装修三室两卫,海源丽都 -凤林&宋家洼,3室2厅 | 149.7平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 13天以前发布,165,"11,023元/平"
华夏玉兰花园精装修 洋房 带家具家电 拎包入住,玉兰花园 -华夏,3室2厅 | 109平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 11天以前发布,120,"11,010元/平"
园中园南面，北竹岛生活小区，好楼层3楼，两个阳台，,竹岛路小区 -竹岛,3室2厅 | 82平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,19人关注 / 一年前发布,73,"8,903元/平"
戚家夼小区。好位置无坡，生活交通便利，视野采光好，,戚家夼社区 -竹岛,3室1厅 | 73平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,66,"9,042元/平"
