标题,开发商,房子信息,发布信息,售价/万,单价
三开间朝南双阳台纯边套居住舒适,水岸家园 -义乌市,3室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,15人关注 / 5个月以前发布,157.9,"11,120元/平"
万家风华，带车位，采光无遮挡，价格便宜，诚心出售,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 18天以前发布,268,"27,071元/平"
万家风华，带双车位，小区中间位置，不靠马路南北通透,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 18天以前发布,330,"33,334元/平"
万家风华，边套，带车位，位置好，楼层高，大落地窗,滨江金地·万家风华 -稠城,4室2厅 | 115平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 暂无数据,0人关注 / 18天以前发布,378,"32,870元/平"
江东中路，高楼层，繁华地段，交通生活便利，明年上学,江东中路 -江东,2室1厅 | 66.96平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,168,"25,090元/平"
滨江金地·万家风华 3室2厅 南,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,298,"30,102元/平"
万家风华，带双车位，小区中间位置，高楼层，视野开阔,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 2个月以前发布,340,"34,344元/平"
万家风华，带双车位，位置好，远离马路，南北通透急卖,滨江金地·万家风华 -稠城,3室2厅 | 99.8平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,330,"33,067元/平"
万家风华，边套朝小区，带车位，房东诚心出售，位置好,滨江金地·万家风华 -稠城,4室2厅 | 116平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 暂无数据,0人关注 / 2个月以前发布,380,"32,759元/平"
梅湖公馆，东边套，大四房，四个大阳台，带车位，急卖,梅湖国际公馆 -江东,4室2厅 | 197平米 | 南 北 | 简装 | 高楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,530,"26,904元/平"
卿悦府西区，精装修，带大露台，边套，三面采光，急卖,卿悦府西区 -稠城,4室2厅 | 144平米 | 南 北 | 精装 | 低楼层(共22层)  | 暂无数据,0人关注 / 5个月以前发布,648,"45,000元/平"
万家风华，朝小区，边套，带车位，高楼层，远离马路,滨江金地·万家风华 -稠城,4室2厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,410,"32,032元/平"
锦绣之城，毛坯，位置好，三室，大阳台，诚心出售,滨江锦绣之城 -稠城,3室2厅 | 96平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 6个月以前发布,355,"36,980元/平"
锦绣之城，边套，带车位，户型好，大阳台，诚心出售,滨江锦绣之城 -稠城,4室2厅 | 144.73平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 7个月以前发布,568,"39,246元/平"
万家风华，高楼层，带车位，不靠国贸，视野开阔，急卖,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,320,"32,324元/平"
出售城西万商华府精装修商品房看房方便密码锁,万商华府 -城西,3室2厅 | 154平米 | 南 | 精装 | 低楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,232,"15,065元/平"
适合白领居住 国际商贸城边上 拎包入住,恒丰嘉恒公寓 -稠城,1室1厅 | 45平米 | 南 | 简装 | 低楼层(共12层)  | 板楼,0人关注 / 5个月以前发布,105,"23,334元/平"
锦绣之城，边套，装修一半，带车位，楼层好，位置好,滨江锦绣之城 -稠城,4室2厅 | 144平米 | 南 北 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 6个月以前发布,580,"40,278元/平"
福田金茂府 3室2厅 南,福田金茂府 -福田,3室2厅 | 117平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 4个月以前发布,385,"32,906元/平"
荷塘月色 高层看幸福湖 毛坯带车位  满两年,荷塘月色 -义乌市,3室2厅 | 158平米 | 南 东南 | 其他 | 中楼层(共35层)  | 板楼,1人关注 / 10个月以前发布,420,"26,583元/平"
东望文华，开元街高楼层，两室小户型，户型方正通透。,东望文华 -廿三里,2室2厅 | 76平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,1人关注 / 1个月以前发布,150,"19,737元/平"
东望文华，96平高楼层，CBD区域，带两个车位，诚心卖,东望文华 -廿三里,3室2厅 | 96平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,198,"20,625元/平"
商博花园，毛坯，带车位，楼层高，大阳台，视野开阔,望府中央城C区 -江东,3室2厅 | 141平米 | 南 | 其他 | 中楼层(共28层)  | 暂无数据,1人关注 / 5个月以前发布,360,"25,532元/平"
廿三里东望文华，76小户型，高楼层，生活方便居住舒适,东望文华 -廿三里,2室2厅 | 76平米 | 南 | 其他 | 中楼层(共27层)  | 暂无数据,1人关注 / 1个月以前发布,158,"20,790元/平"
万家风华，高楼层，带车位，小区中间位置，诚心出售,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,345,"34,849元/平"
万家风华，带双车位，南北通透，大阳台，小区中间,滨江金地·万家风华 -稠城,4室2厅 | 115平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 暂无数据,1人关注 / 1个月以前发布,358,"31,131元/平"
万家风华，高楼层，带车位，位置好远离马路，安静舒适,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,335,"33,839元/平"
万家风华，边套，带车位，南北通透，大阳台，不靠马路,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,330,"33,334元/平"
解放新苑，边套，精装修，带车位，义乌之心50米距离,解放新苑 -稠城,3室2厅 | 160平米 | 南 北 | 精装 | 高楼层(共28层)  | 平房,1人关注 / 7个月以前发布,650,"40,625元/平"
锦绣之城，南北通透，带车位，四房，全明户型，不靠路,滨江锦绣之城 -稠城,4室2厅 | 130平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 7个月以前发布,510,"39,231元/平"
万家风华，边套带双车位，大阳台，大落地窗，不靠马路,滨江金地·万家风华 -稠城,4室2厅 | 119平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 暂无数据,0人关注 / 1个月以前发布,425,"35,715元/平"
新青年广场 3室2厅 东,新青年广场 -江东,3室2厅 | 60.99平米 | 东 | 精装 | 中楼层(共4层)  | 板塔结合,88人关注 / 一年前发布,128,"20,988元/平"
壹号院，东边套，带车位，大阳台，户型好，不靠路,义务壹号院庆云二区 -稠城,4室2厅 | 150平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 2个月以前发布,750,"50,000元/平"
边套，大户型，小区中间位置，不靠马路，安静舒适，,滨江锦绣之城 -稠城,5室2厅 | 168平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 平房,0人关注 / 7个月以前发布,750,"44,643元/平"
万家风华，边套，朝小区，带双车位，小区中间位置急卖,滨江金地·万家风华 -稠城,4室2厅 | 128平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,430,"33,594元/平"
万家风华，边套，带双车位，小区中间位置，诚心出售,滨江金地·万家风华 -稠城,4室2厅 | 128平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 1个月以前发布,430,"33,594元/平"
绿城桃花园下叠，边套，花园100平，三层使用，半装修,绿城桃花源 -江东,5室2厅 | 202.86平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,998,"49,197元/平"
福田金茂府，6号楼栋好。168平大户东边套，视野很好,福田金茂府 -福田,4室2厅 | 168平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 4个月以前发布,550,"32,739元/平"
出售佛堂古街旁清韵里三室两厅带车位精装修朝南,清韵里小区 -佛堂,3室2厅 | 140平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,220,"15,715元/平"
中厦国际广场88平中楼层房东急售,中厦国际广场 -稠城,3室2厅 | 88平米 | 南 | 毛坯 | 中楼层(共15层)  | 暂无数据,2人关注 / 一年前发布,348,"39,546元/平"
绣川府，东边套，户型好，南北通透，可以看绣湖全景,建投•绣川府 -稠城,4室2厅 | 133平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,550,"41,354元/平"
万家风华，边套，带双车位，不靠国贸，小区中间位置,滨江金地·万家风华 -稠城,4室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,438,"33,693元/平"
万家风华，高楼层，视野开阔，大阳台，带车位，诚心卖,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,303,"30,607元/平"
万家风华，高楼层，总价低，带车位，位置好，大阳台，,滨江金地·万家风华 -稠城,3室2厅 | 99.8平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,303,"30,361元/平"
精装 带车位 凤凰层 满二 带阁楼 户型好 采光充足,菊园 -稠城,4室2厅 | 125平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,430,"34,400元/平"
北苑和聚园 175平 大3房 精装修 带车位 满2年,和聚园 -北苑,4室2厅 | 175平米 | 南 | 精装 | 高楼层(共15层)  | 暂无数据,0人关注 / 一年前发布,470,"26,858元/平"
恒安里 150平 精装修  满二 带车位 看房提前联系,恒安里 -佛堂,3室2厅 | 150平米 | 东南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,289,"19,267元/平"
北苑丹桂园，三楼好楼层，157平跑马客厅大三房。,丹溪三区丹桂苑 -北苑,3室2厅 | 157平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,362,"23,058元/平"
文化府，边套，没占用，带车位，大四房，双阳台，急卖,建投文华府 -北苑,4室2厅 | 166平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 6个月以前发布,600,"36,145元/平"
绣川府，带车位，带露台，南北通透，位置好，急卖，,建投•绣川府 -稠城,4室2厅 | 147平米 | 南 北 | 毛坯 | 低楼层(共14层)  | 暂无数据,0人关注 / 2个月以前发布,615,"41,837元/平"
出售佛堂宝龙广场旁吴溪里三室两厅带车位纯毛坯现房,吴溪里 -佛堂,3室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,190,"17,593元/平"
解放新苑 4室2厅 南 北,解放新苑 -稠城,4室2厅 | 160平米 | 南 北 | 精装 | 中楼层(共28层)  | 平房,0人关注 / 4个月以前发布,628,"39,250元/平"
中梁金地西江悦府 3室2厅 东南,中梁金地西江悦府 -稠江,3室2厅 | 125平米 | 东南 | 毛坯 | 高楼层(共25层)  | 暂无数据,1人关注 / 2个月以前发布,325,"26,000元/平"
万家风华，边套，南北通透，带车位，不靠路，位置好,滨江金地·万家风华 -稠城,4室2厅 | 128平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 暂无数据,1人关注 / 1个月以前发布,338,"26,407元/平"
出售龙海家园三室两厅边套双阳台带车位毛坯朝江稠府旁,建投龙海家园 -稠江,3室2厅 | 111平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,210,"18,919元/平"
万家风华，边套，带车位，位置好，大阳台，视野开阔,滨江金地·万家风华 -稠城,4室2厅 | 120.17平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 暂无数据,0人关注 / 2个月以前发布,368,"30,624元/平"
壹号院，东边套，带车位，高楼层，视野开阔，诚心出售,义务壹号院庆云二区 -稠城,4室2厅 | 150平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 暂无数据,0人关注 / 2个月以前发布,760,"50,667元/平"
欧式独栋别墅，使用面积大，四个车位，四个大花园急卖,西景悦府 -义乌市,9室5厅 | 945平米 | 南 北 | 毛坯 | 3层  | 暂无数据 | 独栋别墅 ,2人关注 / 一年前发布,1500,"15,874元/平"
出售万达旁西江悦府洋房楼栋四室两厅两卫毛坯朝别墅区,中梁金地西江悦府 -稠江,4室2厅 | 139平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,415,"29,857元/平"
小区环境优美  户型方正  交通方便 你值得拥有,卿悦府东区 -稠城,3室2厅 | 130平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,595,"45,770元/平"
万家风华，边套朝小区，带车位，南北通透，大阳台急卖,滨江金地·万家风华 -稠城,4室2厅 | 119平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,320,"26,891元/平"
绣川府，大平层，边套，带车位，小区中间位置诚心急卖,建投•绣川府 -稠城,5室2厅 | 180平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 暂无数据,0人关注 / 2个月以前发布,750,"41,667元/平"
锦绣之城，带露台，精装修，带双车位带中，央空调地暖,滨江锦绣之城 -稠城,3室2厅 | 144平米 | 南 北 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,545,"37,848元/平"
义务壹号院庆云二区 4室2厅 南 北,义务壹号院庆云二区 -稠城,4室2厅 | 150平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 2个月以前发布,730,"48,667元/平"
万家风华，带车位，小区中间位置，不靠路，诚心出售,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 暂无数据,0人关注 / 1个月以前发布,330,"33,334元/平"
壹号院大平层，中间套，户型好，南北通透，位置好,义务壹号院庆云二区 -稠城,6室2厅 | 262平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 暂无数据,0人关注 / 1个月以前发布,1100,"41,985元/平"
锦绣之城，边套，带车位，位置好，不靠马路，诚心卖,滨江锦绣之城 -稠城,4室2厅 | 144平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,1人关注 / 6个月以前发布,495,"34,375元/平"
万家风华，高楼层，带车位，不靠国贸，位置好，急卖,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,300,"30,304元/平"
东边套，精装修，带双车位，加储藏室，位置好楼层高,浙铁绿城玫瑰园 -稠江,3室2厅 | 159平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,3人关注 / 7个月以前发布,600,"37,736元/平"
东边套，带车位，大阳台，户型南北通透，远离喧嚣马路,滨江锦绣之城 -稠城,4室2厅 | 135平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,490,"36,297元/平"
小区环境优美，采光好，户型方正，居住适宜,滨江金地·万家风华 -稠城,4室2厅 | 117平米 | 南 | 其他 | 低楼层(共21层)  | 暂无数据,0人关注 / 2个月以前发布,385,"32,906元/平"
出售佛堂宝龙广场旁电梯房封闭小区三室两厅带车位精装,恒安里 -佛堂,3室2厅 | 150平米 | 东南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,238,"15,867元/平"
万商华府 双排 毛坯 可更名 节省税费 带车位 不靠路,万商华府 -城西,4室2厅 | 330平米 | 北 南 | 毛坯 | 4层  | 暂无数据 | 独栋别墅 ,2人关注 / 一年前发布,610,"18,485元/平"
世贸  精装 中等楼层复式楼 70年住宅 带车位,世贸中心 -福田,2室2厅 | 142平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,4人关注 / 一年前发布,499,"35,141元/平"
锦都豪苑 4室2厅 东 南 北,锦都豪苑 -义乌市,4室2厅 | 178平米 | 东 南 北 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,480,"26,967元/平"
新城吾悦广场 3室2厅 东南,新城吾悦广场 -江东,3室2厅 | 156平米 | 东南 | 其他 | 低楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,380,"24,359元/平"
滨江金地·万家风华 4室2厅 南,滨江金地·万家风华 -稠城,4室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,398,"34,609元/平"
嘉和公寓(义乌市) 3室2厅 北,嘉和公寓(义乌市) -北苑,3室2厅 | 94.5平米 | 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,305,"32,276元/平"
现代花园 4室2厅 南 西 北,现代花园 -北苑,4室2厅 | 157.24平米 | 南 西 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,388,"24,676元/平"
义乌市心高品质楼盘壹号院向阳二区高楼层边套,义乌壹号院向阳二区 -稠城,3室2厅 | 102平米 | 南 西 北 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,525,"51,471元/平"
户型方正 通风采光都很好 配套齐全,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 东南 | 其他 | 低楼层(共24层)  | 暂无数据,1人关注 / 4个月以前发布,310,"31,314元/平"
荷塘月色，边套，大户型，带车位，小区中间位置，急卖,荷塘月色 -义乌市,5室2厅 | 242.99平米 | 南 北 | 其他 | 低楼层(共35层)  | 板楼,0人关注 / 6个月以前发布,500,"20,577元/平"
万达单身公寓，拎包入住，采光好,万达SOHO公寓 -稠江,1室1厅 | 55平米 | 南 北 | 其他 | 高楼层(共35层)  | 暂无数据,0人关注 / 10天以前发布,90,"16,364元/平"
万家风华，高楼层，位置好，诚心出售，户型好，大阳台,滨江金地·万家风华 -稠城,2室2厅 | 78平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,1人关注 / 2个月以前发布,235,"30,129元/平"
万家风华，中间位置，高楼层，带车位，前后视野开阔,滨江金地·万家风华 -稠城,2室2厅 | 78平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,265,"33,975元/平"
万家风华，带车位，低楼层，位置好，不靠马路，急卖,滨江金地·万家风华 -稠城,2室2厅 | 78平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,238,"30,513元/平"
万家风华，高楼层，带车位，不靠国贸，视野开阔急卖,滨江金地·万家风华 -稠城,2室1厅 | 78平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,255,"32,693元/平"
北苑 和聚园小区 小面积精装修 看房方便,和聚园 -北苑,2室2厅 | 72平米 | 东南 南 | 精装 | 高楼层(共15层)  | 暂无数据,0人关注 / 8个月以前发布,238,"33,056元/平"
壹号院，带车位，高层江景房，没占用，随时过户急卖,义乌壹号院庆云一区 -稠城,2室2厅 | 78平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,1人关注 / 4个月以前发布,375,"48,077元/平"
新上和聚园精装三房，真边套，拎包入住保养好。,和聚园 -北苑,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共15层)  | 暂无数据,0人关注 / 3个月以前发布,305,"29,048元/平"
城市花园，东边套，满二年，不靠马路，没占用，急卖,现代城市花园四季五区 -北苑,2室1厅 | 65平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,0人关注 / 6个月以前发布,175,"26,924元/平"
壹号院，带车位，位置好，诚心出售，没占用，大阳台,义乌壹号院庆云一区 -稠城,2室1厅 | 78平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 暂无数据,2人关注 / 4个月以前发布,375,"48,077元/平"
万家风华，高楼层，视野开阔，南北通透，大阳台，急卖,滨江金地·万家风华 -稠城,2室1厅 | 78平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,239,"30,642元/平"
都会家园 百变毛坯 边套带车位 全明户型 采光诀佳,都会家园 -佛堂,4室2厅 | 136.7平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 4天以前发布,240,"17,557元/平"
：现代风格装修，家具家电齐全，可以拎包入住,外贸大厦 -稠城,1室1厅 | 28.67平米 | 南 | 精装 | 低楼层(共7层)  | 平房,0人关注 / 一年前发布,112,"39,066元/平"
出售现代公寓正朝南户型两室两卫精装修高楼层,现代公寓 -稠城,2室2厅 | 58平米 | 南 | 其他 | 高楼层(共19层)  | 暂无数据,0人关注 / 1个月以前发布,175,"30,173元/平"
万家风华，高楼层，带车位，不靠马路，大阳台户型急卖,滨江金地·万家风华 -稠城,2室2厅 | 78平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,205,"26,283元/平"
经贝家园东区 2室2厅 东南,经贝家园东区 -稠江,2室2厅 | 64平米 | 东南 | 其他 | 高楼层(共15层)  | 暂无数据,0人关注 / 2个月以前发布,225,"35,157元/平"
香溪裕园 3室2厅 南,香溪裕园 -义乌市,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共10层)  | 暂无数据,0人关注 / 3个月以前发布,225,"21,227元/平"
顶楼复式大面积毛坯房可任意改造,恒安里 -佛堂,5室2厅 | 234.7平米 | 南 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 7个月以前发布,500,"21,304元/平"
金城高尔夫二区，176平大平层，东边套采光好中间楼层,金城高尔夫二区 -后宅,4室2厅 | 176.49平米 | 南 | 其他 | 中楼层(共14层)  | 暂无数据,1人关注 / 8个月以前发布,370,"20,965元/平"
中厦国际，没占用，满二年，三室，大阳台急卖，楼层好,中厦国际广场 -稠城,3室2厅 | 87平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,315,"36,207元/平"
CBD区域 义乌江看江景房 70年大产权 景观壮观 大平层,世贸中心 -福田,3室1厅 | 224.53平米 | 南 北 | 毛坯 | 高楼层(共57层)  | 暂无数据,0人关注 / 1个月以前发布,950,"42,311元/平"
万达SOHO公寓 1室1厅 南,万达SOHO公寓 -稠江,1室1厅 | 49平米 | 南 | 其他 | 中楼层(共35层)  | 暂无数据,0人关注 / 2天以前发布,75,"15,307元/平"
福田金茂府 4室2厅 南,福田金茂府 -福田,4室2厅 | 168平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 5天以前发布,570,"33,929元/平"
满二，楼层好，接地气，通风好，未占用，,和聚园 -北苑,2室2厅 | 73平米 | 东南 | 精装 | 低楼层(共15层)  | 暂无数据,5人关注 / 8个月以前发布,188,"25,754元/平"
涌金广场 1室1厅 南,涌金广场 -江东,1室1厅 | 45平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,127,"28,223元/平"
房子前方无任何遮挡，户型方正，三开间朝南。。。。。,吴溪里 -佛堂,3室2厅 | 105.21平米 | 南 | 毛坯 | 高楼层(共15层)  | 平房,1人关注 / 9个月以前发布,218,"20,721元/平"
金华义乌北苑，2017年绿城—和聚园。人车分流,和聚园 -北苑,3室2厅 | 140.38平米 | 南 | 精装 | 高楼层(共15层)  | 暂无数据,0人关注 / 8个月以前发布,410,"29,207元/平"
北苑花园小区国际村楼中楼精装户型4居室带车库,东方国际村 -北苑,4室2厅 | 200.26平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,399,"19,925元/平"
江东花园小区 精装3房 出让金交过 满2年税费省,秋萍苑 -江东,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,245,"20,763元/平"
和聚园不能错过的房子！175平毛胚!单价22000！,和聚园 -北苑,4室2厅 | 175.15平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,1人关注 / 5个月以前发布,380,"21,696元/平"
好位置 和聚园175.5 平房东出国急卖,和聚园 -北苑,4室2厅 | 175.5平米 | 南 西 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 3个月以前发布,410,"23,362元/平"
出售秦塘旁阳光小区三室两厅精装修未占用,阳光小区 -稠城,3室1厅 | 79平米 | 南 | 精装 | 高楼层(共4层)  | 板塔结合,0人关注 / 1个月以前发布,282,"35,697元/平"
好房推荐，地段好，楼层好，采光好,建投•绣川府 -稠城,4室2厅 | 160平米 | 南 | 毛坯 | 中楼层(共13层)  | 暂无数据,0人关注 / 1个月以前发布,698,"43,625元/平"
西景悦府 大三房，136平精装修，楼层好，采光好带车位,西景悦府 -义乌市,3室2厅 | 136平米 | 南 | 精装 | 低楼层(共20层)  | 暂无数据,0人关注 / 31天以前发布,288,"21,177元/平"
户型方正 通风采光都很好 配套齐全,绣湖家园 -稠城,4室2厅 | 260.95平米 | 东南 | 其他 | 中楼层(共22层)  | 板塔结合,0人关注 / 一年前发布,1100,"42,154元/平"
垂直楼的房子 占地72平 有田有地的 可以种花种菜,柳青路 -北苑,5室3厅 | 435.54平米 | 东 | 其他 | 低楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,720,"16,532元/平"
得房率高，接地气采光好，业主诚意卖，看房提前预约！,商城嘉美广场 -北苑,3室2厅 | 86.71平米 | 南 | 毛坯 | 低楼层(共12层)  | 暂无数据,0人关注 / 7个月以前发布,308,"35,521元/平"
房子是垂直楼 有田有地的 位置好,宾王拉链街 -稠城,6室1厅 | 293.98平米 | 东南 | 其他 | 低楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,586,"19,934元/平"
金城高尔夫一区，自住装修，品质高 前后不遮住,金城高尔夫一区 -后宅,3室2厅 | 137平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,288,"21,022元/平"
通惠门小区南区 3室2厅 南,通惠门小区南区 -稠城,3室2厅 | 143平米 | 南 | 简装 | 高楼层(共23层)  | 板楼,0人关注 / 12天以前发布,560,"39,161元/平"
万固地产都会家园 毛坯 89平 带车位 中楼层,万固地产都会家园 -佛堂,3室2厅 | 89.22平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,1人关注 / 4个月以前发布,175,"19,615元/平"
稠江精致两居室，双朝南户型方正，视野开阔,义乌壹号院庆云一区 -稠城,2室1厅 | 78平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 8个月以前发布,415,"53,206元/平"
高楼层，平层，精装修，户型方正，视野好，,朝阳门一区 -稠城,4室2厅 | 185平米 | 南 北 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,1000,"54,055元/平"
此房低楼层带车位装修35万很好房东自住,和聚园 -北苑,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共15层)  | 暂无数据,0人关注 / 6个月以前发布,298,"28,381元/平"
中间楼层 小区环境优美 生活方便 房子旁边 无遮挡,东方银座 -江东,3室2厅 | 39.11平米 | 东南 南 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 7个月以前发布,169,"43,212元/平"
紫竹院纯毛坯全新未改动，两个车库，房间多，诚心出售,紫竹苑 -苏溪,7室3厅 | 290平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,2人关注 / 一年前发布,450,"15,518元/平"
