标题,开发商,房子信息,发布信息,售价/万,单价
四季园著经典小两房格局好，配套设施齐..,荣成四季园著 -一七五,2室1厅 | 48.66平米 | 西 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 17天以前发布,68.6,"14,098元/平"
福海阳光 3室2厅 南 北,福海阳光 -一七五,3室2厅 | 124平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 25天以前发布,158.8,"12,807元/平"
国企品质花园小区  国贸润园  三房两厅两卫  中楼层,漳州国贸润园 -闽南水乡,3室2厅 | 101.64平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 30天以前发布,164,"16,136元/平"
招商花园城装修三房南北通透业主急卖,招商花园城 -招商大道,3室2厅 | 91平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 24天以前发布,93.9,"10,319元/平"
此房户型方正，高楼层视野开阔，看房方便。,翼特丽景城 -蓝田宝龙商圈,2室1厅 | 78.77平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 29天以前发布,92.07,"11,689元/平"
阳光城二期   3房  2厅  1厨  2卫,阳光城凡尔赛宫二期 -角美台商投资区,3室2厅 | 89.5平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,117,"13,073元/平"
刚需78平三房，无浪费空间，看中庭，采光好。,保利世茂璀璨滨江 -闽南水乡,3室1厅 | 77.78平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 24天以前发布,113.5,"14,593元/平"
此房源三面采光 采光通风很好 宜居楼层,建发央著 -碧湖万达,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 25天以前发布,269.5,"22,459元/平"
此房满五年， 价格便宜 采光充足。,湖内新村 -市政府,3室2厅 | 80.49平米 | 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,58.8,"7,306元/平"
龙池菁英花园，户型好，南北通透，居住舒适,菁英花园 -龙池开发区,3室2厅 | 85.98平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 29天以前发布,96.6,"11,236元/平"
龙宝花园1线看江大四房 中山桥 地段好江景房,龙宝花园 -市政府,5室2厅 | 216.5平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 22天以前发布,617,"28,499元/平"
闽南水乡旁 碧湖圈 锦绣碧湖D区 4房 头排视野yyds,特房锦绣碧湖 -碧湖万达,4室2厅 | 168平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 20天以前发布,410,"24,405元/平"
漳州港开发区 静海湾 湖景山景精装三房,静海湾 -南滨大道,3室2厅 | 90.37平米 | 东南 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 26天以前发布,75,"8,300元/平"
团结新苑 3室1厅 南 北,团结新苑 -市政府,3室1厅 | 104.82平米 | 南 北 | 简装 | 高楼层(共19层)  | 板楼,0人关注 / 18天以前发布,141.5,"13,500元/平"
团结新苑 3室1厅 南 北,团结新苑 -市政府,3室1厅 | 104.82平米 | 南 北 | 简装 | 高楼层(共19层)  | 板楼,0人关注 / 18天以前发布,141.5,"13,500元/平"
漳州港开发区 静海湾 湖景山景精装三房,静海湾 -南滨大道,3室2厅 | 90.37平米 | 东南 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 26天以前发布,75,"8,300元/平"
龙宝花园1线看江大四房 中山桥 地段好江景房,龙宝花园 -市政府,5室2厅 | 216.5平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 22天以前发布,617,"28,499元/平"
闽南水乡旁 碧湖圈 锦绣碧湖D区 4房 头排视野yyds,特房锦绣碧湖 -碧湖万达,4室2厅 | 168平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 20天以前发布,410,"24,405元/平"
此房源三面采光 采光通风很好 宜居楼层,建发央著 -碧湖万达,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 25天以前发布,269.5,"22,459元/平"
中高楼东边套看小区中庭，产权在手可正常首付。,中骏四季阳光一期 -角美台商投资区,3室2厅 | 111.76平米 | 东南 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 29天以前发布,169,"15,122元/平"
君悦黄 金海岸海景三房视野好景观好房东急卖,君悦黄金海岸 -南滨大道,3室2厅 | 89.82平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 21天以前发布,86,"9,575元/平"
融信观山海 3室1厅 南,融信观山海 -南滨大道,3室1厅 | 121.08平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 24天以前发布,95,"7,847元/平"
碧湖建发边 万达中央华城 三房 一排 边套 南北,万达中央华城 -碧湖万达,3室2厅 | 128.25平米 | 南 东北 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 19天以前发布,188,"14,659元/平"
房子楼层好，采光充足，屋子里空气流通。,怡港花园城 -港尾镇,2室1厅 | 89平米 | 东南 | 简装 | 中楼层(共12层)  | 板楼,0人关注 / 20天以前发布,55,"6,180元/平"
联丰浩苑 3室1厅 南,联丰浩苑 -人民广场,3室1厅 | 120平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 31天以前发布,105.6,"8,800元/平"
万达商圈 融都新界 户型方正 视野开阔,融都新界 -碧湖万达,3室2厅 | 132.89平米 | 南 北 | 毛坯 | 中楼层(共15层)  | 板楼,0人关注 / 28天以前发布,169,"12,718元/平"
新交付D区，一线江景房，业主熟悉，欢迎咨询,特房锦绣碧湖 -碧湖万达,3室2厅 | 104平米 | 东 南 | 精装 | 低楼层(共43层)  | 板楼,0人关注 / 22天以前发布,195.52,"18,800元/平"
急售悦珑庄高楼层边套，南北朝向，业主低于原购价出售,悦珑庄 -福隆城商圈,3室2厅 | 119.25平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 平房,0人关注 / 24天以前发布,142,"11,908元/平"
高楼层，采光通风好，视野无遮挡，可看九龙江,一品江山二期 -湘桥湖周边,3室2厅 | 124.46平米 | 南 北 | 简装 | 中楼层(共40层)  | 板楼,0人关注 / 16天以前发布,161,"12,936元/平"
户型方正，满五唯一，配套齐全，交通便利,榕御花园 -南滨大道,2室1厅 | 95.38平米 | 南 | 其他 | 低楼层(共16层)  | 塔楼,0人关注 / 26天以前发布,85,"8,912元/平"
印华南滨豪庭 价格优惠 楼层好,印华南滨豪庭 -南滨大道,3室1厅 | 86.31平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 31天以前发布,73,"8,458元/平"
高层自住精装三房，明厨明卫看江视野开阔！,一品江山二期 -湘桥湖周边,3室1厅 | 128.58平米 | 东南 南 | 精装 | 中楼层(共40层)  | 板楼,0人关注 / 16天以前发布,167.4,"13,020元/平"
毛坯，好楼层，户型方方正正，全明、通透，安静舒适。,毅达阳光(福晟钱隆学府一期) -蓝田宝龙商圈,4室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 24天以前发布,100.5,"8,040元/平"
钱隆学府卓 越小区3房2厅2卫毛坯高层,福晟钱隆学府卓越小区 -福隆城商圈,3室2厅 | 116.26平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 19天以前发布,125,"10,752元/平"
禹洲城上城 3室2厅 南,禹洲城上城 -一七五,3室2厅 | 105.71平米 | 南 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 29天以前发布,145,"13,717元/平"
家乡0596   3室2厅2卫  东边套,家芗0596 -中医院,3室2厅 | 128.84平米 | 南 北 | 简装 | 低楼层(共27层)  | 板楼,0人关注 / 25天以前发布,173.93,"13,500元/平"
江滨双玺 3室2厅 南 北,江滨双玺 -江滨,3室2厅 | 143.28平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 28天以前发布,200.59,"14,000元/平"
东湖大厦，大户型，业主急售，低于行情价,东湖大厦 -一七五,4室2厅 | 154平米 | 南 北 | 精装 | 中楼层(共19层)  | 塔楼,0人关注 / 29天以前发布,184.8,"12,000元/平"
双菱新村 3室2厅 南,双菱新村 -一七五,3室2厅 | 83.24平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 26天以前发布,58,"6,968元/平"
招商依山海 3室2厅 南 北,招商依山海 -招商大道,3室2厅 | 133平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 20天以前发布,117,"8,797元/平"
永鸿国际城小三房，房东自住装修,永鸿国际城 -金峰,3室2厅 | 87平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 29天以前发布,108,"12,414元/平"
优质精装房源 永鸿国际城 4房 中高楼层,永鸿国际城 -金峰,4室1厅 | 134平米 | 东 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 25天以前发布,155,"11,568元/平"
厦门西 圣 地亚哥建发品质 大三房采光好.,圣地亚哥 -龙池开发区,3室1厅 | 142平米 | 南 西 北 | 简装 | 18层  | 板楼,1人关注 / 27天以前发布,159,"11,198元/平"
钱隆北区现房，三房二+一，视野楼层都很好，诚意出售,漳浦钱隆首府北区 -漳浦江滨,3室2厅 | 87.49平米 | 东南 | 毛坯 | 高楼层(共27层)  | 平房,0人关注 / 23天以前发布,65,"7,430元/平"
国贸珑溪大观 4室2厅 南,国贸珑溪大观 -湘桥湖周边,4室2厅 | 121.4平米 | 南 | 毛坯 | 33层  | 板楼,0人关注 / 20天以前发布,206.5,"17,010元/平"
御盛花园 5室2厅 南,御盛花园 -龙池开发区,5室2厅 | 224平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 15天以前发布,145,"6,474元/平"
融信壹号府边套复式，看上美湖。,融信壹号府 -人民广场,4室2厅 | 118平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 16天以前发布,167.56,"14,200元/平"
江畔尊邸 3室2厅 南 北,江畔尊邸 -江滨,3室2厅 | 160平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,0人关注 / 19天以前发布,192,"12,000元/平"
桂溪名都大厦 3室2厅 东 东南 南,桂溪名都大厦 -碧湖万达,3室2厅 | 150.81平米 | 东 东南 南 | 其他 | 中楼层(共28层)  | 板塔结合,4人关注 / 一年前发布,146.2,"9,695元/平"
小区环境优雅，配套成熟，交通便利，居住舒适,万星嘉和时代 -角美台商投资区,3室2厅 | 119.74平米 | 南 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,140,"11,692元/平"
厦门西圣 地亚哥 精装大三房 南北通透,圣地亚哥 -龙池开发区,3室2厅 | 143平米 | 南 北 | 其他 | 12层  | 板楼,1人关注 / 一年前发布,200,"13,987元/平"
龙.欣杰座 精装修 拎包入住 视野开阔,龙欣杰座 -龙池开发区,2室2厅 | 78.68平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,6人关注 / 一年前发布,99,"12,583元/平"
南北朝向，楼层好，视野宽阔，采光充足，海景房,君悦黄金海岸 -南滨大道,3室2厅 | 89平米 | 东南 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,14人关注 / 一年前发布,86,"9,663元/平"
双鱼岛旁  出行方便   厦门湾一号,永鸿·厦门湾1号 -南滨大道,3室2厅 | 87.43平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,4人关注 / 一年前发布,84,"9,608元/平"
厦门西 联发欣悦华庭 配套齐全 南北通透格局 楼层好,联发欣悦华庭 -龙池开发区,3室2厅 | 96.61平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 板楼,6人关注 / 一年前发布,130,"13,457元/平"
角美成熟小区，朝小区小四房，利用率高,万星嘉和时代 -角美台商投资区,3室2厅 | 102.81平米 | 南 | 其他 | 低楼层(共28层)  | 板塔结合,0人关注 / 7个月以前发布,130,"12,645元/平"
业主急售，产权在手，交易流程便捷，签约随时。,万达中央华城1期 -角美台商投资区,3室1厅 | 98.84平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,1人关注 / 6个月以前发布,120,"12,141元/平"
漳州开发区  望海悦城  紧凑3房  诚意出售,望海悦城 -南滨大道,3室2厅 | 85平米 | 南 北 | 其他 | 低楼层(共31层)  | 塔楼,2人关注 / 6个月以前发布,119,"14,000元/平"
圣 地亚哥 花园式洋房 交通便利  视野好  采光好,圣地亚哥 -龙池开发区,3室2厅 | 126平米 | 南 | 其他 | 18层  | 板楼,4人关注 / 一年前发布,165,"13,096元/平"
华坤花园 电梯房  采光好 视野佳,华坤花园一期 -龙池开发区,3室2厅 | 118.57平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,3人关注 / 8个月以前发布,135,"11,386元/平"
联发 大四房 户型好 格局好 价格美丽,联发欣悦华庭 -龙池开发区,3室2厅 | 113.61平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,5人关注 / 一年前发布,128,"11,267元/平"
漳州开发区   融信西西里  中高楼层  业主急售,融信西西里 -南滨大道,3室1厅 | 90.29平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板塔结合,2人关注 / 一年前发布,75,"8,307元/平"
角美领秀御园 77平叁房，总价低，看房方便,领秀御园 -角美台商投资区,3室1厅 | 76.96平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,1人关注 / 3个月以前发布,100,"12,994元/平"
汇金置地卡卡公寓 边套两房视野宽阔 户型方正,汇金置地卡卡公寓 -角美台商投资区,2室1厅 | 47.11平米 | 西 | 其他 | 高楼层(共16层)  | 板楼,7人关注 / 一年前发布,42.5,"9,022元/平"
建发 圣 地亚哥大三房 三开间朝南.毛坯 改造性大,圣地亚哥 -龙池开发区,3室2厅 | 139.26平米 | 南 北 | 其他 | 12层  | 板楼,3人关注 / 8个月以前发布,160,"11,490元/平"
此房楼层好，视野宽阔，采光充足，配套设施齐全，满二,禹洲雍江府 -金峰,3室2厅 | 111平米 | 东南 | 其他 | 中楼层(共32层)  | 板楼,10人关注 / 11个月以前发布,174.5,"15,721元/平"
永鸿南岸户型方正高层视野广采光充足通透明厨卫,永鸿南岸二期 -南滨大道,3室2厅 | 90.42平米 | 东南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 8个月以前发布,97,"10,728元/平"
永鸿南岸高层视野广采光充足通透,永鸿南岸二期 -南滨大道,3室2厅 | 90.42平米 | 东南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 8个月以前发布,97,"10,728元/平"
看双鱼岛看海景没有公摊的好房黄  金海岸,君悦黄金海岸 -南滨大道,2室1厅 | 100平米 | 东 西 | 其他 | 高楼层(共32层)  | 板塔结合,1人关注 / 10个月以前发布,92,"9,200元/平"
中骏蓝湾香郡三期 3室3厅 西南,中骏蓝湾香郡三期 -湘桥湖周边,3室3厅 | 88.69平米 | 西南 | 其他 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,120.1,"13,542元/平"
此房满五唯一 电梯高层 精装两房全朝南 通风采光好,云龙海岸三期 -龙池开发区,2室1厅 | 81.01平米 | 北 | 其他 | 中楼层(共16层)  | 板塔结合,0人关注 / 7个月以前发布,106,"13,085元/平"
厦门西 中骏品质 边套南北通透大三房 户型方正 格局好,中骏四季阳光二期 -角美台商投资区,3室2厅 | 111.64平米 | 南 北 | 其他 | 低楼层(共32层)  | 板楼,1人关注 / 7个月以前发布,175,"15,676元/平"
角美美福一品  花园式小区  高层视野好  精装可入住,美福一品 -角美台商投资区,3室2厅 | 87.18平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,105,"12,045元/平"
小区环境好，地段好， 房子采光好， 格局佳,鸿源尚品 -龙池开发区,3室2厅 | 88.11平米 | 南 北 | 其他 | 高楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,118,"13,393元/平"
业主置换换房 电梯高层带装修 拎包入住省心省力,圣地亚哥 -龙池开发区,3室2厅 | 125.88平米 | 南 | 其他 | 18层  | 板楼,2人关注 / 11个月以前发布,169,"13,426元/平"
小区环境好，地段好， 房子采光好， 格局佳,鸿源尚品 -龙池开发区,3室2厅 | 88.11平米 | 南 北 | 其他 | 高楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,118,"13,393元/平"
云洞岩旁，三中旁，大三房，大景观阳台，无遮挡视野,荣昌东方广场 -湘桥湖周边,3室2厅 | 120.22平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,10人关注 / 一年前发布,112.5,"9,358元/平"
漳州港双鱼岛旁 高层伴山看海， 朝南户型 明厨明卫,永鸿·厦门湾1号 -南滨大道,2室2厅 | 71.85平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,70人关注 / 一年前发布,78,"10,856元/平"
碧湖公园旁   建发双玺  四房,建发碧湖双玺 -碧湖万达,4室2厅 | 140.81平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 一年前发布,363.2,"25,794元/平"
南北朝向，采光充足，通风好，配套成熟，业主诚意出售,南岸公馆 -招商大道,3室2厅 | 91.39平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,96,"10,505元/平"
万豪国际两梯两户一线江景南北通透三房两卫,万豪国际 -江滨,3室2厅 | 149.99平米 | 南 北 | 其他 | 高楼层(共20层)  | 板楼,1人关注 / 3个月以前发布,330,"22,002元/平"
碧桂园朝南户型三房，冬暖夏凉，好楼层，采光通风好。,漳浦碧桂园 -漳浦城东,3室2厅 | 106平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,83,"7,831元/平"
金峰片区    锦鸿西欧御景精装小4房出售,锦鸿西欧御景 -北斗工业区,4室2厅 | 106.22平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,2人关注 / 7个月以前发布,93.4,"8,794元/平"
业主自住装修   舒适楼层  产权清晰   大两房,信和御龙天下 -一七五,2室2厅 | 87.31平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,1人关注 / 7个月以前发布,130.8,"14,982元/平"
厦门西 湿地公园旁 77平南 北 三房,阳光城凡尔赛宫一期 -角美台商投资区,3室2厅 | 77.52平米 | 南 | 其他 | 33层  | 板塔结合,0人关注 / 9个月以前发布,103,"13,287元/平"
金冠花园南区3房1厅房东诚意出售,金冠花园南区 -一七五,3室1厅 | 71.95平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,68人关注 / 一年前发布,56,"7,784元/平"
双（10 ）学 角美 侨荣花园 电梯高层 精装修3房,侨荣大厦 -角美台商投资区,3室2厅 | 104平米 | 南 | 其他 | 高楼层(共16层)  | 板楼,0人关注 / 4个月以前发布,110,"10,577元/平"
花开富贵2房  毛坯房，采光好，1梯2户,花开富贵商业街 -漳浦城西,2室1厅 | 86.01平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,3人关注 / 一年前发布,33,"3,837元/平"
福晟钱隆樽品 3房好房出售 优质 有钥匙,福晟钱隆樽品1期 -福隆城商圈,3室2厅 | 99.63平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,108.6,"10,901元/平"
建坤花园 精装修三房 明厨明卫 边套采光好 楼层好,建坤花园 -龙池开发区,3室1厅 | 70.85平米 | 东北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,85,"11,998元/平"
海湾新城，东边套两房.两房两厅,福泰海湾新城 -招商大道,2室2厅 | 85平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 7个月以前发布,105,"12,353元/平"
蓝海国际 业主诚心出售 看世贸双子,蓝海国际 -招商大道,3室1厅 | 90.28平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,3人关注 / 一年前发布,92,"10,191元/平"
出售凤凰尚城四房  视野宽阔  采光充足  交通便利,凤凰尚城 -金峰,4室2厅 | 127.3平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 一年前发布,134,"10,527元/平"
漳州港融信半山云顶，养老居住很合适，小区绿化很高档,融信半山云顶 -招商大道,2室2厅 | 78平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 11个月以前发布,80,"10,257元/平"
江滨新城大三房 毛坯 户型佳 通风采光佳 随时可看房,江滨新城 -江滨,3室1厅 | 128.35平米 | 北 南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,180,"14,025元/平"
大三房 稀有毛坯房 自由装修 南北通透 大阳台 双免,圣地亚哥 -龙池开发区,3室2厅 | 143.72平米 | 南 北 | 毛坯 | 12层  | 板楼,9人关注 / 7个月以前发布,162.5,"11,307元/平"
边套 2房2厅2卫 南北通透 采光好 明厨明卫,瑞鑫佳园一期 -龙池开发区,2室2厅 | 86.78平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,83,"9,565元/平"
中骏蓝湾三期精致两房，精装修，看房随时，有钥匙,中骏蓝湾香郡三期 -湘桥湖周边,2室2厅 | 76.44平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 8个月以前发布,93,"12,167元/平"
招商假日365小区 满五唯一 高层精装修,招商假日365 -南滨大道,1室1厅 | 44平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 9个月以前发布,53,"12,046元/平"
电梯高层， 南北采光， 视野无遮挡，可看海,华坤花园二期 -龙池开发区,3室2厅 | 88.48平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 8个月以前发布,115,"12,998元/平"
漳州港港昌新苏格兰 正规小三房 满两年,港昌·新苏格兰 -南滨大道,3室2厅 | 87.28平米 | 南 | 毛坯 | 高楼层(共18层)  | 平房,0人关注 / 一年前发布,91.5,"10,484元/平"
融信西西里，风景怡人，满五唯一，业主急售,融信西西里 -南滨大道,2室1厅 | 79平米 | 南 | 毛坯 | 高楼层(共21层)  | 板塔结合,1人关注 / 11个月以前发布,61,"7,722元/平"
招商假日365小区 高楼层 看双鱼岛海景,招商假日365 -南滨大道,2室2厅 | 68.42平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,102.5,"14,981元/平"
漳州港，招商假日365，一房装修客厅带大阳台朝南户型,招商假日365 -南滨大道,1室1厅 | 57平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 7个月以前发布,63,"11,053元/平"
环境优美，采光性好，对望双鱼岛，交通便利,招商兰溪谷 -南滨大道,2室1厅 | 70.66平米 | 东南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,70,"9,907元/平"
招商假日365小区 满五唯一 高层精装修,招商假日365 -南滨大道,1室1厅 | 44平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 9个月以前发布,53,"12,046元/平"
中骏蓝湾三期精致两房，精装修，看房随时，有钥匙,中骏蓝湾香郡三期 -湘桥湖周边,2室2厅 | 76.44平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 8个月以前发布,93,"12,167元/平"
边套 2房2厅2卫 南北通透 采光好 明厨明卫,瑞鑫佳园一期 -龙池开发区,2室2厅 | 86.78平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,83,"9,565元/平"
融信西西里，风景怡人，满五唯一，业主急售,融信西西里 -南滨大道,2室1厅 | 79平米 | 南 | 毛坯 | 高楼层(共21层)  | 板塔结合,1人关注 / 11个月以前发布,61,"7,722元/平"
江滨新城大三房 毛坯 户型佳 通风采光佳 随时可看房,江滨新城 -江滨,3室1厅 | 128.35平米 | 北 南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,180,"14,025元/平"
招商假日365小区 高楼层 看双鱼岛海景,招商假日365 -南滨大道,2室2厅 | 68.42平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,102.5,"14,981元/平"
漳州港，招商假日365，一房装修客厅带大阳台朝南户型,招商假日365 -南滨大道,1室1厅 | 57平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 7个月以前发布,63,"11,053元/平"
华坤花园 好房子 精品小三房 业主诚意出售,华坤花园一期 -龙池开发区,2室1厅 | 85.85平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,85.8,"9,995元/平"
招商假日365小区高楼层 满五唯一 视野开阔,招商假日365 -南滨大道,3室2厅 | 88.54平米 | 西南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 9个月以前发布,99.5,"11,238元/平"
圣.地亚哥  花园式洋房 免两个点税费  视野好  采光好,圣地亚哥 -龙池开发区,3室2厅 | 125.96平米 | 南 北 | 其他 | 18层  | 板楼,7人关注 / 8个月以前发布,155,"12,306元/平"
电梯高层， 南北采光， 视野无遮挡，可看海,华坤花园二期 -龙池开发区,3室2厅 | 88.48平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 8个月以前发布,115,"12,998元/平"
漳州港港昌新苏格兰 正规小三房 满两年,港昌·新苏格兰 -南滨大道,3室2厅 | 87.28平米 | 南 | 毛坯 | 高楼层(共18层)  | 平房,0人关注 / 一年前发布,91.5,"10,484元/平"
双商圈 城中 心 自住三房 满五唯一,新行街 -沃尔玛,3室2厅 | 82.75平米 | 南 北 | 简装 | 高楼层(共7层)  | 平房,13人关注 / 一年前发布,65.5,"7,916元/平"
御泰大厦 好楼层 看房方便 南北通透,御泰大厦 -一七五,4室2厅 | 182.8平米 | 东 南 北 | 其他 | 中楼层(共38层)  | 板楼,0人关注 / 2个月以前发布,216,"11,817元/平"
圣.地亚哥  楼梯低层 公摊小  前后带露台  采光好,圣地亚哥 -龙池开发区,3室2厅 | 128.21平米 | 南 北 | 简装 | 6层  | 板楼,2人关注 / 3个月以前发布,156,"12,168元/平"
九龙花园司法大楼旁的腾龙楼。。。,腾龙楼 -一七五,3室2厅 | 120.24平米 | 东南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 11个月以前发布,108,"8,983元/平"
香格里拉 三房两厅出售，采光通风好,香格里拉观园 -沃尔玛,3室2厅 | 136.34平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,177.2,"12,997元/平"
中骏四季阳光三期优质3房.价格美丽.,中骏四季阳光三期 -角美台商投资区,3室2厅 | 77.2平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,10人关注 / 一年前发布,132,"17,099元/平"
漳州港；正规两房，明厅明卫，满五唯一，省个税。,鸿源海景城 -南滨大道,2室2厅 | 79.67平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,70,"8,787元/平"
前排，看房方便，楼层好，采光好，证在手，方便交易,大唐世家一期 -南滨大道,2室2厅 | 62.7平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,55,"8,772元/平"
福晟钱隆公馆二期 两房 73平 毛坯 看房方便,福晟钱隆公馆二期 -蓝田宝龙商圈,2室2厅 | 73.73平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,81.81,"11,096元/平"
：沃尔玛地段，生活配套齐全，胜东广场,胜东广场 -沃尔玛,2室1厅 | 79.94平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,5人关注 / 6个月以前发布,67,"8,382元/平"
富雅国际137.95平/单价14500/中高层/稳定出售,富雅国际 -角美台商投资区,3室2厅 | 137.95平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 8个月以前发布,203.6,"14,759元/平"
华府两房出售，买一层用两层，使用面积高,华府一期 -漳浦城北,2室2厅 | 37.34平米 | 北 | 简装 | 高楼层(共12层)  | 板塔结合,10人关注 / 一年前发布,28.5,"7,633元/平"
