标题,开发商,房子信息,发布信息,售价/万,单价
名仕康城.小区绿化好.楼层好.采光好.户型南北通透,名仕康城 -大市场商圈,4室2厅 | 143.82平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板塔结合,14人关注 / 一年前发布,81,"5,633元/平"
十里风荷  低密度洋房，户型方正,十里风荷 -旭日商圈,3室2厅 | 120.99平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,80,"6,613元/平"
尚锦庭苑 3室2厅 东南,尚锦庭苑 -旭日商圈,3室2厅 | 127.22平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 6个月以前发布,75,"5,896元/平"
十里风荷 3室2厅 南,十里风荷 -旭日商圈,3室2厅 | 129.98平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,102,"7,848元/平"
中高楼层，大四房，毛坯，马上满两年,尚锦庭苑 -旭日商圈,4室2厅 | 135.62平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 6个月以前发布,82,"6,047元/平"
云玺台小区 市政府新小区 门口就是龙潭湖公园配套齐全,九颂金科·云玺台 -行政中心商圈,4室2厅 | 134.5平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,170,"12,640元/平"
大四房，全明户型。高层的价格，墅也的享受,十里风荷 -旭日商圈,4室2厅 | 146.8平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,101,"6,881元/平"
房子位置好，配套设施齐全，交通出行方便，，,江湾丽城 -万达商圈,3室2厅 | 131.1平米 | 东南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,115,"8,772元/平"
房东诚心出售，户型通透，前后无遮挡，采光好。,和锦園 -行政中心商圈,4室2厅 | 116平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,98.8,"8,518元/平"
户型方正   小区新    交通方便   配套齐全,建亨信江院子 -上饶高铁站商圈,4室2厅 | 137平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,113,"8,249元/平"
小区位于县里繁华地带，出行方便，购物方便，办公方便,筑城家园 -旭日商圈,3室2厅 | 126平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,70,"5,556元/平"
地段好 设施齐全，视野开阔，采光充足,绿野御龙苑 -旭日商圈,3室2厅 | 136平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,87,"6,398元/平"
大平层 一线江景房 采光充足 居住舒适,博能信江府 -七六路商圈,4室2厅 | 295.41平米 | 南 北 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,264,"8,937元/平"
大三房  房东诚心出售  看房方便,奥林至尊 -行政中心商圈,3室2厅 | 135.5平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,1人关注 / 7个月以前发布,109,"8,045元/平"
清水湾  联排别墅， 依山傍水  风景独特,清水湾 -经开区商圈,6室2厅 | 147.5平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 3个月以前发布,189,"12,814元/平"
小区低密度，环境优美，此房户型房子，南北通,九州奥城 -十一小商圈,2室2厅 | 89平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,80,"8,989元/平"
茂林雅轩 简单复式楼 带大露台 价格实惠 随时看房,茂林雅轩 -旭日商圈,5室3厅 | 242.47平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 11个月以前发布,98,"4,042元/平"
市政板块 龙潭湖公园旁 配套齐全 交通便利,友邦玫瑰公馆 -行政中心商圈,3室2厅 | 114.56平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,98,"8,555元/平"
尚锦庭苑 3室2厅 南,尚锦庭苑 -旭日商圈,3室2厅 | 135.62平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,80,"5,899元/平"
杰昌花苑 户型端正，采光好，楼梯房公摊小,杰昌花苑 -旭日商圈,2室2厅 | 93.42平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,62,"6,637元/平"
市政府后面2房位置好 诚意出售,天宇星城 -行政中心商圈,2室2厅 | 89平米 | 东 | 精装 | 中楼层(共21层)  | 板楼,0人关注 / 2个月以前发布,78,"8,765元/平"
珑山林和园纯别墅区，房东诚意出售,珑山林和园 -经开区商圈,5室3厅 | 255平米 | 东南 | 毛坯 | 低楼层(共4层)  | 塔楼,1人关注 / 4个月以前发布,180,"7,059元/平"
产证在手，产权清晰 税费低 房东配 合 楼层好 视线好,蓝山国际 -行政中心商圈,4室2厅 | 129.9平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,113,"8,699元/平"
市政府边，新社区，云玺台，东端头大四房，诚意出售,九颂金科·云玺台 -行政中心商圈,4室2厅 | 135平米 | 东南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,156,"11,556元/平"
市政府旁电梯大三房 业主诚意出售 看房有钥匙,天宇星城 -行政中心商圈,3室2厅 | 133.38平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,115,"8,622元/平"
清水湾别墅，带车库和院子，环境优美,清水湾 -经开区商圈,6室3厅 | 168平米 | 南 | 其他 | 低楼层(共3层)  | 板塔结合,1人关注 / 7个月以前发布,190,"11,310元/平"
栖身，栖心，栖园，一种完整且完善的居住环境,十里风荷 -旭日商圈,5室2厅 | 218.78平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 2个月以前发布,370,"16,912元/平"
复式楼买六，七，大面积使用空间大，适合改善,嘉禾雅居 -旭日商圈,4室2厅 | 160.51平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,92,"5,732元/平"
诚心出售 十里风荷 电梯中高层 满两年 南北通透,十里风荷 -旭日商圈,3室2厅 | 122.92平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,76,"6,183元/平"
友邦玫瑰公馆 毛坯大3房 满2年 房东很诚心出售,友邦玫瑰公馆 -行政中心商圈,3室2厅 | 123.37平米 | 南 东南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,102,"8,268元/平"
市政府板块精装修大三房，拎包入住,奥林至尊 -行政中心商圈,3室2厅 | 141.57平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,12人关注 / 一年前发布,120,"8,477元/平"
好楼层，好采光，好视野，随时可看房,亿豪星城 -旭日商圈,4室2厅 | 118.09平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,135,"11,432元/平"
阳光花城 县广场成熟小区 楼层采光户型好 诚心卖,阳光花城 -旭日商圈,3室2厅 | 131.72平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,93,"7,061元/平"
县广场旁，格林雅郡别墅出售，交通便利，生活方便,格林雅郡 -旭日商圈,5室2厅 | 324平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,225,"6,945元/平"
业主诚心出售 饶中旁 纯边套 4房 中高楼层 采光好,天宇星城 -行政中心商圈,4室2厅 | 138.4平米 | 南 | 其他 | 高楼层(共21层)  | 板楼,3人关注 / 一年前发布,105,"7,587元/平"
房子无抵押，满五唯一复式楼，户型方正,城市8号 -旭日商圈,3室2厅 | 93.88平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,87,"9,268元/平"
旭日广场旁，亿豪星城四房出售，交通便利，生活方便,亿豪星城 -旭日商圈,3室2厅 | 118平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,112,"9,492元/平"
房子急售，中高层采光好适合各种年龄居住,尚锦名都 -旭日商圈,4室2厅 | 134.46平米 | 南 | 毛坯 | 中楼层(共23层)  | 暂无数据,0人关注 / 3个月以前发布,93,"6,917元/平"
亿豪星城 4室2厅 东南,亿豪星城 -旭日商圈,4室2厅 | 115平米 | 东南 | 毛坯 | 中楼层(共25层)  | 板楼,2人关注 / 10个月以前发布,114,"9,914元/平"
急售上饶大桥颐景园别墅，交通方便，配套齐全,颐景园 -大市场商圈,7室2厅 | 286.93平米 | 南 北 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,0人关注 / 2个月以前发布,280,"9,759元/平"
绿野幸福里 3室2厅 南,绿野幸福里 -经开区商圈,3室2厅 | 107平米 | 南 | 毛坯 | 高楼层(共23层)  | 板楼,0人关注 / 1个月以前发布,79.5,"7,430元/平"
业主急售，清水湾颐养小镇联排别墅，带院子，带地下室,清水湾 -经开区商圈,6室3厅 | 147平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,187,"12,722元/平"
带大院子带车位急售 洋房 位置好，邻里旁边,十里风荷 -旭日商圈,4室2厅 | 130.58平米 | 东南 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,1人关注 / 3个月以前发布,92,"7,046元/平"
尚锦名都 电梯中高层 新装修未住 大四房,尚锦名都 -旭日商圈,4室2厅 | 139.84平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,135,"9,654元/平"
上饶纯别墅小区，低密度，小区绿化高，居住环境舒适,珑山林和园 -经开区商圈,6室3厅 | 254.36平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,205,"8,060元/平"
老城区渡口圆盘步梯中装4+1户型看房方便,胜利路86号 -亿升商圈,5室2厅 | 127平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,74.5,"5,867元/平"
电梯花园洋房 小区环境好 楼间距宽 看房方便,翼天城 -十一小商圈,3室2厅 | 123.06平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,102,"8,289元/平"
新装修好房，龙湖湾欢迎大家参访,龙湖湾 -行政中心商圈,3室2厅 | 119.16平米 | 东南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 5个月以前发布,89.5,"7,511元/平"
精品小区，里面的绿化环境清新，生活便利,东投长安府 -行政中心商圈,3室2厅 | 116.95平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,4人关注 / 4个月以前发布,132,"11,287元/平"
翼天城精装洋房出售 南北双阳台,翼天城 -十一小商圈,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,133.9,"11,159元/平"
中式徽派 低密度洋房，户型方正，低密度公摊小,十里风荷 -旭日商圈,3室2厅 | 130.12平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,85,"6,533元/平"
房子户型设计合理，随时可以看房，房东诚意出售,九州奥城 -十一小商圈,3室2厅 | 130.39平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,109,"8,360元/平"
别墅毛坯空置从未入住房东很诚心出售，采光无遮挡。,园中园 -旭日商圈,9室3厅 | 380.64平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,8人关注 / 8个月以前发布,239.8,"6,300元/平"
国家2级标准 空气环境好，小区内部配完善,十里风荷 -旭日商圈,4室2厅 | 134平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,95,"7,090元/平"
广场旁  芳泽园别墅  两直3层半 诚心急售 有钥匙,芳泽园7号 -玉山县,3室1厅 | 267平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,3人关注 / 10个月以前发布,166,"6,218元/平"
户型较好，楼层视野开阔，采光较好。,九颂金科·云玺台 -行政中心商圈,3室2厅 | 115平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,130,"11,305元/平"
职业化，将使房屋更舒适；专业化，将使房屋更美观。,和锦園 -行政中心商圈,3室2厅 | 103.63平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 5个月以前发布,115,"11,098元/平"
旭日商圈地税局家属楼三房出售，交通便利，生活方便。,地税局家属楼 -旭日商圈,3室2厅 | 128平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,68,"5,313元/平"
双公园，环境优美，纯洋房住宅小区,滨江棕榈公园壹号 -行政中心商圈,4室2厅 | 132.5平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,186.2,"14,053元/平"
品质小区，花园电梯洋房，好楼层环境优美,滨江棕榈公园壹号 -行政中心商圈,3室2厅 | 109.21平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,134.8,"12,344元/平"
上饶市政府旁边 新中式景观园林 阔景毛坯三房 边套,东投长安府 -行政中心商圈,3室2厅 | 119.94平米 | 南 北 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 4个月以前发布,129,"10,756元/平"
珑山林独门独户纯别墅宜居小区房东诚心出售,珑山林和园 -经开区商圈,5室2厅 | 255平米 | 南 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 3个月以前发布,200,"7,844元/平"
城北大盘 刚需四房 业主急售 看房方便 价钱可谈,尚锦名都 -旭日商圈,4室2厅 | 134.7平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 暂无数据,0人关注 / 1个月以前发布,69,"5,123元/平"
茂林雅轩  大面积  装修直接拎包入住,茂林雅轩 -旭日商圈,3室2厅 | 242.47平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,109,"4,496元/平"
龙潭湖公园旁 滨江公园壹号三房出售 交通便利,滨江棕榈公园壹号 -行政中心商圈,3室2厅 | 109.48平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,130,"11,875元/平"
信洲一号三房两厅两卫精装好房源,信州壹号 -行政中心商圈,4室2厅 | 138.21平米 | 南 北 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,130,"9,406元/平"
小区门口就是龙潭湖公园，配套齐全,九颂金科·云玺台 -行政中心商圈,3室2厅 | 115平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,140,"12,174元/平"
市政府旁。优质房源。户型通透大三房,龙湖湾 -行政中心商圈,3室2厅 | 127.55平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,89.2,"6,994元/平"
满五唯一省税精装修无入住额外有个入户花园,汇成观邸 -行政中心商圈,3室2厅 | 105.58平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,127,"12,029元/平"
长安府公园旁，市政府商圈，楼层好,东投长安府 -行政中心商圈,3室2厅 | 120平米 | 东南 | 其他 | 低楼层(共28层)  | 板塔结合,1人关注 / 4个月以前发布,125,"10,417元/平"
三清国际花园 装修好拎包入住 出行方便,三清国际花园 -行政中心商圈,3室2厅 | 133.5平米 | 南 北 | 其他 | 中楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,108,"8,090元/平"
"小区楼下就是公园,购物嘉百乐就在旁边.户型好",东投长安府 -行政中心商圈,4室2厅 | 132平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 一年前发布,138,"10,455元/平"
县广场边上产证满五第三菜场大门边上交通便配套成熟,旭日北大道103号 -旭日商圈,3室2厅 | 124平米 | 西北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,70,"5,646元/平"
此房楼栋位置佳，小区环境好，人车分流,中骏雍景府 -七六路商圈,4室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,4人关注 / 4个月以前发布,142,"10,924元/平"
国家4A级风景区洋房空气好，采光充足小区自带幼儿园,十里风荷 -旭日商圈,3室2厅 | 121.09平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 6个月以前发布,79.8,"6,591元/平"
鸡山小区  精装修 人民医院旁 随时看房,鸡山小区 -玉山县,3室2厅 | 140.5平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,6人关注 / 11个月以前发布,72,"5,125元/平"
中景公寓，看房方便，亿升广场边上,中景公寓 -亿升商圈,5室3厅 | 219平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,160,"7,306元/平"
城市8号复式楼电梯房八小七中旁边时光PARK旁,城市8号 -旭日商圈,4室2厅 | 115平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,3人关注 / 7个月以前发布,116,"10,087元/平"
滨江棕榈公园壹号边套四房，楼层好视野好，通透全明。,滨江棕榈公园壹号 -行政中心商圈,4室2厅 | 139.5平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,170,"12,187元/平"
房东诚心出售的、楼层采光视野好,滨江棕榈公园壹号 -行政中心商圈,3室2厅 | 109平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,130,"11,927元/平"
县广场边上产证满五第三菜场大门边上交通便配套成熟,旭日北大道103号 -旭日商圈,3室2厅 | 124平米 | 西北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,70,"5,646元/平"
上饶市政府旁边 新中式景观园林 阔景毛坯三房 边套,东投长安府 -行政中心商圈,3室2厅 | 119.94平米 | 南 北 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 4个月以前发布,129,"10,756元/平"
城北大盘 刚需四房 业主急售 看房方便 价钱可谈,尚锦名都 -旭日商圈,4室2厅 | 134.7平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 暂无数据,0人关注 / 1个月以前发布,69,"5,123元/平"
珑山林独门独户纯别墅宜居小区房东诚心出售,珑山林和园 -经开区商圈,5室2厅 | 255平米 | 南 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 3个月以前发布,200,"7,844元/平"
房东诚心出售的、楼层采光视野好,滨江棕榈公园壹号 -行政中心商圈,3室2厅 | 109平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,130,"11,927元/平"
亿豪星城 边套四房 精装修拎包入住 可随时看房,亿豪星城 -旭日商圈,4室2厅 | 117平米 | 东南 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 6个月以前发布,123,"10,513元/平"
配套齐全  带车位  小区环境好,友邦壹号公馆 -十一小商圈,3室2厅 | 104平米 | 东南 南 | 其他 | 低楼层(共29层)  | 板塔结合,1人关注 / 8个月以前发布,119,"11,443元/平"
市政府旁，新社区，小区门口就是龙潭湖公园，配套齐全,九颂金科·云玺台 -行政中心商圈,4室2厅 | 135.8平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,1人关注 / 3个月以前发布,139,"10,236元/平"
万达商圈 品质小区中间位置大平层 310万6房 闹中取静,友邦壹号公馆 -十一小商圈,6室2厅 | 239.81平米 | 南 北 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,295,"12,302元/平"
"此房南北朝向,格局方正，带大院子,带双车位,带地下室",清水湾 -经开区商圈,6室2厅 | 147.5平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,200,"13,560元/平"
京都小区 大三房装修好直接拎包入住,京都小区 -旭日商圈,3室2厅 | 143.03平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,88,"6,153元/平"
月泉花城电梯顶楼复式！带4个大露台和一个储藏间！,月泉花城 -十一小商圈,5室3厅 | 141平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,28人关注 / 一年前发布,160,"11,348元/平"
"户型好,阳光充沛 小区园林绿化好,友邦物业",友邦玫瑰公馆 -行政中心商圈,3室2厅 | 101平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,84,"8,317元/平"
阳光福邸旁   五六复式楼 产证在手,七六路46号 -七六路商圈,4室2厅 | 183平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,81,"4,427元/平"
小区邻商圈 生活便利 户型好 采光佳 诚心出售,友邦玫瑰公馆 -行政中心商圈,3室2厅 | 114.72平米 | 南 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 5个月以前发布,95,"8,282元/平"
上层时代 3室2厅 南,上层时代 -旭日商圈,3室2厅 | 125平米 | 南 | 其他 | 低楼层(共19层)  | 塔楼,0人关注 / 2个月以前发布,89,"7,120元/平"
汇成观邸 4室2厅 南,汇成观邸 -行政中心商圈,4室2厅 | 164.55平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,168,"10,210元/平"
此房户型好，视野宽阔，采光充足，配套设施成熟,九颂金科·云玺台 -行政中心商圈,4室2厅 | 135平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 4个月以前发布,162,"12,000元/平"
电梯高层 精装四房  采光无遮挡 位置好,书香名苑 -旭日商圈,4室2厅 | 124.46平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,1人关注 / 3个月以前发布,108,"8,678元/平"
十里风荷 单价5000多 产证在手 直接过户,十里风荷 -旭日商圈,4室2厅 | 146.8平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,90,"6,131元/平"
纯东边套，大院子，绿化好，诚心卖,清水湾 -经开区商圈,6室3厅 | 147.86平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,178,"12,039元/平"
市政府旁，电梯中层三房户型，中式园林小区视野开阔,东投长安府 -行政中心商圈,3室2厅 | 115.83平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,1人关注 / 3个月以前发布,110,"9,497元/平"
友邦玫瑰公馆，精装修三房，房东装修好，自己很少住。,友邦玫瑰公馆 -行政中心商圈,3室2厅 | 101.45平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 3个月以前发布,95,"9,365元/平"
新上如意城 位置好 楼层好 满2年 诚心出售随时看房,凯旋如意城 -旭日商圈,3室2厅 | 98.27平米 | 南 | 毛坯 | 高楼层(共21层)  | 板楼,0人关注 / 1个月以前发布,91,"9,261元/平"
市政府板块中芯位置，毛坯房，房东诚心出售,友邦玫瑰公馆 -行政中心商圈,3室2厅 | 96.93平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,85,"8,770元/平"
房东诚心出售，看房提前预约，价格面谈,十里风荷 -旭日商圈,3室2厅 | 103平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,68,"6,602元/平"
精装三房加书房 通透 带花园地下室洋房 生活便利,嘉怡华府 -万达商圈,3室2厅 | 133.03平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,165,"12,404元/平"
国家2级标准 空气环境好，小区内部配完善,十里风荷 -旭日商圈,3室2厅 | 129.31平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 8个月以前发布,88,"6,806元/平"
碧水香邻   楼  王 大户型边套，日照充足。,槠溪·碧水香邻 -旭日商圈,5室2厅 | 143.05平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板楼,2人关注 / 6个月以前发布,130,"9,088元/平"
联排别墅边套 院子60平左右 带车位,珑山林宸园 -经开区商圈,5室3厅 | 361平米 | 南 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,238,"6,593元/平"
房东诚心出售精装修拎包入住.楼层好视野开阔,东投长安府 -行政中心商圈,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共29层)  | 暂无数据,1人关注 / 3个月以前发布,135,"11,441元/平"
茂林天润 3室2厅 南,茂林天润 -旭日商圈,3室2厅 | 124平米 | 南 | 其他 | 中楼层(共20层)  | 板塔结合,0人关注 / 3个月以前发布,98,"7,904元/平"
离储溪湿地公园龙潭湖公园市民公园吉阳100米距,和锦園 -行政中心商圈,3室2厅 | 116.27平米 | 东南 | 毛坯 | 高楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,98,"8,429元/平"
市政府板块，毛坯房随意装修，视野宽阔，配套设施成熟,奥林至尊 -行政中心商圈,4室2厅 | 186.54平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,3人关注 / 一年前发布,145,"7,774元/平"
186平大平层 一梯一户边套小区绿化交通方便,奥林至尊 -行政中心商圈,4室2厅 | 186.5平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,142,"7,614元/平"
带车位  此房视野开阔，楼层也很好户型方正全明户型。,东投长安府 -行政中心商圈,3室2厅 | 120.42平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,132,"10,962元/平"
房东诚心出售，大家多推推，楼层好》。.,金城花园 -经开区商圈,3室2厅 | 115.61平米 | 南 | 毛坯 | 中楼层(共6层)  | 平房,0人关注 / 4个月以前发布,82,"7,093元/平"
房子采光好，交通方便，周 边设施齐全 到旭日广场近,天一尊邸 -经开区商圈,2室1厅 | 79.88平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,59.8,"7,487元/平"
上层时代楼层好，居住环境好带公园,上层时代 -旭日商圈,3室2厅 | 123.54平米 | 南 北 | 其他 | 高楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,93,"7,528元/平"
房子是毛坏，业主随意装修，房东急售,际洲天和新城 -旭日商圈,3室2厅 | 123.38平米 | 南 北 | 其他 | 中楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,117,"9,483元/平"
市府北 改善四房 小区居住舒适度高！,奥林至尊 -行政中心商圈,4室2厅 | 139.06平米 | 南 北 | 其他 | 高楼层(共31层)  | 暂无数据,3人关注 / 5个月以前发布,105,"7,551元/平"
友邦玫瑰公馆，毛坯三房，电梯中高层,友邦玫瑰公馆 -行政中心商圈,3室2厅 | 96.93平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,88,"9,079元/平"
精装修 没怎么住，有钥匙，看房方便产证满二 房东默契,和锦園 -行政中心商圈,3室2厅 | 115.71平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,116,"10,026元/平"
楼层好，县广场旁，交通方便，生活配套齐全,吉阳东路19号 -旭日商圈,3室2厅 | 119.76平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,65,"5,428元/平"
云玺台小区 市政府新小区 门口就是龙潭湖公园配套齐全,九颂金科·云玺台 -行政中心商圈,4室2厅 | 135.1平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,163,"12,066元/平"
城市中芯 龙潭湖 复式楼 5房 诚意出售,新天第凤凰小区 -行政中心商圈,5室2厅 | 172.92平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,71,"4,106元/平"
生活配套齐全，，楼层高采光好。,江湾丽城 -万达商圈,3室2厅 | 131.17平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,89,"6,786元/平"
翼天·熙龙湾 3室2厅 南 北,翼天·熙龙湾 -旭日商圈,3室2厅 | 117.6平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,126,"10,715元/平"
