标题,开发商,房子信息,发布信息,售价/万,单价
采光好，阳光充足，六房二卫有露台.诚心出售,星西兰花园 -红湾大道以北,6室2厅 | 207平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,120,"5,798元/平"
端户户型方正 楼层很好 近玺悦城购物 澄碧湖公园,星洲国际 -莲塘,3室2厅 | 86.6平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 15天以前发布,110,"12,703元/平"
保集半岛一期 近芳草 出行方便 户型方正,保集半岛一期 -象湖,3室2厅 | 88平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,86,"9,773元/平"
精装未入住，户型方正，南北通透,丰源·淳和 -象湖,3室1厅 | 115平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 12天以前发布,128.8,"11,200元/平"
钰珑湾南区 新力物业 小区绿化好 房东诚心出售,新力钰珑湾南区 -红谷滩,3室2厅 | 84.24平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 14天以前发布,67,"7,954元/平"
贵都国际花城小区 2室1厅 南 北,贵都国际花城小区 -银三角,2室1厅 | 91.56平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 11天以前发布,73.8,"8,061元/平"
户型好 房东诚心出售 价格可以谈 钰珑湾,新力钰珑湾北区 -红谷滩,3室2厅 | 103平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 9天以前发布,99,"9,612元/平"
正荣华润玲珑府 3室2厅 南 北,正荣华润玲珑府 -红谷滩,3室2厅 | 107.34平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 12天以前发布,130,"12,112元/平"
九龙馨苑 户型方正 视野开阔 出入方便 诚心出售,九龙馨苑 -九龙湖,3室2厅 | 109.73平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 3天以前发布,230,"20,961元/平"
沃尔玛一步之遥，精装修可以直接拎包入住随时可看,居住主题公园-桂芳景绣多层公寓 -象湖,3室2厅 | 92平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,99.8,"10,848元/平"
贵都国际花城小区 2室1厅 南 北,贵都国际花城小区 -银三角,2室1厅 | 91.56平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 11天以前发布,73.8,"8,061元/平"
船山路精装两房，业主自己装修，全天太阳，近地铁,惠民门一区 -船山路,2室2厅 | 58.94平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 8天以前发布,55.8,"9,468元/平"
力高一期精装复式楼，楼层视野开阔，采光充足。,力高国际城一期 -象湖,4室2厅 | 89.87平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,108,"12,018元/平"
达瑞华府 3室2厅 南,达瑞华府 -红谷滩,3室2厅 | 118.28平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,1人关注 / 一年前发布,82,"6,933元/平"
带车位 交通配套齐全  诚心出售,金涛御景花园 -象湖,3室2厅 | 115平米 | 南 | 毛坯 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,112.8,"9,809元/平"
地铁口，洪城旁，近南大一附院，采光好大四房,洪大赣江城 -象湖,4室2厅 | 147.42平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,180,"12,211元/平"
此房满五，东端户，采光好，房东诚心出售。,银亿上尚城南区 -象湖,3室2厅 | 107.82平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,115,"10,666元/平"
象湖电梯毛胚房，高得房率小区环境好，看房方便,龙安花园 -象湖,3室2厅 | 143.34平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,125,"8,721元/平"
视线无遮无挡，南北通透，采光充足！,九龍▪帝景湾（九龙帝景湾） -红谷滩,3室2厅 | 101.72平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 平房,1人关注 / 一年前发布,90,"8,848元/平"
象湖滨江好房出售 价格优惠 随时看房。,银城江畔 -象湖,4室2厅 | 136.57平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 一年前发布,136,"9,959元/平"
南北通风无遮挡采光好，一附院，新洪城，四号线地铁,力高澜湖御景 -象湖,3室1厅 | 107.62平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,1人关注 / 11个月以前发布,123,"11,430元/平"
醉后一批新的平安象湖风情高层   视野好,平安象湖风情 -象湖,3室2厅 | 132.48平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,125,"9,436元/平"
楼层好，采光度良好，户型方正，视野无挡。,恒大绿洲三期 -银三角,4室2厅 | 152.61平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,139,"9,109元/平"
小区管理严谨干净整洁 全明户型方形板正,民航小区 -洪城大市场,3室1厅 | 83.63平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 6个月以前发布,88,"10,523元/平"
万达文化旅游城A1区 4室2厅 南,万达文化旅游城A1区 -九龙湖,4室2厅 | 143.3平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,230,"16,051元/平"
江铃底特律，交通便利，环境优美，户型方正采光好。,江铃底特律新城 -银三角,2室2厅 | 81.91平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,0人关注 / 4个月以前发布,77,"9,401元/平"
九龙湖赣江边 小区位置好 看江景 户型正气  随时看房,海珀九龙 -九龙湖,3室1厅 | 161.49平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,4人关注 / 一年前发布,300,"18,578元/平"
小区处于繁华地段，交通便利，四通八达，配套齐全,平安象湖风情 -象湖,3室2厅 | 84.59平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,86,"10,167元/平"
精装不加价 花园洋房折价出售房东随时可签,绿地国际博览城二期云玺 -九龙湖,3室2厅 | 137.95平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,27人关注 / 一年前发布,258,"18,703元/平"
绿地悦城B区 户型方正 视野开阔 出入方便 诚心出售,绿地悦城B区 -九龙湖,3室2厅 | 142.72平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,6人关注 / 一年前发布,375,"26,276元/平"
马德里精装房  户型结构好  业主诚心出售  钥匙在看房,马德里风情 -银三角,2室2厅 | 98.68平米 | 南 | 精装 | 高楼层(共20层)  | 塔楼,0人关注 / 一年前发布,85,"8,614元/平"
装修未入住，单独做了两套房子，让生活更有私密感,力高国际城三期 -象湖,4室2厅 | 137.14平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,5人关注 / 一年前发布,155,"11,303元/平"
小区环境好，旁边有大商场小区管理严谨干净整洁采光好,通源新建城 -红谷滩,3室2厅 | 107.01平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,97,"9,065元/平"
九龙湖地铁三房，房东诚心出售看中可谈,青花九龙 -红谷滩,3室2厅 | 110.53平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,115,"10,405元/平"
成熟小区，生活便利，南北对流，拎包入住！,平安象湖风情 -象湖,3室2厅 | 89.49平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,90,"10,057元/平"
平安象湖风情小区，三房两厅两卫精装，南北通透楼层好,平安象湖风情 -象湖,4室2厅 | 133.42平米 | 南 北 | 精装 | 高楼层(共19层)  | 板楼,0人关注 / 一年前发布,147,"11,018元/平"
恒大绿洲，环境优美，天然氧吧！房东诚心出售带车位。,恒大绿洲四期 -银三角,4室1厅 | 159.6平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,9人关注 / 7个月以前发布,123,"7,707元/平"
精装带车位好楼层采光好 房东诚心销售,新力龙湾三期 -红谷滩,3室2厅 | 102.21平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 6个月以前发布,146,"14,285元/平"
地段好，位置好，人车分流小区，价格便宜,煌盛中央公园 -莲塘,3室2厅 | 81.59平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 6个月以前发布,83,"10,173元/平"
大四室两卫 带一百四十大露台  业主诚售 一万一平,平安象湖风情 -象湖,4室2厅 | 131.67平米 | 南 北 | 毛坯 | 低楼层(共19层)  | 板楼,0人关注 / 4个月以前发布,132,"10,026元/平"
毛坯房，实用面积很大，因为在外地发展所以诚心出售,平安象湖风情 -象湖,3室2厅 | 89.66平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,5人关注 / 一年前发布,84,"9,369元/平"
伟梦物业   诚心在售  新洪城,伟梦清水湾 -象湖,3室2厅 | 141.89平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,127,"8,951元/平"
力高国际城，通透户型，拎包入住，,力高国际城三期 -象湖,3室2厅 | 88.64平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,85,"9,590元/平"
力高国际城四期 小区物业好 风景优美 户型方正,力高国际城四期 -象湖,3室2厅 | 87.44平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 一年前发布,93,"10,636元/平"
电梯复式上下200多平米天采光,力高国际城三期 -象湖,3室2厅 | 112.61平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 8个月以前发布,130,"11,545元/平"
低密度花园洋房，户型通透阳光好,力高国际城二期 -象湖,3室2厅 | 115.1平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,113,"9,818元/平"
万达文旅城D区 高层通透大四房 近地铁 业主诚心出售,万达文化旅游城D区 -九龙湖,4室1厅 | 149.79平米 | 南 北 | 毛坯 | 27层  | 板楼,4人关注 / 一年前发布,195,"13,019元/平"
新洪大 南大一附医院旁 百树九里 地段好,金涛御景花园 -象湖,3室1厅 | 97.47平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,115,"11,799元/平"
中间楼层，户型方正、三开间朝南,万达文化旅游城滨江悦府K2区 -九龙湖,3室2厅 | 118.59平米 | 南 | 毛坯 | 33层  | 塔楼,0人关注 / 一年前发布,110,"9,276元/平"
国博二期博浩南北双阳台采光好优质好房,绿地国际博览城二期博浩 -九龙湖,3室2厅 | 115.75平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,2人关注 / 9个月以前发布,195,"16,847元/平"
出入方便  采光全明  透配套齐全交通便利,丰源·淳和 -象湖,3室2厅 | 148.01平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,198,"13,378元/平"
视野开阔，采光充足，交通便利，保健配套设施齐全,银亿上尚城南区 -象湖,3室2厅 | 119.16平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,3人关注 / 一年前发布,140,"11,749元/平"
封闭式花园小区 小区管理严谨 环境优美 户型方正,伟梦清水湾 -象湖,3室2厅 | 124.67平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,120,"9,626元/平"
伟梦清水湾，精装三房，可拎包入住,伟梦清水湾 -象湖,3室2厅 | 134.27平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,116,"8,640元/平"
地铁口，毛坯三房，中间楼层，生活便利,江铃瓦良格 -银三角,3室2厅 | 92.54平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,85,"9,186元/平"
力高国际城 品质小区 多层洋房大三房，房东置换急售,力高国际城一期 -象湖,3室2厅 | 138.43平米 | 南 西 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,139,"10,042元/平"
恒大绿洲一期户型端正，配套齐全。,恒大绿洲一期 -银三角,3室2厅 | 123平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 一年前发布,110,"8,944元/平"
房东诚心出售  加急....................,万达文化旅游城滨江悦府K1区 -九龙湖,3室2厅 | 115.45平米 | 南 | 毛坯 | 32层  | 塔楼,0人关注 / 11个月以前发布,135,"11,694元/平"
恒大绿洲六期公园里，环境优美天然氧吧，老年人适宜。,南昌恒大绿洲六期 -银三角,4室2厅 | 176.73平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,140,"7,922元/平"
邻近一附院  湿地公园  人车分流  居家好住宿,力高国际城五期 -象湖,3室2厅 | 88.14平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,102,"11,573元/平"
洋房的西端户，南北双阳台，南北通透格局，明厨明卫。,伟梦清水湾 -象湖,3室2厅 | 124.67平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,120,"9,626元/平"
象湖新城保集二期，南大一附院旁，带车位诚心出售！,保集半岛御河湾二期 -象湖,3室2厅 | 84.53平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,113.8,"13,463元/平"
顶楼复式带露台，豪桦装修，视野采光好，俯瞰整个小区,嘉和里九里象湖城 -象湖,7室3厅 | 149.97平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,202,"13,470元/平"
新力象湖湾 品质小区 四号地铁东新乡站 新洪城大市场,新力象湖湾 -象湖,3室2厅 | 112.21平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,160,"14,259元/平"
户型方正 采光好 配套齐全 小区绿化好,南昌恒大翡翠华庭 -象湖,3室2厅 | 108.89平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,1人关注 / 一年前发布,122,"11,204元/平"
江铃底特律 全明通透视野开阔 坐高品质的生活,江铃底特律新城 -银三角,3室2厅 | 92.68平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,17人关注 / 一年前发布,75,"8,093元/平"
新房交付，户型通透，视野很好，楼层好，采光充足,南昌恒大翡翠华庭 -象湖,3室2厅 | 107.78平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 一年前发布,110,"10,206元/平"
小区位置位置好商城配套齐全，楼层光线足,鸿海万科天空之城 -银三角,3室2厅 | 95.39平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,120,"12,580元/平"
银湖湾景观房，楼层适中，毛坯房，任你设计！,新力银湖湾 -象湖,3室2厅 | 89.85平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 一年前发布,93,"10,351元/平"
，户型通透，视野很好，楼层好，采光充足,南昌恒大翡翠华庭 -象湖,5室2厅 | 139.16平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 11个月以前发布,216,"15,522元/平"
购物 公园 地铁约500米 配套丰富齐全，万科物业,鸿海万科天空之城 -银三角,3室2厅 | 94.96平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 5个月以前发布,130,"13,690元/平"
新力象湖湾 品质小区 四号地铁东新乡站 新洪城大市场,新力象湖湾 -象湖,3室2厅 | 112.21平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,160,"14,259元/平"
品质高 间距宽 绿化高 配套齐 临赣江 未住人,南昌恒大翡翠华庭 -象湖,3室2厅 | 122.56平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,135.5,"11,056元/平"
配套设施齐全 交通便利 户型方正 使用面积大,力高国际城四期 -象湖,4室2厅 | 86.73平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,103,"11,876元/平"
毛坯三房通透户型 视野好 方正实用 无浪费 全明格,力高君御世家 -银三角,3室2厅 | 99.31平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,80,"8,056元/平"
通透三居室 低楼层 毛坯空置  有钥匙随时能看房,力高君御世家 -银三角,3室2厅 | 89.02平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,68,"7,639元/平"
力高君御世家毛坯花园洋房 户型方正 位置安静居住舒适,力高君御世家 -银三角,3室2厅 | 87.57平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,10人关注 / 8个月以前发布,53,"6,053元/平"
力高 花园洋房 户型好 物业好 房东诚心,力高君御世家 -银三角,4室2厅 | 108.4平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,9人关注 / 一年前发布,80,"7,381元/平"
绿地国博二期东端户大三房视野好 光线好。无遮挡、,绿地国际博览城二期博浩 -九龙湖,3室2厅 | 115.75平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,24人关注 / 10个月以前发布,179,"15,465元/平"
小区环境好，采光视野好，24小时安保,力高君御世家 -银三角,3室2厅 | 99.4平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,88.98,"8,952元/平"
万达文化旅游城N1区3室2厅1厨1卫,万达文化旅游城N1区 -九龙湖,3室2厅 | 96.87平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,4人关注 / 一年前发布,95,"9,807元/平"
万达N区改善大三房，户型通透，全天采光，有教育近地,万达文化旅游城N1区 -九龙湖,3室2厅 | 124.95平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 塔楼,3人关注 / 一年前发布,136.8,"10,949元/平"
楼层好，配套成熟，房东诚意出售,银亿上尚城南区 -象湖,3室2厅 | 88.36平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,3人关注 / 7个月以前发布,94.8,"10,729元/平"
恒大物业 园林绿化很好前面无挡全天阳光 诚心出售,南昌恒大翡翠华庭 -象湖,3室2厅 | 108.89平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,5人关注 / 一年前发布,110,"10,102元/平"
房东诚心出售 户型方正 小区环境绿化好,力高君御世家 -银三角,3室2厅 | 99.57平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,75.99,"7,632元/平"
平安象湖风情一楼带大院子，看房联系占雨昌有钥匙,平安象湖风情 -象湖,3室2厅 | 89.95平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,3人关注 / 一年前发布,123.8,"13,764元/平"
采光好、楼层好、毛胚房、配套齐全,居住主题公园-枫林美庐 -象湖,3室2厅 | 111.1平米 | 东南 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,106,"9,541元/平"
奥园小区，多层户型，正规3居室，公摊少套内空间大,江西奥林匹克花园 -象湖,3室1厅 | 111.7平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,105,"9,401元/平"
带花园的同时，房子的采光很好，这边房屋间距开阔,九里坊九里象湖城 -象湖,3室2厅 | 129.87平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 一年前发布,135,"10,396元/平"
万达文化旅游城通透三房端户，看江位置，诚心出售,万达文化旅游城N3区 -九龙湖,3室2厅 | 134.02平米 | 南 | 毛坯 | 33层  | 塔楼,7人关注 / 一年前发布,135,"10,074元/平"
九悦澜湾中间楼层好房出售 业主诚心,九悦澜湾 -红谷滩,3室2厅 | 99平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,75,"7,576元/平"
绿地海珀系改善大3房 小区管理严谨 全天阳光视野无挡,海珀九龙 -九龙湖,3室2厅 | 160.64平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,59人关注 / 一年前发布,260,"16,186元/平"
房子内部面积达到130平，带露台，下面带三个店面。,景城名郡 -象湖,3室2厅 | 81.21平米 | 南 | 毛坯 | 低楼层(共5层)  | 板楼,1人关注 / 8个月以前发布,260,"32,016元/平"
南昌后花园湾里管理局幸福里洪恒山庄,洪恒山庄 -湾里区,3室2厅 | 122.03平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,85,"6,966元/平"
绿地国际博览城二期博浩 小三房 采光好,绿地国际博览城二期博浩 -九龙湖,3室2厅 | 93.22平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,38人关注 / 9个月以前发布,120,"12,873元/平"
H装30万花园洋房，户型方正采光好，拎包入住学效近,保集半岛御河湾二期 -象湖,3室2厅 | 87平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,120,"13,794元/平"
不是栋楼的，万科物业，万科开发，业主急卖！,鸿海万科天空之城 -银三角,3室2厅 | 121.5平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,156,"12,840元/平"
楼层视野宽阔，采光充足，配套设施齐全,力高国际城一期 -象湖,4室2厅 | 139.81平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,130,"9,299元/平"
象湖新城保集御河湾三期，南大一附院旁，户型端正诚售,保集半岛御河湾三期 -象湖,3室2厅 | 83.75平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,89.8,"10,723元/平"
新洪大旁，地铁口，环境好，诚意出售,银亿上尚城南区 -象湖,3室2厅 | 83.66平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,39人关注 / 一年前发布,90,"10,758元/平"
红谷滩凤凰洲友邦公馆地铁一号线长江站旁,友邦皇家公馆 -凤凰洲,3室2厅 | 110.44平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,2人关注 / 6个月以前发布,209.6,"18,979元/平"
精装修， 房东诚心卖， 看房方便，靠江小区，环境好,万达文化旅游城N3区 -九龙湖,3室2厅 | 98.12平米 | 南 | 精装 | 33层  | 塔楼,18人关注 / 一年前发布,115,"11,721元/平"
海珀芙蓉大3房 靠江临湖 端户三开间朝南,海珀九龙 -九龙湖,3室2厅 | 132.38平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板楼,37人关注 / 一年前发布,224.5,"16,959元/平"
户型设计很好，3房，出门就是商场，教育公交配套齐全,江西奥林匹克花园 -象湖,3室2厅 | 89.35平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,88.8,"9,939元/平"
象湖繁华区，楼层好，品质大三房,景城名郡 -象湖,3室2厅 | 89.88平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,85,"9,458元/平"
象湖滨江 新洪城大市场 近地铁4号线 南北通风 毛坯3房,洪大赣江城 -象湖,3室2厅 | 113.71平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 一年前发布,122,"10,730元/平"
象湖湿地公园，丰源淳和精装三房！,丰源·淳和 -象湖,3室2厅 | 115.5平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,3人关注 / 一年前发布,123,"10,650元/平"
西站旁，地铁4号线礼庄山站住宅，南北通透好楼层,新力琥珀园一期 -红谷滩,3室2厅 | 116.07平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,10人关注 / 5个月以前发布,157,"13,527元/平"
新力龙湾一期精装修业主诚心出售,新力龙湾一期 -红谷滩,3室2厅 | 89.04平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,7人关注 / 9个月以前发布,104,"11,681元/平"
地铁口    新力物业  小区干净得房率高,新力钰珑湾南区 -红谷滩,3室2厅 | 83.71平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,1人关注 / 一年前发布,77,"9,199元/平"
景观电梯房，进出方便，户型利用率高,力高国际城四期 -象湖,4室1厅 | 123.17平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,126,"10,230元/平"
象湖繁华地段 靠一附院净赚三房,伟梦东方院 -象湖,3室1厅 | 88.08平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,120,"13,624元/平"
此房户型好，采光好，楼层，交通方便,居住主题公园-丁香怡景A区 -象湖,3室2厅 | 111.1平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,111,"9,991元/平"
业主因更换房子，产权清晰，现诚心出售该房源，,保利国际高尔夫花园塞纳河畔 -庐山南大道,3室2厅 | 95平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板楼,11人关注 / 一年前发布,146,"15,369元/平"
万达文化旅游城N区  便宜户型方正 靠江,万达文化旅游城N1区 -九龙湖,3室2厅 | 124.42平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 一年前发布,150,"12,056元/平"
万达文化旅游城E区   育新   通透三房,万达文化旅游城E区 -九龙湖,3室2厅 | 117.57平米 | 南 | 毛坯 | 30层  | 板楼,0人关注 / 一年前发布,160,"13,609元/平"
君悦府的好楼层，毛坯可以自由设计装修风格,君悦府 -莲塘,2室2厅 | 88.55平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,120,"13,552元/平"
幸福时光精装大四房，通透户型，采光好，诚心出售,幸福时光四期 -象湖,4室2厅 | 103.82平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,107,"10,307元/平"
坐拥九龙湖城芯配套，远瞩一江两岸未来风光,绿地国际博览城二期博伟 -九龙湖,3室2厅 | 116.93平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,185,"15,822元/平"
房东诚心卖，环境好，绿化好，户型方正。,万达文化旅游城N3区 -九龙湖,3室1厅 | 111.45平米 | 南 | 精装 | 33层  | 塔楼,5人关注 / 一年前发布,125,"11,216元/平"
房东诚心，中高层景观房，刚需三房，近地铁,万达文化旅游城E区 -九龙湖,3室2厅 | 95.96平米 | 东 | 毛坯 | 33层  | 板楼,1人关注 / 4个月以前发布,125,"13,027元/平"
房东诚心卖，看房方便，位置地段好,九龙馨苑 -九龙湖,3室2厅 | 109.34平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,5人关注 / 一年前发布,317,"28,993元/平"
户型方正交通方便视野宽阔采光充足配套成熟,伟梦清水湾 -象湖,4室2厅 | 136平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,115,"8,456元/平"
房东诚心出售楼下大型*市公交站地铁夜市一条街,银河城春晓苑 -银三角,3室2厅 | 119.92平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,1人关注 / 一年前发布,95,"7,922元/平"
房东急售 小区物业好环境优美 生活交通方便,力高君御世家 -银三角,3室2厅 | 100.17平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,69.8,"6,969元/平"
此房楼层好， 视野开阔，采光充足,万达文化旅游城滨江悦府K1区 -九龙湖,3室2厅 | 97.96平米 | 南 | 毛坯 | 31层  | 塔楼,1人关注 / 一年前发布,105,"10,719元/平"
恒大绿洲六期 电梯精装大四房，红本在手，带车位！,南昌恒大绿洲六期 -银三角,4室2厅 | 176.44平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 一年前发布,180,"10,202元/平"
低密度居住区   环境优美   适合居住！,力高君御世家 -银三角,3室2厅 | 99.29平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,90,"9,065元/平"
精装大三房拎包入住 沃尔码 新力都会一体,江西奥林匹克花园 -象湖,3室1厅 | 89.49平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,4人关注 / 一年前发布,87,"9,722元/平"
一辈子总要住一次万科，万科品质好，通透三房,万科城市花园 -银三角,3室2厅 | 89平米 | 北 南 | 简装 | 高楼层(共32层)  | 塔楼,0人关注 / 6个月以前发布,115,"12,922元/平"
