标题,开发商,房子信息,发布信息,售价/万,单价
二楼户型方正，通风采光好，生活便利,民族里(环城西二路) -象山区,1室1厅 | 46.03平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,15.8,"3,433元/平"
此房带一个小露台，价格实惠，满五唯一,奥林匹克花园雅典阳光 -临桂区,3室2厅 | 104.13平米 | 西北 | 简装 | 低楼层(共32层)  | 板楼,27人关注 / 一年前发布,50,"4,802元/平"
三面采光，视野开阔，精装修，拎包入住,时代枫林（时代枫林商贸城） -临桂区,3室2厅 | 108.39平米 | 东南 南 北 | 精装 | 高楼层(共25层)  | 板塔结合,2人关注 / 11个月以前发布,58,"5,352元/平"
桂医熙境124平电梯三房带车位63万,桂医熙境 -临桂区,3室2厅 | 127.68平米 | 东南 | 毛坯 | 高楼层(共26层)  | 暂无数据,2人关注 / 5个月以前发布,60,"4,700元/平"
奥林匹克左岸巴黎，精装修，证件齐全,奥林匹克花园左岸巴黎 -临桂区,3室2厅 | 127.45平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,2人关注 / 7个月以前发布,69.8,"5,477元/平"
八里五路 金桂城小区3房2厅2卫112平米34万,金桂城小区 -灵川,3室2厅 | 112.59平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,14人关注 / 7个月以前发布,34,"3,020元/平"
八定桥西头6楼三房两厅一卫，有不动产证，,福泽苑 -灵川,3室2厅 | 108.34平米 | 东 西 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,30,"2,770元/平"
有大阳台.小区成熟.通风采光好，中间楼层,碧园•印象桂林 -临桂区,3室2厅 | 129.45平米 | 北 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 9个月以前发布,48.8,"3,770元/平"
汇荣桂林桂林天玺小高层精装大三房急售,汇荣•桂林桂林 -临桂区,3室2厅 | 132.02平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 7个月以前发布,89.8,"6,802元/平"
众阳华城90.15平电梯简装三房拎包入住49.8万,众阳•华城 -临桂区,3室2厅 | 90.15平米 | 东南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,46,"5,103元/平"
奥林匹克花园精装三房，业主急售,奥林匹克花园左岸巴黎 -临桂区,3室2厅 | 97.95平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,7人关注 / 9个月以前发布,51,"5,207元/平"
版楼设计，房子通透，户型方正，一梯三户，,奥林匹克花园左岸巴黎 -临桂区,3室2厅 | 120.44平米 | 东南 | 精装 | 中楼层(共11层)  | 板塔结合,6人关注 / 9个月以前发布,65.5,"5,439元/平"
此房，成交快，房东好讲话，欢迎大家来带看,交通大厦 -临桂区,2室2厅 | 107.06平米 | 北 | 毛坯 | 低楼层(共16层)  | 板楼,1人关注 / 一年前发布,42,"3,924元/平"
此房满五唯一，证件齐全，户型方正，采光好，。。。。,水榭花都 -灵川,3室2厅 | 102.52平米 | 东 西 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,41,"4,000元/平"
此房带一个小露台，价格实惠，满五唯一,奥林匹克花园雅典阳光 -临桂区,3室2厅 | 104.13平米 | 西北 | 简装 | 低楼层(共32层)  | 板楼,27人关注 / 一年前发布,50,"4,802元/平"
山水公园，一院两馆彰泰公园一号精装两房，拎包入住,彰泰公园1号 -临桂区,2室2厅 | 89平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,3人关注 / 5个月以前发布,53,"5,956元/平"
三面采光，视野开阔，精装修，拎包入住,时代枫林（时代枫林商贸城） -临桂区,3室2厅 | 108.39平米 | 东南 南 北 | 精装 | 高楼层(共25层)  | 板塔结合,2人关注 / 11个月以前发布,58,"5,352元/平"
花样年精装小三房一卫 高楼层看水系,花样年花样城 -临桂区,3室2厅 | 103.92平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 7个月以前发布,50.6,"4,870元/平"
大四房 户型方正实用，随时可以看房,碧园•印象桂林 -临桂区,4室2厅 | 140.09平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,63,"4,498元/平"
兴汇城毛坯大四房，好楼层。*大阳台。带车位。,兴汇城 -临桂区,4室2厅 | 139.33平米 | 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,75,"5,383元/平"
桂医熙境124平电梯三房带车位63万,桂医熙境 -临桂区,3室2厅 | 127.68平米 | 东南 | 毛坯 | 高楼层(共26层)  | 暂无数据,2人关注 / 5个月以前发布,60,"4,700元/平"
4房户型，南北边户采光，亮堂。,安厦麒麟湾畔 -临桂区,4室2厅 | 136.65平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 4个月以前发布,58,"4,245元/平"
鲁山路鲁山水泥厂生活区毛坯三房房东急卖，有车库另卖,鲁山水泥厂生活区大院 -临桂区,3室2厅 | 134.36平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 10个月以前发布,39,"2,903元/平"
房子视野宽广，前面全无遮挡，中间楼层采光充足，,里约湖岸 -临桂区,2室2厅 | 94.16平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,8人关注 / 5个月以前发布,35.8,"3,803元/平"
有大阳台.小区成熟.通风采光好，中间楼层,碧园•印象桂林 -临桂区,3室2厅 | 129.45平米 | 北 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 9个月以前发布,48.8,"3,770元/平"
八定桥西头6楼三房两厅一卫，有不动产证，,福泽苑 -灵川,3室2厅 | 108.34平米 | 东 西 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,30,"2,770元/平"
汇荣桂林桂林天玺小高层精装大三房急售,汇荣•桂林桂林 -临桂区,3室2厅 | 132.02平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 7个月以前发布,89.8,"6,802元/平"
朝南大三房，户型方正，采光好精装修拎包入住,慧佳华府 -临桂区,3室2厅 | 125.08平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,1人关注 / 3个月以前发布,57,"4,558元/平"
地段好，小区设备齐全，精装修，房东诚信出售,精通伊顿国际 -临桂区,2室2厅 | 81.06平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,48,"5,922元/平"
户型方正 通透 带装修 有车位 业主诚心出售,金源新城福邸嘉园 -临桂区,3室2厅 | 128平米 | 南 | 简装 | 低楼层(共17层)  | 板塔结合,9人关注 / 8个月以前发布,57.5,"4,493元/平"
国奥城三房两厅两卫，中间楼层，配套设施齐全。,国奥城 -叠彩区,3室2厅 | 115.11平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,92.8,"8,062元/平"
300亩湖景、高品质小区。坐北朝南，户型方正布局合理,花样年•麓湖国际 -临桂区,3室2厅 | 94.74平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 10个月以前发布,60,"6,334元/平"
芦笛路76号 3室2厅 南,芦笛路76号 -叠彩区,3室2厅 | 97平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,45,"4,640元/平"
江与城 四房两厅两卫 精装修 带家具家电  产权117平,江与城 -叠彩区,4室2厅 | 117.89平米 | 北 | 精装 | 低楼层(共11层)  | 暂无数据,3人关注 / 7个月以前发布,134,"11,367元/平"
象山区 春天颂 兴进臻园 春天家园旁幸福家 3房可入住,幸福·家 -象山区,3室2厅 | 99.21平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,62,"6,250元/平"
将军桥 安厦世纪城旁 通透舒适 生活便利 总价低,桂溪园小区 -象山区,2室1厅 | 70.2平米 | 南 | 简装 | 高楼层(共7层)  | 塔楼,13人关注 / 一年前发布,24,"3,419元/平"
春天唐悦精装三房，家具家电全包含，带车位打包,彰泰·春天唐悦 -七星区,3室2厅 | 123.88平米 | 南 北 | 精装 | 低楼层(共8层)  | 板塔结合,2人关注 / 5个月以前发布,150,"12,109元/平"
西门菜市旁边。户型方正。看房方便,环城西二路 -象山区,3室2厅 | 105.95平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,50,"4,720元/平"
东晖国际公馆 电梯中层 精装修3房  采光好 南北朝向,东晖国际公馆 -七星区,3室2厅 | 127.21平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,2人关注 / 8个月以前发布,113,"8,883元/平"
象山区 北斗·城南旺角 两房两厅两卫 111.34平90万,北斗·城南旺角 -象山区,2室2厅 | 111.34平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,83,"7,455元/平"
精装大三房急售，好楼层好户型，双大阳台，,金水湾境界 -临桂区,3室2厅 | 132.95平米 | 东南 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 11个月以前发布,77.8,"5,852元/平"
二房一厅一卫 证件齐全 无抵押,在水一方休闲街C段 -临桂区,2室1厅 | 84.48平米 | 东 | 精装 | 低楼层(共2层)  | 暂无数据,5人关注 / 一年前发布,31.5,"3,729元/平"
255平大平层，带车位，精装修，背靠山，阳台可看水,金源新城福邸嘉园 -临桂区,5室3厅 | 255.1平米 | 南 北 | 精装 | 中楼层(共15层)  | 板塔结合,5人关注 / 3个月以前发布,135,"5,293元/平"
碧园印象桂林精装2房78平带家具家电,碧园•印象桂林 -临桂区,2室2厅 | 78.56平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,52人关注 / 一年前发布,44,"5,601元/平"
兴汇城全新装修3房业主急需资金周转精装优势出售,兴汇城 -临桂区,3室2厅 | 104.57平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,6人关注 / 一年前发布,57,"5,451元/平"
三大房，中等装修，拎包入住，免物业管理费,金禾苑1#A区 -临桂区,3室2厅 | 131.88平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,47,"3,564元/平"
鸿湖居民区大三房，好楼层采光通风好满二，急售,鸿湖居民区 -临桂区,3室2厅 | 165平米 | 东 西 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,53,"3,213元/平"
兴进广场 兴进上郡 电梯7楼一梯两户 边户型带车位,兴进上郡 -七星区,4室2厅 | 131.41平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,153,"11,643元/平"
彰泰城市一号.3房2厅1卫.交通方便,彰泰城市一号 -临桂区,3室2厅 | 87.6平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 11个月以前发布,61,"6,964元/平"
桃源居 精装修 带家电家具 低楼层 大四房,彰泰桃源居 -秀峰区,4室2厅 | 118.12平米 | 西南 北 | 精装 | 中楼层(共11层)  | 板塔结合,4人关注 / 7个月以前发布,122,"10,329元/平"
育才教师宿舍楼养生楼层精致三房仅售68万,育才教师住宅楼 -七星区,3室1厅 | 63.71平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,64.8,"10,172元/平"
碧水康城中间楼栋 跃层式结构 舒适三房,信昌·碧水康城 -七星区,3室2厅 | 122.97平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 4个月以前发布,98,"7,970元/平"
三里店体育馆旁东晖国际满五唯一豪 装证件在手无贷款,东晖国际公馆 -七星区,3室2厅 | 142.58平米 | 南 北 | 其他 | 中楼层(共12层)  | 板塔结合,0人关注 / 6个月以前发布,124.5,"8,732元/平"
兴进上郡精装四房房屋优质户型好用价格美丽,兴进上郡 -七星区,4室2厅 | 139平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 6个月以前发布,195,"14,029元/平"
滟澜山小区精装复式楼，大阳台可以看风景，证件齐全。,彰泰滟澜山 -临桂区,4室3厅 | 89.78平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,2人关注 / 一年前发布,120.5,"13,422元/平"
11中旁大三房电梯 配套齐全 交通便利,御林湾 -象山区,3室2厅 | 108.14平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,68,"6,289元/平"
金水湾境界2房2厅1卫，中间楼层,金水湾境界 -临桂区,2室2厅 | 82.95平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 31天以前发布,46,"5,546元/平"
榕湖琴谭，位置好，两房精装步梯,巾山路12号 -秀峰区,2室1厅 | 89.61平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 27天以前发布,49.5,"5,524元/平"
安厦世纪城安沁园  户型方正， 通风采光好 ，视野开阔,安厦世纪城安沁园 -象山区,3室2厅 | 98.05平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 31天以前发布,136,"13,871元/平"
德天商业广场 空中花园，视野开阔，户型很好。,德天商业广场 -象山区,2室2厅 | 107.2平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 28天以前发布,54.5,"5,084元/平"
采光通风好，户型方正，视野开阔。,信义路9号 -象山区,3室1厅 | 91.52平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,63,"6,884元/平"
铁道疗养院小区2-1-1-1 63.28m² 35 万,铁道疗养院小区 -象山区,2室1厅 | 63.28平米 | 南 北 | 其他 | 高楼层(共7层)  | 塔楼,0人关注 / 25天以前发布,35,"5,531元/平"
花样年花样城 四房两厅两卫  品质小区,花样年花样城 -临桂区,4室2厅 | 134平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,1人关注 / 一年前发布,80,"5,971元/平"
一院两馆旁 楼中楼 带露台 有车位,佳城地王国际 -临桂区,5室3厅 | 281平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,2人关注 / 一年前发布,165,"5,872元/平"
云顶御峰  生活便利   配套齐全,云顶御峰 -临桂区,2室2厅 | 81.54平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,35,"4,293元/平"
兴荣郡大三房、户型方正，视线开阔,兴荣郡 -临桂区,3室2厅 | 120平米 | 北 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 一年前发布,76,"6,334元/平"
临桂新区一梯两户！纯板楼！电梯洋房！证件齐全！,新城吾悦华府 -临桂区,4室2厅 | 135平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,95,"7,038元/平"
户型房子格局好，楼层中间楼层，楼层效好,西城新天地 -临桂区,4室2厅 | 152平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 一年前发布,79,"5,198元/平"
民政局大院中装3房+阁楼+车库,民政局小区 -临桂区,3室2厅 | 141平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,58,"4,114元/平"
水系公园旁 比邻市民广场 万达吾悦 生活配套成熟,三祺•澜湖国际 -临桂区,4室2厅 | 125平米 | 西南 | 毛坯 | 中楼层(共26层)  | 塔楼,3人关注 / 一年前发布,64,"5,120元/平"
花样年三房两厅两卫  加车位一起出售62万,花样年花样城 -临桂区,3室2厅 | 123平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,60.8,"4,944元/平"
桂林碧桂园 小高层 板楼 大四房,桂林碧桂园 -临桂区,4室2厅 | 142.22平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,95,"6,680元/平"
金山路金茂小区，大3房加有产权车库,金茂小区 -临桂区,3室1厅 | 122.57平米 | 北 | 毛坯 | 中楼层(共6层)  | 塔楼,4人关注 / 一年前发布,48,"3,917元/平"
彰泰新城大四房交通便利看园林水系低价出售,彰泰新城 -临桂区,4室2厅 | 161平米 | 东南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 一年前发布,70,"4,348元/平"
奥林匹克雅典阳光 大5房2厅2卫252平米卖,奥林匹克花园雅典阳光 -临桂区,5室2厅 | 252.8平米 | 南 | 毛坯 | 高楼层(共15层)  | 板楼,30人关注 / 一年前发布,102,"4,035元/平"
花样年花样城，毛坯大四房，看房方便,花样年花样城 -临桂区,4室2厅 | 143.68平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,72.8,"5,067元/平"
急卖精装房买一层带一层天面有大露台,中仁居民区 -临桂区,4室2厅 | 164.94平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,59.8,"3,626元/平"
花样年花样城二期 3室2厅 南,花样年花样城二期 -临桂区,3室2厅 | 114.28平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,5人关注 / 一年前发布,54,"4,726元/平"
临桂新区 机场路边  毛坯 四房带车位  急售,彰泰新城 -临桂区,4室2厅 | 116平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,4人关注 / 一年前发布,67,"5,776元/平"
采光足，视野好，满五唯一，证件齐全，业主降价出售了,佳和花园 -临桂区,3室2厅 | 132.5平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,37人关注 / 一年前发布,42,"3,170元/平"
5室3厅 品质小区   一院两馆旁,佳城地王国际 -临桂区,5室3厅 | 280平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,2人关注 / 一年前发布,155.5,"5,554元/平"
彰泰城市一号 大4房，户型方正，采光好，含车位,彰泰城市一号 -临桂区,4室2厅 | 124.97平米 | 北 | 毛坯 | 中楼层(共32层)  | 塔楼,3人关注 / 10个月以前发布,76,"6,082元/平"
花样年二期，中楼层，大4房低价出售,花样年花样城二期 -临桂区,4室2厅 | 130.2平米 | 东南 | 简装 | 低楼层(共32层)  | 板楼,5人关注 / 一年前发布,64.5,"4,954元/平"
佳和花园交通便利，生活配套齐全,佳和花园 -临桂区,5室2厅 | 247平米 | 南 | 毛坯 | 3层  | 板楼 | 双拼别墅 ,2人关注 / 10个月以前发布,170,"6,883元/平"
精通伊顿国际大四房143平，采光通风好，南北向,精通伊顿国际 -临桂区,4室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,98,"6,854元/平"
入户大堂 中间楼层楼间距宽 视野开阔 户型方正 急售,彰泰新城 -临桂区,3室2厅 | 148.08平米 | 北 | 毛坯 | 中楼层(共26层)  | 塔楼,1人关注 / 一年前发布,71.5,"4,829元/平"
花生塘湖景大四房精装修拎包入住户型方正南 北通透,慧佳顺和苑 -临桂区,4室2厅 | 138.78平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,12人关注 / 4个月以前发布,59,"4,252元/平"
金水湾境界群贤复式楼证件齐全满五不唯一拎包入住,金水湾境界 -临桂区,4室2厅 | 165.27平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,7人关注 / 一年前发布,82,"4,962元/平"
房子三面采光，亮度高，中间楼层，适合任何人群,金水湾花园 -临桂区,3室2厅 | 128平米 | 东 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,46.5,"3,633元/平"
成熟商圈，配套齐全，新大城小区大三房业主急售。,新大城 -临桂区,3室2厅 | 132.63平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,57.8,"4,358元/平"
临桂新区 彰泰新城  毛坯 大三房  急售 双证齐全,彰泰新城 -临桂区,3室2厅 | 143平米 | 北 | 毛坯 | 中楼层(共26层)  | 塔楼,7人关注 / 一年前发布,68,"4,756元/平"
奥林匹克悉尼蓝湾 通透小三房  有证无贷  急售 带入户,奥林匹克花园悉尼蓝湾 -临桂区,3室2厅 | 106平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,2人关注 / 一年前发布,56,"5,284元/平"
花样年三个大阳台，大三房，有证无贷,花样年花样城 -临桂区,3室2厅 | 125.81平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,74.8,"5,946元/平"
中间楼层采光好，彰泰品质物业，小区环境好,彰泰·春天 -七星区,4室2厅 | 163平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 7个月以前发布,225,"13,804元/平"
房东急售 价格可议 南北对流 中间楼层,万象•芭堤雅 -临桂区,3室2厅 | 125.19平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 一年前发布,65,"5,193元/平"
彰泰欢乐颂户型方正，小区环境优美楼层好,彰泰欢乐颂 -临桂区,4室2厅 | 116平米 | 东南 | 毛坯 | 低楼层(共35层)  | 板塔结合,0人关注 / 一年前发布,70.5,"6,078元/平"
山水凤凰城独栋大别墅占地470平 诚心出售,山水凤凰城 -临桂区,6室2厅 | 300平米 | 南 | 毛坯 | 2层  | 板楼 | 独栋别墅 ,1人关注 / 一年前发布,295,"9,834元/平"
华为工业园区，彰泰楼盘毛坯四房，业主急售,彰泰欢乐颂 -临桂区,4室2厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 暂无数据,1人关注 / 4个月以前发布,65,"5,556元/平"
新城国奥小区4-2-1-2 192.23m² 145 万,新城国奥小区 -临桂区,4室2厅 | 192.23平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板楼,0人关注 / 一年前发布,138,"7,179元/平"
新城国奥小区 190平 大4房 带车位,新城国奥小区 -临桂区,4室2厅 | 190平米 | 南 | 毛坯 | 低楼层(共23层)  | 板楼,2人关注 / 一年前发布,135,"7,106元/平"
朝南的2号房，带车位，景观房，毛坯,新城国奥小区 -临桂区,4室2厅 | 192.05平米 | 南 | 毛坯 | 中楼层(共23层)  | 板塔结合,4人关注 / 8个月以前发布,147,"7,655元/平"
彰泰滟澜山毛坯 大四房 宽敞明亮有钥匙看房,彰泰滟澜山 -临桂区,4室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,75,"6,250元/平"
养生楼层，楼间距宽，小区环境优美，人车分流，户型,三祺•澜湖国际 -临桂区,4室2厅 | 127.04平米 | 南 | 毛坯 | 低楼层(共26层)  | 塔楼,3人关注 / 3个月以前发布,48.8,"3,842元/平"
249.6万出售 兴进上郡192平 标准中空顶楼复式 带露台,兴进上郡 -七星区,5室2厅 | 192平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,6人关注 / 10个月以前发布,249,"12,969元/平"
急  精通伊顿国际 大四房137平仅售66万,精通伊顿国际 -临桂区,4室2厅 | 136.99平米 | 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,7人关注 / 一年前发布,65,"4,745元/平"
249.6万出售 兴进上郡192平 标准中空顶楼复式 带露台,兴进上郡 -七星区,5室2厅 | 192平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,6人关注 / 10个月以前发布,249,"12,969元/平"
公务员小区  带大入户花园  可看水系景观  毛坯大三房,新城国奥小区 -临桂区,3室2厅 | 132.33平米 | 南 | 毛坯 | 高楼层(共21层)  | 板楼,3人关注 / 一年前发布,106,"8,011元/平"
桂林临桂新区彰泰欢乐颂 130平大四房 电梯高层带,彰泰欢乐颂 -临桂区,5室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共35层)  | 板塔结合,0人关注 / 一年前发布,91,"7,000元/平"
花样年小三房，中高楼层，户型方正，采光好,花样年花样城 -临桂区,3室2厅 | 104.6平米 | 西南 | 毛坯 | 高楼层(共32层)  | 板楼,5人关注 / 一年前发布,49.8,"4,761元/平"
万象·芭堤雅 泰式特色小区 清水三房两厅两卫,万象•芭堤雅 -临桂区,3室2厅 | 125.19平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 一年前发布,66,"5,272元/平"
奥林匹克  里约湖岸大2房 93平米带车位 邻近两江四湖,里约湖岸 -临桂区,2室2厅 | 93.06平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,1人关注 / 一年前发布,68,"7,308元/平"
户型方正，屋内空间大，楼间距宽，一线江景房。,三祺•澜湖国际 -临桂区,5室2厅 | 185平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,3人关注 / 一年前发布,120,"6,487元/平"
临桂新区 碧桂园剑桥郡128平 南北双阳台舒适四房 诚售,碧桂园剑桥郡 -临桂区,4室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,1人关注 / 7个月以前发布,70,"5,469元/平"
新城国奥小区，190平大4房出售,新城国奥小区 -临桂区,4室2厅 | 190平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,1人关注 / 5个月以前发布,126,"6,632元/平"
家园小区  三房二厅二卫带60平阁楼 出售,家园 -灵川,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,60,"4,546元/平"
户型方正     交通方便  配套成熟  采光通风好,彰泰峰誉 -灵川,5室2厅 | 129平米 | 东南 | 毛坯 | 中楼层(共48层)  | 板塔结合,0人关注 / 一年前发布,80,"6,202元/平"
国惠村看水系景观房 边户采光好 电梯直达地下室,新城国奥小区 -临桂区,4室2厅 | 192平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,0人关注 / 4个月以前发布,120,"6,250元/平"
临桂新区 金山广场 碧园香樟林 步梯复式楼 露台多,碧园香樟林 -临桂区,4室2厅 | 160平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,40人关注 / 一年前发布,46,"2,875元/平"
彰泰欢乐颂 一楼带花园 四房两厅两卫,彰泰欢乐颂 -临桂区,4室2厅 | 116平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 5个月以前发布,70,"6,035元/平"
花样年•麓湖国际空中墅 满五非唯一 五房二厅四卫,花样年•麓湖国际 -临桂区,4室2厅 | 237.21平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,185,"7,799元/平"
兴进兴汇城一线江景4房，房东诚心出售。,兴汇城 -临桂区,4室2厅 | 120平米 | 东 东南 | 毛坯 | 低楼层(共30层)  | 板楼,1人关注 / 一年前发布,70,"5,834元/平"
买 麓湖 房子还配一个车位好住又实惠,花样年•麓湖国际 -临桂区,3室2厅 | 203平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,159,"7,833元/平"
板楼设计，视野开阔湖累房，无遮挡,花样年•麓湖国际 -临桂区,5室2厅 | 204平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,1人关注 / 9个月以前发布,153,"7,500元/平"
急售兴汇城4房。中间楼层房子视野开阔采光好,兴汇城 -临桂区,4室2厅 | 142.93平米 | 北 | 毛坯 | 中楼层(共33层)  | 板楼,3人关注 / 一年前发布,67,"4,688元/平"
花生唐旁兴汇城，毛坯四房，中间楼层,兴汇城 -临桂区,4室2厅 | 140平米 | 北 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,72,"5,143元/平"
麓湖国际春晓一期 湖景房 四房两厅,花样年•麓湖国际 -临桂区,4室2厅 | 136平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,10人关注 / 一年前发布,97,"7,133元/平"
有证朝南，板楼小高层，急售，楼层好,交通大厦 -临桂区,4室2厅 | 170.23平米 | 东南 南 | 毛坯 | 中楼层(共16层)  | 板楼,5人关注 / 一年前发布,62,"3,643元/平"
碧园香樟林 精致毛坯 环境优美,碧园香樟林 -临桂区,3室2厅 | 109平米 | 东 东南 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,50,"4,588元/平"
洋房，一梯两户，采光好，户型方正实用,桂医熙境 -临桂区,5室2厅 | 275平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,149.9,"5,451元/平"
