标题,开发商,房子信息,发布信息,售价/万,单价
豪庭御都 3室2厅 南 北,豪庭御都 -北湖区,3室2厅 | 158平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 7天以前发布,126,"7,975元/平"
济州印象，洋房大平层，有车位可贷款好楼层！,济州印象 -西城区,5室1厅 | 272平米 | 南 北 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,310,"11,398元/平"
电影公司宿舍 3室1厅 南,电影公司宿舍 -西城区,3室1厅 | 88.6平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 一年前发布,130,"14,673元/平"
中海城观园 4室2厅 南,中海城观园 -西城区,4室2厅 | 143平米 | 南 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,190,"13,287元/平"
西岸华府 4室2厅 南,西岸华府 -西城区,4室2厅 | 258平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 7个月以前发布,200,"7,752元/平"
中梁壹号院联排别墅  带三个车位,望月湾 -南池区,4室3厅 | 220平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 6个月以前发布,480,"21,819元/平"
金居佳苑 4室2厅 南,金居佳苑 -济北区,4室2厅 | 155平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 6个月以前发布,58,"3,742元/平"
中动长泰蘭园 6室3厅 南,中动长泰蘭园 -济北区,6室3厅 | 220平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 7个月以前发布,650,"29,546元/平"
菱花小区 5室2厅 南 北,菱花小区 -济北区,5室2厅 | 145平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,80,"5,518元/平"
嘉禾苑小区 3室2厅 南,嘉禾苑小区 -济北区,3室2厅 | 205平米 | 南 | 其他 | 低楼层(共19层)  | 板楼,3人关注 / 7个月以前发布,230,"11,220元/平"
双车位满两年 南北院80平 有钥匙 上下4层客厅挑空,天地北湖湾 -北湖区,5室2厅 | 294平米 | 南 北 | 其他 | 低楼层(共3层)  | 板楼,0人关注 / 1个月以前发布,600,"20,409元/平"
都市豪庭顶层复式，带2车位，房间多还有观景平台,大地•都市春天 -济北区,7室2厅 | 255平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,9人关注 / 一年前发布,280,"10,981元/平"
此房满五唯一，南北通风，一楼带院子外开门，采光充足,仙北小区 -济北区,3室1厅 | 71.08平米 | 南 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 10个月以前发布,80,"11,255元/平"
杨柳国际新城H区 4室3厅 南 北,杨柳国际新城H区 -济北区,4室3厅 | 153.5平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,100,"6,515元/平"
环北二化工宿舍，72平两居55万，价格可议,环北二化工宿舍 -西城区,2室1厅 | 72.7平米 | 东 西 | 其他 | 高楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,53,"7,291元/平"
杨柳国际新城H区 4室3厅 南 北,杨柳国际新城H区 -济北区,4室3厅 | 153.5平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,100,"6,515元/平"
环北二化工宿舍，72平两居55万，价格可议,环北二化工宿舍 -西城区,2室1厅 | 72.7平米 | 东 西 | 其他 | 高楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,53,"7,291元/平"
杨柳国际新城B区 4室2厅 南 北,杨柳国际新城B区 -济北区,4室2厅 | 148平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,96,"6,487元/平"
万达商圈，购物方便，位置优越，交通便利。,建设新村 -万达区,3室2厅 | 127平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,2人关注 / 一年前发布,118,"9,292元/平"
三室朝阳，南北通透，客厅有窗，全明户型，实用面积大,里能舜泰园 -济北区,3室2厅 | 104平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,8人关注 / 8个月以前发布,118,"11,347元/平"
康城丽景 4室2厅 南,康城丽景 -济北区,4室2厅 | 145平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,175,"12,069元/平"
高新区大平层，创业公寓6-2-1-4 386.00m² 300 万,创业公寓 -兖州区,6室2厅 | 386平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,2人关注 / 9个月以前发布,300,"7,773元/平"
警韵之家 4室2厅 南,警韵之家 -济北区,4室2厅 | 178平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,280,"15,731元/平"
杨柳国际新城顶楼复式，单价低，面积大，房东诚心出售,杨柳国际新城F区 -济北区,6室2厅 | 203平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 10个月以前发布,110,"5,419元/平"
百大生态园 上下两层 四室两厅 毛坯,百大生态庄园 -邹城市,4室2厅 | 343平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,1人关注 / 一年前发布,240,"6,998元/平"
滟澜上府 133平四室毛坯随心装 102万带车位,滟澜上府 -邹城市,4室2厅 | 132.74平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,102,"7,685元/平"
万达北临 红星新苑 花了100万装修 含朝阳大车库,红星新苑 -万达区,5室2厅 | 198平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,16人关注 / 一年前发布,178,"8,990元/平"
西红庙常青盛源3室毛坯，新房，回迁，随时看房,常青盛源 -西城区,4室2厅 | 139.7平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 暂无数据,1人关注 / 3个月以前发布,128,"9,163元/平"
西红庙常青盛源3室毛坯新房，没住人，可随时看房,常青盛源 -西城区,4室2厅 | 139.7平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,1人关注 / 3个月以前发布,128,"9,163元/平"
碧桂园大别墅 六室三厅三卫带露台 有车位,邹城碧桂园 -邹城市,6室3厅 | 258.88平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,310,"11,975元/平"
联排别墅一楼二楼是复式有院子和车位南向开门优质房源,华盛苑 -南池区,5室3厅 | 237平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板塔结合,6人关注 / 一年前发布,549,"23,165元/平"
杨柳顶楼复式，带车库，房东急售，价格可谈！！,杨柳国际新城H区 -济北区,5室2厅 | 156.08平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,102,"6,536元/平"
华盛苑联排别墅 带院子 上下三层可贷款 有车位,华盛苑 -南池区,5室1厅 | 237平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,3人关注 / 9个月以前发布,480,"20,254元/平"
此房为别墅，上下四层，带院带双车位,中南瑞马樾府 -南池区,5室2厅 | 260平米 | 南 | 毛坯 | 低楼层(共3层)  | 板楼,4人关注 / 一年前发布,700,"26,924元/平"
环境优美 适宜居住 配套齐全 出行方便,龙玺·香醍溪谷 -兖州区,4室3厅 | 193.18平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,163,"8,438元/平"
红星9号院红星东路与供销路交汇处,红星9号院 -万达区,2室2厅 | 104平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 暂无数据,4人关注 / 一年前发布,165,"15,866元/平"
海关路单位三室 四室好楼层  停车方便,海关路17号 -万达区,4室1厅 | 93.29平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,14人关注 / 一年前发布,116,"12,435元/平"
青年城三期华锦苑 5室3厅 南,青年城三期华锦苑 -南池区,5室3厅 | 198平米 | 南 | 其他 | 低楼层(共9层)  | 暂无数据,1人关注 / 6个月以前发布,350,"17,677元/平"
济州印象 6室2厅 南,济州印象 -西城区,6室2厅 | 272.72平米 | 南 | 精装 | 中楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,300,"11,001元/平"
万达商圈3室，户型好，没有公摊,竹溪雅居 -万达区,3室1厅 | 88.02平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,90人关注 / 一年前发布,73,"8,294元/平"
石油公司宿舍 4室1厅 南,石油公司宿舍 -万达区,4室1厅 | 85.5平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 10个月以前发布,115,"13,451元/平"
济州印象 5室2厅 南,济州印象 -西城区,5室2厅 | 207平米 | 南 | 其他 | 低楼层(共23层)  | 平房,1人关注 / 3个月以前发布,240,"11,595元/平"
华盛苑 5室1厅 南 北,华盛苑 -南池区,5室1厅 | 178平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 10个月以前发布,350,"19,663元/平"
长虹小区 4室2厅 东南,长虹小区 -济北区,4室2厅 | 145平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 11个月以前发布,110,"7,587元/平"
都市花园 复式 4室2厅 户型合理 带平台 带车库,都市花园 -西城区,4室2厅 | 203平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,3人关注 / 10个月以前发布,225,"11,084元/平"
益民东区 3室2厅 南,益民东区 -西城区,3室2厅 | 140平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,170,"12,143元/平"
曹西 4室2厅 南 北,曹西 -西城区,4室2厅 | 116平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,1人关注 / 8个月以前发布,85,"7,328元/平"
华盛苑 5室1厅 南 北,华盛苑 -南池区,5室1厅 | 178平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 10个月以前发布,350,"19,663元/平"
济州印象 5室2厅 南,济州印象 -西城区,5室2厅 | 207平米 | 南 | 其他 | 低楼层(共23层)  | 平房,1人关注 / 3个月以前发布,240,"11,595元/平"
上山街上下两层带院 外开门 四室两厅130万,上山街 -邹城市,4室2厅 | 129.52平米 | 南 | 简装 | 低楼层(共2层)  | 暂无数据,2人关注 / 5个月以前发布,130,"10,038元/平"
圣湖世家大平层 大四室 带俩车位一楼带大院子,华城圣湖世家 -万达区,4室2厅 | 225平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,12人关注 / 6个月以前发布,279,"12,400元/平"
上下四层复式洋房，带前后花园，带车位,济州古城·香樟园 -西城区,5室3厅 | 185平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,300,"16,217元/平"
永胜花园三室   可贷款 储藏室 三室朝阳 采光好,永胜花园 -万达区,3室2厅 | 155平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,9人关注 / 一年前发布,128,"8,259元/平"
刘庄小区 3室1厅 南 北,刘庄小区 -万达区,3室1厅 | 76平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 5个月以前发布,120,"15,790元/平"
圣湖世家大平层5室2厅3卫，中间楼层1梯2户，观景房,华城圣湖世家 -万达区,5室2厅 | 270平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2人关注 / 6个月以前发布,320,"11,852元/平"
南池来鹤南区4楼2室朝阳南北通透加阁楼储藏室,来鹤小区 -南池区,2室2厅 | 63.33平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,65,"10,264元/平"
姜楼社区 4室2厅 南 北,姜楼社区 -西城区,4室2厅 | 188平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,118,"6,277元/平"
来鹤小区北区复式有阁楼楼下三室一厅楼上三室一厅有储,来鹤小区北区 -南池区,3室1厅 | 87平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,83,"9,541元/平"
华城圣湖世家 4室2厅 南 北,华城圣湖世家 -万达区,4室2厅 | 225平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,8人关注 / 10个月以前发布,225,"10,000元/平"
霍小 十五中 铁塔寺翰林街 低楼层 三室两厅 出售,翰林街社区(财神阁街) -西城区,4室1厅 | 114.36平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,3人关注 / 7个月以前发布,135,"11,805元/平"
此房满五，户型敞亮，全明户型。,邮电新苑 -济北区,3室1厅 | 93平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 8个月以前发布,118,"12,689元/平"
光明小区大三室，好停车，可以贷款！,光明小区 -济北区,3室2厅 | 128.57平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,120,"9,334元/平"
菜市小区(建设路) 4室1厅 南 北,菜市小区(建设路) -万达区,4室1厅 | 95平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,130,"13,685元/平"
杨柳国际新城G区 5室2厅 南,杨柳国际新城G区 -济北区,5室2厅 | 146平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,70,"4,795元/平"
东海院子 141平四室全明户型 急售126万带车位储藏室,邹城东海院子 -邹城市,4室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,11人关注 / 9个月以前发布,126,"8,874元/平"
济宁市公路局宿舍 3室2厅 南,济宁市公路局宿舍 -西城区,3室2厅 | 107.34平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,169,"15,745元/平"
圣都花园三室好楼层带储藏室可贷款 满五,圣都花园(邹城市) -邹城市,3室2厅 | 113平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,63,"5,576元/平"
龙翔御书坊，3室，毛坯，可随意装修,龙翔御书坊 -济北区,3室2厅 | 128.51平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,8人关注 / 9个月以前发布,114,"8,871元/平"
任兴实验初中实验小，学上下复式5室，适合一家3代住，,南刘庄A区 -济北区,5室2厅 | 173.56平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,140,"8,067元/平"
碧桂园中 央公园 一楼带院带下沉负一 四室两厅大平方,城投碧桂园中央公园 -北湖区,4室1厅 | 164平米 | 南 | 其他 | 低楼层(共31层)  | 板楼,2人关注 / 7个月以前发布,349,"21,281元/平"
青建白鹭洲 房东急售卖房   诚信出售,青建白鹭洲 -北湖区,5室1厅 | 241平米 | 南 | 毛坯 | 低楼层(共1层)  | 板楼,1人关注 / 11个月以前发布,530,"21,992元/平"
龙翔御书坊 3室2厅 南,龙翔御书坊 -济北区,3室2厅 | 151.76平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,190,"12,520元/平"
阳光城市花园大三居，户型方正，南北通透。,阳光城市花园B区 -济北区,3室2厅 | 162平米 | 南 北 | 其他 | 高楼层(共29层)  | 板楼,1人关注 / 7个月以前发布,180,"11,112元/平"
新区睿湖畔翠都国际大平层精装五室中间楼层,翠都国际城 -济北区,5室2厅 | 191.7平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,2人关注 / 一年前发布,185,"9,651元/平"
十三中电梯精装好房 高档小区 户型合理 南北通透,领秀庄园 -济北区,3室2厅 | 164平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,5人关注 / 一年前发布,230,"14,025元/平"
瑞马名门 四室  两厅 两卫 两阳台 车位 储藏室,瑞马名门 -济北区,4室2厅 | 183.86平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 5个月以前发布,242,"13,163元/平"
瑞马名门大平层    小区人车分流  安保系统完善,瑞马名门 -济北区,4室2厅 | 245平米 | 南 北 | 其他 | 中楼层(共26层)  | 板塔结合,1人关注 / 5个月以前发布,343,"14,000元/平"
新出警韵之家 业主诚心出售 可看房可贷款,警韵之家 -济北区,4室2厅 | 178平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,2人关注 / 9个月以前发布,217,"12,192元/平"
地税局家属院 3室2厅 南,地税局家属院 -邹城市,3室2厅 | 98平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,68,"6,939元/平"
翠都国际，观湖楼层，看房方便，有钥匙。有车位。,翠都国际城 -济北区,5室2厅 | 198平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,4人关注 / 一年前发布,200,"10,102元/平"
此房满五，房东诚心出售，价格可谈。看房方便，带车库,滨湖花园 -济北区,5室2厅 | 232.98平米 | 南 | 其他 | 上叠(共4层)  | 板楼 | 叠拼别墅 ,4人关注 / 一年前发布,340,"14,594元/平"
菜市小区(建设路) 4室1厅 南 北,菜市小区(建设路) -万达区,4室1厅 | 95平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,130,"13,685元/平"
杨柳国际新城G区 5室2厅 南,杨柳国际新城G区 -济北区,5室2厅 | 146平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,70,"4,795元/平"
滨湖花园 6室2厅 南 北,滨湖花园 -济北区,6室2厅 | 423平米 | 南 北 | 其他 | 2层  | 暂无数据 | 独栋别墅 ,5人关注 / 一年前发布,1000,"23,641元/平"
都市春天3室精装，随时看房，一梯两户南北通透,大地•都市春天 -济北区,3室2厅 | 145平米 | 南 北 | 精装 | 低楼层(共12层)  | 板塔结合,7人关注 / 一年前发布,159,"10,966元/平"
明珠东云轩 电梯洋房 好位置好户型,明珠东云轩 -万达区,4室2厅 | 186.65平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,198,"10,609元/平"
阳光盛景园 没住过人 环境优美 有钥匙价格可议,阳光盛景园 -济北区,3室2厅 | 141平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,195,"13,830元/平"
此房视野宽阔，采光好，通风好，装修质量好，十三中,新世纪花园  -济北区,4室2厅 | 160平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,235,"14,688元/平"
龙翔御书坊 3室2厅 南,龙翔御书坊 -济北区,3室2厅 | 151.76平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,190,"12,520元/平"
里能舜泰园 3室2厅 南 北,里能舜泰园 -济北区,3室2厅 | 126.65平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,138,"10,897元/平"
新区睿湖畔翠都国际大平层精装五室中间楼层,翠都国际城 -济北区,5室2厅 | 191.7平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,2人关注 / 一年前发布,185,"9,651元/平"
阳光城市花园大三居，户型方正，南北通透。,阳光城市花园B区 -济北区,3室2厅 | 162平米 | 南 北 | 其他 | 高楼层(共29层)  | 板楼,1人关注 / 7个月以前发布,180,"11,112元/平"
高新管委会宿舍 4室2厅 南 北,高新管委会宿舍 -济北区,4室2厅 | 198.2平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,0人关注 / 8个月以前发布,295,"14,884元/平"
前郭舜泰园大三室118.5平三室朝阳中间位置,舜泰园前郭小区 -济北区,3室2厅 | 118.5平米 | 北 南 | 其他 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,105,"8,861元/平"
薛口育賢家園 3室2厅 南,薛口育賢家園 -济北区,3室2厅 | 144.37平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,160,"11,083元/平"
都市豪庭，洋房三室，好楼层，地上地下俩车位，带储,大地•都市春天 -济北区,3室2厅 | 158平米 | 南 北 | 其他 | 高楼层(共12层)  | 板楼,4人关注 / 8个月以前发布,232,"14,684元/平"
瑞马意墅    小区环境优美  出行方便  交通便利,瑞马意墅 -济北区,5室1厅 | 182.72平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 6个月以前发布,310,"16,966元/平"
挨着体育广场 上下两层带院子 交通便利生活方便,北兴路1089号 -邹城市,4室2厅 | 140.21平米 | 北 南 | 简装 | 低楼层(共2层)  | 暂无数据,2人关注 / 5个月以前发布,95,"6,776元/平"
天福家园多层五楼 三室有储藏室,天福家园 -邹城市,3室2厅 | 108平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,75,"6,945元/平"
薛口家园 经典2室 任兴 急售翠都汇翠园瑞马警韵,薛口家园 -济北区,2室2厅 | 108.73平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,5人关注 / 一年前发布,105,"9,657元/平"
十三中电梯精装好房 高档小区 户型合理 南北通透,领秀庄园 -济北区,3室2厅 | 164平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,5人关注 / 一年前发布,230,"14,025元/平"
碧桂园中 央公园 一楼带院带下沉负一 四室两厅大平方,城投碧桂园中央公园 -北湖区,4室1厅 | 164平米 | 南 | 其他 | 低楼层(共31层)  | 板楼,2人关注 / 7个月以前发布,349,"21,281元/平"
青建白鹭洲 房东急售卖房   诚信出售,青建白鹭洲 -北湖区,5室1厅 | 241平米 | 南 | 毛坯 | 低楼层(共1层)  | 板楼,1人关注 / 11个月以前发布,530,"21,992元/平"
看房随时有钥匙单位宿舍无公摊好停车三室朝阳，十三中,仙营社区中区法院宿舍 -济北区,3室2厅 | 144平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,14人关注 / 一年前发布,158,"10,973元/平"
新出！大平层翠都国际城 毛坯五室 随意装修 无，税,翠都国际城 -济北区,5室2厅 | 225.45平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,11人关注 / 一年前发布,200,"8,872元/平"
新出！大平层翠都国际城 毛坯五室 随意装修 无，税,翠都国际城 -济北区,5室2厅 | 225.45平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,11人关注 / 一年前发布,200,"8,872元/平"
明珠东云轩 电梯洋房 好位置好户型,明珠东云轩 -万达区,4室2厅 | 186.65平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,198,"10,609元/平"
益民东区三室向阳 实际145平 位置好单位宿舍,益民东区 -西城区,3室2厅 | 140平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,9人关注 / 一年前发布,138,"9,858元/平"
南池公馆 精装四室两厅两卫 有车位 可贷款,鲁商南池公馆 -南池区,4室2厅 | 186平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,9人关注 / 一年前发布,260,"13,979元/平"
此房电梯洋房 总高六楼  此房三楼 看房有钥匙,融创滨江壹号 -西城区,4室2厅 | 143.5平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,143,"9,966元/平"
阳光润泽园 5室2厅 南,阳光润泽园 -济北区,5室2厅 | 203.47平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,13人关注 / 一年前发布,189,"9,289元/平"
诚意出售 名仕 三室两厅一厨两卫 中 央空调 带车位,名仕豪庭 -邹城市,3室2厅 | 141平米 | 南 北 | 简装 | 高楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,150,"10,639元/平"
房新，给车位，复式 下层120平上层90平，给20平露台,龙泽苑 -南池区,5室3厅 | 220平米 | 南 西 | 其他 | 高楼层(共16层)  | 板楼,9人关注 / 一年前发布,170,"7,728元/平"
杨柳国际新城 上下两层 满五 大面积 南北通 看房方便,杨柳国际新城I区 -济北区,5室2厅 | 166平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,115,"6,928元/平"
此房四叶草户型，电梯洋房，客厅卧室都朝阳，采光好,融创滨江壹号 -西城区,3室2厅 | 143平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,144,"10,070元/平"
风韵荷都B区 2室1厅 南 北,风韵荷都B区 -北湖区,2室1厅 | 83平米 | 南 北 | 其他 | 中楼层(共20层)  | 板楼,0人关注 / 16天以前发布,60,"7,229元/平"
迪尔小区 2室1厅 南,迪尔小区 -南池区,2室1厅 | 61.5平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 18天以前发布,53,"8,618元/平"
太白小区5楼2室1厅两室朝阳 配套设施齐全,太白小区 -南池区,2室1厅 | 66.85平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 17天以前发布,63,"9,425元/平"
房主急售 择邻苑 好楼层 有储藏室 有证可贷款,择邻苑 -邹城市,2室1厅 | 78平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 14天以前发布,33.5,"4,295元/平"
昌平花园两室一厅精装修带储藏室,昌平花园小区 -邹城市,2室2厅 | 99平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 13天以前发布,75,"7,576元/平"
古城新村 2室1厅 南 北,古城新村 -邹城市,2室1厅 | 68平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,43,"6,324元/平"
胡营社区二期 2室1厅 南 北,胡营社区二期 -西城区,2室1厅 | 87平米 | 南 北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 11天以前发布,42,"4,828元/平"
业主急售，两室朝阳，带储藏室，方便看房,森泰御城回迁小区 -万达区,2室1厅 | 87.08平米 | 南 北 | 简装 | 高楼层(共12层)  | 板塔结合,0人关注 / 12天以前发布,86,"9,876元/平"
中德广场 1室1厅 南,中德广场 -济北区,1室1厅 | 42平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,0人关注 / 12天以前发布,33,"7,858元/平"
清源小区98平二室二厅带储藏室有证能贷款,自来水公司清源小区 -邹城市,2室2厅 | 98平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,50,"5,103元/平"
通透性好 采光视野好 生活方便 配套齐全,冠亚星城 -济北区,2室1厅 | 86.81平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 9天以前发布,90,"10,368元/平"
出售输油泵站家属院56平方米两一厅一卫48.8万,输油泵站家属院 -邹城市,2室1厅 | 56平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,48.8,"8,715元/平"
杨柳国际MOHO公寓 2室1厅 南,杨柳国际MOHO公寓 -济北区,2室1厅 | 105平米 | 南 | 精装 | 高楼层(共12层)  | 暂无数据,0人关注 / 14天以前发布,64,"6,096元/平"
碧桂园90平二室二厅毛坯房有证支持贷款,邹城碧桂园 -邹城市,2室2厅 | 90平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 8天以前发布,75,"8,334元/平"
此房满五，中间楼层，干净通透，精装修。,苏宁生活广场 -南池区,1室0厅 | 63平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼,0人关注 / 3个月以前发布,66,"10,477元/平"
人民医院旁，配套齐全诚意出售，观景楼层,土门子街小区居民楼 -南池区,2室1厅 | 55.17平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,47,"8,520元/平"
单位宿舍无公摊 两室朝阳精装修，地上储藏室,纺机宿舍 -南池区,2室1厅 | 64平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,7人关注 / 一年前发布,49,"7,657元/平"
海能国际 2室1厅 东 西,海能国际 -西城区,2室1厅 | 49.07平米 | 东 西 | 精装 | 中楼层(共21层)  | 板楼,0人关注 / 8个月以前发布,50,"10,190元/平"
化工厂宿舍 距离附院近 中间楼层 房本已满五年,第一化工厂宿舍 -西城区,2室2厅 | 70.86平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,72,"10,161元/平"
两室一厅，两室朝阳，两间屋阳台，停车方便,金居苑小区 -西城区,2室1厅 | 90.29平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,67.5,"7,476元/平"
