标题,开发商,房子信息,发布信息,售价/万,单价
绿地二期 好房出售 中间楼层 产证满二 可按揭价格便宜,智慧金融城H区 -兰州新区,3室2厅 | 105.75平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 17天以前发布,62,"5,863元/平"
五泉下广场 闵家桥 3室2厅 南北 可按揭可停车,市工小院 -五泉广场,3室2厅 | 116平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,6人关注 / 一年前发布,102,"8,794元/平"
南关十字 庆阳路 澳兰名门 产权按揭 随时看房,澳兰名门 -西关南关,3室1厅 | 150.83平米 | 北 | 简装 | 中楼层(共31层)  | 塔楼,3人关注 / 3个月以前发布,175,"11,603元/平"
洄水湾物资回收小区 两室 中间楼层 业主急售 可议价,洄水湾住宅小区 -十里店,2室1厅 | 70.1平米 | 东北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 6个月以前发布,78,"11,127元/平"
八里窑梅园小区三室两厅电梯房出售 可按揭贷款,梅园小区 -五泉广场,3室2厅 | 130.94平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,98.8,"7,546元/平"
北滨河好房，环境优美，交通方便,兰雅亲河湾 -幸福巷,3室2厅 | 147.67平米 | 南 北 | 简装 | 中楼层(共16层)  | 板楼,13人关注 / 一年前发布,136,"9,210元/平"
距离西站，产权清晰 单价便宜的楼梯房,洄水湾住宅小区 -十里店,2室1厅 | 88.73平米 | 北 南 | 毛坯 | 高楼层(共8层)  | 板楼,5人关注 / 一年前发布,74,"8,340元/平"
框架结构，价格低，楼层好，产权清晰,新园小区 -火车站,2室2厅 | 63平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,93,"14,762元/平"
：南北通透地段好楼层好视野宽阔无遮挡采光充足,城关区物资总公司家属院 -五泉广场,3室2厅 | 145.2平米 | 东 西 | 简装 | 高楼层(共10层)  | 板楼,5人关注 / 一年前发布,130,"8,954元/平"
此房满五唯一  电梯房  无公摊  采光充足  视野开阔,吐哈石油小区 -二热,3室2厅 | 142.75平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,9人关注 / 一年前发布,142,"9,948元/平"
渭源路 电梯房 三室两卫  162平 业主急售,中科院寒旱所科苑小区（南昌路） -兰大盘旋路,3室2厅 | 161.82平米 | 西 北 东 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 8个月以前发布,265,"16,377元/平"
盘旋路 地铁口 大三居 随时可看 随时可看,飞天大酒店家属院 -兰大盘旋路,3室1厅 | 83.91平米 | 南 北 | 简装 | 低楼层(共7层)  | 塔楼,3人关注 / 11个月以前发布,138,"16,447元/平"
黄河家园一期南北三室 公摊小 房型好 物业好,倚能黄河家园 -安宁庭院,3室2厅 | 129.43平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,210,"16,225元/平"
实创现代城，南北通透，精装房，正规两居室,实创现代城 -安宁庭院,2室2厅 | 109.24平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,31人关注 / 一年前发布,130,"11,901元/平"
天水路良志嘉年华优质房源出售，位置好户型好楼层好视,良志·嘉年华 -万达大润发,2室2厅 | 129.82平米 | 东 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,220,"16,947元/平"
凯旋门三室   经典户型   楼层俱佳  精装修,中海凯旋门 -海关,3室2厅 | 121.72平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,30人关注 / 一年前发布,173,"14,213元/平"
此房满五唯一，南北通透。正规两室两厅,实验小学家属院（郑家台） -东方红广场,2室2厅 | 76平米 | 南 西 北 | 简装 | 高楼层(共8层)  | 板楼,14人关注 / 一年前发布,115,"15,132元/平"
南北通透  楼层合适，小区环境优美,飞天家园A区（南苑） -东部,3室1厅 | 99.45平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,16人关注 / 一年前发布,96,"9,654元/平"
万达成熟商圈，正规两室两厅南北通透户型,省统计局家属院（滩尖子） -万达大润发,2室1厅 | 70.68平米 | 南 北 | 简装 | 低楼层(共8层)  | 板塔结合,0人关注 / 11个月以前发布,74,"10,470元/平"
南关十字 阳光家园 两室两厅 三楼,阳光家园（酒泉路） -西关南关,2室2厅 | 84.83平米 | 西 | 简装 | 低楼层(共10层)  | 板楼,2人关注 / 一年前发布,138,"16,268元/平"
基业豪庭 三室两厅 视野开阔 业主诚心出售,基业豪庭 -雁滩高新区,3室2厅 | 136.1平米 | 南 西 北 | 精装 | 中楼层(共29层)  | 板楼,3人关注 / 8个月以前发布,145,"10,654元/平"
万达广场繁华地段两室两厅，南北朝向，有小区停车方便,统战部家属院 -万达大润发,2室2厅 | 105平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,102,"9,715元/平"
南关十字 阳光家园 两室两厅 三楼,阳光家园（酒泉路） -西关南关,2室2厅 | 84.83平米 | 西 | 简装 | 低楼层(共10层)  | 板楼,2人关注 / 一年前发布,138,"16,268元/平"
基业豪庭 三室两厅 视野开阔 业主诚心出售,基业豪庭 -雁滩高新区,3室2厅 | 136.1平米 | 南 西 北 | 精装 | 中楼层(共29层)  | 板楼,3人关注 / 8个月以前发布,145,"10,654元/平"
万达广场繁华地段两室两厅，南北朝向，有小区停车方便,统战部家属院 -万达大润发,2室2厅 | 105平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,102,"9,715元/平"
小区门口 配套齐全 产权清晰，交通便利,南街花园小区 -安宁庭院,3室1厅 | 96平米 | 西 | 简装 | 高楼层(共6层)  | 暂无数据,16人关注 / 11个月以前发布,85,"8,855元/平"
名城广场旁丽舍情园 精装修 小区环境好,天庆丽舍情园 -北面滩,2室1厅 | 112平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,16人关注 / 一年前发布,139,"12,411元/平"
凯旋门三室   经典户型   楼层俱佳  精装修,中海凯旋门 -海关,3室2厅 | 121.72平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,30人关注 / 一年前发布,173,"14,213元/平"
黄河家园一期南北三室 公摊小 房型好 物业好,倚能黄河家园 -安宁庭院,3室2厅 | 129.43平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,210,"16,225元/平"
实创现代城，南北通透，精装房，正规两居室,实创现代城 -安宁庭院,2室2厅 | 109.24平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,31人关注 / 一年前发布,130,"11,901元/平"
此房满五唯一  电梯房  无公摊  采光充足  视野开阔,吐哈石油小区 -二热,3室2厅 | 142.75平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,9人关注 / 一年前发布,142,"9,948元/平"
渭源路 电梯房 三室两卫  162平 业主急售,中科院寒旱所科苑小区（南昌路） -兰大盘旋路,3室2厅 | 161.82平米 | 西 北 东 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 8个月以前发布,265,"16,377元/平"
天水路良志嘉年华优质房源出售，位置好户型好楼层好视,良志·嘉年华 -万达大润发,2室2厅 | 129.82平米 | 东 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,220,"16,947元/平"
此房满五唯一，南北通透。正规两室两厅,实验小学家属院（郑家台） -东方红广场,2室2厅 | 76平米 | 南 西 北 | 简装 | 高楼层(共8层)  | 板楼,14人关注 / 一年前发布,115,"15,132元/平"
南北通透  楼层合适，小区环境优美,飞天家园A区（南苑） -东部,3室1厅 | 99.45平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,16人关注 / 一年前发布,96,"9,654元/平"
土门墩地铁口 电梯房 花园式小区 随时看房 可以按揭,金河苑 -金港城,3室2厅 | 122.7平米 | 南 北 | 简装 | 中楼层(共12层)  | 板楼,18人关注 / 一年前发布,144,"11,736元/平"
安宁 科教城东苑  四室电梯房 南北通透,科教城東苑 -交大,4室2厅 | 178.97平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,7人关注 / 一年前发布,226,"12,628元/平"
城关区雁滩海龙花园三室南北通透*大客厅精装电梯房,正茂海龙花园 -北面滩,3室2厅 | 142.65平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,185,"12,969元/平"
新港城两室好房南北通透正规户型采光充足,新港城E区 -北面滩,3室2厅 | 83.94平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,13人关注 / 一年前发布,130.5,"15,547元/平"
格林小镇 全明户型 采光视野好 随时签约 有钥匙,天庆•格林小镇东区 -北面滩,3室2厅 | 143.42平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,4人关注 / 11个月以前发布,258,"17,990元/平"
鑫亿城一楼带小院的房子你见过吗,鑫亿城 -万达大润发,3室1厅 | 129平米 | 南 北 | 简装 | 地下室(共7层)  | 板塔结合,3人关注 / 5个月以前发布,150,"11,628元/平"
南北通透，明厨明卫，四合院小区，交通便利,望河丽景 -北面滩,4室2厅 | 153平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,5人关注 / 一年前发布,195,"12,746元/平"
万达好房出售 正规三室两厅  雁滩公园  花鸟鱼市场,金地花园 -万达大润发,3室2厅 | 144.9平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,170,"11,733元/平"
D铁二号线此房产证明晰，南北通透 视野采光无任何遮挡,鸿运润园 -北面滩,3室2厅 | 145.73平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,10人关注 / 一年前发布,253,"17,361元/平"
电梯好房 面积大 楼层好 西南朝向 有小区 产权清晰,仁恒·晶城住宅小区 -西关南关,3室2厅 | 127.67平米 | 西南 | 简装 | 低楼层(共33层)  | 塔楼,2人关注 / 一年前发布,246,"19,269元/平"
辰北花园 三室两厅  南北通透 H户型  交通方便,辰北花园 -北面滩,3室2厅 | 131.58平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,19人关注 / 8个月以前发布,159.8,"12,145元/平"
小区难得一见的南北通透户型  有钥匙随时看房,鸿运润园 -北面滩,2室2厅 | 104.52平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,36人关注 / 一年前发布,170,"16,265元/平"
成熟小区 环境宜人安静 环境优美 楼间距大 配套完善,天庆•格林小镇东区 -北面滩,3室2厅 | 133.06平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,4人关注 / 10个月以前发布,220,"16,534元/平"
雁滩高新区基业豪庭大复式 南北通透 单价10000 急售,基业豪庭 -雁滩高新区,5室2厅 | 170平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,172,"10,118元/平"
东部   地铁沿线  时代伟业   唯一复式   采光好,时代伟业 -东部,3室2厅 | 131.07平米 | 南 北 | 简装 | 低楼层(共19层)  | 板楼,19人关注 / 一年前发布,139,"10,606元/平"
正规两室电梯房 交通方便 看房随时 价格便宜,蘭亭雅居 -刘家堡,2室2厅 | 94.33平米 | 东南 | 简装 | 中楼层(共33层)  | 板楼,5人关注 / 一年前发布,96,"10,178元/平"
欣欣茗园成熟小区周配套完善，小区绿化好,欣欣茗园 -段家滩,2室2厅 | 91.07平米 | 西南 | 简装 | 低楼层(共33层)  | 板塔结合,20人关注 / 一年前发布,110,"12,079元/平"
成熟小区 环境宜人安静 环境优美 楼间距大 配套完善,天庆•格林小镇东区 -北面滩,3室2厅 | 133.06平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,4人关注 / 10个月以前发布,220,"16,534元/平"
电梯好房 面积大 楼层好 西南朝向 有小区 产权清晰,仁恒·晶城住宅小区 -西关南关,3室2厅 | 127.67平米 | 西南 | 简装 | 低楼层(共33层)  | 塔楼,2人关注 / 一年前发布,246,"19,269元/平"
辰北花园 三室两厅  南北通透 H户型  交通方便,辰北花园 -北面滩,3室2厅 | 131.58平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,19人关注 / 8个月以前发布,159.8,"12,145元/平"
东部   地铁沿线  时代伟业   唯一复式   采光好,时代伟业 -东部,3室2厅 | 131.07平米 | 南 北 | 简装 | 低楼层(共19层)  | 板楼,19人关注 / 一年前发布,139,"10,606元/平"
D铁二号线通透楼位佳 视野宽阔 采光充足 配套设施全,天庆莱茵小镇 -北面滩,3室2厅 | 149平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,7人关注 / 一年前发布,225,"15,101元/平"
南北通透 中间楼层 格局方正 小区安静可靠 产权清晰,电力小区（嘉峪关南路） -东部,2室2厅 | 64.15平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 一年前发布,85,"13,251元/平"
格林小镇 南北通透 明厨明卫 采光视野好 随时看,天庆•格林小镇东区 -北面滩,3室2厅 | 143.38平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,11人关注 / 一年前发布,280,"19,529元/平"
正规两室电梯房 交通方便 看房随时 价格便宜,蘭亭雅居 -刘家堡,2室2厅 | 94.33平米 | 东南 | 简装 | 中楼层(共33层)  | 板楼,5人关注 / 一年前发布,96,"10,178元/平"
欣欣茗园成熟小区周配套完善，小区绿化好,欣欣茗园 -段家滩,2室2厅 | 91.07平米 | 西南 | 简装 | 低楼层(共33层)  | 板塔结合,20人关注 / 一年前发布,110,"12,079元/平"
蓝岸丽舍三室 兰州老街旁 马滩地铁口 毛坯房可按揭,蓝岸丽舍 -金港城,3室2厅 | 133.13平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板楼,22人关注 / 一年前发布,163,"12,244元/平"
西站 万辉广场旁边 六合物业 3楼 无公摊 3室 可按揭,任家庄小区 -仁恒美林郡,3室2厅 | 96.02平米 | 东 西南 | 简装 | 中楼层(共8层)  | 板楼,4人关注 / 一年前发布,118,"12,290元/平"
金塔巷 文艺大院  框架低楼层 三居室出售  带车库,文艺大院（金塔巷） -西关南关,3室2厅 | 128平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,14人关注 / 一年前发布,168,"13,125元/平"
实创现代城两室河景房 阔景落地大窗 诚心出售,实创现代城 -安宁庭院,2室2厅 | 111.8平米 | 西 | 精装 | 中楼层(共30层)  | 塔楼,7人关注 / 一年前发布,128,"11,450元/平"
天庆嘉园 电梯四室 南北通透 精装修 视野好 院子中间,天庆嘉园星河缘 -雁滩高新区,4室2厅 | 162.41平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,9人关注 / 一年前发布,245,"15,086元/平"
雁滩高新区 金景苑 两梯两户 南北通透 ，毛坯落地窗,金景苑 -雁滩高新区,3室2厅 | 183.33平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,5人关注 / 一年前发布,225,"12,273元/平"
东方红广场 畅家巷片区 东西通透 好楼层 采光好,畅家巷小区 -东方红广场,3室1厅 | 73.59平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,127.6,"17,340元/平"
此房满五唯一，南北通透格局，采光好，无遮挡。,康复中心家属院 -东部,3室1厅 | 85.2平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,82,"9,625元/平"
安宁分局家属楼（幸福巷） 2室1厅 东 西,安宁分局家属楼（幸福巷） -安宁庭院,2室1厅 | 71.55平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,58,"8,107元/平"
兰州供电局家属院 2室1厅 南 北,兰州供电局家属院 -建工局,2室1厅 | 63.61平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 10个月以前发布,67.8,"10,659元/平"
闵家桥 铁一   国税局家属院  正规标准田子户型,国税局家属院小区（闵家桥） -五泉广场,3室2厅 | 130平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,9人关注 / 一年前发布,136,"10,462元/平"
南北通透，全明户型，田园风的小区,中海·河山郡 -莫高大道,4室2厅 | 142.54平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,135,"9,472元/平"
东方红广场 郑家台 3室2厅，大户型，明厨明卫，采光好,一中家属院（郑家台） -东方红广场,3室2厅 | 103平米 | 东 南 西 | 简装 | 低楼层(共8层)  | 板楼,13人关注 / 一年前发布,158,"15,340元/平"
D铁二号线莱茵小镇三室好房出售，花园小区，人车分流,天庆莱茵小镇 -北面滩,3室2厅 | 150.37平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,10人关注 / 一年前发布,245,"16,294元/平"
公摊小 户型规整 业主人好 交通便利,中兴小区 -刘家堡,2室2厅 | 79.43平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,69,"8,687元/平"
十里店陪读房，南北通透，小户型可按揭,省劳教二所家属院 -师大,2室1厅 | 65平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,70,"10,770元/平"
东部二热鱼池口拱星墩两室一厅南北通透看房方便,兰雅房地产开发公司家属院 -东部,2室1厅 | 71.42平米 | 南 北 | 简装 | 低楼层(共10层)  | 板楼,0人关注 / 2个月以前发布,70,"9,802元/平"
急售二热二楼正规三室房子看房方便,兰州市城建物业家属院 -东部,3室2厅 | 73.51平米 | 东 西 | 简装 | 低楼层(共8层)  | 暂无数据,27人关注 / 一年前发布,76,"10,339元/平"
海关地铁口，朝南两室，交通方便，配套齐全。,众邦金水湾 -海关,2室2厅 | 107.05平米 | 南 | 简装 | 低楼层(共26层)  | 板楼,1人关注 / 7个月以前发布,112,"10,463元/平"
时代伟业 三室 看房方便 精装修,时代伟业 -东部,3室2厅 | 140.62平米 | 东南 | 精装 | 低楼层(共28层)  | 板塔结合,4人关注 / 9个月以前发布,135,"9,601元/平"
BRT主干道 正规两室 产权清晰 随时可看,金盛科技花园 -刘家堡,2室2厅 | 92.54平米 | 东 西 | 简装 | 高楼层(共8层)  | 暂无数据,2人关注 / 7个月以前发布,95,"10,266元/平"
雁滩高新区 金景苑 两梯两户 南北通透 ，毛坯落地窗,金景苑 -雁滩高新区,3室2厅 | 183.33平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,5人关注 / 一年前发布,225,"12,273元/平"
东方红广场 畅家巷片区 东西通透 好楼层 采光好,畅家巷小区 -东方红广场,3室1厅 | 73.59平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,127.6,"17,340元/平"
公摊小 户型规整 业主人好 交通便利,中兴小区 -刘家堡,2室2厅 | 79.43平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,69,"8,687元/平"
此房满五唯一，南北通透格局，采光好，无遮挡。,康复中心家属院 -东部,3室1厅 | 85.2平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,82,"9,625元/平"
东方红广场 郑家台 3室2厅，大户型，明厨明卫，采光好,一中家属院（郑家台） -东方红广场,3室2厅 | 103平米 | 东 南 西 | 简装 | 低楼层(共8层)  | 板楼,13人关注 / 一年前发布,158,"15,340元/平"
小高层 带电梯 经典户型 吴家园,凯地怡苑 -曦华源,2室2厅 | 116.86平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,149.9,"12,828元/平"
火车站地铁2号线旁，3室2厅，框架，产权房，诚心出售,火车站东路小区 -火车站,3室2厅 | 125.92平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,107,"8,498元/平"
大润发 区委三室房 户型方正 产权清晰 可按揭,城关区政府雁滩住宅小区 -万达大润发,2室2厅 | 90平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 9个月以前发布,103,"11,445元/平"
此房满五不唯一，户型通透，中间楼层视野宽,大西洋 -东部,3室2厅 | 130.66平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,5人关注 / 一年前发布,110,"8,419元/平"
东部 二热 东方花苑 两室两厅 南北通透  框架 可按揭,东方花苑 -东部,2室2厅 | 110.56平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,1人关注 / 10个月以前发布,99,"8,955元/平"
城关区  雁北路  新港城  大平层,新港城 -北面滩,4室2厅 | 182.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,269,"14,732元/平"
东部商圈 房子小三室，产权明晰，单位房无公摊中楼层,康复中心家属院 -东部,3室1厅 | 72.9平米 | 东 西 | 简装 | 中楼层(共8层)  | 平房,6人关注 / 一年前发布,78,"10,700元/平"
电梯高层，采光无遮挡，看房方便。。,世纪新村C区 -东部,2室2厅 | 94.79平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,90,"9,495元/平"
凯地怡苑正规两室两厅交通方便南北通透,凯地怡苑 -曦华源,2室2厅 | 111.36平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,137,"12,303元/平"
地铁 电梯 中楼层 采光好 三室 可做工作室,万国港 -东部,3室2厅 | 122.49平米 | 西南 | 精装 | 低楼层(共30层)  | 塔楼,1人关注 / 一年前发布,192,"15,675元/平"
盘旋路  麦积山路  供销社家属院  电梯房  中间楼层,甘肃省供销社家属院 -兰大盘旋路,2室1厅 | 83平米 | 西南 | 简装 | 中楼层(共22层)  | 板楼,6人关注 / 一年前发布,175,"21,085元/平"
此房 南北通透 采光充足 三室两厅两卫,金新花园小区 -万达大润发,3室2厅 | 120.92平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,7人关注 / 一年前发布,93,"7,692元/平"
好房出售，交通便利，东西朝向。,新康花园 -海关,2室1厅 | 93.16平米 | 东南 | 简装 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,122,"13,096元/平"
丰润花园 电梯三室  中间楼层 户型方正,豐润花园 -海关,3室2厅 | 118平米 | 南 北 | 简装 | 中楼层(共12层)  | 板楼,20人关注 / 一年前发布,119,"10,085元/平"
培黎广场 区人民医院家属院2室 产权清晰 可按揭,安宁区人民医院家属院 -师大,2室2厅 | 78.16平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,7人关注 / 一年前发布,69,"8,829元/平"
位于高新十字  热电三区  户型方正  南北通透  可按揭,西固热电三区 -海关,2室2厅 | 136.53平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,129.8,"9,508元/平"
众邦金水湾位于海关地铁口，毛坯房，采光无任何遮挡。,众邦金水湾1号院 -海关,3室2厅 | 145.51平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,5人关注 / 一年前发布,168,"11,546元/平"
高新十字新康花园三室好房、南北通透,新康花园 -海关,3室2厅 | 104.59平米 | 南 北 | 简装 | 高楼层(共32层)  | 板楼,7人关注 / 一年前发布,130,"12,430元/平"
海关100平三室 南北通透 全明户型 业主急售 看房方便,中海凯旋门 -海关,3室2厅 | 103平米 | 南 北 | 简装 | 中楼层(共34层)  | 板楼,11人关注 / 5个月以前发布,148,"14,369元/平"
太平洋 三房 143平米无公摊 南北朝向,太平洋城住宅楼 -东部,3室2厅 | 143.38平米 | 南 北 | 简装 | 中楼层(共10层)  | 板楼,23人关注 / 一年前发布,139,"9,695元/平"
海关地铁口，框架南北精装两居室。,银滩花园 -海关,2室2厅 | 84.4平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 11个月以前发布,93,"11,019元/平"
东方红广场 庆阳路  招银大厦  三室两厅产权按揭,招银大厦 -东方红广场,3室2厅 | 173.74平米 | 东 南 | 简装 | 高楼层(共25层)  | 塔楼,0人关注 / 1个月以前发布,286,"16,462元/平"
北滨河框架小两居，H户型，河景房,省劳教二所家属院 -师大,2室2厅 | 77平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,4人关注 / 一年前发布,85,"11,039元/平"
总价低，全明户型，产权满二，业主诚心出售,中海·河山郡 -莫高大道,4室2厅 | 136.68平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,128,"9,365元/平"
精装三居室带家具，前排河景房，视野宽阔,中海·河山郡 -莫高大道,3室2厅 | 93.56平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,9人关注 / 一年前发布,110,"11,758元/平"
广场跟前职工报社小区有好房出售,职工报社家属院（旧大路/皋兰路） -东方红广场,3室2厅 | 127.45平米 | 南 北 | 精装 | 高楼层(共9层)  | 塔楼,4人关注 / 一年前发布,158,"12,398元/平"
户型方正，采光也没有遮挡，楼层是中间楼层。,桃花苑 -海关,2室2厅 | 103.95平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,105,"10,102元/平"
海关地铁口 银滩雅苑精装修正规三室南北通透 落地飘窗,银滩雅苑 -海关,3室2厅 | 136.79平米 | 南 西 北 | 精装 | 低楼层(共33层)  | 板楼,10人关注 / 一年前发布,205,"14,987元/平"
东部二热两室两厅南北通透低楼层停车方便看房方便,怡柏苑 -二热,2室2厅 | 119.17平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 一年前发布,115,"9,651元/平"
户型方正，南北通透，中间楼层，看房方便,东兴铝业兰州生活小区西区 -师大,2室2厅 | 89.79平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,2人关注 / 9个月以前发布,103,"11,472元/平"
天庆花园一二楼南北通透楼 出售 带15平米花园,天庆花园 -雁滩高新区,4室2厅 | 187.22平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,11人关注 / 一年前发布,218,"11,645元/平"
万达好房出售，中间楼层，户型通透，采光好，诚心出售,雁沙花园 -万达大润发,3室2厅 | 117.2平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,130,"11,093元/平"
海关地铁口，电梯三室，南北通透户型。,天居锦河丹堤 -海关,3室2厅 | 90.02平米 | 南 北 | 简装 | 低楼层(共26层)  | 板楼,1人关注 / 5个月以前发布,123,"13,664元/平"
安宁 费嘉营 交大  三室 电梯房  南北通透 产权房,豐润花园 -海关,3室2厅 | 119.32平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,25人关注 / 一年前发布,105,"8,800元/平"
天庆嘉园经典四室户型南北通透看房有钥匙,天庆嘉园水云阁 -雁滩高新区,4室2厅 | 166.84平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 11个月以前发布,242,"14,505元/平"
花园式小区  两室 一楼急售  看房随时,凯地怡苑 -曦华源,2室2厅 | 121.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,126,"10,400元/平"
此房南北通透，单位房，生活成本低，小区交通方便,雁滩路3609-3629号 -万达大润发,2室2厅 | 77.21平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,90,"11,657元/平"
科教城西区电梯房  采光视野良好 南北通透户型,科教城西苑 -交大,3室2厅 | 122.73平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,159.8,"13,021元/平"
地处小区安静地带  闹中取静 中间楼层 采光良好,荣华小区 -仁恒美林郡,3室2厅 | 111.6平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,113,"10,126元/平"
仁恒美林郡 正规两室一厅 朝南户型方正 看房方便,兰石润安小区 -仁恒美林郡,2室1厅 | 68.58平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,89,"12,978元/平"
海关罗马花园 三室毛坯  小高层中间楼层 随时看房,雁京.罗马花园 -海关,3室2厅 | 142.96平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,11人关注 / 一年前发布,175,"12,242元/平"
