标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园  洋房5楼  通透格局 中等装修,通辽碧桂园 -经济技术开发区,3室1厅 | 101.75平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,66,"6,487元/平"
京汉君庭   三室  电梯3楼,京汉君庭 -经济技术开发区,3室1厅 | 120平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,81,"6,750元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,西湖名都 -经济技术开发区,3室1厅 | 128平米 | 南 | 其他 | 低楼层(共28层)  | 暂无数据,2人关注 / 5个月以前发布,77.8,"6,079元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,河畔花园D区 -经济技术开发区,3室1厅 | 134平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 4个月以前发布,90,"6,717元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,富力·尚悦居 -经济技术开发区,3室1厅 | 123平米 | 南 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,73,"5,935元/平"
金地新郦城...............,金地新郦城 -经济技术开发区,3室1厅 | 114平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,68.4,"6,000元/平"
桥北四中 一楼带院 精装修 拎包入住,凯旋城 -经济技术开发区,4室2厅 | 189平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,6人关注 / 一年前发布,120,"6,350元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,河畔花园A区 -经济技术开发区,3室2厅 | 134.8平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,89,"6,603元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,通辽碧桂园 -经济技术开发区,3室1厅 | 127平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,76,"5,985元/平"
房间宽敞明亮，，环境好，配套设施齐全，生活便利,京汉君庭 -经济技术开发区,3室2厅 | 133平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,71,"5,339元/平"
房子卖点 前边无遮挡 视野好 双 学 区,富力·尚悦居 -经济技术开发区,3室2厅 | 122.85平米 | 南 | 其他 | 中楼层(共22层)  | 暂无数据,0人关注 / 一年前发布,77,"6,268元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,诚达·龙庭御府 -经济技术开发区,3室2厅 | 118平米 | 南 | 其他 | 高楼层(共25层)  | 塔楼,0人关注 / 3个月以前发布,98,"8,306元/平"
房主换房子了 诚心出售此房 欧式风格 精装修 拎包入住,泰丰·悦熙台 -经济技术开发区,3室1厅 | 99.22平米 | 南 北 | 其他 | 高楼层(共19层)  | 暂无数据,3人关注 / 7个月以前发布,90,"9,071元/平"
碧桂园一楼带院带仓房  150平 交通方便,碧桂园·御珑湾北区 -经济技术开发区,3室2厅 | 150平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,110,"7,334元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,水域蓝湾A区B区 -经济技术开发区,2室2厅 | 114.82平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,82,"7,142元/平"
万达沁府 电梯中层 三居室毛坯随意装修 看法提前预约,万达沁府 -老城区,3室2厅 | 120平米 | 南 北 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,80,"6,667元/平"
万达旁  电梯中层  三居室 精装修拎包入住,万达沁府 -老城区,3室2厅 | 125.37平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,93.5,"7,458元/平"
阿卡迪亚南北通透，130平，格局好,阿卡笛亚 -老城区,3室1厅 | 130平米 | 南 北 | 其他 | 高楼层(共27层)  | 塔楼,0人关注 / 一年前发布,80,"6,154元/平"
成熟小区  交通便利  出行方便 北二中學区,嘉禾家和花园 -老城区,3室2厅 | 136平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,102,"7,500元/平"
低楼层，三居室飞机户型，适合三代人居住,翠堤城市花园东区 -老城区,3室1厅 | 100.94平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,58,"5,746元/平"
民生家园一楼半地下  使用面积180平 精装修,民声家园 -民航路,4室2厅 | 178平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,65,"3,652元/平"
泽信 水岸春城 洋房2楼 纯实木装修 平层三室 看房随时,泽信水岸春城 -老城区,3室1厅 | 128.87平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,92,"7,139元/平"
万达旁  电梯中层  三居室 精装修拎包入住,万达沁府 -老城区,3室2厅 | 125.37平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,93.5,"7,458元/平"
低楼层，三居室，首付少，证件齐全,信合小区(科尔沁区) -老城区,3室1厅 | 116.88平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,60,"5,134元/平"
永茂步梯二楼 拎包入住 中等装修,永茂水岸国际一期 -河西,3室1厅 | 126.31平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,70,"5,542元/平"
嘉和汇景湾 中等装修 三室两卫 非顶楼 可贷款,嘉和汇景湾A区 -河西,3室1厅 | 116平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,68.8,"5,932元/平"
地矿花园 都是实木装修 婚房装修 拎包入住 交通方便,地矿花园 -经济技术开发区,3室1厅 | 123平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,96,"7,805元/平"
桥北新小区  交通便利  出行方便,水域蓝湾东郡 -经济技术开发区,3室1厅 | 122平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 11个月以前发布,95,"7,787元/平"
状元府 3室2厅 南,状元府 -经济技术开发区,3室2厅 | 141.53平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,3人关注 / 一年前发布,81,"5,724元/平"
81万 118.5平 3室 南北通透 清水,河畔花园D区 -经济技术开发区,3室1厅 | 118.5平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,81,"6,836元/平"
六托七 中装 带大部分家具家电 整洁明亮,金地2008 -经济技术开发区,4室2厅 | 144平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,64,"4,445元/平"
"水域蓝湾步梯5拖6,精装 红军",水域蓝湾A区B区 -经济技术开发区,3室2厅 | 181.5平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,90,"4,959元/平"
小区环境不错，视野开阔，成熟社区，配套成熟，,泽信·旭园 -经济技术开发区,3室2厅 | 142平米 | 南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 4个月以前发布,145,"10,212元/平"
河畔花园飞机户型 全屋硅藻泥 交通方便  带车位,河畔花园D区 -经济技术开发区,3室1厅 | 129.18平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,85,"6,580元/平"
南北通透     电梯    三居两卫,香堤水郡 -经济技术开发区,3室1厅 | 105平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,76,"7,239元/平"
德润园   电梯8楼  三室两卫  毛坯房  可贷款,德润园 -经济技术开发区,3室1厅 | 153平米 | 南 北 | 其他 | 中楼层(共22层)  | 板楼,0人关注 / 3个月以前发布,127,"8,301元/平"
沈铁 楼层好，采光充足，配套设施齐全，,河畔花园B区 -经济技术开发区,3室1厅 | 75.96平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,60,"7,899元/平"
香堤水郡 电梯9楼 106平三室一厅 精装修  拎包入住,香堤水郡 -经济技术开发区,3室1厅 | 106平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,77,"7,265元/平"
碧桂园御龙湾1 2楼带半地下 毛坯房 带车位,碧桂园·御珑湾北区 -经济技术开发区,5室2厅 | 285平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,280,"9,825元/平"
悦圣湾 步梯五楼 南北通透户型,泽信悦圣湾 -经济技术开发区,3室1厅 | 127平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,113,"8,898元/平"
富力尚悦居123平3居有房证可贷款,富力·尚悦居 -经济技术开发区,3室2厅 | 123平米 | 南 | 其他 | 中楼层(共31层)  | 板楼,1人关注 / 3个月以前发布,81,"6,586元/平"
凯旋城小区 3室1厅1厨2卫 楼层好 视野好,凯旋城 -经济技术开发区,3室1厅 | 150平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,155,"10,334元/平"
碧桂园御龙湾南区   两室两厅一卫 主卧一个衣帽间,碧桂园·御珑湾南区 -经济技术开发区,2室1厅 | 126平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,78,"6,191元/平"
此房房证满五唯一 不采光不挡 家具家电齐全拎包住,璟苑C区 -经济技术开发区,3室1厅 | 126平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,100,"7,937元/平"
吉地华府 水上公园 电梯复式 支持贷款,吉地华府 -老城区,4室2厅 | 215平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,135,"6,280元/平"
步梯3楼飞机户型精装修拎包入住,天骄城 -老城区,3室2厅 | 122平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,78,"6,394元/平"
工行家属楼3室2厅2卫，精装修 拎包入住地理位置优越,工行家属楼 -老城区,3室2厅 | 103.1平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,45,"4,365元/平"
瀚博一品电梯14楼127平带车位带仓房出售,通辽恒源瀚博一品 -老城区,3室2厅 | 127平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,113,"8,898元/平"
税苑小区334平房本面积243.25平 1托2 带车库 带院子,税苑小区 -老城区,4室2厅 | 243.25平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,1人关注 / 11个月以前发布,180,"7,400元/平"
香格里拉 电梯 中层  四居两卫 可走一手房手续,香格里拉 -老城区,4室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,88,"6,519元/平"
鑫润家园  122平3居 带家电家具拎包入住,鑫润家园 -经济技术开发区,3室1厅 | 122平米 | 东 | 其他 | 低楼层(共17层)  | 暂无数据,4人关注 / 一年前发布,76,"6,230元/平"
嘉和汇景湾A区 2室1厅 南,嘉和汇景湾A区 -河西,2室1厅 | 105平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,110,"10,477元/平"
地矿花园 都是实木装修 婚房装修 拎包入住 交通方便,地矿花园 -经济技术开发区,3室1厅 | 123平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,96,"7,805元/平"
桥北新小区  交通便利  出行方便,水域蓝湾东郡 -经济技术开发区,3室1厅 | 122平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 11个月以前发布,95,"7,787元/平"
富力尚悦居123平3居有房证可贷款,富力·尚悦居 -经济技术开发区,3室2厅 | 123平米 | 南 | 其他 | 中楼层(共31层)  | 板楼,1人关注 / 3个月以前发布,81,"6,586元/平"
鑫润家园  122平3居 带家电家具拎包入住,鑫润家园 -经济技术开发区,3室1厅 | 122平米 | 东 | 其他 | 低楼层(共17层)  | 暂无数据,4人关注 / 一年前发布,76,"6,230元/平"
河畔花园飞机户型 全屋硅藻泥 交通方便  带车位,河畔花园D区 -经济技术开发区,3室1厅 | 129.18平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,85,"6,580元/平"
南北通透     电梯    三居两卫,香堤水郡 -经济技术开发区,3室1厅 | 105平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,76,"7,239元/平"
悦圣湾 步梯五楼 南北通透户型,泽信悦圣湾 -经济技术开发区,3室1厅 | 127平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,113,"8,898元/平"
香堤水郡 电梯9楼 106平三室一厅 精装修  拎包入住,香堤水郡 -经济技术开发区,3室1厅 | 106平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,77,"7,265元/平"
碧桂园御龙湾1 2楼带半地下 毛坯房 带车位,碧桂园·御珑湾北区 -经济技术开发区,5室2厅 | 285平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,280,"9,825元/平"
沈铁 楼层好，采光充足，配套设施齐全，,河畔花园B区 -经济技术开发区,3室1厅 | 75.96平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,60,"7,899元/平"
"水域蓝湾步梯5拖6,精装 红军",水域蓝湾A区B区 -经济技术开发区,3室2厅 | 181.5平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,90,"4,959元/平"
凤凰城一期，一楼带地下，得房率高,广厦凤凰城一期 -河西,4室2厅 | 97平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,76,"7,836元/平"
挨近.学.校，商场，医院，交通便利，购物方便，采光好,广厦凤凰城一期 -河西,3室1厅 | 139平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,85,"6,116元/平"
电梯  小三居  新装修  一天没住,嘉和瑞祥府 -河西,3室1厅 | 105平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,85,"8,096元/平"
中楼层，采光好，精装修，户型好,嘉和汇景湾A区 -河西,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共15层)  | 暂无数据,1人关注 / 10个月以前发布,91,"7,280元/平"
舒适人文低密度家属楼，很舒适安逸,永茂水岸国际一期 -河西,3室2厅 | 131平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,65,"4,962元/平"
南北朝向  视野宽阔    两室,状元府 -经济技术开发区,2室1厅 | 100平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,78,"7,800元/平"
富力尚悦居   电梯5楼  三室两卫户型  有房证,富力·尚悦居 -经济技术开发区,3室1厅 | 133.3平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,83,"6,227元/平"
富力尚悦居电梯中层 小三室 新小区 交通方便,富力·尚悦居 -经济技术开发区,3室2厅 | 123平米 | 南 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 2个月以前发布,82,"6,667元/平"
西湖名都  三室格局    户型好 毛坯,西湖名都 -经济技术开发区,3室1厅 | 143平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,10人关注 / 一年前发布,69,"4,826元/平"
泽信  旭园  三室  一厅   两卫,泽信·旭园 -经济技术开发区,3室1厅 | 132.11平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,100,"7,570元/平"
桥北 电梯中层 全体采光 三居室通透格局 看房提前预约,中信亚龙湾 -经济技术开发区,3室2厅 | 123平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,87,"7,074元/平"
龙兴世纪城步梯....房主急售,龙兴世纪城(科尔沁区) -经济技术开发区,3室1厅 | 88.88平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,54,"6,076元/平"
京汉叫来河畔   电梯高层   税票过二  看房方便,京汉叫来河畔 -经济技术开发区,3室2厅 | 139.73平米 | 南 北 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 10个月以前发布,100,"7,157元/平"
旭园小区 电梯洋房  四室两卫 南北通透,泽信·旭园 -经济技术开发区,4室2厅 | 168平米 | 南 北 | 其他 | 中楼层(共9层)  | 暂无数据,2人关注 / 一年前发布,128,"7,620元/平"
业主诚心出售  南北通透格局  采光充足,泽信悦圣湾 -经济技术开发区,4室2厅 | 254平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,285,"11,221元/平"
三室   一厅    一厨   两卫  南北通透户型  ·,京汉新城一期 -经济技术开发区,3室1厅 | 128平米 | 南 北 | 其他 | 中楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,85,"6,641元/平"
沈铁C区步梯三楼  三室两卫  飞机户型,河畔花园C区 -经济技术开发区,3室1厅 | 125平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,87,"6,960元/平"
富力尚悦居3室2厅2卫好楼层一梯两户价格可谈诚心出售,富力·尚悦居 -经济技术开发区,3室2厅 | 123平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,81,"6,586元/平"
沈铁C区步梯2楼.3室2卫.户型.简单装修.,河畔花园C区 -经济技术开发区,3室1厅 | 137平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,92.5,"6,752元/平"
党校北小区3-1-1-1 83.40m²,党校北小区 -铁南,3室1厅 | 83.4平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,48.56,"5,823元/平"
，位置好，视野开阔业主诚心出售，小区环境好,福雅东居 -老城区,3室1厅 | 136平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,106,"7,795元/平"
，中装修，拎包入住，采光充足 看房方便,西苑三区 -老城区,2室1厅 | 72.35平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,60,"8,294元/平"
金山种子公司综合楼 3室1厅 南 北,金山种子公司综合楼 -老城区,3室1厅 | 97.6平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,51,"5,226元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,平安西区 -老城区,2室1厅 | 76平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,29,"3,816元/平"
城市之星 电梯好楼层 149平 毛坯 三室两卫,江南．城市之星报社小区 -老城区,3室1厅 | 149平米 | 南 北 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,96.85,"6,500元/平"
市区三居室 通透户型  随时看房子  拎包入住,恒汇华城 -老城区,3室2厅 | 126平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,86,"6,826元/平"
此房楼层适中 视野宽阔 采光好 边上配套齐全三室两卫,怡水馨园 -老城区,3室2厅 | 136平米 | 南 北 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,90,"6,618元/平"
此房通透格局，楼层好，视野开阔，采光充足！,附小家属小区 -老城区,3室1厅 | 86.4平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,80,"9,260元/平"
万华上都   3-1-1-2 132.00m²,万华上都 -铁南,3室1厅 | 132平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,86,"6,516元/平"
名仕花园.步梯2楼.房证满五不唯一.,名仕花园 -老城区,2室1厅 | 103.33平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,60,"5,807元/平"
永安南东区 3室2厅 南,永安南东区 -铁南,3室2厅 | 135.25平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,82,"6,063元/平"
钻石名城6拖7，楼上楼下100平,钻石名城 -铁南,1室1厅 | 50平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,39,"7,800元/平"
塞外新城三室两厅一厨一卫 128平  72万,塞外新城 -老城区,3室2厅 | 128平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,72,"5,625元/平"
温馨提醒：“珍惜时间，选择可靠经纪人”,附小家属小区 -老城区,3室1厅 | 69.97平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,65,"9,290元/平"
利业金灿家园  3-1-1-1 87.50m²,利业金灿家园 -铁南,3室1厅 | 87.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,68,"7,772元/平"
鸿雁楼        2室一厅一厨一卫,鸿雁楼小区 -老城区,2室1厅 | 80平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,37,"4,625元/平"
市区  西苑三区  步梯4楼   公摊小,西苑三区 -老城区,3室1厅 | 86.3平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,58.5,"6,779元/平"
怡水馨园电梯19楼 毛坯  单价5500,怡水馨园 -老城区,3室2厅 | 135.24平米 | 南 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,75,"5,546元/平"
此房房证满2年 南北通透一梯两户 3室2卫 简单装修 .,万华上都 -铁南,3室1厅 | 134平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,84,"6,269元/平"
别墅通华佳园.房主诚心出售.....,通华佳园 -老城区,4室2厅 | 175平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,3人关注 / 一年前发布,160,"9,143元/平"
万花商都  新装修   133平  95 万 出售,万华上都 -铁南,3室2厅 | 133平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,85,"6,391元/平"
步梯二楼，小区位置好，面积足，公摊小。,鑫丰家园 -老城区,3室1厅 | 90平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,65,"7,223元/平"
电梯1楼 3室 拎包入住 支持贷款,钻石名城 -铁南,3室1厅 | 131.5平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,83.5,"6,350元/平"
通辽市委西苑一区，楼层好，位置佳。,通辽市委西苑1区 -老城区,2室1厅 | 80平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,68,"8,500元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,恒汇华城 -老城区,2室1厅 | 110平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,75,"6,819元/平"
万达华府 电梯中层 精装修三室 南北通透 看房随时,万达华府 -老城区,3室2厅 | 130平米 | 南 北 | 其他 | 中楼层(共35层)  | 暂无数据,0人关注 / 3个月以前发布,90,"6,924元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,怡水馨园 -老城区,2室1厅 | 90平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,58,"6,445元/平"
怡景江南 3室2厅 南,怡景江南 -老城区,3室2厅 | 118平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,58,"4,916元/平"
公园   广场   民大    户型好   看房随时,绿苑小区 -老城区,3室1厅 | 77.19平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,51,"6,608元/平"
此房房证满2年 南北通透一梯两户 3室2卫 简单装修 .,万华上都 -铁南,3室1厅 | 134平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,84,"6,269元/平"
鸿雁楼        2室一厅一厨一卫,鸿雁楼小区 -老城区,2室1厅 | 80平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,37,"4,625元/平"
怡水馨园电梯19楼 毛坯  单价5500,怡水馨园 -老城区,3室2厅 | 135.24平米 | 南 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,75,"5,546元/平"
温馨提醒：“珍惜时间，选择可靠经纪人”,附小家属小区 -老城区,3室1厅 | 69.97平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,65,"9,290元/平"
利业金灿家园  3-1-1-1 87.50m²,利业金灿家园 -铁南,3室1厅 | 87.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,68,"7,772元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,怡水馨园 -老城区,2室1厅 | 90平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,58,"6,445元/平"
，位置好，视野开阔业主诚心出售，小区环境好,福雅东居 -老城区,3室1厅 | 136平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,106,"7,795元/平"
万达华府 电梯中层 精装修三室 南北通透 看房随时,万达华府 -老城区,3室2厅 | 130平米 | 南 北 | 其他 | 中楼层(共35层)  | 暂无数据,0人关注 / 3个月以前发布,90,"6,924元/平"
房证满五唯一，楼层好，格局好，采光充足，配套齐全,旧棉织厂宿舍楼 -老城区,3室1厅 | 68平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,41,"6,030元/平"
电梯洋房 4楼 3室2卫 带一个车库,东方盛世 -老城区,3室2厅 | 142.15平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,160,"11,256元/平"
，中装修，拎包入住，采光充足 看房方便,西苑三区 -老城区,2室1厅 | 72.35平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,60,"8,294元/平"
金山种子公司综合楼 3室1厅 南 北,金山种子公司综合楼 -老城区,3室1厅 | 97.6平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,51,"5,226元/平"
党校北小区3-1-1-1 83.40m²,党校北小区 -铁南,3室1厅 | 83.4平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,48.56,"5,823元/平"
万华上都   3-1-1-2 132.00m²,万华上都 -铁南,3室1厅 | 132平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,86,"6,516元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,平安西区 -老城区,2室1厅 | 76平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,29,"3,816元/平"
城市之星 电梯好楼层 149平 毛坯 三室两卫,江南．城市之星报社小区 -老城区,3室1厅 | 149平米 | 南 北 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,96.85,"6,500元/平"
此房通透格局，楼层好，视野开阔，采光充足！,附小家属小区 -老城区,3室1厅 | 86.4平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,80,"9,260元/平"
永安南东区 3室2厅 南,永安南东区 -铁南,3室2厅 | 135.25平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,82,"6,063元/平"
市区三居室 通透户型  随时看房子  拎包入住,恒汇华城 -老城区,3室2厅 | 126平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,86,"6,826元/平"
