标题,开发商,房子信息,发布信息,售价/万,单价
北京一号院，精装双卧朝南，有钥匙看房方便,北京壹号院 -张北县,2室1厅 | 91.33平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,9人关注 / 7个月以前发布,46,"5,037元/平"
此房楼层好，采光充足，配套实施齐备，改善刚需优选,君悦东山 -桥东区,3室2厅 | 127.4平米 | 南 北 | 简装 | 低楼层(共20层)  | 板楼,2人关注 / 一年前发布,95,"7,457元/平"
满五唯一，看房方便，诚心出售，价格可议。,银街家仪园 -张北县,3室1厅 | 96.3平米 | 南 北 | 简装 | 高楼层(共17层)  | 塔楼,2人关注 / 一年前发布,41,"4,258元/平"
127连排精装中间户 小院80平，南北两个露台,上谷水郡 -东花园,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共2层)  | 板楼,4人关注 / 一年前发布,210,"16,536元/平"
航空小镇毛坯下叠，南北花园，业主诚心出售！,晨鸣航空小镇观湖华府 -东花园,3室2厅 | 166平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,350,"21,085元/平"
经典户型，大三卧，房本满二，随时过户,水岸华庭 -下花园,4室2厅 | 135平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,50,"3,704元/平"
业主急售瑞士公馆大三居 含地下室地下车位 价格合适,瑞士公馆 -下花园,3室2厅 | 133平米 | 南 北 | 毛坯 | 13层  | 板楼,2人关注 / 9个月以前发布,85,"6,391元/平"
板楼中层小三居，采光视野好，旁边清河路。,西河沿街52号 -桥西区,3室1厅 | 93平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,65,"6,990元/平"
下花园区两阳一阴三居室有不动产证，随时看房随时过户,法院住宅楼 -下花园,3室2厅 | 106.63平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,25,"2,345元/平"
高新区高铁站旁边京润现代城6号院三居两卫出售,京润现代城6号院 -桥东区,3室2厅 | 132.43平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 板塔结合,3人关注 / 9个月以前发布,120,"9,062元/平"
官厅湖畔联排别墅边户，观湖效果好大院子，价格可议,官厅公共艺术小镇 -东花园,3室2厅 | 183.37平米 | 西南 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 1个月以前发布,399,"21,760元/平"
一中家属楼    103平    3居室,旧一中家属楼 -张北县,3室1厅 | 107平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,36,"3,365元/平"
"官厅湖畔双拼别墅，200平米花园，房产证已下,价格可议",官厅泊爱蓝岛 -东花园,6室2厅 | 271.31平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,1人关注 / 2个月以前发布,341.8,"12,599元/平"
小区出行方便，入住率高，配套完善，适合各类人群居住,鸿威翡翠城 -东花园,4室2厅 | 126平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 板楼,3人关注 / 8个月以前发布,120,"9,524元/平"
拉斐水岸观湖叠拼别墅 大露台  精装修,拉斐水岸 -东花园,4室2厅 | 160.73平米 | 南 北 | 精装 | 高楼层(共6层)  | 平房,1人关注 / 2个月以前发布,229,"14,248元/平"
官厅湖畔独栋别墅精致装修大花园业主诚信出售,拉斐水岸 -东花园,4室2厅 | 376.5平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 3个月以前发布,699,"18,566元/平"
业主急售碧桂园官厅蓝精装修三居室带花园,碧桂园官厅蓝 -东花园,3室2厅 | 107平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,55,"5,141元/平"
复式楼，有大露台，视线好 ，采光存足。,滨河新城 -张北县,4室2厅 | 186.72平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,2人关注 / 7个月以前发布,100,"5,356元/平"
高新区高铁站旁边京润现代城6号院三居两卫出售,京润现代城6号院 -桥东区,3室2厅 | 132.43平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 板塔结合,3人关注 / 9个月以前发布,120,"9,062元/平"
"官厅湖畔双拼别墅，200平米花园，房产证已下,价格可议",官厅泊爱蓝岛 -东花园,6室2厅 | 271.31平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,1人关注 / 2个月以前发布,341.8,"12,599元/平"
林园路，可以贷款，出行方便。生活设施便捷,林园南街10号 -桥东区,2室2厅 | 70平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,38,"5,429元/平"
建设东街一道巷3-2-1-1 139.60m² 112 万,建设东街一道巷 -桥东区,3室2厅 | 139.28平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,98,"7,037元/平"
"维多利亚B区，毛坯三居室,有露台",新五一广场2区 -桥东区,3室1厅 | 123.74平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 塔楼,12人关注 / 一年前发布,110,"8,890元/平"
维多利亚小区，客卧向阳，毛坯河景，有房本看房方便,新五一广场2区 -桥东区,3室2厅 | 151.53平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,13人关注 / 一年前发布,122,"8,052元/平"
小区物业管理好，环境好，品质好,锦绣花园东区 -桥东区,3室2厅 | 161平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,75,"4,659元/平"
五一路供电局家属楼小区，板楼三居有本,供电局家属楼 -桥东区,3室2厅 | 95.36平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,14人关注 / 一年前发布,55,"5,768元/平"
桥西区天宝南苑 紧挨 北新村 清河路 单价8500,天宝南苑 -桥西区,3室2厅 | 123平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,85,"6,911元/平"
GAODUANDAQI上档次，低调奢华有内涵,阳光·锦園 -桥东区,4室2厅 | 120平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,72,"6,000元/平"
湖景洋房，配套齐全，精装无入住，业主诚心急售,晨鸣航空小镇观湖华府 -东花园,3室2厅 | 149平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 3个月以前发布,122,"8,188元/平"
业主诚心出售。。。欢迎来咨询。。。,金鑫小区 -桥西区,4室2厅 | 88平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,52,"5,910元/平"
临湖别墅、成熟小区、绿树成荫、上下两层，南向带院子,观澜墅 -东花园,4室2厅 | 123.93平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,14人关注 / 一年前发布,258,"20,819元/平"
诚心出售同人创业园83平米两居室全款,同人创业园 -桥西区,2室1厅 | 82.47平米 | 南 | 毛坯 | 低楼层(共14层)  | 板塔结合,27人关注 / 一年前发布,45,"5,457元/平"
三居，位置好，视野宽阔，采光充足,嘉馨园 -沙城,3室2厅 | 102平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,73,"7,157元/平"
马车社4楼三居室 宽敞明亮  满五唯一 低税点 随时过户,马车社住宅楼 -下花园,3室2厅 | 101平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,31,"3,070元/平"
碧桂园别墅 60平米院 二楼双阳台  房本满二 随时过户,碧桂园北京郡 -下花园,3室2厅 | 124.16平米 | 南 北 | 精装 | 2层  | 板楼 | 联排别墅 ,3人关注 / 5个月以前发布,230,"18,525元/平"
岸尚清城，交通便利，户型房正，拎包入住。,岸尚清城南区 -桥西区,2室1厅 | 94平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,75,"7,979元/平"
挨着河边 明厅明卧户型 南北通透 小区环境好,龍興绿城 -桥东区,3室2厅 | 147平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板楼,6人关注 / 一年前发布,116,"7,892元/平"
军营里的家，环境优雅，视野开阔，业主诚意出售,军营凤凰城 -宣化区,3室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,2人关注 / 10个月以前发布,85,"6,072元/平"
南北通透三居室，三向阳户型，看房方便,张家口市宝善小区 -桥东区,3室2厅 | 135.38平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,88,"6,501元/平"
贝壳真房源，不吃差价 后府街 毛坯大三居，可以贷款。,中央康城 -宣化区,3室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,14人关注 / 一年前发布,83,"5,846元/平"
房子位置好；武城街近；价格合适,明德南42号农行家属院 -桥西区,2室1厅 | 76平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,36,"4,737元/平"
官厅水库旁，观山望湖，成熟社区，业主忍痛割爱,拉斐水岸 -东花园,5室2厅 | 243平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 8个月以前发布,470,"19,342元/平"
盛华家园小区环境优美，入住舒适。物业配套完善,盛华家园小区 -桥东区,3室2厅 | 128.5平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,2人关注 / 10个月以前发布,96.3,"7,495元/平"
官厅公共艺术小镇联排别墅，靠山面湖，临湖别墅,官厅公共艺术小镇 -东花园,4室2厅 | 197平米 | 东 西 | 毛坯 | 低楼层(共3层)  | 板楼,19人关注 / 8个月以前发布,154,"7,818元/平"
怡东华城3-1-1-1 94.00m² 45 万,怡东华城 -张北县,3室1厅 | 94平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,44.6,"4,745元/平"
观澜墅叠拼别墅，观山观湖，环京优质资源，精装修,观澜墅 -东花园,4室2厅 | 178平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,25人关注 / 一年前发布,199,"11,180元/平"
全新精装修，大三居室，适合做婚房，小区环境好,御景天下 -张北县,3室2厅 | 95平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,2人关注 / 3个月以前发布,48,"5,053元/平"
京城广厦 南北通透、格局好、环境好、业主诚心出售,永欣小区 -宣化区,3室2厅 | 97平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,64,"6,598元/平"
交通便利  紧   邻商   业街  采光好价格便宜,西草市街1号院 -宣化区,3室2厅 | 138平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,52,"3,769元/平"
京西江南西区，不临街，不把边，随时看房,京西江南西区 -宣化区,4室2厅 | 216平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,18人关注 / 一年前发布,86,"3,982元/平"
孔雀城联排别墅，位置好，视野好,八达岭孔雀城四期 -东花园,4室1厅 | 196平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 暂无数据,1人关注 / 一年前发布,295,"15,052元/平"
贝壳真房源，不吃差价 后府街 毛坯大三居，可以贷款。,中央康城 -宣化区,3室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,14人关注 / 一年前发布,83,"5,846元/平"
官厅水库旁，观山望湖，成熟社区，业主忍痛割爱,拉斐水岸 -东花园,5室2厅 | 243平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 8个月以前发布,470,"19,342元/平"
盛华家园小区环境优美，入住舒适。物业配套完善,盛华家园小区 -桥东区,3室2厅 | 128.5平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,2人关注 / 10个月以前发布,96.3,"7,495元/平"
金尊华府 3室2厅 南 北,金尊华府 -沙城,3室2厅 | 119.67平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,135,"11,282元/平"
此房楼层高视野好，格局方正，南北双通透，明厨明卫,名爵滨河花园 -下花园,3室2厅 | 129平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 板楼,5人关注 / 8个月以前发布,71,"5,504元/平"
精装修3居室，价格合适，随时可看,新东方小区 -沙城,3室1厅 | 119平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,80,"6,723元/平"
北美枫情大南区小三居板楼出售 南北通透权属清晰,北美枫情南区 -沙城,3室2厅 | 101平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,71.8,"7,109元/平"
小区环境优美，绿化好，居住安静，邻居氛围好,理想上城小区 -沙城,3室2厅 | 130平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,80,"6,154元/平"
地理位置好格局棒喜欢大户型的看过来,玉都苑 -沙城,5室2厅 | 182平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,8人关注 / 一年前发布,115,"6,319元/平"
房屋前边无遮挡，楼层好，每个屋都亮堂,益景明珠 -下花园,3室2厅 | 137平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,9人关注 / 一年前发布,65,"4,745元/平"
京御山水 边户200平花园 距高铁站600米 步行即可到达,碧桂园北京郡 -下花园,3室2厅 | 125平米 | 南 北 | 精装 | 2层  | 板楼 | 联排别墅 ,4人关注 / 一年前发布,200,"16,000元/平"
碧桂园联排别墅中间户，带50平米小院,碧桂园北京郡 -下花园,3室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共2层)  | 板楼,23人关注 / 一年前发布,148,"13,098元/平"
富达园住宅小区 3室2厅 南 北,富达园住宅小区 -沙城,3室2厅 | 105.19平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,53,"5,039元/平"
小区位置好，精装修，大三居，公摊小,时代广场 -沙城,3室2厅 | 120.42平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,78,"6,478元/平"
房子位置好；武城街近；价格合适,明德南42号农行家属院 -桥西区,2室1厅 | 76平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,36,"4,737元/平"
官厅公共艺术小镇联排别墅，靠山面湖，临湖别墅,官厅公共艺术小镇 -东花园,4室2厅 | 197平米 | 东 西 | 毛坯 | 低楼层(共3层)  | 板楼,19人关注 / 8个月以前发布,154,"7,818元/平"
京北恒大国际文化城，奢华大三居，满二可贷款,京北恒大国际文化城 -东花园,3室2厅 | 121平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,106,"8,761元/平"
改善住宅你值得拥有，小区环境优美,兰顿庄园 -沙城,3室2厅 | 137.84平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,4人关注 / 4个月以前发布,138,"10,012元/平"
此房本满二，贷款全款都可以，位置优越。,金鼎花园 -张北县,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,44.5,"4,541元/平"
此房满五，能过户，好户型楼层好视野开阔采光好。,京西江南西区 -宣化区,3室2厅 | 142平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,100,"7,043元/平"
东花园高铁旁精装复式，大露台40平米,上湖郡 -东花园,3室2厅 | 167平米 | 南 北 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 4个月以前发布,145,"8,683元/平"
上湖郡精装跃层，大面宽大视角，,上湖郡 -东花园,3室1厅 | 158平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,0人关注 / 4个月以前发布,140,"8,861元/平"
精装现房，户型精巧布局，家家有景，明朗通透,上湖郡 -东花园,4室2厅 | 138.28平米 | 南 北 | 精装 | 中楼层(共9层)  | 平房,14人关注 / 一年前发布,101,"7,305元/平"
钢鑫小区93平满五年低价两居诚意出售,长宁小区 -宣化区,2室1厅 | 93平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 一年前发布,39,"4,194元/平"
此房居住舒适，格局很好，采光足，适合一家多口居住,盛华家园北区 -桥东区,3室2厅 | 164.31平米 | 南 北 西 | 毛坯 | 中楼层(共16层)  | 板楼,7人关注 / 9个月以前发布,116,"7,060元/平"
贝尔紫园  出售三居 户型方正  实施齐全,贝尔紫园 -桥东区,3室2厅 | 121平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 板楼,7人关注 / 一年前发布,90,"7,439元/平"
开发区步行街真图130平红本永辉城上城建国街3居随时看,城建开发小区 -宣化区,3室2厅 | 120平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,52,"4,334元/平"
孔雀城精装现房联排别墅  随时看房 先到先得,八达岭孔雀城3期 -东花园,4室2厅 | 184平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 平房,1人关注 / 一年前发布,300,"16,305元/平"
依山傍水，全明边户  随时看房 先到先得,八达岭孔雀城6.1期 -东花园,5室2厅 | 186平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 平房,2人关注 / 4个月以前发布,245,"13,173元/平"
孔雀城精装现房联排别墅  随时看房 先到先得,八达岭孔雀城2.1期 -东花园,3室2厅 | 155.29平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,0人关注 / 一年前发布,205,"13,202元/平"
孔雀城精品现房联排别墅 后7套 随时看房 先到先得,八达岭孔雀城1.2期 -东花园,4室2厅 | 261.57平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 平房,0人关注 / 一年前发布,350,"13,381元/平"
八达岭孔雀城联排大四居带园子现房出售,八达岭孔雀城1.2期 -东花园,4室2厅 | 220平米 | 南 北 | 精装 | 低楼层(共1层)  | 平房,3人关注 / 一年前发布,320,"14,546元/平"
八达岭孔雀城 现房  地上两层 地下一层  大院子,八达岭孔雀城1.2期 -东花园,4室2厅 | 211平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,10人关注 / 一年前发布,200,"9,479元/平"
孔雀城精品现房联排别墅 后7套 随时看房 先到先得,八达岭孔雀城八期 -东花园,3室2厅 | 135平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 板楼,15人关注 / 一年前发布,145,"10,741元/平"
纬三路 新二医院 钻石花园 明厅明卧大三居双卫有房本,钻石花园 -桥东区,3室2厅 | 136.8平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 4个月以前发布,114,"8,334元/平"
开发区步行街真图130平红本永辉城上城建国街3居随时看,城建开发小区 -宣化区,3室2厅 | 120平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,52,"4,334元/平"
东花园高铁旁精装复式，大露台40平米,上湖郡 -东花园,3室2厅 | 167平米 | 南 北 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 4个月以前发布,145,"8,683元/平"
上湖郡精装跃层，大面宽大视角，,上湖郡 -东花园,3室1厅 | 158平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,0人关注 / 4个月以前发布,140,"8,861元/平"
精装现房，户型精巧布局，家家有景，明朗通透,上湖郡 -东花园,4室2厅 | 138.28平米 | 南 北 | 精装 | 中楼层(共9层)  | 平房,14人关注 / 一年前发布,101,"7,305元/平"
南北通透 露天阳台 户型多变 随意装修,锦秀家园 -宣化区,4室2厅 | 107.9平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,53,"4,912元/平"
君悦东山 电梯楼不挡光 精装修 有房本能过户,君悦东山 -桥东区,3室2厅 | 128.16平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,12人关注 / 一年前发布,84.5,"6,594元/平"
电梯洋房 五跃六跃七复式跃层 大客厅采光好,南华嘉园 -桥东区,6室3厅 | 400平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,268,"6,700元/平"
高新区 新二医院附-近 客卧朝阳3居双卫 房本满2年可贷,凤凰城 -桥东区,3室2厅 | 122平米 | 南 北 | 简装 | 中楼层(共12层)  | 板楼,10人关注 / 7个月以前发布,92,"7,541元/平"
小区绿化环境优美，出入方便配套完善,文华苑 -桥东区,3室2厅 | 120平米 | 东南 南 西北 北 | 简装 | 低楼层(共11层)  | 板楼,6人关注 / 6个月以前发布,89,"7,417元/平"
出售御景天下毛坯房，楼层高你，采光好,御景天下 -张北县,3室2厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 塔楼,3人关注 / 一年前发布,60,"5,129元/平"
金华郡都 3室2厅 南 北,金华郡都 -张北县,3室2厅 | 113平米 | 南 北 | 毛坯 | 低楼层(共10层)  | 板楼,2人关注 / 一年前发布,51,"4,514元/平"
富达园三居室，价格可谈，随时看房,富达园住宅小区 -沙城,3室2厅 | 92.71平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,50,"5,394元/平"
山景别墅，上叠拼，大露台  高铁高速近   低密社区,鸿威翡翠城 -东花园,3室2厅 | 137平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 板楼,12人关注 / 一年前发布,120,"8,760元/平"
复兴花园 11层 采光好 视野好 配套齐全 交通方便,复兴花园 -下花园,3室2厅 | 120平米 | 北 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,70,"5,834元/平"
一梯两户，交通方便，配套齐全，精装现房,上湖郡 -东花园,3室2厅 | 133.59平米 | 南 | 精装 | 高楼层(共9层)  | 平房,7人关注 / 一年前发布,97,"7,262元/平"
官厅湖 类独栋别墅 位置佳 带花园 诚心出售 价格可谈,拉斐水岸 -东花园,6室4厅 | 450.94平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,5人关注 / 一年前发布,599,"13,284元/平"
精致装修，背山面水，伴读陪读，步行至海淀外国语京北,梦得惜诺三期 -东花园,3室2厅 | 206.91平米 | 南 | 精装 | 低楼层(共10层)  | 板塔结合,10人关注 / 一年前发布,349,"16,868元/平"
电梯房，南北通透，北观湖，南观山,拉斐水岸 -东花园,3室2厅 | 127.34平米 | 北 南 | 简装 | 中楼层(共16层)  | 板楼,3人关注 / 4个月以前发布,88,"6,911元/平"
钢鑫小区满五唯一，3楼2居毛坯诚意出售,长宁小区 -宣化区,2室1厅 | 87平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,57,"6,552元/平"
"交通便利,出行方便,居住方便舒适 ,环境整洁",兴华家园南区 -张北县,2室2厅 | 95平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,27,"2,843元/平"
精品房源 满足您对大平米房源的需求,京西江南西区 -宣化区,4室3厅 | 214.18平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,95.8,"4,473元/平"
碧桂园 一楼 院子120平 精装 有本,碧桂园北京郡 -下花园,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,15人关注 / 一年前发布,121,"10,522元/平"
三阳开泰户型   品牌门窗  高雅社区 满院的樱花树,清水河畔1期 -桥西区,3室2厅 | 141.89平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,112.8,"7,950元/平"
经开区新一中南侧238平米大平层，好位置,鑫鼎银河湾 -桥西区,4室2厅 | 238.44平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,190,"7,969元/平"
领秀城  房子绿化高，人文素养好，居住舒适。,岭秀城（嶺秀城） -桥西区,3室2厅 | 120平米 | 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,94,"7,834元/平"
正规叠拼 有花园 有露台 精装修交付,碧桂园北京郡 -下花园,3室2厅 | 105平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,14人关注 / 一年前发布,115,"10,953元/平"
山水逸134平米大三居 高楼层 视野无遮挡 采光好,山水逸 -下花园,3室2厅 | 133.94平米 | 南 北 | 毛坯 | 14层  | 板楼,8人关注 / 一年前发布,80,"5,973元/平"
此房4跃5 带露台 南北通透  采光好,花园印象 -下花园,4室2厅 | 248平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 11个月以前发布,220,"8,871元/平"
环境优美 地理位置好  地势高  空气良好,八达岭孔雀城3期 -东花园,3室2厅 | 158平米 | 南 北 | 精装 | 低楼层(共3层)  | 平房,3人关注 / 一年前发布,227,"14,368元/平"
四居好户型 价位合理 户型方正  位置优越,人保东辰家园 -桥东区,4室2厅 | 150平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,90,"6,000元/平"
临河正南户型，采光充足，物业敬业,新五一广场2区 -桥东区,3室1厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 6个月以前发布,118,"8,429元/平"
简单装修 板楼五楼 小区环境好 格局合理,绿园小区 -桥东区,3室2厅 | 135平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,102,"7,556元/平"
贝尔紫园跃层五居室  带花园  毛坯房  小区环境好,贝尔紫园 -桥东区,5室2厅 | 258平米 | 南 北 | 毛坯 | 低楼层(共10层)  | 板楼,4人关注 / 一年前发布,210,"8,140元/平"
亲水别墅 独立院落 带院子 可议价 可过户 大产权,碧桂园官厅湖 -东花园,3室1厅 | 111平米 | 南 北 | 精装 | 低楼层(共2层)  | 板楼,17人关注 / 一年前发布,177,"15,946元/平"
经典H户型，适合宜居，户型没有浪费面积,碧桂园北京郡 -下花园,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,138,"10,867元/平"
红旗楼  繁华地段   好房子急售,张垣新城 -桥东区,3室2厅 | 136.7平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,20人关注 / 一年前发布,97,"7,096元/平"
本小区环境优美，停车方便。适合各类家人居住,茶榆云顶小区 -桥东区,3室2厅 | 160平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,130,"8,125元/平"
纬三路车管所马路对过，晨光花城经典小三居,晨光花城 -桥东区,3室1厅 | 111平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,78,"7,028元/平"
八达岭孔雀城5.1期 3室2厅 南 北,八达岭孔雀城5.1期 -东花园,3室2厅 | 166平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 暂无数据,0人关注 / 2个月以前发布,190,"11,446元/平"
官厅湖边温泉入户洋房，跃层带大花园带挑空,碧桂园官厅蓝 -东花园,3室1厅 | 179.54平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,6人关注 / 3个月以前发布,110,"6,127元/平"
京张高铁旁，上湖郡一层带院的精装三居房子,上湖郡 -东花园,3室2厅 | 115平米 | 南 北 | 简装 | 低楼层(共9层)  | 板塔结合,1人关注 / 4个月以前发布,85,"7,392元/平"
变现用，低价出售，可首付20%,上湖郡 -东花园,3室2厅 | 105.32平米 | 南 北 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,72.7,"6,903元/平"
房子户型板正，适宜居住，环境良好,东安大街8号 -桥东区,3室2厅 | 164平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,102,"6,220元/平"
简单装修，价格可议，三室两厅，格局好住,龙兴润城 -桥东区,3室2厅 | 132平米 | 南 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,99,"7,500元/平"
元台子小区，精装两居，有房本，可过户,元台子小区 -桥西区,3室2厅 | 82.49平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,49,"5,941元/平"
