标题,开发商,房子信息,发布信息,售价/万,单价
香榭丽舍新上精装三房 三开间朝南 基本未入住,香榭丽舍 -南环,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,76,"5,391元/平"
楼层采光好， 视野宽阔 精装带大平台，可以随时过户,中汇花园·北门 -泰和城商圈,3室2厅 | 141.89平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 21天以前发布,66,"4,652元/平"
此房契税满两年，中间户，采光良好，交通便利。,北辰桂园 -川汇区政府商圈,3室2厅 | 89平米 | 南 | 简装 | 高楼层(共17层)  | 塔楼,0人关注 / 25天以前发布,51,"5,731元/平"
多层洋房一梯两户精装大三房可以分期,建业森林半岛 -周师商圈,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 20天以前发布,81,"6,231元/平"
新星小区温馨三房精装修拎包入住,新星小区 -邦杰集团商圈,3室2厅 | 130.91平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 25天以前发布,62,"4,737元/平"
有证可按揭 视野开阔 采光充足,周口碧桂园 -东新区商圈,2室1厅 | 83.96平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 25天以前发布,47,"5,598元/平"
昌隆·御景苑 3室2厅 南,昌隆·御景苑 -文昌大道佳丽商圈,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 29天以前发布,58,"5,273元/平"
急售 ：四室两厅两卫，一楼边户，一楼,贾鲁嘉苑D区 -川汇区政府商圈,4室2厅 | 156平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 21天以前发布,47,"3,013元/平"
金利苑小区 3室2厅 南,金利苑小区 -国贸商圈,3室2厅 | 143.7平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 21天以前发布,61,"4,245元/平"
景园盛世华都两房户型方正，可随意装修,景园盛世华都 -周师商圈,2室2厅 | 89.45平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 17天以前发布,58,"6,485元/平"
新华步行街，一梯一户，200平，朝南户型好，采光通,新华步行街 -五一广场商圈,4室2厅 | 200平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,70,"3,500元/平"
富都小区地理位置优越，出行方便,富都小区 -沈丘县,2室2厅 | 106平米 | 东 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 19天以前发布,38,"3,585元/平"
两卧朝阳 户型通透 安置房 中间楼层,贾鲁嘉苑B区 -川汇区政府商圈,2室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 24天以前发布,33,"2,579元/平"
一楼带院精装2室2厅税满随时过户,建业森林半岛 -周师商圈,2室2厅 | 91.06平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 18天以前发布,90,"9,884元/平"
植物园 体育馆旁 一梯一户 新交付 大三房,碧桂园天玺湾 -东新区商圈,3室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 20天以前发布,78.8,"6,407元/平"
颍滨上城  简装三室  家具家电齐全 拎包即住,颍滨上城 -沈丘县,3室2厅 | 118平米 | 南 | 简装 | 低楼层(共17层)  | 暂无数据,0人关注 / 20天以前发布,56,"4,746元/平"
亿丰君悦城精装修电梯洋房有地暖格局合理全天采光有证,億豐君悦城 -现代城商圈,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 22天以前发布,60,"5,000元/平"
许寨简装2房改3房，可以随时看房,周口经济开发区许寨社区 -南广场万达商圈,3室2厅 | 102平米 | 南 | 简装 | 高楼层(共24层)  | 板楼,0人关注 / 26天以前发布,33,"3,236元/平"
小区环境好  精装修  看房方便,旭日華庭 -中原国际商贸城商圈,2室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 20天以前发布,45,"5,114元/平"
小区复式楼，带南北两个露台，有证可以按揭，环境好,星龙华缘 -维也纳商圈,7室3厅 | 244平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 24天以前发布,118,"4,837元/平"
理想城电梯小高层 精装修 新装修 采光好,融辉理想城D2区 -商水县,3室2厅 | 126.53平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 25天以前发布,75,"5,928元/平"
周口碧桂园洋房小三房，精装修拎包入住。,周口碧桂园 -东新区商圈,3室2厅 | 87平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 16天以前发布,60,"6,897元/平"
贾鲁嘉苑c区 现房毛坯随意装 楼层好 总价低,贾鲁嘉苑C区 -川汇区政府商圈,3室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 26天以前发布,37,"2,891元/平"
龙城花园 户型方正  采光充足 视野开阔,龙城花园 -沈丘县,3室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 22天以前发布,35,"2,500元/平"
此房 户型方正、采光视野好，环境好，视野开阔,领秀新城西华府大院 -西华县,3室2厅 | 124.98平米 | 南 | 毛坯 | 9层  | 板塔结合,0人关注 / 16天以前发布,57.5,"4,601元/平"
九龙府二期，新区位置，小区环境优美，交通便利,九龙府二期 -沈丘县,3室2厅 | 138平米 | 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,0人关注 / 28天以前发布,92,"6,667元/平"
万科一期房子中间楼层。业主急售精装修带地暖看房方便,万科·溥天龙堂 -南环,3室2厅 | 96平米 | 南 | 简装 | 高楼层(共33层)  | 暂无数据,0人关注 / 29天以前发布,63,"6,563元/平"
此房有证满2可分期，全天采光，户型方正，装修也不错,中陽馨園 -五一广场商圈,5室3厅 | 267.58平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 一年前发布,172,"6,428元/平"
紫悦华府167平四室两厅两卫可以按揭,紫悦华府 -项城市,4室2厅 | 167平米 | 西 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,66,"3,953元/平"
精装修 未咋住过人 买了可直接拎包入住,建业桂园 -淮阳县,4室2厅 | 154.12平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 5个月以前发布,109,"7,073元/平"
联盟新城 一楼前后带院 家具家电齐全,联盟新城 -现代城商圈,4室2厅 | 165.13平米 | 南 | 其他 | 低楼层(共6层)  | 平房,0人关注 / 3个月以前发布,179,"10,840元/平"
好位置，大面积房源，业主急  售,峰基莊園 -万基城商圈,4室2厅 | 141.98平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,50,"3,522元/平"
前面无任何遮挡 采光刺眼 视野开阔 户型方正,大地华府 -万基城商圈,3室2厅 | 132平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 8个月以前发布,72,"5,455元/平"
南洋国际公馆电梯房大三房户型方正价格54.8万诚心出售,南洋国际公馆 -商水县,3室2厅 | 137平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,5人关注 / 一年前发布,45,"3,285元/平"
融辉城一期，看房方便，有证税满，业主诚心出售,融辉城一期 -商水县,3室2厅 | 115.71平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,3人关注 / 6个月以前发布,65,"5,618元/平"
融辉城二期，精装三房，家具家电齐全，一楼带大院！！,融辉城二期 -商水县,3室2厅 | 107平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,74,"6,916元/平"
融辉城多层一楼 现代化装修 温馨大三居,融辉城一期 -商水县,3室2厅 | 122平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,72,"5,902元/平"
有证满2可按揭，证在手随时过户。户型方正，格局好。,融辉城一期 -商水县,3室2厅 | 131平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,79,"6,031元/平"
碧桂园精装三房 中间楼层 视野开阔 有证可按揭,周口碧桂园 -东新区商圈,3室2厅 | 92平米 | 南 | 简装 | 高楼层(共24层)  | 板塔结合,2人关注 / 一年前发布,65,"7,066元/平"
小区环境优美 物业管理完善 是居住的好地方,汇林绿洲 -维也纳商圈,2室2厅 | 81.3平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,59.5,"7,319元/平"
隆达花园，步梯二楼144平简装三房，，有证,隆达花园 -兰亭山水商圈,3室2厅 | 144平米 | 南 | 简装 | 低楼层(共6层)  | 平房,5人关注 / 一年前发布,57,"3,959元/平"
融辉城二期 3室2厅 南 北,融辉城二期 -商水县,3室2厅 | 136平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,109.5,"8,052元/平"
忍痛割爱卖，谁买谁受益。错过就没了！！,文南小区 -国贸商圈,3室1厅 | 110平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,35,"3,182元/平"
天运人和苑。精装大三房，诚心出售,天运人和苑 -淮阳县,3室2厅 | 118平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,70,"5,933元/平"
碧桂园三房，位置好，采光无遮挡,周口碧桂园 -东新区商圈,3室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,72,"6,000元/平"
该小区环境比较好，住宅人素质较高，干净整洁,城中花园 -西华县,3室2厅 | 131平米 | 南 北 | 其他 | 23层  | 板楼,0人关注 / 3个月以前发布,68,"5,191元/平"
深圳花园  楼层好  采光充足,深圳花园 -西华县,3室2厅 | 106.02平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 一年前发布,63,"5,943元/平"
得房率高 视野好  采光好 房型正 小区位置好,新地阳光城 -西华县,3室2厅 | 143平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,50,"3,497元/平"
此房户型方正，采光好，视野广，无暗室,明诚苑社区 -西华县,3室2厅 | 143.86平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,68,"4,727元/平"
汉唐街小别墅，3间2层半 有集体证 无纠纷随时看房,汉唐街别墅 -西华县,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,1人关注 / 一年前发布,57,"3,987元/平"
带地暖的小区，可按揭，业主诚心出售，可按揭,奥兰未来城 -沈丘县,3室2厅 | 106.95平米 | 南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,54,"5,050元/平"
精装修，拎包入住，有证可按揭，随时看房,一建倾城 -沈丘县,3室2厅 | 130.53平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,95,"7,279元/平"
大富城        电梯房    好房急售  有证  满两年,大富城 -西华县,3室2厅 | 143.74平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,74.9,"5,211元/平"
现代城 3室两厅两卫 采光好 产权清晰 配套齐全,西华现代城小区 -西华县,3室2厅 | 130.48平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,51.8,"3,970元/平"
水岸学府3室2厅2卫  精装修业主急卖,水岸学府豪廷 -西华县,3室2厅 | 142.93平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 10个月以前发布,52.5,"3,674元/平"
天泰花园3室2厅中楼层 阳光明亮,天泰花园 -西华县,3室2厅 | 125.97平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,44,"3,493元/平"
精装修，拎包入住，有证可按揭，随时看房,一建倾城 -沈丘县,3室2厅 | 130.53平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,95,"7,279元/平"
大富城        电梯房    好房急售  有证  满两年,大富城 -西华县,3室2厅 | 143.74平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,74.9,"5,211元/平"
现代城 3室两厅两卫 采光好 产权清晰 配套齐全,西华现代城小区 -西华县,3室2厅 | 130.48平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,51.8,"3,970元/平"
一楼带院，138平简装三房，有证税满可按揭，随时看房,汇林凤凰城 -兰亭山水商圈,3室2厅 | 140平米 | 南 | 简装 | 低楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,71,"5,072元/平"
格局合理，不错的房子，业主诚意出售，,潘庄社区A区 -项城市,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 18天以前发布,34,"2,834元/平"
业主诚心出售复式楼   位置好  交通方便,峰基莊園 -万基城商圈,4室2厅 | 203平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,1人关注 / 4个月以前发布,86,"4,237元/平"
御景湾  上下两层   有证可以按揭    毛坯随心装,御景湾 -项城市,5室2厅 | 213平米 | 东 | 毛坯 | 高楼层(共6层)  | 暂无数据,19人关注 / 一年前发布,90,"4,226元/平"
七一路东段大地华府温馨毛坯三房,大地华府 -万基城商圈,3室2厅 | 93.94平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,46,"4,897元/平"
汉唐街社区     三室两厅一厨一卫,汉唐街社区 -西华县,3室2厅 | 124平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,48,"3,871元/平"
此房有证税满，三卧朝阳，新装修未入住，价位好谈,金泰王朝小区 -中心医院商圈,3室2厅 | 107.42平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,65,"6,052元/平"
小区配套齐全，交通便利，环境优美,豪景花园 -项城市,3室1厅 | 104.31平米 | 东 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,43,"4,123元/平"
金蟾社区B区 3室2厅 南,金蟾社区B区 -项城市,3室2厅 | 120平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 16天以前发布,40,"3,334元/平"
格林绿色港湾 大三房 带电梯 满两年 精装修,格林绿色港湾 -万基城商圈,3室2厅 | 123.57平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,5人关注 / 8个月以前发布,60,"4,856元/平"
南城电梯房次顶层，面积大，双卫，业主急售中,元亨华庭 -淮阳县,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,69,"5,750元/平"
中汇花园简装三房 满五唯一有证可分期,中汇花园·北门 -泰和城商圈,3室2厅 | 117.32平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,65.2,"5,558元/平"
周口市汇林二期复.式楼房不多了！！！,汇林二期 -兰亭山水商圈,4室2厅 | 223.45平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,3人关注 / 一年前发布,135,"6,042元/平"
急急   南关新区电梯房，三室两厅两卫,富强华庭 -西华县,3室2厅 | 124.76平米 | 南 | 简装 | 低楼层(共13层)  | 板楼,0人关注 / 2个月以前发布,52,"4,169元/平"
此房有证可随时有证 低于市场价 好房急售,天泰花园 -西华县,3室2厅 | 128平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,41,"3,204元/平"
成熟小区，位置路段好，入住率高，设施齐全。,文化小区 -西华县,3室2厅 | 156.7平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,12人关注 / 一年前发布,40,"2,553元/平"
精装电梯洋房，有证税满可分期 ，诚心出售 看房方便,联盟新城 -现代城商圈,4室2厅 | 139.49平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,102,"7,313元/平"
有证可以过户，满五唯一， 可以按揭， 精装修,御景湾 -项城市,3室2厅 | 141平米 | 西 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 20天以前发布,88,"6,242元/平"
走过路过，不要错过。此房户型方正，交通便利。,人民路775号 -西华县,3室2厅 | 116.59平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,31.5,"2,702元/平"
明诚苑社区3-2-1-2 118.00m² 50 万,明诚苑社区 -西华县,3室2厅 | 117.99平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,50,"4,238元/平"
东新区 景园盛世华都 毛坯四房，楼层好,景园盛世华都 -周师商圈,4室2厅 | 143.68平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,6人关注 / 一年前发布,97,"6,752元/平"
毛坯房，城南好环境，交通便利，设施设备齐全,金蟾社区B区 -项城市,3室2厅 | 120平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 17天以前发布,40,"3,334元/平"
业主急卖诚心出售，看房方便，户型设计合理,阳光枫景 -项城市,5室3厅 | 261平米 | 东 东南 南 西南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 12天以前发布,200,"7,663元/平"
客厅朝南，两卧朝南，厨房卫生间带窗户，有朝南大阳台,阳光水岸（项城市） -项城市,3室2厅 | 117.56平米 | 东 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 19天以前发布,46,"3,913元/平"
东来尚城 精装修 带大平台 有2亩地  业主急售有证税满,中国铁建·东来尚城 -维也纳商圈,3室2厅 | 117.76平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 4个月以前发布,83,"7,049元/平"
建设路景秀北城精装修三房 拎包入住 满五唯一,景秀北城 -川汇区政府商圈,3室2厅 | 118.79平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,49.8,"4,193元/平"
老户型，采光好，适合上班族，老人，小孩居住,周口地区电厂家属院南院 -七一路西段商圈,3室1厅 | 82.91平米 | 南 北 | 简装 | 低楼层(共2层)  | 暂无数据,1人关注 / 一年前发布,28.6,"3,450元/平"
建设路景秀北城精装修三房 拎包入住 满五唯一,景秀北城 -川汇区政府商圈,3室2厅 | 118.79平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,49.8,"4,193元/平"
东来尚城 精装修 带大平台 有2亩地  业主急售有证税满,中国铁建·东来尚城 -维也纳商圈,3室2厅 | 117.76平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 4个月以前发布,83,"7,049元/平"
客厅朝南，两卧朝南，厨房卫生间带窗户，有朝南大阳台,阳光水岸（项城市） -项城市,3室2厅 | 117.56平米 | 东 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 19天以前发布,46,"3,913元/平"
新地阳光城，三室简装出售，契税满二,新地阳光城 -西华县,3室2厅 | 107.65平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,40,"3,716元/平"
交通路住宅小区 看房方便 业主急售出门就是交通路,交通住宅小区 -国贸商圈,4室2厅 | 170平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,55,"3,236元/平"
此房位置佳   出行方便   交通便利,人民路715号 -西华县,3室2厅 | 153.49平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,41,"2,672元/平"
德高公园壹号  采光充足，交通便利  配套齐全,德高公园壹号 -项城市,3室2厅 | 125平米 | 东 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 18天以前发布,52,"4,160元/平"
此房有证，契税满两年，可随时过户，楼层好视野开阔。,阳光澜岸 -兰亭山水商圈,3室2厅 | 100.57平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,5人关注 / 11个月以前发布,45,"4,475元/平"
"方便的购物,   交通便利。环境优美",绿源小区 -项城市,5室3厅 | 315平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 18天以前发布,148,"4,699元/平"
楼层好，全天采光，看房方便，单价低,书香庭院 -万基城商圈,2室2厅 | 109.04平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,29,"2,660元/平"
房子有证契税满两年 户型挺好 业主诚心出售,香榭丽舍 -南环,4室2厅 | 135.85平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,65,"4,785元/平"
"好地段，安全高,环境美。安静居家比备。",天泰花园 -西华县,3室2厅 | 125平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,35,"2,800元/平"
楼层 户型都不错 配套齐全 直接入住就行,峰基莊園 -万基城商圈,3室2厅 | 143.95平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,62,"4,308元/平"
上城公馆 4室2厅 南,上城公馆 -兰亭山水商圈,4室2厅 | 127平米 | 南 | 其他 | 中楼层(共25层)  | 板楼,1人关注 / 3个月以前发布,62,"4,882元/平"
税满两年，南北对流，楼层号，视野开阔，采光好,万基城市花园 -现代城商圈,3室2厅 | 146平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 5个月以前发布,85,"5,822元/平"
五一路地下广场南面 大产权有证能过户,周口饭店家属楼 -五一广场商圈,3室2厅 | 140.09平米 | 东 西 | 简装 | 高楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,35,"2,499元/平"
御景湾小区，大面积套房，配套齐全，成熟小区,御景湾 -项城市,4室2厅 | 151.45平米 | 东 南 | 精装 | 中楼层(共11层)  | 塔楼,3人关注 / 10个月以前发布,85.5,"5,646元/平"
君临上城精装修，业主诚心出售，看房方便,君临上城 -项城市,3室2厅 | 134.5平米 | 西 | 精装 | 高楼层(共12层)  | 暂无数据,0人关注 / 11天以前发布,65,"4,833元/平"
学府花苑 3室2厅 西,学府花苑 -项城市,3室2厅 | 126平米 | 西 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 10天以前发布,43,"3,413元/平"
采光好，通风效果好，户型方正，精装修。,学府花苑 -项城市,3室2厅 | 140平米 | 东 | 简装 | 低楼层(共26层)  | 暂无数据,0人关注 / 11天以前发布,60,"4,286元/平"
兴忠悦龙台 4室2厅 东,兴忠悦龙台 -项城市,4室2厅 | 136.73平米 | 东 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 11天以前发布,75,"5,486元/平"
碧桂园   精装两室   诚心出售,周口碧桂园 -东新区商圈,2室1厅 | 85平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 4个月以前发布,56,"6,589元/平"
法姬娜欧洲城 4室2厅 南,法姬娜欧洲城 -商水县,4室2厅 | 143.98平米 | 南 | 其他 | 中楼层(共5层)  | 平房,0人关注 / 2个月以前发布,59,"4,098元/平"
康府花园南北格局，面积大，公摊小，位置好,康府花园 -商水县,3室2厅 | 125平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,33,"2,640元/平"
业主诚意出售，税满 两卫 大户型 寻有缘人,书香门第 -周师商圈,3室2厅 | 118.56平米 | 南 | 简装 | 中楼层(共16层)  | 板塔结合,4人关注 / 3个月以前发布,62,"5,230元/平"
周口人公认的好房碧翠园小区房开卖了,碧翠园小区 -万基城商圈,3室2厅 | 108平米 | 东 西 | 简装 | 中楼层(共5层)  | 暂无数据,19人关注 / 一年前发布,28,"2,593元/平"
越秀花园 3室2厅 南 北,越秀花园 -商水县,3室2厅 | 129.9平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 14天以前发布,40,"3,080元/平"
中原温泉花园复，简装可拎包入住,中原温泉花园 -西华县,5室2厅 | 188.86平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 10个月以前发布,59,"3,125元/平"
公园北门蓝天彼岸精装大三房 可拎包入住！！,蓝天彼岸花园 -商水县,3室2厅 | 128平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,34人关注 / 一年前发布,48,"3,750元/平"
罕见一楼下沉式复式！手快有手慢无,建业森林半岛 -周师商圈,4室2厅 | 182平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,63人关注 / 一年前发布,62,"3,407元/平"
法姬娜欧洲城 4室2厅 南,法姬娜欧洲城 -商水县,4室2厅 | 143.98平米 | 南 | 其他 | 中楼层(共5层)  | 平房,0人关注 / 2个月以前发布,59,"4,098元/平"
康府花园南北格局，面积大，公摊小，位置好,康府花园 -商水县,3室2厅 | 125平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,33,"2,640元/平"
周口人公认的好房碧翠园小区房开卖了,碧翠园小区 -万基城商圈,3室2厅 | 108平米 | 东 西 | 简装 | 中楼层(共5层)  | 暂无数据,19人关注 / 一年前发布,28,"2,593元/平"
一楼带院，东边户，前后院有80多平方，有车库,玖珑院 -淮阳县,3室2厅 | 136平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,98,"7,206元/平"
此房是老城区，配套设施齐全，购物方便，有证可过户,东轩居 -项城市,3室2厅 | 131.08平米 | 南 西 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,32,"2,442元/平"
此小区刚交房不久，即买及装修入住，小区绿化好，阔气,坤禧天安郡 -项城市,5室2厅 | 227平米 | 南 西 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 10天以前发布,145,"6,388元/平"
此房有证可按揭 户型方正 得房率高 采光好,香榭丽舍 -南环,3室2厅 | 132.21平米 | 南 | 简装 | 低楼层(共16层)  | 板楼,1人关注 / 8个月以前发布,60,"4,539元/平"
名门世家商品房，业主诚心出售，看房方便,名门世家 -项城市,3室2厅 | 113.6平米 | 南 | 毛坯 | 高楼层(共19层)  | 暂无数据,0人关注 / 11天以前发布,40,"3,522元/平"
越秀花园 3室2厅 南 北,越秀花园 -商水县,3室2厅 | 129.9平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 14天以前发布,40,"3,080元/平"
滨江国际星城 3室2厅 南,滨江国际星城 -五一广场商圈,3室2厅 | 143.92平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,82,"5,698元/平"
碧水云天 精装修3房，一层带院可拎包入住！,碧水云天 -商水县,3室2厅 | 110平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,53,"4,819元/平"
精装现房一楼带院，大户型，买房含地上停车,槐府六号 -沈丘县,6室2厅 | 240平米 | 南 | 其他 | 低楼层(共5层)  | 塔楼,0人关注 / 2个月以前发布,142,"5,917元/平"
温泉花园，简装修，复式楼，契税满五，,中原温泉花园 -西华县,5室3厅 | 206平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,67,"3,253元/平"
名郡北区    小区环境优美    位置佳  出行方便,华夏名郡北区 -西华县,3室2厅 | 118.11平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,46.2,"3,912元/平"
经典大三房  房子宽敞明亮  带大平台,广商云谷 -淮阳县,3室2厅 | 130.69平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 10天以前发布,67,"5,127元/平"
融辉清华园F2区 3室2厅 南,融辉清华园F2区 -商水县,3室2厅 | 116平米 | 南 | 其他 | 低楼层(共10层)  | 暂无数据,0人关注 / 10天以前发布,77,"6,638元/平"
新城广场一期精装三房，拎包入住，看房方便，随时约,新城广场一期 -商水县,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 10天以前发布,25,"1,924元/平"
