标题,开发商,房子信息,发布信息,售价/万,单价
世纪城五区 好楼层 南北通透 精装修 可贷款,世纪城▪五区 -市区商圈,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 15天以前发布,186,"14,646元/平"
此房户型南北通透格局楼层好，视野开阔，采光充足,和润朗园 -开发区商圈,3室2厅 | 131平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 7个月以前发布,120,"9,161元/平"
房主诚意出售六楼带阁楼的房子，有地下室有阳光房。,御水花园西区 -双滦区,3室2厅 | 112平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 7个月以前发布,88,"7,858元/平"
石洞子沟 天和家园 平地不上坡  落地窗 电梯房,天和家園 -市区商圈,3室2厅 | 181平米 | 南 北 | 简装 | 高楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,210,"11,603元/平"
石洞子沟 名苑山庄前排 电梯高层 观景视野采光666666,名苑山庄 -市区商圈,3室2厅 | 115平米 | 南 西 北 | 简装 | 高楼层(共17层)  | 板楼,2人关注 / 11个月以前发布,120,"10,435元/平"
腾达小区复式 四室两厅两卫 房子可贷款,腾达小区 -市区商圈,3室3厅 | 163平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,115,"7,056元/平"
中泰自然城  清新小两居室 户型方正 落地窗 采光好,中泰·自然城 -市区商圈,2室2厅 | 79.36平米 | 南 | 精装 | 低楼层(共24层)  | 塔楼,3人关注 / 一年前发布,83,"10,459元/平"
精装修两室 带4个阳台 没怎么住 家具家电都带 拎包住,御景新城 -双滦区,2室2厅 | 117.2平米 | 南 | 精装 | 低楼层(共16层)  | 塔楼,0人关注 / 一年前发布,93,"7,936元/平"
碧麓嘉园   大三居     视野宽阔,碧麓嘉园 -市区商圈,3室2厅 | 137.44平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,110,"8,004元/平"
承泽府 小高层141平观河景房精装修3室 带家具家电诚售,世纪城·承泽府 -市区商圈,3室2厅 | 141.6平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,330,"23,306元/平"
此房户型好楼层好采光充足，三居室适合改善，简单装修,锦绣城一区 -双滦区,3室2厅 | 115平米 | 南 北 | 简装 | 高楼层(共22层)  | 塔楼,0人关注 / 一年前发布,96,"8,348元/平"
石洞子沟 名苑山庄  精装 南北通透 三居室,名苑山庄 -市区商圈,3室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,142,"11,270元/平"
小三室南北通透户型，精装修拎包入住，中间楼层。,枫林绿洲 -双滦区,3室2厅 | 92.14平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,80,"8,683元/平"
附属医院小区 3室1厅 南 北,附属医院小区 -市区商圈,3室1厅 | 73.18平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,56,"7,653元/平"
世纪城一期小区环境好管理规范房子户型方正居住舒适,承德·世纪城 -市区商圈,3室2厅 | 122平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,178,"14,591元/平"
店长力荐 车站路成熟商圈 三室两厅卫 刚需 置换,武阳花园 -市区商圈,3室2厅 | 138平米 | 北 | 精装 | 中楼层(共16层)  | 板楼,2人关注 / 一年前发布,155,"11,232元/平"
市区大面积三室   电梯小高层  可拎包入住诚意卖,佟王府小区 -市区商圈,3室2厅 | 127.33平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,1人关注 / 一年前发布,135,"10,603元/平"
好楼层 格局好 大客厅 采光好 有钥匙 看房方便,生态家园 -双滦区,4室2厅 | 139.24平米 | 南 | 简装 | 低楼层(共24层)  | 塔楼,1人关注 / 一年前发布,90,"6,464元/平"
南北通透小三室 可拎包入住，有钥匙,嘉和广场 -市区商圈,3室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,125,"13,298元/平"
嘉和广场 通透三居 电梯中层 户型方正  前排无遮挡,嘉和广场 -市区商圈,3室2厅 | 94平米 | 南 北 | 其他 | 低楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,105,"11,171元/平"
本小区经典户型，南北通透，楼层好，可观景,福地华园西区 -市区商圈,4室2厅 | 181平米 | 南 北 | 精装 | 高楼层(共19层)  | 板塔结合,2人关注 / 一年前发布,270,"14,918元/平"
世纪城三室两厅两卫观景武烈河远眺魁星楼视野好,福地华园西区 -市区商圈,3室2厅 | 139.22平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 塔楼,0人关注 / 一年前发布,195,"14,007元/平"
冀东华园 挨着市政府 去市区 开发区都方便,冀东花园 -市区商圈,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,138,"11,500元/平"
地质家园 电梯房 能公积金 不上坡  诚意出售看房,地质家园 -市区商圈,3室2厅 | 138平米 | 南 北 | 精装 | 低楼层(共20层)  | 暂无数据,0人关注 / 一年前发布,140,"10,145元/平"
和润新城四居 毛坯房南北通透 可以随意装修,和润朗园 -开发区商圈,3室2厅 | 148平米 | 北 南 | 毛坯 | 低楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,128,"8,649元/平"
诚心出售阳光四季城三居室随时看房,阳光四季城桃李苑 -开发区商圈,3室2厅 | 132平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板塔结合,1人关注 / 一年前发布,115,"8,713元/平"
君临逸城好楼层125平170万大三居 毛坯房可随意装修,君临逸城 -开发区商圈,3室2厅 | 125平米 | 南 北 | 其他 | 低楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,165,"13,200元/平"
临河观景  三室两厅两卫  诚意出售,世纪城▪五区 -市区商圈,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,6人关注 / 一年前发布,199,"15,308元/平"
诚心出售盛世家园大平米310平6室4卫采光好,盛世家园 -开发区商圈,6室3厅 | 310平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 暂无数据,2人关注 / 一年前发布,229,"7,388元/平"
迎宾佳苑大三室，中间楼层，采光好，南北通透。,迎宾佳苑A区 -市区商圈,3室2厅 | 125平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 一年前发布,116,"9,280元/平"
天山水榭花都联排 地下室 露台 精装修看房方便,承德·天山水榭花都 -市区商圈,4室2厅 | 133.79平米 | 南 北 | 简装 | 低楼层(共3层)  | 平房,12人关注 / 一年前发布,230,"17,192元/平"
诚心出售中泰自然城74平简装两室66万,中泰·自然城 -市区商圈,2室1厅 | 74.06平米 | 南 | 简装 | 低楼层(共24层)  | 塔楼,0人关注 / 3个月以前发布,66,"8,912元/平"
位于新华路，高层视野宽广，无遮挡出行方便。,帝景园大厦 -市区商圈,3室2厅 | 211平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,255,"12,086元/平"
合理三居，使用面积大，全明。装修精美。价格合理,天瑞城 -兴隆县,3室1厅 | 108平米 | 南 | 简装 | 高楼层(共25层)  | 暂无数据,4人关注 / 8个月以前发布,78,"7,223元/平"
祥业小区 南北通透  户型方正,祥业小区 -市区商圈,3室1厅 | 96.01平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,96,"9,999元/平"
和润朗园南北通透三居室。毛坯随意装。采光充足。,和润朗园 -开发区商圈,3室2厅 | 117平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,95,"8,120元/平"
急售凤凰豪庭经典四居室171平走一手手续看房方便,凤凰豪庭 -开发区商圈,4室2厅 | 171平米 | 南 | 毛坯 | 高楼层(共10层)  | 暂无数据,1人关注 / 一年前发布,245,"14,328元/平"
御龙瀚府南北通透大三居毛坯房，可随意装修,御龍瀚府 -开发区商圈,3室2厅 | 151.22平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,135,"8,928元/平"
诚心出售，和润新城畅园，3室两厅136平。,和润新城畅园 -开发区商圈,3室2厅 | 136平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,125,"9,192元/平"
铂悦山四期 电梯洋房 好楼层 毛坯随意装修  可贷款,铂悦山四期 -开发区商圈,3室2厅 | 136平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,195,"14,339元/平"
银领家园.电梯房.随时看房.满五唯一,银领家园 -市区商圈,3室2厅 | 134平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,290,"21,642元/平"
世纪城一期 板楼2层精装修3室2卫户型可贷款全通透户型,承德·世纪城 -市区商圈,3室2厅 | 118平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,170,"14,407元/平"
碧桂园房子，精装交房，有车位。,碧桂园·朗悦湾 -双滦区,3室2厅 | 124平米 | 北 南 | 精装 | 高楼层(共15层)  | 板楼,2人关注 / 一年前发布,85,"6,855元/平"
福隆小区   位置好 平地不上破  户型好,福隆物业小区 -市区商圈,2室2厅 | 92.74平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,1人关注 / 一年前发布,95,"10,244元/平"
诚心出售大石庙乾正家园三室两卫南北通透三居室,乾正家园 -开发区商圈,3室2厅 | 132平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,3人关注 / 一年前发布,100,"7,576元/平"
福隆小区 步梯房一梯两户 边户明室明厅,福隆物业小区 -市区商圈,3室2厅 | 86平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,83,"9,652元/平"
小溪沟小区满五唯一三室一厅出售,小溪沟小区南区 -市区商圈,3室1厅 | 77.55平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,75,"9,672元/平"
西大街出售电梯房 客厅挂东窗 采光好 格局舒服,万华小区D区 -市区商圈,3室1厅 | 85平米 | 南 北 | 简装 | 高楼层(共14层)  | 板塔结合,5人关注 / 一年前发布,86,"10,118元/平"
御龙颐景经典两居通透户型业主诚心出售,御龙颐景 -市区商圈,2室2厅 | 92平米 | 南 | 简装 | 高楼层(共14层)  | 暂无数据,1人关注 / 一年前发布,80,"8,696元/平"
梧桐苑 南北通透3居 高层 采光好,阳光四季城梧桐苑 -开发区商圈,3室2厅 | 116平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板塔结合,4人关注 / 一年前发布,97,"8,363元/平"
锦绣城多层五楼 精装修 税满两年 带地下室售价95万,锦绣城二区 -双滦区,3室2厅 | 137平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,86,"6,278元/平"
御龙瀚府，南北通透大两居，全天采光，视野开阔。,御龍瀚府 -开发区商圈,2室2厅 | 113.64平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,100,"8,800元/平"
世纪城二区 水岸高层精装修3室带地下室和家具家电可议,世纪城二区 -市区商圈,3室2厅 | 121.33平米 | 南 北 | 精装 | 中楼层(共10层)  | 塔楼,3人关注 / 一年前发布,198,"16,320元/平"
此房精装修家具家电齐全临河观景视野开阔无遮挡,世纪城三区 -市区商圈,3室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,7人关注 / 8个月以前发布,200,"14,286元/平"
诚心出售未来城100平两室95万,云中院 -开发区商圈,2室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,1人关注 / 5个月以前发布,95,"9,500元/平"
万华小区D区 中高楼层大三居 贷款方式不限,万华小区D区 -市区商圈,3室2厅 | 138.53平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,160,"11,550元/平"
三室两厅两卫边户明室明厅明卫高层视野开阔无遮挡,世纪城三区 -市区商圈,3室2厅 | 139平米 | 南 北 | 简装 | 高楼层(共25层)  | 塔楼,3人关注 / 7个月以前发布,183,"13,166元/平"
万华小区C区 中高楼层电梯房 贷款方式不限,万华·新世界 -市区商圈,2室1厅 | 85.75平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,75,"8,747元/平"
此房满两二年，南北通透户型，户型方正 ， 前后无遮挡,世纪城·承泽府 -市区商圈,3室2厅 | 119.5平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,220,"18,411元/平"
世纪城六区 带车位 大平米电梯高层 全天采光,世纪城六区德泽府 -市区商圈,4室2厅 | 185平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 7个月以前发布,330,"17,838元/平"
临河观景毛坯可随意装修，房本满五年可贷款,江山名園 -市区商圈,2室1厅 | 211.7平米 | 东 西 | 毛坯 | 中楼层(共12层)  | 暂无数据,1人关注 / 7个月以前发布,335,"15,825元/平"
和润新城小区采光好视野充足，楼层好，交通便利,和润新城 -开发区商圈,3室2厅 | 127平米 | 北 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,98,"7,717元/平"
欧式精装修 含 车位 四居室电梯高层 东边户,世纪城三区 -市区商圈,4室2厅 | 164平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,2人关注 / 一年前发布,300,"18,293元/平"
万华D区第二排 临街 楼层不高 贷款方式不限,万华小区D区 -市区商圈,3室2厅 | 123.86平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,135,"10,900元/平"
武阳花园东区 有电梯 好楼层 南北通透 老本可贷款,武阳花园 -市区商圈,3室2厅 | 148平米 | 南 北 | 简装 | 中楼层(共16层)  | 暂无数据,1人关注 / 11个月以前发布,175,"11,825元/平"
美地湾景124平两室两厅两卫南北通透户型方正本二,德生美地湾景小区 -市区商圈,2室2厅 | 124.3平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,115,"9,252元/平"
中间户位置好满二唯一 南北通透 采光好,森源·保利城 -平泉市,3室2厅 | 117.53平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,79,"6,722元/平"
美地湾景小区 中间楼层 南北通透 可贷款,德生美地湾景小区 -市区商圈,3室2厅 | 141平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 8个月以前发布,110,"7,802元/平"
世纪城二区 精装修三室两卫 自住房 保养好,世纪城二区 -市区商圈,3室2厅 | 129平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,150,"11,628元/平"
中泰自然城 精装 南北通透 两居室 户型方正 落地窗,中泰·自然城 -市区商圈,2室1厅 | 83.39平米 | 南 北 | 精装 | 中楼层(共24层)  | 塔楼,0人关注 / 一年前发布,85,"10,194元/平"
武烈路临河观景90万可买到南北朝向的两居室您看看这套,荣信·丽景湾 -市区商圈,2室2厅 | 114.5平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,90,"7,861元/平"
满五唯一，东西通透，采光好，视野开阔,华北物流A区一期 -平泉市,2室2厅 | 94平米 | 东 西 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,50,"5,320元/平"
急急急出售世纪城三区96平两室142万,世纪城三区 -市区商圈,2室2厅 | 96平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,2人关注 / 一年前发布,130,"13,542元/平"
此房正规70年产权业主诚心出售 户型合理没有浪费面积,时代嘉园南区 -市区商圈,3室2厅 | 113.18平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,96,"8,483元/平"
乾正家园，南北通透户型，毛坯随意装修，看房方便,乾正家园 -开发区商圈,3室2厅 | 132.77平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 9个月以前发布,100,"7,532元/平"
兴隆集荣丽景，精装修的两居室，南北通透好楼层,集荣丽景 -兴隆县,2室1厅 | 87平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 6个月以前发布,68,"7,817元/平"
兴隆天瑞城电梯三居，户型方正明亮，市价销售,天瑞城 -兴隆县,3室1厅 | 97.08平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,1人关注 / 7个月以前发布,72,"7,417元/平"
南北通透，三阳开泰，电梯好楼层，带车位地下室,铸合壹号苑 -平泉市,3室2厅 | 120.98平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 暂无数据,1人关注 / 9个月以前发布,106,"8,762元/平"
帝景国际花园三居东边户满五唯一有地下室,帝景国际花园 -平泉市,3室1厅 | 115.6平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,90,"7,786元/平"
金世纪房B区屋两室一厅一厨一卫，位置好出行方便,金世纪家园B区 -平泉市,3室2厅 | 104平米 | 南 北 | 精装 | 低楼层(共17层)  | 暂无数据,3人关注 / 10个月以前发布,83,"7,981元/平"
电梯多层，可走一手房手续，采光好，全天无遮挡,府佑新城B区 -平泉市,3室1厅 | 123.65平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,95,"7,683元/平"
繁华地势 大三居 交通便利 购物方便 老赔购物广场,水岸华庭北区 -平泉市,3室2厅 | 138.2平米 | 南 北 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,85,"6,151元/平"
迎宾佳苑B区三居室南北通透户型。采光好。位置优越。,迎宾佳苑B区 -双桥区,3室2厅 | 146平米 | 南 北 | 简装 | 低楼层(共34层)  | 暂无数据,1人关注 / 一年前发布,115,"7,877元/平"
此房满五唯一，位置优越，出行方便，银行，菜市场,种子公司家属楼 -平泉市,3室2厅 | 104平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,56,"5,385元/平"
未来城前排基础装修，全天采光。本二年，南向两居,丹霞园 -未知商圈,2室1厅 | 108平米 | 南 | 简装 | 低楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,96,"8,889元/平"
三阳开泰户型，带车位地下室， 房子视野开阔 ，采光好,华北物流A区二期 -平泉市,3室2厅 | 108.9平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,74,"6,796元/平"
精装三居户型，临街无遮挡，位置优越，出行方便,兴平路前卫林场家属楼 -平泉市,3室2厅 | 107平米 | 东 西 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,62,"5,795元/平"
中间楼层 户型南北通透 公摊面积小 房子视野开阔,林馨家园 -平泉市,3室1厅 | 97.72平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,3人关注 / 3个月以前发布,50,"5,117元/平"
迎宾北区 电梯高层三居 精装修 有地下室，视野好,迎宾小区北区 -平泉市,3室2厅 | 134.28平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 11个月以前发布,110,"8,192元/平"
此房满五唯一，南北通透，视野开阔,城北嘉园 -平泉市,3室2厅 | 103.8平米 | 南 北 | 简装 | 高楼层(共24层)  | 暂无数据,0人关注 / 7个月以前发布,81,"7,804元/平"
香江二期，南北通透户型，三居室，毛坯随意装修,香江卡纳溪谷二期 -未知商圈,3室2厅 | 107.94平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,14人关注 / 一年前发布,65,"6,022元/平"
富华二期 精装修老本能贷款 户型好 房龄新可公积金,富华山庄二期 -市区商圈,3室2厅 | 100.57平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,95,"9,447元/平"
此房的房本满两年，业主诚心出售 采光好无遮挡。,双柳小区 -市区商圈,3室2厅 | 139.68平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 6个月以前发布,130,"9,307元/平"
南北通透三居室，看房方便，有钥匙，有房本可以贷款,香江卡纳溪谷二期 -未知商圈,3室2厅 | 107.45平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,72,"6,701元/平"
精装修 税点低 南北通透格局 楼层低 出行方便,金地花园 -平泉市,3室2厅 | 95平米 | 南 北 | 简装 | 低楼层(共17层)  | 暂无数据,1人关注 / 11个月以前发布,63,"6,632元/平"
满五唯一，南北通透，视野开阔·，随时看房,滨河世家 -平泉市,3室2厅 | 135平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,2人关注 / 5个月以前发布,103,"7,630元/平"
祥悦城3室好楼层，配套齐全。业主只带走个人物品。,祥悦城 -平泉市,3室2厅 | 104平米 | 南 北 | 精装 | 高楼层(共24层)  | 暂无数据,1人关注 / 一年前发布,85,"8,174元/平"
位置优越，三居户型，带小房，大面积，采光好,农行旧楼 -平泉市,3室1厅 | 73.12平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,43,"5,881元/平"
东边户，南北通透， 产权清晰， 随时可过户,海城阳光家园 -平泉市,4室2厅 | 171平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,137,"8,012元/平"
：房子满五唯一税费少 南北通透 楼层好,地税局家属楼 -平泉市,4室2厅 | 135平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,65,"4,815元/平"
业主诚售，精装修，东边户 包大税 看房方便,盛世新城 -平泉市,3室2厅 | 126平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,106,"8,413元/平"
此房满五唯一，精装修，西边户，河景房，带地下室,金地花园 -平泉市,3室2厅 | 117平米 | 南 北 | 精装 | 中楼层(共12层)  | 暂无数据,1人关注 / 4个月以前发布,78,"6,667元/平"
此房是多层楼的中间层，南北通透户型，价格合理,兴平小区 -平泉市,3室1厅 | 98平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,56,"5,715元/平"
名苑山庄  南北通透 东边户  春赏百花 冬观雪,名苑山庄 -市区商圈,3室2厅 | 92.7平米 | 东 南 北 | 简装 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,105,"11,327元/平"
乾坤山庄 100.64平  75万   看房提前打电话,乾坤山庄 -市区商圈,3室2厅 | 100.64平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 6个月以前发布,65,"6,459元/平"
石洞子沟，静雅山庄，三室带阁楼，户型通透，可以贷款,景泰静雅山庄 -市区商圈,3室2厅 | 117平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 30天以前发布,150,"12,821元/平"
翠桥市政府楼 平地无坡 能贷款 老本随时看房子挨着公,翠桥市政府家属楼 -市区商圈,3室1厅 | 61.4平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 11个月以前发布,45,"7,329元/平"
急售 南向两居室 精装修 全明户型 老本可贷款,世纪城▪五区 -市区商圈,2室2厅 | 104平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 一年前发布,149,"14,327元/平"
三居室  南北通透  户型方正  全明格局,世纪城金隅 -市区商圈,3室2厅 | 142平米 | 南 北 | 简装 | 高楼层(共30层)  | 板塔结合,1人关注 / 5个月以前发布,160,"11,268元/平"
承市之光 电梯中高层 三室一卫  视野开阔无遮挡,承市之光小区 -市区商圈,3室2厅 | 118.32平米 | 南 北 | 毛坯 | 中楼层(共35层)  | 塔楼,0人关注 / 4个月以前发布,138,"11,664元/平"
陕西营小区 9室2厅 东南 南 北,陕西营小区 -市区商圈,9室2厅 | 157.31平米 | 东南 南 北 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,170,"10,807元/平"
富丽花园 精装三居室 贷款方式不限,富丽花园 -市区商圈,3室2厅 | 100.1平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,92,"9,191元/平"
出售糖酒库小区大三居96平93万 南北通透全天采光老本,畅远小区 -市区商圈,3室2厅 | 96平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,88,"9,167元/平"
世纪城二期毛坯房两居室可随意装修房本满5年可贷款,世纪城二区 -市区商圈,2室1厅 | 95平米 | 南 | 毛坯 | 中楼层(共22层)  | 塔楼,0人关注 / 一年前发布,125,"13,158元/平"
诚心出售碧峰家园87平三室95万,碧峰家园一区 -市区商圈,3室2厅 | 84.55平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,85,"10,054元/平"
世纪城二期，位于世纪城北侧 小区占地面积大.,世纪城二区 -市区商圈,2室2厅 | 92.52平米 | 南 | 简装 | 中楼层(共16层)  | 塔楼,0人关注 / 9个月以前发布,125,"13,511元/平"
诚心出售港湾120平精装修三室105万,港湾 -市区商圈,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,105,"8,750元/平"
此房满两二年，通 透户型，户型方正 ， 前后无遮挡,世纪城▪五区 -市区商圈,3室2厅 | 116平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 一年前发布,180,"15,518元/平"
户型方正 采光好 业主诚心出售 周 边配套齐全,长安小区二期 -市区商圈,3室1厅 | 82平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,66,"8,049元/平"
步梯房 一梯两户 临河观景房  全天采光无遮挡,武阳花园 -市区商圈,2室1厅 | 78.32平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,1人关注 / 7个月以前发布,83,"10,598元/平"
荣信大厦 精装修 视野开阔 采光好 满五唯一,荣信大厦 -市区商圈,3室2厅 | 92.72平米 | 南 西 | 精装 | 高楼层(共22层)  | 塔楼,0人关注 / 8个月以前发布,100,"10,786元/平"
北兴隆小区 好楼层 采光好 可贷款,北兴隆小区西区 -市区商圈,2室1厅 | 62平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,64,"10,323元/平"
世纪城▪五区 2室2厅 南 北,世纪城▪五区 -市区商圈,2室2厅 | 116平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 一年前发布,175,"15,087元/平"
富丽花园户型通透 三居  中等装修 采光好,富丽花园 -市区商圈,3室2厅 | 114.17平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,95,"8,321元/平"
此房满两二年，南北通透户型，户型方正 ， 前后无遮挡,福隆物业小区 -市区商圈,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共16层)  | 塔楼,1人关注 / 一年前发布,130,"9,559元/平"
诚心出售港湾120平三室两卫85万,港湾 -市区商圈,3室2厅 | 120平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,85,"7,084元/平"
长安小区 南北通透三居室  户型方正  中间楼层,长安小区一期 -市区商圈,3室2厅 | 102平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,85,"8,334元/平"
富华新天地 3室2厅 南 北,富华新天地 -市区商圈,3室2厅 | 133平米 | 南 北 | 简装 | 中楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,250,"18,797元/平"
万华小区A区 南北通透 户型方正 全明户型  两居室,万华小区A区 -市区商圈,2室1厅 | 61.34平米 | 南 西 北 | 其他 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,58,"9,456元/平"
