标题,开发商,房子信息,发布信息,售价/万,单价
景苑花园 5室2厅 南 北,景苑花园 -一号公馆,5室2厅 | 239.92平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 10天以前发布,145,"6,044元/平"
神华佳苑大平米精装 楼层好小区人群素质高,神华佳苑 -锦林公园,3室2厅 | 154平米 | 南 北 | 精装 | 高楼层(共10层)  | 暂无数据,1人关注 / 7个月以前发布,138,"8,962元/平"
少先24  包钢医院  欧式装修  经典户型  南北通透,少先路24号街坊 -八一公园,2室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,7人关注 / 一年前发布,75,"6,356元/平"
此房满五唯一，南北通透，采光充足，配套设施齐全 ..,神华佳苑 -锦林公园,4室2厅 | 186.23平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,180,"9,666元/平"
小区配套设施成熟，小区环境优雅，，,丰景御苑 -钢四小,3室2厅 | 132平米 | 西北 | 精装 | 低楼层(共24层)  | 塔楼,1人关注 / 一年前发布,178,"13,485元/平"
友谊17号社区 2室2厅 南 北,友谊17号社区 -昆区华联,2室2厅 | 108平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,84,"7,778元/平"
此房满五 紧挨万达 正翔 中间楼层 全天采光 满五唯一,康乐小区 -万达,3室2厅 | 120平米 | 北 南 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,98,"8,167元/平"
不吃差价 不收返费社区成熟环境优美绿化高设施齐全,丰景佳苑团九三期 -阿尔丁植物园,3室2厅 | 159.07平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,5人关注 / 10个月以前发布,137,"8,613元/平"
东亚香缇丽舍3室一楼急售 位置优越 交通方便,东亚香堤丽舍 -广汇,3室2厅 | 113.52平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,96,"8,457元/平"
南桥标准格局 精装修带全套 随时看房,东亚香堤丽舍 -广汇,3室2厅 | 119平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,101.5,"8,530元/平"
团17呱呱叫食品楼  窗户已换  精装修,团结17社区 -恰特,2室1厅 | 95平米 | 南 北 | 简装 | 低楼层(共6层)  | 平房,0人关注 / 一年前发布,73.5,"7,737元/平"
采光充足，视野开阔，交通便利，精装修，南北通透.,锦尚国际 -锦林公园,3室2厅 | 140平米 | 南 北 | 其他 | 高楼层(共31层)  | 板楼,0人关注 / 11个月以前发布,145,"10,358元/平"
欧风丽景，高档小区，没有装修，可以按自己喜好装修,欧风丽景 -甲尔坝,3室2厅 | 182平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,175,"9,616元/平"
昆区  阿尔丁大街  居然新城,居然新城 -甲尔坝,3室2厅 | 144平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,115,"7,987元/平"
昆区  阿尔丁大街  居然新城,居然新城 -甲尔坝,3室2厅 | 144平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,115,"7,987元/平"
不吃差价 不收返费 南北格局带阁楼，精装修，采光好,景鑫苑 -民主路,4室2厅 | 134.37平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,125,"9,303元/平"
不吃差价不收返 佣 万达小区出行方便购物便捷,万达小区 -沙河街,3室2厅 | 120.12平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,80,"6,661元/平"
不吃差价 不收返费 精装四室 附带两个车位 户型方,恒大名都 -东亚,4室2厅 | 285平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,3人关注 / 一年前发布,220,"7,720元/平"
不吃差价，不收返费！采光充足，经典户型，设施完善,华发新城 -东亚,4室2厅 | 220平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,4人关注 / 10个月以前发布,290,"13,182元/平"
赛音道八号街坊  同利家电 劳动公园,赛音小区南区 -九星,3室2厅 | 123.11平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,106.5,"8,651元/平"
友谊南 二楼三居室双阳卧格局 采光好  拎包住可议价,阿尔丁小区 -包头乐园,3室1厅 | 85平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,90,"10,589元/平"
不吃差价不收返费采光充足，配套齐全，交通便利,阿尔丁小区 -包头乐园,3室2厅 | 85平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,81,"9,530元/平"
居然新城，三室两厅一厨两卫，，，，，,居然新城 -甲尔坝,3室2厅 | 141平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 一年前发布,95,"6,738元/平"
军区大院  步梯三楼 精装修  拎包入住  带车库,军区大院小区 -蒙中医院,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,65,"5,200元/平"
钢四，35，植物园南门，五楼，三室，户籍用,青年路9号街坊 -钢四小,3室2厅 | 104.22平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,145,"13,913元/平"
不吃差价，不收返费，牡丹花园精装三居，诚心出售,牡丹花园 -中建御澜世家,3室1厅 | 133平米 | 南 北 | 简装 | 低楼层(共26层)  | 塔楼,0人关注 / 一年前发布,115,"8,647元/平"
工业路东方嘉园，出行交通便利，生活配套设施齐全,东方嘉园 -蒙中医院,2室2厅 | 95平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,59,"6,211元/平"
有本配贷 小区环境好精装修落地大飘窗采光好,颐和山庄 -海威小区,3室2厅 | 136平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 一年前发布,80,"5,883元/平"
不吃差价 不收返费恒大名都楼层好视野开阔，采光充足,恒大名都 -东亚,4室3厅 | 298.3平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,220,"7,376元/平"
急售通顺环西商圈精装1楼带小院有本配贷,吉兴小区 -通顺,4室4厅 | 260平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,11人关注 / 一年前发布,135,"5,193元/平"
经典格局，牛桥街。大红门商圈；；‘’；‘’；,和平路西小区 -通顺,2室1厅 | 90平米 | 北 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,50,"5,556元/平"
包百二旅社 .海湖豪庭，小平米，低楼层，适合老人居住,海湖豪庭 -二旅社,3室1厅 | 97.1平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,80.8,"8,322元/平"
不吃差价，不收反费， 业主诚心出售，价格可议,碧水嘉苑 -东大桥,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,76,"5,985元/平"
房主诚意出售  小区环境好   出行方便,龙藏新城天赋苑 -乔家金街,3室2厅 | 129.6平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,12人关注 / 一年前发布,67,"5,170元/平"
西脑包 人民公园 河槽 红星 九曲花街 三居,西脑包后街 -西脑包,3室2厅 | 119平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,53,"4,454元/平"
南北通透格局，楼层好，精装修，采光充足，交通便利，,东门大街南小区 -蒙中医院,3室2厅 | 113.42平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,50,"4,409元/平"
精装婚房 有本能贷款 六楼带阁楼晒台 全天采光,步步高西苑 -西脑包,2室2厅 | 95.05平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,54,"5,682元/平"
科技大学 加州郡府 大三居 双阳卧 精装修 电梯入户,加州郡府 -中建御澜世家,4室2厅 | 156.85平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 一年前发布,136,"8,671元/平"
业主诚意出售，小区绿化好，停车方便，看房方便。,和平路东三北小区 -南圪洞,3室2厅 | 124平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,60,"4,839元/平"
空户包钢九  现代装修 诚心出售 看房方便,友谊19号街坊五区 -包头乐园,3室2厅 | 80.3平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 10个月以前发布,52,"6,476元/平"
步梯4楼大三居 南北通透格局 金龙王庙小片内,和平路东四区 -南圪洞,3室2厅 | 126平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,63,"5,000元/平"
东河南圪洞广场精装三居室三楼南北通阳面客厅,南圪洞二区 -南圪洞,3室2厅 | 115.44平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,58,"5,025元/平"
金龙王庙小   学    户型方正 采光全天无遮挡,糖业五库 -南圪洞,2室1厅 | 85平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,45,"5,295元/平"
晟泰园，大平米好房，干净好户型,晟泰园 -团结大街,2室2厅 | 140.23平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,105,"7,488元/平"
南圪洞一区 二楼 大三居 白色装修 南北通透 配套齐全,南一区 -南圪洞,3室2厅 | 113平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,56.3,"4,983元/平"
空户包钢九  现代装修 诚心出售 看房方便,友谊19号街坊五区 -包头乐园,3室2厅 | 80.3平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 10个月以前发布,52,"6,476元/平"
业主诚意出售，小区绿化好，停车方便，看房方便。,和平路东三北小区 -南圪洞,3室2厅 | 124平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,60,"4,839元/平"
晟泰园，大平米好房，干净好户型,晟泰园 -团结大街,2室2厅 | 140.23平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,105,"7,488元/平"
双阳夹厅户型，南北通透，楼层好，采光充足，环境优美,颐和山庄 -海威小区,3室2厅 | 136.69平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,7人关注 / 一年前发布,64,"4,683元/平"
少先路29号口岸小区大三室首付低,少先29口岸小区 -广汇,3室2厅 | 116.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,83,"7,131元/平"
业主诚意出售，小区绿化好，停车方便，看房方便,税苑小区(东河区) -通顺,3室2厅 | 131平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,68,"5,191元/平"
有本配贷 交通方便 配套齐全 采光充足 环境优美,心怡花园 -包头东站,2室2厅 | 116平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,58,"5,000元/平"
此房满五，南北通透格局，楼层好，视野宽阔,鹿鸣苑东区 -人民公园,3室2厅 | 172平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,90,"5,233元/平"
急售 和平路西小区 大三居 出现方便 拎包入住 看房,和平路西小区 -通顺,3室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 11个月以前发布,51,"4,435元/平"
此房满五唯一业主诚意出售小区绿化好停车方便看房方便,吉兴小区 -通顺,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,60,"4,546元/平"
满五唯一楼层好视野宽阔采光充足配套设施齐全交通便利,解放路北小区 -南圪洞,3室2厅 | 104.34平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,51,"4,888元/平"
吉兴小区 精装修大三居  南北通透  拎包,吉兴小区 -通顺,3室2厅 | 131.21平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 10个月以前发布,55,"4,192元/平"
复式成双4-2-1-2卫，格局好，精装修，拎包入住,馥室成双 -广汇,4室2厅 | 92.3平米 | 南 北 | 精装 | 高楼层(共21层)  | 板塔结合,3人关注 / 一年前发布,100,"10,835元/平"
业主诚意出售，停车方便，看房方便,鑫厦小区 -人民公园,3室2厅 | 126平米 | 北 南 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,65,"5,159元/平"
和平路精装大三居 随时看房 诚心出售 满五唯一,和平路西小区 -通顺,3室2厅 | 114.25平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,49,"4,289元/平"
和平路西小区 经典格局 精装婚房 大三居 独立厨房,和平路西小区 -通顺,3室2厅 | 128平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,58,"4,532元/平"
盛世嘉苑  南北通透格局，视野宽阔,盛世嘉苑 -广汇,3室2厅 | 124平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,93,"7,500元/平"
牛桥街和平路西小区四楼三居精装修拎包入住,和平路西小区 -通顺,3室2厅 | 118.4平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,65,"5,490元/平"
六楼带阁楼，精装，有本配贷，四居室双卫,鹿鸣苑东区 -人民公园,3室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,69,"5,112元/平"
福利院家属楼 3室1厅 南 北,福利院家属楼 -鹿港小镇,3室1厅 | 149平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,85,"5,705元/平"
佳园小区，精装修，钢4二十九中，空户 小区已改造,佳园小区 -钢四小,2室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,139.5,"11,823元/平"
此套房，宽敞明亮，小区物业好，工作人员负责任。,荣资梦乡 -106小商品城,3室2厅 | 130平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,120,"9,231元/平"
天诚名筑钢四二十九楼层好全明格局南北通透采光好,天诚名筑 -钢四小,2室2厅 | 124.45平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,2人关注 / 10个月以前发布,177,"14,223元/平"
汇金小区 1室1厅 南 北,汇金小区 -包钢设计院,1室1厅 | 35平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,29,"8,286元/平"
九星 万达商圈 鹿景苑 精装修 南北通透,鹿景苑 -九星,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 10个月以前发布,120,"9,524元/平"
金茂豪庭 精装修 没住过人 看房方便,金茂豪庭 -友谊广场,3室2厅 | 271平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,260,"9,595元/平"
此房格局好，采光充足，居住舒适，，，，，，，,凯旋豪庭 -八一公园,3室1厅 | 145平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,7人关注 / 一年前发布,170,"11,725元/平"
高新区 东海花园 鹿港商圈 交通便利,东海花园 -鹿港小镇,4室2厅 | 198平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,8人关注 / 一年前发布,136,"6,869元/平"
不吃差价 不收返费友谊29街坊 精装修户型好 南北通透,友谊29街坊81小区 -广汇,2室2厅 | 119平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,63,"5,295元/平"
恒大名都六楼，人工湖旁，前有山水，后有靠山。,恒大名都 -东亚,4室3厅 | 284.85平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,258,"9,058元/平"
包百南面 少先29号 口岸小区 3楼 三室 黄三包,少先29口岸小区 -广汇,3室2厅 | 116.04平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,80,"6,895元/平"
都市花园一区 步梯三楼 南北通透 诚心出售,都市花园一区 -二机二中双学区,4室2厅 | 192.52平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,167,"8,675元/平"
此房中间楼层格局好，户型方正，采光充足，交通便利,南一区 -南圪洞,3室2厅 | 123平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,65,"5,285元/平"
海威小区 三室两厅两卫 全天采光 南北通透,海威小区五区 -海威小区,3室2厅 | 128.15平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,82.9,"6,469元/平"
盛世嘉苑 经典格局  精品装修 整体出售,盛世嘉苑 -广汇,3室2厅 | 143平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,86,"6,014元/平"
不吃差价不收返费，采光充足，交通便利，格局好,中建御澜世家 -中建御澜世家,3室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,3人关注 / 一年前发布,117,"8,182元/平"
东方俪城 出行方便 小区免费停车,东方俪城 -东河区,3室2厅 | 139平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,80.5,"5,792元/平"
采光好，面积大，公摊少。出门就是青山路 ，出行方便,东方俪城 -东河区,3室2厅 | 132.7平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,92,"6,933元/平"
此房明厅明卧，明德花园属于住宅小区,明德花园 -甲尔坝,6室3厅 | 306平米 | 南 北 | 简装 | 低楼层(共3层)  | 板塔结合,6人关注 / 11个月以前发布,270,"8,824元/平"
大红门 通顺商圈 通顺西二区 精装钻石2楼 大三居,通顺西二区 -通顺,3室2厅 | 124平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,57,"4,597元/平"
业主诚意出售，小区绿化好，停车方便，看房方便！,锦绣南海城南海鸿龙湾荣郡 -南海,6室3厅 | 373平米 | 南 北 | 毛坯 | 3层  | 塔楼 | 独栋别墅 ,4人关注 / 10个月以前发布,260,"6,971元/平"
房满五唯一业主诚意出售小区绿化好停车方便提前预约.,吉兴小区 -通顺,3室2厅 | 131.22平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,58,"4,421元/平"
富力院士庭16楼毛坯房，采光充足好，诚心偶遇有缘人。,富力院士廷 -东河区,3室2厅 | 123.69平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板楼,8人关注 / 10个月以前发布,81,"6,549元/平"
繁华地段，人车分流，户型好，24小时安保，绿化好。,万达广场 -万达,3室2厅 | 143.65平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,172,"11,974元/平"
保利拉菲公馆 3室2厅 北,保利拉菲公馆 -东亚,3室2厅 | 157平米 | 北 | 精装 | 低楼层(共18层)  | 塔楼,5人关注 / 一年前发布,140,"8,918元/平"
八一公园-少先23-中间楼层-大四居-配套齐全-生活方便,少先23号街坊 -八一公园,4室2厅 | 165平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,16人关注 / 一年前发布,133,"8,061元/平"
青山区 口岸花苑 采光充足 交通便利,口岸花苑 -口岸花园,3室2厅 | 141平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,140,"9,930元/平"
通顺西二区 精品一楼带小院  地理位置优越 采光充足,通顺西二区 -通顺,3室2厅 | 123.88平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,8人关注 / 一年前发布,56,"4,521元/平"
不吃差价不收返费采光无遮挡  户型结构好,民三小区 -民主路,3室2厅 | 219平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,130,"5,937元/平"
此房南北通透格局  楼层好  视野宽阔  交通便利,青年路十一号街坊 -钢三小,3室2厅 | 160平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,300,"18,750元/平"
房主急售，看房方便，交通方便。,神华佳苑 -锦林公园,2室2厅 | 153平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,133,"8,693元/平"
友谊小区南区3-1-1-1 85.00m² 95 万）,友谊南街坊 -友谊广场,3室1厅 | 85平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,83,"9,765元/平"
锦尚国际毛坯房随意装修电梯高层小区环境好，南北通透,锦尚国际 -锦林公园,2室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,2人关注 / 一年前发布,113.5,"8,938元/平"
友谊南小区  三室一厅 两卧朝南 一梯两户,友谊南街坊 -友谊广场,3室1厅 | 85平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,93,"10,942元/平"
意城晶华有本配贷房主自住看房方便拎包入住好房及售,意城晶华 -甲尔坝商圈,3室2厅 | 137.69平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,120,"8,716元/平"
德佑首推 三楼 简单装修 南北通透 采光充足,少先路22号街坊 -106小商品城,3室1厅 | 85平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,105,"12,353元/平"
不吃差价不收返费无遮挡交通便利，精装修，视野开阔,三江尊园 -中建御澜世家,6室3厅 | 440平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,7人关注 / 一年前发布,620,"14,091元/平"
民源小区 大三居 南北通透 拎包入住,民源小区 -民主路,3室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,97,"7,186元/平"
标准户型 楼层好采光好 拎包入住精装修价格可议,神华佳苑 -锦林公园,3室2厅 | 153.82平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,120,"7,802元/平"
南北通透，交通便利，生活配套设施齐全,锦尚国际 -锦林公园,6室4厅 | 437平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,9人关注 / 一年前发布,290,"6,637元/平"
龙苑B区，精装婚房，拎包入住，诚心急售,龙苑小区 -龙苑,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 11个月以前发布,69.6,"5,354元/平"
不吃差价，不收返费三层双拼别墅改造空间位置好,顺鑫望潮苑 -南海,5室2厅 | 272.92平米 | 南 北 | 毛坯 | 3层  | 板楼 | 双拼别墅 ,8人关注 / 一年前发布,210,"7,695元/平"
昆区青12街坊团四朝向南北步梯二楼三居室户型,青年路12号街坊 -包三十五中,3室1厅 | 113.69平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,132,"11,611元/平"
社区成熟，环境优先小区内设施齐全，交通便利,丽祥苑 -九原区,3室2厅 | 143.16平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,38,"2,655元/平"
不吃差价 不收返费  中间楼层 观景大飘窗,华发新城 -东亚,4室2厅 | 206平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,255,"12,379元/平"
意城精华，步梯四层，大落地窗，房东着急售，价格可议,意城晶华 -甲尔坝商圈,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,98,"8,910元/平"
和平路西小区采光无任何遮挡看房方便精装修带家具,和平路西小区 -通顺,3室1厅 | 114.25平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,55.3,"4,841元/平"
青年路十二号街坊四楼精装修。。。。,青年路12号街坊 -包三十五中,3室2厅 | 108平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,3人关注 / 一年前发布,139.8,"12,945元/平"
怡荷豪庭 4室2厅 南 北,怡荷豪庭 -包三十五中,4室2厅 | 236平米 | 南 北 | 精装 | 低楼层(共5层)  | 暂无数据,4人关注 / 11个月以前发布,377,"15,975元/平"
不吃差价 不收返费一楼带100平地下40平小院带车,华发新城 -东亚,3室2厅 | 177平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,12人关注 / 一年前发布,246,"13,899元/平"
中和文化花园 电梯 中层 豪 装 35 钢3 植物园 139平,中和文化花园 -包三十五中,3室2厅 | 139平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,2人关注 / 10个月以前发布,220,"15,828元/平"
万达商圈 民，小  视野开阔 跑马大客厅 三面公园,康乐小区 -万达,3室2厅 | 154平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,107,"6,949元/平"
视野宽阔 楼层好 配套设施齐全 交通便利有本配贷,华发新城 -东亚,4室2厅 | 188.34平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,215,"11,416元/平"
啤酒厂公园旁  小高层 一部电梯 精装修 标准H户型,居然新城 -甲尔坝,3室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,21人关注 / 一年前发布,79.8,"7,062元/平"
友谊16街坊 精装修 南北通透   小错层,友谊大街16号街坊 -昆区华联,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,118,"8,940元/平"
瑞德花园小区 3室2厅 北 南,瑞德花园小区 -包三十五中,3室2厅 | 126平米 | 北 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,169.5,"13,453元/平"
采光好 配套完善 格局好 出行便利,康乐小区 -万达,3室2厅 | 156平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,122,"7,821元/平"
精装修 诚意出售 价格可议 随时看房,呼得木林大街七号街坊 -二机二中双学区,5室2厅 | 208.61平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 10个月以前发布,199,"9,540元/平"
友谊23号街坊  好楼层  经典户型,友谊23号街坊 -昆区华联,2室2厅 | 103平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,88,"8,544元/平"
南北格局，楼层好，精装修，视野旷阔，采光充足,海威三区 -海威小区,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,103,"7,985元/平"
锦尚毛坯  有本配贷  带车位  好楼层 户型,锦尚国际 -锦林公园,4室2厅 | 237.7平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,3人关注 / 9个月以前发布,205,"8,625元/平"
友谊26街坊五楼68平精装拎包入住,友谊大街26号街坊 -广汇,2室1厅 | 68平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,43,"6,324元/平"
此房有本，南北通透格局，包百商圈，,果园小区(昆都仑区) -恰特,2室2厅 | 72平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,62,"8,612元/平"
不吃差价 不收返费 栋位置居中 双阳户型 精装,华发新城 -东亚,4室2厅 | 208平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,255,"12,260元/平"
九原区 桐荷嘉苑 2019年新小区 精装修 复式两层,桐荷嘉苑 -九原万达,6室3厅 | 300平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,1人关注 / 7个月以前发布,210,"7,000元/平"
采光充足，视野好。配套设施齐全,H阳光雅居 -大连新型居住区,2室2厅 | 107平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,98,"9,159元/平"
采光充足，交通便利，配套设施齐全,蓝天馨寓 -鹿港小镇,2室1厅 | 100平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,82,"8,200元/平"
