标题,开发商,房子信息,发布信息,售价/万,单价
近南站，视野看湖看别墅，户型实用大五房，配套齐全,星河丹堤G区 -南站新城,5室2厅 | 124.39平米 | 南 北 | 毛坯 | 33层  | 板塔结合,0人关注 / 7天以前发布,208,"16,722元/平"
比亚迪商圈，二房户型方正，业主诚心卖满五税费低,新园华府一期 -比亚迪商圈,2室1厅 | 76平米 | 南 | 毛坯 | 18层  | 板塔结合,1人关注 / 7个月以前发布,53,"6,974元/平"
区政府公园旁一房一厅  业主急售  随时可看,都市广场 -区政府,1室1厅 | 49平米 | 东 | 精装 | 19层  | 塔楼,1人关注 / 1个月以前发布,28,"5,715元/平"
临深临地铁  两房南北通透  大型社区,万城名座花园 -白云新城,2室1厅 | 79平米 | 南 北 | 精装 | 32层  | 板塔结合,3人关注 / 3个月以前发布,88,"11,140元/平"
响水河业主出售，户型方正，采光好,中铭君豪公寓 -万达,2室1厅 | 65平米 | 西 | 简装 | 16层  | 塔楼,2人关注 / 一年前发布,31.8,"4,893元/平"
金山湖奥园领寓仅需26万精装修一房出售,奥园领寓 -河南岸,1室1厅 | 29.17平米 | 西 | 精装 | 32层  | 板塔结合,9人关注 / 6个月以前发布,25.3,"8,674元/平"
高品质大型小区，深惠交界处，业主诚心卖,牧云溪谷二期云尚 -秋长,2室2厅 | 67.65平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,2人关注 / 3个月以前发布,130,"19,217元/平"
锦江国际 精装三房 中间楼层 随时看房,锦江国际 -区政府,3室2厅 | 94.68平米 | 西北 北 | 精装 | 21层  | 板塔结合,3人关注 / 8个月以前发布,75,"7,922元/平"
此房证满3年，大2房，户型朝南，,合生愉景湾 -水口,2室1厅 | 125平米 | 东南 | 简装 | 中楼层(共28层)  | 板塔结合,0人关注 / 3个月以前发布,75,"6,000元/平"
业主诚心出售 户型方正采光好 带装修,新际首座 -大亚湾中心区,2室2厅 | 39.98平米 | 南 | 简装 | 28层  | 板塔结合,0人关注 / 1个月以前发布,24,"6,004元/平"
此房满五唯一，费用低，高楼层 阳台朝南看大海,花样年花郡 -大亚湾中心区,2室2厅 | 70.4平米 | 南 | 毛坯 | 28层  | 板塔结合,18人关注 / 9个月以前发布,35,"4,972元/平"
满五唯一 精装修四房 中间楼层  毛坯价,光耀·荷兰公馆 -马安,4室2厅 | 122.59平米 | 北 | 精装 | 11层  | 板塔结合,0人关注 / 2个月以前发布,108,"8,810元/平"
户型方正 采光好通风佳 动静分离更宜居 精装修,新湖丽园 -水口,3室2厅 | 85平米 | 东 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 7个月以前发布,86,"10,118元/平"
东湖花园二号小区 电梯三房出售 生活配套成熟,东湖花园二号小区 -东平,3室2厅 | 99.5平米 | 南 北 | 精装 | 中楼层(共8层)  | 塔楼,23人关注 / 8个月以前发布,76,"7,639元/平"
朝东南业主想卖了换房，装修业主花了心思的，三房很大,建曙高尔夫1号 -区政府,3室1厅 | 72.71平米 | 南 | 其他 | 30层  | 塔楼,0人关注 / 1个月以前发布,105,"14,441元/平"
南站旁500米小区，中高楼层，采光好  户型好,昶园 -南站新城,3室2厅 | 129平米 | 东南 | 其他 | 30层  | 板塔结合,0人关注 / 一年前发布,145,"11,241元/平"
满五年唯一，精装修，近沙田站，碧桂园物业,鹏惠花园 -西区新寮,3室1厅 | 87.9平米 | 南 | 简装 | 28层  | 板塔结合,3人关注 / 2个月以前发布,108,"12,287元/平"
蓝波湾好房推荐，宜居，交通便利。,蓝波湾 -水口,4室3厅 | 194.02平米 | 南 | 精装 | 上叠(共4层)  | 平房 | 叠拼别墅 ,18人关注 / 8个月以前发布,210,"10,824元/平"
临深地铁口物业，舒适三房，满五税少,惠景豪苑 -区政府,3室2厅 | 90.75平米 | 南 | 简装 | 26层  | 板塔结合,0人关注 / 2个月以前发布,68,"7,494元/平"
大湖星城 二楼花园 精装修三房 多带8平方储物间阳台,大湖星城 -水口,3室2厅 | 105.9平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,2人关注 / 2个月以前发布,69,"6,516元/平"
此房子，使用面积大，利用造空间大，业主诚意出售,万科金域华庭二期 -江北,3室2厅 | 79平米 | 东南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,112.5,"14,241元/平"
国汇山大花园高层南向三房130万,鼎峰国汇山 -江北,3室2厅 | 89平米 | 东南 | 其他 | 高楼层(共28层)  | 板塔结合,1人关注 / 1个月以前发布,130,"14,607元/平"
地铁口物业 户型方正  楼层好,汇星名庭 -草洋新区,3室2厅 | 85.59平米 | 北 | 其他 | 23层  | 板塔结合,4人关注 / 8个月以前发布,87,"10,165元/平"
富川瑞园4房出售，精装修很少居住保养好。,富川瑞园 -仲恺,4室2厅 | 127.06平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,120,"9,445元/平"
满五少税  拎包入住  朝南看花园  精装修,富丽嘉园 -仲恺,3室2厅 | 96.58平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,81,"8,387元/平"
中间楼层，南北通透户型，装修花了30多万，高档品质,君跃荃新时代 -大亚湾中心区,4室2厅 | 104.31平米 | 南 北 | 精装 | 31层  | 板塔结合,1人关注 / 1个月以前发布,123,"11,792元/平"
满3税费低，品质小区，周 边配套完善,海伦春天二期 -水口,3室2厅 | 97平米 | 西南 | 毛坯 | 低楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,96,"9,897元/平"
佳怡花园 东南通 满五年 业主诚心出售,佳怡花园 -江北,3室2厅 | 138平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,9人关注 / 5个月以前发布,110,"7,972元/平"
精装全配 温馨两房 宁静优雅 小区环境不错 拎包入住！,郦城水岸 -仲恺,2室1厅 | 82.2平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 2个月以前发布,63.6,"7,738元/平"
实用3房 住家装修 层佳 带10米长的大阳台  业主诚低售,龙光城北二期 -龙光城,3室2厅 | 93.7平米 | 南 北 | 精装 | 32层  | 板塔结合,0人关注 / 1个月以前发布,133.5,"14,248元/平"
业主诚心出售 ， 小区近南站 百万大盘， 精致装修,惠阳雅居乐花园 -南站新城,3室2厅 | 113平米 | 南 | 精装 | 33层  | 板塔结合,0人关注 / 4个月以前发布,87,"7,700元/平"
大社区 生活配套齐全 满五唯一 大户型,半岛1号二期 -白云新城,3室2厅 | 138平米 | 南 | 其他 | 11层  | 板塔结合,1人关注 / 一年前发布,155,"11,232元/平"
实用3房 住家装修 层佳 带10米长的大阳台  业主诚低售,龙光城北二期 -龙光城,3室2厅 | 93.7平米 | 南 北 | 精装 | 32层  | 板塔结合,0人关注 / 1个月以前发布,133.5,"14,248元/平"
富盈公馆，低密度舒适住宅区，三房两卫，鹿江畔。,富盈公馆二期 -马安,3室2厅 | 90平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,7人关注 / 一年前发布,105,"11,667元/平"
东平成熟商圈，生活便捷！江边小区！格局方正户型好,东湖花园三号小区 -东平,3室2厅 | 96平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,2人关注 / 10个月以前发布,93,"9,688元/平"
急卖急卖！惠州大道旁，全新装修，南北通透户型格局好,鼎浩城 -马安,3室2厅 | 104平米 | 南 北 | 精装 | 28层  | 板塔结合,1人关注 / 4个月以前发布,95,"9,135元/平"
房子满五唯一，中间楼层，拎包入住,卓越东部蔚蓝海岸一期 -西区新寮,3室2厅 | 91.91平米 | 南 | 其他 | 26层  | 板塔结合,0人关注 / 1个月以前发布,102,"11,098元/平"
大亚湾中兴区，红树林公园旁，户型方正，实用率高。,翠堤尚园 -大亚湾中心区,3室1厅 | 77.18平米 | 南 | 简装 | 24层  | 板塔结合,0人关注 / 1个月以前发布,55,"7,127元/平"
满五唯一 带全屋家私家电 精装三房乔弘东郡,乔弘东郡 -水口,3室2厅 | 96.2平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 1个月以前发布,85,"8,836元/平"
近南站沃尔玛商圈 锦绣豪苑 楼梯房带装修三房 带露台,锦绣豪苑 -开城大润发,3室2厅 | 98平米 | 南 | 精装 | 7层  | 板楼,16人关注 / 3个月以前发布,55,"5,613元/平"
金叶华府  精装修3房出售    拎包入住,金叶华府 -博罗临莞,3室2厅 | 111.24平米 | 南 | 精装 | 30层  | 板楼,0人关注 / 3个月以前发布,110,"9,889元/平"
中梁V城市 1室1厅 东南,中梁V城市 -开城大润发,1室1厅 | 41.71平米 | 东南 | 简装 | 31层  | 板塔结合,0人关注 / 7个月以前发布,32,"7,673元/平"
万达商圈 户型方正 视野采光好 无增值税,中铭君豪公寓 -万达,1室1厅 | 51平米 | 北 | 其他 | 16层  | 塔楼,3人关注 / 一年前发布,25,"4,902元/平"
新力花园109平3房2厅全新出售,新力城一期 -水口,3室2厅 | 109平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,2人关注 / 5个月以前发布,145,"13,303元/平"
佳兆业东江新城 2房2厅1卫 精装 领包入住,佳兆业东江新城三期 -博罗中心区,2室2厅 | 74.51平米 | 东南 | 精装 | 33层  | 板塔结合,7人关注 / 4个月以前发布,55,"7,382元/平"
港惠旁，恒和主场精装1房，采光好 配套设施完善,恒和主场 -河南岸,1室1厅 | 47.5平米 | 东 | 精装 | 中楼层(共32层)  | 塔楼,6人关注 / 7个月以前发布,47.5,"10,000元/平"
"半岛体育馆，百万别墅大盘，一公里城市CBD,",半岛1号一期 -白云新城,3室2厅 | 75平米 | 东南 | 精装 | 6层  | 板楼,8人关注 / 4个月以前发布,90,"12,000元/平"
仲恺 日月和 三房两厅 中间楼层 采光通风好 配套齐全,日月和科创大厦 -仲恺,3室2厅 | 89平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,4人关注 / 6个月以前发布,71,"7,978元/平"
近万达、新天虹，满五唯一，自住精装看花园,千禧嘉园 -万达,2室2厅 | 78平米 | 南 | 精装 | 23层  | 板塔结合,0人关注 / 1个月以前发布,68,"8,718元/平"
千万不要点进来，不然你会忍不住要买的。,府东1号 -区政府,1室0厅 | 28.35平米 | 南 | 简装 | 18层  | 板塔结合,7人关注 / 一年前发布,19,"6,702元/平"
楼下公交站 接驳14号地铁沙田站 大两房 不漏财户型,壹方天第 -白云新城,2室2厅 | 81.88平米 | 南 | 精装 | 34层  | 板塔结合,0人关注 / 1个月以前发布,93.8,"11,456元/平"
楼层好，视野开阔，适合居住，诚心出售，方便看房,龙光城珑寓 -龙光城,2室1厅 | 53.91平米 | 北 东北 | 精装 | 31层  | 塔楼,18人关注 / 一年前发布,50,"9,275元/平"
花园小区 易出租 居家舒适 交通便利购物便 总价低,枫叶雅堤 -白云新城,1室0厅 | 31.67平米 | 西 | 简装 | 17层  | 板塔结合,26人关注 / 一年前发布,17,"5,368元/平"
急售！急售！精装修领包入住，朝南方正2房，税少,凯峰雅园 -西区新寮,2室1厅 | 78.86平米 | 南 | 精装 | 32层  | 板塔结合,0人关注 / 1个月以前发布,92,"11,667元/平"
华章东郡 毛坯实用三房  社区配套成熟 金山湖公园,华章东郡 -河南岸,3室2厅 | 91平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 17天以前发布,125,"13,737元/平"
金沙街旁 出行购物便利 背靠虎头山公园 灿邦国际,灿邦国际 -大亚湾中心区,1室0厅 | 31.2平米 | 北 | 简装 | 30层  | 塔楼,17人关注 / 一年前发布,16,"5,129元/平"
东平荷兰水乡旁 精装电梯3房 位置生活配套成熟,百安阁 -东平,3室2厅 | 82平米 | 东 北 | 精装 | 中楼层(共28层)  | 塔楼,6人关注 / 5个月以前发布,78,"9,513元/平"
龙光城北二期 精装小两房 高层通风采光好出门沃尔玛,龙光城北二期 -龙光城,2室1厅 | 45平米 | 西北 | 简装 | 30层  | 板塔结合,0人关注 / 4个月以前发布,66,"14,667元/平"
小区沃尔玛旁 房子户型方正采光通风好,港湾阁 -澳头,2室2厅 | 87.58平米 | 东 西 | 毛坯 | 中楼层(共7层)  | 板塔结合,26人关注 / 7个月以前发布,30,"3,426元/平"
价格可聊，业主同意按揭，看海景,碧桂园十里银滩水蓝天 -惠东沿海,1室0厅 | 56平米 | 东南 | 精装 | 30层  | 板塔结合,13人关注 / 4个月以前发布,24.8,"4,429元/平"
金宝创业家园110平四房 业主诚心出售,金宝创业家园 -仲恺,4室2厅 | 110平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,4人关注 / 3个月以前发布,70,"6,364元/平"
临14号地铁沙田站 方正户型 业主精装出售,壹方天第 -白云新城,2室2厅 | 82平米 | 南 | 精装 | 34层  | 板塔结合,0人关注 / 2个月以前发布,100,"12,196元/平"
中间楼层，视野开阔，看房方便诚心出售,金莎花园 -白云新城,1室1厅 | 49.33平米 | 东 | 毛坯 | 18层  | 板塔结合,6人关注 / 9个月以前发布,40,"8,109元/平"
在李瑞麟旁边，可以过户读书方便！,都市公寓 -麦地,1室1厅 | 36平米 | 南 | 精装 | 11层  | 板塔结合,0人关注 / 1个月以前发布,35.6,"9,889元/平"
装修，朝南中间楼层，，视野开阔，采光充足,百惠园 -比亚迪商圈,2室2厅 | 79平米 | 南 | 其他 | 26层  | 板塔结合,0人关注 / 2个月以前发布,64,"8,102元/平"
万达商圈三房带装修，业主诚意急售。,美岸栖庭 -万达,3室2厅 | 82.8平米 | 南 | 简装 | 24层  | 板塔结合,0人关注 / 2个月以前发布,64,"7,730元/平"
南站优质地段 精装两房 红本在手 配套成熟,长汀花园 -灿邦,2室2厅 | 70.09平米 | 南 北 | 精装 | 16层  | 板塔结合,0人关注 / 10个月以前发布,65,"9,274元/平"
诚杰精装2房，拎包入住，位置很好，出入方便。,诚杰壹中心 -区政府,2室2厅 | 75.41平米 | 东南 | 精装 | 29层  | 塔楼,7人关注 / 10个月以前发布,79,"10,477元/平"
百 万 大盘 配套齐全  业主诚心出售 带装修,华冠花园 -大亚湾中心区,3室2厅 | 75平米 | 南 北 | 简装 | 26层  | 板塔结合,0人关注 / 1个月以前发布,71,"9,467元/平"
临深500米，业主诚心出售，两房拎包入住,锦地繁花 -西区新寮,2室2厅 | 63平米 | 北 | 其他 | 22层  | 塔楼,8人关注 / 3个月以前发布,71,"11,270元/平"
海伦堡  南向  精装2房  红本在手  高楼层海景,海伦堡爱Me城市 -澳头,2室1厅 | 78平米 | 南 | 精装 | 32层  | 板塔结合,15人关注 / 8个月以前发布,63,"8,077元/平"
(平台推荐)标准2房，欢迎咨询，业主自住,爱琴海 -西区新寮,2室1厅 | 59.5平米 | 南 北 | 精装 | 33层  | 塔楼,0人关注 / 1个月以前发布,67,"11,261元/平"
白云站地铁口旁，业主诚心出售，价格可谈，带租约,晶地顺苑 -西区新寮,1室1厅 | 40.71平米 | 北 | 精装 | 30层  | 板塔结合,47人关注 / 一年前发布,29,"7,124元/平"
临深精装修次新花园小区，户型方正  采光好 诚意出售,鑫月御园 -秋长,3室1厅 | 72.62平米 | 南 北 | 精装 | 28层  | 板塔结合,1人关注 / 9个月以前发布,72,"9,915元/平"
长汀花园 优质地段 精装两房 配套齐全 满五唯一,长汀花园 -灿邦,2室2厅 | 72平米 | 南 | 精装 | 9层  | 塔楼,0人关注 / 1个月以前发布,65,"9,028元/平"
区政府广场 精装小户型 高楼层 拎包入住 价格美丽,都市广场 -区政府,1室0厅 | 39.61平米 | 东南 | 简装 | 19层  | 板塔结合,0人关注 / 4个月以前发布,21.5,"5,428元/平"
满两年 价格便宜 税费少 名校，装修好。拎包入住,晨曦大地花园二期 -草洋新区,2室2厅 | 77.35平米 | 南 | 其他 | 26层  | 塔楼,0人关注 / 一年前发布,65,"8,404元/平"
华泓星岸城 2室1厅 南,华泓星岸城 -博罗中心区,2室1厅 | 55平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,2人关注 / 1个月以前发布,46.5,"8,455元/平"
品质社区，门口就是金山湖，户型方正，视野采光好,御水豪庭 -河南岸,4室2厅 | 114平米 | 南 北 | 其他 | 31层  | 板塔结合,0人关注 / 1个月以前发布,213.1,"18,693元/平"
比亚迪商圈，好出租入住率高，业主诚心卖,新园华府一期 -比亚迪商圈,2室2厅 | 75.44平米 | 南 | 简装 | 30层  | 塔楼,3人关注 / 一年前发布,62,"8,219元/平"
一步临深  交通方便  购物方便  业主诚心出售,晶地顺苑 -西区新寮,1室1厅 | 58.3平米 | 西南 北 | 简装 | 30层  | 板塔结合,2人关注 / 2个月以前发布,43,"7,376元/平"
临深地铁口三房，采光充足户型房子随时看房,金玉豪庭 -白云新城,3室2厅 | 65平米 | 东 | 精装 | 18层  | 板塔结合,9人关注 / 7个月以前发布,64,"9,847元/平"
大社区  配套成熟 精装修 满五唯一,新天名城 -大亚湾中心区,3室2厅 | 84.09平米 | 南 北 | 精装 | 19层  | 板塔结合,0人关注 / 2个月以前发布,59,"7,017元/平"
满五唯一 户型方正 正南朝向 业主诚心出售,蓝湾星宸 -大亚湾中心区,2室2厅 | 73.13平米 | 南 | 精装 | 33层  | 板塔结合,1人关注 / 1个月以前发布,44.5,"6,086元/平"
万达旁太阳湾，两房，精装修，满五唯一，税费少。,东部阳光花园 -万达,2室2厅 | 82平米 | 东南 | 简装 | 31层  | 板塔结合,0人关注 / 2个月以前发布,83,"10,122元/平"
体育馆旁，陈江繁华地带，自带综合体商圈,御湖豪庭 -仲恺,2室2厅 | 67.43平米 | 西南 | 简装 | 27层  | 板塔结合,0人关注 / 3个月以前发布,63,"9,344元/平"
户型方正 楼层好 业主诚心出售  好出租,龙光城珑寓 -龙光城,1室1厅 | 54平米 | 南 | 精装 | 31层  | 塔楼,6人关注 / 7个月以前发布,45,"8,334元/平"
中天彩虹城南区 3室2厅 北,中天彩虹城南区 -开城大润发,3室2厅 | 122.74平米 | 北 | 精装 | 30层  | 板塔结合,0人关注 / 9个月以前发布,115,"9,370元/平"
红本在手，业主诚意出售.....,祥瑞大厦 -区政府,2室1厅 | 49.01平米 | 南 | 精装 | 17层  | 塔楼,0人关注 / 1个月以前发布,37,"7,550元/平"
实用两房，户型方正，两个房间朝南,龙宸梧桐郡府 -仲恺,2室1厅 | 80平米 | 东南 | 其他 | 28层  | 塔楼,2人关注 / 1个月以前发布,59,"7,375元/平"
实用两房，户型方正，两个房间朝南,龙宸梧桐郡府 -仲恺,2室1厅 | 80平米 | 东南 | 其他 | 28层  | 塔楼,2人关注 / 1个月以前发布,59,"7,375元/平"
全新装修中间楼层业主诚心出售看房方便,惠华花园 -万达,2室2厅 | 61.28平米 | 南 | 精装 | 26层  | 板塔结合,0人关注 / 7个月以前发布,52,"8,486元/平"
此房户型方正，光线充足，家门口学,汇星名庭 -草洋新区,2室1厅 | 64.44平米 | 南 | 其他 | 23层  | 塔楼,0人关注 / 2个月以前发布,55,"8,536元/平"
中天彩虹城  惠州南站旁 一房 月租低月供，看房方便,中天彩虹城南区 -开城大润发,1室0厅 | 30.47平米 | 南 | 简装 | 30层  | 板塔结合,6人关注 / 一年前发布,18,"5,908元/平"
草洋 站 富丽达二房， 配套设施齐全，业主诚心出售,富丽达花园 -草洋新区,2室2厅 | 85平米 | 北 | 简装 | 28层  | 塔楼,0人关注 / 4个月以前发布,62,"7,295元/平"
诚心出售 户型通透 采光好 原价高税费少，离深圳100米,龙光城北八期 -龙光城,3室2厅 | 89平米 | 西 | 精装 | 29层  | 板塔结合,1人关注 / 1个月以前发布,128,"14,383元/平"
纯别墅区，花园大舒适，南北通视野景光好带地下车位,龙海壹号 -万达,5室2厅 | 332.13平米 | 东南 | 毛坯 | 3层  | 塔楼,0人关注 / 6天以前发布,332,"9,997元/平"
纯别墅社区，新政务旁，碧桂园大品牌物业,光耀城三期 -新行政区,4室2厅 | 370.05平米 | 南 | 毛坯 | 低楼层(共4层)  | 塔楼,1人关注 / 8天以前发布,280,"7,567元/平"
翡翠山城中间别墅 上下4层 满 五 唯 一  诚意出售,翡翠山城 -万达,5室2厅 | 208.21平米 | 南 北 | 毛坯 | 3层  | 塔楼 | 联排别墅 ,0人关注 / 8天以前发布,410,"19,692元/平"
龙海壹号 联排别墅 出行方便 近万达 大花园 双车位,龙海壹号 -万达,6室2厅 | 314.52平米 | 南 北 | 毛坯 | 3层  | 塔楼 | 联排别墅 ,0人关注 / 3天以前发布,320,"10,175元/平"
惠阳区独栋别墅业主诚心出售，花园300多平,东方新城 -秋长,6室3厅 | 536.3平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板塔结合,0人关注 / 21天以前发布,748,"13,948元/平"
紧靠惠城南站和叶挺大道 全新精装双拼带大花园别墅,碧桂园逸泉山庄 -三和经济开发区,4室2厅 | 218.33平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,4人关注 / 30天以前发布,265,"12,138元/平"
楼下益田，地势高，业主诚心卖能谈，客厅挑高6.9米,翡翠山城红郡 -万达,5室1厅 | 180.37平米 | 南 北 | 毛坯 | 4层  | 板塔结合 | 联排别墅 ,2人关注 / 6天以前发布,375,"20,791元/平"
荷兰小城别墅带全套家具家电有车位,光耀荷兰小城 -仲恺,5室2厅 | 164.99平米 | 南 | 精装 | 4层  | 板楼,0人关注 / 8天以前发布,274,"16,608元/平"
业主诚心卖，采光通风好，小区安保用心环境佳,光耀将军湖 -秋长,4室2厅 | 122.43平米 | 南 | 毛坯 | 低楼层(共3层)  | 板楼,43人关注 / 一年前发布,130,"10,619元/平"
双拼装修未入住 150平产权大花园过有天有地有花园日子,碧桂园山河城 -三和经济开发区,5室2厅 | 246.53平米 | 南 北 | 精装 | 3层  | 板塔结合 | 双拼别墅 ,0人关注 / 3个月以前发布,340,"13,792元/平"
红树林湿地公园旁 别墅大盘 皇庭波西塔诺,皇庭波西塔诺 -澳头,5室2厅 | 201.29平米 | 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,1人关注 / 11个月以前发布,235,"11,675元/平"
格局好，视野宽阔，采光充足，配套齐全.端头位位别墅,翡翠山城红郡 -万达,5室2厅 | 192.6平米 | 南 北 | 精装 | 4层  | 板塔结合 | 联排别墅 ,19人关注 / 10个月以前发布,615,"31,932元/平"
红本在手，业主诚心出售，交通便利 随时看房,皇庭波西塔诺 -澳头,5室2厅 | 200.46平米 | 南 | 毛坯 | 4层  | 板塔结合 | 联排别墅 ,0人关注 / 9天以前发布,280,"13,968元/平"
此房满五 红本无欠款 联排别墅，前后花园150平,星河丹堤D区 -南站新城,5室2厅 | 290平米 | 南 北 | 毛坯 | 3层  | 塔楼 | 联排别墅 ,3人关注 / 3个月以前发布,420,"14,483元/平"
临深沙田地铁口珠江东岸别墅区诚心出售,珠江东岸 -西区新寮,5室2厅 | 257.28平米 | 南 | 简装 | 3层  | 塔楼 | 联排别墅 ,13人关注 / 6个月以前发布,290,"11,272元/平"
业主急售，有钥匙方便看房上叠带车位,皇庭波西塔诺 -澳头,4室3厅 | 150.92平米 | 南 北 | 毛坯 | 4层  | 板塔结合 | 联排别墅 ,5人关注 / 11个月以前发布,160,"10,602元/平"
下角临湖边上的三层别墅。环境优美,眉山路 -龙丰,4室2厅 | 175.77平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,11人关注 / 2个月以前发布,238,"13,541元/平"
翡翠山别墅  上下四层  满五唯一 做好了土建 业主诚心,翡翠山城 -万达,7室4厅 | 208.21平米 | 南 北 | 毛坯 | 3层  | 塔楼 | 联排别墅 ,63人关注 / 一年前发布,365,"17,531元/平"
翡翠山别墅 格局好，视野宽阔，采光充足，配套齐全,翡翠山城 -万达,5室2厅 | 207.93平米 | 南 北 | 精装 | 3层  | 塔楼 | 联排别墅 ,28人关注 / 11个月以前发布,459,"22,075元/平"
临深精装别墅端头位，上下四层带前后私家花园、停车位,珠江东岸 -西区新寮,4室2厅 | 265.3平米 | 南 | 简装 | 3层  | 板楼 | 双拼别墅 ,20人关注 / 一年前发布,370,"13,947元/平"
大亚湾主干道龙海一号旁，小区自带私家山湖品质小区，,龙海壹号 -万达,5室2厅 | 315.7平米 | 南 | 毛坯 | 4层  | 板塔结合,5人关注 / 5个月以前发布,320,"10,137元/平"
此房满五唯一，业主诚心出售，拎包入住。,皇庭波西塔诺 -澳头,3室2厅 | 127.6平米 | 南 北 | 精装 | 4层  | 塔楼,0人关注 / 4个月以前发布,140,"10,972元/平"
业主花费一年，投入70万装修，因工作调动，含泪出售,皇庭波西塔诺 -澳头,3室2厅 | 138.47平米 | 南 北 | 精装 | 5层  | 板塔结合,0人关注 / 22天以前发布,174,"12,566元/平"
有车位，有花园，实用面积多，总价低。,光耀将军湖 -秋长,5室2厅 | 122.43平米 | 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,3人关注 / 1个月以前发布,127,"10,374元/平"
临深百万大盘别墅，1000米区政府天虹,半岛1号四期 -白云新城,5室2厅 | 312.05平米 | 南 | 毛坯 | 下叠(共3层)  | 暂无数据 | 叠拼别墅 ,7人关注 / 一年前发布,489,"15,671元/平"
楼间距宽，采光好，别墅洋房设计，安静宜居。,冠和金山龍庭 -河南岸,5室2厅 | 308.62平米 | 南 | 毛坯 | 3层  | 板塔结合 | 双拼别墅 ,9人关注 / 一年前发布,270,"8,749元/平"
荷兰小城别墅，单价比住宅低住别墅，还带一个院子,光耀荷兰小城 -仲恺,5室2厅 | 165平米 | 北 | 毛坯 | 4层  | 板楼 | 联排别墅 ,3人关注 / 2个月以前发布,178,"10,788元/平"
惠阳标志性大社区楼盘半岛一号别墅,半岛1号四期 -白云新城,5室2厅 | 435.39平米 | 南 | 毛坯 | 4层  | 板塔结合 | 双拼别墅 ,15人关注 / 一年前发布,700,"16,078元/平"
3层加地下室联排别墅诚心出售，带有私家车库。,东部阳光花园 -万达,5室2厅 | 346.09平米 | 南 | 毛坯 | 1层  | 板塔结合 | 联排别墅 ,22人关注 / 一年前发布,390,"11,269元/平"
满五唯一   近区政府  天虹   近地铁口,翰林楼 -草洋新区,3室2厅 | 97.47平米 | 西南 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,77,"7,900元/平"
笋盘，洋房价买别墅。户型实用，位置好,五矿哈施塔特三期一区 -博罗中心区,4室2厅 | 176平米 | 南 | 毛坯 | 3层  | 板塔结合,0人关注 / 23天以前发布,194,"11,023元/平"
翠园居低楼层 正规三居室 采光通风佳,翠园居 -博罗中心区,3室2厅 | 92平米 | 南 | 简装 | 8层  | 板塔结合,0人关注 / 7天以前发布,33,"3,587元/平"
天虹、大润发商圈  好出租  户型方正 楼层好,中梁V城市 -开城大润发,1室1厅 | 41.71平米 | 南 | 毛坯 | 31层  | 板塔结合,0人关注 / 4天以前发布,33,"7,912元/平"
佳兆业东江新城(二手)4-2-1-2 162.00m² 260 万）,佳兆业东江新城(二手) -博罗中心区,4室2厅 | 162平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 27天以前发布,203,"12,531元/平"
南站片区联排别墅建面213实际使用500+,惠阳雅居乐花园别墅 -南站新城,4室2厅 | 213平米 | 东南 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,4人关注 / 一年前发布,268,"12,583元/平"
临深大盘德洲城，朝南向两房，业主诚心售。,德洲城一、二期 -西区新寮,3室2厅 | 81.6平米 | 南 | 精装 | 18层  | 板塔结合,30人关注 / 一年前发布,86.8,"10,638元/平"
采光好、房间落地窗、户型方正实用、业主诚心出售,一品中央 -博罗临莞,3室2厅 | 76平米 | 西北 | 其他 | 29层  | 板塔结合,0人关注 / 4天以前发布,68,"8,948元/平"
这个价格这个面积，就当成独立楼买，他不香吗？,枫叶雅堤 -白云新城,5室2厅 | 318.43平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,20人关注 / 6个月以前发布,278,"8,731元/平"
