标题,开发商,房子信息,发布信息,售价/万,单价
格局好，楼层好，视野宽阔，采光充足,光华佳苑 -大中大,3室2厅 | 132.55平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 29天以前发布,77.8,"5,870元/平"
户型格局好，配套设施齐全，交通便利,江州华府二期 -柴桑区,4室2厅 | 133.32平米 | 南 | 毛坯 | 低楼层(共23层)  | 板楼,1人关注 / 一年前发布,76,"5,701元/平"
水金财富广场大3室2厅2卫原房东精装房,水金财富广场 -柴桑区,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,54.5,"4,193元/平"
房东是外地的丶急出售九颂锦园大三房,九颂山河锦园 -柴桑区,3室2厅 | 115平米 | 东南 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 5个月以前发布,65,"5,653元/平"
观澜盛世大平层  湖景大四房 满五唯一,观澜盛世 -开发区,4室2厅 | 235平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 板塔结合,0人关注 / 2个月以前发布,280,"11,915元/平"
一线湖景房，大五房，适合二胎家庭三代同堂,九江碧桂園 -柴桑区,5室2厅 | 200平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,10人关注 / 一年前发布,110,"5,500元/平"
金铭福邸精装修5室3卫190.7平方135万,金铭福邸 -瑞昌市,5室3厅 | 190.7平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,4人关注 / 9个月以前发布,125,"6,555元/平"
学府壹号 4室2厅 南 北,学府壹号 -柴桑区,4室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,80,"6,300元/平"
高品质环境绿化优美中辉国际新小区29楼东户,中辉国际一期 -柴桑区,3室2厅 | 121.07平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,71.8,"5,931元/平"
金铭福邸 精装3房2卫 拎包即可入住 好楼层 价格好谈,金铭福邸 -瑞昌市,3室2厅 | 154平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,96,"6,234元/平"
中奥广场 中高楼层 西户一线湖景 采光好视野*好,中奥广场 -八里湖,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,8人关注 / 一年前发布,259,"18,240元/平"
央企开发，大品牌有品质，旁临贤母园，交通便利。,保利▪八里翡翠 -柴桑区,4室2厅 | 145平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 暂无数据,0人关注 / 6个月以前发布,196,"13,518元/平"
联泰四期 快乐城九方商圈 大五房   蕞好位置,联泰·万泰城御湾 -快乐城,5室2厅 | 195平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 6个月以前发布,205,"10,513元/平"
带车位 视野开阔 位置安静 全天光照,新湖庐山国际 -万达,3室2厅 | 122.59平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,142,"11,584元/平"
万达华府毛坯房 按照自己的想法装修,万达华府D区 -万达,4室2厅 | 141.68平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 11个月以前发布,123,"8,682元/平"
快乐城九方柴桑春天一区电梯精装三居室 业主诚售,新湖柴桑春天一区 -快乐城,3室2厅 | 136平米 | 北 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,147.5,"10,846元/平"
地段方便 近火车站和城市高速 贯穿浔阳区和濂溪区,美的金科创大华府一期 -万达,3室2厅 | 115平米 | 东南 | 毛坯 | 低楼层(共18层)  | 暂无数据,1人关注 / 8个月以前发布,86,"7,479元/平"
八里湖商圈  市政府体育馆 奥林匹克花园   带 院子,中体奥林匹克花园 -八里湖,4室2厅 | 141平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,4人关注 / 5个月以前发布,157,"11,135元/平"
新小区环境好，小区内设有地面停车场和地下停车场，,中海九樾 -大中大,4室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,155,"12,302元/平"
朝阳里毛坯3房2卫 诚心出售 随时看房 阳光好,朝阳里 -白水湖,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,2人关注 / 4个月以前发布,86,"8,776元/平"
复式楼，使用面积大。视野开阔，阳光充足,中体奥林匹克花园 -八里湖,5室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,141.5,"11,412元/平"
八里湖浔阳府环境优美户型阳光好,碧桂园联发浔阳府 -八里湖,4室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,146,"10,210元/平"
八里湖九小正面  视野好采光好 户型方正 小区环境优美,中梁首府 -八里湖,4室2厅 | 161.32平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,200,"12,398元/平"
江州府   大平层201平  正5房  全无遮挡   诚心出售,碧桂园江州府 -八里湖,5室3厅 | 200平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,1人关注 / 5个月以前发布,237,"11,850元/平"
八里湖片区，市府旁，品质四房，改善住宅,水岸莲华 -八里湖,4室2厅 | 154平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,121.5,"7,890元/平"
九龙新城B区精装修拎包入住 阳光视线好,九龙新城B区 -八里湖,3室2厅 | 126平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,166,"13,175元/平"
房屋满2年，小区楼栋好，楼层好，有车位,新湖庐山国际 -万达,4室2厅 | 158.22平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,215,"13,589元/平"
九龙新城B区洋房南北通透前后无遮挡,九龙新城B区 -八里湖,4室2厅 | 154平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板塔结合,6人关注 / 一年前发布,280,"18,182元/平"
中梁首府 4室2厅 南 北,中梁首府 -八里湖,4室2厅 | 135平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,15人关注 / 一年前发布,133,"9,852元/平"
八里湖水岸莲华湖景房阳光视线*好,水岸莲华 -八里湖,4室2厅 | 154.15平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 塔楼,2人关注 / 一年前发布,133.5,"8,661元/平"
万达商圈竹苑，原房东装修楼层佳，诚意出售,竹苑 -万达,3室2厅 | 118.36平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,52,"4,394元/平"
浔阳东路  中海九樾  洋房品质,中海九樾 -大中大,4室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,1人关注 / 5个月以前发布,160,"12,699元/平"
交通出行  电梯房 位置好 环境好,中辉凯旋城 -白水湖,4室2厅 | 140.75平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 8个月以前发布,135,"9,592元/平"
四房 洋房公摊少 户型方正 随时看房 诚心卖 人车分流,御江一品 -白水湖,4室2厅 | 147.35平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,135,"9,162元/平"
让您沐浴在微风中阳光里，中梁首府真洋房，四室两厅,中梁首府 -八里湖,4室2厅 | 126.81平米 | 北 南 | 毛坯 | 低楼层(共8层)  | 板楼,1人关注 / 6个月以前发布,165,"13,012元/平"
央企开发，大品牌有品质，旁临贤母园，交通便利。,保利▪八里翡翠 -柴桑区,4室2厅 | 145平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 暂无数据,0人关注 / 6个月以前发布,196,"13,518元/平"
中奥广场 中高楼层 西户一线湖景 采光好视野*好,中奥广场 -八里湖,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,8人关注 / 一年前发布,259,"18,240元/平"
八里湖 中梁首 府 新小区 环境好 有车位 交通便利,中梁首府 -八里湖,4室2厅 | 139平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,10人关注 / 一年前发布,171,"12,303元/平"
中梁 首 府 环境优美  户型好  适合居住,中梁首府 -八里湖,4室2厅 | 135平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,150,"11,112元/平"
此房楼层好，视野宽阔，采光好人车分流,联发碧桂园·天璞 -八里湖,4室2厅 | 134.61平米 | 南 北 | 简装 | 低楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,150,"11,144元/平"
高品质小区，户型方正，视野开阔，三开间朝南,碧桂园江州府 -八里湖,4室2厅 | 143.5平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 8个月以前发布,135,"9,408元/平"
远洲九悦庭 洋房中间楼层 原房东精装修 带地暖车位,远洲·九悦廷 -万达,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 10个月以前发布,170,"13,077元/平"
八里湖 碧桂园江州府 小区环境好 有露台,碧桂园江州府 -八里湖,5室2厅 | 268平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,1人关注 / 一年前发布,292,"10,896元/平"
远洲九悦庭 洋房中间楼层 原房东精装修 带地暖车位,远洲·九悦廷 -万达,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 10个月以前发布,170,"13,077元/平"
八里湖商圈  市政府体育馆 奥林匹克花园   带 院子,中体奥林匹克花园 -八里湖,4室2厅 | 141平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,4人关注 / 5个月以前发布,157,"11,135元/平"
朝阳里毛坯3房2卫 诚心出售 随时看房 阳光好,朝阳里 -白水湖,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,2人关注 / 4个月以前发布,86,"8,776元/平"
万达广场，品质小区，人车分流，房东诚心出售,新湖庐山国际 -万达,4室2厅 | 133.5平米 | 南 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,146,"10,937元/平"
碧桂园江州府四房 视野开阔 三开间朝南 户型方正,碧桂园江州府 -八里湖,4室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共29层)  | 板楼,0人关注 / 一年前发布,147,"10,353元/平"
八里湖高品质住宅 视野开阔 户型方正 业主诚心出售,绿地ICC大都会 -八里湖,4室2厅 | 138平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,105,"7,609元/平"
此房是精装修房三房 楼层户型都很好,求振国际 -湖滨,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共29层)  | 暂无数据,0人关注 / 5天以前发布,210,"18,261元/平"
新桥头九龙广场商圈 视野宽阔，采光充足,广隆·星澜湾 -新桥头,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,105,"9,131元/平"
房子户型好，南北通透，阳光充足,庐峰小区 -白水湖,3室2厅 | 153.16平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,83,"5,420元/平"
九江学院 优品尚城 十里万达 毛坯价 诚心出售,优品尚城 -万达,3室1厅 | 90平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,0人关注 / 8天以前发布,79,"8,778元/平"
极地·盛世名都 3室2厅 南 北,极地·盛世名都 -南山,3室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 7天以前发布,115,"11,500元/平"
紧靠九方购物商圈，方正户型，保利央企品牌，中航物业,中航城 -八里湖,3室1厅 | 112.15平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 5天以前发布,143,"12,751元/平"
万达华府F区 2室1厅 南,万达华府F区 -万达,2室1厅 | 80平米 | 南 | 其他 | 中楼层(共20层)  | 板塔结合,0人关注 / 3天以前发布,43,"5,375元/平"
诚盛御景 2室2厅 南,诚盛御景 -快乐城,2室2厅 | 95平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 8天以前发布,120,"12,632元/平"
阳光充足，通风效果好，前面视野开阔无,浔海十里蓝山 -南山,2室2厅 | 88.65平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 7天以前发布,81,"9,138元/平"
阳光365小区 3室2厅 南,阳光365小区 -万达,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 7天以前发布,69,"7,114元/平"
房东诚意出售，自带幼儿园，户型好，采光好，南北通透,鑫恒通观天下 -开发区,3室2厅 | 120.8平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 塔楼,0人关注 / 8天以前发布,97.5,"8,072元/平"
阳光好 户型方正 业主自住装修 通风性好 带储藏室,九江市附属医院宿舍 -和中广场,2室2厅 | 78.75平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,150,"19,048元/平"
满庭春 3室2厅 南,满庭春 -白水湖,3室2厅 | 101平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 3天以前发布,93,"9,208元/平"
临八里湖，边户，三房两厅两卫，学府旁,学府壹号 -柴桑区,3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 5天以前发布,63,"5,576元/平"
十里万达商圈  九江学院 精装修  生活方便,华龙·莱茵美郡 -万达,2室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,62,"6,967元/平"
小区环境优美地理位置好，采光好，出行方便，,老市委北区 -和中广场,2室2厅 | 79.67平米 | 南 | 简装 | 低楼层(共4层)  | 暂无数据,0人关注 / 7天以前发布,141,"17,699元/平"
九方快乐城商圈，配套成熟，户型好楼层好,联泰万泰城二期 -快乐城,3室2厅 | 128.22平米 | 南 | 毛坯 | 33层  | 板楼,0人关注 / 7天以前发布,132,"10,295元/平"
标准电梯三室 中间楼层 满五唯一  无贷款,远洲·九悦廷 -万达,3室2厅 | 99.47平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 3天以前发布,100,"10,054元/平"
快乐城旁  广域新里程精装三房  诚意出售,广域新里城 -快乐城,3室2厅 | 98平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 8天以前发布,103,"10,511元/平"
大4房，采光好，出行方便，房东诚心出售,中房小区 -万达,4室2厅 | 134.19平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 5天以前发布,69.8,"5,202元/平"
原房东精装修，全屋实木地板，品牌家具家电 房东急售,水木清华 -十里,4室2厅 | 143平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,96,"6,714元/平"
怡和苑二期 2室1厅 南 北,怡和苑二期 -万达,2室1厅 | 56.8平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 1天以前发布,53.8,"9,472元/平"
国豪美庐湾 3室1厅 南,国豪美庐湾 -南山,3室1厅 | 110平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 2天以前发布,90,"8,182元/平"
快乐城旁  广域新里程精装三房  诚意出售,广域新里城 -快乐城,3室2厅 | 98平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 8天以前发布,103,"10,511元/平"
行署大院东区 朝南户型阳光好 随时入住,行署大院东区 -和中广场,3室1厅 | 75.27平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 6天以前发布,136,"18,069元/平"
双语旁 正规毛坯两房 总价底 ，业主诚心出售,正大小区二期 -开发区,2室2厅 | 80平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 8天以前发布,50,"6,250元/平"
浔阳区满庭春旁 御江一品精装3室,御江一品 -白水湖,3室2厅 | 101平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3天以前发布,86,"8,515元/平"
大4房，采光好，出行方便，房东诚心出售,中房小区 -万达,4室2厅 | 134.19平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 5天以前发布,69.8,"5,202元/平"
原房东精装修，全屋实木地板，品牌家具家电 房东急售,水木清华 -十里,4室2厅 | 143平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,96,"6,714元/平"
怡和苑二期 2室1厅 南 北,怡和苑二期 -万达,2室1厅 | 56.8平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 1天以前发布,53.8,"9,472元/平"
国豪美庐湾 3室1厅 南,国豪美庐湾 -南山,3室1厅 | 110平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 2天以前发布,90,"8,182元/平"
加州风情电梯标准大两室满两年原房东精装 拎包入住,加州风情 -莲花,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共22层)  | 塔楼,0人关注 / 4天以前发布,76,"8,637元/平"
七一三社区后区一室一厅 一楼带大院子,七一三社区后区 -快乐城,1室1厅 | 41平米 | 南 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 7天以前发布,21,"5,122元/平"
宏艺商住楼 3室2厅 南,宏艺商住楼 -柴桑区,3室2厅 | 118平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,37.6,"3,187元/平"
房子在日报社后面中楼层 空气采光好，楼层佳,李家垅南路25号 -白水湖,1室2厅 | 52.86平米 | 南 北 | 简装 | 低楼层(共2层)  | 暂无数据,0人关注 / 5天以前发布,24.5,"4,635元/平"
万达 商圈，毛坯四房中间楼层，,浔安小区二期 -万达,4室1厅 | 124平米 | 南 | 毛坯 | 高楼层(共15层)  | 板楼,0人关注 / 2天以前发布,79.8,"6,436元/平"
满庭春朝阳里精装三房 楼层阳光好,朝阳里 -白水湖,3室2厅 | 84.45平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 3天以前发布,81,"9,592元/平"
此房位置好，人车分流。户型方正,中辉国际一期 -柴桑区,3室1厅 | 102平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 5天以前发布,70,"6,863元/平"
八里湖南岸  中奥 大四房 南北通风 四开间朝南,中奥天悦湾一期 -柴桑区,4室1厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 4天以前发布,81.8,"5,928元/平"
保利▪八里翡翠 3室2厅 南,保利▪八里翡翠 -柴桑区,3室2厅 | 92.37平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 5天以前发布,63,"6,821元/平"
昌泰综合楼 4室2厅 南,昌泰综合楼 -四码头,4室2厅 | 176平米 | 南 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 1天以前发布,139,"7,898元/平"
望江天悦Ⅲ期 3室2厅 南,望江天悦Ⅲ期 -开发区,3室2厅 | 133平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 5天以前发布,103,"7,745元/平"
香榭丽都 2室2厅 南 北,香榭丽都 -莲花,2室2厅 | 81.28平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,39,"4,799元/平"
香榭丽都 4室1厅 南,香榭丽都 -莲花,4室1厅 | 138.15平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3天以前发布,50,"3,620元/平"
新桥头 户型方正，电梯高层 得房率高，采光好,海扬新苑 -开发区,3室2厅 | 150平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 3天以前发布,90,"6,000元/平"
国豪水岸城 2室2厅 南,国豪水岸城 -开发区,2室2厅 | 86平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 3天以前发布,68,"7,907元/平"
视野不错，开间朝南，阳光充足 满二,国豪景畔湾 -开发区,3室2厅 | 121.6平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1天以前发布,115,"9,458元/平"
庐东花园 2室1厅 南,庐东花园 -柴桑区,2室1厅 | 113.39平米 | 南 | 其他 | 高楼层(共7层)  | 塔楼,0人关注 / 3天以前发布,46,"4,057元/平"
九院旁精装小二房，采光视野很好,优品尚城 -万达,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 4天以前发布,74,"9,250元/平"
中国中铁四局五公司社区 3室2厅 南,中国中铁四局五公司社区 -万达,3室2厅 | 86平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2天以前发布,68,"7,907元/平"
配套齐全，两大公园品质住宅匠心巨献楼栋位置好,中辉国际二期 -柴桑区,3室2厅 | 122.15平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 2天以前发布,83,"6,795元/平"
鹤问公馆 2室2厅 南,鹤问公馆 -开发区,2室2厅 | 89平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,80,"8,989元/平"
盛世名都房东急卖‘南山公园旁十里万达,极地·盛世名都 -南山,2室1厅 | 60平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 4天以前发布,45,"7,500元/平"
八里湖一中旁 精装三房两卫 南北户型 中间楼层,九颂山河博园 -柴桑区,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 6天以前发布,82,"7,593元/平"
八里湖精品小区房东诚心出售！！！,保利▪八里翡翠 -柴桑区,3室2厅 | 99平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,60,"6,061元/平"
九方旁保利中航城 业主急售 全屋精装修 拎包入住,保利中航城四期 -八里湖,3室2厅 | 89.34平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 4天以前发布,110,"12,313元/平"
八里湖市政旁金鹏城小户型出售直接拎包入住,九江金鹏城 -八里湖,2室1厅 | 78平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 6天以前发布,78,"10,000元/平"
奥林匹克精装房 好楼层好视野 拎包入住,中体奥林匹克花园 -八里湖,3室2厅 | 86.3平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 2天以前发布,88,"10,197元/平"
中航城三期精装 九方购物广场生活方便,保利中航城三期 -八里湖,3室2厅 | 124.39平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 5天以前发布,143,"11,497元/平"
八里湖新区 绿地ICC大都会三房瞰景高层,绿地ICC大都会 -八里湖,3室2厅 | 103.67平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 3天以前发布,90,"8,682元/平"
步行上学，户型方正，采光很好，满五不唯一,东宝嘉园西区 -湖滨,3室2厅 | 104平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,153,"14,712元/平"
马狮商住楼 3室2厅 南 北,马狮商住楼 -大中大,3室2厅 | 105.68平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,50,"4,732元/平"
化工厂宿舍 地理位置好  房东精装修 可拎包入住,九江化工厂宿舍一区 -白水湖,2室2厅 | 64平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3天以前发布,53,"8,282元/平"
房子满五唯一  房东诚心出售 预约随时看房,联信家园 -快乐城,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2天以前发布,83,"7,546元/平"
中体奥城国际 3室2厅 南 北,中体奥城国际 -万达,3室2厅 | 97平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,92,"9,485元/平"
配套齐全，成熟板块，衣食住行无忧，,幸福里二期 -甘棠公园,3室1厅 | 103平米 | 南 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 7天以前发布,132,"12,816元/平"
科委宿舍 3室1厅 南 北,科委宿舍 -湖滨,3室1厅 | 89平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 2天以前发布,130,"14,607元/平"
江景房 格局好 交通方便 采光好 小区环境优越,广隆·滨江学府 -白水湖,3室2厅 | 116平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 6天以前发布,103,"8,880元/平"
半山溪谷·有别墅群的小区.环境优美！,半山溪谷 -莲花,3室2厅 | 132平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 6天以前发布,98,"7,425元/平"
万达商圈 南山脚下 南山雅苑 盛世名都 花园洋房,极地·盛世名都 -南山,3室2厅 | 112平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,126,"11,250元/平"
此房满五唯一，采光好，房东诚意出售，看房方便,菲力小区 -快乐城,2室2厅 | 85平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,51.8,"6,095元/平"
职业学 校对 面 新小区 人车分流 大三房 房东诚心出售,国豪美庐湾 -南山,3室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 4天以前发布,98,"9,075元/平"
御江一品 2室2厅 南,御江一品 -白水湖,2室2厅 | 99.7平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,0人关注 / 5天以前发布,82,"8,225元/平"
新桥头 户型方正，电梯高层 得房率高，采光好,海扬新苑 -开发区,3室2厅 | 150平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 3天以前发布,90,"6,000元/平"
望江天悦Ⅲ期 3室2厅 南,望江天悦Ⅲ期 -开发区,3室2厅 | 133平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 5天以前发布,103,"7,745元/平"
视野不错，开间朝南，阳光充足 满二,国豪景畔湾 -开发区,3室2厅 | 121.6平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1天以前发布,115,"9,458元/平"
国豪水岸城 2室2厅 南,国豪水岸城 -开发区,2室2厅 | 86平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 3天以前发布,68,"7,907元/平"
昌泰综合楼 4室2厅 南,昌泰综合楼 -四码头,4室2厅 | 176平米 | 南 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 1天以前发布,139,"7,898元/平"
中国中铁四局五公司社区 3室2厅 南,中国中铁四局五公司社区 -万达,3室2厅 | 86平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2天以前发布,68,"7,907元/平"
九院旁精装小二房，采光视野很好,优品尚城 -万达,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 4天以前发布,74,"9,250元/平"
香榭丽都 2室2厅 南 北,香榭丽都 -莲花,2室2厅 | 81.28平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,39,"4,799元/平"
开发区新小区，环境好，生活便利，诚意出售,中骏·雍景湾 -开发区,3室2厅 | 114.27平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 3天以前发布,97,"8,489元/平"
香榭丽都 4室1厅 南,香榭丽都 -莲花,4室1厅 | 138.15平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3天以前发布,50,"3,620元/平"
八里湖新区 绿地ICC大都会三房瞰景高层,绿地ICC大都会 -八里湖,3室2厅 | 103.67平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 3天以前发布,90,"8,682元/平"
九方旁保利中航城 业主急售 全屋精装修 拎包入住,保利中航城四期 -八里湖,3室2厅 | 89.34平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 4天以前发布,110,"12,313元/平"
