标题,开发商,房子信息,发布信息,售价/万,单价
天下名筑毛坯三房 满两年 中高层 全明户型 随时看房,天下名筑 -老峰镇,3室2厅 | 110.48平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 4天以前发布,66,"5,974元/平"
房子精装修的，复式楼，带个大阳台，采光通风好,和谐家园 -怀宁县,3室2厅 | 140.37平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,78,"5,557元/平"
骑龙休闲山庄成熟小区，配套设施齐全,骑龙休闲山庄 -怀宁县,3室2厅 | 97.7平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,55,"5,630元/平"
高档封闭小区，毛坯房，房龄新，户型方正，采光无遮挡,财和世家名都 -石化,4室2厅 | 136.94平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,80,"5,842元/平"
洪运彩印小区 老式装修满五不唯一 中间楼层 房东诚售,洪运彩印小区 -人民路,3室1厅 | 92平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,66.8,"7,261元/平"
洋房毛坯自由装修户型方正中间楼层 全天采光满2,天下名筑 -老峰镇,4室2厅 | 135.85平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,118,"8,687元/平"
东方天韵 安庆七街 全明户型 采光充足 双阳台房东急售,东方天韵 -大桥,4室1厅 | 142.73平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,121,"8,478元/平"
书香一品七街商圈，交通便利，配套齐全,书香一品南园 -大桥,3室2厅 | 111.29平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,95,"8,537元/平"
置地百悦华府 低公摊电梯复式洋房 带大露台 熊猫户型,置地百悦华府 -十里铺乡,4室2厅 | 181.77平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,122,"6,712元/平"
滨江板块永安公馆 人车分流 三房南北通透客餐厅有窗户,永安公馆 -大桥,3室2厅 | 106.55平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板塔结合,9人关注 / 6个月以前发布,82.8,"7,771元/平"
天柱山东路南边，交通便利，价格可谈。,皖宜新居 -大桥,2室2厅 | 104.06平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,45,"4,325元/平"
满二税费少，楼层采光好，视野开光,永安公馆 -大桥,3室2厅 | 105.92平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,3人关注 / 一年前发布,91.8,"8,667元/平"
市立医院旁 恒大精装社区 环境优美 交通便利,安庆恒大珺睿府 -大桥,3室2厅 | 104.65平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,99,"9,461元/平"
成熟小区，此房户型方正  3房朝南，里面包含一个车位,恒禾东尚 -大桥,4室2厅 | 138.81平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,8人关注 / 一年前发布,111,"7,997元/平"
蓝鼎西区边户，纯毛坯，大三房，三方阳台,蓝鼎中央城西区 -潜山县,3室2厅 | 138.63平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,3人关注 / 一年前发布,133,"9,594元/平"
房东诚心出售菱湖景区旁汇峰广场住宅，视野开阔采光好,汇峰广场 -花亭,3室1厅 | 94.82平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 4个月以前发布,99.8,"10,526元/平"
房东急售价格含车位，成熟小区，七街商圈 弘阳广场,恒禾东尚 -大桥,3室2厅 | 117平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,4人关注 / 一年前发布,100,"8,548元/平"
"此房是多层，公摊小，随时看房,",宜海格林镇B区 -龙狮桥乡,3室2厅 | 119.78平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,9人关注 / 一年前发布,89.8,"7,498元/平"
此房拥有独立的露台和挑高 户型方正,置地康熙左岸 -龙狮桥乡,4室2厅 | 223.38平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,3人关注 / 一年前发布,237,"10,610元/平"
嘉禾园毛坯大三房 满2年税费少 设施齐交通便利,嘉禾园 -大桥,3室2厅 | 127平米 | 南 | 毛坯 | 低楼层(共16层)  | 板楼,3人关注 / 一年前发布,93,"7,323元/平"
石化菱北生活区 满5年 简装 可直接入住 采光好 户型好,菱北新村 -菱北,3室1厅 | 76.9平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,52,"6,763元/平"
花园式小区 高档小区  交通便利 全明户型,西湖绿洲城一期 -菱北,3室2厅 | 122平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,90,"7,378元/平"
房东急售价格含车位，成熟小区，七街商圈 弘阳广场,恒禾东尚 -大桥,3室2厅 | 117平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,4人关注 / 一年前发布,100,"8,548元/平"
吾悦商圈 新河小区 复式楼 视野开阔  阳光充足,新河小区 -龙狮桥乡,4室2厅 | 136.95平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,59.8,"4,367元/平"
锦绣人家精装3房，中间楼层，带储物间，三开间朝南。,锦绣人家 -菱北,3室2厅 | 133.72平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,79.8,"5,968元/平"
石化菱北生活区 满5年 简装 可直接入住 采光好 户型好,菱北新村 -菱北,3室1厅 | 76.9平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,52,"6,763元/平"
安庆站旁 苏果*市加持  全新精装 拎包即可入住,车务段 -菱北,3室1厅 | 78.93平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,60,"7,602元/平"
大湖春天三楼，全新精装，小区环境好，离大湖近，,英德利花园西苑大湖春天 -菱北,3室2厅 | 101.34平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,81.8,"8,072元/平"
碧桂园山水云间 3室1厅 南,碧桂园山水云间 -龙狮桥乡,3室1厅 | 125.35平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,102,"8,138元/平"
盛唐山庄，此房满两年不唯一，中高楼层采光好。,盛唐山庄 -宜城路,1室1厅 | 38.2平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,39.8,"10,419元/平"
恒大绿洲 4室2厅 南 北,恒大绿洲 -龙狮桥乡,4室2厅 | 161平米 | 南 北 | 其他 | 32层  | 板塔结合,0人关注 / 1个月以前发布,145,"9,007元/平"
天下名筑 3室2厅 南 北,天下名筑 -老峰镇,3室2厅 | 93.02平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 24天以前发布,68,"7,311元/平"
十四中旁 地段好，精装修 户型方正 ，视野开阔。,高速·滨江首府 -龙狮桥乡,4室2厅 | 139.78平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 28天以前发布,198,"14,166元/平"
全明户型  两房朝南  双阳台,置地皖江四季 -龙狮桥乡,3室2厅 | 121平米 | 西南 | 其他 | 低楼层(共30层)  | 平房,0人关注 / 24天以前发布,118,"9,753元/平"
南北通透，采光好，楼层也好。通风好。,安庆湖滨供电小区 -菱湖,2室1厅 | 57.28平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,1人关注 / 8个月以前发布,48,"8,380元/平"
恒大绿州  精装修的  此房满五唯一  税费很低,恒大绿洲 -龙狮桥乡,3室2厅 | 121.16平米 | 南 北 | 精装 | 33层  | 塔楼,0人关注 / 30天以前发布,104,"8,584元/平"
苏宁悦城高档小区   中间楼层  三开间朝南  全天日照,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 101平米 | 南 | 其他 | 中楼层(共21层)  | 暂无数据,0人关注 / 17天以前发布,105,"10,397元/平"
秦潭湖旁 双拼别墅 大院子 自带车库 一楼带老人房,秦潭凤舞小区 -龙狮桥乡,6室3厅 | 390平米 | 南 北 | 毛坯 | 3层  | 暂无数据 | 双拼别墅 ,0人关注 / 25天以前发布,320,"8,206元/平"
置地皖江四季 3室2厅 南,置地皖江四季 -龙狮桥乡,3室2厅 | 138平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 17天以前发布,172,"12,464元/平"
洋房，好位置，好地段，好环境，好户型，价格同样好贵,置地天玺 -龙狮桥乡,4室2厅 | 130平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 16天以前发布,159.5,"12,270元/平"
万达广场旁，秦潭湖，山水云间好楼层，采光无遮挡,碧桂园山水云间 -龙狮桥乡,3室2厅 | 136.86平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 14天以前发布,90,"6,577元/平"
万达广场旁，1号公园精装三房二卫，全明户型。,碧桂园1号公园 -龙狮桥乡,3室2厅 | 131.05平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 14天以前发布,78,"5,952元/平"
祥和北苑 电梯还迁房 有证  价格低 欢迎咨询,祥和北苑 -大桥,3室1厅 | 120平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 8天以前发布,60,"5,000元/平"
绿地小高层，公摊小，视野开豁，无遮挡 ，朝南好户型,绿地一期卡莎公馆 -龙狮桥乡,2室1厅 | 85平米 | 南 | 精装 | 18层  | 板楼,0人关注 / 14天以前发布,80,"9,412元/平"
苏宁悦城 全新毛坯   新房交付楼层好,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共21层)  | 暂无数据,0人关注 / 10天以前发布,110,"11,000元/平"
碧桂园1号公园 3室2厅 南,碧桂园1号公园 -龙狮桥乡,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 10天以前发布,85,"8,763元/平"
吾悦商圈双莲寺旁边格林镇精装电梯三房诚意出售证满五,宜海格林镇A区 -龙狮桥乡,3室2厅 | 121平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 10天以前发布,130,"10,744元/平"
满五税少，低楼层 无遮挡，好房,恒大绿洲 -龙狮桥乡,2室1厅 | 89平米 | 南 | 精装 | 32层  | 板塔结合,0人关注 / 13天以前发布,76,"8,540元/平"
宜海格林镇精装三室两厅二卫双莲寺十四,宜海格林镇B区 -龙狮桥乡,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 15天以前发布,139,"11,120元/平"
绿地四期 热门小区 热门湖景房 毛坯三室,绿地四期卢浮公馆 -龙狮桥乡,3室1厅 | 117.98平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 2天以前发布,105.8,"8,968元/平"
小区环境好.人车分流.....,置地康熙左岸 -龙狮桥乡,3室2厅 | 131.27平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 4天以前发布,151.8,"11,564元/平"
孝肃路，双莲名居，大户型，价格可议,双莲名居 -孝肃路,3室2厅 | 107平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,85,"7,944元/平"
嘉禾园东区 3室2厅 南,嘉禾园东区 -大桥,3室2厅 | 100.86平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 3天以前发布,86,"8,527元/平"
自住装修      好楼层，布局很好 主卧朝南 明厨明卫,曙光苑景 -新河,3室2厅 | 133.65平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 2天以前发布,126,"9,428元/平"
人民路洪运房产4楼三室东边户95平精装拎包入住,洪运小区 -人民路,3室1厅 | 95平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,70,"7,369元/平"
安庆苏宁悦城，刚交付的新房，无尾款,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 101平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 14天以前发布,111,"10,991元/平"
新房子.新小区.电梯房.前后无遮挡.阳光好.,皖江华府东苑 -菱北,3室2厅 | 139平米 | 南 北 | 毛坯 | 低楼层(共13层)  | 暂无数据,0人关注 / 7天以前发布,105,"7,554元/平"
迎江御墅精装三房 拎包入住 中层 全无遮挡 房东诚售,迎江御墅 -龙狮桥乡,3室2厅 | 131.52平米 | 南 北 | 精装 | 中楼层(共18层)  | 平房,0人关注 / 9天以前发布,107.6,"8,182元/平"
格林镇B区 好房出售 位置好 户型好,宜海格林镇B区 -龙狮桥乡,3室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 12天以前发布,90,"8,911元/平"
新小区，开发区繁华位置，厅通阳台，房龄新,皖江华府东苑 -菱北,3室1厅 | 142平米 | 南 | 毛坯 | 低楼层(共12层)  | 塔楼,0人关注 / 3天以前发布,70,"4,930元/平"
楼层好，环境好，毛坯房，房龄新出行方便,皖江华府东苑 -菱北,3室1厅 | 138.21平米 | 南 | 毛坯 | 中楼层(共12层)  | 塔楼,0人关注 / 3天以前发布,76,"5,499元/平"
此房通透，视野开阔，前后无遮掩.采光充足，交通便利,皖江华府东苑 -菱北,3室1厅 | 138.14平米 | 南 | 精装 | 低楼层(共13层)  | 塔楼,0人关注 / 3天以前发布,88,"6,371元/平"
急售绿地一期精装好房  楼层好  诚心出售,绿地一期卡莎公馆 -龙狮桥乡,2室2厅 | 92.4平米 | 南 | 其他 | 24层  | 板楼,1人关注 / 一年前发布,82,"8,875元/平"
房东急售 急售  产证在手 产权清晰 看中可谈,绿地启航社 -龙狮桥乡,1室1厅 | 53平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,45,"8,491元/平"
碧桂园精装三房，拎包入住，楼层好 采光好 一线江景房,安庆碧桂园钻石郡 -龙狮桥乡,3室2厅 | 121.92平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,100,"8,203元/平"
月亮城小区 地理位置好  视野开阔 采光好,月亮城小区 -玉琳路,4室2厅 | 149.71平米 | 南 北 | 其他 | 高楼层(共5层)  | 板塔结合,0人关注 / 5个月以前发布,138,"9,218元/平"
人车分流，中间楼层西边户，业主自住精装修。,凯旋尊邸 -大桥,3室2厅 | 125.34平米 | 南 | 精装 | 27层  | 板楼,2人关注 / 一年前发布,115,"9,176元/平"
交通便利 成熟配套 业主诚意急售,碧桂园1号公园 -龙狮桥乡,3室2厅 | 130.22平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 一年前发布,98,"7,526元/平"
房主诚心出售，全面无遮挡，采光好,碧桂园山水云间 -龙狮桥乡,2室2厅 | 89.41平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 一年前发布,72,"8,053元/平"
锦绣家园小区好楼层，业主自己装修，诚心出售,锦绣家园 -怀宁县,3室2厅 | 110.45平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 7个月以前发布,56.8,"5,143元/平"
电梯精装修3房.楼层好.税费底.小区环境好,中宜香榭园 -菱北,3室2厅 | 142.05平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,106,"7,463元/平"
西湖绿洲城  鸟瞻视野 怡人采光 含电梯口车位,西湖绿洲四期 -菱北,3室2厅 | 97.49平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 板楼,0人关注 / 一年前发布,92,"9,437元/平"
西湖绿洲城四期  业主精装30万自住房  看房基本方便！,西湖绿洲四期 -菱北,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 一年前发布,113,"9,827元/平"
业主自住装修，家电家具齐全，产证满两年,恒大绿洲 -龙狮桥乡,3室2厅 | 114.91平米 | 南 北 | 精装 | 30层  | 板塔结合,1人关注 / 一年前发布,100,"8,703元/平"
精装房源，业主诚心卖，采光无遮挡,恒大绿洲 -龙狮桥乡,3室2厅 | 115.6平米 | 南 | 精装 | 29层  | 板塔结合,0人关注 / 一年前发布,87.8,"7,596元/平"
配套齐全，教育资源丰富，装修保养好,雨润中央新城 -龙狮桥乡,2室2厅 | 95.22平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,3人关注 / 一年前发布,96,"10,082元/平"
恒大绿洲  中间楼层  房东诚心出售,恒大绿洲 -龙狮桥乡,3室2厅 | 112.92平米 | 南 | 精装 | 21层  | 板塔结合,0人关注 / 2个月以前发布,100,"8,856元/平"
安庆石化菱北生活区 3室2厅 南,安庆石化菱北生活区 -菱北,3室2厅 | 72.3平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,58,"8,023元/平"
书香一品精装大四房 产证满2年 楼层好 视野采光无遮挡,书香一品北园 -大桥,4室2厅 | 156.14平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,138,"8,839元/平"
楼栋位置好，湖景房，全屋红木家具，东西全丢，诚意卖,恒大绿洲 -龙狮桥乡,3室2厅 | 140.55平米 | 南 | 精装 | 33层  | 板塔结合,0人关注 / 5个月以前发布,145,"10,317元/平"
精装修 三房一边的户型 满两年外地,印象江南 -大桥,3室2厅 | 110.13平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,99.9,"9,072元/平"
一号公园婚装三室 诚心置换急售,碧桂园1号公园 -龙狮桥乡,3室1厅 | 95.72平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,10人关注 / 一年前发布,70,"7,313元/平"
绿地一期 精装大三房 南北通透 采光好拎包入住,绿地一期卡莎公馆 -龙狮桥乡,3室2厅 | 120.85平米 | 南 北 | 精装 | 18层  | 板楼,7人关注 / 一年前发布,106,"8,772元/平"
中高楼层 视野采光好 两南一北户型 南北通 随时看房,安庆大发学府汇 -龙狮桥乡,3室2厅 | 115.78平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,98.5,"8,508元/平"
朝南 业主精装家具家电齐全 保养好,碧桂园山水云间 -龙狮桥乡,3室2厅 | 113.93平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,10人关注 / 11个月以前发布,79.9,"7,014元/平"
安庆碧桂园钻石郡，精装修，房东诚心出售大四房,安庆碧桂园钻石郡 -龙狮桥乡,4室2厅 | 141.2平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,10人关注 / 一年前发布,110,"7,791元/平"
丽水河畔，精装两室，诚心出售.,丽水河畔 -怀宁县,2室2厅 | 97平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,42,"4,330元/平"
万达商圈，南北通三房，采光好，诚心出售,大发宜景城四期 -龙狮桥乡,3室2厅 | 112.78平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,82,"7,271元/平"
此房满五唯一 好楼层 前面无遮挡 采光佳,大发宜景城三期 -龙狮桥乡,3室2厅 | 123.78平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,105,"8,483元/平"
多层洋房 楼层好 精装修 双连寺 南北通透,宜海格林镇B区 -龙狮桥乡,3室2厅 | 120.01平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 5个月以前发布,141,"11,750元/平"
房满五年  户型好   南北通透,大发宜景城三期 -龙狮桥乡,3室2厅 | 107.3平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 7个月以前发布,88,"8,202元/平"
钻石郡 精装修三房 边户 满二 家具家电齐全 看房方便,安庆碧桂园钻石郡 -龙狮桥乡,3室2厅 | 107.68平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,80.8,"7,504元/平"
书香一品精装大四房 中间楼层  二梯二户 满二年,书香一品南园 -大桥,4室1厅 | 156.84平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,10人关注 / 一年前发布,150,"9,564元/平"
小区地理位置优越， 精装两室，价格美丽！,绿地二期巴赫公馆 -龙狮桥乡,2室2厅 | 93.51平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,14人关注 / 9个月以前发布,66,"7,059元/平"
房东诚心出售，采光通风很好，视野十分开阔，看房方便,独秀花苑 -怀宁县,3室2厅 | 110.01平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,70,"6,364元/平"
恒大绿洲小区中间位置，精装小三房适合养老居家,恒大绿洲 -龙狮桥乡,3室2厅 | 99.81平米 | 南 | 精装 | 33层  | 板塔结合,2人关注 / 7个月以前发布,89,"8,917元/平"
满五年无增值税，全天采光，视野开阔,华康新村 -华中路,3室2厅 | 128.16平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,78,"6,087元/平"
大露台3楼5个卧室精装喝茶的好地方,系马桩小区 -孝肃路,5室2厅 | 153.65平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,1人关注 / 一年前发布,190,"12,366元/平"
山水云间精装三房 拎包入住 满五唯一 中层 房东急售,碧桂园山水云间 -龙狮桥乡,3室2厅 | 138.04平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 1个月以前发布,91.8,"6,651元/平"
香樟雅苑电梯房中上楼层，带储藏室,香樟雅苑 -怀宁县,2室2厅 | 96.99平米 | 南 北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,77,"7,939元/平"
此房为精装修，拎包入住，成熟小区，环境优美,独秀花苑 -怀宁县,3室2厅 | 111.13平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,75,"6,749元/平"
此房精装修满二，好楼层，采光视野好,碧桂园1号公园 -龙狮桥乡,3室2厅 | 110.89平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,2人关注 / 一年前发布,88,"7,936元/平"
绿地经典自装二居室  视野采光无遮挡,绿地一期卡莎公馆 -龙狮桥乡,2室2厅 | 84.3平米 | 南 | 精装 | 24层  | 板楼,2人关注 / 一年前发布,82.8,"9,823元/平"
证满两年  看江头排好房  视野开阔  南北通,安庆碧桂园钻石郡 -龙狮桥乡,3室2厅 | 124.9平米 | 南 | 精装 | 中楼层(共18层)  | 平房,1人关注 / 一年前发布,105,"8,407元/平"
"此房满五唯一,税点低 采光很好 户型不错",龙门小区 -玉琳路,4室2厅 | 192.19平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,179,"9,314元/平"
香水百合小区中间位置，户型方正采光好，房东诚心出售,雨润香水百合 -龙狮桥乡,3室2厅 | 127.88平米 | 南 北 | 精装 | 低楼层(共15层)  | 板塔结合,2人关注 / 7个月以前发布,115,"8,993元/平"
成熟小区，环境好，交通方便，停车便利,碧桂园1号公园 -龙狮桥乡,3室2厅 | 130.1平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 一年前发布,88,"6,765元/平"
1号公园精装三房 南北全明拎包入住 满两年 随时看房,碧桂园1号公园 -龙狮桥乡,3室2厅 | 110.78平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,14人关注 / 一年前发布,71.8,"6,482元/平"
碧桂园山水云间 多层  中间楼层 精装三房,碧桂园山水云间 -龙狮桥乡,3室2厅 | 88.28平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,72,"8,156元/平"
此房楼层视野宽阔，采光充足，配套设施齐全，交通便利,碧桂园山水云间 -龙狮桥乡,3室2厅 | 130.45平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,88,"6,746元/平"
精装三房，保养新，楼层好，全天采光，视野开阔,皖江春晓 -龙狮桥乡,3室2厅 | 114.48平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,120,"10,483元/平"
此房楼层视野宽阔，采光充足，配套设施齐全，交通便利,碧桂园山水云间 -龙狮桥乡,3室2厅 | 130.45平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,88,"6,746元/平"
精装三房，保养新，楼层好，全天采光，视野开阔,皖江春晓 -龙狮桥乡,3室2厅 | 114.48平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,120,"10,483元/平"
自已精装修 满两年 中间楼层好户型,碧桂园1号公园 -龙狮桥乡,3室2厅 | 111.23平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,16人关注 / 一年前发布,83,"7,463元/平"
成熟小区，环境好，交通方便，停车便利,碧桂园1号公园 -龙狮桥乡,3室2厅 | 130.1平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 一年前发布,88,"6,765元/平"
香水百合小区中间位置，户型方正采光好，房东诚心出售,雨润香水百合 -龙狮桥乡,3室2厅 | 127.88平米 | 南 北 | 精装 | 低楼层(共15层)  | 板塔结合,2人关注 / 7个月以前发布,115,"8,993元/平"
绿地经典自装二居室  视野采光无遮挡,绿地一期卡莎公馆 -龙狮桥乡,2室2厅 | 84.3平米 | 南 | 精装 | 24层  | 板楼,2人关注 / 一年前发布,82.8,"9,823元/平"
雍翠园是成熟步梯房，设施齐全，适合老人小孩居住,雍翠园 -怀宁县,2室2厅 | 98.84平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,48,"4,857元/平"
房东诚心出售，拎包即可入住，精装修，拎包即可入住,天骄苑 -怀宁县,4室2厅 | 156.62平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 7个月以前发布,102,"6,513元/平"
此房格局合理，利用率高！视野开阔，采光*好,丽水河畔 -怀宁县,4室2厅 | 253.46平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,3人关注 / 一年前发布,290,"11,442元/平"
此房源满五唯一税费低，交通便利，配套设施齐全,梦都家园 -怀宁县,3室1厅 | 119平米 | 东南 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 一年前发布,83,"6,975元/平"
此房是满五唯一，楼层好，面积很大，适宜居家,怀宁县言是小区 -怀宁县,6室2厅 | 210.26平米 | 东南 | 简装 | 中楼层(共5层)  | 暂无数据,9人关注 / 一年前发布,58,"2,759元/平"
房东诚心出售，精装修，拎包即可入住。。。。。。。,金域华庭 -怀宁县,3室2厅 | 117.54平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,90,"7,657元/平"
七街旁，出门就是弘阳广场，精装2房,峻泓馨居 -大桥,2室2厅 | 74.62平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,60,"8,041元/平"
御景国际   大四居  精装修  大价值的全屋实木,御景国际 -华中路,4室2厅 | 176平米 | 北 南 | 精装 | 低楼层(共29层)  | 板楼,9人关注 / 一年前发布,190,"10,796元/平"
房屋为精装修。拎包入住。适合一家三口,英德利商务花园 -未知商圈,3室2厅 | 110.3平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,13人关注 / 一年前发布,64.8,"5,875元/平"
少年宫东路东二巷 4室3厅 南 北,少年宫东路东二巷 -华中路,4室3厅 | 148平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,74.5,"5,034元/平"
光彩商务花园精装四房带院子带大平台，业主诚心出售,光彩商务花园 -大桥,4室2厅 | 191.36平米 | 南 北 | 精装 | 3层  | 板楼 | 联排别墅 ,5人关注 / 7个月以前发布,120,"6,271元/平"
