标题,开发商,房子信息,发布信息,售价/万,单价
东站旁 梧桐邑满二税低 双阳双卫全明通透户型,华鹏梧桐邑 -东站,4室2厅 | 117.07平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 5天以前发布,68,"5,809元/平"
小区正花园，视野开阔，三房两卫户型适宜一家居住。,中建宜昌之星C区 -五一广场,3室2厅 | 117.64平米 | 南 | 毛坯 | 高楼层(共43层)  | 板楼,0人关注 / 28天以前发布,152,"12,921元/平"
五一广场旁实用四房低于成本价出手,碧桂园凤凰城 -东站,4室2厅 | 131平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 27天以前发布,131,"10,000元/平"
港窑路 满五唯一 顶楼复式 标准五楼 万科怡翠锦城,经鑫苑 -东山开发区,5室2厅 | 125.69平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 22天以前发布,106,"8,434元/平"
华鹏梧桐邑 3室2厅 南,华鹏梧桐邑 -东站,3室2厅 | 91.87平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,78,"8,491元/平"
东城阳光 5室3厅 南,东城阳光 -中南路,5室3厅 | 163.74平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 23天以前发布,90,"5,497元/平"
西陵城区，繁华路段，交通便利，生活方便,现代城市广场 -CBD,1室1厅 | 51.73平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 30天以前发布,54,"10,439元/平"
一马路江边 青少年宫队面 上户出租均可 预拆区域,卫生局大院小区 -解放路,1室1厅 | 27平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,25,"9,260元/平"
水悦城商圈电梯三房 120.41平 价格可谈,圆梦园  -体育场,3室2厅 | 120.41平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,129.5,"10,755元/平"
精装大三房，公摊小，楼层好，采光好,泉源小区 -夷陵区,3室2厅 | 137.6平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,70,"5,088元/平"
山水国际大三居带书房，公摊小，户型好,山水国际 -夷陵区,4室2厅 | 139.92平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,4人关注 / 一年前发布,99,"7,076元/平"
五一广场 宜化新天地 产证满二 通透户型无遮挡,宜化新天地 -中南路,3室2厅 | 111.95平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,8人关注 / 一年前发布,96,"8,576元/平"
桂馨苑A区4室2厅朝南向精装房,桂馨苑A区 -东山开发区,4室2厅 | 137.88平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,105,"7,616元/平"
龙苑 4室2厅 南,龙苑 -解放路,4室2厅 | 154.64平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,125,"8,084元/平"
五一广场 东郡A区  精装大三房  税费低,东郡A区 -五一广场,3室2厅 | 124.26平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,105,"8,451元/平"
东方名都2楼经典户型拎包入住，随时看房,东方名都 -五一广场,3室2厅 | 105.05平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,80,"7,616元/平"
恒大山水城 3室2厅 南,恒大山水城 -东站,3室2厅 | 124.34平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 一年前发布,92,"7,400元/平"
碧桂园豪庭 4室2厅 南,碧桂园豪庭 -点军区,4室2厅 | 145.24平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 10个月以前发布,120,"8,263元/平"
碧桂园御园正规三房，精装修拎包入住。,碧桂园御园 -点军区,3室2厅 | 103.66平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,5人关注 / 10个月以前发布,75,"7,236元/平"
满五唯一，精装二房，买一层得二层。,黄金路20号 -夷陵区,2室2厅 | 77.18平米 | 东南 南 | 精装 | 高楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,36.5,"4,730元/平"
发展大道钓鱼台二号，房东装修四十万，带一个地下车位,钓鱼台二号 -夷陵区,3室2厅 | 139.03平米 | 东南 | 精装 | 高楼层(共32层)  | 板楼,4人关注 / 5个月以前发布,115,"8,272元/平"
宜化新天地精装三房出售，入住不到一个月,宜化新天地 -中南路,3室2厅 | 111.81平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,5人关注 / 一年前发布,96,"8,586元/平"
丁家坝大面积低价出售户型很大  6加7   大六房,龙台三巷30号 -夷陵区,4室2厅 | 172.54平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,65,"3,768元/平"
碧桂园御园 4室2厅 南 北,碧桂园御园 -点军区,4室2厅 | 166.67平米 | 南 北 | 精装 | 中楼层(共31层)  | 平房,0人关注 / 3个月以前发布,120,"7,200元/平"
花园景观园林  高层边户精装三房 满二产权清晰,山水华庭 -东站,3室2厅 | 98.4平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,24人关注 / 7个月以前发布,108,"10,976元/平"
碧桂园豪庭 5室2厅 东南,碧桂园豪庭 -点军区,5室2厅 | 249.68平米 | 东南 | 精装 | 高楼层(共16层)  | 暂无数据,9人关注 / 7个月以前发布,240,"9,613元/平"
碧桂园御园 4室2厅 南 北,碧桂园御园 -点军区,4室2厅 | 166.67平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 5个月以前发布,120,"7,200元/平"
中铁龙盘湖世纪山水低密度洋房环境好,中铁龙盘湖世纪山水 -东站,3室2厅 | 127.81平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,96,"7,512元/平"
水悦城旁品质小区，交通便利，配套齐全,翰林院 -东山开发区,5室2厅 | 235.38平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,110,"4,674元/平"
一线江景，大四房，带全屋暖气，含车位,江天一色 -五一广场,4室2厅 | 165.8平米 | 东南 南 | 精装 | 高楼层(共24层)  | 塔楼,2人关注 / 一年前发布,200,"12,063元/平"
梧桐邑七贤台 3室2厅 南,梧桐邑七贤台 -东站,3室2厅 | 92.6平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,80,"8,640元/平"
恒大山水城 园林小区 看房方便  精装修 拎包入住,恒大山水城 -东站,3室2厅 | 100.92平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,78,"7,729元/平"
江山多娇三期 3室2厅 南,江山多娇三期 -五一广场,3室2厅 | 126.72平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 14天以前发布,139,"10,970元/平"
龙盘湖 山环水抱，环境优美 诚心出售,中铁龙盘湖世纪山水 -东站,5室3厅 | 434平米 | 东南 | 毛坯 | 2层  | 板楼 | 双拼别墅 ,1人关注 / 一年前发布,410,"9,448元/平"
都市田圜小区经典户型经济适用房,都市田園 -东站,2室1厅 | 82平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,75,"9,147元/平"
恒大山水城 3室2厅 南,恒大山水城 -东站,3室2厅 | 90.82平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,72,"7,928元/平"
恒大山水城  园林小区 精装三房  满二,恒大山水城 -东站,3室2厅 | 89.78平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,69,"7,686元/平"
兴润·秋语台 3室2厅 南 北,兴润·秋语台 -东站,3室2厅 | 96.35平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,85,"8,823元/平"
兴润·秋语台 3室2厅 南,兴润·秋语台 -东站,3室2厅 | 99.25平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,64,"6,449元/平"
CBD华祥水悦城交汇处 民悦家园复式大四房 三峡大学旁,民悦家园 -华祥,4室2厅 | 136.8平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,84,"6,141元/平"
彩云路整栋私房仅售73万，有停车位,彩云巷24号 -夷陵区,4室2厅 | 162.52平米 | 南 西北 | 毛坯 | 低楼层(共3层)  | 暂无数据,20人关注 / 一年前发布,68.8,"4,234元/平"
东苑公寓 5室2厅 南,东苑公寓 -东山开发区,5室2厅 | 178.56平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,1人关注 / 4个月以前发布,100,"5,601元/平"
中建宜昌之星东区 3室2厅 南,中建宜昌之星东区 -五一广场,3室2厅 | 114.01平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 5个月以前发布,105,"9,210元/平"
清江润城四期精装修四室两厅两卫带家电家具出售,清江润城四期 -夷陵区,4室2厅 | 131.73平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 6个月以前发布,80,"6,074元/平"
中南路 碧翠苑小区地段好 户型好经济实惠,碧翠苑小区 -杨岔路,2室2厅 | 65.39平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,43,"6,576元/平"
龙盘湖   独栋别墅   诚心出售,龙盘湖·龙岛六号 -东站,4室3厅 | 302.26平米 | 南 | 毛坯 | 2层  | 平房 | 独栋别墅 ,1人关注 / 一年前发布,530,"17,535元/平"
恒大华府 4室2厅 南 北,恒大华府 -五一广场,4室2厅 | 176.8平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 16天以前发布,189,"10,691元/平"
园林安居小区丹桂苑   采光好  布局合理,园林安居小区丹桂苑 -宜都市,3室2厅 | 111平米 | 东南 | 精装 | 高楼层(共8层)  | 板楼,3人关注 / 一年前发布,30,"2,703元/平"
全新装修，生活便利，出行方便。,山水华庭 -东站,4室2厅 | 124.84平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,3人关注 / 6个月以前发布,135,"10,814元/平"
产证在手，一线江景，全屋地暖，新风系统,金色海岸 -中南路,3室2厅 | 186平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,245,"13,173元/平"
拎包入住，无需装修，轻松过日子。,东郡A区 -五一广场,3室2厅 | 129.59平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,110,"8,489元/平"
一线江景，大阳台，成功人士的不二选择。,新外滩 -中南路,4室2厅 | 267.92平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,460,"17,170元/平"
中国核建二二公司小区 2室2厅 南,中国核建二二公司小区 -夷陵区,2室2厅 | 68.71平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 9天以前发布,26.8,"3,901元/平"
恒大山水城精装大三房诚心出售 拎包入住,恒大山水城 -东站,3室1厅 | 137.7平米 | 东南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 13天以前发布,105,"7,626元/平"
中南路商圈  顶层复式精装修四房诚心出售,中南路55-83号 -中南路,4室2厅 | 119.98平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,66,"5,501元/平"
一线江景阔绰大平层，装修绝绝子。,金色海岸 -中南路,5室2厅 | 216.68平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,280,"12,923元/平"
黄河路口夜明珠路43号小区   精装一室一厅仅售15万,夜明珠路43号 -未知商圈,1室1厅 | 42平米 | 西南 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 9天以前发布,15,"3,572元/平"
民欣家园A区 3室2厅 南,民欣家园A区 -中南路,3室2厅 | 90.81平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,85,"9,361元/平"
发展大道 天问旁 精装3室 人车分流小区 拎包入住,至上未来城 -夷陵区,3室2厅 | 89.93平米 | 南 | 精装 | 中楼层(共22层)  | 塔楼,0人关注 / 1个月以前发布,66,"7,340元/平"
威陵小区 3室2厅 南,威陵小区 -夷陵区,3室2厅 | 145.21平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,70,"4,821元/平"
清江润城四期精装三房 品牌家电 全屋壁纸 小清新风,清江润城四期 -夷陵区,3室2厅 | 87.14平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 25天以前发布,63,"7,230元/平"
体育馆挨到在，小两房，家电家具齐全，交通便利。,夷兴大道112号 -夷陵区,2室1厅 | 82.03平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,43.5,"5,303元/平"
安旺花园精装修两房拎包入住，诚心出售,安旺花园 -夷陵区,2室1厅 | 85平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 28天以前发布,45.8,"5,389元/平"
半岛城邦江景三房两卫117平精装三房看江视野好!,中核半岛城邦 -夷陵区,3室2厅 | 117.2平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 23天以前发布,88,"7,509元/平"
诚心卖房！锦绣天下品质大2房！精装拎包住！,锦绣天下 -葛洲坝,2室2厅 | 113.44平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 24天以前发布,96,"8,463元/平"
樵湖一路  正规二居  总价40万 拎包入住,樵湖一路7号 -葛洲坝,2室1厅 | 56.82平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 22天以前发布,40,"7,040元/平"
此房满五不唯一 通透双阳台  拎包入住 价格美丽,锦绣嘉苑 -葛洲坝,3室2厅 | 116.18平米 | 东南 | 简装 | 低楼层(共30层)  | 塔楼,0人关注 / 18天以前发布,105,"9,038元/平"
西陵一路靠江边 颐仁花园小区 电梯房 可公积金商贷,颐仁花园 -CBD,4室2厅 | 149.74平米 | 西南 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 19天以前发布,105,"7,013元/平"
星湖湾19栋小三房精装修拎包入住,星湖湾 -夷陵区,3室2厅 | 89.74平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 20天以前发布,67.8,"7,556元/平"
CBD 珍珠路 二楼 大三房 大阳台 业主诚心出售,珍珠路57-2号 -CBD,3室2厅 | 97.6平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 20天以前发布,80,"8,197元/平"
水悦城深圳路清江富林花园，钻石二楼，满五唯一诚心卖,清江富林花园 -东山开发区,2室2厅 | 77.65平米 | 南 北 | 简装 | 低楼层(共8层)  | 暂无数据,0人关注 / 17天以前发布,54.3,"6,993元/平"
万达旁精装两房 诚心出售 看房方便,清江润城四期 -夷陵区,2室2厅 | 85.68平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 28天以前发布,66,"7,704元/平"
至上未来城精装大三房，业主诚心出售，,至上未来城 -夷陵区,3室2厅 | 120.42平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 26天以前发布,90,"7,474元/平"
镇镜花苑三室两厅边户交通便利价格不贵,镇镜花苑 -葛洲坝,3室2厅 | 95.57平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 15天以前发布,58,"6,069元/平"
此房是在北山菜市场 两房 中间楼层 91年建 满五低税,隆中后路2号 -解放路,2室2厅 | 67.19平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,52,"7,740元/平"
CBD旁对铁小十六中 电梯高层 两房两厅边户 采光无忧,西陵铁路坝小学 -CBD,2室2厅 | 96.25平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 8天以前发布,98,"10,182元/平"
沙河公园  正规两房 拎包入住,平湖馨苑A区 -西陵区其他,2室1厅 | 59.64平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,39,"6,540元/平"
弘洋凡尔赛花园 3室2厅 南,弘洋凡尔赛花园 -中南路,3室2厅 | 119平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 31天以前发布,102,"8,572元/平"
胜利四路检察院小区二楼三房有钥匙采光好,胜利四路42号 -未知商圈,3室2厅 | 98平米 | 东南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 27天以前发布,64,"6,531元/平"
合益路领地天屿 毛坯三房 诚心出售 先到先得,领地天屿 -中南路,3室2厅 | 116平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,100,"8,621元/平"
合益路领地天屿 毛坯两房 低价出售 先到先得,领地天屿 -中南路,2室2厅 | 88.38平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 24天以前发布,70,"7,921元/平"
梅子垭湖畔  精装蝶变两房  随时看房,梅岭一号 -夷陵区,2室1厅 | 65平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 23天以前发布,46.8,"7,200元/平"
上上城三期 3室2厅 东南,上上城三期 -中南路,3室2厅 | 112平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 22天以前发布,106,"9,465元/平"
急售满两年无土地出让金中南路商圈民欣家园A区,民欣家园A区 -中南路,3室2厅 | 90.81平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,72,"7,929元/平"
水悦城旁边，保利小区，毛坯质量好，业主诚心出售,保利时代 -东山开发区,3室2厅 | 106平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 28天以前发布,86,"8,114元/平"
月亮湾刚需小三房业主诚心出售 欢迎来看,月亮湾 -中南路,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 26天以前发布,90,"8,491元/平"
中南路花园洋房 带地下室带露台 业主诚心售卖！！！,月亮湾 -中南路,4室2厅 | 168.1平米 | 南 | 毛坯 | 低楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,210,"12,493元/平"
十六化建 2室1厅 南 北,十六化建 -东山开发区,2室1厅 | 56.29平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 20天以前发布,38,"6,751元/平"
合益路 上合园 次顶层满五年 三房两厅诚心出售,上合园 -中南路,3室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 22天以前发布,79,"6,753元/平"
水悦城保利时代 117平精装三房  拎包入住 满二,保利时代 -东山开发区,3室2厅 | 117平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 19天以前发布,108,"9,231元/平"
中南路商圈 95平毛坯3房 顶楼复式 带车位 诚心出售,宏信依山郡三期 -中南路,3室2厅 | 95平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 28天以前发布,95,"10,000元/平"
碧绿成荫，夏天凉爽怡人 采光通透 价格美丽 拎包入住,白龙井路3号 -体育场,3室2厅 | 116.39平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 20天以前发布,68,"5,843元/平"
东湖雅居133.91平米大户型仅92.8万,银河东湖雅居 -夷陵区,4室2厅 | 133.91平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 31天以前发布,92.8,"6,931元/平"
发展大道  夷陵万达旁  山水国际精装三房 拎包入住,山水国际 -夷陵区,4室2厅 | 137.76平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 20天以前发布,88.8,"6,446元/平"
保利时代 3室2厅 东南,保利时代 -东山开发区,3室2厅 | 120平米 | 东南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 19天以前发布,118,"9,834元/平"
吾悦广场商圈 御景天地一期 南北三房 好楼层满二,均瑶御景天地1期 -未知商圈,3室2厅 | 100.85平米 | 南 | 毛坯 | 高楼层(共29层)  | 板塔结合,0人关注 / 23天以前发布,65,"6,446元/平"
万科理想城精装客户诚心出售欢迎咨询,万科理想城 -夷陵区,3室1厅 | 106平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 24天以前发布,80,"7,548元/平"
招商·依云水岸 3室2厅 南,招商·依云水岸 -东站,3室2厅 | 114平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 25天以前发布,88,"7,720元/平"
中南路长楹观邸毛坯三房 楼层好,长楹观邸 -中南路,3室2厅 | 93.2平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,0人关注 / 21天以前发布,78,"8,370元/平"
满五唯一 电梯中层 万达广场 医院 市民之家,香山铭苑 -万达,3室2厅 | 134.79平米 | 东南 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 8个月以前发布,110,"8,161元/平"
秒杀！隆康路 一医院旁 小林园 小户型 满五年,小林园 -CBD,2室2厅 | 51.71平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,52,"10,057元/平"
万达商圈  正规两房  中间楼层  配套齐全  全明户型,万寿花园 -伍家岗其他,2室2厅 | 82.16平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,61,"7,425元/平"
昭君花园，夷陵大道上满五唯一，精装三房 钥匙房,夷陵大道 -中南路,3室2厅 | 111.12平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,82,"7,380元/平"
水文局宿舍73.6平二室二厅仅售39.8万,水文局宿舍 -夷陵区,2室2厅 | 73.63平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,39.8,"5,406元/平"
金亚花园 4室2厅 东南 西南,金亚花园 -夷陵区,4室2厅 | 176.46平米 | 东南 西南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,82.8,"4,693元/平"
此房为花园江景四连体别墅，免费停车,昌耀沁园 -夷陵区,5室2厅 | 275平米 | 南 | 毛坯 | 3层  | 塔楼 | 独栋别墅 ,4人关注 / 一年前发布,182.8,"6,648元/平"
东方市场131平米 三室两厅 满五年 交通便利,云杰阁 -夷陵区,3室2厅 | 131.79平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,66,"5,008元/平"
此房为花园江景四连体别墅，免费停车,昌耀沁园 -夷陵区,5室2厅 | 275平米 | 南 | 毛坯 | 3层  | 塔楼 | 独栋别墅 ,4人关注 / 一年前发布,182.8,"6,648元/平"
金亚花园 4室2厅 东南 西南,金亚花园 -夷陵区,4室2厅 | 176.46平米 | 东南 西南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,82.8,"4,693元/平"
三峡环球港旁 东辰壹号御景 精装大三房 全屋暖气片,东辰壹号御景 -杨岔路,3室2厅 | 137平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 3个月以前发布,125,"9,125元/平"
依山傍水河景房，宜居，视野采光俱佳,钓鱼台壹号 -夷陵区,4室2厅 | 163.56平米 | 东南 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,103,"6,298元/平"
正规大四房公摊小停车方便紧 邻菜市场实验,老法院宿舍 -夷陵区,4室2厅 | 141.64平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 8个月以前发布,69.8,"4,928元/平"
长江市场商圈    长江市场主路边大两房   户型方正,湖光路18-6号 -夷陵区,2室1厅 | 81.16平米 | 东南 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,42.8,"5,274元/平"
西陵 CBD 亚洲广场 住宅 有钥匙 价格可小刀,亚洲广场 -CBD,3室2厅 | 114.22平米 | 南 | 简装 | 低楼层(共30层)  | 板楼,0人关注 / 4个月以前发布,72,"6,304元/平"
恒大绿洲精装修两房  满五唯一 税费低  业主诚心出售,恒大绿洲 -夷陵区,2室2厅 | 82.63平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 8个月以前发布,67,"8,109元/平"
江南天然氧，空气质量好，居住舒适，两房,江南URD那溪谷 -点军区,2室2厅 | 81.71平米 | 东南 | 毛坯 | 低楼层(共32层)  | 暂无数据,5人关注 / 一年前发布,48,"5,875元/平"
晗香园 3室1厅 南,晗香园 -东山开发区,3室1厅 | 119.68平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,0人关注 / 6个月以前发布,91,"7,604元/平"
诚心出售，户型方正采光好， 交通方便配套好,杜家坝小区 -东山开发区,3室2厅 | 120平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,72.8,"6,067元/平"
碧桂园豪庭品质四房，凤凰楼层，价格美丽税费低。,碧桂园豪庭 -点军区,4室2厅 | 145.42平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,116,"7,977元/平"
兴发广场 繁华地段 毛坯两房 毛坯给您无限装修空间,兴发广场 -中南路,2室2厅 | 91平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,90,"9,891元/平"
入则宁静，出则繁华。适宜改善居住。,钓鱼台壹号 -夷陵区,4室2厅 | 186.72平米 | 东南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,142.8,"7,648元/平"
二室一厅 拎包入住 29.8万,中国核建二二公司小区 -夷陵区,2室1厅 | 61.88平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,27.8,"4,493元/平"
长江市场毛坯大四房 下叠带菜园,无石山庄 -夷陵区,4室2厅 | 236平米 | 南 北 | 毛坯 | 下叠(共5层)  | 暂无数据 | 叠拼别墅 ,0人关注 / 3个月以前发布,180,"7,628元/平"
江景，成熟小区，配套设施完善，交通便利,平湖天下华庭 -夷陵区,3室2厅 | 112.66平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 6个月以前发布,80,"7,102元/平"
长江市场旁精装中层大三房拎包入住,丰豪名都 -夷陵区,3室2厅 | 139.68平米 | 东南 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 9个月以前发布,82,"5,871元/平"
户型方正  交通便利 采光好 配套设施完善,茗邸 -夷陵区,3室2厅 | 131.16平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,70,"5,337元/平"
此房无抵押，房产证在手此房无抵押，房产证在手,陽光水岸 -夷陵区,3室2厅 | 152.21平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,100,"6,570元/平"
精装两房，户型好满两年拎包入住,虹桥国际公寓 -中南路,2室2厅 | 99.7平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,92,"9,228元/平"
山水云间 精装三房二卫，中间楼层，边户，满五唯一,山水云间 -夷陵区,3室2厅 | 128.5平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,61.9,"4,818元/平"
房子产权面积清晰，户型方正，得房率高，楼层好,万寿小区 -万达,2室2厅 | 76.3平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 5个月以前发布,68,"8,913元/平"
瑞祥苑精装大四房，家具家电齐全，拎包入住,瑞祥苑 -夷陵区,4室2厅 | 137.14平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,75,"5,469元/平"
钓鱼台壹号湖景洋房，带车位，有钥匙,钓鱼台壹号 -夷陵区,2室2厅 | 105.05平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,4人关注 / 11个月以前发布,79.8,"7,597元/平"
水电花苑 2室2厅 西南,水电花苑 -夷陵区,2室2厅 | 46.48平米 | 西南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,21,"4,519元/平"
