标题,开发商,房子信息,发布信息,售价/万,单价
高品质生活金品时代值得拥有。房本满二年,金品时代 -涿州,4室2厅 | 170平米 | 南 北 | 毛坯 | 17层  | 板塔结合,0人关注 / 15天以前发布,200,"11,765元/平"
香邑溪谷 3室2厅 南 北,香邑溪谷 -涿州,3室2厅 | 94.68平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,1人关注 / 10个月以前发布,80,"8,450元/平"
便宜两居室 通透 别墅园林社区  税费低 居住舒适,仙颐园小区 -涿州,2室1厅 | 86平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 5个月以前发布,45,"5,233元/平"
南北通透大三居，采光好，视野好，小区环境好,华融现代城 -涿州,3室2厅 | 96.89平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,9人关注 / 一年前发布,81,"8,360元/平"
洋房东户 明卫 南北通透 3居 本在手 中楼层 独立阳台,华融现代城 -涿州,3室1厅 | 100平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,10人关注 / 一年前发布,95,"9,500元/平"
急售 鸿坤新维港 大三居 明厨明卫,鸿坤新维港 -涿州,3室2厅 | 119.51平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板塔结合,70人关注 / 一年前发布,55,"4,603元/平"
水岸花城 1室1厅 西,水岸花城 -涿州,1室1厅 | 54.81平米 | 西 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,40,"7,298元/平"
此房为70年大产权，即买即住，集中供暖，交通便利,同善园银座 -涿州,1室1厅 | 56平米 | 西 | 精装 | 20层  | 塔楼,1人关注 / 1个月以前发布,29.9,"5,340元/平"
小区环境优雅，配套设施齐，楼层好，采光充足,华阳风景 -涿州,3室2厅 | 110平米 | 南 北 | 其他 | 高楼层(共26层)  | 塔楼,0人关注 / 24天以前发布,67,"6,091元/平"
钻石广场商圈 平安小区 跃层精装修花了70多万,平安小区 -涿州,6室4厅 | 198平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,318,"16,061元/平"
视野宽阔，采光充足，配套齐 ，交通便利,华阳建行小区 -涿州,4室4厅 | 151平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,170,"11,259元/平"
独栋别墅 占地8分地 四面花园300平 满五年,名流丽苑 -涿州,5室2厅 | 245平米 | 南 北 | 精装 | 低楼层(共2层)  | 板楼,15人关注 / 一年前发布,600,"24,490元/平"
高档精装修别墅 祥和园 装修花了200万 前后带院,涿州祥和园 -涿州,4室4厅 | 296平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,5人关注 / 一年前发布,780,"26,352元/平"
长空路 祥和园别墅区 独栋别墅 带200平院 满院果树,涿州祥和园 -涿州,6室3厅 | 340平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,7人关注 / 一年前发布,750,"22,059元/平"
金正小区 通透四居 一楼带大院 满五唯一,金正小区 -涿州,4室2厅 | 152平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,6人关注 / 一年前发布,115,"7,566元/平"
满五唯一税费低，南北通透，无公摊,研制厂小区 -涿州,2室2厅 | 65.74平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,55,"8,367元/平"
此房跃层复式、楼上楼下南北通透户型好、无遮挡采光好,东方家园 -涿州,4室3厅 | 230平米 | 南 北 | 毛坯 | 7层  | 板楼,10人关注 / 一年前发布,170,"7,392元/平"
光明小区 南北通透大五居 带装修 高楼层,光明小区(涿州) -涿州,5室2厅 | 141平米 | 南 北 | 简装 | 6层  | 板楼,2人关注 / 6个月以前发布,125,"8,866元/平"
金品时代 3室2厅 南 北,金品时代 -涿州,3室2厅 | 142.8平米 | 南 北 | 毛坯 | 18层  | 板塔结合,0人关注 / 一年前发布,216,"15,127元/平"
范阳路大跃层 精装修 可直接入住,东方家园 -涿州,5室2厅 | 228平米 | 南 北 | 精装 | 7层  | 板楼,4人关注 / 8个月以前发布,170,"7,457元/平"
范阳路兴泰跃层 南北通透 交通便利 房本满五税费低,兴泰小区 -涿州,4室3厅 | 183.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,160,"8,715元/平"
涿州市二康医院核 心版块，出门就是就是范阳路,联合小区二号院 -涿州,4室2厅 | 135平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 10个月以前发布,101,"7,482元/平"
六层洋房  经典四居 六跃七  有露台和储藏室,香邑溪谷玫瑰园 -涿州,4室2厅 | 170.59平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,6人关注 / 4个月以前发布,186,"10,904元/平"
交通方便 小区门口就是公交站点 南行800米838车站,国富嘉园 -涿州,4室3厅 | 221平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板楼,0人关注 / 一年前发布,350,"15,838元/平"
出售：华光小区大三室，带阁楼，满五,华光小区 -涿州,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,105,"7,955元/平"
香邑溪谷玫瑰园上跃洋房  精装修,香邑溪谷玫瑰园 -涿州,4室2厅 | 198.22平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,19人关注 / 一年前发布,335,"16,901元/平"
大三居，公摊小。集中供暖，物业费低，,金地小区 -涿州,3室2厅 | 131平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 一年前发布,95,"7,252元/平"
中低楼层 满五唯一 南北通透明厨明卫格局 采光充足,名流城市尊邸 -涿州,4室2厅 | 141.75平米 | 南 西 北 | 精装 | 低楼层(共17层)  | 板楼,15人关注 / 一年前发布,130,"9,172元/平"
品质洋房  一层带花园  精装修 无遮挡,香邑溪谷 -涿州,4室2厅 | 150.28平米 | 北 西南 | 精装 | 低楼层(共5层)  | 板楼,10人关注 / 一年前发布,290,"19,298元/平"
开发区 幸福嘉园 南北五居室 视野开阔,幸福嘉园 -涿州,5室2厅 | 246平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 7个月以前发布,288,"11,708元/平"
实物比图片好太多，看了就知道！上下两层4居室大面积,K2狮子城南区 -涿州,4室2厅 | 171.26平米 | 南 | 精装 | 24层  | 板塔结合,57人关注 / 一年前发布,138,"8,058元/平"
涿州市区  精装带全套实木家具  品牌家电,天龙小区 -涿州,3室2厅 | 138.6平米 | 南 北 | 精装 | 18层  | 板楼,7人关注 / 一年前发布,115,"8,298元/平"
此房为毛坯新房，5跃6层采光充足，视野宽阔，,香邑溪谷 -涿州,5室2厅 | 198平米 | 北 南 | 毛坯 | 高楼层(共5层)  | 板塔结合,1人关注 / 1个月以前发布,228,"11,516元/平"
此房满二税费低，带车位地下室 好楼层 采光视野好,香邑溪谷 -涿州,3室2厅 | 124平米 | 南 北 | 简装 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,140,"11,291元/平"
涿州市二康医院核 心版块，出门就是范阳路自住养老。,东方家园 -涿州,4室2厅 | 171平米 | 南 北 | 简装 | 7层  | 板楼,9人关注 / 一年前发布,160,"9,357元/平"
房本满二，无抵押无户口，价格可议，,名流公寓 -涿州,4室2厅 | 139.6平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,130,"9,313元/平"
南北通透三居室 精装 花园社区 德信公园,香邑溪谷 -涿州,3室1厅 | 95平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,10人关注 / 一年前发布,85,"8,948元/平"
香邑溪谷  上跃  南北通透     大户型,香邑溪谷 -涿州,4室2厅 | 204平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,245,"12,010元/平"
南北通透格局 通风性好 楼层好 采光充足 配套设施齐全,嵘御航城 -涿州,4室3厅 | 214平米 | 南 北 | 简装 | 低楼层(共10层)  | 板塔结合,5人关注 / 一年前发布,190,"8,879元/平"
房本满五税费低 位于华阳主路 交通便利 生活配套齐全,联合小区六号院 -涿州,3室2厅 | 123.39平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,130,"10,536元/平"
范阳路 金品时代 全南3居室 双卫 高楼观景 满二,金品时代 -涿州,3室2厅 | 123平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,219,"17,805元/平"
南北通透，精装修，可贷款，主路边上，有车位,华阳建行小区 -涿州,4室2厅 | 151平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,110,"7,285元/平"
范阳路网通家属院大四居，房本满五,网通家属院 -涿州,4室2厅 | 169平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,128,"7,574元/平"
幸福嘉园 南北通透 视野开阔 楼间距大敞亮 带车位,幸福嘉园 -涿州,4室2厅 | 178平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,3人关注 / 一年前发布,215,"12,079元/平"
金地小区 范阳路中段 此房满五唯一 户型通透 朝向好,金地小区 -涿州,4室2厅 | 153平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,7人关注 / 一年前发布,125,"8,170元/平"
房子中间楼层无遮挡采光好，集中供暖。,燕赵花园 -涿州,4室2厅 | 161.27平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,155,"9,612元/平"
此房产证满5唯一，，交通便利，南北通透，公摊小。,金地小区 -涿州,4室2厅 | 153平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,3人关注 / 一年前发布,175,"11,438元/平"
房子南北通透户型，中间楼层无遮挡，集中供暖,燕赵花园 -涿州,4室2厅 | 161.27平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,170,"10,542元/平"
此房交通便利 位于桃源街道 公摊小 得房率高,中国石油报社家属院 -涿州,4室2厅 | 135平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,99,"7,334元/平"
怡海嘉园，南北通透三居室，跃层，精装修满五,怡海嘉园 -涿州,3室2厅 | 141平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,110,"7,802元/平"
：花园小区封闭管理，房子户型方居住舒适,香邑溪谷上园 -涿州,4室2厅 | 121.4平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,5人关注 / 一年前发布,100,"8,238元/平"
开发区御景园南侧 大四居带大院精装修拎包入住。,福祥小区 -涿州,4室2厅 | 195.89平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,200,"10,210元/平"
范阳主路一梯两户 电梯洋房社区总高11层,中央公馆 -涿州,4室2厅 | 169.9平米 | 北 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,187,"11,007元/平"
南北通透格局 ，采光好，通风效果好，户型布局合理,绿茵家园 -涿州,3室2厅 | 116.3平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,68.5,"5,890元/平"
香邑溪谷精装修洋房中间楼层满二出售,香邑溪谷 -涿州,3室2厅 | 141.01平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,3人关注 / 一年前发布,155,"10,993元/平"
桃源新都孔雀城洋房南北通透三居中楼层出售,桃源新都孔雀城 -涿州,3室2厅 | 116.91平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,1人关注 / 4个月以前发布,85,"7,271元/平"
范阳小区    精装  有36平米阳光房   跃层,范阳小区 -涿州,4室4厅 | 150平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,140,"9,334元/平"
范阳小区，大房子，五跃六层.采光充足 配套设施完备,范阳小区 -涿州,4室2厅 | 144平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,110,"7,639元/平"
新星小区，南北通透，板楼，低楼层，无遮挡，满五年,新星小区 -涿州,3室2厅 | 121平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,100,"8,265元/平"
南北通透三居室，公摊小，低楼层，适合全龄居住,兴泰花园 -涿州,3室2厅 | 111平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,2人关注 / 6个月以前发布,82,"7,388元/平"
东兴北街  大四居  南北通透 满五唯一,兴泰花园 -涿州,4室2厅 | 144平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,6人关注 / 一年前发布,115,"7,987元/平"
楼层好，适合养老，配套齐全，交通便利。视野开阔,香邑溪谷玫瑰园 -涿州,4室2厅 | 197平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,2人关注 / 4个月以前发布,195,"9,899元/平"
凯旋门  满二   户型方正  出门就是菜市场,鸿盛凯旋门 -涿州,2室2厅 | 112.2平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,90,"8,022元/平"
香邑溪谷洋房5跃6品牌装修带阁楼,香邑溪谷 -涿州,5室2厅 | 196平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,1人关注 / 5个月以前发布,260,"13,266元/平"
水岸花城 3室1厅 南 北,水岸花城 -涿州,3室1厅 | 117平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,110,"9,402元/平"
出售华泰豪庭小区一梯两户南北通透高新区三居室。,华泰豪庭 -涿州,3室2厅 | 128平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,115,"8,985元/平"
燕赵花园 2室2厅 南 北,燕赵花园 -涿州,2室2厅 | 96.6平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 26天以前发布,85,"8,800元/平"
范阳水电小区 2室1厅 南 北,范阳水电小区 -涿州,2室1厅 | 69.61平米 | 南 北 | 其他 | 6层  | 板楼,0人关注 / 16天以前发布,55,"7,902元/平"
唐人花园东西通透大两居，房本满五年。,唐人花园 -涿州,2室2厅 | 106平米 | 东 西 | 精装 | 6层  | 板楼,0人关注 / 28天以前发布,70,"6,604元/平"
鹏渤印象城牛津花园 3室2厅 南 北,鹏渤印象城牛津花园 -涿州,3室2厅 | 98.47平米 | 南 北 | 其他 | 23层  | 板塔结合,0人关注 / 18天以前发布,100,"10,156元/平"
卓悦城北京未 3室2厅 南 北,卓悦城北京未 -涿州,3室2厅 | 108平米 | 南 北 | 其他 | 低楼层(共25层)  | 板塔结合,0人关注 / 20天以前发布,65,"6,019元/平"
税费低，精装修，中间楼层，集中供暖！拎包入住!,名流枫景五期 -涿州,3室2厅 | 113.4平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 28天以前发布,85,"7,496元/平"
此房精装修。拎包入住。节省您的装修时间成本,君临天下御景园 -涿州,2室1厅 | 95平米 | 南 | 其他 | 高楼层(共20层)  | 板楼,0人关注 / 18天以前发布,110,"11,579元/平"
弘德缘 1室1厅 西,弘德缘 -涿州,1室1厅 | 60平米 | 西 | 简装 | 高楼层(共19层)  | 板塔结合,0人关注 / 31天以前发布,48,"8,000元/平"
此房满二南北通透采光好人车分流 配套齐全出行方便,强舜铭城 -涿州,2室1厅 | 82平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,2人关注 / 1个月以前发布,49,"5,976元/平"
小区环境优雅，楼层不高，适合家有老人,鸿盛凯旋门 -涿州,1室1厅 | 63.49平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 26天以前发布,70,"11,026元/平"
四季橙小区 1室1厅 东,四季橙小区 -涿州,1室1厅 | 61.02平米 | 东 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 26天以前发布,48,"7,867元/平"
范阳主路可注册公司民水民电的公寓税费低,金街公寓 -涿州,1室0厅 | 52平米 | 东 | 简装 | 中楼层(共21层)  | 塔楼,0人关注 / 22天以前发布,29.6,"5,693元/平"
花园式社区，鸿盛凯旋门南向一居室，2梯4户。,鸿盛凯旋门 -涿州,1室1厅 | 57.31平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,49,"8,550元/平"
水岸花城 2室1厅 南,水岸花城 -涿州,2室1厅 | 91.56平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 25天以前发布,80,"8,738元/平"
凌云家属院 2室1厅 南,凌云家属院 -涿州,2室1厅 | 57.4平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 31天以前发布,36,"6,272元/平"
房子满五年，中间楼层，看房方便,北京理想城 -涿州,2室2厅 | 81平米 | 西南 | 简装 | 高楼层(共21层)  | 板楼,0人关注 / 27天以前发布,68,"8,396元/平"
南北通透大两居，户型方正，通风效果良好，采光无遮挡,嵘御航城 -涿州,3室1厅 | 96平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 31天以前发布,95,"9,896元/平"
精装修 通透两居室  带院子 小区环境绿化好,仙颐园小区 -涿州,2室2厅 | 86平米 | 东 西 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 21天以前发布,69,"8,024元/平"
全南两居，低楼层，采光好，前方无遮挡，视野开阔。,钻石广场 -涿州,2室2厅 | 93.69平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 20天以前发布,85,"9,073元/平"
高铁东站 狮子城精装修两居 景观房全天无遮挡 带车位,K2狮子城北区 -涿州,2室1厅 | 85平米 | 南 | 精装 | 24层  | 板塔结合,0人关注 / 19天以前发布,75,"8,824元/平"
低楼层出行方便 精装修 纯南向两居室 看房方便 满两年,香邑溪谷 -涿州,2室1厅 | 92平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 25天以前发布,65,"7,066元/平"
范阳主路 三五四三社区 集中供暖38平一居室 急售,三五四三社区居民委员会 -涿州,1室1厅 | 38平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 31天以前发布,28,"7,369元/平"
牛津花园，全朝阳两居室，可贷款，诚意出售。,鹏渤印象城牛津花园 -涿州,2室1厅 | 77平米 | 南 | 毛坯 | 23层  | 板塔结合,0人关注 / 27天以前发布,69,"8,962元/平"
三义 双塔片区 精装修拎包住，业主改善换房。,联合一号院 -涿州,2室1厅 | 98平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 19天以前发布,67,"6,837元/平"
华阳路双塔天保郦景全阳两居精装税费低,天保郦景 -涿州,2室2厅 | 88.73平米 | 南 | 精装 | 中楼层(共21层)  | 板塔结合,0人关注 / 21天以前发布,66,"7,439元/平"
房本满五唯一 税费少 两居室带精装修 小区位置好,范阳水电小区 -涿州,2室1厅 | 56.41平米 | 南 北 | 精装 | 6层  | 板楼,0人关注 / 17天以前发布,60,"10,637元/平"
华泰金源 2室2厅 东 西,华泰金源 -涿州,2室2厅 | 95.81平米 | 东 西 | 毛坯 | 中楼层(共14层)  | 板塔结合,0人关注 / 28天以前发布,68,"7,098元/平"
高铁东站 牛津花园简单装修两居 全天采光,鹏渤印象城牛津花园 -涿州,2室2厅 | 76平米 | 南 | 简装 | 23层  | 板塔结合,0人关注 / 19天以前发布,59,"7,764元/平"
香邑溪谷 2室2厅 南,香邑溪谷 -涿州,2室2厅 | 90.48平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,120,"13,263元/平"
配套齐全，交通便利，楼间距大  房本满二,鸿盛凯旋门 -涿州,2室1厅 | 101.94平米 | 南 | 其他 | 高楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,86,"8,437元/平"
此房满五唯一，税费低。精装家具家电全拎包入住,华泰豪庭 -涿州,2室2厅 | 84.6平米 | 东 | 其他 | 低楼层(共17层)  | 板塔结合,10人关注 / 一年前发布,70,"8,275元/平"
高新区 德信公园 房本满二年 自住标准装修,华泰豪庭 -涿州,2室2厅 | 101.62平米 | 南 | 其他 | 高楼层(共17层)  | 板塔结合,6人关注 / 一年前发布,82,"8,070元/平"
满二税费低，精装修拎包入住！！,范阳水电小区 -涿州,2室1厅 | 58.69平米 | 南 北 | 精装 | 6层  | 板楼,1人关注 / 7个月以前发布,59.9,"10,207元/平"
大北京未来城 2室1厅 满五年 有房本，东南朝向,大北京未来城 -涿州,2室1厅 | 85.09平米 | 东南 | 其他 | 高楼层(共20层)  | 塔楼,1人关注 / 5个月以前发布,58,"6,817元/平"
四季橙小区一居室，可贷款，带装修,四季橙小区 -涿州,1室1厅 | 55.24平米 | 西 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,40,"7,242元/平"
弘德缘 2室1厅 东,弘德缘 -涿州,2室1厅 | 81平米 | 东 | 其他 | 高楼层(共19层)  | 板塔结合,0人关注 / 11天以前发布,48,"5,926元/平"
鸿坤理想湾南区 1室1厅 东北,鸿坤理想湾南区 -涿州,1室1厅 | 65.05平米 | 东北 | 其他 | 高楼层(共22层)  | 板塔结合,0人关注 / 13天以前发布,59,"9,070元/平"
此房为全南两居，户型方正 小区好位置 采光视野好,翔天万和城 -涿州,2室2厅 | 86.85平米 | 南 | 简装 | 21层  | 板塔结合,1人关注 / 6个月以前发布,81,"9,327元/平"
弘德缘 2室1厅 北,弘德缘 -涿州,2室1厅 | 72平米 | 北 | 其他 | 高楼层(共19层)  | 板塔结合,0人关注 / 11天以前发布,49,"6,806元/平"
景观湖社区，满五唯一，拎包可住。,鸿盛凯旋门 -涿州,2室2厅 | 89.78平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 6个月以前发布,70,"7,797元/平"
宏远二号院 2室1厅 南,宏远二号院 -涿州,2室1厅 | 71平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 11天以前发布,55,"7,747元/平"
三处家属院 2室1厅 南 北,三处家属院 -涿州,2室1厅 | 73平米 | 南 北 | 其他 | 高楼层(共4层)  | 板楼,0人关注 / 14天以前发布,52,"7,124元/平"
精装未住，高楼层视野好，房本满二。,天保郦景 -涿州,2室1厅 | 90.25平米 | 南 | 其他 | 高楼层(共21层)  | 板塔结合,0人关注 / 6个月以前发布,69,"7,646元/平"
新世纪花园 3室2厅 南 北,新世纪花园 -竞秀区,3室2厅 | 142平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,29人关注 / 一年前发布,149.99,"10,563元/平"
未来城D区 2室2厅 南 北,未来城D区 -莲池区,2室2厅 | 88.6平米 | 南 北 | 其他 | 中楼层(共34层)  | 板塔结合,6人关注 / 一年前发布,116,"13,093元/平"
涿州市党校家属院南北通透三居。,涿州市党校家属院 -涿州,3室2厅 | 96平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,90,"9,375元/平"
南北通透三居室。明厨明卫。好楼层。教育资源丰富。,凯兴悦享城 -涿州,3室1厅 | 105.8平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板塔结合,3人关注 / 一年前发布,85,"8,035元/平"
南北通透三居。高品质环境，中高楼层，采光无限,润卓天伦湾 -涿州,3室2厅 | 110平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 7个月以前发布,110,"10,000元/平"
中高楼层，全天采光，房本满五，随时看房，精装修,云景城 -涿州,3室2厅 | 134.04平米 | 南 西 北 | 其他 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,105,"7,834元/平"
南北通透格局，视野宽阔，采光充足，配套设施齐全,香邑溪谷上园 -涿州,3室2厅 | 121平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,140,"11,571元/平"
晨巍金地 2室2厅 南,晨巍金地 -莲池区,2室2厅 | 97.31平米 | 南 | 精装 | 27层  | 板楼,11人关注 / 一年前发布,113.8,"11,695元/平"
朝南格局楼层好视野宽阔采光充足配套设施齐全,高铁新干线 -涿州,2室1厅 | 87.52平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,96,"10,969元/平"
房子格局方正，南北通透，洋房品质，大三居，价格可议,鸿盛凯旋门 -涿州,3室2厅 | 146.21平米 | 南 北 | 其他 | 低楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,159,"10,875元/平"
"高铁业主靠谱出售中间楼层三居,环境优美,价格美丽",高铁新干线 -涿州,3室1厅 | 91.78平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,100,"10,896元/平"
名流枫景洋房 产证满5唯一 税费低 南北通透,名流枫景洋房 -涿州,3室2厅 | 100平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,35人关注 / 一年前发布,80,"8,000元/平"
香邑溪谷 南北三居 无遮挡 花园洋房社区,香邑溪谷 -涿州,3室2厅 | 96平米 | 东 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,120,"12,500元/平"
花园小区封闭管理，房子户型方正采光充足，居住舒适,香邑溪谷 -涿州,3室2厅 | 97.75平米 | 南 北 | 简装 | 高楼层(共32层)  | 板楼,5人关注 / 8个月以前发布,90,"9,208元/平"
南北通透 采光好 视野好 交通便利,祥云瑞景小区 -涿州,2室2厅 | 104平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 一年前发布,82,"7,885元/平"
精装修  朝南三居   随时看房,鸿坤理想湾北区 -涿州,3室2厅 | 90平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,7人关注 / 一年前发布,108,"12,000元/平"
世纪华庭 南北通大三居 大餐厅奢华风 改造空间大,世纪华庭 -莲池区,3室2厅 | 170平米 | 东南 | 毛坯 | 中楼层(共11层)  | 板楼,5人关注 / 一年前发布,194,"11,412元/平"
水岸花城 3室2厅 南 北,水岸花城 -涿州,3室2厅 | 109.26平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,85,"7,780元/平"
新干线上跃户型，户型方正，采光好视野佳。,高铁新干线 -涿州,3室2厅 | 114.15平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,5人关注 / 一年前发布,150,"13,141元/平"
水岸花城精装两居 视野开阔 随时看房 本满二,水岸花城 -涿州,2室2厅 | 96平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,8人关注 / 一年前发布,67,"6,980元/平"
中医院北，东兴北街旁，优质大三居,军怡公馆 -涿州,3室2厅 | 127平米 | 南 北 | 其他 | 18层  | 塔楼,27人关注 / 一年前发布,73,"5,749元/平"
涿州市医院家属院南区3-2-1-1 88.32m² 85 万,涿州市医院家属院南区 -涿州,3室2厅 | 88.32平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,68,"7,700元/平"
高铁新干线 3室2厅 南 北,高铁新干线 -涿州,3室2厅 | 97.36平米 | 南 北 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,110,"11,299元/平"
高品质小区 保利物业 高档社区 明厨明卫 南北通透,润卓天伦湾 -涿州,3室2厅 | 114平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,3人关注 / 一年前发布,102,"8,948元/平"
鸿坤高铁新干线 业主诚意出售小洋房,高铁新干线 -涿州,3室2厅 | 144.77平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,200,"13,816元/平"
南北通透三居 有本 满五 看房随时,涿州市财政局家属院 -涿州,3室1厅 | 127平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,128,"10,079元/平"
花园洋房社区 平层大四居  人车分流  有本,香邑溪谷玫瑰园 -涿州,3室2厅 | 132.78平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,145,"10,921元/平"
