标题,开发商,房子信息,发布信息,售价/万,单价
市海景两房，东南朝向，户型方正，观小区园林,龍正中央海洋公園 -港口区,2室1厅 | 89平米 | 东南 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,34.8,"3,911元/平"
博鑫双湾国际 3室1厅 南,博鑫双湾国际 -港口区,3室1厅 | 105平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 一年前发布,43,"4,096元/平"
龙光阳光海岸四期 3室2厅 东,龙光阳光海岸四期 -港口区,3室2厅 | 93.09平米 | 东 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 一年前发布,55,"5,909元/平"
阳光海岸 小三室 高层 满两年  可按揭,龙光阳光海岸四期 -港口区,3室2厅 | 92.84平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,51.5,"5,548元/平"
有房产证 位置好 户型好 交通便利,台湾城 -港口区,3室2厅 | 132.96平米 | 东南 | 其他 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,68,"5,115元/平"
阳光海岸四期，看湖近海三房两卫毛坯，可按揭,龙光阳光海岸四期 -港口区,3室2厅 | 104.98平米 | 东 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,60,"5,716元/平"
南北格局 小区环境很好，品质好.配套也好,埠上桃源 -港口区,3室2厅 | 126.64平米 | 东南 南 | 毛坯 | 中楼层(共29层)  | 塔楼,0人关注 / 一年前发布,90,"7,107元/平"
博鑫双湾国际 3室1厅 南,博鑫双湾国际 -港口区,3室1厅 | 105.28平米 | 南 | 其他 | 低楼层(共31层)  | 板楼,0人关注 / 一年前发布,59.5,"5,652元/平"
格局好，楼层好，视野宽阔，采光充足，可随意装修,荣兴·亚太国际 -港口区,3室2厅 | 120平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 8个月以前发布,49,"4,084元/平"
采光好，看全部园林，小区配套设施齐全，交通便利,恒大御景湾 -港口区,3室2厅 | 92平米 | 北 | 简装 | 低楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,44.5,"4,837元/平"
埠上桃源 3室1厅 南,埠上桃源 -港口区,3室1厅 | 105平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 6个月以前发布,70.5,"6,715元/平"
三房二厅，纯海景房，视野无遮挡，采光嘎嘎好,龙光阳光海岸四期 -港口区,3室2厅 | 113平米 | 东南 | 其他 | 中楼层(共30层)  | 塔楼,1人关注 / 5个月以前发布,75,"6,638元/平"
此房契税满二 房屋 通风采光俱佳 带装修,领袖壹方 -港口区,3室2厅 | 135.14平米 | 北 | 精装 | 低楼层(共28层)  | 板塔结合,2人关注 / 6个月以前发布,58.16,"4,304元/平"
龙光阳光海岸四期 3室2厅 东南,龙光阳光海岸四期 -港口区,3室2厅 | 93.72平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,47,"5,015元/平"
钻石园 CBD商圈 园博园 中高楼层,钻石园 -港口区,3室2厅 | 103.19平米 | 南 | 简装 | 中楼层(共38层)  | 板塔结合,5人关注 / 一年前发布,49,"4,749元/平"
前后无遮挡，中高户型，采光好，视野很好,龍正中央海洋公園 -港口区,3室2厅 | 108.31平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,49,"4,525元/平"
此房视野开阔，户型方正，交通便利，采光充足,蓝湾湖畔 -港口区,3室2厅 | 108.51平米 | 北 | 其他 | 低楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,53,"4,885元/平"
值得您看的人气好房，点进去看看先,恒大御景湾 -港口区,3室1厅 | 92.14平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,6人关注 / 10个月以前发布,48.5,"5,264元/平"
南北格局、采光充足、配套成熟、视野宽阔、房屋很干净,龙光·阳光海岸一期 -港口区,3室2厅 | 127平米 | 东南 | 其他 | 低楼层(共30层)  | 塔楼,2人关注 / 一年前发布,65,"5,119元/平"
翡翠园三房，朝南户型方正，格局好，视野采光好,翡翠园 -港口区,3室1厅 | 91.7平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,45.6,"4,973元/平"
楼下就是德城市场，成熟社区，生活很方便,海湾公馆 -港口区,3室2厅 | 120.36平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,1人关注 / 4个月以前发布,48,"3,989元/平"
双湾国际大三房，南北通透，光线充足，大阳台。,博鑫双湾国际 -港口区,3室1厅 | 105平米 | 南 北 东 | 毛坯 | 低楼层(共31层)  | 板楼,3人关注 / 9个月以前发布,37,"3,524元/平"
急售 阳光海岸五期 111平  3室2卫  欢迎咨询,龙光阳光海岸五期 -港口区,3室2厅 | 111.62平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 5个月以前发布,64,"5,734元/平"
三生云海观邸 3室1厅 南,三生云海观邸 -港口区,3室1厅 | 132.45平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,4人关注 / 7个月以前发布,46,"3,474元/平"
此房已装修，采光不错，价可谈。。,荣兴·亚太国际 -港口区,3室2厅 | 124.44平米 | 南 北 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 一年前发布,48,"3,858元/平"
海湾公馆 证满税全通透采光好离市场近,海湾公馆 -港口区,3室2厅 | 126.3平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,55,"4,355元/平"
配套完全，小区环境好，契税满二唯一，等有缘人,永恒幸福梦居 -港口区,3室2厅 | 120.59平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,1人关注 / 4个月以前发布,51,"4,230元/平"
三房两卫 户型方正 高层视野采光好,泰城幸福里 -港口区,3室2厅 | 121.51平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,2人关注 / 4个月以前发布,46,"3,786元/平"
三房两卫 通透性好 阳光充足 中间楼层,防城港恒大悦珑湾 -港口区,3室1厅 | 113.98平米 | 北 | 其他 | 中楼层(共26层)  | 塔楼,1人关注 / 一年前发布,79,"6,932元/平"
四大场馆，有红树林，在市政府旁边，园博园旁边,明珠园 -港口区,3室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,2人关注 / 一年前发布,68,"4,789元/平"
此房视野开阔，采光充足，主卧部分看海景,龙光阳光海岸四期 -港口区,3室2厅 | 93平米 | 西南 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,58,"6,237元/平"
精装  急卖  捡漏 可按揭  采光好,三顺财富中心 -港口区,4室2厅 | 139.48平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,15人关注 / 一年前发布,59.9,"4,295元/平"
3房2厅1厨2卫，朝南户型，采光好,埠上桃源 -港口区,4室2厅 | 134平米 | 南 | 其他 | 低楼层(共31层)  | 暂无数据,4人关注 / 10个月以前发布,69.8,"5,209元/平"
三房两厅两卫，朝南，户型方正，海景房，视野开阔,晨华·红林海湾 -港口区,3室2厅 | 149.8平米 | 南 | 其他 | 低楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,95,"6,342元/平"
急售 现房 可按揭 精装  采光好,龙光阳光海岸四期 -港口区,3室2厅 | 93平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,75,"8,065元/平"
金石雅筑 湖海双景 92平3房1卫,金石雅筑 -港口区,3室2厅 | 91.8平米 | 南 | 其他 | 高楼层(共29层)  | 板塔结合,0人关注 / 7个月以前发布,48.5,"5,284元/平"
防城港凤景湾   一线 海景房 3房,防城港凤景湾 -港口区,3室2厅 | 122.84平米 | 西南 | 其他 | 低楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,52,"4,234元/平"
湖景房，中高楼层，户型方正，恒湿客厅通透，绿化完善,龙光阳光海岸四期 -港口区,3室2厅 | 101.19平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,48,"4,744元/平"
纯海景，三房二厅，采光好，视野嘎嘎好,龙光阳光海岸四期 -港口区,3室2厅 | 111平米 | 东南 | 精装 | 中楼层(共30层)  | 塔楼,1人关注 / 5个月以前发布,77.5,"6,982元/平"
近11中，双湾国际三房两卫带装修,博鑫双湾国际 -港口区,3室1厅 | 94平米 | 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,42,"4,469元/平"
一家三代居住，交通便利，配套齐全,翡翠园 -港口区,3室2厅 | 109平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,52,"4,771元/平"
龙 光 阳 光 海 岸 四 期 椰 风 树 影,龙光阳光海岸四期 -港口区,3室2厅 | 102.98平米 | 西南 | 毛坯 | 高楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,61.8,"6,002元/平"
阳光海岸四期，海景房大三房，小区品质高，配套齐全,龙光阳光海岸四期 -港口区,3室2厅 | 126平米 | 南 | 其他 | 低楼层(共30层)  | 塔楼,0人关注 / 一年前发布,84,"6,667元/平"
埠上桃源  3房2厅  南  高楼层,埠上桃源 -港口区,3室2厅 | 111平米 | 南 | 其他 | 高楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,83,"7,478元/平"
此房有产证，高楼层 ，视野开阔，交通便利,高铁2号 -港口区,4室2厅 | 132.64平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,56,"4,222元/平"
三生天海观邸，115平四房，简单装修，拎包入住，,三生天海观邸 -港口区,4室1厅 | 115平米 | 北 | 简装 | 低楼层(共33层)  | 板塔结合,3人关注 / 5个月以前发布,44.5,"3,870元/平"
阳光海岸四期3房 大三房 适合一家老小一起住,龙光阳光海岸四期 -港口区,3室2厅 | 111.68平米 | 西北 | 其他 | 低楼层(共30层)  | 塔楼,0人关注 / 一年前发布,56.5,"5,060元/平"
湖景房，中高楼层，户型方正通透，绿化完善,龙光阳光海岸四期 -港口区,3室1厅 | 101.44平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 5个月以前发布,55,"5,422元/平"
西湾上城 4室3厅 南,西湾上城 -港口区,4室3厅 | 165平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,1人关注 / 2个月以前发布,65,"3,940元/平"
埠上桃园 大四房 看湿地公园 三阳台,埠上桃源 -港口区,4室2厅 | 139平米 | 东南 | 其他 | 高楼层(共29层)  | 塔楼,3人关注 / 一年前发布,99.5,"7,159元/平"
此房视野开阔，户型方正，交通便利，采光充足,龙光阳光海岸四期 -港口区,3室2厅 | 101平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,56,"5,545元/平"
有房产证 位置好 户型好 交通便利,台湾城 -港口区,3室2厅 | 132.96平米 | 东南 | 其他 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,68,"5,115元/平"
阳光海岸四期，看湖近海三房两卫毛坯，可按揭,龙光阳光海岸四期 -港口区,3室2厅 | 104.98平米 | 东 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,60,"5,716元/平"
三房一厅一厨一卫，有证，税满。,防城港恒大悦珑湾 -港口区,3室1厅 | 89.96平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,4人关注 / 9个月以前发布,53.5,"5,948元/平"
急售！！台湾城大三房，精装修，一线海景房,台湾城 -港口区,3室2厅 | 129平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,64,"4,962元/平"
高楼层，无任何遮挡，户型方正通透，采光充足,台湾城 -港口区,3室2厅 | 135.72平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,58,"4,274元/平"
此房楼层好，采光视野好，基础配套设施齐全。,龙光阳光海岸四期 -港口区,3室2厅 | 104平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 一年前发布,60,"5,770元/平"
龙光阳光海岸四期 3室1厅 南,龙光阳光海岸四期 -港口区,3室1厅 | 112.03平米 | 南 | 其他 | 中楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,68,"6,070元/平"
此房已装修，采光不错，价可谈。。,荣兴·亚太国际 -港口区,3室2厅 | 124.44平米 | 南 北 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 一年前发布,48,"3,858元/平"
配套完全，小区环境好，契税满二唯一，等有缘人,永恒幸福梦居 -港口区,3室2厅 | 120.59平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,1人关注 / 4个月以前发布,51,"4,230元/平"
三房两卫 户型方正 高层视野采光好,泰城幸福里 -港口区,3室2厅 | 121.51平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,2人关注 / 4个月以前发布,46,"3,786元/平"
钻石园 CBD商圈 园博园 中高楼层,钻石园 -港口区,3室2厅 | 103.19平米 | 南 | 简装 | 中楼层(共38层)  | 板塔结合,5人关注 / 一年前发布,49,"4,749元/平"
龙光阳光海岸四期 3室2厅 东南,龙光阳光海岸四期 -港口区,3室2厅 | 93.72平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,47,"5,015元/平"
前后无遮挡，中高户型，采光好，视野很好,龍正中央海洋公園 -港口区,3室2厅 | 108.31平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,49,"4,525元/平"
捡漏急卖  港口区 毛坯 可按揭,龙光·阳光海岸二期 -港口区,4室2厅 | 163.21平米 | 西南 | 其他 | 中楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,83.5,"5,117元/平"
三生云海观邸 3室1厅 南,三生云海观邸 -港口区,3室1厅 | 132.45平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,4人关注 / 7个月以前发布,46,"3,474元/平"
双湾国际大三房，南北通透，光线充足，大阳台。,博鑫双湾国际 -港口区,3室1厅 | 105平米 | 南 北 东 | 毛坯 | 低楼层(共31层)  | 板楼,3人关注 / 9个月以前发布,37,"3,524元/平"
配套成熟，出行方便，视野开阔。。。,钻石园 -港口区,3室2厅 | 111.95平米 | 北 | 其他 | 中楼层(共38层)  | 板塔结合,2人关注 / 一年前发布,63,"5,628元/平"
楼下就是德城市场，成熟社区，生活很方便,海湾公馆 -港口区,3室2厅 | 120.36平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,1人关注 / 4个月以前发布,48,"3,989元/平"
急售 阳光海岸五期 111平  3室2卫  欢迎咨询,龙光阳光海岸五期 -港口区,3室2厅 | 111.62平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 5个月以前发布,64,"5,734元/平"
北部湾一线湖景，全新欧式精装修，采光好，户型通透。,龙光·阳光海岸一期 -港口区,3室2厅 | 127平米 | 东北 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,84,"6,615元/平"
约155平大三房，湖海双景观，毛坯交付,龙光·阳光海岸一期 -港口区,3室2厅 | 155.16平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,1人关注 / 1个月以前发布,75,"4,834元/平"
海景房，90平紧凑3房，视野开阔，采光良好,海岸巴黎 -港口区,3室2厅 | 90.59平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,5人关注 / 一年前发布,56.6,"6,248元/平"
海湾公馆 证满税全通透采光好离市场近,海湾公馆 -港口区,3室2厅 | 126.3平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,55,"4,355元/平"
南北格局、采光充足、配套成熟、视野宽阔、房屋很干净,龙光·阳光海岸一期 -港口区,3室2厅 | 127平米 | 东南 | 其他 | 低楼层(共30层)  | 塔楼,2人关注 / 一年前发布,65,"5,119元/平"
翡翠园三房，朝南户型方正，格局好，视野采光好,翡翠园 -港口区,3室1厅 | 91.7平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,45.6,"4,973元/平"
瑞海尚都 3室2厅 南 北,瑞海尚都 -港口区,3室2厅 | 115平米 | 南 北 | 其他 | 低楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,55,"4,783元/平"
埠上桃源南北向三居室 业主诚意出售,埠上桃源 -港口区,3室2厅 | 114.24平米 | 东 西 | 毛坯 | 低楼层(共28层)  | 塔楼,3人关注 / 一年前发布,63,"5,515元/平"
泰城幸福里 3室2厅 北,泰城幸福里 -港口区,3室2厅 | 120平米 | 北 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 8个月以前发布,47,"3,917元/平"
碧玉园 3室2厅 南 北,碧玉园 -港口区,3室2厅 | 129.36平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,60,"4,639元/平"
小区位于市区繁华地段，配套齐全,三顺财富中心 -港口区,3室2厅 | 131平米 | 北 | 其他 | 低楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,48.5,"3,703元/平"
此房视野开阔，户型方正，交通便利，采光充足,蓝湾湖畔 -港口区,3室2厅 | 108.51平米 | 北 | 其他 | 低楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,53,"4,885元/平"
值得您看的人气好房，点进去看看先,恒大御景湾 -港口区,3室1厅 | 92.14平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,6人关注 / 10个月以前发布,48.5,"5,264元/平"
国际环球城 3室2厅 南 北,国际环球城 -港口区,3室2厅 | 106平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 8个月以前发布,45,"4,246元/平"
阳光海岸四期三房 高层经典户型 环境优雅 配套齐全,龙光阳光海岸四期 -港口区,3室2厅 | 101平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,56,"5,545元/平"
高楼层，户型通透，采光好，配套成熟，交通便利,龙光阳光海岸四期 -港口区,3室2厅 | 93.18平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,1人关注 / 11个月以前发布,57,"6,118元/平"
此房楼层好，精装修，视野开阔，基础配套齐全,埠上桃源 -港口区,4室2厅 | 130平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,3人关注 / 一年前发布,84.5,"6,500元/平"
金石雅筑  3室2厅2卫   130平,金石雅筑 -港口区,3室2厅 | 130平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,2人关注 / 一年前发布,61,"4,693元/平"
碧玉园 3室2厅 南 北,碧玉园 -港口区,3室2厅 | 129.36平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,60,"4,639元/平"
埠上桃源南北向三居室 业主诚意出售,埠上桃源 -港口区,3室2厅 | 114.24平米 | 东 西 | 毛坯 | 低楼层(共28层)  | 塔楼,3人关注 / 一年前发布,63,"5,515元/平"
瑞海尚都 3室2厅 南 北,瑞海尚都 -港口区,3室2厅 | 115平米 | 南 北 | 其他 | 低楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,55,"4,783元/平"
塞纳庄园户型方正三房一卫...,桂海·塞纳庄园 -港口区,3室2厅 | 85.85平米 | 东 | 简装 | 低楼层(共32层)  | 暂无数据,3人关注 / 4个月以前发布,45,"5,242元/平"
楼层好，视野开阔无遮挡，面向金花茶大道,三顺财富中心 -港口区,3室2厅 | 129.6平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 5个月以前发布,86,"6,636元/平"
户型方正，采光充足，视野宽阔，配套设施齐全,中央第一街 -港口区,4室2厅 | 120平米 | 北 | 其他 | 低楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,50,"4,167元/平"
高楼层，视野宽阔，采光好，出入方便，配套成熟,荣顾公园里 -港口区,4室2厅 | 127.15平米 | 北 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 10个月以前发布,84.65,"6,658元/平"
区三顺 大三房 近步行街 吃喝玩乐一站搞定,三顺财富中心 -港口区,3室2厅 | 125平米 | 北 | 其他 | 高楼层(共31层)  | 塔楼,0人关注 / 5个月以前发布,62.25,"4,980元/平"
海湾公馆 3室2厅 北,海湾公馆 -港口区,3室2厅 | 137.06平米 | 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,6人关注 / 一年前发布,52,"3,794元/平"
此房户型朝南，格局好楼层好，视野开阔,海湾公馆 -港口区,3室2厅 | 132.64平米 | 南 | 其他 | 高楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,67,"5,052元/平"
这个小区的地段好，生活配套成熟齐全，带装修楼层好,三顺财富中心 -港口区,3室2厅 | 124.5平米 | 南 北 | 其他 | 高楼层(共30层)  | 塔楼,0人关注 / 一年前发布,53.6,"4,306元/平"
阳光海岸二期 8栋  看海景 简装 大三房 支持按揭,龙光·阳光海岸二期 -港口区,3室2厅 | 132平米 | 西 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,68,"5,152元/平"
荣顾公园里 3室2厅 南,荣顾公园里 -港口区,3室2厅 | 104平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,71,"6,827元/平"
高楼层毛坯，户型方正，东南向，采光好，视野开阔,瑞海尚都 -港口区,3室2厅 | 129.33平米 | 东 | 毛坯 | 高楼层(共21层)  | 板塔结合,4人关注 / 一年前发布,57,"4,408元/平"
户型方正 中间楼层 采光好 近园博园,桂海世贸广场 -港口区,4室2厅 | 134平米 | 北 | 毛坯 | 中楼层(共31层)  | 塔楼,0人关注 / 6个月以前发布,73,"5,448元/平"
海景三房，东南朝向，得房率高，采光充足,龍正中央海洋公園 -港口区,3室2厅 | 90.52平米 | 东南 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 8个月以前发布,43,"4,751元/平"
格局好视野无遮挡户型方正产权清晰,荣顾公园里 -港口区,3室2厅 | 114.59平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,60,"5,237元/平"
荣华国际新城 3室2厅 北,荣华国际新城 -港口区,3室2厅 | 127平米 | 北 | 其他 | 高楼层(共17层)  | 塔楼,1人关注 / 一年前发布,51,"4,016元/平"
南向小三房，户型方正，中间楼层，无遮挡,荣顾公园里 -港口区,3室2厅 | 104.72平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,79,"7,544元/平"
明珠园 3室2厅 南,明珠园 -港口区,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,62.5,"5,000元/平"
新城国际 4室2厅 南,新城国际 -港口区,4室2厅 | 143.68平米 | 南 | 其他 | 低楼层(共20层)  | 暂无数据,5人关注 / 6个月以前发布,51.5,"3,585元/平"
荣顾公园里 3室2厅 北,荣顾公园里 -港口区,3室2厅 | 114.59平米 | 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 10个月以前发布,73,"6,371元/平"
北部湾大道旁 一公里内白鹭公园 市场,晨华·星园 -港口区,3室2厅 | 102.05平米 | 南 北 东 | 其他 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,45,"4,410元/平"
防城港凤景湾  大四房  精装修,防城港凤景湾 -港口区,4室2厅 | 147.33平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,65,"4,412元/平"
明珠园 大四房毛坯房  中间楼层 采光良好,明珠园 -港口区,4室2厅 | 141平米 | 北 | 其他 | 中楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,77,"5,461元/平"
海湾公馆毛坯三房两卫，税满两年，证在办理中,海湾公馆 -港口区,3室1厅 | 134.35平米 | 东南 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,82.5,"6,141元/平"
楼层好，视野宽阔，采光充足，配套设施齐全,防城港恒大悦珑湾 -港口区,3室2厅 | 104平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,63,"6,058元/平"
一线海景房，毛坯可随意装修，小区内有游乐设施。,龙光阳光海岸四期 -港口区,3室2厅 | 113平米 | 西 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,62,"5,487元/平"
海景房，海景房 大四房，楼层好，诚心出售,龙光·阳光海岸二期 -港口区,4室2厅 | 145.63平米 | 南 | 简装 | 中楼层(共17层)  | 板塔结合,6人关注 / 一年前发布,80,"5,494元/平"
无遮挡看海大三房，格局方正，楼层好，视野采光好,阳光国际 -港口区,3室2厅 | 137.25平米 | 西南 | 其他 | 高楼层(共30层)  | 塔楼,0人关注 / 4个月以前发布,75,"5,465元/平"
南向小三房，户型方正，中间楼层，无遮挡,荣顾公园里 -港口区,3室2厅 | 104.72平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,79,"7,544元/平"
荣顾公园里 3室2厅 北,荣顾公园里 -港口区,3室2厅 | 114.59平米 | 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 10个月以前发布,73,"6,371元/平"
"西湾华庭,三房两卫,朝南户型采光通风好",麒胤·西湾华庭 -港口区,3室2厅 | 129.91平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,2人关注 / 3个月以前发布,40,"3,080元/平"
三房两厅一厨两，电梯房，采光很好,埠上桃源 -港口区,3室2厅 | 103.81平米 | 西北 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 6个月以前发布,73,"7,033元/平"
经典户型，品位装修，拎包入住不二选择,龙光阳光海岸三期 -港口区,3室2厅 | 90.78平米 | 东南 西南 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,50,"5,508元/平"
户型方方正正，景色优美，精装修明亮 户型通风..,龙光阳光海岸四期 -港口区,3室2厅 | 113.05平米 | 东南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,88,"7,785元/平"
此房税满二，楼层好，视野宽广，采光充足,富森领峰 -港口区,3室2厅 | 119.7平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,1人关注 / 5个月以前发布,79,"6,600元/平"
业主目前拥有多处房产，想售出变现！,龙光·阳光海岸二期 -港口区,3室2厅 | 121平米 | 西南 | 其他 | 高楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,73,"6,034元/平"
台湾城 4室2厅 南,台湾城 -港口区,4室2厅 | 140平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,72,"5,143元/平"
精装修，带家具家电出售，南北通透，,恒大御景湾 -港口区,3室2厅 | 125.81平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,100.5,"7,989元/平"
业主急售，户型方正，采光充足，视野宽阔,桂海世贸广场 -港口区,4室2厅 | 115.45平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,2人关注 / 5个月以前发布,57.8,"5,007元/平"
户型方正，采光佳.，得房率高，视野宽阔,博鑫双湾国际 -港口区,3室2厅 | 80.79平米 | 南 | 简装 | 低楼层(共31层)  | 板楼,14人关注 / 一年前发布,30,"3,714元/平"
钻石园地段好，明厨明卫采光好，小区干净整洁,钻石园 -港口区,3室2厅 | 111平米 | 北 | 毛坯 | 中楼层(共38层)  | 板塔结合,0人关注 / 1个月以前发布,49.5,"4,460元/平"
龙光阳光海岸五期 3室2厅 南,龙光阳光海岸五期 -港口区,3室2厅 | 105.63平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 5个月以前发布,48.6,"4,601元/平"
高楼层，小三房。采光充足，视野好,龙光阳光海岸四期 -港口区,3室1厅 | 93.31平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,41,"4,394元/平"
