标题,开发商,房子信息,发布信息,售价/万,单价
此房为毛坯4房 看小区园林 户型很好 楼层好,珠江·云锦 -雁峰区,4室2厅 | 128.22平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,68.8,"5,366元/平"
龙泉国际，电梯四房二厅二 卫，带大阳台，价格优惠，,龙泉国际 -石鼓区,4室2厅 | 185平米 | 东 南 | 精装 | 高楼层(共26层)  | 塔楼,5人关注 / 一年前发布,78.8,"4,260元/平"
华洲佳园南北通透板房园林中间满二年,华洲佳园 -石鼓区,3室2厅 | 139平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,62,"4,461元/平"
十里江湾 .关澜 4房2厅3卫 2梯2户 大型小区,华耀碧桂园十里江湾 -石鼓区,4室2厅 | 166平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,95,"5,723元/平"
青山街3-2-1-2 128.00m² 46.8 万,青山街 -石鼓区,3室2厅 | 128平米 | 东南 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,46.8,"3,657元/平"
湘江百货旁 精装3房2厅2卫1厨 拎包入住,吉祥花苑 -雁峰区,3室2厅 | 132平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,4人关注 / 一年前发布,68.8,"5,213元/平"
白沙洲中、心地段白沙洲广场步梯5楼出售,白沙洲广场 -雁峰区,2室2厅 | 88.6平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,21.8,"2,461元/平"
特变·水木融城 3室2厅 南,特变·水木融城 -蒸湘区,3室2厅 | 85平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 4个月以前发布,61.8,"7,271元/平"
清水毛坯房朝 南带入户花园 高得房率 读书出行方便,珠江·云锦 -雁峰区,4室2厅 | 178.9平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,108,"6,037元/平"
需要大平层带看过来，5000不到买丽天名苑精装5房。,丽天名园 -蒸湘区,5室2厅 | 216.86平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,108,"4,981元/平"
碧桂园十里江湾  精空4室2厅2卫  南北通透,华耀碧桂园十里江湾 -石鼓区,4室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,85,"6,440元/平"
立新大道 荣华花苑 精装4房 拎包入住 满2年,荣华花苑 -蒸湘区,4室2厅 | 142平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,8人关注 / 一年前发布,48.8,"3,437元/平"
雁能领秀天地毛坯复式楼，户型方正，看房方便.,雁能领秀天地 -蒸湘区,4室3厅 | 193平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,4人关注 / 一年前发布,92.8,"4,809元/平"
珠江云锦 大平层 4房 满2年 交通方便,珠江·云锦 -雁峰区,4室2厅 | 178.44平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,98,"5,493元/平"
银泰花苑，业主九成新三房两厅拎包入住,银泰花苑 -雁峰区,3室2厅 | 117.23平米 | 南 北 | 精装 | 低楼层(共9层)  | 暂无数据,1人关注 / 7个月以前发布,59.8,"5,102元/平"
大型小区水木融城  豪 装四房 装修好,特变·水木融城 -蒸湘区,4室2厅 | 134平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,95.8,"7,150元/平"
精装修格局好，采光佳，房龄新，楼下停车场。,金孺大厦 -石鼓区,3室2厅 | 128平米 | 南 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 8个月以前发布,66,"5,157元/平"
园林式小区 带湖景带大游泳池 排球场 小区物业好,雁城国际公馆 -雁峰区,5室2厅 | 144平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,75,"5,209元/平"
御江帝景 一线江景房 毛坯4房 满2年 看房方便,天弘御江帝景 -雁峰区,4室2厅 | 130.6平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,98,"7,504元/平"
合胜广场 3室2厅 南,合胜广场 -蒸湘区,3室2厅 | 114.21平米 | 南 | 毛坯 | 中楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,68.8,"6,024元/平"
此房3室2厅 楼层好 户型通透 采光相当好,七星小区 -雁峰区,3室2厅 | 125.12平米 | 东南 | 毛坯 | 中楼层(共9层)  | 塔楼,1人关注 / 一年前发布,47.8,"3,821元/平"
老城区地段繁华，4居室，价格实惠，生活配套齐。,七星小区 -雁峰区,4室2厅 | 165.25平米 | 南 | 精装 | 中楼层(共9层)  | 塔楼,1人关注 / 一年前发布,67,"4,055元/平"
新桂城毛坯3房2厅1厨2卫 小区绿化美丽,新桂城 -雁峰区,3室2厅 | 143平米 | 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,70,"4,896元/平"
湘江河边七星小区毛坯3房 出售,七星小区 -雁峰区,3室2厅 | 125平米 | 东南 南 | 毛坯 | 中楼层(共9层)  | 塔楼,0人关注 / 一年前发布,45,"3,600元/平"
需要大平层带看过来，5000不到买丽天名苑精装5房。,丽天名园 -蒸湘区,5室2厅 | 216.86平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,108,"4,981元/平"
碧桂园十里江湾  精空4室2厅2卫  南北通透,华耀碧桂园十里江湾 -石鼓区,4室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,85,"6,440元/平"
立新大道 荣华花苑 精装4房 拎包入住 满2年,荣华花苑 -蒸湘区,4室2厅 | 142平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,8人关注 / 一年前发布,48.8,"3,437元/平"
特变·水木融城 3室2厅 南,特变·水木融城 -蒸湘区,3室2厅 | 85平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 4个月以前发布,61.8,"7,271元/平"
清水毛坯房朝 南带入户花园 高得房率 读书出行方便,珠江·云锦 -雁峰区,4室2厅 | 178.9平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,108,"6,037元/平"
嘉华花苑 3室2厅 南,嘉华花苑 -蒸湘区,3室2厅 | 150平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,15人关注 / 一年前发布,41.8,"2,787元/平"
电梯中层 采光好 小区绿化多 产权满两年 配套全！,金河湾·1881 -蒸湘区,4室2厅 | 127.16平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,78,"6,135元/平"
户型好  采光好 朝南 小区环境优美 证满2年,中航·白沙湾 -雁峰区,3室2厅 | 127平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 8个月以前发布,59.8,"4,709元/平"
（雲沙诗意4-2-1-2 140.00m² 77 万）,雲沙诗意 -雁峰区,4室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,3人关注 / 一年前发布,77,"5,500元/平"
阳光金城 4室2厅 南 北,阳光金城 -蒸湘区,4室2厅 | 145.8平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,1人关注 / 4个月以前发布,86.8,"5,954元/平"
棕榈园花园洋房，精装复式5房，9成新，带院子,棕榈園 -蒸湘区,5室3厅 | 126平米 | 南 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,148,"11,747元/平"
蒸湘区万达旁创发城 电梯四房 有证可按揭,创发城1938 -蒸湘区,4室2厅 | 129平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,70,"5,427元/平"
億豪名園 3室2厅 东南,億豪名園 -雁峰区,3室2厅 | 119.8平米 | 东南 | 毛坯 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,55.8,"4,658元/平"
蒸湘区 立新复式4房 精装修 1楼带煤房 带80平大露台,立新二社区 -蒸湘区,4室2厅 | 202.86平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,17人关注 / 7个月以前发布,41,"2,022元/平"
沿江北路全新江景房 毛坯房出售 19楼 正对江景,龙庭水岸 -石鼓区,3室2厅 | 124.73平米 | 东南 | 毛坯 | 中楼层(共28层)  | 板塔结合,1人关注 / 6个月以前发布,54.8,"4,394元/平"
美美世界 精装3房 业主全新装修未入住 朝南户型,美美世界 -雁峰区,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,66,"7,416元/平"
房子是一楼的，看房方便。红本在手诚心出售,香江水岸新城 -蒸湘区,5室3厅 | 207平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,178,"8,600元/平"
烟草局家属房，自带中 央空调，业主诚心出售看房方便,和馨苑 -蒸湘区,4室2厅 | 198平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,3人关注 / 4个月以前发布,140,"7,071元/平"
融冠水映豪廷 原业主精装3房 拎包入住 满2年,融冠·水映豪庭 -蒸湘区,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,99,"7,444元/平"
冠都现代城 全新精装3房2厅 可按揭 停车方便,冠都现代城A1区 -蒸湘区,3室2厅 | 103平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,56.8,"5,515元/平"
冠都现代城A1区 户型方正 南北通透 *大花园,冠都现代城A1区 -蒸湘区,5室3厅 | 280平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,20人关注 / 一年前发布,81.8,"2,922元/平"
珠江云锦 大平层 4房 满2年 交通方便,珠江·云锦 -雁峰区,4室2厅 | 178.44平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,98,"5,493元/平"
银泰花苑，业主九成新三房两厅拎包入住,银泰花苑 -雁峰区,3室2厅 | 117.23平米 | 南 北 | 精装 | 低楼层(共9层)  | 暂无数据,1人关注 / 7个月以前发布,59.8,"5,102元/平"
大型小区水木融城  豪 装四房 装修好,特变·水木融城 -蒸湘区,4室2厅 | 134平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,95.8,"7,150元/平"
白沙洲中、心地段白沙洲广场步梯5楼出售,白沙洲广场 -雁峰区,2室2厅 | 88.6平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,21.8,"2,461元/平"
南北通透三房，健康楼层。拎包入住,钻石城 -蒸湘区,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,65,"5,159元/平"
湘江百货旁 精装3房2厅2卫1厨 拎包入住,吉祥花苑 -雁峰区,3室2厅 | 132平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,4人关注 / 一年前发布,68.8,"5,213元/平"
中泰峰境 一梯一户 南北通透 原房东精装 满二,中泰·峰境 -蒸湘区,4室2厅 | 168.14平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 5个月以前发布,112,"6,662元/平"
雁峰区政府旁  新桂城  复式楼    已满2年,新桂城 -雁峰区,5室3厅 | 258平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,130,"5,039元/平"
华新  九里晴川  118平方 精装修 3房 出售,九里晴川 -蒸湘区,4室2厅 | 118平米 | 东南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 10个月以前发布,65,"5,509元/平"
立新大道 荣华花苑 精装4房 拎包入住 满2年,荣华花苑 -蒸湘区,4室2厅 | 142平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,8人关注 / 一年前发布,48.8,"3,437元/平"
雁能领秀天地毛坯复式楼，户型方正，看房方便.,雁能领秀天地 -蒸湘区,4室3厅 | 193平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,4人关注 / 一年前发布,92.8,"4,809元/平"
新桂城毛坯3房2厅2卫1厨 小区绿化美丽,新桂城 -雁峰区,3室2厅 | 128.83平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,63.8,"4,953元/平"
衡阳碧桂园 三房 通透户型 不动产证满两年 带大平台,衡阳碧桂园 -雁峰区,3室2厅 | 117.43平米 | 南 北 | 精装 | 低楼层(共32层)  | 暂无数据,6人关注 / 一年前发布,63.8,"5,434元/平"
（保卫里步梯一楼3-2-1-1 67.90m² 17.8 万）,保卫里 -珠晖区,3室2厅 | 67.9平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,29.8,"4,389元/平"
盛世家园一线江景电梯精装修3房。拎包入住,盛世嘉园 -珠晖区,3室2厅 | 128平米 | 南 | 简装 | 高楼层(共25层)  | 塔楼,0人关注 / 8个月以前发布,61.95,"4,840元/平"
蒸湘区万达旁创发城 电梯四房 有证可按揭,创发城1938 -蒸湘区,4室2厅 | 129平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,70,"5,427元/平"
沿江北路全新江景房 毛坯房出售 19楼 正对江景,龙庭水岸 -石鼓区,3室2厅 | 124.73平米 | 东南 | 毛坯 | 中楼层(共28层)  | 板塔结合,1人关注 / 6个月以前发布,54.8,"4,394元/平"
冠都现代城A1区 户型方正 南北通透 *大花园,冠都现代城A1区 -蒸湘区,5室3厅 | 280平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,20人关注 / 一年前发布,81.8,"2,922元/平"
億豪名園 3室2厅 东南,億豪名園 -雁峰区,3室2厅 | 119.8平米 | 东南 | 毛坯 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,55.8,"4,658元/平"
蒸湘区 立新复式4房 精装修 1楼带煤房 带80平大露台,立新二社区 -蒸湘区,4室2厅 | 202.86平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,17人关注 / 7个月以前发布,41,"2,022元/平"
户型好  采光好 朝南 小区环境优美 证满2年,中航·白沙湾 -雁峰区,3室2厅 | 127平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 8个月以前发布,59.8,"4,709元/平"
美美世界 精装3房 业主全新装修未入住 朝南户型,美美世界 -雁峰区,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,66,"7,416元/平"
（雲沙诗意4-2-1-2 140.00m² 77 万）,雲沙诗意 -雁峰区,4室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,3人关注 / 一年前发布,77,"5,500元/平"
房子是一楼的，看房方便。红本在手诚心出售,香江水岸新城 -蒸湘区,5室3厅 | 207平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,178,"8,600元/平"
烟草局家属房，自带中 央空调，业主诚心出售看房方便,和馨苑 -蒸湘区,4室2厅 | 198平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,3人关注 / 4个月以前发布,140,"7,071元/平"
融冠水映豪廷 原业主精装3房 拎包入住 满2年,融冠·水映豪庭 -蒸湘区,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,99,"7,444元/平"
阳光金城 4室2厅 南 北,阳光金城 -蒸湘区,4室2厅 | 145.8平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,1人关注 / 4个月以前发布,86.8,"5,954元/平"
冠都现代城 全新精装3房2厅 可按揭 停车方便,冠都现代城A1区 -蒸湘区,3室2厅 | 103平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,56.8,"5,515元/平"
棕榈园花园洋房，精装复式5房，9成新，带院子,棕榈園 -蒸湘区,5室3厅 | 126平米 | 南 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,148,"11,747元/平"
南北通透，拧包入住，房东诚心出售,融冠乐城 -蒸湘区,5室2厅 | 136.28平米 | 南 北 | 精装 | 高楼层(共34层)  | 暂无数据,2人关注 / 6个月以前发布,105.8,"7,764元/平"
雁峰区政府旁 碧桂园 毛坯3房 满2年 价格实惠,衡阳碧桂园 -雁峰区,3室2厅 | 112平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,5人关注 / 一年前发布,53.8,"4,804元/平"
云沙诗意 江景精装4房 南北通透 价格实惠,雲沙诗意 -雁峰区,4室2厅 | 169平米 | 南 北 | 精装 | 低楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,95.8,"5,669元/平"
小区是楼梯房，楼层好，不要爬很高，房子保养的很好,中信花苑鸿禧楼 -蒸湘区,3室2厅 | 140平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,63,"4,500元/平"
"房东诚意出售此房,房东好沟通!",国泰城 -石鼓区,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,60.8,"4,826元/平"
新盛花园 单价5300 精装四房 9成新 材料都是国际品牌,新盛花园 -蒸湘区,4室2厅 | 178.4平米 | 南 北 | 精装 | 高楼层(共26层)  | 暂无数据,8人关注 / 7个月以前发布,92.8,"5,202元/平"
华新蒸水河 星美新外滩毛坯四房带入户花园 南北通透,星美新外滩 -蒸湘区,3室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,1人关注 / 5个月以前发布,78,"5,572元/平"
蒸湘万达旁，大型小区南北通透大四房，户型方正视野好,创发城1938 -蒸湘区,4室2厅 | 130.53平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,76,"5,823元/平"
江洲花园 一线江景房 梦里的水乡,江洲花园 -雁峰区,3室2厅 | 159平米 | 北 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,85,"5,346元/平"
雁能领秀天地 5室2厅 南,雁能领秀天地 -蒸湘区,5室2厅 | 197平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,105,"5,330元/平"
金河湾1881 复式房四房两厅两卫 证在手可按揭,金河湾·1881 -蒸湘区,4室2厅 | 137平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,1人关注 / 9个月以前发布,79.8,"5,825元/平"
名仕华府 4室2厅 南 北,名仕华府 -蒸湘区,4室2厅 | 155平米 | 南 北 | 精装 | 中楼层(共19层)  | 暂无数据,0人关注 / 3个月以前发布,95,"6,130元/平"
沐林美郡北区 4室2厅 东南,沐林美郡北区 -蒸湘区,4室2厅 | 142.9平米 | 东南 | 精装 | 低楼层(共25层)  | 暂无数据,1人关注 / 4个月以前发布,82.8,"5,795元/平"
山水华苑 139平 3房2厅2卫 精装 家电齐全,山水华苑 -蒸湘区,3室2厅 | 139.32平米 | 南 北 | 精装 | 高楼层(共16层)  | 暂无数据,0人关注 / 6个月以前发布,73.8,"5,298元/平"
天弘御江帝景 4室2厅 南,天弘御江帝景 -雁峰区,4室2厅 | 154.24平米 | 南 | 精装 | 低楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,128,"8,299元/平"
雁峰区湘江南路千吨级码头旁东洲花苑电梯房出售,东洲花苑 -雁峰区,2室2厅 | 100平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,53.8,"5,380元/平"
曲兰庭院 复式精装3室 30平阳光平台,曲兰庭苑 -蒸湘区,3室2厅 | 137平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,59.8,"4,365元/平"
冠都现代城A1区 户型方正 南北通透 *大花园,冠都现代城A1区 -蒸湘区,5室3厅 | 280平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,20人关注 / 一年前发布,81.8,"2,922元/平"
沿江北路全新江景房 毛坯房出售 19楼 正对江景,龙庭水岸 -石鼓区,3室2厅 | 124.73平米 | 东南 | 毛坯 | 中楼层(共28层)  | 板塔结合,1人关注 / 6个月以前发布,54.8,"4,394元/平"
户型好  采光好 朝南 小区环境优美 证满2年,中航·白沙湾 -雁峰区,3室2厅 | 127平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 8个月以前发布,59.8,"4,709元/平"
蒸湘区万达旁创发城 电梯四房 有证可按揭,创发城1938 -蒸湘区,4室2厅 | 129平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,70,"5,427元/平"
億豪名園 3室2厅 东南,億豪名園 -雁峰区,3室2厅 | 119.8平米 | 东南 | 毛坯 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,55.8,"4,658元/平"
蒸湘区 立新复式4房 精装修 1楼带煤房 带80平大露台,立新二社区 -蒸湘区,4室2厅 | 202.86平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,17人关注 / 7个月以前发布,41,"2,022元/平"
美美世界 精装3房 业主全新装修未入住 朝南户型,美美世界 -雁峰区,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,66,"7,416元/平"
（雲沙诗意4-2-1-2 140.00m² 77 万）,雲沙诗意 -雁峰区,4室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,3人关注 / 一年前发布,77,"5,500元/平"
棕榈园花园洋房，精装复式5房，9成新，带院子,棕榈園 -蒸湘区,5室3厅 | 126平米 | 南 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,148,"11,747元/平"
冠都现代城 全新精装3房2厅 可按揭 停车方便,冠都现代城A1区 -蒸湘区,3室2厅 | 103平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,56.8,"5,515元/平"
房子是一楼的，看房方便。红本在手诚心出售,香江水岸新城 -蒸湘区,5室3厅 | 207平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,178,"8,600元/平"
烟草局家属房，自带中 央空调，业主诚心出售看房方便,和馨苑 -蒸湘区,4室2厅 | 198平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,3人关注 / 4个月以前发布,140,"7,071元/平"
融冠水映豪廷 原业主精装3房 拎包入住 满2年,融冠·水映豪庭 -蒸湘区,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,99,"7,444元/平"
阳光金城 4室2厅 南 北,阳光金城 -蒸湘区,4室2厅 | 145.8平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,1人关注 / 4个月以前发布,86.8,"5,954元/平"
南北通透三房，健康楼层。拎包入住,钻石城 -蒸湘区,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,65,"5,159元/平"
嘉华花苑 3室2厅 南,嘉华花苑 -蒸湘区,3室2厅 | 150平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,15人关注 / 一年前发布,41.8,"2,787元/平"
电梯中层 采光好 小区绿化多 产权满两年 配套全！,金河湾·1881 -蒸湘区,4室2厅 | 127.16平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,78,"6,135元/平"
南华大学 步梯大四房 黎閣園 满二房,黎閣園 -蒸湘区,3室2厅 | 120平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,39.8,"3,317元/平"
盛世家园一线江景电梯精装修3房。拎包入住,盛世嘉园 -珠晖区,3室2厅 | 128平米 | 南 | 简装 | 高楼层(共25层)  | 塔楼,0人关注 / 8个月以前发布,61.95,"4,840元/平"
船山东路   交通出行方便 大三房原房东装修,怡虹花苑 -珠晖区,5室2厅 | 156平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,56.8,"3,642元/平"
（保卫里步梯一楼3-2-1-1 67.90m² 17.8 万）,保卫里 -珠晖区,3室2厅 | 67.9平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,29.8,"4,389元/平"
（盛世嘉园3-2-1-2 132.80m² 66.8 万）,盛世嘉园 -珠晖区,3室2厅 | 132.8平米 | 东南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 9个月以前发布,62.8,"4,729元/平"
珠江帝景山莊 4室2厅 南 北,珠江帝景山莊 -石鼓区,4室2厅 | 145.5平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,68,"4,674元/平"
山水华庭   毛坯四房   户型南北通透,山水华庭 -蒸湘区,3室2厅 | 134平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,3人关注 / 一年前发布,85,"6,344元/平"
华新 毛坯现房3室2厅2卫 户型好 环境优美,星悦湾 -蒸湘区,3室2厅 | 105平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 4个月以前发布,60,"5,715元/平"
家属房，广顺苑步梯低楼层，3房2厅2卫，带院子,广顺苑 -蒸湘区,3室2厅 | 143平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,56,"3,917元/平"
珠江帝景山莊 4室2厅 南 北,珠江帝景山莊 -石鼓区,4室2厅 | 145.5平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,68,"4,674元/平"
一手业主红本在手看房自己在住的房子，价格便宜,迎龙银港小区 -蒸湘区,3室2厅 | 144.38平米 | 南 北 | 精装 | 高楼层(共13层)  | 暂无数据,2人关注 / 9个月以前发布,82.8,"5,735元/平"
碧桂园 五星物业 雁峰区政府旁 交通便利,衡阳碧桂园 -雁峰区,3室2厅 | 131平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,7人关注 / 一年前发布,58,"4,428元/平"
衡阳名郡电梯中层精装三房诚意出售,衡阳名郡 -蒸湘区,3室2厅 | 109平米 | 东 东南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,64.8,"5,945元/平"
雁峰区 金钟时代城 大型园林小区 南北通透 配套成熟,金钟时代城 -雁峰区,3室2厅 | 121.31平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,72,"5,936元/平"
碧桂园盛棠 大四房全新毛坯 南北通透 房东诚心卖,碧桂园盛棠 -蒸湘区,4室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 1个月以前发布,69.8,"4,882元/平"
亚丽大厦 3室2厅 南 北,亚丽大厦 -石鼓区,3室2厅 | 107平米 | 南 北 | 简装 | 高楼层(共9层)  | 暂无数据,1人关注 / 5个月以前发布,26.8,"2,505元/平"
晶珠商圈 凯旋豪廷精装3室2厅2卫 视野开阔 满2,凯旋豪庭 -蒸湘区,3室2厅 | 122平米 | 北 | 精装 | 高楼层(共25层)  | 板塔结合,1人关注 / 2个月以前发布,61.8,"5,066元/平"
沐林美郡北区 4室2厅 东南,沐林美郡北区 -蒸湘区,4室2厅 | 142平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,98,"6,902元/平"
碧桂园联排别墅带291平方前后花园产证满2带一个露天台,衡阳碧桂园 -雁峰区,6室2厅 | 258平米 | 南 | 毛坯 | 3层  | 暂无数据 | 双拼别墅 ,1人关注 / 11个月以前发布,300,"11,628元/平"
