标题,开发商,房子信息,发布信息,售价/万,单价
建发品质 新中式风格小区  温馨三房两厅两卫,建发中泱天成 -洛江区,3室2厅 | 89.94平米 | 南 北 | 简装 | 中楼层(共26层)  | 暂无数据,3人关注 / 8个月以前发布,160,"17,790元/平"
产权在满2年，在手，看房钥匙在手,晋江溜霞花园 -泉州桥南,4室2厅 | 166.7平米 | 东南 | 毛坯 | 中楼层(共20层)  | 板楼,0人关注 / 8个月以前发布,200,"11,998元/平"
朝南户型，采光通风良好，价格合理,东海湾御花园 -东海,4室1厅 | 137.28平米 | 南 | 毛坯 | 低楼层(共37层)  | 板楼,23人关注 / 11个月以前发布,378,"27,535元/平"
紫晋城高层东边套，优美景观，改善户型！,龙湖嘉天下紫晋城 -池店南,4室2厅 | 134.25平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,275,"20,485元/平"
桥南海丝景城高楼层 置换出售 产权满，坐北朝南,海丝景城 -泉州桥南,3室2厅 | 139.27平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,6人关注 / 10个月以前发布,185,"13,284元/平"
产权满2年，房东诚意出售，东边套大4房,西宅小区 -泉州桥南,4室2厅 | 158.56平米 | 东南 | 毛坯 | 低楼层(共25层)  | 板塔结合,6人关注 / 10个月以前发布,165,"10,407元/平"
交通便利，配套齐，十分双万达。,龙湖嘉天下紫晋城 -池店南,4室2厅 | 138.23平米 | 东 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 6个月以前发布,317.5,"22,969元/平"
繁华地段小区自带泳池中高层三房空户多年品牌家电,百捷中央墅府 -泉州桥南,3室2厅 | 109.24平米 | 东南 南 | 精装 | 高楼层(共25层)  | 板楼,3人关注 / 5个月以前发布,284,"25,998元/平"
小米时代 3室1厅 东南,小米时代 -洛江区,3室1厅 | 115.75平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板楼,2人关注 / 5个月以前发布,120,"10,368元/平"
"东海湾文园,朝南,毛坯大三房,稳定出售",东海湾文园 -东海,3室2厅 | 143.67平米 | 东南 | 毛坯 | 中楼层(共29层)  | 塔楼,1人关注 / 8个月以前发布,285,"19,838元/平"
中骏四季康城一期，大三房117平坐北朝南。前后阳台,中骏四季康城1期 -南环路,3室1厅 | 117.48平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,4人关注 / 7个月以前发布,105,"8,938元/平"
业主急售！毛坯容易选择自己喜欢的风格装修！,百信御江帝景二期 -泉州桥南,4室2厅 | 130.78平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,308,"23,552元/平"
刺桐大桥中骏四季花城3房精装修160万拎包入住,中骏四季花城 -泉州桥南,3室2厅 | 85.99平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,3人关注 / 一年前发布,158,"18,375元/平"
方正户型，产权满，高楼层电梯4户,卓辉海港城 -泉州桥南,3室1厅 | 106平米 | 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,240,"22,642元/平"
上实三房，诚意出售，看房方便，视野开阔，采光好,海上海领海苑 -东海,3室1厅 | 96平米 | 东南 | 简装 | 低楼层(共40层)  | 板楼,1人关注 / 5个月以前发布,280,"29,167元/平"
兰峰城市花园优质房诚意出售。。,兰峰城市花园 -SM广场,3室2厅 | 106.44平米 | 南 北 | 精装 | 中楼层(共9层)  | 板塔结合,27人关注 / 一年前发布,143,"13,435元/平"
海港城，看江小三房，诚意出售，,卓辉海港城 -泉州桥南,3室2厅 | 88.19平米 | 东南 西南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,188,"21,318元/平"
精装配置，无入住过，现在要置换,百信御江帝景太阳城 -泉州桥南,3室2厅 | 101.07平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,9人关注 / 9个月以前发布,225,"22,262元/平"
百捷 公园边|业主诚意出售|采光好,中央公园首府 -泉州桥南,3室2厅 | 120.19平米 | 东 | 简装 | 低楼层(共32层)  | 塔楼,0人关注 / 11个月以前发布,245,"20,385元/平"
格林春天毛坯边套四房 南北通透带拐角阳台,浔兴格林春天 -晋江万达,4室2厅 | 142.87平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,9人关注 / 8个月以前发布,275.74,"19,301元/平"
泉州老城区地段，生活便利，户型方正配套齐全,伍堡燃料公司宿舍 -涂门街,3室2厅 | 88.8平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 4个月以前发布,150,"16,892元/平"
桂馥苑小区，三房两厅，朝南，自住装修，干净整洁温馨,桂馥苑 -晋江万达,3室2厅 | 129.79平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 9个月以前发布,198.5,"15,294元/平"
市步行街均价7700/平 大4房2厅2卫 诚心出售,石狮市步行街 -石狮中心,4室2厅 | 177.5平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 一年前发布,125,"7,043元/平"
百捷·中央公园御府 3室1厅 南,百捷·中央公园御府 -泉州桥南,3室1厅 | 100平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,245,"24,500元/平"
城东百德康桥假日精装3房+一书房出售183万,百德康桥假日 -石狮中心,3室2厅 | 152.86平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,176,"11,514元/平"
紫云庭 3室2厅 东 东南,紫云庭 -紫帽镇,3室2厅 | 111.59平米 | 东 东南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,190,"17,027元/平"
百信御江帝景太阳城 4室2厅 东南,百信御江帝景太阳城 -泉州桥南,4室2厅 | 142.49平米 | 东南 | 毛坯 | 高楼层(共22层)  | 塔楼,3人关注 / 5个月以前发布,320,"22,458元/平"
桥南百捷华府精装复式三房诚意出售。,百捷中央公园华府 -泉州桥南,3室2厅 | 134.76平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 11个月以前发布,255,"18,923元/平"
百盛园 4室2厅 东南,百盛园 -浮桥,4室2厅 | 131.48平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板塔结合,1人关注 / 4个月以前发布,252,"19,167元/平"
四季花城一期三房，居家装修，出售，看房方便,中骏四季花城 -泉州桥南,3室2厅 | 86平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,11人关注 / 一年前发布,153,"17,791元/平"
沿江新小区，环境好，边套三面采光，东北朝向,茂诚皇江御景 -浮桥,4室2厅 | 140.83平米 | 东北 | 毛坯 | 低楼层(共31层)  | 暂无数据,5人关注 / 一年前发布,260,"18,462元/平"
中骏四季花城 精装3房 朝南户型,中骏四季花城 -泉州桥南,3室2厅 | 84.78平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,155,"18,283元/平"
出售城东大平层176平4室2厅2卫户型漂亮视野好可看海,畔山云海 -石狮中心,4室2厅 | 175.24平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,230,"13,125元/平"
此房楼层好，视野宽阔，配套设施齐全，交通便利。,浔兴格林春天 -晋江万达,3室2厅 | 94.75平米 | 东南 | 精装 | 高楼层(共34层)  | 板楼,7人关注 / 6个月以前发布,198,"20,898元/平"
蓝郡国际 正规四房 户型通透 产权满,蓝郡国际 -台商投资区,4室2厅 | 147.57平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 塔楼,2人关注 / 7个月以前发布,137,"9,284元/平"
泉州老城区地段，生活便利，户型方正配套齐全,伍堡燃料公司宿舍 -涂门街,3室2厅 | 88.8平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 4个月以前发布,150,"16,892元/平"
桂馥苑小区，三房两厅，朝南，自住装修，干净整洁温馨,桂馥苑 -晋江万达,3室2厅 | 129.79平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 9个月以前发布,198.5,"15,294元/平"
桥南百捷华府精装复式三房诚意出售。,百捷中央公园华府 -泉州桥南,3室2厅 | 134.76平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 11个月以前发布,255,"18,923元/平"
百盛园 4室2厅 东南,百盛园 -浮桥,4室2厅 | 131.48平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板塔结合,1人关注 / 4个月以前发布,252,"19,167元/平"
四季花城一期三房，居家装修，出售，看房方便,中骏四季花城 -泉州桥南,3室2厅 | 86平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,11人关注 / 一年前发布,153,"17,791元/平"
市步行街均价7700/平 大4房2厅2卫 诚心出售,石狮市步行街 -石狮中心,4室2厅 | 177.5平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 一年前发布,125,"7,043元/平"
城东百德康桥假日精装3房+一书房出售183万,百德康桥假日 -石狮中心,3室2厅 | 152.86平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,176,"11,514元/平"
百捷·中央公园御府 3室1厅 南,百捷·中央公园御府 -泉州桥南,3室1厅 | 100平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,245,"24,500元/平"
百信御江帝景太阳城 4室2厅 东南,百信御江帝景太阳城 -泉州桥南,4室2厅 | 142.49平米 | 东南 | 毛坯 | 高楼层(共22层)  | 塔楼,3人关注 / 5个月以前发布,320,"22,458元/平"
紫云庭 3室2厅 东 东南,紫云庭 -紫帽镇,3室2厅 | 111.59平米 | 东 东南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,190,"17,027元/平"
中骏四季花城2期 小区绿化好 带游泳池 交通便利,中骏四季花城2期 -泉州桥南,3室2厅 | 86.64平米 | 东 | 简装 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,175,"20,199元/平"
新天商圈一线江景房 交通购物方便 随时看房,百盛园 -浮桥,4室2厅 | 134.1平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,2人关注 / 10个月以前发布,252,"18,792元/平"
洛江区政府旁边，经典三房两卫，总价低，110万,万荣公寓 -洛江区,3室2厅 | 91.22平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,115,"12,607元/平"
洛江区阳光国际广场小三房彩光视野好 楼下就是商场,阳光国际广场 -洛江区,3室2厅 | 85.58平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,158,"18,463元/平"
中骏四季家园 3室1厅 南,中骏四季家园 -南安中心,3室1厅 | 135.63平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 7个月以前发布,165,"12,166元/平"
大江盛世C区 3室2厅 东南,大江盛世C区 -洛江区,3室2厅 | 127.61平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 9个月以前发布,265,"20,767元/平"
陈普佳苑 3室1厅 南 西南,陈普佳苑 -宝龙广场,3室1厅 | 117.97平米 | 南 西南 | 简装 | 低楼层(共23层)  | 暂无数据,2人关注 / 8个月以前发布,170,"14,411元/平"
点：采光很好，全明结构，南北朝向 交通便利视野开阔,三青现代城 -泉港区,3室2厅 | 146.32平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,52,"3,554元/平"
万达广场，小户型三房，高层带装修，诚意出售,万达华府E区 -晋江万达,3室2厅 | 79.61平米 | 西北 | 精装 | 高楼层(共32层)  | 板楼,5人关注 / 4个月以前发布,215,"27,007元/平"
圣湖旁边 电梯大三房 南北朝向,毅达大厦 -丰泽街,3室2厅 | 143平米 | 南 北 | 简装 | 低楼层(共11层)  | 塔楼,0人关注 / 2个月以前发布,338,"23,637元/平"
电梯房大四房毛坯证满可以看房方便看洛阳江,蓝郡国际 -台商投资区,4室2厅 | 146.91平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,0人关注 / 8个月以前发布,135,"9,190元/平"
此房满两年 采光充足 南北朝向 楼层在中层 配套成熟,蓝海国际 -泉港区,3室2厅 | 127.61平米 | 南 | 毛坯 | 低楼层(共22层)  | 板楼,1人关注 / 一年前发布,41,"3,213元/平"
格林春天 正规大四房 看八仙山,浔兴格林春天 -晋江万达,4室1厅 | 143.63平米 | 南 | 毛坯 | 低楼层(共37层)  | 板楼,0人关注 / 4个月以前发布,261,"18,172元/平"
锦塘雅苑南区 3室2厅 南,锦塘雅苑南区 -晋江万达,3室2厅 | 138.35平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,180,"13,011元/平"
时代华庭 3室2厅 南,时代华庭 -泉秀街,3室2厅 | 128.39平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,282,"21,965元/平"
实验陪读房，电梯高层，三面采光带入户花园，诚意出售,国际星城 -丰泽街,3室2厅 | 129.48平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,415,"32,052元/平"
此房证满2年，户型好， 采光楼层好 另外加几平的阳台,大江盛世A区 -洛江区,3室2厅 | 88.27平米 | 东南 | 简装 | 中楼层(共13层)  | 板楼,0人关注 / 5个月以前发布,158,"17,900元/平"
惠安县禹州城市广场一期温莎公馆,禹洲温莎公馆 -惠安县,3室2厅 | 120.01平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,4人关注 / 一年前发布,104,"8,666元/平"
蓝海国际 3室2厅 南,蓝海国际 -泉港区,3室2厅 | 121.6平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,2人关注 / 8个月以前发布,38.8,"3,191元/平"
聚龙小镇 陶然新村 诚意出售，看房方便,陶然新村 -惠安县,2室3厅 | 130.43平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,102,"7,821元/平"
世茂凯撒岛产证面积116使用160平，中高层，视线采光,世茂御龙湾凯撒岛 -晋江万达,3室2厅 | 116.27平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,185,"15,912元/平"
前看海，左看四朵金花，优质四房,万科城市之光一期 -东海,4室2厅 | 126.75平米 | 东南 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 4个月以前发布,363,"28,640元/平"
南北朝向，地段繁华，农贸市场，户型方正，楼中楼,锦祥社区 -泉港区,6室2厅 | 269.95平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,78,"2,890元/平"
采光很好，全明结构南北朝向交通便利视野开阔无遮挡.,领第第一广场 -泉港区,3室2厅 | 97.98平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 6个月以前发布,58,"5,920元/平"
东海湾碧桂园天玺湾，看中庭四房出售！,碧桂园天玺湾 -东海,4室2厅 | 119.75平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,348,"29,061元/平"
百宏御景天下160平，四加1书房，三个阳台，好户型,百宏御璟天下 -晋江万达,4室2厅 | 160.36平米 | 东南 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,1人关注 / 4个月以前发布,322,"20,080元/平"
毛坯房，闹中取静 静享诗意生活,陶然居二期 -惠安县,2室2厅 | 85.66平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,63,"7,355元/平"
南益鲤景湾江苑 4室2厅 东南,南益鲤景湾江苑 -浮桥,4室2厅 | 138.99平米 | 东南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,305,"21,945元/平"
"东海湾大三房,适合刚需改善,诚意出售.",东海湾雅园 -东海,3室2厅 | 134.43平米 | 北 | 简装 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,248,"18,449元/平"
聚龙福缘居 生活出入便利 好楼层好户型 三房低价出售,聚龙福缘居 -惠安县,3室1厅 | 87.44平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 4个月以前发布,63,"7,205元/平"
南北朝向，格局好，加装电梯七楼，不是顶楼,后坂裕达小区 -丰泽街,4室2厅 | 126.24平米 | 东北 | 简装 | 高楼层(共8层)  | 板楼,9人关注 / 一年前发布,255,"20,200元/平"
聚龙福缘居 2室2厅 南 北,聚龙福缘居 -惠安县,2室2厅 | 87.44平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 9个月以前发布,63,"7,205元/平"
楼梯中层，2房2厅1厨1卫，看房方便，交通便捷,义全街北段 -涂门街,2室2厅 | 81.6平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,210,"25,736元/平"
禹洲三期，127平4房2厅2卫1厨，毛坯，出售110万,禹洲·海德堡 -惠安县,4室2厅 | 126.26平米 | 东南 | 毛坯 | 高楼层(共34层)  | 暂无数据,3人关注 / 9个月以前发布,110,"8,713元/平"
此房在领第广场，地段好，采光户型好,领第第一广场 -泉港区,4室2厅 | 139平米 | 东南 | 毛坯 | 中楼层(共14层)  | 板塔结合,9人关注 / 7个月以前发布,53,"3,813元/平"
中奥名雅居 边套 正规三房 三面采光,中奥名雅居 -宝龙广场,3室2厅 | 114.36平米 | 东南 | 简装 | 27层  | 板塔结合,0人关注 / 6个月以前发布,215,"18,801元/平"
海天广场，采光好，证满2年，税收少，房东诚意出售。,海天广场 -泉港区,3室2厅 | 132.93平米 | 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,47.9,"3,604元/平"
国际星城，小区中庭 边套 4室2厅.南通北透,国际星城 -丰泽街,4室2厅 | 148.16平米 | 南 | 简装 | 低楼层(共14层)  | 塔楼,2人关注 / 一年前发布,445,"30,036元/平"
东海湾新小区朝南户型， 国企开发 品质可靠,海上海领海苑 -东海,3室2厅 | 126.71平米 | 南 | 毛坯 | 高楼层(共40层)  | 板楼,9人关注 / 一年前发布,390,"30,779元/平"
电梯房大四房毛坯证满可以看房方便看洛阳江,蓝郡国际 -台商投资区,4室2厅 | 146.91平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,0人关注 / 8个月以前发布,135,"9,190元/平"
此房满两年 采光充足 南北朝向 楼层在中层 配套成熟,蓝海国际 -泉港区,3室2厅 | 127.61平米 | 南 | 毛坯 | 低楼层(共22层)  | 板楼,1人关注 / 一年前发布,41,"3,213元/平"
时代华庭 3室2厅 南,时代华庭 -泉秀街,3室2厅 | 128.39平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,282,"21,965元/平"
格林春天 正规大四房 看八仙山,浔兴格林春天 -晋江万达,4室1厅 | 143.63平米 | 南 | 毛坯 | 低楼层(共37层)  | 板楼,0人关注 / 4个月以前发布,261,"18,172元/平"
蓝海国际123.00m²高层。 44.5 万,蓝海国际 -泉港区,3室2厅 | 122.66平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板楼,0人关注 / 一年前发布,46,"3,751元/平"
庄园华都国际175平大三房，三个大阳台，,庄园华都国际 -泉港区,3室2厅 | 175.87平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,122,"6,937元/平"
万达旁，中间楼层，看房方便，诚意出售。,宝洲花苑 -万达,3室2厅 | 123.68平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,222,"17,950元/平"
泉州晋江 安海 恒隆国际花园 小三房 房东诚意出售,恒隆国际花园 -安海镇,3室2厅 | 90.48平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,97,"10,721元/平"
高层采光视野通风好，格局方正，交通便利。,御龙湾曼哈顿第九湾区 -晋江万达,4室2厅 | 154.79平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,214,"13,826元/平"
实验陪读房，电梯高层，三面采光带入户花园，诚意出售,国际星城 -丰泽街,3室2厅 | 129.48平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,415,"32,052元/平"
南北朝向，格局好，加装电梯七楼，不是顶楼,后坂裕达小区 -丰泽街,4室2厅 | 126.24平米 | 东北 | 简装 | 高楼层(共8层)  | 板楼,9人关注 / 一年前发布,255,"20,200元/平"
时代华庭 3室2厅 南,时代华庭 -泉秀街,3室2厅 | 128.39平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,282,"21,965元/平"
格林春天 正规大四房 看八仙山,浔兴格林春天 -晋江万达,4室1厅 | 143.63平米 | 南 | 毛坯 | 低楼层(共37层)  | 板楼,0人关注 / 4个月以前发布,261,"18,172元/平"
采光很好，全明结构采光很好视野开阔无遮挡,泉港莊園明珠 -泉港区,3室1厅 | 98平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,1人关注 / 6个月以前发布,69.8,"7,123元/平"
东海湾御花园 3室1厅 东南 南,东海湾御花园 -东海,3室1厅 | 112.8平米 | 东南 南 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,330,"29,256元/平"
世纪星城  3房2厅2卫 中间楼层 证满 在手  交易方便,世纪星城 -惠安县,3室2厅 | 107.4平米 | 东南 | 简装 | 高楼层(共18层)  | 暂无数据,11人关注 / 一年前发布,145,"13,501元/平"
邮电新村南区，南北朝向，采光通透，储藏间16.8,邮电新村（南区） -惠安县,3室2厅 | 142.03平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,78,"5,492元/平"
中奥名雅居 边套 正规三房 三面采光,中奥名雅居 -宝龙广场,3室2厅 | 114.36平米 | 东南 | 简装 | 27层  | 板塔结合,0人关注 / 6个月以前发布,215,"18,801元/平"
国际星城，小区中庭 边套 4室2厅.南通北透,国际星城 -丰泽街,4室2厅 | 148.16平米 | 南 | 简装 | 低楼层(共14层)  | 塔楼,2人关注 / 一年前发布,445,"30,036元/平"
带车位，房东诚心售，楼下网球.篮球场,聚龙东篱二期 -惠安县,3室2厅 | 138.81平米 | 西南 | 毛坯 | 18层  | 板塔结合,0人关注 / 一年前发布,162,"11,671元/平"
碧桂园天玺湾精装4房高层看海景 二次装修从未入住,碧桂园天玺湾 -东海,4室2厅 | 120平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 6个月以前发布,368,"30,667元/平"
海天广场，采光好，证满2年，税收少，房东诚意出售。,海天广场 -泉港区,3室2厅 | 132.93平米 | 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,47.9,"3,604元/平"
此房证满2年，户型好， 采光楼层好 另外加几平的阳台,大江盛世A区 -洛江区,3室2厅 | 88.27平米 | 东南 | 简装 | 中楼层(共13层)  | 板楼,0人关注 / 5个月以前发布,158,"17,900元/平"
惠安县禹州城市广场一期温莎公馆,禹洲温莎公馆 -惠安县,3室2厅 | 120.01平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,4人关注 / 一年前发布,104,"8,666元/平"
锦塘雅苑南区 3室2厅 南,锦塘雅苑南区 -晋江万达,3室2厅 | 138.35平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,180,"13,011元/平"
中国风清新小三房，孩子九年无忧接，商场购物方便！,百捷中央名门 -泉州桥南,3室2厅 | 89.68平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,190,"21,187元/平"
业主诚意出售，看房方便，业主急售,物资局宿舍 -涂门街,3室2厅 | 104.13平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,228,"21,896元/平"
万科金域系列，复式户型，高品质楼盘,万科金域滨江二期 -泉州桥南,4室2厅 | 136.8平米 | 南 | 精装 | 39层  | 塔楼,9人关注 / 6个月以前发布,345,"25,220元/平"
高楼层 ，大四房毛坯，采光好，视野宽阔，证满 。,尚好家园 -站前大道,4室2厅 | 152.49平米 | 西南 | 毛坯 | 中楼层(共26层)  | 塔楼,1人关注 / 6个月以前发布,165,"10,821元/平"
聚龙君悦山庄 3室2厅 南 北,聚龙君悦山庄 -惠安县,3室2厅 | 115.34平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,80,"6,937元/平"
陈普佳苑 3室1厅 南,陈普佳苑 -宝龙广场,3室1厅 | 138.16平米 | 南 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 1个月以前发布,204,"14,766元/平"
领第广场全明户型136加一房，大四房出售,领第第一广场 -泉港区,4室2厅 | 136.57平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,96.5,"7,066元/平"
陶然居二期四房两厅两卫精装修诚意出售,陶然居二期 -惠安县,4室2厅 | 127.7平米 | 东南 东北 | 简装 | 高楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,159,"12,452元/平"
万达旁  精装三房 一线江景房  证满省税,沉洲花园 -万达,3室2厅 | 89.87平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,4人关注 / 4个月以前发布,175,"19,473元/平"
钱塘雅苑，交通便利，配套齐全。业主稳定，房子格局好,钱塘雅苑 -池店南,4室1厅 | 156.29平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,2人关注 / 4个月以前发布,156,"9,982元/平"
楼梯3-2-1-1 123.32m² ，,福地商住区 -惠安县,3室2厅 | 123.32平米 | 南 北 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 4个月以前发布,66.5,"5,393元/平"
万达华府D区边套大四房，欧式装修，拎包入住,万达华府D区 -晋江万达,4室2厅 | 143.97平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,366,"25,422元/平"
俊园朝南大三房  业主诚意出售,东海湾俊园 -东海,3室2厅 | 113平米 | 北 | 简装 | 低楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,206,"18,231元/平"
房子旁边是上悦城，刚需小三房，采光好 格局方正,百捷中央公园华府 -泉州桥南,3室1厅 | 63.53平米 | 南 | 精装 | 中楼层(共22层)  | 塔楼,1人关注 / 2个月以前发布,128,"20,148元/平"
紧靠紫帽山，环境优美天然氧吧，小区门口就是清华片区,世茂紫茂城紫溪苑 -紫帽镇,3室2厅 | 109.04平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 7个月以前发布,141.7,"12,996元/平"
百捷中央学府 4室2厅 东南,百捷中央学府 -泉州桥南,4室2厅 | 141.45平米 | 东南 | 简装 | 高楼层(共32层)  | 板塔结合,1人关注 / 5个月以前发布,353,"24,956元/平"
精装三房 户型方正 ，格局好 ，采光充足 ，拎包入住,建发珑玥湾二期 -站前大道,3室2厅 | 124.87平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,275,"22,023元/平"
万科金域系列，复式户型，高品质楼盘,万科金域滨江二期 -泉州桥南,4室2厅 | 136.8平米 | 南 | 精装 | 39层  | 塔楼,9人关注 / 6个月以前发布,345,"25,220元/平"
房子旁边是上悦城，刚需小三房，采光好 格局方正,百捷中央公园华府 -泉州桥南,3室1厅 | 63.53平米 | 南 | 精装 | 中楼层(共22层)  | 塔楼,1人关注 / 2个月以前发布,128,"20,148元/平"
泉州市晋江市恒隆国际花园稳定出售,恒隆国际花园 -安海镇,3室2厅 | 112.43平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,121.6,"10,816元/平"
莲花万盛凤凰城 电梯高层大3房 户型正 诚意出售,莲花万盛凤凰城 -洛江区,3室2厅 | 134.08平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,1人关注 / 6个月以前发布,160,"11,934元/平"
