标题,开发商,房子信息,发布信息,售价/万,单价
世纪花园竹园 3室2厅 南 北,世纪花园竹园 -张店区,3室2厅 | 188.59平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,4人关注 / 13天以前发布,163,"8,644元/平"
阳光花园三室精装楼层位置好随时可以看房,阳光花园 -张店区,3室2厅 | 157平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,0人关注 / 一年前发布,130,"8,281元/平"
莲池7中房 莲泽苑 电梯中层  标准三室  带车库,莲泽苑 -张店区,3室2厅 | 117.18平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,9人关注 / 一年前发布,125,"10,668元/平"
出门湿地公园叠拼别墅一加负一带院子带地上车位,东岳盛景澜庭 -张店区,3室2厅 | 140平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 板楼,2人关注 / 一年前发布,231,"16,500元/平"
南北通透，经典户型三室。带车储，毛坯房好楼层,天悦小区 -张店区,3室2厅 | 95.8平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板塔结合,53人关注 / 一年前发布,120,"12,527元/平"
吾悦广场旁嘉亿国际二期简装三室小高层带车位储藏室,嘉亿国际二期 -张店区,3室2厅 | 114平米 | 南 | 简装 | 低楼层(共17层)  | 塔楼,4人关注 / 7个月以前发布,95,"8,334元/平"
经开区吾悦广场南嘉亿国际二期，房主包税三室元宝户型,嘉亿国际二期 -张店区,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,12人关注 / 7个月以前发布,100,"8,696元/平"
火炬公园旁小公摊三室 户型好 小区环境好,盛世名苑 -张店区,3室2厅 | 126.08平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,5人关注 / 4个月以前发布,103,"8,170元/平"
恒和花园电梯房122平大三室，两卧朝阳，随时看房,恒和花园 -张店区,3室2厅 | 122.56平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,3人关注 / 一年前发布,79.5,"6,487元/平"
世纪路毛坯单位房，电梯好楼层，带车库,阳光花园 -张店区,2室2厅 | 112.17平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,92,"8,202元/平"
不是楼顶   带车位 代储 凤凰层 俯瞰火炬公园,科技苑庭兰村 -张店区,3室2厅 | 139.6平米 | 南 北 | 简装 | 高楼层(共17层)  | 板塔结合,1人关注 / 5个月以前发布,110,"7,880元/平"
出门即湿地公园！湖景房！元宝户型！好楼层！全天采光,圣联公园世家 -张店区,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共10层)  | 板楼,7人关注 / 一年前发布,125,"10,594元/平"
绿城百合好楼层毛坯随意装修 车储另算 配套交通环境好,绿城紫薇园 -张店区,3室2厅 | 139平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,3人关注 / 一年前发布,178,"12,806元/平"
楼层合适，南北通透，采光好，户型舒适,富贵家园 -张店区,3室2厅 | 127.09平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,85,"6,689元/平"
齐悦一期，元宝户型，好楼层，小区中间位置，带车储。,齐悦国际花园一期 -张店区,3室2厅 | 192平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板塔结合,0人关注 / 3个月以前发布,249,"12,969元/平"
新上！好楼层！视野开阔全天采光！毛坯带储全明户型,明博新城 -张店区,3室2厅 | 107平米 | 南 北 | 毛坯 | 高楼层(共39层)  | 板塔结合,0人关注 / 2个月以前发布,120,"11,215元/平"
金鼎华郡 108平 两室两厅 毛坯房 有钥匙,金鼎华郡 -张店区,2室2厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,1人关注 / 3个月以前发布,69,"6,389元/平"
齐馨园   单位房 大平层 带车位储,齐馨园 -张店区,3室2厅 | 188平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 4个月以前发布,210,"11,171元/平"
植物园  鑫盛嘉园 经典2楼  87平 62万 带储 有钥匙,鑫盛嘉园社区 -张店区,2室2厅 | 87平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,62,"7,127元/平"
南北通透，经典户型三室。带车位储，毛坯房，好楼层,天悦小区 -张店区,3室2厅 | 133.24平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,8人关注 / 一年前发布,160,"12,009元/平"
龙泰A区 元宝户 毛坯新房 带车位 储藏室40多平 有钥匙,民泰 · 龙泰苑A区 -张店区,3室2厅 | 154.6平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,16人关注 / 一年前发布,223,"14,425元/平"
价格优惠，三室一楼，元宝户，视野开阔，购物方便,盛世泽园 -张店区,3室1厅 | 90平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,5人关注 / 7个月以前发布,59,"6,556元/平"
多层洋房带电梯西楼头观湖房经典户型带露台靠湿地公园,东岳盛景澜庭 -张店区,3室2厅 | 150.93平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,157.9,"10,462元/平"
地中海电梯洋房  3室  精装带储,地中海阳光 -淄川区,3室2厅 | 112.58平米 | 南 北 | 精装 | 7层  | 板楼,4人关注 / 一年前发布,72,"6,396元/平"
市府四宿舍 闹中取静 养老改善 方正户 房主诚心卖,怡心园(张店区) -张店区,3室2厅 | 138平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,11人关注 / 一年前发布,105,"7,609元/平"
鲁能齐林家园 大两室 南北通透 带储,鲁能齐林家园 -张店区,2室2厅 | 105平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,86,"8,191元/平"
经开区吾悦广场南嘉亿国际二期，房主包税三室元宝户型,嘉亿国际二期 -张店区,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,12人关注 / 7个月以前发布,100,"8,696元/平"
无高税，近火车站南广场，多层一楼。,安康佳园南区 -张店区,3室2厅 | 114平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,72,"6,316元/平"
阳光花园三室精装楼层位置好随时可以看房,阳光花园 -张店区,3室2厅 | 157平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,0人关注 / 一年前发布,130,"8,281元/平"
中润·华侨城南区 3室2厅 南 北,中润·华侨城南区 -张店区,3室2厅 | 123.37平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,133,"10,781元/平"
嘉忆国际南 精装大两室  客卧朝阳 出门植物园,盛世泽园 -张店区,2室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,49.6,"5,512元/平"
吾悦南经开区富康嘉苑电梯洋房 两居带储藏室 房主包税,富康嘉苑 -张店区,2室2厅 | 91.44平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,8人关注 / 一年前发布,59,"6,453元/平"
莲池7中房 莲泽苑 电梯中层  标准三室  带车库,莲泽苑 -张店区,3室2厅 | 117.18平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,9人关注 / 一年前发布,125,"10,668元/平"
齐润花园146.38平元宝3居室，中间好楼层带车位,齐润花园 -张店区,3室2厅 | 146.38平米 | 南 北 | 简装 | 中楼层(共26层)  | 暂无数据,4人关注 / 4个月以前发布,235.5,"16,089元/平"
出门湿地公园叠拼别墅一加负一带院子带地上车位,东岳盛景澜庭 -张店区,3室2厅 | 140平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 板楼,2人关注 / 一年前发布,231,"16,500元/平"
盛安美郡 毛坯三室 全明户型  电梯中间楼层看房方便,盛安美郡 -张店区,3室2厅 | 119平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,31人关注 / 一年前发布,125,"10,505元/平"
带车库带阁楼远景花园滋欣苑大3室,远景花园滋欣苑 -张店区,3室2厅 | 147平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,139,"9,456元/平"
吾悦广场旁嘉亿国际二期简装三室小高层带车位储藏室,嘉亿国际二期 -张店区,3室2厅 | 114平米 | 南 | 简装 | 低楼层(共17层)  | 塔楼,4人关注 / 7个月以前发布,95,"8,334元/平"
火炬公园旁小公摊三室 户型好 小区环境好,盛世名苑 -张店区,3室2厅 | 126.08平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,5人关注 / 4个月以前发布,103,"8,170元/平"
南北通透，经典户型三室。带车储，毛坯房好楼层,天悦小区 -张店区,3室2厅 | 95.8平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板塔结合,53人关注 / 一年前发布,120,"12,527元/平"
上绿杉园 科技园(在建) 客卧朝阳  有钥匙 随时看房,绿杉园 -张店区,2室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,37人关注 / 11个月以前发布,77,"8,280元/平"
城南壹号 3室2厅 南,城南壹号 -张店区,3室2厅 | 125.9平米 | 南 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 2个月以前发布,117,"9,294元/平"
康城五期房龄新，小高层，毛坯房,盛世康城五期 -张店区,3室2厅 | 113.54平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,12人关注 / 一年前发布,97,"8,544元/平"
多层带电梯洋房！15年房，新房未住，全天采光，位置佳,世纪花园兰花园 -张店区,3室2厅 | 177.64平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,183,"10,302元/平"
新经开 中上楼层 已满二 有钥匙  户型好 诚意出售！,嘉亿国际 -张店区,3室2厅 | 114.69平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 一年前发布,99,"8,632元/平"
迎春园精装修短住 价格可议，小区升级改造中,迎春园 -张店区,3室1厅 | 78.86平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,36,"4,566元/平"
丽景苑多层4楼 三室朝阳 南北通透 带储,丽景苑 -张店区,3室2厅 | 129.9平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,99.8,"7,683元/平"
天悦陶然城137.63平观景户带车位双重庆路不挨高架,天悦小区 -张店区,3室2厅 | 137.63平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,170,"12,352元/平"
吾悦广场盘 三室两厅 好楼层 采光好好好,嘉亿国际 -张店区,3室2厅 | 105.3平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,90,"8,548元/平"
近万象汇，精装小三室，户型好住。,华茂观邸 -张店区,3室2厅 | 108.13平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,7人关注 / 7个月以前发布,94.9,"8,777元/平"
近万象汇，精装婚房，干净好住，大型社区，,洪沟社区 -张店区,2室2厅 | 93.35平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 7个月以前发布,69.9,"7,488元/平"
房龄新，低楼层，三室一厅，户型方正，采光好,育英街 -淄川区,3室1厅 | 89.64平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,52,"5,801元/平"
盛世康城三期 电梯中层 精装修三室 异地置业诚心出售,盛世康城三期 -张店区,3室2厅 | 118.9平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,17人关注 / 一年前发布,95,"7,990元/平"
锦绣花园百合苑3室2厅  客卧朝阳  南北通透,锦绣花苑百合苑 -淄川区,3室2厅 | 143.35平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,100,"6,976元/平"
城南壹号 125平 大三居 元宝户 118W  带储带车位,城南壹号 -张店区,3室2厅 | 125.9平米 | 南 | 毛坯 | 低楼层(共14层)  | 板楼,0人关注 / 3个月以前发布,118,"9,373元/平"
满五唯一，大产权，可贷款 ，华齐街,华齐街 -淄川区,3室1厅 | 96.26平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,25人关注 / 一年前发布,31,"3,221元/平"
精装未住，双卧朝阳，楼层低，随时看房,百盛花园 -张店区,2室2厅 | 96.47平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,13人关注 / 一年前发布,80,"8,293元/平"
此房子电梯好楼层，采光通风好，好户型 看房方便,莲泽苑 -张店区,2室2厅 | 103.8平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,9人关注 / 一年前发布,99.5,"9,586元/平"
检察院好房，位置优越，采光好，价格美丽,泰和苑 -张店区,3室2厅 | 131.75平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,19人关注 / 一年前发布,133,"10,095元/平"
08年建成 电梯好楼层 全天采光很亮堂 电梯通地下,世纪花园文星园 -张店区,3室2厅 | 178平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,190,"10,675元/平"
户型通透，好楼层，落地窗 视野开阔 ，精装修,盛世名苑 -张店区,2室2厅 | 95.3平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,19人关注 / 一年前发布,72,"7,556元/平"
电梯小高层，采光好，房主诚心出售！随时可看房！,莲泽苑 -张店区,3室2厅 | 156平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,7人关注 / 8个月以前发布,140,"8,975元/平"
大三室 小区绿化好 出门理工大 奥朗特,中房翡翠郡 -张店区,3室2厅 | 147.6平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,5人关注 / 一年前发布,145,"9,824元/平"
元宝三居室  中间楼层 全天采光 诚心出售。,城南壹号 -张店区,3室2厅 | 137平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,130,"9,490元/平"
市实验旁  尚文苑 经典三室带储   采光好 有钥匙,尚文苑 -张店区,3室2厅 | 124平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,8人关注 / 一年前发布,92,"7,420元/平"
丽景苑 大三室 五楼 非顶楼 有钥匙看房方便,丽景苑 -张店区,3室2厅 | 113.29平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,74.6,"6,585元/平"
绿水星河+毛坯大两室108.77平+带储藏室+满二年,绿水星河 -桓台县,3室2厅 | 108.77平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,75,"6,896元/平"
湿地公园带露台  带大储 顶楼两居 视野好,尚美苑 -张店区,2室2厅 | 88.9平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,50,"5,625元/平"
金洲花园 湖景房 红莲湖一览无余,金洲花园 -桓台县,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,9人关注 / 一年前发布,69,"6,000元/平"
莲池美达花园 客卧朝阳落地窗 带车库 七中,美达花园 -张店区,2室2厅 | 108平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,98,"9,075元/平"
人民公园西邻 沁园社区市区繁华地段 三室 共青团西路,沁园社区 -张店区,3室2厅 | 104.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,67,"6,418元/平"
市实验旁  尚文苑 经典三室带储   采光好 有钥匙,尚文苑 -张店区,3室2厅 | 124平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,8人关注 / 一年前发布,92,"7,420元/平"
湿地公园带露台  带大储 顶楼两居 视野好,尚美苑 -张店区,2室2厅 | 88.9平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,50,"5,625元/平"
绿水星河+毛坯大两室108.77平+带储藏室+满二年,绿水星河 -桓台县,3室2厅 | 108.77平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,75,"6,896元/平"
元宝三居室  中间楼层 全天采光 诚心出售。,城南壹号 -张店区,3室2厅 | 137平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,130,"9,490元/平"
丽景苑 大三室 五楼 非顶楼 有钥匙看房方便,丽景苑 -张店区,3室2厅 | 113.29平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,74.6,"6,585元/平"
南苑绿洲三区 自改小复式 温馨装修 诚心出售,孙家南苑绿洲小区三区 -张店区,3室1厅 | 92平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,13人关注 / 一年前发布,58,"6,305元/平"
三室！82万！中层急售！七中！户型好采光好 ！抓紧,五里桥生活区 -张店区,3室2厅 | 102.58平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,17人关注 / 一年前发布,68.5,"6,678元/平"
文博苑143.9平大四室带储藏室随时可过户135.5万,文博苑 -张店区,4室2厅 | 143.9平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 暂无数据,5人关注 / 一年前发布,143,"9,938元/平"
带储藏室 诚意出售 价格可谈 采光充足,盛世泽园 -张店区,2室2厅 | 109平米 | 南 | 毛坯 | 低楼层(共12层)  | 板楼,1人关注 / 一年前发布,71.8,"6,588元/平"
经开区，精装修好楼层，两室两厅，三证满二，次新房,嘉和骏景 -张店区,2室2厅 | 80.49平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 5个月以前发布,65.5,"8,138元/平"
嘉亿国际二期！嘉悦城新房未住！带储有车位,嘉亿国际二期 -张店区,3室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,125,"10,331元/平"
鸿嘉星城观澜御府 2室2厅 南 北,鸿嘉星城观澜御府 -桓台县,2室2厅 | 143平米 | 南 北 | 其他 | 高楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,95,"6,644元/平"
怡海世家，精装修电梯内复式！带阳光房！视野采光好,怡海世家 -张店区,3室2厅 | 142平米 | 东 | 精装 | 高楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,192,"13,522元/平"
火车站南广场仙洲小区中间好楼层精装有钥匙看房方便,仙洲小区 -张店区,3室1厅 | 70平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 4个月以前发布,35.5,"5,072元/平"
生活交通便利 采光充足三卧朝阳好楼层,南定教育小区 -张店区,3室2厅 | 103平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,56,"5,437元/平"
中润大道 非顶层 客卧朝阳 采光好 停车方便,荷香园 -张店区,3室2厅 | 135平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 8个月以前发布,94,"6,963元/平"
大两室 89平仅售51万 带储急售,孙家南苑绿洲小区一区 -张店区,2室2厅 | 89平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,9人关注 / 一年前发布,46,"5,169元/平"
"房子满两年无大税,户型两卧朝阳,有钥匙，看房方便",小徐世纪嘉苑 -张店区,2室2厅 | 90平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,35,"3,889元/平"
电梯洋房 毛坯新房内复式 带露台 位置好,盛世名苑 -张店区,5室2厅 | 134平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,12人关注 / 一年前发布,149,"11,120元/平"
盛世泽园 三面采光 电梯两居室 房主诚意出售！,盛世泽园 -张店区,2室2厅 | 109平米 | 南 | 毛坯 | 低楼层(共12层)  | 板楼,1人关注 / 9个月以前发布,72,"6,606元/平"
齐园 电梯洋房  带南北双阳台 单位房小公摊,齐园组团 -张店区,3室2厅 | 152平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,137,"9,014元/平"
世纪花园冬韵园  电梯洋房 有钥匙看房方便,世纪花园冬韵园 -张店区,3室2厅 | 147平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,9人关注 / 7个月以前发布,179,"12,177元/平"
颐丰花园颐臻园175平三室两厅元宝户带车位储重庆路,颐丰花园颐臻园 -张店区,3室2厅 | 175平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 板楼,2人关注 / 4个月以前发布,222,"12,686元/平"
体坛小区 3室2厅 南 北,体坛小区 -张店区,3室2厅 | 83平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,80,"9,639元/平"
淄博新区通透小三室，楼层好，采光充足，毛坯,淄博碧桂园流苏园 -周村区,3室2厅 | 103平米 | 南 | 毛坯 | 中楼层(共16层)  | 板塔结合,5人关注 / 一年前发布,67,"6,505元/平"
龙泰苑A区，经典客卧朝阳三居室，满五带储，有车位！,民泰 · 龙泰苑A区 -张店区,3室2厅 | 125.6平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,12人关注 / 一年前发布,155,"12,341元/平"
孝夫河显地公园 多层3楼 楼层好 带车位储藏室,福源汇 -张店区,2室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,79.8,"7,901元/平"
大三室 小区绿化好 出门理工大 奥朗特,中房翡翠郡 -张店区,3室2厅 | 147.6平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,5人关注 / 一年前发布,145,"9,824元/平"
柳泉旁   碧玉华庭 三室元宝户  电梯房  带车位储藏室,碧玉华庭 -张店区,3室2厅 | 140.59平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,3人关注 / 一年前发布,149.8,"10,656元/平"
人民公园西邻 沁园社区市区繁华地段 三室 共青团西路,沁园社区 -张店区,3室2厅 | 104.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,67,"6,418元/平"
此房子电梯好楼层，采光通风好，好户型 看房方便,莲泽苑 -张店区,2室2厅 | 103.8平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,9人关注 / 一年前发布,99.5,"9,586元/平"
08年建成 电梯好楼层 全天采光很亮堂 电梯通地下,世纪花园文星园 -张店区,3室2厅 | 178平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,190,"10,675元/平"
精装未住，双卧朝阳，楼层低，随时看房,百盛花园 -张店区,2室2厅 | 96.47平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,13人关注 / 一年前发布,80,"8,293元/平"
中高楼层 全天采光  精装带储 有车位,宏程誉园 -张店区,3室2厅 | 108.41平米 | 南 北 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 6个月以前发布,165,"15,220元/平"
检察院好房，位置优越，采光好，价格美丽,泰和苑 -张店区,3室2厅 | 131.75平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,19人关注 / 一年前发布,133,"10,095元/平"
锦绣花园百合苑3室2厅  客卧朝阳  南北通透,锦绣花苑百合苑 -淄川区,3室2厅 | 143.35平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,100,"6,976元/平"
东岳熙园 多层电梯房 车位储藏室 通透性好 前后无遮挡,东岳熙园 -桓台县,3室2厅 | 130平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,218,"16,770元/平"
117平三楼满五，带车库带储，车库可住人，寻觅有缘人,孙家南苑绿洲小区一区 -张店区,3室2厅 | 117平米 | 北 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,8人关注 / 一年前发布,69,"5,898元/平"
省税，房主急售，三证满五唯一住房，中间楼层不遮挡,黄金国际 -张店区,2室2厅 | 102.75平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,70人关注 / 一年前发布,85,"8,273元/平"
精装三室   客卧朝阳   南北通透   带车位   储藏室,鸿嘉星城观澜御府 -桓台县,3室2厅 | 134.5平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,24人关注 / 一年前发布,118,"8,774元/平"
孝夫河显地公园 多层3楼 楼层好 带车位储藏室,福源汇 -张店区,2室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,79.8,"7,901元/平"
近万象汇，天华小区，户型好住，价格可谈,天华小区 -张店区,2室2厅 | 98平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,67.5,"6,888元/平"
齐林花园  张店公园  101平 大三居 四楼 随时看房,齐林花园 -张店区,3室2厅 | 100.96平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,105,"10,401元/平"
天齐花溪地，直通出库，离门口近,天齐·花溪地 -桓台县,3室2厅 | 123.59平米 | 西 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 6个月以前发布,110,"8,901元/平"
方正户，采光好i，没有遮挡，带储藏室,丽景苑 -张店区,3室2厅 | 127.66平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,6人关注 / 一年前发布,90,"7,050元/平"
柳泉生活区，三室朝阳户型，大院停车方便，地上储藏室,柳泉生活区 -淄川区,3室2厅 | 107平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 10个月以前发布,48,"4,486元/平"
福源汇大三室精装修未住出门口就是湿地公园,福源汇 -张店区,3室2厅 | 117平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,80,"6,838元/平"
楼层低，小三室，适合老人居住，房子户型舒适,天煜信园 -桓台县,3室2厅 | 139.42平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 塔楼,2人关注 / 一年前发布,199.8,"14,331元/平"
新东升福园 区  实  验 小三室 绿化好 物业好,新东升福园 -张店区,3室2厅 | 95平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,30人关注 / 一年前发布,125,"13,158元/平"
金科集美天辰 3室2厅 东,金科集美天辰 -张店区,3室2厅 | 128平米 | 东 | 精装 | 高楼层(共16层)  | 板楼,2人关注 / 7个月以前发布,76,"5,938元/平"
电梯内复式，精装经典户型，带车库,世纪花园梅园 -张店区,3室2厅 | 156平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,210,"13,462元/平"
莲池七中旁，117平 三室  仅售80万,莲泽苑 -张店区,3室2厅 | 117平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,67.5,"5,770元/平"
体育公园旁毛坯带车储，好楼层，视野好,齐悦花园盛悦园 -张店区,3室2厅 | 142平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,5人关注 / 6个月以前发布,180,"12,677元/平"
河东生活区大两室，满五唯一省税带储藏室,中德亚运村河东生活区 -张店区,2室2厅 | 88.99平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,55.8,"6,271元/平"
恒久丁香园 单价低 房龄新 生活方便,恒久嘉园丁香苑 -张店区,2室2厅 | 100.52平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,64,"6,367元/平"
碧桂园中房天玺，电梯中楼层，看房方便！,碧桂园中房·天玺 -张店区,3室2厅 | 126.86平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 一年前发布,120,"9,460元/平"
全屋精装修 3居元宝户 电梯中楼层 南北无遮挡 带储,齐悦国际花园一期 -张店区,3室2厅 | 160.37平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,15人关注 / 7个月以前发布,205,"12,783元/平"
恒久丁香园 单价低 房龄新 生活方便,恒久嘉园丁香苑 -张店区,2室2厅 | 100.52平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,64,"6,367元/平"
碧桂园中房天玺，电梯中楼层，看房方便！,碧桂园中房·天玺 -张店区,3室2厅 | 126.86平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 一年前发布,120,"9,460元/平"
