标题,开发商,房子信息,发布信息,售价/万,单价
特警支队宿舍 宽敞的3房2厅诚心出售,海口特警支队宿舍 -海甸岛,3室2厅 | 88.45平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,1人关注 / 15天以前发布,146,"16,507元/平"
西海岸小区，产证满二，免增值税，高层视野采光好,龙光海云天 -远大,2室2厅 | 82.44平米 | 南 | 精装 | 17层  | 板楼,20人关注 / 11个月以前发布,145,"17,589元/平"
白菜价 龙昆南繁华地段 矿冶大厦 3房2厅 只卖158万,矿冶大厦 -国兴,3室2厅 | 113平米 | 西南 | 其他 | 中楼层(共13层)  | 板塔结合,2人关注 / 9个月以前发布,150,"13,275元/平"
空置满五多套新港天桥旁三房两卫,就业综合楼 -解放西,3室2厅 | 137.58平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 5个月以前发布,150,"10,903元/平"
海甸岛正规2房，产证满2年，一线海景房！,海口恒大美丽沙 -海甸岛,2室2厅 | 74.69平米 | 东北 | 其他 | 9层  | 板塔结合,32人关注 / 一年前发布,207,"27,715元/平"
无抵押房源，随时可以交易，满五多套  装修高层,现代花园三期 -龙昆南,3室2厅 | 114.84平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,12人关注 / 8个月以前发布,223,"19,419元/平"
龙华区 昌茂清华园 两房两厅 满五唯一 生活便利,昌茂清华园 -解放西,2室2厅 | 76.76平米 | 北 | 简装 | 高楼层(共18层)  | 板塔结合,9人关注 / 7个月以前发布,131,"17,067元/平"
西海岸小区，产证满二，免增值税，高层视野采光好,龙光海云天 -远大,2室2厅 | 82.44平米 | 南 | 精装 | 17层  | 板楼,20人关注 / 11个月以前发布,145,"17,589元/平"
文明天桥旁大三房，单价10000.优势很大,宏洋大厦 -和平南,3室2厅 | 138.51平米 | 南 北 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,117,"8,448元/平"
满五唯一  户型方正  业主诚心出售  高楼层,珍珠裕苑二期 -海甸岛,2室1厅 | 72.4平米 | 南 | 其他 | 高楼层(共16层)  | 板塔结合,13人关注 / 一年前发布,147,"20,304元/平"
海甸 鸿天阁北区 精装两房 中高层 满五唯一 税费低,鸿天阁北区 -海甸岛,2室2厅 | 94.06平米 | 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,225,"23,921元/平"
恒大美丽沙 精装两房 朝南户型 视野好 基本没住 满二,海口恒大美丽沙 -海甸岛,2室2厅 | 74.6平米 | 南 | 精装 | 12层  | 板塔结合,24人关注 / 6个月以前发布,185,"24,799元/平"
椰海大道新城吾悦 满二 朝南 采光好的4房2厅住宅,海口新城吾悦广场 -椰海大道,4室2厅 | 139.38平米 | 南 | 毛坯 | 25层  | 板楼,0人关注 / 8个月以前发布,308,"22,098元/平"
时代城一期大三房 户型方正  业主诚心出售,时代城 -西海岸南片区,3室2厅 | 111.02平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 塔楼,9人关注 / 10个月以前发布,165,"14,863元/平"
精致小两房，保养很好，满屋多套，无抵押,新世界花园 -新埠岛,2室2厅 | 89.93平米 | 西 | 其他 | 9层  | 板楼,4人关注 / 5个月以前发布,170,"18,904元/平"
保利中央海岸熙园前排270度观海专梯专户精装板楼,保利中央海岸 -海口湾,3室2厅 | 210.81平米 | 北 | 其他 | 13层  | 塔楼,8人关注 / 7个月以前发布,760,"36,052元/平"
保利熙园低密度，四房两厅南北通透，海景房,保利中央海岸 -海口湾,4室2厅 | 125.22平米 | 南 北 | 毛坯 | 16层  | 板塔结合,9人关注 / 一年前发布,380,"30,347元/平"
出 价可谈中海正规温馨大三房南北通无遮挡精装新新,中海锦城 -椰海大道,3室2厅 | 113.25平米 | 南 北 | 精装 | 26层  | 板楼,27人关注 / 6个月以前发布,258,"22,782元/平"
闹中取静的地段，满五唯一，业主诚心出售，,东盛名苑 -龙昆南,2室2厅 | 97.94平米 | 南 | 精装 | 18层  | 板塔结合,8人关注 / 6个月以前发布,150,"15,316元/平"
海南海口哈罗 环岛旁边别墅洋房 满五唯一 自带大花园,开维生态城 -江东,2室2厅 | 105.35平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,3人关注 / 3个月以前发布,180,"17,086元/平"
万达商圈大三房透风采光好户型，小区环境优美,兰庭雅苑 -秀英,3室2厅 | 115.75平米 | 南 北 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 9个月以前发布,279.5,"24,147元/平"
西海岸生活圈，毛坯满二实用小两房,鲁能·钓鱼台·美高梅 -远大,2室1厅 | 75.75平米 | 南 | 其他 | 20层  | 板塔结合,17人关注 / 2个月以前发布,159,"20,991元/平"
国瑞城爵士苑 濠装大2房 双阳台 南北通 诚心出售,国瑞城爵仕苑 -国兴,2室2厅 | 108.18平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,17人关注 / 10个月以前发布,330,"30,505元/平"
时代城，朝南两房小户型，采光好，交通齐全,时代城二期 -西海岸南片区,2室2厅 | 77.33平米 | 南 | 毛坯 | 32层  | 板塔结合,0人关注 / 14天以前发布,119,"15,389元/平"
龙昆南路昌茂花园电梯房 单价低 大户型的哟,昌茂花园 -龙昆南,4室2厅 | 152.84平米 | 北 南 | 精装 | 14层  | 板楼,7人关注 / 4个月以前发布,188,"12,301元/平"
世贸好位置 方正户型 2+1房 楼层好采光好,金侨大厦 -秀英,3室2厅 | 87.95平米 | 东北 | 简装 | 高楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,103,"11,712元/平"
秀英区万达骏豪仕家3房2厅急出售,万达·骏豪仕家 -万达,3室2厅 | 108.07平米 | 南 | 毛坯 | 32层  | 板塔结合,81人关注 / 一年前发布,202,"18,692元/平"
秀英次新小区 满二 南北通透 业主诚心出售,昌茂·水木清华 -万达,3室2厅 | 92.36平米 | 南 北 | 其他 | 26层  | 板塔结合,3人关注 / 2个月以前发布,178,"19,273元/平"
市区小高层，户型方正，满五唯一，单价低,展兴高新花园 -秀英,5室2厅 | 167.88平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,30人关注 / 11个月以前发布,235,"13,999元/平"
5.1可看，业主急售 万达旁 精装修大三房 中高楼层,文博府A区 -万达,3室2厅 | 127.59平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,25人关注 / 11个月以前发布,210,"16,459元/平"
昌茂铂领公馆 海德路龙昆南 居住保养好 诚意出售,铂领公馆 -龙昆南,3室2厅 | 142.24平米 | 南 | 其他 | 22层  | 板楼,0人关注 / 6个月以前发布,209,"14,694元/平"
户型方正，满二，采光充足，高楼层视野开阔,绿地·海德公馆 -解放西,2室2厅 | 66.51平米 | 东 | 其他 | 26层  | 板塔结合,2人关注 / 6个月以前发布,176,"26,463元/平"
琼山区卫生局家属楼 正规三房 满五税费低,琼山区卫生局家属楼 -府城,3室2厅 | 110平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,10人关注 / 7个月以前发布,112,"10,182元/平"
龙昆南路昌茂花园电梯房 单价低 大户型的哟,昌茂花园 -龙昆南,4室2厅 | 152.84平米 | 北 南 | 精装 | 14层  | 板楼,7人关注 / 4个月以前发布,188,"12,301元/平"
海垦片区 2010年房子 金山 紫玉阁 大两房 简单装修,金山小区 -海垦,2室2厅 | 101.96平米 | 南 北 | 其他 | 中楼层(共15层)  | 板楼,0人关注 / 一年前发布,160,"15,693元/平"
农垦大型小区 3房 115.18平  楼梯2楼 公摊小 户型通透,电信住宅小区 -海垦,3室2厅 | 115.18平米 | 南 北 | 简装 | 低楼层(共9层)  | 板塔结合,9人关注 / 一年前发布,155,"13,458元/平"
万达商圈大三房透风采光好户型，小区环境优美,兰庭雅苑 -秀英,3室2厅 | 115.75平米 | 南 北 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 9个月以前发布,279.5,"24,147元/平"
绿地文化城一期低楼层三房带装修满二税少,绿地文化城 -西海岸南片区,3室2厅 | 103.1平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,9人关注 / 4个月以前发布,160,"15,519元/平"
秀英次新小区 满二 南北通透 业主诚心出售,昌茂·水木清华 -万达,3室2厅 | 92.36平米 | 南 北 | 其他 | 26层  | 板塔结合,3人关注 / 2个月以前发布,178,"19,273元/平"
市区小高层，户型方正，满五唯一，单价低,展兴高新花园 -秀英,5室2厅 | 167.88平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,30人关注 / 11个月以前发布,235,"13,999元/平"
秀英区万达骏豪仕家3房2厅急出售,万达·骏豪仕家 -万达,3室2厅 | 108.07平米 | 南 | 毛坯 | 32层  | 板塔结合,81人关注 / 一年前发布,202,"18,692元/平"
世贸好位置 方正户型 2+1房 楼层好采光好,金侨大厦 -秀英,3室2厅 | 87.95平米 | 东北 | 简装 | 高楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,103,"11,712元/平"
满五唯一，单位宿舍房，有小区环境，业主诚心出售！,华侨管理局宿舍 -明珠,3室1厅 | 102.09平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,13人关注 / 6个月以前发布,82,"8,033元/平"
龙昆南地段 2020年全新装修 正规三房 满五唯一低税费,水工大厦 -龙昆南,3室2厅 | 68平米 | 南 北 | 其他 | 低楼层(共9层)  | 暂无数据,2人关注 / 2个月以前发布,116,"17,059元/平"
国贸正规4房，户型方正，装修好,金钟大厦 -国贸,4室2厅 | 167.49平米 | 东 南 | 简装 | 低楼层(共24层)  | 塔楼,17人关注 / 一年前发布,230,"13,733元/平"
高铁东站旁，榕景苑精装修三房，生活交通便利,榕景苑 -龙昆南,3室2厅 | 116.37平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,4人关注 / 一年前发布,160,"13,750元/平"
万达花园式小区；舒适楼层；南北对流；四房大户型；,万达·骏豪仕家 -万达,4室2厅 | 140.57平米 | 南 | 毛坯 | 33层  | 板塔结合,28人关注 / 8个月以前发布,249.9,"17,778元/平"
户型方正，通风采光，满五，带20平露台,省人行宿舍 -解放西,3室1厅 | 86.72平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,4人关注 / 1个月以前发布,117,"13,492元/平"
八顺大厦海中对 面 毛坯 通风采光好无遮挡,八顺大厦 -龙昆南,3室2厅 | 122.93平米 | 东南 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 11天以前发布,188,"15,294元/平"
海甸岛单位房 近海大南门  2+1户型 户型方正 看房方便,市工商局宿舍 -海甸岛,2室2厅 | 81.9平米 | 南 | 简装 | 中楼层(共10层)  | 塔楼,38人关注 / 8个月以前发布,90,"10,990元/平"
出售 万达高层 南北通透 精装修三房 满五唯一 少税,万达·骏豪仕家 -万达,3室2厅 | 109.83平米 | 南 北 | 其他 | 32层  | 板塔结合,2人关注 / 2个月以前发布,205,"18,666元/平"
业主急售 户型南北对流 有钥匙看房方便，小区环境好,青云公寓 -海垦,3室2厅 | 96.8平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,101.8,"10,517元/平"
西海岸 现房现证 毛坯两房 户型方正  中间楼层 特惠,时代城 -西海岸南片区,2室2厅 | 80.84平米 | 北 | 其他 | 中楼层(共31层)  | 板塔结合,4人关注 / 5个月以前发布,115,"14,226元/平"
绿地文化城一期简装两房低楼层 业主诚心出售,绿地文化城 -西海岸南片区,2室2厅 | 77.08平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,16人关注 / 8个月以前发布,130,"16,866元/平"
西海岸 东边户20楼大三房精装  满二税少价格美丽160万,时代城 -西海岸南片区,3室2厅 | 113.15平米 | 北 南 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,160,"14,141元/平"
国贸 城中城 114平三房 总价低 看房方便 近京华城！,城中城 -国贸,3室2厅 | 114.05平米 | 南 北 | 简装 | 高楼层(共22层)  | 塔楼,1人关注 / 5个月以前发布,145,"12,714元/平"
繁华地段，成熟社区，配套设施齐全，采光充足。,海景湾花园 -解放西,3室2厅 | 122.12平米 | 东 | 简装 | 高楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,178,"14,576元/平"
景观花园2016年小区，绿化充足，交通便利，环境优,景观花园 -凤翔,3室2厅 | 89.76平米 | 南 | 其他 | 22层  | 板塔结合,0人关注 / 2个月以前发布,162,"18,049元/平"
琼山区卫生局家属楼 正规三房 满五税费低,琼山区卫生局家属楼 -府城,3室2厅 | 110平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,10人关注 / 7个月以前发布,112,"10,182元/平"
翠玉阁的房子 南北通透 一梯两户 采光充足 全屋定制,金山小区 -海垦,3室2厅 | 125.39平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,1人关注 / 8个月以前发布,185,"14,754元/平"
5.1可看，业主急售 万达旁 精装修大三房 中高楼层,文博府A区 -万达,3室2厅 | 127.59平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,25人关注 / 11个月以前发布,210,"16,459元/平"
昌茂铂领公馆 海德路龙昆南 居住保养好 诚意出售,铂领公馆 -龙昆南,3室2厅 | 142.24平米 | 南 | 其他 | 22层  | 板楼,0人关注 / 6个月以前发布,209,"14,694元/平"
户型方正，满二，采光充足，高楼层视野开阔,绿地·海德公馆 -解放西,2室2厅 | 66.51平米 | 东 | 其他 | 26层  | 板塔结合,2人关注 / 6个月以前发布,176,"26,463元/平"
昌炜玉园 海口湾 三房  精装修 满五唯一,昌炜玉园 -海口湾,3室2厅 | 129.18平米 | 南 北 | 精装 | 中楼层(共14层)  | 板塔结合,14人关注 / 8个月以前发布,268,"20,747元/平"
家乐福旁，空间利用充分，适合刚需的您,加州阳光 -海甸岛,1室1厅 | 44.3平米 | 南 | 精装 | 高楼层(共19层)  | 塔楼,0人关注 / 3个月以前发布,65,"14,673元/平"
海甸岛正规1房，朝南向，采光无遮挡，配套成熟,衡阳大厦 -海甸岛,1室2厅 | 64.83平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,105,"16,197元/平"
南北通透两房，满五唯一，精装修,江海郡 -海甸岛,2室2厅 | 86.64平米 | 南 北 | 精装 | 低楼层(共23层)  | 板塔结合,9人关注 / 8个月以前发布,180,"20,776元/平"
海垦金山小区 大户型 低总价 业主诚意出售 欢迎看房,金山小区 -海垦,3室2厅 | 131.17平米 | 东南 | 精装 | 低楼层(共20层)  | 塔楼,7人关注 / 一年前发布,153,"11,665元/平"
步梯6楼 总高9楼 实用面积大 交通便利,罗牛山大院 -海甸岛,2室2厅 | 72.14平米 | 南 北 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,90,"12,476元/平"
宝安滨海豪庭  一线看海 两梯两户 南北通,宝安滨海豪庭 -海口湾,3室2厅 | 212.66平米 | 北 | 其他 | 高楼层(共32层)  | 板塔结合,3人关注 / 6个月以前发布,580,"27,274元/平"
海口湾 紫荆花园一期 业主诚心出售 看房方便,紫荆花园一期 -海口湾,4室2厅 | 190.18平米 | 东南 | 毛坯 | 中楼层(共20层)  | 板塔结合,11人关注 / 4个月以前发布,435,"22,874元/平"
2018年底交房、满二低税、花园洋房、公摊小、豪H装修,慧远美林谷 -紫园片区,4室3厅 | 153.85平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,17人关注 / 一年前发布,582,"37,830元/平"
国兴文明东路滨江路滨江新苑A区中高楼层南向两房,滨江新苑A区 -白龙,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 13天以前发布,164,"18,223元/平"
西海岸 现房现证 毛坯两房 户型方正  中间楼层 特惠,时代城 -西海岸南片区,2室2厅 | 80.84平米 | 北 | 其他 | 中楼层(共31层)  | 板塔结合,4人关注 / 5个月以前发布,115,"14,226元/平"
绿地文化城一期简装两房低楼层 业主诚心出售,绿地文化城 -西海岸南片区,2室2厅 | 77.08平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,16人关注 / 8个月以前发布,130,"16,866元/平"
国贸正规4房，户型方正，装修好,金钟大厦 -国贸,4室2厅 | 167.49平米 | 东 南 | 简装 | 低楼层(共24层)  | 塔楼,17人关注 / 一年前发布,230,"13,733元/平"
西海岸 东边户20楼大三房精装  满二税少价格美丽160万,时代城 -西海岸南片区,3室2厅 | 113.15平米 | 北 南 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,160,"14,141元/平"
金牛岭公园门口，金牛新村，正规两房，业主诚心出售,金牛新村 -海垦,2室2厅 | 88.6平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,6人关注 / 8个月以前发布,115,"12,980元/平"
业主急售 户型南北对流 有钥匙看房方便，小区环境好,青云公寓 -海垦,3室2厅 | 96.8平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,101.8,"10,517元/平"
海甸岛单位房 近海大南门  2+1户型 户型方正 看房方便,市工商局宿舍 -海甸岛,2室2厅 | 81.9平米 | 南 | 简装 | 中楼层(共10层)  | 塔楼,38人关注 / 8个月以前发布,90,"10,990元/平"
出售 万达高层 南北通透 精装修三房 满五唯一 少税,万达·骏豪仕家 -万达,3室2厅 | 109.83平米 | 南 北 | 其他 | 32层  | 板塔结合,2人关注 / 2个月以前发布,205,"18,666元/平"
世贸海秀 禧福新城，精装2房 楼屋好，通风采光佳,禧福新城 -海垦,2室2厅 | 100.04平米 | 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,169,"16,894元/平"
高品质小区 环境优美  亲海不近海 适合居家养老,紫园 -紫园片区,3室2厅 | 137.7平米 | 南 | 精装 | 9层  | 板楼,25人关注 / 10个月以前发布,430,"31,228元/平"
国兴大润发滨江路水滨花园精装修一室产权满五年,水滨花园1期 -国兴,1室1厅 | 48.7平米 | 北 | 精装 | 24层  | 板塔结合,0人关注 / 3天以前发布,105,"21,561元/平"
国贸新达商务公寓，交通便利，配套齐全，宜居宜办公,新达商务大厦 -国贸,3室1厅 | 120平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,155,"12,917元/平"
繁华路段 ，成熟配套，大平层，合适办公,中房高级公寓 -国贸,4室2厅 | 176.28平米 | 南 北 | 其他 | 中楼层(共22层)  | 塔楼,2人关注 / 5个月以前发布,194,"11,006元/平"
房子朝向好，视野开阔，社区安静，精装修,国贸城市花园 -世贸,3室2厅 | 127.4平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,265,"20,801元/平"
六小旁大三房，每个房间都很大，户型正，通风采光好,府城社区 -龙昆南,3室2厅 | 111.95平米 | 东 西 | 其他 | 中楼层(共8层)  | 板塔结合,2人关注 / 4个月以前发布,138,"12,327元/平"
西海岸远大商圈低价三房，南北通透户型，满五,兆南西海豪园 -远大,3室2厅 | 149.18平米 | 南 北 | 其他 | 低楼层(共15层)  | 塔楼,0人关注 / 13天以前发布,248,"16,625元/平"
远大购物广场 2室2厅 西北,远大购物广场 -远大,2室2厅 | 100.45平米 | 西北 | 毛坯 | 30层  | 板塔结合,0人关注 / 2个月以前发布,145,"14,436元/平"
西海瑞园联排别苏 毛坯 前后带花园,西海瑞园 -远大,4室2厅 | 181.32平米 | 北 | 其他 | 2层  | 平房,23人关注 / 一年前发布,550,"30,334元/平"
精装好房，生活便利圈，醇熟社区，满二实用小户型。,鲁能·钓鱼台·美高梅 -远大,2室2厅 | 78.73平米 | 南 北 | 其他 | 18层  | 板塔结合,3人关注 / 3个月以前发布,177,"22,482元/平"
金贸西路 世贸天骄小区 中装大三房 电梯中楼层 满五,世贸天骄 -秀英,3室2厅 | 135平米 | 东南 | 简装 | 中楼层(共21层)  | 板塔结合,0人关注 / 12天以前发布,176,"13,038元/平"
宝安滨海豪庭  一线看海 两梯两户 南北通,宝安滨海豪庭 -海口湾,3室2厅 | 212.66平米 | 北 | 其他 | 高楼层(共32层)  | 板塔结合,3人关注 / 6个月以前发布,580,"27,274元/平"
龙昆南 红城湖公园旁 精装大三房 高层,高路华小区 -龙昆南,3室2厅 | 128平米 | 东 | 简装 | 高楼层(共16层)  | 板塔结合,0人关注 / 2个月以前发布,228,"17,813元/平"
大型社区，品质小区，适合居家养老,绿地·福邸 -远大,4室2厅 | 127.43平米 | 南 北 | 精装 | 14层  | 板楼,16人关注 / 一年前发布,353,"27,702元/平"
世贸 国贸 半山花园 空墅大平层 毛坯四房 满五多套,半山花园 -世贸,4室1厅 | 184.48平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,10人关注 / 7个月以前发布,325,"17,618元/平"
远大购物广场 2室2厅 西北,远大购物广场 -远大,2室2厅 | 100.45平米 | 西北 | 毛坯 | 30层  | 板塔结合,0人关注 / 2个月以前发布,145,"14,436元/平"
西海岸远大商圈低价三房，南北通透户型，满五,兆南西海豪园 -远大,3室2厅 | 149.18平米 | 南 北 | 其他 | 低楼层(共15层)  | 塔楼,0人关注 / 13天以前发布,248,"16,625元/平"
繁华路段 ，成熟配套，大平层，合适办公,中房高级公寓 -国贸,4室2厅 | 176.28平米 | 南 北 | 其他 | 中楼层(共22层)  | 塔楼,2人关注 / 5个月以前发布,194,"11,006元/平"
国贸新达商务公寓，交通便利，配套齐全，宜居宜办公,新达商务大厦 -国贸,3室1厅 | 120平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,155,"12,917元/平"
世贸小区中难得的朝东三房，满两年，免增值税,国贸城市花园 -世贸,3室2厅 | 127.04平米 | 东南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,270,"21,254元/平"
六小旁大三房，每个房间都很大，户型正，通风采光好,府城社区 -龙昆南,3室2厅 | 111.95平米 | 东 西 | 其他 | 中楼层(共8层)  | 板塔结合,2人关注 / 4个月以前发布,138,"12,327元/平"
金贸西路 世贸天骄小区 中装大三房 电梯中楼层 满五,世贸天骄 -秀英,3室2厅 | 135平米 | 东南 | 简装 | 中楼层(共21层)  | 板塔结合,0人关注 / 12天以前发布,176,"13,038元/平"
业主诚心出售 看放方便 价格优势,亚洲豪苑南区 -金盘,3室2厅 | 111.16平米 | 南 | 精装 | 16层  | 塔楼,7人关注 / 6个月以前发布,210,"18,892元/平"
住宅性质，诚心出售，朝南3房。,绿地·海德公馆 -解放西,3室2厅 | 94平米 | 南 | 精装 | 33层  | 板塔结合,0人关注 / 15天以前发布,240,"25,532元/平"
海口观澜湖新城宜居三室精装修心动价,观澜湖·中央公园区 -观澜湖,3室2厅 | 121.85平米 | 北 东北 | 精装 | 低楼层(共18层)  | 板楼,11人关注 / 一年前发布,208,"17,071元/平"
泉海好家园精装修三房低价出售！,泉海好家园 -海口湾,3室2厅 | 114.96平米 | 南 北 | 其他 | 15层  | 板塔结合,2人关注 / 1个月以前发布,200,"17,398元/平"
恒大外滩          精装两年          看海景,恒大外滩 -海口湾,2室2厅 | 96.27平米 | 西南 | 精装 | 低楼层(共42层)  | 板塔结合,0人关注 / 8个月以前发布,205,"21,295元/平"
御景湾132平正南正北精装看海房源,御景湾 -海口湾,3室2厅 | 132.11平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,36人关注 / 7个月以前发布,360,"27,251元/平"
毛坯、南北朝向、视野无遮挡、通风采光好、满二低税,望海金豪 -秀英,3室2厅 | 103.47平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板塔结合,4人关注 / 6个月以前发布,200,"19,330元/平"
国贸 2012年小区 椰岛广场 满五 税少 精装修,椰岛广场 -国贸,3室1厅 | 98.97平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 15天以前发布,202,"20,411元/平"
全明户型 2019年交房次新小区 毛坯房 视野辽阔 满二年,绿地·海德公馆 -解放西,3室2厅 | 94.23平米 | 南 北 | 毛坯 | 33层  | 板塔结合,0人关注 / 1个月以前发布,220,"23,348元/平"
海甸岛家乐福片区两房 业主诚心出售,蓝岛康城 -海甸岛,2室1厅 | 92.8平米 | 北 | 简装 | 25层  | 塔楼,4人关注 / 一年前发布,150,"16,164元/平"
小高层洋房小区物业管理好，一线海景非顶楼，人车分流,海口恒大美丽沙 -海甸岛,2室2厅 | 74.69平米 | 北 | 精装 | 9层  | 板塔结合,46人关注 / 一年前发布,185,"24,770元/平"
电梯房  电梯房，采光明亮，园林小区高绿化,新世界花园 -新埠岛,2室2厅 | 85.22平米 | 东南 | 其他 | 9层  | 板楼,2人关注 / 6个月以前发布,135,"15,842元/平"
花园园林小高层洋房，游泳池，篮球场，高层观海。,金外滩花园 -海口湾,4室2厅 | 151.16平米 | 东南 西北 | 精装 | 高楼层(共9层)  | 板楼,10人关注 / 一年前发布,308,"20,376元/平"
水云天 刚需小两房 大型天然氧吧 满五唯一 位置优越,水云天 -秀英,2室2厅 | 55.54平米 | 北 | 简装 | 高楼层(共18层)  | 塔楼,2人关注 / 2个月以前发布,103.8,"18,690元/平"
长信·海岸水城 3室2厅 南 北,长信·海岸水城 -紫园片区,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,1人关注 / 5个月以前发布,400,"28,170元/平"
满五，精装修，随时看房，户型方正,荣域 -海甸岛,3室2厅 | 116平米 | 南 | 精装 | 低楼层(共8层)  | 板塔结合,0人关注 / 7个月以前发布,290,"25,000元/平"
五西路上海天逸舍精装2房，通风采光好，拎包入住,海天逸舍 -海甸岛,2室2厅 | 110.7平米 | 南 北 | 精装 | 高楼层(共19层)  | 板楼,1人关注 / 3个月以前发布,198,"17,887元/平"
天颐湾 3房 毛坯 高层海景房 视野开阔 楼间距宽,海口恒大美丽沙 -海甸岛,3室2厅 | 128.74平米 | 南 北 | 毛坯 | 9层  | 板塔结合,15人关注 / 5个月以前发布,330,"25,634元/平"
滨江路正规毛坯3房，户型方正通透格局，中高楼层,博雅花园 -滨江,3室2厅 | 111平米 | 东南 | 毛坯 | 27层  | 板楼,2人关注 / 3个月以前发布,168,"15,136元/平"
万福新村大型社区，满五唯一，南北朝向，中层视野宽阔,万福新村 -海甸岛,2室1厅 | 83平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 1个月以前发布,105,"12,651元/平"
西海岸 远大商圈  五源河公寓 毛坯大三房 高层视野好,五源河公寓二期（C区） -远大,3室2厅 | 151.5平米 | 南 | 毛坯 | 31层  | 板塔结合,0人关注 / 3个月以前发布,270,"17,822元/平"
南光·西海湾 3室3厅 南 北,南光·西海湾 -紫园片区,3室3厅 | 169.08平米 | 南 北 | 精装 | 5层  | 板楼,16人关注 / 8个月以前发布,505,"29,868元/平"
阳光西海岸 高楼层可看海 假日海滩,阳光西海岸 -远大,4室2厅 | 182.42平米 | 南 北 | 精装 | 17层  | 塔楼,1人关注 / 3个月以前发布,330,"18,091元/平"
南北通透 双阳台 满二 精装修 业主诚意出售,滨海新天地 -远大,3室1厅 | 115.3平米 | 南 北 | 毛坯 | 17层  | 板塔结合,0人关注 / 4个月以前发布,295,"25,586元/平"
楼层好 视野宽阔 采光充足 配套齐全 交通便利,水岸听涛 -海甸岛,3室2厅 | 99.55平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,3人关注 / 7个月以前发布,161,"16,173元/平"
海甸岛100万以内双阳台正规大两房的房源,丽花城宿舍 -海甸岛,2室2厅 | 87.91平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,17人关注 / 8个月以前发布,92,"10,466元/平"
蓝天路 中洋花苑 精装3房 满五 随时看房,中洋花苑 -明珠,3室2厅 | 110平米 | 东 | 简装 | 中楼层(共16层)  | 板塔结合,13人关注 / 11个月以前发布,230,"20,910元/平"
