标题,开发商,房子信息,发布信息,售价/万,单价
金地檀境 前排 视野开阔 采光充足 诚心出售,金地檀境 -前关,3室2厅 | 104.15平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,136,"13,059元/平"
精装修，两室 ，高楼层， 采光好。小区人车分流,尚海华庭 -金湾新城,2室1厅 | 79.99平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,67.2,"8,402元/平"
华丰金山花园 精装修 中间楼层 拎包入住,华丰金山花园 -金三角,2室2厅 | 83.84平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,107人关注 / 一年前发布,140,"16,699元/平"
桥北非顶层一室精装修小户型，总房款低，还款压力小。,兆麟街（胜利桥北商圈） -胜利桥北,1室1厅 | 42.42平米 | 东 西 | 精装 | 高楼层(共8层)  | 板楼,9人关注 / 3个月以前发布,35,"8,251元/平"
三室 婚房精装 采光视野好 单价低,里程巷 -前程街,3室2厅 | 76.81平米 | 东 西 | 精装 | 高楼层(共7层)  | 板楼,110人关注 / 11个月以前发布,66.3,"8,632元/平"
房子全明户型，看房子方便，户型格局好,锦江园 -锦绣,2室1厅 | 66.95平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 2个月以前发布,66.8,"9,978元/平"
泉水枫丹丽城多层两室南北通厅，房主换房急售！,枫丹丽城 -泉水美域盛景,2室2厅 | 89.93平米 | 北 南 | 精装 | 中楼层(共7层)  | 板楼,11人关注 / 4个月以前发布,169,"18,793元/平"
华南名贵山庄，精装修正规一居室，南向采光好，有钥匙,名贵山庄亲情园 -名贵,1室1厅 | 48.95平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,10人关注 / 6个月以前发布,85.5,"17,467元/平"
万科蓝山精装两室 没有浪费面积 实用率高 周一汇文,万科蓝山 -促进路,2室1厅 | 75.03平米 | 东南 南 | 精装 | 低楼层(共15层)  | 板楼,1人关注 / 1个月以前发布,207,"27,589元/平"
石道街南北向小房，无坡，近车站，2楼,新石道街 -石道街,2室1厅 | 50.39平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,58.5,"11,610元/平"
39 风景 无坡 户型好 近儿童公园 视野好,39中民生里 -三八南,2室0厅 | 54.14平米 | 西 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,118,"21,796元/平"
南北通透格局，采光好，近夜市，金马商城,新云里 -东山,2室1厅 | 52.67平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,41.6,"7,899元/平"
此房满两年了，精装修三室一厅，南北通透通厅的,乾豪新界 -金湾新城,2室2厅 | 88.87平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,3人关注 / 一年前发布,95,"10,690元/平"
急售 急售 急售 华润七期海景房 视野开阔 采光无遮挡,华润海中国七期 -华润海中国,2室1厅 | 83.59平米 | 南 | 毛坯 | 34层  | 板楼,8人关注 / 一年前发布,139,"16,629元/平"
此房满五唯一 楼层好 地脚好 南北通透老少孕幼适宜...,如意人家钰莲园 -普兰店,2室2厅 | 86.34平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,63.8,"7,390元/平"
2室南北通透户型，南北通透户型，电梯房中间楼层..,湾里南小区 -金湾新城,2室1厅 | 76.09平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,8人关注 / 5个月以前发布,74.5,"9,792元/平"
山记笔记两室精装修封闭小区出行方便拎包住,山居笔记 -西山水库,2室2厅 | 90.87平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,11人关注 / 6个月以前发布,157,"17,278元/平"
二七广场，嘉汇，小户型，精装修，有钥匙，房主急售,民寿里 -二七,1室1厅 | 36.56平米 | 东 | 精装 | 低楼层(共6层)  | 板楼,14人关注 / 4个月以前发布,47,"12,856元/平"
钰桥江南水系小区通厅小高层五明位置好,钰桥中央庭院 -泉水美域盛景,2室2厅 | 83.89平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,2人关注 / 1个月以前发布,155,"18,477元/平"
高新凌秀小区2室南北向精装修提包住,凌秀小区 -凌水,2室1厅 | 61.55平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,115,"18,684元/平"
凤凰城 位置好装修精美 看房提前联系,凤凰城 -瓦房店,2室2厅 | 91.98平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,4人关注 / 一年前发布,71,"7,720元/平"
封闭小区2018年交房近28路始发站,小平岛揽海名寓 -小平岛,1室0厅 | 33.81平米 | 西北 | 毛坯 | 低楼层(共15层)  | 板楼,10人关注 / 一年前发布,79,"23,366元/平"
华夏金城 南北通透91.7平 电梯好楼层 业主着急卖,华夏金城 -古城汇金,2室1厅 | 91.79平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,3人关注 / 3个月以前发布,80,"8,716元/平"
有钥匙 荣民街 中间楼层 南北向二室一厅,荣民街（二七商圈） -二七,2室1厅 | 65.9平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,118,"17,906元/平"
嫩江小区  两室一厅 多层 中间楼层 精装修 拎包即住,嫩江小区 -杏花里,2室1厅 | 68.98平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,20人关注 / 一年前发布,40,"5,799元/平"
此房满两年了，精装修三室一厅，南北通透通厅的,乾豪新界 -金湾新城,2室2厅 | 88.87平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,3人关注 / 一年前发布,95,"10,690元/平"
此房满五唯一 楼层好 地脚好 南北通透老少孕幼适宜...,如意人家钰莲园 -普兰店,2室2厅 | 86.34平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,63.8,"7,390元/平"
大纺金三角市场，框架房，看房主自评照片，房子双层顶,八十中汉德花园 -大纺,2室1厅 | 74.35平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 7个月以前发布,92.5,"12,442元/平"
位置好 低楼层 南北通透 价格美丽 适合养老 过渡,连界巷 -莲花白云,3室1厅 | 72.09平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,85,"11,791元/平"
体育场跃层产品位置好洋房封闭小区中海物业,中海万锦公馆 -体育新城,3室2厅 | 93平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,15人关注 / 7个月以前发布,187,"20,108元/平"
34次新小区户型好楼层好手续清晰诚心卖,星海绿山城 -唐山街,1室1厅 | 62.74平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,10人关注 / 2个月以前发布,193,"30,762元/平"
两室一厅，采光好，交通便利，配套齐全。,馨家园 -杏花里,2室1厅 | 70.12平米 | 西南 | 精装 | 高楼层(共12层)  | 板楼,7人关注 / 2个月以前发布,38,"5,420元/平"
近大连北站锦泉源D1区南向一室一厅带阁楼,锦泉源D1区 -泉水锦泉源,1室1厅 | 52.42平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,3人关注 / 7个月以前发布,78,"14,880元/平"
芙蓉 八.十 采光充足 交通便利 生活配套齐全,八十中周家街 -大纺,1室1厅 | 45.77平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,53,"11,580元/平"
万达广场精装修 楼下就是商场 适合白领 诚心出售,开发区万达广场 -开发区万达,1室1厅 | 52.72平米 | 西 | 精装 | 低楼层(共30层)  | 塔楼,5人关注 / 6个月以前发布,27,"5,122元/平"
软件园绘春街，南北向2室一厅，自住房子，采光好,软件园小区 -软件园,2室2厅 | 54.27平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,72.9,"13,433元/平"
过渡小户型，单价低，地脚好，配套齐全,职工街（三八广场） -三八北,2室1厅 | 48.27平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,4人关注 / 5个月以前发布,40,"8,287元/平"
万达广场旁 精装小户型 近地铁 一直自己住,雯君庭 -高新园区,1室1厅 | 48.61平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,2人关注 / 3个月以前发布,110,"22,630元/平"
南北通透，楼层好，采光好，小区新，出行方便,万亿香橙 -大纺,2室1厅 | 77.43平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,29人关注 / 6个月以前发布,147,"18,985元/平"
央企大开发商，地铁无缝对接，直接入户,中华城·领第 -体育新城,2室2厅 | 86.11平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板楼,4人关注 / 一年前发布,112,"13,007元/平"
桃园少有的五明户型，近市场，交通购物便利,桃园小区 -桃园,2室1厅 | 71.1平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,49,"6,892元/平"
中山区民主广场封闭小区小高层，南向不挡光有天然气,海派优座 -民主广场,2室1厅 | 58.57平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,1人关注 / 3个月以前发布,95.5,"16,306元/平"
中体两室半户型 精装修 带电梯 保持好,中体奥林匹克花园一二期 -溪之谷,3室1厅 | 97平米 | 南 北 | 精装 | 15层  | 板楼,11人关注 / 5个月以前发布,129,"13,299元/平"
位置好 精装修 出门市场 楼层好  交通便利,绿波小区 -绿波,2室2厅 | 84.26平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,12人关注 / 8个月以前发布,99,"11,750元/平"
小面积  价位低 精装 保持良好,湾里南小区 -金湾新城,1室1厅 | 51.03平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 5个月以前发布,41,"8,035元/平"
业主急售 轻轨站旁 新希望小区 南北通透 采光视野好,新希望家园 -城润,2室2厅 | 80.26平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 2个月以前发布,79.9,"9,956元/平"
大纺八十位置好，两室小户型，一楼有院子，近公园,鹏辉新世纪四期 -鹏辉,2室1厅 | 62.32平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,41人关注 / 7个月以前发布,108,"17,330元/平"
此房简单装修家具齐全拎包入住户型方正急售随时可签,华通和平海岸二期 -旅顺开发区,1室1厅 | 62.26平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,8人关注 / 3个月以前发布,28.5,"4,578元/平"
海湾城两室 清水房 楼层好采光好,大连海湾城一期 -华润海中国,2室1厅 | 88.13平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,17人关注 / 一年前发布,112,"12,709元/平"
西街晶品两室带花园出行方便近地铁地势平坦,西街晶品 -西山水库,2室2厅 | 104.06平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,4人关注 / 1个月以前发布,172,"16,529元/平"
金二 七十六 南向 两室 一厅 精装修,金四街 -金三角,2室1厅 | 72.23平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,139,"19,245元/平"
南北通透 多层洋房 一层两户  三期组团,中冶蓝城C区 -生态新城,2室2厅 | 76.44平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,11人关注 / 6个月以前发布,114.8,"15,019元/平"
南北通透格局，采光好，近夜市，金马商城,新云里 -东山,2室1厅 | 52.67平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,41.6,"7,899元/平"
泉水B4区 南北通透 户型好 3楼位置好 交通配套齐全。,锦泉源B4区 -泉水锦泉源,2室2厅 | 72.44平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,50人关注 / 5个月以前发布,109,"15,047元/平"
装修保持很好 视野采光很棒 下楼就是地铁 手续清晰,中航华府 -体育新城,2室2厅 | 74.08平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,1人关注 / 2个月以前发布,112,"15,119元/平"
封闭小区，近西安路，精装修，看房方便。,天河新苑 -阳光月秀,1室1厅 | 58.93平米 | 南 北 | 简装 | 低楼层(共10层)  | 板楼,3人关注 / 2个月以前发布,64,"10,861元/平"
2017年精装 位置好 楼层佳 无遮挡 刚需养老,奥林园 -泉水美域盛景,2室2厅 | 78.62平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,24人关注 / 7个月以前发布,139.8,"17,782元/平"
帝欧花园封闭小区框架房，两室通厅户型，装修保持好,帝欧花园 -绿波,2室2厅 | 84.11平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,21人关注 / 5个月以前发布,159,"18,904元/平"
业主诚心出售 落地窗视野好，纯住宅手续,古耕国际酒店公寓 -红梅翠竹,1室0厅 | 54.47平米 | 北 | 精装 | 高楼层(共26层)  | 塔楼,18人关注 / 9个月以前发布,61,"11,199元/平"
东北明珠 中间楼层南向两室 看海观山,东北明珠 -开发区万达,2室1厅 | 76.45平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,8人关注 / 一年前发布,83,"10,857元/平"
此房满五年，小区少有的，一室一厅，采光好，出行便利,佳和园 -亿锋,1室1厅 | 55.29平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,70,"12,661元/平"
房子是田字格户型，采光好，视野开阔。,香周路（甘） -周水子,3室1厅 | 63.1平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,19人关注 / 3个月以前发布,101,"16,007元/平"
高祥里 两室一厅 清水可随意装修 阳光充足 采光好,高祥里 -高城山,2室1厅 | 60.9平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,39,"6,404元/平"
王家桥 八十芙蓉 南北两室 精装修 近地铁 非顶楼,王家桥 -促进路,2室1厅 | 54.13平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,9人关注 / 一年前发布,79.9,"14,761元/平"
西山水库万科溪之谷房龄新全封闭小区环境好两室两卫,万科溪之谷三期 -溪之谷,2室2厅 | 106.05平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,2人关注 / 2个月以前发布,135,"12,730元/平"
此房满五唯一 楼层好 地脚好 南北通透老少孕幼适宜...,如意人家钰莲园 -普兰店,2室2厅 | 86.34平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,63.8,"7,390元/平"
海湾城三期，封闭管理，视野朝好，居住舒适，环境优美,大连海湾城三期 -华润海中国,2室1厅 | 80.27平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 1个月以前发布,108,"13,455元/平"
精装修没怎么住过 附带屋内面积27平,万国宫馆二期 -红梅翠竹,2室2厅 | 85.74平米 | 南 | 精装 | 31层  | 塔楼,12人关注 / 一年前发布,117,"13,646元/平"
桃园少有的五明户型，近市场，交通购物便利,桃园小区 -桃园,2室1厅 | 71.1平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,49,"6,892元/平"
马栏广场 天涯街 中间楼层 采光好 南北向两室 视野好,马栏小学北 -马栏,2室1厅 | 53.99平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 4个月以前发布,69.8,"12,929元/平"
南北通透小两室 大连北站地铁一二号线,锦泉源D1区 -泉水锦泉源,2室1厅 | 60.15平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,89.5,"14,880元/平"
金马路轻轨站精装修一室楼层好采光好,城润万家 -城润,1室1厅 | 58.26平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,14人关注 / 10个月以前发布,47.3,"8,119元/平"
马栏 前程街里程巷 中间层 采光好,里程巷 -前程街,2室1厅 | 63.96平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,51人关注 / 一年前发布,75,"11,727元/平"
近大连北站锦泉源D1区南向一室一厅带阁楼,锦泉源D1区 -泉水锦泉源,1室1厅 | 52.42平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,3人关注 / 7个月以前发布,78,"14,880元/平"
芙蓉 八.十 采光充足 交通便利 生活配套齐全,八十中周家街 -大纺,1室1厅 | 45.77平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,53,"11,580元/平"
过渡小户型，单价低，地脚好，配套齐全,职工街（三八广场） -三八北,2室1厅 | 48.27平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,4人关注 / 5个月以前发布,40,"8,287元/平"
79 ，美加华小户型，精装修，南向，采光好，近西安路,美加华公寓 -中山公园,1室1厅 | 43.05平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,14人关注 / 10个月以前发布,91,"21,139元/平"
南北通透，楼层好，采光好，小区新，出行方便,万亿香橙 -大纺,2室1厅 | 77.43平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,29人关注 / 6个月以前发布,147,"18,985元/平"
新希望家园 近金马路轻轨站，交通便利，商圈成熟,新希望家园 -城润,1室1厅 | 44.56平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,23人关注 / 10个月以前发布,35.8,"8,035元/平"
嫩江小区  两室一厅 多层 中间楼层 精装修 拎包即住,嫩江小区 -杏花里,2室1厅 | 68.98平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,20人关注 / 一年前发布,40,"5,799元/平"
店长推荐！自家装修 装修风格现代化 小区头一份,中国铁建山语城 -生态新城,2室2厅 | 76.56平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,3人关注 / 4个月以前发布,100,"13,062元/平"
南北通透格局，采光好，近夜市，金马商城,新云里 -东山,2室1厅 | 52.67平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,41.6,"7,899元/平"
2室南北通透户型，南北通透户型，电梯房中间楼层..,湾里南小区 -金湾新城,2室1厅 | 76.09平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,8人关注 / 5个月以前发布,74.5,"9,792元/平"
有钥匙 荣民街 中间楼层 南北向二室一厅,荣民街（二七商圈） -二七,2室1厅 | 65.9平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,118,"17,906元/平"
此房满两年了，精装修三室一厅，南北通透通厅的,乾豪新界 -金湾新城,2室2厅 | 88.87平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,3人关注 / 一年前发布,95,"10,690元/平"
此房满五唯一 楼层好 地脚好 南北通透老少孕幼适宜...,如意人家钰莲园 -普兰店,2室2厅 | 86.34平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,63.8,"7,390元/平"
新希望家园小两室房源装修保好......,新希望家园 -城润,2室1厅 | 58.4平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,6人关注 / 4个月以前发布,57,"9,761元/平"
此房格局好，中间楼层 户型采光好！精装修看房方便,左岸阳光 -桃园,2室1厅 | 84.55平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,20人关注 / 5个月以前发布,62,"7,333元/平"
本房户型南北通厅 客厅开间大采光和楼层很好，精装修,康馨壹品 -金湾新城,2室2厅 | 78.95平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,3人关注 / 2个月以前发布,92,"11,653元/平"
远洋风景 南向一室一厅 两个南向大窗户,远洋风景 -北京公园,1室1厅 | 47.76平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,2人关注 / 1个月以前发布,98,"20,520元/平"
装修好，拎包入住，干净，纯南向户型，采光好,红星海五期青屿蓝 -红星海,2室1厅 | 91.6平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,109,"11,900元/平"
此房南北通透户型，楼层好，采光好，位置好。,香炉礁 -香炉礁,2室1厅 | 52.4平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,8人关注 / 3个月以前发布,60.8,"11,604元/平"
25万精装修两室，海景房中间楼层，无欠贷随时签约急售,华润海中国一期 -华润海中国,2室2厅 | 88.07平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,34人关注 / 7个月以前发布,136.5,"15,500元/平"
这套房子装修保持的好，干净，可以直接拎包入住,左岸经典 -红梅翠竹,1室0厅 | 47.6平米 | 东 | 精装 | 低楼层(共33层)  | 塔楼,7人关注 / 10个月以前发布,30,"6,303元/平"
绿山巷 2楼 24陪读 老人养老 装修保持好 领包入住即可,绿山巷 -武昌街,2室2厅 | 80.3平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,53人关注 / 4个月以前发布,127,"15,816元/平"
精装修，两室 ，高楼层， 采光好。小区人车分流,尚海华庭 -金湾新城,2室1厅 | 79.99平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,67.2,"8,402元/平"
文华园 小高层 全明户型 中间楼层,文华园 -海富,2室1厅 | 77.79平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,2人关注 / 7个月以前发布,84,"10,799元/平"
大区总监推荐 华润经典小户型  南向 精装修 采光好,华润海中国三期 -华润海中国,1室1厅 | 61.81平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,7人关注 / 4个月以前发布,81,"13,105元/平"
金马路精选  红梅开7纯住宅一室 无过渡期 有燃气,古耕国际酒店公寓 -红梅翠竹,1室0厅 | 55.28平米 | 北 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 3个月以前发布,75,"13,568元/平"
采光好，装修保持好，家电家具齐全，拎包入住,远洋时代城一期 -高城山,2室2厅 | 88.63平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,4人关注 / 10个月以前发布,89.9,"10,144元/平"
恒大次新房 电梯 跃层 精装修 前排位置,恒大檀溪郡 -溪之谷,2室2厅 | 101.25平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,7人关注 / 1个月以前发布,116,"11,457元/平"
房子位置好，婚房精装修，嗷嗷急售诚心卖，看房方便,东城天下 -东城,2室1厅 | 90.03平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,4人关注 / 1个月以前发布,69,"7,665元/平"
近华南商圈 全封闭小区 枫丹丽城 精装修洋房两室两厅,枫丹丽城 -泉水美域盛景,2室2厅 | 90.11平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,62人关注 / 8个月以前发布,177,"19,643元/平"
华南商圈 南北通透全明户型 精装两室,沿海鉴筑二期 -华南,2室2厅 | 83.42平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,35人关注 / 5个月以前发布,162,"19,420元/平"
南北通透两室 户型方正 房主诚心卖 看房方便 急售,锦泉源D2区 -泉水锦泉源,2室1厅 | 62.53平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,24人关注 / 8个月以前发布,95,"15,193元/平"
房主装修用心，南北通厅格局好，小高层,华润考拉住区北园 -名贵,2室1厅 | 84.32平米 | 东 南 北 | 精装 | 低楼层(共9层)  | 板楼,18人关注 / 一年前发布,123,"14,588元/平"
厦子上一楼好楼层位置好配套齐全,岭前街 -普兰店,2室1厅 | 43.09平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,20.3,"4,712元/平"
急售华通三期 两室南北通透 精装修拎包即住 全明户型,华通地中海郡 -旅顺开发区,2室1厅 | 74.52平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 4个月以前发布,35,"4,697元/平"
新上昌平小区 精装修两室一厅近地铁,南昌平小区 -西安路,2室1厅 | 51.48平米 | 东 南 西 | 精装 | 高楼层(共7层)  | 板楼,16人关注 / 4个月以前发布,65.8,"12,782元/平"
锦泉南园 中间楼层3楼 南北通透 知行价钱可议诚心卖,锦泉南园 -锦绣,2室1厅 | 69平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 3个月以前发布,89.8,"13,015元/平"
西街晶品两室带花园出行方便近地铁地势平坦,西街晶品 -西山水库,2室2厅 | 104.06平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,4人关注 / 1个月以前发布,172,"16,529元/平"
1楼有花园 有下越 精装修 3室,伴山澜湾 -红星海,2室2厅 | 91.4平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,37人关注 / 一年前发布,110,"12,036元/平"
新上好房 南北两室，低楼层，诚心出售 近乐购 公园,新星绿城三期 -辛寨子,2室1厅 | 65.94平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 4个月以前发布,90,"13,649元/平"
锦华北园一楼带大院，近地铁，位置好,锦华北园 -锦绣,2室1厅 | 73.78平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 2个月以前发布,109.5,"14,842元/平"
昆明街商圈 南北向小户型 采光好 户型通透,同心街（昆明街） -南山,1室1厅 | 37.44平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,14人关注 / 一年前发布,52.5,"14,023元/平"
大华锦绣华城八期 2室1厅 南 北,大华锦绣华城八期 -庙岭,2室1厅 | 71.53平米 | 南 北 | 简装 | 低楼层(共31层)  | 板楼,12人关注 / 6个月以前发布,159.8,"22,341元/平"
湾里东 南北通透 电梯房 房主急售 中楼层,湾里东 -金湾新城,2室1厅 | 67.91平米 | 南 北 | 简装 | 中楼层(共16层)  | 板楼,8人关注 / 4个月以前发布,53,"7,805元/平"
南北通透 中间楼层 采光好 交通方便 近地铁,迎客路（机场商圈） -机场,2室1厅 | 64平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,74,"11,563元/平"
万国宫馆二期 两室 精装修  可拎包入住 诚心出售,万国宫馆二期 -红梅翠竹,2室1厅 | 85.29平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,3人关注 / 2个月以前发布,123,"14,422元/平"
南向两室随时看楼层好近幼儿园地铁公交,远洋自然 -华南,2室1厅 | 77.84平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼,90人关注 / 一年前发布,123.8,"15,905元/平"
近炮台山公园 南北通透 电梯洋房全明户型,泽林苑 -安盛,2室1厅 | 87.89平米 | 南 北 | 精装 | 7层  | 板塔结合,3人关注 / 4个月以前发布,89.8,"10,218元/平"
精装修自主，交通便利，出行方便，背靠腾飞..,山海一家一期 -华录,2室1厅 | 93.97平米 | 北 南 | 精装 | 低楼层(共12层)  | 板楼,3人关注 / 1个月以前发布,158,"16,814元/平"
光线好，视野好，多层 ，得房率高，楼层好，户型好,锦泉源D4区 -泉水锦泉源,1室1厅 | 44.84平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 4个月以前发布,66.9,"14,920元/平"
精装修保持好 提包即住 双阳台 采光好,万科魅力之城 -魅力之城,2室1厅 | 75.56平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,1人关注 / 3个月以前发布,103,"13,632元/平"
金三 76 配套齐全 产权清晰 2室南北向 精装修 可贷款,76中学桥北 -金三角,2室0厅 | 38.13平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,69.5,"18,228元/平"
79双  二楼   南北向  位置好,79中广电中心 -中山公园,1室1厅 | 36.6平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,7人关注 / 一年前发布,133,"36,339元/平"
湾里东 2室1厅 南 北,湾里东 -金湾新城,2室1厅 | 72.78平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,66,"9,069元/平"
浦项道 2室2厅 南 北,浦项道 -高新园区,2室2厅 | 98.24平米 | 南 北 | 其他 | 高楼层(共36层)  | 板塔结合,2人关注 / 4个月以前发布,280,"28,502元/平"
标准两室挑担  采光好无遮挡近早市 交通便利 户型方正,小孤山中里 -海富,2室1厅 | 61.65平米 | 南 | 简装 | 低楼层(共15层)  | 板楼,30人关注 / 6个月以前发布,44.8,"7,267元/平"
金二 七十六 南向 两室 一厅 精装修,金四街 -金三角,2室1厅 | 72.23平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,139,"19,245元/平"
