标题,开发商,房子信息,发布信息,售价/万,单价
适合老年人居住。一楼带花园不潮湿,广信四季家园 -贵阳北站,3室1厅 | 90.6平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 21天以前发布,58.8,"6,491元/平"
市西路浣纱桥电梯地铁口2室2厅1卫急售,香港名店街 -大西门,2室2厅 | 92.07平米 | 东南 | 简装 | 中楼层(共10层)  | 板塔结合,0人关注 / 27天以前发布,68,"7,386元/平"
传书巷20号 2室2厅 南,传书巷20号 -喷水池,2室2厅 | 60.79平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,49.8,"8,193元/平"
万科花样朝南精装有暖气3室2卫，带车位出售,万科大都会花样 -小河转盘,3室2厅 | 104.51平米 | 西南 | 精装 | 低楼层(共35层)  | 板塔结合,0人关注 / 1个月以前发布,110,"10,526元/平"
F20大三房户型，横厅设计，地铁口，楼层好，生活便利,花果园R1区 -花果园,3室2厅 | 126.88平米 | 东 | 简装 | 高楼层(共39层)  | 塔楼,0人关注 / 24天以前发布,86,"6,779元/平"
精装两房   拎包入住   楼层好  出入方便,龙耀苑 -世纪城,2室2厅 | 88.66平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 30天以前发布,73,"8,234元/平"
中装、近地铁、产权满五、 交通便利、配套设施齐全,建设路 -白云公园,1室1厅 | 56.31平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 31天以前发布,28,"4,973元/平"
房子产权满两年 户型方正好用 客厅大,中大国际广场 -市北,4室2厅 | 144.35平米 | 南 北 | 简装 | 高楼层(共42层)  | 塔楼,0人关注 / 23天以前发布,166,"11,500元/平"
桂苑小区楼层采光好 大二房 满二年 房东诚心出售,桂苑小区 -振华广场,2室2厅 | 82.11平米 | 东南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 25天以前发布,56,"6,821元/平"
桂苑小区楼层采光好 大二房 满二年 房东诚心出售,桂苑小区 -振华广场,2室2厅 | 82.11平米 | 东南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 25天以前发布,56,"6,821元/平"
数博万达旁 水电九局内区一楼两室36 w 个税,水电九局内区宿舍 -高新区,2室1厅 | 62.45平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,36,"5,765元/平"
房子产权满二，带一个车位，配套齐,未来方舟H6组团 -未来方舟,3室2厅 | 103.54平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 27天以前发布,100.8,"9,736元/平"
强星商住楼 4室2厅 东南,强星商住楼 -小河浦江路,4室2厅 | 155.07平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 22天以前发布,76,"4,902元/平"
满两年 毛坯 南向 观山湖公园旁,中天会展城A区 -会展城,2室2厅 | 90.08平米 | 西南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,86,"9,548元/平"
碧园花城 3室2厅 东南,碧园花城 -小河转盘,3室2厅 | 164.61平米 | 东南 | 精装 | 中楼层(共19层)  | 塔楼,0人关注 / 19天以前发布,122,"7,412元/平"
云城尚品  三房两卫  简单装修 带地暖  产权满二,云城尚品A3区 -白云公园,3室2厅 | 96.01平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 19天以前发布,81,"8,437元/平"
桃园路41号 3室1厅 南 北,桃园路41号 -凤凰湾,3室1厅 | 82.85平米 | 南 北 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 22天以前发布,45,"5,432元/平"
正规三房带两个露台和屋顶花园产权满二,楠竹花园西区 -十里河滩,3室2厅 | 104.83平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 22天以前发布,53,"5,056元/平"
振华广场 步梯顶楼复式 带花园 75万,新星园 -振华广场,4室1厅 | 190.23平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 28天以前发布,75,"3,943元/平"
河景大平层 毛坯大户型电梯入户,未来方舟E7组团 -未来方舟,5室2厅 | 214.55平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 27天以前发布,205,"9,555元/平"
花果园T1区精装三房、产权满二、拎包入住、,花果园T1区 -花果园,3室2厅 | 98.51平米 | 东南 | 精装 | 高楼层(共44层)  | 塔楼,0人关注 / 24天以前发布,78,"7,918元/平"
精装修 全屋地暖 四个阳台 视野开阔,保利温泉新城三期 -保利温泉,4室2厅 | 146.7平米 | 东南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,110,"7,499元/平"
地铁口空房诚心出售 满二产权清晰无抵押 户型方正,财富公馆 -大西门,3室2厅 | 115.17平米 | 北 | 简装 | 中楼层(共31层)  | 塔楼,0人关注 / 24天以前发布,88.6,"7,693元/平"
云凯熙园 4居室带双卫 证件清晰 随时看房,云凯熙园 -小河转盘,4室2厅 | 131.14平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,0人关注 / 24天以前发布,88.8,"6,772元/平"
湖语美郡毛坯122平 户型反正好用,乐湾国际.湖语美郡 -乐湾国际,3室2厅 | 122.65平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 21天以前发布,76,"6,197元/平"
绿苑小区畔山丽苑两室两厅满五不唯一无尾款,畔山丽苑 -望城坡,2室2厅 | 86.14平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 27天以前发布,50,"5,805元/平"
会展城A区，交通生活方便，随时可看,中天会展城A区 -会展城,2室2厅 | 89.42平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 27天以前发布,99,"11,072元/平"
急售 文昌阁旁 正规3房 产权清晰 无抵押 看房有钥匙,电台街1号 -喷水池,3室1厅 | 85.56平米 | 南 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 30天以前发布,90,"10,519元/平"
花果园S1区 公园门口 精装修 满二 少税 随时看房,花果园S1区 -太慈桥,3室2厅 | 106.46平米 | 东南 | 精装 | 低楼层(共44层)  | 塔楼,0人关注 / 18天以前发布,78,"7,327元/平"
群升大智汇思雅郡B组团3-2-1-2 107.69m²,群升大智汇思雅郡B组团 -花溪大学城,3室2厅 | 107.69平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,71,"6,593元/平"
满五年，采光好，空置简装好看房，房东诚心出售,尖山小区 -白云公园,3室2厅 | 98.8平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 18天以前发布,50,"5,061元/平"
美的林城南区 业主诚心出售，可省增值税/个税 手慢无,美的林城时代南区 -会展城,3室1厅 | 97.57平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,0人关注 / 19天以前发布,125,"12,812元/平"
名门国际广场 2室2厅 西南,名门国际广场 -喷水池,2室2厅 | 81.78平米 | 西南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 30天以前发布,85,"10,394元/平"
全新毛坯产权满2户型方正随时看房要钥匙视野通透采光,保利凤凰湾E区 -凤凰湾,3室2厅 | 119.82平米 | 西南 | 精装 | 高楼层(共39层)  | 塔楼,0人关注 / 27天以前发布,112,"9,348元/平"
保利凤凰湾毛坯三房，住家安静。,保利凤凰湾E区 -凤凰湾,3室2厅 | 119.82平米 | 西南 | 毛坯 | 高楼层(共39层)  | 塔楼,0人关注 / 27天以前发布,112,"9,348元/平"
保利温泉新城三期三期大平层满二,保利温泉新城三期 -保利温泉,4室1厅 | 174.03平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,0人关注 / 20天以前发布,118,"6,781元/平"
云岩区地铁口中天花园桃花源精装三室领包入住可贷款,中天花园.桃花园 -中天花园,3室2厅 | 96.76平米 | 东南 | 精装 | 地下室(共8层)  | 板塔结合,1人关注 / 21天以前发布,64.8,"6,697元/平"
云城尚品  精装三房   中高楼层  产权满二  正常首付,云城尚品A3区 -白云公园,3室2厅 | 83.74平米 | 东南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 20天以前发布,75.6,"9,028元/平"
绿苑小区天源居 3室1厅 东南,绿苑小区天源居 -望城坡,3室1厅 | 115.38平米 | 东南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 23天以前发布,70,"6,067元/平"
地暖小三房，产权满二，视野开阔。,未来方舟H6组团 -未来方舟,3室2厅 | 105.43平米 | 东 东南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 26天以前发布,118,"11,193元/平"
花果园E区金融街产权满二、视野开阔拎包入住先到先得,花果园E区 -花果园,3室2厅 | 77.45平米 | 东南 | 精装 | 高楼层(共43层)  | 塔楼,0人关注 / 18天以前发布,62,"8,006元/平"
观山湖公园门口 金元国际 精致三房 业主诚心出售,金元国际新城南区 -观山湖公园,3室2厅 | 134.43平米 | 南 西南 西 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 25天以前发布,143,"10,638元/平"
南明河畔 河滨公园河景房 精装3房拎包入住,金岸玉都 -钻石广场,3室1厅 | 101.82平米 | 北 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 18天以前发布,139,"13,652元/平"
新世界地铁口简单装修3房  满二  视野开阔,碧潭园D区 -新世界,3室2厅 | 86.82平米 | 东南 | 简装 | 高楼层(共25层)  | 板塔结合,0人关注 / 22天以前发布,89.2,"10,275元/平"
花果园Q区，地铁站旁，精装三室，76平方，可按揭,花果园Q区 -花果园,3室1厅 | 76.32平米 | 南 | 精装 | 低楼层(共41层)  | 塔楼,0人关注 / 17天以前发布,54,"7,076元/平"
17  地铁口1梯1户大横厅3房 装修保养好 接受公积金,威清路83号 -大西门,3室2厅 | 127.57平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 16天以前发布,95.6,"7,494元/平"
采光视野很不错的三房，看别墅区,山水黔城十组团 -小河山水黔城,3室1厅 | 133.28平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 19天以前发布,116,"8,704元/平"
毛坯两房 产权清晰 户型方正 业主诚心出售,云祥山庄 -南湖,2室2厅 | 76.18平米 | 东 东南 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 20天以前发布,53,"6,958元/平"
户型方正，产权满二  接受客户贷款,世纪城龙泉苑东区 -世纪城,3室1厅 | 115.54平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 23天以前发布,88,"7,617元/平"
保利春天大道 3室2厅 东南,保利春天大道 -保利温泉,3室2厅 | 114.22平米 | 东南 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 19天以前发布,69.98,"6,127元/平"
房子户型方正  采光好  有车位,龙晖苑 -世纪城,2室2厅 | 89.66平米 | 南 | 简装 | 中楼层(共28层)  | 塔楼,0人关注 / 20天以前发布,72,"8,031元/平"
精装带车位，小区环境优美，户型方正，视野开阔采光好,金阳新世界山临境 -新世界,4室2厅 | 139.63平米 | 西南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 24天以前发布,168,"12,032元/平"
云城尚品高层优质二室二厅一厨一出售,云城尚品A3区 -白云公园,2室2厅 | 76.21平米 | 东北 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 24天以前发布,66,"8,661元/平"
悠然居北区大户型采光充足户型好,绿苑小区悠然居北区 -望城坡,3室2厅 | 120.13平米 | 西北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 27天以前发布,85,"7,076元/平"
精装复式三房 高楼层 视野好  小区中庭,金元国际新城南区 -观山湖公园,3室2厅 | 163.9平米 | 东南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 17天以前发布,200,"12,203元/平"
天誉城新出精装温馨三室两厅两卫出售采光好户型方正,天誉城 -鹿冲关,3室2厅 | 126.19平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 18天以前发布,123,"9,748元/平"
此房满二 南通北透 视野宽阔 采光充足 配套设施齐全,优品道·优品城邦 -南湖,3室2厅 | 85.31平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 25天以前发布,73.8,"8,651元/平"
百花大道地铁口视野好  景观好,蒙特卡尼 -三桥,3室2厅 | 134.49平米 | 东南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 17天以前发布,89,"6,618元/平"
电梯房精装修，中间位置安静不吵闹,兴隆城市花園碧波居 -小河山水黔城,4室2厅 | 142.42平米 | 东 北 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 20天以前发布,93,"6,530元/平"
人工湖公园旁，精装大两房，阳台朝南冬暖夏凉,榕筑南溪绿园 -花溪保利溪湖,2室2厅 | 89.77平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 26天以前发布,53,"5,904元/平"
花果园U区 2室1厅 西南,花果园U区 -花果园,2室1厅 | 66.82平米 | 西南 | 精装 | 高楼层(共44层)  | 塔楼,0人关注 / 22天以前发布,46,"6,885元/平"
恒大雅苑准新房   户型通透   采光好,恒大雅苑 -中天花园,3室2厅 | 123平米 | 西南 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 22天以前发布,90,"7,318元/平"
全新装修带地暖 业主诚心出售 随时可看,龙锦苑 -世纪城,3室1厅 | 96.76平米 | 东南 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 24天以前发布,96.8,"10,005元/平"
空房出售、买来就住、无抵押、过户时间快、钥匙放,一鸣·宽城国际 -十里河滩,3室2厅 | 117.53平米 | 东南 南 | 精装 | 低楼层(共35层)  | 塔楼,0人关注 / 30天以前发布,67,"5,701元/平"
【W2区】精装大三房，有钥匙随时看房，门口BRT车站,花果园W2区 -花果园,3室1厅 | 109.58平米 | 东南 | 精装 | 中楼层(共45层)  | 板塔结合,1人关注 / 30天以前发布,70,"6,389元/平"
此房产权清晰 不唯一  看房方便 单价低 楼层低,金世旗楠苑 -花溪公园,3室2厅 | 136.27平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 25天以前发布,74.8,"5,490元/平"
边套顶楼复式洋房，看小区中庭，景观很好。,美的林城时代北区 -会展城,4室2厅 | 199平米 | 北 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,353,"17,739元/平"
美的林城时代北区 3室1厅 南 北,美的林城时代北区 -会展城,3室1厅 | 134.07平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 11天以前发布,238,"17,752元/平"
天骄北苑 2室1厅 东南,天骄北苑 -三桥,2室1厅 | 71.26平米 | 东南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 4天以前发布,48,"6,736元/平"
龙盛苑 总价低 满两年 诚心卖 精装拎包入住,龙盛苑 -世纪城,2室2厅 | 85.69平米 | 东南 | 其他 | 高楼层(共25层)  | 塔楼,0人关注 / 16天以前发布,69,"8,053元/平"
小区环境优美，房子精装修带地暖，有车位，视野开阔。,中铁逸都国际B区 -奥体中心,4室2厅 | 212平米 | 东南 | 其他 | 下叠(共6层)  | 平房 | 叠拼别墅 ,0人关注 / 1天以前发布,280,"13,208元/平"
花果园一期满二精装两房 湿地公园旁 确定不看一下吗,花果园一期 -花果园,2室1厅 | 80.6平米 | 东 | 其他 | 高楼层(共48层)  | 塔楼,0人关注 / 12天以前发布,60,"7,445元/平"
满五唯一 无贷款 精装修 家具家电齐全 拎包入住,中兴苑 -小河浦江路,3室2厅 | 118.33平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 8天以前发布,75,"6,339元/平"
花溪区地铁口 精装复式出售 带花园采光好出入方便,金世旗楠苑 -花溪公园,5室2厅 | 236.06平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 29天以前发布,168,"7,117元/平"
产权满二 全新装修 近地铁带车位 格局好 坐北朝南,云景世家 -南湖,3室2厅 | 101.83平米 | 东南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 24天以前发布,88,"8,642元/平"
地铁口万象汇旁 观山湖区奥林花园精装三房 满二随时看,奥林花园 -奥体中心,3室1厅 | 88.89平米 | 西南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 28天以前发布,86.2,"9,698元/平"
优品城邦 精装三室 户型方正 朝南 产权满五 诚心出售,优品道·优品城邦 -南湖,3室2厅 | 84.25平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 28天以前发布,75,"8,903元/平"
花溪碧桂园 6室3厅 东南,花溪碧桂园 -孟关,6室3厅 | 337.73平米 | 东南 | 毛坯 | 中楼层(共9层)  | 板楼,0人关注 / 31天以前发布,260,"7,699元/平"
花果园 友谊佳苑 精装三房 产权证齐全 随时过户可贷款,友谊佳苑 -花果园,3室2厅 | 125.66平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 23天以前发布,82.8,"6,590元/平"
地跌口电梯小高层精装3房带独立衣帽间,智慧龙城林语苑 -花果园,3室2厅 | 127平米 | 南 | 精装 | 中楼层(共12层)  | 暂无数据,0人关注 / 30天以前发布,110,"8,662元/平"
房子精装修，产权满二，户型好用,龙门大厦 -大西门,3室2厅 | 140.51平米 | 南 西南 西北 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 23天以前发布,95,"6,762元/平"
保利春天洋房 一楼三层 装修九成新 满二 拎包入住,保利春天大道 -保利温泉,5室2厅 | 226.14平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 26天以前发布,210,"9,287元/平"
南明区 钻石广场 业主诚心出售,联通大厦 -钻石广场,6室3厅 | 388.23平米 | 东南 | 简装 | 高楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,288,"7,419元/平"
金融城旁满五唯一，公园大境精装3房，拎包入住。,俊发城 -会展城,3室2厅 | 85.97平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 20天以前发布,80,"9,306元/平"
诚售中天花园桂花园退台别墅，简单装修,中天花园桂花园 -中天花园,4室2厅 | 187.43平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 23天以前发布,154,"8,217元/平"
中铁逸都国际精装修4房带前后花园车位实用面积约200平,中铁逸都国际A区 -奥体中心,4室2厅 | 129.01平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,0人关注 / 23天以前发布,208,"16,123元/平"
万达旁一楼带花园小三房，出行便利。,碧海红湖 -观山湖公园,3室2厅 | 108平米 | 东南 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 18天以前发布,105,"9,723元/平"
地铁口万象汇旁房子产权满5 精装家电齐全 电梯房采光,奥林花园 -奥体中心,3室2厅 | 128.92平米 | 东南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 22天以前发布,90,"6,982元/平"
房子户型方正 采光好 户型方正,世纪城龙嘉苑 -世纪城,4室2厅 | 185.28平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 26天以前发布,165,"8,906元/平"
一楼步梯房，出行方便，简单装修，拎包入住,中天花园玉兰园 -中天花园,3室2厅 | 152.34平米 | 东南 南 | 简装 | 低楼层(共12层)  | 塔楼,0人关注 / 16天以前发布,120,"7,878元/平"
华润国际社区 3室2厅 西南,华润国际社区 -奥体中心,3室2厅 | 96.81平米 | 西南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 16天以前发布,135,"13,945元/平"
房子精装修4室2厅入住不到2年看房方便景观好可贷款。,万科翡翠滨江 -火车站,4室2厅 | 137平米 | 南 北 | 精装 | 低楼层(共48层)  | 暂无数据,0人关注 / 19天以前发布,226,"16,497元/平"
顶楼复式 带大露台 产权清晰 正常首付 随时看房,中天山水园 -观山湖公园,4室2厅 | 164.62平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 24天以前发布,139,"8,444元/平"
产权满二 银行无贷 全新精装修 客厅吊顶 家电关门卖,恒大城 -南湖,3室2厅 | 124.36平米 | 西南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 25天以前发布,99.8,"8,026元/平"
优品道·优品城邦 4室2厅 东南 东,优品道·优品城邦 -南湖,4室2厅 | 107.81平米 | 东南 东 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 21天以前发布,88,"8,163元/平"
全景观山湖公园顶配住宅  身份的象征 450万300平,金元国际新城南区 -观山湖公园,4室3厅 | 164.05平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 27天以前发布,450,"27,431元/平"
洋房精装修带车位，业主诚心出售。,中铁逸都国际A区 -奥体中心,4室2厅 | 142.64平米 | 东南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 28天以前发布,148,"10,376元/平"
金融城旁 满二 采光充足 视野宽阔 配套齐全,俊发城 -会展城,3室2厅 | 85.84平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 17天以前发布,73,"8,505元/平"
此房产权清晰，户型方正，采光通风好，正常首付,天林花园 -南湖,3室2厅 | 106.25平米 | 东 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,73.6,"6,928元/平"
富华松竹苑低楼层、大三房、小区环境好,富华松竹苑 -蟠桃宫,3室2厅 | 94.34平米 | 西北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,80,"8,480元/平"
房子格局 好家具电保养好，装修自住 全屋地暖公园房,花果园S2区 -花果园,3室2厅 | 98.18平米 | 南 | 其他 | 低楼层(共45层)  | 塔楼,0人关注 / 7天以前发布,82,"8,353元/平"
中天会展城A区 2室2厅 东南,中天会展城A区 -会展城,2室2厅 | 89平米 | 东南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 1天以前发布,92,"10,338元/平"
贵阳一中旁  景怡苑  稀有 大四房  精装修 拎包入住,明诚景怡苑 -世纪城,4室2厅 | 151.91平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,230,"15,141元/平"
龙宇苑精装三房关门卖满五唯一随时看房,龙宇苑 -世纪城,3室2厅 | 99.23平米 | 南 | 其他 | 高楼层(共30层)  | 塔楼,0人关注 / 6天以前发布,76,"7,659元/平"
精装修带地暖+专梯入户+大平层,碧桂园观山府 -商贸城,5室2厅 | 203.72平米 | 东南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 14天以前发布,240,"11,781元/平"
业主诚心出售，看房精装修关门卖，可以正常首付。,中天 · 托斯卡纳24组团 -南湖,4室2厅 | 170.26平米 | 南 北 | 精装 | 3层  | 板楼 | 联排别墅 ,0人关注 / 15天以前发布,248,"14,566元/平"
拎包入住，低楼层出行便利，无遮挡，采光好,龙锦苑 -世纪城,3室2厅 | 135.87平米 | 西南 | 简装 | 低楼层(共30层)  | 塔楼,0人关注 / 一年前发布,118,"8,685元/平"
龙锦苑中装全齐大三房118万带车位诚心出售！,龙锦苑 -世纪城,3室2厅 | 134.39平米 | 东南 | 简装 | 中楼层(共30层)  | 板楼,0人关注 / 一年前发布,115,"8,558元/平"
全产权大三房150万精装修诚心出售,世纪城龙嘉苑 -世纪城,3室2厅 | 145.48平米 | 东南 南 | 精装 | 中楼层(共30层)  | 塔楼,2人关注 / 一年前发布,143,"9,830元/平"
麓湖宫A区 5室2厅 南 北,麓湖宫A区 -清镇,5室2厅 | 170.24平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,130,"7,637元/平"
顶楼复式带花园         五室两厅两卫,佳居苑 -市北,5室2厅 | 201.23平米 | 东南 | 简装 | 高楼层(共7层)  | 塔楼,1人关注 / 7个月以前发布,130,"6,461元/平"
龙凯简装三房 带车位出售 交通便利,龙凯苑 -世纪城,3室2厅 | 119.81平米 | 南 | 简装 | 高楼层(共30层)  | 板楼,2人关注 / 一年前发布,102,"8,514元/平"
精装修，带露台，满二税费少，房东诚心出售,黎阳家园12组团 -观山湖公园,5室2厅 | 173.28平米 | 东南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,118,"6,810元/平"
房子户型很好用，一楼出行方便，价格美丽！,金田家园 -振华广场,4室2厅 | 189.53平米 | 东南 西北 | 简装 | 低楼层(共8层)  | 板塔结合,3人关注 / 一年前发布,125,"6,596元/平"
恒大绿洲3房  满五唯一 接受贷款,恒大绿洲 -南湖,3室2厅 | 121.55平米 | 北 | 精装 | 低楼层(共11层)  | 塔楼,20人关注 / 一年前发布,107,"8,803元/平"
业主诚心出售 世纪城龙泉苑 简装三房 看房方便,世纪城龙泉苑西区 -世纪城,3室2厅 | 139.34平米 | 南 | 简装 | 中楼层(共30层)  | 板楼,0人关注 / 一年前发布,111.8,"8,024元/平"
燕山雅筑大平层，产权已满，室外风景好,燕山雅筑 -振华广场,5室2厅 | 131.72平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 5个月以前发布,89.8,"6,818元/平"
一楼两百多平花园   三楼二十多平露台,长冲一组 -市北,6室2厅 | 478.45平米 | 东 西南 | 简装 | 低楼层(共3层)  | 暂无数据,15人关注 / 一年前发布,460,"9,615元/平"
叠翠谷   满二  精装修  视野好  采光好,中天花园.叠翠谷 -中天花园,4室2厅 | 256.37平米 | 东南 南 | 精装 | 高楼层(共11层)  | 板塔结合,11人关注 / 一年前发布,248,"9,674元/平"
蒙特卡尼精装修三房楼层好 视野广阔,蒙特卡尼 -三桥,3室2厅 | 142.58平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 一年前发布,125,"8,768元/平"
观山湖公园房产权满5年 低税，温馨复式，楼层采光充足,金元国际新城南区 -观山湖公园,4室2厅 | 161.96平米 | 西南 | 精装 | 低楼层(共30层)  | 板塔结合,8人关注 / 11个月以前发布,215,"13,275元/平"
急售兴隆城市花园 全新精装复式楼 产权满2,兴隆城市花园 -小河山水黔城,4室2厅 | 173.75平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,165,"9,497元/平"
阅山湖公园万达广场碧波苑精装3室2厅2卫3阳台可贷款,碧波苑 -观山湖公园,3室2厅 | 147.59平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 9个月以前发布,128,"8,673元/平"
步梯5楼 地铁口 老小区改造 规划车库,优品道·优品城邦 -南湖,4室2厅 | 110.92平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,102.5,"9,241元/平"
拎包入住！紧挨金源街和公园！交通方便！,龙盛苑 -世纪城,4室2厅 | 173.1平米 | 南 | 简装 | 高楼层(共21层)  | 板楼,11人关注 / 一年前发布,150,"8,666元/平"
优质房源出售，邻泉湖公园，采光充足。,岭秀阳光 -南湖,6室2厅 | 125.71平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,121,"9,626元/平"
出售观山湖区碧海馨怡苑顶楼复式192平153万,馨怡园 -观山湖公园,5室2厅 | 192.21平米 | 东南 | 毛坯 | 高楼层(共7层)  | 板塔结合,26人关注 / 一年前发布,150,"7,804元/平"
通透格局，高楼层，视野好，采光充足,龙耀苑 -世纪城,3室2厅 | 119.79平米 | 东南 | 精装 | 高楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,98,"8,181元/平"
松景阁小区 5室2厅 南,松景阁小区 -观山湖公园,5室2厅 | 258.16平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,204,"7,903元/平"
世纪城龙禧苑观景大平层诚心出售，买到就是挣到,世纪城龙禧苑 -世纪城,4室2厅 | 221.91平米 | 东南 | 精装 | 高楼层(共45层)  | 板塔结合,10人关注 / 一年前发布,215,"9,689元/平"
