标题,开发商,房子信息,发布信息,售价/万,单价
清江嘉园 4室2厅 南,清江嘉园 -钱清,4室2厅 | 188.49平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,355,"18,834元/平"
镜悦府精装好房 满五唯一 车棚车位都有 诚心急售,勤业镜悦府 -镜湖,3室2厅 | 88.8平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 1个月以前发布,198,"22,298元/平"
花园新村好房，东边套三楼，采光好，户型佳,花园新村 -开发区,3室2厅 | 122.29平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,150,"12,266元/平"
楼层好 视野广阔 复式格局 配套设施齐全 交通便利,帝景现代城 -上虞万达,3室2厅 | 93.26平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,25人关注 / 一年前发布,145,"15,548元/平"
此房楼层好，阳光佳，适合大家居住,西横河新村三区 -老城区,3室1厅 | 71.07平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,3人关注 / 6个月以前发布,156,"21,951元/平"
房东诚心出售，楼层好，阳光好，小区好,国公花苑 -嵊州城南,5室2厅 | 169.54平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,11人关注 / 11个月以前发布,95,"5,604元/平"
自住精装修的，可拎包入住.................,天际海悦 -上虞城北,3室2厅 | 100平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,10人关注 / 9个月以前发布,249.8,"24,980元/平"
户型通透3房，格局好，绿城物业，此房满两年,中冶梧桐园 -两湖,3室1厅 | 109.41平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,189,"17,275元/平"
房子精装修，采光好，交通便利，可拎包入住,金通黄金海岸 -城北新区,2室2厅 | 90.18平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,16人关注 / 6个月以前发布,222.8,"24,707元/平"
两湖芯，公园里，叠墅下叠，带车库,中冶梧桐园 -两湖,5室2厅 | 188平米 | 南 | 毛坯 | 下叠(共5层)  | 板塔结合 | 叠拼别墅 ,5人关注 / 一年前发布,450,"23,937元/平"
舜杰公寓 精美装修 全新拎包入住,舜杰公寓 -开发区,4室2厅 | 176平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,4人关注 / 11个月以前发布,245.8,"13,966元/平"
开发区比较新的小区，现浇房，楼层好,建开花园南区 -开发区,3室2厅 | 132.22平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,170,"12,858元/平"
袍江两湖地铁口林立欣园湖景房急售,林立欣园 -两湖,3室1厅 | 89.41平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,16人关注 / 4个月以前发布,145,"16,218元/平"
房东诚售 看房方便 绿城物业 户型方正湖景房,绍兴天下花园 -城北,3室1厅 | 123.32平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,290,"23,517元/平"
天成花园一个成熟的小区。生活便利。,天城花园 -开发区,3室2厅 | 122.64平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,158.8,"12,949元/平"
房子格局好， 采光充足， 楼层好，套内面积大,迎宾大道 -上虞城东,3室1厅 | 118.38平米 | 南 | 简装 | 中楼层(共5层)  | 平房,24人关注 / 一年前发布,100,"8,448元/平"
出售道墟景苑，复式加*大露台，视野开阔,景苑 -上虞城西,7室2厅 | 229.64平米 | 南 | 毛坯 | 高楼层(共5层)  | 板塔结合,15人关注 / 一年前发布,189,"8,231元/平"
君悦龙山中间楼层好房出售！有兴趣的点击了解。,阳光城君悦龙山 -上虞城南,3室1厅 | 89平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,3人关注 / 10个月以前发布,160.8,"18,068元/平"
双桥新村高楼层，房子已经空置。。。。。。,双桥新村 -开发区,2室2厅 | 125.8平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,120,"9,539元/平"
户型格局方正，三开间朝南，采光好,金舜花园 -开发区,3室2厅 | 130.92平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,12人关注 / 一年前发布,130,"9,930元/平"
采光充足，空气清新，适宜居住。环境好，高档小区,阳光城君悦龙山 -上虞城南,3室1厅 | 106.89平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,3人关注 / 5个月以前发布,180,"16,840元/平"
视野宽敞，采光好，风景好 ...,绍兴艺境 -斗门,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,9人关注 / 9个月以前发布,171,"19,214元/平"
楼层好 户型方正 绿植浓密 小区配有游泳,阳光城君悦龙山 -上虞城南,3室2厅 | 89.16平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,2人关注 / 9个月以前发布,156,"17,497元/平"
品质小区，采光佳。绿化覆盖率高，滨江物业！毛坯房,滨江·城市之星 -上虞城北,3室2厅 | 129平米 | 南 | 毛坯 | 低楼层(共29层)  | 平房,8人关注 / 7个月以前发布,335,"25,969元/平"
大面积毛坯房房东诚心出售！！！！,越东小区 -斗门,3室2厅 | 123.97平米 | 南 | 毛坯 | 低楼层(共5层)  | 板楼,6人关注 / 8个月以前发布,132,"10,648元/平"
文化南区 楼层好 采光好 出行方便,文化新村南区 -老城区,2室1厅 | 70.06平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,125,"17,842元/平"
梧桐园排屋户型好位 置好诚 心卖,中冶梧桐园 -两湖,4室2厅 | 223平米 | 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,3人关注 / 一年前发布,680,"30,494元/平"
楼层好 视野广阔 配套设施齐全 居住适宜，民用水电,帝景现代城 -上虞万达,3室2厅 | 69.21平米 | 南 | 精装 | 低楼层(共22层)  | 塔楼,5人关注 / 一年前发布,115,"16,617元/平"
丰惠人民路的房子，自住装修。可以过渡居住。,丰惠人民路 -未知商圈,3室1厅 | 93.14平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,74.8,"8,031元/平"
凤鸣山庄中间楼层。环境优雅，采光好,凤鸣山庄 -上虞城南,4室2厅 | 157.97平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,174,"11,015元/平"
小区环境安静，绿化好，物业服务好， 采光充足,丁香公寓 -诸暨城东,3室2厅 | 127.28平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,3人关注 / 一年前发布,175,"13,750元/平"
满2年 新上房源 有车位可不买 店长推荐 急售房源,金昌·米蘭公寓东区 -万达,3室2厅 | 142.71平米 | 南 | 简装 | 低楼层(共31层)  | 板楼,5人关注 / 5个月以前发布,270,"18,920元/平"
2号线地铁口毛坯大三房诚心出售，采光无遮挡 户型正气,海樾府西区 -镜湖,3室2厅 | 125.75平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 平房,13人关注 / 一年前发布,320,"25,448元/平"
宝华和天下高楼层，视野开阔，全新毛坯,宝华和天下 -开发区,3室2厅 | 142.36平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,6人关注 / 一年前发布,352,"24,727元/平"
此房楼层好；地理位置好，交通方便,凤山路 -老城区,3室2厅 | 90.87平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,110.8,"12,194元/平"
永成天御湾 3室2厅 南 北 东,永成天御湾 -两湖,3室2厅 | 89.25平米 | 南 北 东 | 毛坯 | 高楼层(共27层)  | 板塔结合,1人关注 / 4个月以前发布,173,"19,384元/平"
天香南园高楼层采光好视野好，房东诚心出售,卧龙天香南园 -开发区,3室2厅 | 142.75平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,230,"16,113元/平"
该房环境优雅.地处龙山脚下.空气清新.视野开阔,阳光城君悦龙山 -上虞城南,3室2厅 | 89.27平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,179,"20,052元/平"
好房出售，阳光好，楼层好。。。。。,新天龙·文惠苑 -开发区,3室2厅 | 117.29平米 | 南 | 毛坯 | 中楼层(共5层)  | 塔楼,2人关注 / 一年前发布,232.8,"19,849元/平"
小区交通便捷这边环境好.............,锦泽苑 -上虞城南,3室2厅 | 108.2平米 | 南 | 毛坯 | 高楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,99,"9,150元/平"
出售  建屋海德景园  三室两厅一卫  楼层好,建屋海德景园 -上虞北其他,3室2厅 | 98.93平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 7个月以前发布,145,"14,657元/平"
后村家园，大面积的电梯房，毛坯有附房,后村家园 -上虞城北,4室2厅 | 165.9平米 | 南 | 简装 | 中楼层(共15层)  | 板塔结合,4人关注 / 一年前发布,238.8,"14,395元/平"
明园三室两厅，楼层好，采光好，格局不错,明园 -柯东,3室2厅 | 111.54平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,4人关注 / 11个月以前发布,285,"25,552元/平"
崧厦金都豪庭全新毛坯边套 诚心出售,金都豪庭 -上虞北其他,3室2厅 | 105.22平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板塔结合,2人关注 / 8个月以前发布,169,"16,062元/平"
沥海海德景园三室二厅一卫，户型好,建屋海德景园 -上虞北其他,3室2厅 | 95平米 | 南 | 简装 | 低楼层(共24层)  | 板塔结合,1人关注 / 7个月以前发布,147,"15,474元/平"
小区绿化好，环境美，邻医院配套设施齐全，交通便利,书香名城 -上虞区,2室2厅 | 89.79平米 | 南 | 精装 | 低楼层(共5层)  | 暂无数据,5人关注 / 一年前发布,99.8,"11,115元/平"
城北丽都，三室两厅两卫，自住精装，有车库,城北丽都 -上虞北其他,3室2厅 | 101.39平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,12人关注 / 7个月以前发布,150,"14,795元/平"
上虞区杭州湾舜湾花苑-浙江工业大学,舜湾花苑 -上虞北其他,4室2厅 | 137.92平米 | 南 | 毛坯 | 中楼层(共23层)  | 暂无数据,7人关注 / 一年前发布,120,"8,701元/平"
地铁口，双梅小区，带露台，带车棚，诚意出售,双梅小区 -瓜渚湖北,3室1厅 | 123.35平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,17人关注 / 一年前发布,185,"14,998元/平"
毛坯，楼层好，户型周正，可利用面积大，视野开阔 .,求是家园 -城北新区,2室1厅 | 98.18平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,3人关注 / 3个月以前发布,203,"20,677元/平"
海德景园   高层  带车位  精致小三房,建屋海德景园 -上虞北其他,3室1厅 | 94.97平米 | 东 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 9个月以前发布,124,"13,057元/平"
房子诚心在卖的，中等楼层，采光好，户型好,龙湾府 -柯西,3室1厅 | 100.89平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 8个月以前发布,200,"19,824元/平"
沥海海德景园三室二厅二卫，户型好,建屋海德景园 -上虞北其他,3室2厅 | 103平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,139,"13,496元/平"
99平方3室，户型好格局方正，边套,梁江家苑 -上虞城北,3室2厅 | 99.23平米 | 南 | 简装 | 低楼层(共17层)  | 板塔结合,2人关注 / 3个月以前发布,199,"20,055元/平"
三房朝南、满五唯一、通风好、 采光充足、户型好,花园新村 -开发区,3室2厅 | 91.07平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,132.8,"14,583元/平"
天悦城景观湖景房，看房有钥匙，有车位阳台已浇筑,长业天悦城 -东浦,3室2厅 | 93.58平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,1人关注 / 4个月以前发布,210,"22,441元/平"
三室一厅，利用率高，采光好，房东人家好。,车站路 -上虞区,3室1厅 | 87.58平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,13人关注 / 一年前发布,75,"8,564元/平"
小区较新，绿化好，出入方便，生活设施便利,西郊花园 -上虞城西,3室2厅 | 138平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,280,"20,290元/平"
海德景园 精致 小三房  带车位,建屋海德景园 -上虞北其他,3室2厅 | 102.59平米 | 南 | 毛坯 | 低楼层(共26层)  | 塔楼,1人关注 / 一年前发布,125,"12,185元/平"
花园中路 3室1厅 南,花园中路 -开发区,3室1厅 | 97.05平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,125,"12,880元/平"
楼层好  采光好  交通便利 封闭式管理小区,和成未来派 -上虞北其他,2室1厅 | 113.8平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,1人关注 / 4个月以前发布,120,"10,545元/平"
卖点：此房楼层好，采光足，小区配套齐全,后村家园 -上虞城北,2室2厅 | 91.55平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,154.6,"16,887元/平"
万达旁 金昌米兰公寓 精装3房诚心出售 颂家具家电,金昌·米蘭公寓东区 -万达,3室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,3人关注 / 8个月以前发布,260,"18,182元/平"
朗诗恒温头排湖景房 中间楼层采光好 大阳台好洗晒,朗诗绿色家园 -柯东,3室2厅 | 128.84平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,9人关注 / 8个月以前发布,315,"24,449元/平"
房东诚心出售，顶楼复式精装修采光好,西郊花园 -上虞城西,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,230,"20,354元/平"
沥海楼梯房子，商场市场边上，户型正，拎包入住,北门外商场东侧 -上虞北其他,3室2厅 | 93.78平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 7个月以前发布,95,"10,131元/平"
户型方正，出入方便，房东诚意出售,绿城桂花园 -上虞城北,2室2厅 | 123.35平米 | 东 西 | 简装 | 中楼层(共5层)  | 板塔结合,8人关注 / 9个月以前发布,225,"18,241元/平"
电梯房新小区+精装修+东边套+有附房+3房2卫+免费车位,华鸿水岸 -上虞北其他,3室2厅 | 114.3平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,159,"13,911元/平"
该房环境优雅.地处龙山脚下.空气清新.视野开阔,阳光城君悦龙山 -上虞城南,3室2厅 | 89.27平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,179,"20,052元/平"
房子户型方正，小户型，适合首付少的,凤西路 -老城区,2室1厅 | 58.6平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,1人关注 / 3个月以前发布,68,"11,605元/平"
梁江家苑  挑空一楼   房东诚心出售   阳光充足,梁江家苑 -上虞城北,3室2厅 | 133平米 | 南 | 毛坯 | 低楼层(共22层)  | 板塔结合,1人关注 / 2个月以前发布,225,"16,918元/平"
金色凤凰园锦园 2室2厅 南,金色凤凰园锦园 -兰亭,2室2厅 | 88.94平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,3人关注 / 9个月以前发布,95,"10,682元/平"
地铁口，双梅小区，带露台，带车棚，诚意出售,双梅小区 -瓜渚湖北,3室1厅 | 123.35平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,17人关注 / 一年前发布,185,"14,998元/平"
此房楼幢位置好，楼间距大，采光好。空气好，适合.,桂花南苑 -上虞区,3室1厅 | 83.29平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,3人关注 / 7个月以前发布,52.8,"6,340元/平"
海湾国际  带车位  大三房  毛胚房,海湾国际 -上虞北其他,3室2厅 | 132平米 | 西 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 6个月以前发布,164,"12,425元/平"
沥海滨江苑三室二厅二卫，户型好,万峰·滨江苑 -上虞北其他,3室2厅 | 141.8平米 | 南 | 毛坯 | 低楼层(共12层)  | 板楼,0人关注 / 7个月以前发布,158.8,"11,199元/平"
明园三室两厅，楼层好，采光好，格局不错,明园 -柯东,3室2厅 | 111.54平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,4人关注 / 11个月以前发布,285,"25,552元/平"
崧厦金都豪庭全新毛坯边套 诚心出售,金都豪庭 -上虞北其他,3室2厅 | 105.22平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板塔结合,2人关注 / 8个月以前发布,169,"16,062元/平"
此房满五唯一，楼层低，阳光无遮挡，全新精装修,韩家新村 -上虞北其他,3室2厅 | 142.46平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,208,"14,601元/平"
房东诚心出售，价格美丽看房方便！,舜湾花苑 -上虞北其他,3室2厅 | 121平米 | 南 | 简装 | 低楼层(共23层)  | 暂无数据,8人关注 / 一年前发布,115,"9,505元/平"
城北丽都，三室两厅两卫，自住精装，有车库,城北丽都 -上虞北其他,3室2厅 | 101.39平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,12人关注 / 7个月以前发布,150,"14,795元/平"
沥海楼梯房子，商场市场边上，户型正，拎包入住,北门外商场东侧 -上虞北其他,3室2厅 | 93.78平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 7个月以前发布,95,"10,131元/平"
三室一厅，利用率高，采光好，房东人家好。,车站路 -上虞区,3室1厅 | 87.58平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,13人关注 / 一年前发布,75,"8,564元/平"
楼层好  采光好  交通便利 封闭式管理小区,和成未来派 -上虞北其他,2室1厅 | 113.8平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,1人关注 / 4个月以前发布,120,"10,545元/平"
中欣悦府 可出租 全新精装修 电梯房,中欣悦府 -上虞城北,2室2厅 | 71.73平米 | 北 | 精装 | 高楼层(共5层)  | 塔楼,1人关注 / 一年前发布,130,"18,124元/平"
多层住宅，好楼层。良好的生活配套，清新的小区环境,御兰苑 -漓渚,3室2厅 | 100.76平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,9人关注 / 8个月以前发布,98,"9,727元/平"
此房，视野开阔，采光充足，配套设施齐全，交通便利。,海湾国际 -上虞北其他,3室2厅 | 128.33平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 6个月以前发布,192,"14,962元/平"
建屋海德景园  三室一卫 毛坯 低楼屋,建屋海德景园 -上虞北其他,3室2厅 | 94平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,123,"13,086元/平"
此房满两年 采光充足，配套设施齐全，交通便利。,万峰·滨江苑 -上虞北其他,3室2厅 | 134.87平米 | 南 | 毛坯 | 低楼层(共12层)  | 板楼,0人关注 / 4个月以前发布,149.5,"11,085元/平"
小区的卖点是物业管理的很好，物业费合理，绿化打理好,建屋海德景园 -上虞北其他,3室2厅 | 94.35平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,123,"13,037元/平"
此房视野开阔，采光充足，配套设施齐全，交通便利。,建屋海德景园 -上虞北其他,3室2厅 | 99平米 | 南 | 毛坯 | 低楼层(共26层)  | 塔楼,0人关注 / 6个月以前发布,133,"13,435元/平"
出售 沥海大平房 户型 位置 采光都好的,海湾国际 -上虞北其他,4室2厅 | 152.6平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,1人关注 / 一年前发布,215,"14,090元/平"
永和和睦苑地段佳.交通方便.广场优美.市场近,和睦苑 -未知商圈,3室2厅 | 89.98平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,46.2,"5,135元/平"
沥海海德景园三室二厅一卫，户型好,建屋海德景园 -上虞北其他,3室2厅 | 94平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 8个月以前发布,130,"13,830元/平"
沥海海德景园三室二厅二卫，户型好,建屋海德景园 -上虞北其他,3室2厅 | 127.14平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,3人关注 / 8个月以前发布,176,"13,844元/平"
沥海海德景园四室二厅二卫，户型好,建屋海德景园 -上虞北其他,4室2厅 | 134.32平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 8个月以前发布,159,"11,838元/平"
和睦苑.地段方便;市场近.公园小区门口;派岀所边上,和睦苑 -未知商圈,3室2厅 | 89.98平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,43.8,"4,868元/平"
房东诚心出售，采光足，楼梯房，精装修,银河湾 -上虞城南,2室2厅 | 111.02平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,218,"19,637元/平"
君悦龙山127平方，边套房，全新毛坯,阳光城君悦龙山 -上虞城南,3室2厅 | 126.6平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,230,"18,168元/平"
卧龙天香南苑.交通方便;地段佳;小区物业好,卧龙天香南园 -开发区,3室2厅 | 104.58平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,10人关注 / 9个月以前发布,175,"16,734元/平"
沥海滨江苑三室二厅二卫，户型好。,万峰·滨江苑 -上虞北其他,3室2厅 | 141.8平米 | 南 | 简装 | 高楼层(共12层)  | 板楼,5人关注 / 一年前发布,176.8,"12,469元/平"
小区环境优美，位于迪荡新城，繁华地段,御景华庭四期北区 -迪荡,4室2厅 | 148.59平米 | 南 北 | 简装 | 低楼层(共44层)  | 板塔结合,3人关注 / 一年前发布,295,"19,854元/平"
沥海海德景园三室二厅二卫，户型好,建屋海德景园 -上虞北其他,3室2厅 | 110.92平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,150,"13,524元/平"
沥海滨江苑三室二厅二卫，户型好。,万峰·滨江苑 -上虞北其他,3室2厅 | 141.8平米 | 南 | 简装 | 高楼层(共12层)  | 板楼,5人关注 / 一年前发布,176.8,"12,469元/平"
改善客户很好的选择，大平层，户型设计好,学府新城·星云园 -杨汛桥,4室2厅 | 136.32平米 | 南 西南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,218,"15,992元/平"
天桥府钱杨新城商圈，新小区环境好地位置优越,永利天桥府 -杨汛桥,3室2厅 | 129.26平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 8个月以前发布,230,"17,794元/平"
环境优美，交通便利，户型方正。,永利天桥府 -杨汛桥,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,1人关注 / 9个月以前发布,214,"17,120元/平"
杭州南现房，，三房两厅，楼层好，采光足,学府新城春晓园 -杨汛桥,3室2厅 | 109.83平米 | 东南 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 10个月以前发布,143,"13,021元/平"
房东诚心出售。看房方便，提前联系,时代•香格里拉 -城北新区,3室2厅 | 119.19平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,24人关注 / 一年前发布,258,"21,647元/平"
杭州南，现房，楼层居中，采光足,学府新城·星云园 -杨汛桥,4室2厅 | 136.32平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 10个月以前发布,210,"15,405元/平"
杭州南，现房既买既住，融入大杭州，接轨大城市。,学府新城春晓园 -杨汛桥,3室2厅 | 109.88平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,185,"16,837元/平"
房子位置好，位于闹市区，生活设施比较便利,解放街 -老城区,3室2厅 | 122.02平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,5人关注 / 8个月以前发布,137.8,"11,294元/平"
都市阳光花园 268万单价1万8 全新毛坯 楼层好,都市阳光花园 -柯西,4室2厅 | 141.74平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,6人关注 / 一年前发布,238,"16,792元/平"
新小区，房子采光好，南北通光，带大露台,永利天桥府 -杨汛桥,3室2厅 | 127.88平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,0人关注 / 11个月以前发布,252,"19,706元/平"
蝶翠华庭，房子是毛坯得，看房方便，，，，，,蝶翠华庭 -柯桥区,5室2厅 | 226平米 | 东南 | 毛坯 | 下叠(共5层)  | 暂无数据 | 叠拼别墅 ,2人关注 / 一年前发布,200,"8,850元/平"
视野开阔，东边套全明户型，正对曹娥江景,求是家园 -城北新区,2室1厅 | 97平米 | 南 | 毛坯 | 高楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,238,"24,537元/平"
房东诚心出售 品牌家电 精装修 跃层,盛世钱门 -钱清,4室1厅 | 173.6平米 | 东南 南 西南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,260,"14,977元/平"
本小区环境优美，小区物业严格，交通生活便利。,永利天桥府 -杨汛桥,3室2厅 | 111.22平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板楼,2人关注 / 一年前发布,160,"14,386元/平"
房东诚心出售，毛胚易装修，诚心客户价格可谈,竹洞春晓 -上虞区,3室2厅 | 130.15平米 | 南 西 | 毛坯 | 高楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,90,"6,916元/平"
此房满二，户型好，朝向好，楼幢间距大，无遮挡。,大通佳苑 -上虞城东,4室2厅 | 176.04平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,318,"18,065元/平"
小区环境优美，物业尽责，交通方便。,永利天桥府 -杨汛桥,3室2厅 | 132.25平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,0人关注 / 一年前发布,235,"17,770元/平"
此房格局好，中间楼层，无遮挡，采光充足视野开阔。,学府新城春晓园 -杨汛桥,3室2厅 | 117.51平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,200,"17,020元/平"
杭州南，，现房，三室，两厅，两卫，采光足,学府新城春晓园 -杨汛桥,4室2厅 | 117.52平米 | 南 东 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 10个月以前发布,188,"15,998元/平"
车家弄楼层好东边套适合一大家人居住,越泉车家弄新村 -上虞区,4室2厅 | 135平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,136.8,"10,134元/平"
都市阳光花园 123方 3室2厅2卫 楼层好 大阳台,都市阳光花园 -柯西,3室2厅 | 123.82平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,230,"18,576元/平"
环境优美，交通便利，户型方正。,临江绿苑 -杨汛桥,5室2厅 | 193.37平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼,2人关注 / 8个月以前发布,180,"9,309元/平"
环境优美，户型方正，交通便利。,临江绿苑 -杨汛桥,3室2厅 | 182.26平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,12人关注 / 8个月以前发布,180,"9,877元/平"
此房格局好，楼层不低，有电梯，交通便利。。。,和成未来派 -上虞北其他,3室2厅 | 113.94平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 8个月以前发布,124,"10,883元/平"
头排洋房，带15平米平左右台花园，采光好.,绍兴艺境 -斗门,3室2厅 | 88.61平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,2人关注 / 6个月以前发布,145,"16,364元/平"
户型方正，标准楼层，看房方便，房东诚心出售价格可谈,学府新城春晓园 -杨汛桥,3室1厅 | 101.05平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 10个月以前发布,140,"13,855元/平"
此房视野开阔，阳光充足，出行方便,卧龍山莊东区 -老城区,3室1厅 | 67.13平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 7个月以前发布,108,"16,089元/平"
