标题,开发商,房子信息,发布信息,售价/万,单价
团城山优质好房拎包入住，交通生活便利,扬子玉龙湾 -团城山,3室2厅 | 133.59平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,3人关注 / 6个月以前发布,105,"7,860元/平"
户型方正，产证满两年，房东诚心卖,杭州公馆 -团城山,2室2厅 | 95.99平米 | 南 | 简装 | 低楼层(共34层)  | 板塔结合,4人关注 / 一年前发布,60,"6,251元/平"
美联景桂豪庭 婚房精装修湖景房 配套齐全,美联 · 景桂豪庭 -楠竹林,3室2厅 | 118.72平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 一年前发布,100,"8,424元/平"
此房是大三房 ，江景房 ，采光良好， 拎包入住。,华夏城 -市中心,3室2厅 | 122.42平米 | 东南 | 精装 | 中楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,95,"7,761元/平"
实施健身运动，环境好空气好。。。。。,太子湾427号 -八卦嘴,2室1厅 | 65.8平米 | 东北 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 6个月以前发布,25,"3,800元/平"
此房商品房，电梯高层，通透户型，三面采光，精装修,磁湖东城A区 -市中心,3室2厅 | 125.75平米 | 东北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,123,"9,782元/平"
滨湖学XIAO旁电梯大三房，卧室可看湖景，拎包入住,东鑫社区绿色佳园小区 -新城区,3室1厅 | 117.74平米 | 南 | 精装 | 高楼层(共20层)  | 板塔结合,0人关注 / 2个月以前发布,63.6,"5,402元/平"
此房南北朝向，电梯电梯房小三房，房产证在手。,金山花园 -八卦嘴,3室2厅 | 95.73平米 | 南 | 简装 | 中楼层(共12层)  | 板楼,1人关注 / 一年前发布,61,"6,373元/平"
此房在人民广场旁，紧挨白马山公园，环境舒适,明秀山庄 -团城山,3室2厅 | 137.8平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,80,"5,806元/平"
南京路20号 2室1厅 南 北,南京路20号 -市中心,2室1厅 | 80平米 | 南 北 | 简装 | 高楼层(共8层)  | 塔楼,0人关注 / 2个月以前发布,47.9,"5,988元/平"
青山湖旁，品质小区，精装修湖景房,金色港湾 -楠竹林,3室2厅 | 118.17平米 | 东 南 | 精装 | 中楼层(共23层)  | 板塔结合,10人关注 / 一年前发布,89,"7,532元/平"
此房正规商品房税费低，精装带家具家电拎包即住,小城故事 -花湖,3室2厅 | 99.98平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 一年前发布,45,"4,501元/平"
假日威尼斯电梯高层，视野开阔 满二,人信假日威尼斯 -花湖,3室2厅 | 110.14平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,48,"4,359元/平"
工行小区 3室1厅 南,工行小区 -上窑,3室1厅 | 141.09平米 | 南 | 精装 | 中楼层(共10层)  | 板塔结合,0人关注 / 16天以前发布,98,"6,946元/平"
市内宜居三房，户型通透保养很好，直接拎包入住。,怡馨小区 -老城区,3室2厅 | 124.76平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,1人关注 / 3个月以前发布,53,"4,249元/平"
此房采光充足，视野宽阔，通透性好，过户费用低,蔚蓝港湾 -新城区,3室2厅 | 140.34平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,85,"6,057元/平"
此房是八卦嘴位置好，楼层好，采光佳，西南朝向。,美尔雅金枣轩 -八卦嘴,4室2厅 | 140.88平米 | 西南 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,98,"6,957元/平"
新城区电梯房，配套齐全，出行方便,怡景花苑二期 -新城区,3室2厅 | 130.96平米 | 东南 | 简装 | 中楼层(共18层)  | 板塔结合,2人关注 / 5个月以前发布,72,"5,498元/平"
中窑湾社区 4室1厅 东 西,中窑湾社区 -上窑,4室1厅 | 114.55平米 | 东 西 | 简装 | 高楼层(共9层)  | 板楼,1人关注 / 5个月以前发布,39.8,"3,475元/平"
蔚蓝港湾精装大三房，家具家电留下，直接拎包入住。,蔚蓝港湾 -新城区,3室2厅 | 136.96平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,100,"7,302元/平"
此房是2006年建的小高层楼梯房的高层，户型方正，,都市花苑 -万达,3室2厅 | 131.25平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,69.9,"5,326元/平"
万达商圈 湖滨大道林业局 湖景房南北通透 带露台,黄石市林业局小区 -楠竹林,5室2厅 | 110.85平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,7人关注 / 一年前发布,36,"3,248元/平"
十六中商圈大三房，采光好，户型通透,沿湖路210 -上窑,3室2厅 | 144.31平米 | 南 北 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 5个月以前发布,79,"5,475元/平"
电梯房 精装三房 适合老人小孩居住 小区配套齐.,天行 · 御景庄园 -花湖,3室2厅 | 99.82平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,59,"5,911元/平"
万达商圈 高档小区 绿城毛坯大三房+入户花园，满二,黄石绿城玉兰花园 -万达,3室2厅 | 133.69平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,14人关注 / 一年前发布,100,"7,480元/平"
此房，毛坯，有钥匙随时看房，楼层很好，户型通透。,黄石大桥一品園 -花湖,4室2厅 | 134.2平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 15天以前发布,100,"7,452元/平"
湖景花园三开间朝南 大三房5700一平 好楼层,明盛湖景花园 -团城山,3室2厅 | 135.06平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,5人关注 / 5个月以前发布,80,"5,924元/平"
此房，毛坯，有钥匙随时看房，楼层很好，户型通透。,黄石大桥一品園 -花湖,4室2厅 | 134.2平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 15天以前发布,100,"7,452元/平"
黄石港高品质小区，精装电梯三房，满两年，过户费低,紫金花城 -花湖,3室2厅 | 108.65平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,80,"7,364元/平"
人信假日威尼斯 2室2厅 南,人信假日威尼斯 -花湖,2室2厅 | 63.63平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 3天以前发布,33,"5,187元/平"
西花苑社区 2室2厅 南,西花苑社区 -新下陆,2室2厅 | 68.3平米 | 南 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 2天以前发布,16,"2,343元/平"
户型好  舒适度高   采光佳  交通方便,碧湖山庄 -老城区,5室2厅 | 165.44平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 9个月以前发布,72,"4,353元/平"
馨园小区大三房，户型好，装修保养很好，价格实惠,馨园 -老城区,3室2厅 | 111.64平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,43,"3,852元/平"
市内交通路三房下楼是胜阳港派局所,交通路36号 -武商,3室1厅 | 75.27平米 | 东南 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 15天以前发布,45,"5,979元/平"
市内低层大三房拎包即住 三面采光 户型方正,顺佳小区 -武商,3室2厅 | 121.08平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,5人关注 / 一年前发布,82,"6,773元/平"
此房满五，采光好， 交通便利 配套成熟,公园路7号 -万达,3室2厅 | 111.95平米 | 南 | 简装 | 中楼层(共10层)  | 板楼,9人关注 / 9个月以前发布,50,"4,467元/平"
交通便利  户型好  简单装修  可拎包入住,华烨·龙腾山庄 -老城区,3室2厅 | 138.31平米 | 南 | 简装 | 低楼层(共24层)  | 板楼,0人关注 / 一年前发布,55.9,"4,042元/平"
武商旁智华大厦电梯三房全新精装修一天未住，证满五年,金鑫智华大厦 -武商,2室1厅 | 98平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 5天以前发布,91,"9,286元/平"
此房满五唯二，三面采光，看房方便，生活便捷，,东岳路12号 -老城区,3室2厅 | 103.69平米 | 东南 | 简装 | 高楼层(共9层)  | 暂无数据,5人关注 / 一年前发布,31,"2,990元/平"
公园门口 老城区电梯房 三室两厅,公园世家 -老城区,3室2厅 | 114平米 | 南 | 简装 | 高楼层(共29层)  | 塔楼,1人关注 / 一年前发布,70,"6,141元/平"
黄石港中山，14   大三房，生活方便,港城大厦 -万达,3室2厅 | 108.52平米 | 南 | 简装 | 高楼层(共12层)  | 板楼,2人关注 / 4个月以前发布,55,"5,069元/平"
就在中山旁，带电梯、采光好、可看江景。,金龙商厦 -万达,3室2厅 | 109.37平米 | 东南 | 简装 | 高楼层(共12层)  | 板楼,0人关注 / 6个月以前发布,64,"5,852元/平"
大桥一品园品质小区中间楼层没有遮挡采光好看房有钥匙,黄石大桥一品園 -花湖,2室1厅 | 97平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 5天以前发布,63,"6,495元/平"
华盛嘉园 3室2厅 南,华盛嘉园 -新城区,3室2厅 | 138.81平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼,0人关注 / 2个月以前发布,72,"5,187元/平"
成熟区精装步梯房，证满二，采光很好，适合一家人居住,湛月花园 -老城区,3室2厅 | 191.54平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,85,"4,438元/平"
电梯高层，前后无遮挡，精装修，户型方正，采光充足,龙湾一品 -团城山,3室2厅 | 143平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,2人关注 / 一年前发布,95,"6,644元/平"
此房满五通风采光较好，小区比较安静，老少皆宜居住，,桥虹小区 -老城区,3室2厅 | 132.3平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 一年前发布,62.5,"4,725元/平"
黄石港区万达华府 精装大3房 一梯一户带品牌家具家电,万达华府 -万达,3室2厅 | 139.55平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,124,"8,886元/平"
新西南一期精装修三室两厅一厨两卫 拎包即,新西南国际花园 -团城山,3室1厅 | 130.93平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,72,"5,500元/平"
此房小三房三面采光，交通便利，采光通透，精装修,阳光新都 -老城区,3室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 16天以前发布,75,"6,638元/平"
万达商圈天虹小区简装中层步梯三房南北通透满五唯一,天虹小区 -万达,3室2厅 | 91.37平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,43,"4,707元/平"
此房满五唯一，采光充足，视野宽阔，配套设施齐全,锦绣花园 -新城区,4室2厅 | 183.12平米 | 南 | 简装 | 高楼层(共29层)  | 板塔结合,0人关注 / 6个月以前发布,118,"6,444元/平"
房龄新公交站门口，坐拥环湖步道全湖景房。,银湖月色 -八卦嘴,3室2厅 | 131平米 | 南 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 10天以前发布,64,"4,886元/平"
此房中间位置精装四房三开间朝南双阳台，一线观景,嘉泰·银河湾 -团城山,4室2厅 | 179.13平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 9天以前发布,152,"8,486元/平"
采光好视野开阔，拎包入住，配套齐全,至尊门第 -团城山,3室2厅 | 132平米 | 东 南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 14天以前发布,95,"7,197元/平"
聚龙花湖名苑 3室2厅 南 北,聚龙花湖名苑 -花湖,3室2厅 | 124.89平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 9天以前发布,48,"3,844元/平"
美鑫·锦绣华庭 3室2厅 南,美鑫·锦绣华庭 -团城山,3室2厅 | 99.18平米 | 南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 9天以前发布,55,"5,546元/平"
《万达旁 毛坯大3房》电梯高层 产证满两年 急卖,江天凤凰山庄 -团城山,3室1厅 | 125.21平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 7天以前发布,65,"5,192元/平"
江天金水湾 3室2厅 南,江天金水湾 -万达,3室2厅 | 128.33平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,2人关注 / 2个月以前发布,109,"8,494元/平"
怡馨小区 2室2厅 东南,怡馨小区 -老城区,2室2厅 | 96.6平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,41.8,"4,328元/平"
楼层好，视野开阔，采光好，朝向好，房东诚心卖,岭秀新城 -团城山,3室2厅 | 109.54平米 | 东南 | 毛坯 | 中楼层(共29层)  | 板塔结合,3人关注 / 一年前发布,56,"5,113元/平"
出行方便。户型采光都很好，，，,馨园 -老城区,3室2厅 | 105.64平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 9个月以前发布,48,"4,544元/平"
繁华地段精装修三房、视野宽阔、采光充足、交通便利,江天金色华邸 -市中心,3室2厅 | 117.24平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,1人关注 / 4个月以前发布,98,"8,359元/平"
嘉泰银河湾三期精装修大三房品牌家具家电拧包入住,嘉泰银河湾三期 -团城山,3室2厅 | 138平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,145.8,"10,566元/平"
此房满五边户一线湖景 ，格局好，楼层好视野宽阔,奥山磁湖天下 -沈家营,3室2厅 | 122.4平米 | 东南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 5个月以前发布,92,"7,517元/平"
此房满五唯一，楼层好，视野开阔，采光充足，交通便利,颐阳苑 -八卦嘴,3室2厅 | 168.16平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,110,"6,542元/平"
安家桥巷2号3-2-1-1 108.00m²,安家桥巷2号 -老城区,3室2厅 | 108平米 | 东南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,49,"4,538元/平"
天津路电信小区，电梯三房，南北通透、配套齐交通便利,天津路小区 -市中心,3室2厅 | 83.7平米 | 南 北 | 简装 | 低楼层(共10层)  | 塔楼,0人关注 / 1个月以前发布,55.8,"6,667元/平"
新城明昱 4室1厅 南,新城明昱 -团城山,4室1厅 | 130.17平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 12天以前发布,130,"9,987元/平"
此房满五年，每间房比较大势，楼层也很好,馨园 -老城区,3室2厅 | 121.81平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 5个月以前发布,56,"4,598元/平"
此房小区，便利店，菜市场，适合一家3到5口之家，,育才华府 -老城区,3室2厅 | 118.04平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,5人关注 / 一年前发布,60,"5,084元/平"
十六中旁复式两层 户型通透 采光好 小区内方便停车,江天世纪苑 -武商,3室2厅 | 122平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,110,"9,017元/平"
东风路 阳光四房 采光*好  交通便利,商会大厦 -老城区,3室2厅 | 148.48平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,2人关注 / 一年前发布,56,"3,772元/平"
满五4房 随时可看 诚意出售 有电梯,交通路72号 -武商,4室2厅 | 124.72平米 | 南 北 | 精装 | 中楼层(共10层)  | 暂无数据,4人关注 / 7个月以前发布,88.8,"7,120元/平"
成熟小区，毛坯大三房，带*大入户花园,宏维人家 -新城区,3室2厅 | 131.56平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,86,"6,537元/平"
南北向大四房，卧室带飘窗，视野宽阔,东贝佳苑 -黄金山,4室2厅 | 136.77平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,61.5,"4,497元/平"
精装宽阔大四房，可以拎包入住的,东贝佳苑 -黄金山,4室2厅 | 138平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,9人关注 / 一年前发布,68,"4,928元/平"
电梯中楼层，采光好，户型方正，小区配套设施齐全,天域·名流天地 -团城山,2室2厅 | 98.88平米 | 南 | 毛坯 | 中楼层(共28层)  | 塔楼,2人关注 / 4个月以前发布,68,"6,878元/平"
仁智山水复式楼，中间楼栋优美 全湖景房 看房有钥匙,航宇仁智山水 -楠竹林,5室2厅 | 205平米 | 东南 | 毛坯 | 低楼层(共5层)  | 板楼,11人关注 / 一年前发布,220,"10,732元/平"
万达商圈   天方百花园  交通方便  精装修,天方百花園 -万达,3室2厅 | 134平米 | 南 | 精装 | 高楼层(共8层)  | 平房,11人关注 / 一年前发布,83,"6,195元/平"
万达商圈  天方百花园 毛坯楼梯房 公摊少,天方百花園 -万达,3室2厅 | 129.54平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,25人关注 / 一年前发布,70,"5,404元/平"
磁湖半岛一线湖景房，拥抱美景与繁华！,碧桂园磁湖半岛 -八卦嘴,5室2厅 | 260平米 | 南 | 毛坯 | 高楼层(共10层)  | 暂无数据,1人关注 / 10个月以前发布,207,"7,962元/平"
配套设施齐全，交通便利，生活出行都十分方便,怡安花园 -团城山,4室2厅 | 170平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,4人关注 / 一年前发布,125,"7,353元/平"
配套齐全，交通便利，繁华地带，楼层不高，采光好。,天津路 -市中心,4室2厅 | 117.91平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,70,"5,937元/平"
杭州公馆三房两厅 满二 朝南 楼层好 视野好,杭州公馆 -团城山,3室2厅 | 117.87平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,6人关注 / 一年前发布,78,"6,618元/平"
阳光新干线大3房，小区环境优美，旁边教育配套齐全,阳光新干线 -团城山,3室2厅 | 137.45平米 | 东南 | 精装 | 低楼层(共24层)  | 板楼,6人关注 / 一年前发布,92,"6,694元/平"
阳光新干线大3房，小区环境优美，旁边教育配套齐全,阳光新干线 -团城山,3室2厅 | 137.45平米 | 东南 | 精装 | 低楼层(共24层)  | 板楼,6人关注 / 一年前发布,92,"6,694元/平"
"城建湖景花园,产证满2 可以做小卖部",城建湖景花园 -新城区,3室2厅 | 135平米 | 南 | 简装 | 低楼层(共19层)  | 板塔结合,1人关注 / 一年前发布,73.5,"5,445元/平"
假日威尼斯 大型别墅小区 看房方便 诚心出售 满两年,人信假日威尼斯 -花湖,6室2厅 | 222.76平米 | 南 | 毛坯 | 3层  | 板楼,5人关注 / 一年前发布,170,"7,632元/平"
商贸小区   大四房   户型方正   配套成熟,商贸小区 -新城区,4室2厅 | 137平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,62,"4,526元/平"
此房满五唯一，楼层好，采光好，居住好住宅。,阳光新干线 -团城山,3室2厅 | 105平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,71,"6,762元/平"
扬子玉龙湾全湖景采光通透户型朝南电梯高层大五房毛坯,扬子玉龙湾 -团城山,5室2厅 | 179平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,2人关注 / 一年前发布,160,"8,939元/平"
万达商圈 湖师后门 军转小区 带院子小区公交车站,军转小区 -楠竹林,4室2厅 | 140平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,80,"5,715元/平"
黄石港湖景复式楼，房东诚心急卖,航宇仁智山水 -楠竹林,5室3厅 | 302.42平米 | 南 | 毛坯 | 4层  | 板楼 | 联排别墅 ,7人关注 / 一年前发布,288,"9,524元/平"
统战小区复式楼，出行交通便利，,统战小区 -团城山,4室2厅 | 183.13平米 | 东南 | 毛坯 | 高楼层(共7层)  | 板楼,9人关注 / 6个月以前发布,88,"4,806元/平"
精装四房，产证未满两年，房东诚心卖,新西南国际花园 -团城山,4室2厅 | 134.73平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,90,"6,681元/平"
精装大三房，户型好，日晒时间长，房东诚心卖,明盛湖景花园 -团城山,3室2厅 | 141.86平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,7人关注 / 一年前发布,108,"7,614元/平"
湿地旁 怡康花园毛坯大四房 带入户花园 满两年,怡康花园(下陆区) -团城山,4室2厅 | 164平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,6人关注 / 一年前发布,130,"7,927元/平"
黄石公园，电梯房，四房通风好，采光视野好.,中冶黄石公园 -楠竹林,4室2厅 | 153.96平米 | 东南 | 毛坯 | 中楼层(共10层)  | 暂无数据,9人关注 / 一年前发布,102,"6,626元/平"
百事威尊邸一期毛坯房，复式楼空间大在顶楼,百事威尊邸一期 -团城山,5室2厅 | 195.31平米 | 东北 | 毛坯 | 高楼层(共11层)  | 板楼,17人关注 / 一年前发布,120,"6,145元/平"
一线湖景房，配套齐全，小区环境优美,青龙山自来水加压站综合楼 -团城山,4室2厅 | 166.16平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,6人关注 / 一年前发布,118,"7,102元/平"
房子户型方正楼层采光好配套齐全小区环境优美。看房方,新西南国际花园 -团城山,2室2厅 | 104.41平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 9个月以前发布,54.8,"5,249元/平"
江天凤凰山庄毛坯大两房，上选楼层，诚心出售,江天凤凰山庄 -团城山,2室2厅 | 94平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 16天以前发布,52,"5,532元/平"
黄石港盛昌公馆，电梯两房，全新毛坯，朝南阳光好,盛昌公馆 -万达,2室2厅 | 88.94平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 13天以前发布,35,"3,936元/平"
二层复式楼，阳光充足，带个露台,牧羊诗苑 -八卦嘴,2室1厅 | 176平米 | 南 | 毛坯 | 高楼层(共8层)  | 暂无数据,0人关注 / 11天以前发布,76,"4,319元/平"
黄石港万达旁盛昌公馆电梯两房中间好楼层朝南阳光好,盛昌公馆 -万达,2室2厅 | 88.94平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 13天以前发布,35,"3,936元/平"
市内天津路精装两室 低楼层 商品房满两年,天津路 -市中心,2室1厅 | 79.62平米 | 南 | 精装 | 低楼层(共9层)  | 暂无数据,0人关注 / 15天以前发布,55,"6,908元/平"
房子是市西塞山区轻工大厦前面的电梯房子。,农贸大院小区 -武商,2室2厅 | 86.47平米 | 西南 | 简装 | 中楼层(共11层)  | 暂无数据,1人关注 / 8个月以前发布,56,"6,477元/平"
两室一厅，一厨一卫业主诚心出售,覆盆山社区 -沈家营,2室1厅 | 84.37平米 | 西南 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 2个月以前发布,69,"8,179元/平"
沈家营商圈黄电家园电梯高层大两房采光好急卖,黄电家园 -沈家营,2室2厅 | 90.09平米 | 西南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,76,"8,437元/平"
两房格局好，采光好。户型方正。,黄石住宅 -武商,2室2厅 | 100.95平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,1人关注 / 一年前发布,50,"4,953元/平"
孔雀苑二期82平 好楼层 采光好 精装家电家具诚心卖,孔雀苑二期小区 -新下陆,2室2厅 | 81.2平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,5人关注 / 一年前发布,33,"4,065元/平"
中窑江滩公园旁 可贷款 首付5万 配套齐全 看房方便,金翌地产(中窑) -上窑,2室2厅 | 67.35平米 | 东 | 简装 | 高楼层(共10层)  | 板楼,2人关注 / 3个月以前发布,19,"2,822元/平"
大上海2期商品房高层10平大两房精装修高层欧式,大上海广场玉兰雅苑 -武商,2室2厅 | 102.72平米 | 东 | 精装 | 高楼层(共32层)  | 板楼,3人关注 / 5个月以前发布,122,"11,877元/平"
及弟园 朝南两房 采光好 户型方正 读书便利,及第园小区 -新下陆,2室2厅 | 91.26平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,38,"4,164元/平"
满五唯一，免增值税，免个税！视野开阔，采光好。,孔雀苑小区 -新下陆,2室2厅 | 79.22平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,23,"2,904元/平"
满五唯一，免增值税，免个税！视野开阔，采光好。,孔雀苑小区 -新下陆,2室2厅 | 79.22平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,23,"2,904元/平"
中窑楼梯房带装修，诚心出售.....,飞云街 -上窑,2室2厅 | 89.86平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,6人关注 / 一年前发布,40,"4,452元/平"
师院路，青山湖边，近期精装2房，房改房不*面积。,师院路 -沈家营,2室2厅 | 64.7平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 一年前发布,35,"5,410元/平"
房子在小区中间区域，楼下即是休闲广场。,铜花小区 -新下陆,2室1厅 | 66.12平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,23.8,"3,600元/平"
新下陆铜花小区中装2房 朝南户型 通风采光好 户型好,铜花小区三期 -新下陆,2室1厅 | 72.8平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,26,"3,572元/平"
水岸华庭 2室2厅 东 南,水岸华庭 -团城山,2室2厅 | 95.93平米 | 东 南 | 简装 | 低楼层(共15层)  | 板塔结合,7人关注 / 一年前发布,48,"5,004元/平"
高层采光 良好的两房拎包入住的,群安巷 -武商,2室1厅 | 67.6平米 | 南 北 | 简装 | 高楼层(共9层)  | 塔楼,1人关注 / 一年前发布,36,"5,326元/平"
南向无遮挡拎包即住发展大道有轨电,美鑫·锦绣华庭 -团城山,2室1厅 | 90.05平米 | 南 | 精装 | 低楼层(共12层)  | 板塔结合,0人关注 / 一年前发布,55,"6,108元/平"
金花五期 精装修两房 拎包即住,金花五期 -新下陆,2室2厅 | 85.18平米 | 南 北 | 精装 | 高楼层(共10层)  | 板塔结合,4人关注 / 9个月以前发布,37.8,"4,438元/平"
新西南 两梯4户商品房买房即可装修 户型好朝南电梯房.,新西南国际花园 -团城山,2室2厅 | 104.13平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,56.5,"5,426元/平"
此房源业主急售，空中价格再谈，欢迎大家来带看。,新西南国际花园 -团城山,2室2厅 | 104.13平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,3人关注 / 8个月以前发布,68,"6,531元/平"
团城山湿地公园旁，满二精装两房户型好，拎包入住,美鑫·锦绣华庭 -团城山,2室2厅 | 92平米 | 南 | 精装 | 低楼层(共12层)  | 板塔结合,1人关注 / 一年前发布,55,"5,979元/平"
市内地质里 2楼 可以按揭 两房 43万 满两年,武汉路9号 -市中心,2室2厅 | 70.6平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 6个月以前发布,41,"5,808元/平"
区政府旁简装大两房钻石楼层交通购物便利税费低,磁湖路25号 -沈家营,2室2厅 | 83.31平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,39,"4,682元/平"
理工旁边！水岸华庭（精装修！家具家电）,水岸华庭 -团城山,2室2厅 | 95.93平米 | 东南 | 精装 | 低楼层(共15层)  | 板塔结合,1人关注 / 3个月以前发布,45.8,"4,775元/平"
毛坯房满二 无尾款电梯两房南北通透户型好 南向无遮挡,美鑫·锦绣华庭 -团城山,2室2厅 | 88.54平米 | 南 北 | 简装 | 高楼层(共12层)  | 板塔结合,8人关注 / 一年前发布,35,"3,954元/平"
