标题,开发商,房子信息,发布信息,售价/万,单价
了封闭小区龙城帝景 两室业主重新装修了 钥匙在手,龙城帝景 -中海,2室1厅 | 89.71平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 23天以前发布,59.5,"6,633元/平"
中东商圈 小区配套设施齐全，坐车方便，型好格局棒,西山香麓 -中东,1室2厅 | 36.6平米 | 东 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 3个月以前发布,36.5,"9,973元/平"
东市场商圈，楼层好，采光充足， 生活购物便利,东市小区 -东市场,2室1厅 | 51平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,37.8,"7,412元/平"
龙城帝景 多层毛坯 房主急售 南北通透,龙城帝景 -中海,2室2厅 | 90.09平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,49,"5,440元/平"
龙湾雅苑多层精装南北通透虽然是顶楼但是价格优质,龍湾雅苑 -世纪广场,1室1厅 | 80.61平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,32,"3,970元/平"
多层5楼全天采光 不遮挡 邻里和谐人与人相处十分和谐,荣光花园 -二手车市场,2室1厅 | 55平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,23,"4,182元/平"
金汇家园，精装修，通透户型.............,金汇嘉园 -八一,2室1厅 | 104平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,4人关注 / 一年前发布,88,"8,462元/平"
苏宁天润城 6楼带阁楼 户型方正 南北通透 全天采光,苏宁天润城 -苏宁,2室2厅 | 98平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,52,"5,307元/平"
金汇家园 两室两厅  简装  可任意装修,金汇嘉园 -八一,2室2厅 | 97平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,72,"7,423元/平"
封闭新小区，两室一厅，南北通透，可贷款,碧水山城 -铁东,2室1厅 | 59.7平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,38,"6,366元/平"
以下房本，税点低，中间层，诚意出售,万科上东区 -万科城,2室2厅 | 86.65平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,4人关注 / 一年前发布,77.5,"8,945元/平"
中海新都会小区 南北通透 大H+1格局 交通便利,中海新都会 -红星美凯龙,3室2厅 | 131.6平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,90,"6,839元/平"
锦绣江南 多层5楼 标准H户型 落地窗 外扩大阳台,锦绣江南 -松花江中学,2室1厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,23人关注 / 一年前发布,70,"6,482元/平"
多层大H格局，精装修，采光好，可双贷,香山景园 -中东客运站,2室2厅 | 99.95平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,63.8,"6,384元/平"
南北通透格局 标准H户型，难得好户型,龙城帝景 -中海,2室1厅 | 89.97平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,20人关注 / 一年前发布,65.8,"7,314元/平"
万科城C区 二排望江 望江效果好 位置好 出行方便,万科城C区 -万科城,2室1厅 | 83.94平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,79.8,"9,507元/平"
精品户型，.......，采光充足 视野开阔 配套齐全..,水景苑 -二手车市场,2室1厅 | 73.34平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 一年前发布,52,"7,091元/平"
新房 毛坯 地理位置好 配套设施齐全,中海悦江府 -万达广场,3室2厅 | 117平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,95,"8,120元/平"
楼层好，视野开阔，采光充足，楼层好。配套全！,中海悦江府 -万达广场,3室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,112,"8,889元/平"
万达高档小区 中海悦江府 三室二卫 126平 毛坯房,中海悦江府 -万达广场,3室2厅 | 126平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,99,"7,858元/平"
荣光 多层5楼 35万 价格可议,荣光花园 -二手车市场,2室1厅 | 65.9平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,36,"5,463元/平"
光明新村.厦门街商圈.多层无公摊.格局方正。,光明新村西区 -厦门街,2室2厅 | 110平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,54,"4,910元/平"
交通便利 小区环境干净舒适 适合居住.,金地·卡诗维亚 -中海,2室1厅 | 78平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,58,"7,436元/平"
锦绣江南 多层5楼 标准H户型 落地窗 外扩大阳台,锦绣江南 -松花江中学,2室1厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,23人关注 / 一年前发布,70,"6,482元/平"
中海悦江府 小高好楼层 采光好 看房方便,中海悦江府 -万达广场,3室2厅 | 127.41平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,105,"8,242元/平"
万达广场西侧，中海悦江府，小高三居室，毛坯,中海悦江府 -万达广场,3室2厅 | 97平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,79.8,"8,227元/平"
光明新村.厦门街商圈.多层无公摊.格局方正。,光明新村西区 -厦门街,2室2厅 | 110平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,54,"4,910元/平"
四六五医院南门 玉隆小区 97米大H户型 2-2-1,玉隆小区 -世纪广场,2室2厅 | 97.3平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,23人关注 / 一年前发布,49.8,"5,119元/平"
楼层好，视野开阔，采光充足，楼层好。配套全！,中海悦江府 -万达广场,3室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,112,"8,889元/平"
荣光 多层5楼 35万 价格可议,荣光花园 -二手车市场,2室1厅 | 65.9平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,36,"5,463元/平"
万达高档小区 中海悦江府 三室二卫 126平 毛坯房,中海悦江府 -万达广场,3室2厅 | 126平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,99,"7,858元/平"
户型方正 采光好 视野开阔 三居室,中海悦江府 -万达广场,3室1厅 | 95.8平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,90,"9,395元/平"
多层大H格局，精装修，采光好，可双贷,香山景园 -中东客运站,2室2厅 | 99.95平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,63.8,"6,384元/平"
万科城C区 二排望江 望江效果好 位置好 出行方便,万科城C区 -万科城,2室1厅 | 83.94平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,79.8,"9,507元/平"
南北通透格局 标准H户型，难得好户型,龙城帝景 -中海,2室1厅 | 89.97平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,20人关注 / 一年前发布,65.8,"7,314元/平"
松北二区 2室2厅 南 北,松北二区 -松北,2室2厅 | 73平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,47,"6,439元/平"
天鸿水岸馨都 南北通透 精装地热 拎包入住,天鸿•水岸馨都 -万科城,2室2厅 | 93.3平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,4人关注 / 一年前发布,88,"9,432元/平"
榮邦华福 电梯房 南北通透户型 精装修,榮邦华福 -红星美凯龙,2室2厅 | 95平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,49.8,"5,243元/平"
楼位好，可望江，视野无遮挡，准现房。诚心出售,万科上东区 -万科城,2室1厅 | 89.58平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,75,"8,373元/平"
万科上东区 南北通透 精装两室 可贷款,万科上东区 -万科城,2室1厅 | 91平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,66.9,"7,352元/平"
中海世家好房子 随时看房 大H 格局,中海世家 -松花江中学,2室2厅 | 94平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,87,"9,256元/平"
地点万科商圈，出行够物方便，采光好,荣光花园 -二手车市场,2室1厅 | 65.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,34,"5,168元/平"
双教育机构 站前小区 支持商贷精装 首付17 南北通透,站前小区 -东市场,2室1厅 | 72平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,39,"5,417元/平"
红大蓝湾 楼层好 标准户型 随时看房,金地红大蓝湾 -丰满二实验,2室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,96,"10,787元/平"
火车站商圈，阿里山花园，3室南北通透。老式家装！,阿里山花园 -火车站东广场,3室1厅 | 115.01平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,46.5,"4,044元/平"
鸿博御园 2室2厅 南 北,鸿博御园 -长春路,2室2厅 | 93平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,57.8,"6,216元/平"
中东商圈 红大领域 毛坯房 随意装修 可贷款,红大领域 -雾凇中路,3室2厅 | 121平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,65,"5,372元/平"
金澜悦府 3室1厅 南,金澜悦府 -二手车市场,3室1厅 | 107平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,79.8,"7,458元/平"
南北通透格局 视野宽阔 采光充足 配套设施齐全,鸿博御园 -长春路,2室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,68.8,"7,398元/平"
此房一天未住 采光非好 望江效果也不错 随时看房,万科上东区 -万科城,2室2厅 | 91平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,65,"7,143元/平"
万科城B区，园中楼位，头牌望江效果，基本全新，可议,万科城B区 -万科城,2室1厅 | 92.93平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 一年前发布,79.8,"8,588元/平"
荣邦新城 小户型 房主自住房 落地窗,荣邦新城 -丰满二实验,1室1厅 | 51.9平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 一年前发布,42,"8,093元/平"
户型好大H 精装修拎包入住~~~~~~,广泽香林漫步 -铁东,2室1厅 | 83平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,54.8,"6,603元/平"
万科城B区 三居室 业主诚心卖,万科城B区 -万科城,3室2厅 | 123平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 一年前发布,98,"7,968元/平"
绿地香榭里舍，封闭小区，小高电梯,绿地集团香榭里舍 -雾凇中路,2室2厅 | 82.3平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,69.8,"8,482元/平"
万科上东区，H加一户型，价格可议，诚心出售 随时看房,万科上东区 -万科城,3室2厅 | 139平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,7人关注 / 一年前发布,109.8,"7,900元/平"
阿里山花园，。。。。。。。。。。。。,阿里山花园 -火车站东广场,2室2厅 | 117平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 11个月以前发布,69,"5,898元/平"
小区交通方便..户型好..人文素质好...,金汇豪庭 -中东客运站,2室2厅 | 94.6平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,68.8,"7,273元/平"
广泽紫晶城，南北通透户型，环境优美，交通便利,广泽紫晶城二期 -吉林一中,2室2厅 | 81平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,52.8,"6,519元/平"
广泽紫晶城，三居室，精装修，标准通透户型,广泽紫晶城二期 -吉林一中,3室2厅 | 111.98平米 | 西南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,90,"8,038元/平"
位置好 楼层好厦门东街业主诚心出售,长江街80号森警楼 -丰满二实验,2室1厅 | 76平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,44.8,"5,895元/平"
此房价格低于市场价，机不可失，付款灵活。,送配电小区 -烽火丰满一实验,2室2厅 | 102平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,64.5,"6,324元/平"
此房格局方正，楼层好，采光好，视野开阔，配套齐全,荣光花园 -二手车市场,1室1厅 | 45.6平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,32.8,"7,193元/平"
万科两室主力户型，南北通透望江房源，采光无遮挡,万科城B区 -万科城,2室1厅 | 89平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 5个月以前发布,69,"7,753元/平"
两室两厅 全屋精装修 前后无遮挡,馨港湾 -东北电力,2室2厅 | 81平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,51.5,"6,359元/平"
广泽香林漫步多层4楼，毛坯房随意装修，能贷款采光好,广泽香林漫步 -铁东,2室1厅 | 93平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 塔楼,3人关注 / 一年前发布,52,"5,592元/平"
广泽紫晶城二期，户型方正，南北通透，楼层采光明亮,广泽紫晶城二期 -吉林一中,2室1厅 | 82平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,61,"7,440元/平"
此房 南北通透 大H户型   看房提前联系,吉东·托斯卡纳 -吉林一中,2室1厅 | 82平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 5个月以前发布,54.8,"6,683元/平"
万科城B区一居室公寓带阳光房，实用面积多15平,万科城B区 -万科城,1室1厅 | 38平米 | 西 | 精装 | 低楼层(共3层)  | 板楼,0人关注 / 5个月以前发布,30,"7,895元/平"
欢喜景秀园2室的大H  50多万 想研究随时来~,欢喜景秀园 -冯家屯,2室1厅 | 93.3平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,49.5,"5,306元/平"
中间楼层 采光好 无遮挡 望江效果好 南北通透,万科上东区 -万科城,3室2厅 | 113平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,2人关注 / 5个月以前发布,92,"8,142元/平"
天鸿好楼层 二室二厅 产权清晰 放心看房,天鸿•水岸馨都 -万科城,2室2厅 | 105平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,2人关注 / 一年前发布,85,"8,096元/平"
楼距远，采光充足，楼层好，视野开阔可望江,万科上东区 -万科城,2室2厅 | 90平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,72.8,"8,089元/平"
后排望江 视野开阔 中间楼层 采光好 急售！！！,万科城 -万科城,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,2人关注 / 一年前发布,88,"7,587元/平"
全屋二次装修。全屋品牌，望江效果仅次头排。无遮挡。,万科上东区 -万科城,3室2厅 | 103平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,95,"9,224元/平"
精装婚房 南北通透 支持各种贷款  价格可议,神华·万利城 -大润发四店,2室1厅 | 100平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 5个月以前发布,65.8,"6,580元/平"
年现好 格局好 小区好  交通便利,万科上东区 -万科城,2室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,75.8,"8,614元/平"
铂悦公馆 电梯小高层格局好 南北通透户型采光好,铂悦公馆K区 -中海,3室2厅 | 136.05平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,92,"6,763元/平"
望江 两室通透 一天没住 可低首付,万科城B区 -万科城,2室1厅 | 89.24平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 5个月以前发布,64,"7,172元/平"
佳美景岸  品质小区 顶越  毛坯随意装修,佳美景岸 -星光江城,4室2厅 | 107平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,66,"6,169元/平"
电梯 楼层好 望江效果好 毛坯随意装修 价格可以研究,金域蓝山公馆 -二手车市场,2室1厅 | 73平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,15人关注 / 11个月以前发布,27.8,"3,809元/平"
龙城帝景一楼带大花园 南向主卧带衣帽间卫生间,龙城帝景 -中海,3室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,10人关注 / 一年前发布,110,"8,149元/平"
万科莱茵小镇视野宽阔采光很充足,万科莱茵小镇 -万科城,2室2厅 | 90平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,4人关注 / 一年前发布,69,"7,667元/平"
万科城B区 南北两居室， 诚意出售,万科城B区 -万科城,2室2厅 | 89.4平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 一年前发布,73,"8,166元/平"
万科城B区 二排望江 室内保持的很好 基本没怎么住过,万科城B区 -万科城,2室1厅 | 92.69平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,76,"8,200元/平"
中环滨江花园 精装电梯房 诚心出售 随时看房,中环·滨江花园 -世纪广场,2室1厅 | 106.49平米 | 南 | 精装 | 中楼层(共21层)  | 板楼,2人关注 / 3个月以前发布,84.5,"7,936元/平"
新房一天未住望江 中间楼层 南北通透 万科精装,万科莱茵小镇 -万科城,2室1厅 | 90.15平米 | 南 北 | 简装 | 高楼层(共30层)  | 暂无数据,0人关注 / 4个月以前发布,75,"8,320元/平"
此房楼层好采光无遮挡房证满五精装修拎包即住,瀚林苑 -烽火丰满一实验,2室1厅 | 108平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,103,"9,538元/平"
龙城帝景一楼带大花园 南向主卧带衣帽间卫生间,龙城帝景 -中海,3室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,10人关注 / 一年前发布,110,"8,149元/平"
"万科精装,全新未住.视野开阔,诚心出售",万科城D区 -万科城,2室2厅 | 93.1平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 一年前发布,73,"7,842元/平"
万科城B区 2室2厅 南 北,万科城B区 -万科城,2室2厅 | 89平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 8个月以前发布,73,"8,203元/平"
万科上东区，两室一厅，高层电梯,万科上东区 -万科城,2室1厅 | 91平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,2人关注 / 一年前发布,73.5,"8,077元/平"
剑桥郡，精装修，双阳户型........,剑桥郡 -中海,2室1厅 | 91平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,15人关注 / 一年前发布,69.3,"7,616元/平"
中海铂悦公馆 小高4楼毛坯现房2年外，支持贷款,铂悦公馆K区 -中海,3室2厅 | 132平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,113,"8,561元/平"
此房刚交房 纯纯个人新房 中间楼层 南北通透 万科精装,万科莱茵小镇 -万科城,2室2厅 | 86.48平米 | 南 北 | 精装 | 中楼层(共35层)  | 板塔结合,2人关注 / 10个月以前发布,74,"8,557元/平"
后排望江 视野开阔 中间楼层 采光好 急售！！！,万科城 -万科城,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,2人关注 / 一年前发布,88,"7,587元/平"
万科城B区 南北通透 精装修 采光好 可贷款,万科城B区 -万科城,2室1厅 | 92.15平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,4人关注 / 一年前发布,72,"7,814元/平"
万科城 园中楼 视野好 采光好 随时看房,万科城 -万科城,2室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,75,"8,065元/平"
龙城帝景 小高层 2室1卫 新装修 未住过,龙城帝景 -中海,2室2厅 | 77.97平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 4个月以前发布,57,"7,311元/平"
望江 两室通透 一天没住 可低首付,万科城B区 -万科城,2室1厅 | 89.24平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 5个月以前发布,64,"7,172元/平"
铂悦公馆 电梯小高层格局好 南北通透户型采光好,铂悦公馆K区 -中海,3室2厅 | 136.05平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,92,"6,763元/平"
天鸿好楼层 二室二厅 产权清晰 放心看房,天鸿•水岸馨都 -万科城,2室2厅 | 105平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,2人关注 / 一年前发布,85,"8,096元/平"
楼距远，采光充足，楼层好，视野开阔可望江,万科上东区 -万科城,2室2厅 | 90平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,72.8,"8,089元/平"
中间楼层 采光好 无遮挡 望江效果好 南北通透,万科上东区 -万科城,3室2厅 | 113平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,2人关注 / 5个月以前发布,92,"8,142元/平"
年现好 格局好 小区好  交通便利,万科上东区 -万科城,2室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,75.8,"8,614元/平"
中海国际社区小高 南北通透大H户型 视野宽阔 无遮挡,中海国际社区 -中海,2室2厅 | 100平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,16人关注 / 一年前发布,74,"7,400元/平"
采光好格局好拎包入住。房子没怎么住屋里嘎嘎板正,中海国际社区 -中海,2室2厅 | 86.78平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,67.5,"7,779元/平"
金域豪庭  毛坯房  位置还可以   南北通透格局,金域豪庭 -松花江中学,2室1厅 | 91.39平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,68,"7,441元/平"
位于江南阳光水岸旁，步行到江滨公园近，配套完善,裕丰景苑 -厦门街,2室2厅 | 92平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,5人关注 / 一年前发布,88,"9,566元/平"
泊逸未来公馆 可贷款 一楼花园 3房2厅2卫 环境优美,泊逸未来公馆 -大润发四店,3室2厅 | 164平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,3人关注 / 一年前发布,112,"6,830元/平"
中海伴山郡 小区智能化管理 东山优质房源,伴山郡 -中海,4室1厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,84.8,"6,625元/平"
此房价格低于市场价，机不可失，付款灵活。。。,中海国际社区原山一期 -中海,3室2厅 | 95平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,64,"6,737元/平"
楼层好 采光好 通风好 H户型,光明新村西区 -厦门街,2室2厅 | 88.62平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,50,"5,643元/平"
金地第七郡 电梯洋房3楼 大H 毛坯现房,金地·第七郡 -中东客运站,2室2厅 | 87平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,64,"7,357元/平"
中海原山二期 电梯房 户型方正 精装修,中海国际社区原山二期 -中海,3室2厅 | 142.64平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,105,"7,362元/平"
小区配套设，施齐全，乘车方便，花园式小,万达江畔华城D区 -万达广场,2室1厅 | 86.49平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,85,"9,828元/平"
龙城帝景给您一个温暖舒适安静的家,龙城帝景 -中海,3室2厅 | 116平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,79,"6,811元/平"
中海国际社区，两室一厅，南北通透,中海国际社区 -中海,3室2厅 | 95.3平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,85,"8,920元/平"
香山品格 南北通透 精装修 拎包入住 支持贷款,香山品格 -松花江中学,2室2厅 | 98平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,79.8,"8,143元/平"
泊逸未来公馆 电梯好楼层 南北通透两室户型 毛坯现房,泊逸未来公馆 -大润发四店,2室2厅 | 90.05平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,56,"6,219元/平"
金域豪庭  前后无遮挡 毛坯房 可根据您的需求任意改造,金域豪庭 -松花江中学,2室2厅 | 93平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,70,"7,527元/平"
精装三居室，拎包即住，看房方便,金域豪庭 -松花江中学,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,10人关注 / 一年前发布,79.8,"6,940元/平"
精装修婚房，户型方正，采光好，视野好,龙城帝景 -中海,2室1厅 | 95平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 一年前发布,72,"7,579元/平"
大林兴隆家园 精装两室 拎包入住 装修好,兴隆家园 -松花江中学,2室1厅 | 77.6平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 一年前发布,59.5,"7,668元/平"
伴山郡 4室2厅 南 北,伴山郡 -中海,4室2厅 | 138平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,1人关注 / 一年前发布,120,"8,696元/平"
小高10楼 南北通透 三室两厅两卫 毛坯随意装 支持贷款,泽信吉府 -中海,3室2厅 | 118平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,100,"8,475元/平"
中海国际社区原山二期 4室2厅 南 北,中海国际社区原山二期 -中海,4室2厅 | 130.1平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,95,"7,303元/平"
西山香麓两居室双阳格局   随时看房  采光好 无遮挡,筑石·西山香麓 -中东,2室2厅 | 77.24平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,59.8,"7,743元/平"
紫光绅苑2期 不临街不把山 值得一看的房子,瀚星紫光绅苑2期 -松花江中学,2室2厅 | 87.06平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,56.8,"6,525元/平"
中海世家   小高11楼  户型好 交通便利 毛坯随意装,中海世家 -松花江中学,2室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,90,"9,678元/平"
视野宽阔，采光充足，产权清晰，小区配套设施齐全,瀚星紫光绅苑2期 -松花江中学,2室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,88.8,"7,722元/平"
此房南北通透，格局方正，楼龄新，绿化好,泽信吉府 -中海,3室2厅 | 130平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,108,"8,308元/平"
