标题,开发商,房子信息,发布信息,售价/万,单价
神农城，华晨御园毛坯大三房，中间楼层，价格可刀,华晨御园 -奥园城市广场,3室2厅 | 133.88平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 8天以前发布,83.8,"6,260元/平"
芦淞区1815线山水国际精装电梯房,山水国际晶庭 -庆云山,3室2厅 | 140平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,89.8,"6,415元/平"
业主诚心卖 户型好 安静 价格可以商量,香江悦湖春天 -未知商圈,3室2厅 | 110平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,75.8,"6,891元/平"
恒瑞雅园 6室2厅 南 北,恒瑞雅园 -奥园城市广场,6室2厅 | 198平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 塔楼,0人关注 / 7个月以前发布,150,"7,576元/平"
奇迹商圈 楼梯大三房 看房方便,拥军路2号 -高家坳,3室2厅 | 128.38平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,39,"3,038元/平"
四桥桥头  大三房 楼层好  采光好,庆云山三村 -庆云山,3室2厅 | 129平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,43,"3,334元/平"
万达广场，精装两房，诚心出售，随时可以看房,印象华都二期 -田心,3室2厅 | 103平米 | 东南 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 一年前发布,65,"6,311元/平"
江景毛坯房，配套设施齐全，交通便利。,山水国际晶庭 -庆云山,6室3厅 | 330平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,6人关注 / 一年前发布,230,"6,970元/平"
单价4千买汽车城136平带装修三房,汽车城小区 -汽车城,3室2厅 | 136.14平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,46.8,"3,438元/平"
红旗广场商圈  大众家园电梯3房2厅2卫  南北通透户型,大众家园 -红旗广场,3室2厅 | 135平米 | 南 北 | 简装 | 低楼层(共15层)  | 暂无数据,0人关注 / 7个月以前发布,65,"4,815元/平"
长沙南 万达旁 城铁口 云龙芯 水竹湖畔,香江悦湖春天 -未知商圈,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 8个月以前发布,70,"5,834元/平"
芦淞区  四桥附.近  百江花园电梯3房,百江花园 -庆云山,3室2厅 | 117平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,7人关注 / 一年前发布,66.28,"5,665元/平"
枫溪大道， 云山诗意，交通便利，随时可看。,云山诗意 -枫溪街道,5室2厅 | 184.53平米 | 东南 | 毛坯 | 高楼层(共7层)  | 塔楼,11人关注 / 一年前发布,66,"3,577元/平"
田厂北门电梯毛坯大四房，即买即装修，满两年，税费低,泉塘花園 -田心,4室2厅 | 157平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,2人关注 / 8个月以前发布,66,"4,204元/平"
城发锦城 4室2厅 南,城发锦城 -湖南工业大学,4室2厅 | 140.86平米 | 南 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,86.9,"6,170元/平"
精装大三房只要56.8万 居家装修 拎包入住,裕景龙苑 -庆云山,3室2厅 | 125平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,18人关注 / 一年前发布,49.8,"3,984元/平"
复式顶楼 沿江风光带 高楼层好视野,湘银小区世纪花园 -滨江广场,5室2厅 | 158平米 | 南 | 精装 | 高楼层(共13层)  | 板楼,6人关注 / 一年前发布,84,"5,317元/平"
湘银小区：水岸蓝郡江景大5居，全新毛坯，买即装修！,湘银小区世纪花园 -滨江广场,5室2厅 | 185平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 5个月以前发布,93.8,"5,071元/平"
中房·金色荷塘 3室2厅 南 北,中房·金色荷塘 -大润发,3室2厅 | 133.36平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,75.8,"5,684元/平"
好房推介!青龙湾独栋别墅，诚心出售,英伦世家 -株洲县,8室2厅 | 535平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 一年前发布,680,"12,711元/平"
大润发旁荷塘星城简装三房，户型周正，业主急售,荷塘星城小区 -大润发,3室2厅 | 88平米 | 南 北 | 简装 | 高楼层(共30层)  | 暂无数据,5人关注 / 一年前发布,58,"6,591元/平"
顺鑫佳园 5室2厅 南,顺鑫佳园 -芦淞区,5室2厅 | 175平米 | 南 | 精装 | 高楼层(共9层)  | 塔楼,0人关注 / 5个月以前发布,98,"5,600元/平"
红旗广场旁新华二村步梯3楼2房2厅业主有钥匙！,新华二村(荷塘区) -红旗广场,2室2厅 | 63平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,5人关注 / 一年前发布,28.8,"4,572元/平"
三一歌雅郡精装四房户型周正采光好位置好交通方便,歌雅郡 -向阳广场,4室2厅 | 136平米 | 东南 | 精装 | 高楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,91,"6,692元/平"
小区环境好 绿化高 人车分流 出行方便,磐龙世纪城海棠湾 -云龙示范区,5室2厅 | 225.85平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板楼,9人关注 / 一年前发布,103,"4,561元/平"
大江观邸江景房 户型周正 家具家电齐全 拎包入住,大江观邸 -株洲大道（体育馆）,4室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,11人关注 / 一年前发布,118,"9,594元/平"
体育钟心 建发旁 大五房 东户 格局好 户型周正,中欧昆仑首府 -株洲大道（体育馆）,5室2厅 | 168.5平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 7个月以前发布,98.63,"5,854元/平"
新桂广场  兰天一村大两房  户型周正 装修9层新,兰天一村 -向阳广场,2室2厅 | 93.1平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,59.9,"6,434元/平"
青龙湾英伦国际是封闭式物业管理，人车分流,英伦国际 -株洲县,4室2厅 | 174.93平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,17人关注 / 一年前发布,78,"4,459元/平"
株百芦淞二店旁 曼哈顿花园 精装电梯四房 拎包入住,中瑞曼哈顿花园 -高家坳,3室2厅 | 126平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,2人关注 / 一年前发布,78,"6,191元/平"
正规三房，全新毛胚房，业主诚心出售,枫林绿洲 -庆云山,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,1人关注 / 一年前发布,68.8,"5,504元/平"
单价3000买新华路主干道居家大三房,铁四院一分院 -向阳广场,3室1厅 | 90平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,25,"2,778元/平"
大江观邸 居家精装 南比通透 通风采光好,大江观邸 -株洲大道（体育馆）,4室2厅 | 143平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,100,"6,994元/平"
好房子出售，价格不贵，钥匙在我们店里，方便看房子,尚格康桥漫步二期 -高家坳,4室2厅 | 117.58平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,58,"4,933元/平"
向阳广场三医院旁边  三楼带装修 业主诚心出售,赵家冲 -向阳广场,2室2厅 | 100平米 | 东南 | 简装 | 低楼层(共3层)  | 暂无数据,2人关注 / 一年前发布,40,"4,000元/平"
河西体育馆 大江观邸 一线江景四房 电梯中层 随时看房,大江观邸 -株洲大道（体育馆）,4室2厅 | 171平米 | 东南 | 毛坯 | 高楼层(共27层)  | 塔楼,3人关注 / 一年前发布,125,"7,310元/平"
大江观邸 居家精装 品牌家具家电 拎包入住,大江观邸 -株洲大道（体育馆）,4室2厅 | 140.1平米 | 东南 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,112.8,"8,052元/平"
万达广场旁 人车分流小区 只等你,香江悦湖春天 -未知商圈,3室2厅 | 125平米 | 东南 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 8个月以前发布,85,"6,800元/平"
磐龙世纪城 户型周正 得房率高 单价便宜,磐龙世纪城海棠湾 -云龙示范区,4室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,68,"4,756元/平"
此房地理位置好 居家装修，单价便宜，方便看房。,江南世家 -龙泉,4室2厅 | 186.3平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,15人关注 / 一年前发布,55,"2,953元/平"
市区的复式楼，首付低。随时看房,湘安小区 -芦淞区,4室2厅 | 145.22平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,46,"3,168元/平"
2015年精装修电梯大两房，户型周正，优价出售。,鑫科大厦 -徐家桥商业步行街,2室1厅 | 88.7平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 一年前发布,56.8,"6,404元/平"
印象華都一期4-1-1-2 128.00m² 76 万,印象華都一期 -田心,4室1厅 | 128平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,76,"5,938元/平"
此房满两年  采光通风佳  视野开阔,株洲碧桂园 -株洲北,5室2厅 | 250平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,2人关注 / 3个月以前发布,170,"6,800元/平"
房东急卖! 万丰湖旁 单价4K一平的复式楼!,臻品仙岭居一期 -马家河,6室2厅 | 185平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,72,"3,892元/平"
万达旁，好小区，房龄新。物业好，可拎包入住,株洲碧桂园 -株洲北,2室2厅 | 99平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,10人关注 / 一年前发布,49,"4,950元/平"
天鹅公园湖旁大三房，交通方便，环境优美,天鹅花园 -天鹅湖公园,3室2厅 | 143.25平米 | 东南 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,71.8,"5,013元/平"
金水湾230平方5房2厅诚心出售,华晨金水湾 -湖南工业大学,5室2厅 | 230.28平米 | 东南 | 毛坯 | 低楼层(共27层)  | 暂无数据,2人关注 / 一年前发布,172,"7,470元/平"
向阳广场！岭秀天下 自己住的全新精装四房 带车位！,嶺秀天下 -荷塘区,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,79.6,"5,567元/平"
房子密码锁，看房方便。经典小三房，拎包入住,歌雅郡 -向阳广场,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,1人关注 / 一年前发布,62,"6,967元/平"
华润万家 文化路 石宋路 十三中 毛坯大四房,晨光小区 -东湖,4室2厅 | 163平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,69.6,"4,270元/平"
房子位于大润发旁，正规三房，出行方便,兴城御景东方 -大润发,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,1人关注 / 一年前发布,79.5,"6,854元/平"
顺鑫佳园 出门就是公交车站 旁边就是街,顺鑫佳园 -芦淞区,3室1厅 | 132平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,52,"3,940元/平"
小区环境好，配套齐全，交通便利，看房方便,冶金工校家属区 -大润发,2室1厅 | 56.7平米 | 东南 | 简装 | 高楼层(共5层)  | 暂无数据,2人关注 / 6个月以前发布,17.2,"3,034元/平"
紫竹茗园 空间大 五房 可预约看房,紫竹茗园 -滨江广场,5室2厅 | 200平米 | 南 | 毛坯 | 低楼层(共17层)  | 塔楼,11人关注 / 一年前发布,112,"5,600元/平"
城建局 国安花园 楼梯三楼 已出租 价格可谈,国安花园 -滨江广场,4室2厅 | 140平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,8人关注 / 一年前发布,58.8,"4,200元/平"
就读银海，正在加装电梯，钻石三楼，大四房，精装修,银苑小区(天元区) -滨江广场,4室2厅 | 170平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,7人关注 / 一年前发布,72.8,"4,283元/平"
房子在17楼 楼层很好 采光通风都很不错 户型周正！！,星城平安里 -大润发,3室2厅 | 133平米 | 东 | 精装 | 高楼层(共17层)  | 塔楼,4人关注 / 一年前发布,52.8,"3,970元/平"
房型好，双阳台，电梯中层，小区花园位置，诚心出售！,嶺秀天下 -荷塘区,3室1厅 | 122.4平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,57.8,"4,723元/平"
醴泉路 欧洲城三房两厅 毛坯 楼层好,欧洲城 -醴陵市,3室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共23层)  | 暂无数据,4人关注 / 一年前发布,56.8,"5,680元/平"
大江官邸业主自住的房子 诚心卖,大江观邸 -株洲大道（体育馆）,4室2厅 | 140平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,71,"5,072元/平"
利江畅园，毛坯大四房，配套方便,利江畅园 -奥园城市广场,4室2厅 | 170平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,2人关注 / 10个月以前发布,85,"5,000元/平"
湘坤金岸华庭 2室2厅 南,湘坤金岸华庭 -大润发,2室2厅 | 99.97平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,51.8,"5,182元/平"
天鹅湖一号 5室，满二 毛坯 电梯中层,天鹅湖一号 -天鹅湖公园,5室2厅 | 170平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2人关注 / 一年前发布,95,"5,589元/平"
四桥头 湘江边上  电梯两房 出行方便,佳诚时代广场 -徐家桥商业步行街,2室2厅 | 92.86平米 | 东南 南 | 简装 | 中楼层(共15层)  | 塔楼,3人关注 / 一年前发布,54,"5,816元/平"
滨江板块金水湾阔景大5房朝南户型优价出售,华晨金水湾 -湖南工业大学,5室2厅 | 231.16平米 | 东南 | 毛坯 | 低楼层(共31层)  | 塔楼,1人关注 / 一年前发布,142,"6,143元/平"
正红旗广场 精装大五房 两层楼，有100平的露台,福缘新秀 -向阳广场,5室2厅 | 203平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,66,"3,252元/平"
工大商圈 中通 紫金华府 入户花园139平大四房 毛坯,中通紫金华府 -湖南工业大学,4室2厅 | 139.05平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,101,"7,264元/平"
此房采光好，户型朝南，采光充足。主卧和次卧都带阳,竹山小区 -湖南工业大学,4室2厅 | 148.16平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,23人关注 / 一年前发布,52,"3,510元/平"
工大旁亿都漫城九成新精装拎包入住,亿都漫城 -湖南工业大学,4室2厅 | 126.1平米 | 东南 | 精装 | 低楼层(共24层)  | 暂无数据,0人关注 / 3个月以前发布,110,"8,724元/平"
居家好房拎包入住户型周正随时看房,馨香小區 -向阳广场,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 11个月以前发布,41.8,"4,750元/平"
工大大四房 两梯两户周正户型 品牌家电家具,龙腾国际 -湖南工业大学,4室2厅 | 169平米 | 东南 南 | 精装 | 低楼层(共18层)  | 板塔结合,6人关注 / 8个月以前发布,122,"7,219元/平"
红旗广场 玫瑰名城橡树园  精装两房家电齐全 拎包入住,玫瑰名城橡树园 -向阳广场,2室2厅 | 89平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,9人关注 / 一年前发布,52.8,"5,933元/平"
工大旁   湘银物业  五房毛坯  纯板房,湘银·山水文园 -湖南工业大学,5室2厅 | 246平米 | 南 | 毛坯 | 低楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,160,"6,505元/平"
芦淞区1815线山水国际精装电梯房,山水国际晶庭 -庆云山,2室2厅 | 123平米 | 东 南 | 精装 | 高楼层(共18层)  | 塔楼,8人关注 / 一年前发布,68,"5,529元/平"
房子在17楼 楼层很好 采光通风都很不错 户型周正！！,星城平安里 -大润发,3室2厅 | 133平米 | 东 | 精装 | 高楼层(共17层)  | 塔楼,4人关注 / 一年前发布,52.8,"3,970元/平"
城建局 国安花园 楼梯三楼 已出租 价格可谈,国安花园 -滨江广场,4室2厅 | 140平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,8人关注 / 一年前发布,58.8,"4,200元/平"
就读银海，正在加装电梯，钻石三楼，大四房，精装修,银苑小区(天元区) -滨江广场,4室2厅 | 170平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,7人关注 / 一年前发布,72.8,"4,283元/平"
利江畅园，毛坯大四房，配套方便,利江畅园 -奥园城市广场,4室2厅 | 170平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,2人关注 / 10个月以前发布,85,"5,000元/平"
天鹅湖一号 5室，满二 毛坯 电梯中层,天鹅湖一号 -天鹅湖公园,5室2厅 | 170平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2人关注 / 一年前发布,95,"5,589元/平"
房子位于大润发旁，正规三房，出行方便,兴城御景东方 -大润发,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,1人关注 / 一年前发布,79.5,"6,854元/平"
房型好，双阳台，电梯中层，小区花园位置，诚心出售！,嶺秀天下 -荷塘区,3室1厅 | 122.4平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,57.8,"4,723元/平"
小区环境好，配套齐全，交通便利，看房方便,冶金工校家属区 -大润发,2室1厅 | 56.7平米 | 东南 | 简装 | 高楼层(共5层)  | 暂无数据,2人关注 / 6个月以前发布,17.2,"3,034元/平"
顺鑫佳园 出门就是公交车站 旁边就是街,顺鑫佳园 -芦淞区,3室1厅 | 132平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,52,"3,940元/平"
此房位于桂花路，电梯中层，居家毛呸大三房，单价低,创信中央皇庭 -向阳广场,3室1厅 | 122.74平米 | 东北 | 毛坯 | 高楼层(共30层)  | 板塔结合,2人关注 / 一年前发布,56.8,"4,628元/平"
万达旁  精装大四房南北通透中间楼层,嘉天紫东苑 -向阳广场,4室2厅 | 136.05平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,8人关注 / 8个月以前发布,69,"5,072元/平"
红旗广场旁，电梯高层，房东诚心卖，价格可以谈,创信中央皇庭 -向阳广场,3室2厅 | 113平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,8人关注 / 8个月以前发布,51.5,"4,558元/平"
中房天玺湾洋房品质，大花园，带地下室,中房天玺湾 -株洲西站,4室2厅 | 190平米 | 南 | 毛坯 | 低楼层(共4层)  | 板塔结合,2人关注 / 一年前发布,171.8,"9,043元/平"
红旗广场 步梯好楼层  小区交通便利 诚心出售,水竹一村 -红旗广场,3室2厅 | 100平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,38.6,"3,860元/平"
天玺湾   洋房 业主诚心出售,中房天玺湾 -株洲西站,5室2厅 | 177平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,268,"15,142元/平"
华润万家电梯中层大平层，六房 诚意出售,金域半岛 -新华东路,6室2厅 | 196平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,220,"11,225元/平"
此房满两年  采光通风佳  视野开阔,跃进村 -向阳广场,3室2厅 | 98平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,29.2,"2,980元/平"
华晨  山水豪庭   大5房   工作调动于省城   急售,华晨山水豪庭 -株洲西站,5室2厅 | 159平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,108,"6,793元/平"
高科一号领域5室2厅 南北通透  一线湖景  国企品质,高科壹号领域 -栗雨（美的城）,5室2厅 | 218平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,183,"8,395元/平"
亿都铂金时代 2室1厅 南,亿都铂金时代 -大润发,2室1厅 | 89.55平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 9个月以前发布,67,"7,482元/平"
经世龙城标准大四室，配套成熟齐全小区，换房合适,经世龙城 -栗雨（美的城）,4室2厅 | 170平米 | 东南 | 简装 | 低楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,106,"6,236元/平"
碧桂园大五房清水毛坯 带一个10平大lu台 可以养花养草,醴陵碧桂园 -醴陵市,5室2厅 | 194.2平米 | 北 南 | 毛坯 | 低楼层(共17层)  | 板楼,1人关注 / 4个月以前发布,92.8,"4,779元/平"
高科壹号领域 5室2厅 南 北,高科壹号领域 -栗雨（美的城）,5室2厅 | 216平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,168,"7,778元/平"
神龙城芯大平层  大主卧  满二 看房有钥匙,株洲奥园养生城 -湖南工业大学,6室2厅 | 237平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 4个月以前发布,189.6,"8,000元/平"
创信中央皇庭3-2-1-2 132.00m² 72.8 万,创信中央皇庭 -向阳广场,3室2厅 | 132平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,67.8,"5,137元/平"
此房为三一歌雅郡三房两厅 户型为佳的 客厅带阳台,歌雅郡 -向阳广场,3室2厅 | 120.68平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,66.8,"5,536元/平"
银苑小区 正规大四房 户型周正 出行方便,银苑小区(天元区) -滨江广场,4室2厅 | 169.5平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 一年前发布,70,"4,130元/平"
汽车城 人车分流 小3房  有钥匙 随时看,水岸花城 -汽车城,3室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,61.6,"5,867元/平"
栗雨湖畔 高科壹号领域 南北通透湖景大五房,高科壹号领域 -栗雨（美的城）,5室2厅 | 192平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 7个月以前发布,150,"7,813元/平"
红旗广场商圈 人车分流小区  毛坯电梯两房,御景龙湾 -汽车城,2室1厅 | 86.13平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,51.8,"6,015元/平"
河西泰山西路 联排别墅 带后花园 地下酒窖 露台,九八缔景城 -株洲西站,6室2厅 | 272平米 | 南 | 毛坯 | 4层  | 板塔结合 | 联排别墅 ,6人关注 / 一年前发布,237,"8,714元/平"
河西国土局单位小区，179平大平层毛坯，东头户好居家,欣佳花园西区 -庐山路,5室2厅 | 179平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,3人关注 / 6个月以前发布,95,"5,308元/平"
北欧小镇毛坯四房洋房，价格低，业主诚心卖，价格可谈,北欧小镇 -石峰区,4室2厅 | 149.26平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 塔楼,0人关注 / 4个月以前发布,61.8,"4,141元/平"
文化路口顺达花园205平米才卖74万,顺达花园 -大润发,5室2厅 | 205平米 | 南 东南 | 精装 | 高楼层(共7层)  | 板塔结合,9人关注 / 一年前发布,65,"3,171元/平"
火炬二村 2室1厅 南,火炬二村 -田心,2室1厅 | 65平米 | 南 | 简装 | 中楼层(共6层)  | 平房,0人关注 / 2个月以前发布,21,"3,231元/平"
正红旗广场精装复式楼，业主诚心出售，价格可谈,嘉盛华府 -大润发,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 6个月以前发布,52,"5,843元/平"
九天国际火车站2房，居家做生意好房,国富中心 -株洲火车站,2室2厅 | 81.9平米 | 东南 | 简装 | 中楼层(共14层)  | 暂无数据,4人关注 / 一年前发布,35,"4,274元/平"
云龙 锦绣湘江 毛坯四房 户型周正 与别墅为邻,锦绣香江 -石峰区,4室2厅 | 149平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板塔结合,10人关注 / 一年前发布,72,"4,833元/平"
大江观邸江景全视野 无任何遮挡,大江观邸 -株洲大道（体育馆）,4室2厅 | 121.6平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,2人关注 / 一年前发布,86,"7,073元/平"
全湖景围绕小区，水天一色，环境清幽，近文化园,天鹅花园 -天鹅湖公园,2室1厅 | 65.37平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 6个月以前发布,29,"4,437元/平"
中房 天玺湾 户型很通透五房 带入户花园 中间楼层,中房天玺湾 -株洲西站,5室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,78.8,"5,838元/平"
尚格名城 满五唯一 空中花园复式 带露台,天香国舍 -株洲大道（体育馆）,5室2厅 | 158.76平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,35人关注 / 一年前发布,56.8,"3,578元/平"
新月塘步梯3楼精装  修拎包入住,新月塘 -大润发,2室1厅 | 55.4平米 | 东南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,28,"5,055元/平"
房子满两年，居家养老，环境优雅。,布拉庄园 -株洲县,5室2厅 | 195平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,1人关注 / 一年前发布,239.9,"12,303元/平"
沿江风光带 大江观邸 一线江景房毛坯大四房 证满两年,大江观邸 -株洲大道（体育馆）,4室2厅 | 169.24平米 | 东南 南 北 | 毛坯 | 低楼层(共24层)  | 板塔结合,2人关注 / 一年前发布,110,"6,500元/平"
本套房子精装修，实木家具 品牌家电齐全。,玫瑰名城玫瑰园 -大润发,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,3人关注 / 一年前发布,83,"6,485元/平"
芦淞区 服装市场商圈 金路小区 毛坯电梯四房,金路小区 -高家坳,4室2厅 | 153.44平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,3人关注 / 一年前发布,70,"4,563元/平"
好房推介！青龙湾联排别墅，诚心出售,布拉庄园 -株洲县,5室2厅 | 223平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 一年前发布,308,"13,812元/平"
交通便利，环境优雅，事宜居住，配套齐全,布拉庄园 -株洲县,5室2厅 | 158平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 一年前发布,236,"14,937元/平"
此房坐南朝北，采光很好，现代化精装修,东部美的城二期 -向阳广场,3室2厅 | 113平米 | 东南 | 精装 | 低楼层(共31层)  | 暂无数据,0人关注 / 9个月以前发布,75,"6,638元/平"
万达商圈  大五房两层楼  有100平院子,歌雅郡 -向阳广场,5室1厅 | 189平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,1人关注 / 一年前发布,104,"5,503元/平"
房产大厦 3室2厅 南,房产大厦 -中心广场,3室2厅 | 160平米 | 南 | 简装 | 高楼层(共25层)  | 板塔结合,0人关注 / 3个月以前发布,74.8,"4,675元/平"
青龙湾独栋别墅 户型方正 带独立大院子 环境优美,英伦世家 -株洲县,5室2厅 | 309.74平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 9个月以前发布,273,"8,814元/平"
亮点  通透采光通风佳  视野开阔,香江悦湖春天 -未知商圈,3室2厅 | 124平米 | 东南 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 8个月以前发布,84,"6,775元/平"
