标题,开发商,房子信息,发布信息,售价/万,单价
此房精装修拎包入住，楼层好 视野开阔，生活便利。。,凯旋中央城 -吉州区,2室2厅 | 84.28平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 22天以前发布,75.8,"8,994元/平"
一线江景房，4房地理位置佳，交通便利,滨江南岸 -遂川县,4室2厅 | 146.72平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,3人关注 / 7个月以前发布,96.8,"6,598元/平"
楼层好，出入方便，适合小孩学习。老人居住,龙华中大道320号 -吉水县,3室3厅 | 109.71平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 5个月以前发布,54,"4,923元/平"
将军公园天然氧吧的毛坯标准大三房，,金庐名居 -吉安县,3室2厅 | 129.05平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,76,"5,890元/平"
金庐名居 3室2厅 南 北,金庐名居 -吉安县,3室2厅 | 130.3平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,85,"6,524元/平"
吉安大桥高旁边，3房2厅2卫售价92万,鼎馨花园 -青原区,3室2厅 | 142.6平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,1人关注 / 10个月以前发布,92,"6,452元/平"
祥云山庄，电梯房，大三房，毛坯房出售。,祥云山庄 -泰和县,3室2厅 | 144.38平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 9天以前发布,79.9,"5,535元/平"
好楼层精装，满五唯一，户型端正，采光好南北对流。,鷺洲府邸 -吉州区,3室2厅 | 124.96平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,106,"8,483元/平"
东方兰园三房精装带一个22平米的车库小区产证满五唯一,东方兰园 -青原区,3室2厅 | 97.79平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,1人关注 / 一年前发布,76,"7,772元/平"
带精装修，买五唯一。过户费低。,同富花园 -吉安县,3室2厅 | 118.4平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,1人关注 / 一年前发布,70,"5,913元/平"
滨江国际城四房两厅毛坯房，视野开阔，江景房,滨江国际城 -吉水县,4室2厅 | 129.7平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 一年前发布,114,"8,790元/平"
市政府旁三房证在手满2年随时签约,水韵蓝湾 -吉州区,3室2厅 | 135平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,2人关注 / 一年前发布,104,"7,704元/平"
顶楼6房复式楼 带南北双露台，拎包入住,天龙花园 -吉州区,6室3厅 | 131.69平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,3人关注 / 3个月以前发布,142,"10,783元/平"
房子产证满2年.板楼结构，精装修.视野宽阔，,五建大楼 -青原区,3室2厅 | 126.36平米 | 东 南 | 精装 | 中楼层(共7层)  | 平房,0人关注 / 4个月以前发布,78,"6,173元/平"
房子满五唯一，中间楼层，采光很好家具家电全带,青原明珠小区 -青原区,3室2厅 | 121.47平米 | 东 西 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,76,"6,257元/平"
金田时代城  毛坯大三房 东边户 前后无遮挡,金田时代城 -青原区,3室2厅 | 132.45平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 10天以前发布,65,"4,908元/平"
成熟的小区，心动的价格，期待有缘的您,凯旋金融中心 -吉州区,3室2厅 | 108.99平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,4人关注 / 一年前发布,84,"7,708元/平"
大四房证满二过户费低，坐北朝南，好楼层户型通透,阳光家苑 -吉州区,4室2厅 | 137.81平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,11人关注 / 一年前发布,124,"8,998元/平"
城南精装修，三房，交通便捷，配套齐全。,达观学府 -吉州区,3室2厅 | 90.43平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 4个月以前发布,98,"10,838元/平"
滨江公园旁、户型方正、采光充足、购物方便房东诚心卖,上江界 -青原区,3室1厅 | 116.72平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,1人关注 / 10个月以前发布,83,"7,112元/平"
国兴新世纪      标准四房    楼层好采光好,国兴新世纪 -泰和县,4室2厅 | 132.43平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,2人关注 / 一年前发布,93,"7,023元/平"
青原区赣江滨江公园旁上江节3-2--1-2精装修,上江界 -青原区,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 13天以前发布,99.9,"7,805元/平"
文天祥纪念馆景区大三房，楼层好，精装修拎包入住,华安小区 -吉安县,3室2厅 | 143.98平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,88,"6,112元/平"
广场旁新小区，带游泳池优质3房，业主诚心出售,汉邦尚公馆 -吉安县,3室2厅 | 121.66平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,103,"8,467元/平"
简单装修，产证满5年，过户费少，实际面积更大,韶山东路26号 -吉州区,2室2厅 | 81.54平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 4个月以前发布,82.5,"10,118元/平"
泰发茗城 好楼层好视野 产证满2年 价格实惠,泰发茗城 -泰和县,4室2厅 | 142.86平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,116,"8,120元/平"
长岗南路  五十多万的精装三房 配套成熟,长岗南路 -吉州区,3室2厅 | 89.99平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 3个月以前发布,48.8,"5,423元/平"
有证满二过户费低 户型通透。12年可步行上下课,阳光家苑 -吉州区,4室2厅 | 138.85平米 | 南 | 毛坯 | 高楼层(共23层)  | 板楼,9人关注 / 一年前发布,127,"9,147元/平"
井冈山大道旁3房2厅1厨1卫。。。。。。。。。。,外贸局宿舍 -吉州区,3室2厅 | 94.11平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,3人关注 / 一年前发布,86,"9,139元/平"
生活配套一有尽有，温馨三房，格局方正，居住舒适,城关市场 -吉安县,3室2厅 | 81.16平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,60,"7,393元/平"
此小区为深圳大道与井冈山大道交汇处,龙腾府邸 -吉安县,3室2厅 | 107.52平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,2人关注 / 一年前发布,58,"5,395元/平"
市政府东区中间楼层3室1厅简单装修急卖,鹭洲东路1号 -吉州区,3室1厅 | 80.87平米 | 南 | 简装 | 中楼层(共4层)  | 塔楼,5人关注 / 11个月以前发布,90,"11,129元/平"
华声苑B区 3室2厅 南,华声苑B区 -吉州区,3室2厅 | 158.79平米 | 南 | 简装 | 高楼层(共7层)  | 平房,0人关注 / 1个月以前发布,150,"9,447元/平"
优质大三房，毛坯装修自由，大车库交通便利,开阳星苑 -吉安县,3室2厅 | 123.94平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,116,"9,360元/平"
交通便利 火车站 汽车站国光公交站台,鼎馨花园 -青原区,3室2厅 | 139.2平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,2人关注 / 一年前发布,92,"6,610元/平"
满两年户型通透电梯中间楼层毛坯房可按自己喜好来装饰,智慧城 -吉安县,4室2厅 | 138.29平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板楼,0人关注 / 11个月以前发布,87,"6,292元/平"
星港澳园大三房两厅两卫 满五年户型方正 业主诚意出售,星港澳园 -吉州区,3室2厅 | 156.6平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 9天以前发布,149.8,"9,566元/平"
此房是精装房，满五年，拎包入住，，，，,汇鑫国际 -吉州区,3室2厅 | 123.59平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,8人关注 / 一年前发布,108,"8,739元/平"
达观一期绿化好高  5房大平层视野广,达观天下一期 -吉州区,4室2厅 | 172.49平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,1人关注 / 一年前发布,136,"7,885元/平"
户型方正，阳光充足，视野开阔，业主诚心卖。,湖滨苑 -吉州区,3室2厅 | 124.08平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,1人关注 / 5个月以前发布,105,"8,463元/平"
紫薇家园，毛坯，可按照自己的风格装修，,紫薇家园 -吉安县,3室2厅 | 134.07平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,69.8,"5,207元/平"
房子装修北欧风格，楼层装修不错,南澳公馆 -吉州区,3室2厅 | 123.6平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,10人关注 / 一年前发布,99.8,"8,075元/平"
智慧城精装修大三房，满两年出行方便，小区自带幼儿园,智慧城 -吉安县,3室2厅 | 124.75平米 | 南 | 其他 | 低楼层(共22层)  | 板楼,0人关注 / 8个月以前发布,82,"6,574元/平"
房子朝南的格局，阳台很大，采光通风都是很好的。,南澳公馆 -吉州区,3室2厅 | 123.6平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 6天以前发布,92,"7,444元/平"
荧屏阳光花园装修三房拎包入住，满二,阳光花园 -遂川县,3室2厅 | 112.4平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 8天以前发布,67.8,"6,033元/平"
华盛大厦大面积好楼层双阳台价格实惠,华盛大厦 -泰和县,3室2厅 | 153平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,88,"5,752元/平"
前面无遮档 阳光充足，交通方便，配套齐.小区有幼儿,锦江星城 -吉州区,4室2厅 | 144平米 | 东南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 7天以前发布,120,"8,334元/平"
城南标杆小区人车分流五星绿化业主诚售,新力帝泊湾 -吉州区,3室2厅 | 105平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 7天以前发布,102,"9,715元/平"
滨江壹号 4室2厅 南,滨江壹号 -泰和县,4室2厅 | 123平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 6天以前发布,129,"10,488元/平"
江尚大三房毛坯自由装修新二中 环境优美朝南通透,恒盛花园·江尚 -吉州区,3室2厅 | 122.61平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,0人关注 / 7天以前发布,77,"6,281元/平"
上尚城复式大四房，带六十多平大花园,融钜上尚城 -吉安县,3室2厅 | 112.48平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 8天以前发布,148,"13,158元/平"
精装房 拎包入住   小三房 3房2厅1卫   业主诚心卖,城北温馨家苑 -吉安县,3室2厅 | 90平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3天以前发布,68.9,"7,656元/平"
新小区，新力物业，绿化好人车分流，适合居住,新力帝泊湾 -吉州区,3室2厅 | 124.68平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 7天以前发布,118,"9,465元/平"
吉安城南，碧桂园给您五星 的家,碧桂园正荣庐陵府一期 -吉州区,4室2厅 | 142.5平米 | 南 | 简装 | 中楼层(共25层)  | 暂无数据,0人关注 / 3天以前发布,167,"11,720元/平"
毛坯三房 好楼层 房东诚心卖 学xiao就在门口,滨江春天 -青原区,3室2厅 | 112平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 6天以前发布,76.8,"6,858元/平"
小区在滨江公园旁，可看湖景，装修很好，直接拎包入住,上江界 -青原区,5室2厅 | 208.5平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 7天以前发布,190,"9,113元/平"
"楼间距很宽 ，环境好，户型好，带游泳池,小区环境好",鳳山蓝湾 -吉州区,3室2厅 | 127.43平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 2天以前发布,106.8,"8,382元/平"
青原苑大4房，拎包入住，采光好,青原苑 -青原区,4室2厅 | 182平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 8天以前发布,79.9,"4,391元/平"
泰和县老城中芯地段 三房两厅 采光通风好  交通便利,副食品大厦 -泰和县,3室2厅 | 124平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,65,"5,242元/平"
业主急卖，城南恒大帝景，正三房两卫，天然氧吧。,恒大帝景 -吉州区,3室2厅 | 126.53平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 3天以前发布,107,"8,457元/平"
此房通透对流，毛胚大7房，可以自己装修设计，,金田锦城 -吉州区,7室3厅 | 313.7平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 3天以前发布,309.5,"9,867元/平"
泰和县浅水湾旁边 好楼层 业主自住少  三房两厅两卫,老物资局宿舍 -泰和县,3室2厅 | 120.25平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5天以前发布,72,"5,988元/平"
6复7，东边户光线好精装修，拎包入住，使用面积大,鷺洲府邸 -吉州区,5室2厅 | 184.05平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,125,"6,792元/平"
吉州大道旁，八中，五里，出行便利,汇鑫国际 -吉州区,3室2厅 | 123.41平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,130,"10,534元/平"
全明通透的户型每个房间都有窗户是冬暖夏凉的户型,创天丽景城 -吉州区,3室2厅 | 126.79平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,86.8,"6,846元/平"
老城区精装大3房，配套齐全各项设施完善,海联·五星公馆 -吉州区,3室2厅 | 130.28平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,0人关注 / 28天以前发布,112,"8,597元/平"
湖滨学 校附 近，二中旁精装小户型,井冈春天小区 -吉安县,3室2厅 | 100.54平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 28天以前发布,70,"6,963元/平"
新中式装修风格比较新款，南北双阳台，,智慧城 -吉安县,3室2厅 | 118.24平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 24天以前发布,85,"7,189元/平"
国兴新世纪 三房两厅两卫 精装修未入住 边户南北通透,国兴新世纪 -泰和县,3室2厅 | 123.21平米 | 南 北 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 21天以前发布,102,"8,279元/平"
现代城 精装修，满五唯一税费低,现代城 -青原区,4室2厅 | 135.57平米 | 南 北 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 22天以前发布,98.5,"7,266元/平"
房子在老街地段  生活上学工作都便利,绿海金华苑 -吉安县,2室2厅 | 100.57平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 21天以前发布,70,"6,961元/平"
此房子7楼有个40平房间，户型是朝向南北的，视野开阔.,泰和路9号 -青原区,3室2厅 | 117.76平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 平房,0人关注 / 23天以前发布,53,"4,501元/平"
万家阳明花园 简装两居室 低楼层,万家·阳明花园 -吉州区,2室2厅 | 76.79平米 | 南 北 | 简装 | 低楼层(共7层)  | 塔楼,0人关注 / 19天以前发布,62,"8,074元/平"
凤凰星城 4室2厅 东南,凤凰星城 -遂川县,4室2厅 | 147.7平米 | 东南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 4天以前发布,88.6,"5,999元/平"
业主变现，置换房子，价格合适就会出手，看房方便,东方兰园 -青原区,2室2厅 | 90.67平米 | 南 北 | 简装 | 高楼层(共7层)  | 塔楼,0人关注 / 12天以前发布,51,"5,625元/平"
昇泰花园大面积2房2厅，带一楼储藏室,昇泰花园 -泰和县,2室2厅 | 100.57平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 9天以前发布,60,"5,966元/平"
吉福路 吉福苑小区 楼梯房公摊小  两居室看房方便,吉福苑 -吉州区,2室2厅 | 94.19平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 13天以前发布,68,"7,220元/平"
城北精装四房137.32㎡配套完善，小区自带幼儿园。,龙湾华庭 -永新县,4室2厅 | 137.32平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 12天以前发布,103,"7,501元/平"
城南市政府旁精装大三房诚意出售！首付2W,南澳公馆 -吉州区,3室2厅 | 93.41平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 6天以前发布,75,"8,030元/平"
高新雅苑 2室2厅 南,高新雅苑 -吉安县,2室2厅 | 89.13平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 5天以前发布,62,"6,957元/平"
城南恒泰花园精装两房，拎包入住，采光很好,恒泰花园 -吉州区,2室2厅 | 97平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 1天以前发布,70,"7,217元/平"
城中装修两房朝南户型带柴间出售,二建宿舍 -吉州区,2室2厅 | 85.48平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,50,"5,850元/平"
满五年简单装修 户型好，视野开阔采光充足交通便利,永宏佳苑一期 -吉安县,2室2厅 | 104.37平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 21天以前发布,61,"5,845元/平"
业主诚心出售，房子保养得不错，楼层也不错,景园春 -吉安县,2室2厅 | 93.73平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 21天以前发布,50,"5,335元/平"
汇丰御园 南北通透正三房 楼层好 配套齐全,汇丰御园 -吉州区,3室2厅 | 133.45平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,105,"7,869元/平"
中梁泰和首府 3房2厅2卫 产证满2年过户 70万,中梁泰和首府 -泰和县,3室2厅 | 103.08平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,70,"6,791元/平"
禾水滨江壹号 3室2厅 南 北,禾水滨江壹号 -永新县,3室2厅 | 147.85平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,75,"5,073元/平"
东方赛纳南区毛坯三房，诚信出售，看房预约！,东方赛纳南区 -吉州区,3室2厅 | 135.85平米 | 南 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 1个月以前发布,125,"9,202元/平"
朝南3房2厅2卫 朝南 户型方正 采光很好,和公馆 -泰和县,3室2厅 | 122平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 26天以前发布,97.6,"8,000元/平"
城南好地段 配套齐全，生活便利，格局方正 校区近方便,中央公园西区 -吉州区,3室2厅 | 117.27平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 24天以前发布,122,"10,404元/平"
金田锦城，毛坯三房。中间楼层，采光好，可以自由装修,金田锦城 -吉州区,3室2厅 | 124平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,94,"7,581元/平"
小区近公园，楼层好，契税满2，过户费低....,学府雅苑A区 -遂川县,3室2厅 | 99.86平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 25天以前发布,73.8,"7,391元/平"
精品三房两厅两卫，中楼层！视野好。,国兴新世纪 -泰和县,3室2厅 | 117平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,81.9,"7,000元/平"
凯旋翰林府 3室2厅 南,凯旋翰林府 -吉州区,3室2厅 | 103.5平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,120,"11,595元/平"
国宾府交通便利，配套设施齐全......,松泰国宾府 -遂川县,3室2厅 | 129.54平米 | 东南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 25天以前发布,79,"6,099元/平"
城南精装四房 中间楼层 户型方正 采光充足,恒丰花园西区 -吉州区,4室2厅 | 139.8平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 27天以前发布,95,"6,796元/平"
此房满五年，精装房，业主没怎么住,井大阳光城 -青原区,5室2厅 | 138.81平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 30天以前发布,107,"7,709元/平"
泽盛江南府 3室2厅 南,泽盛江南府 -泰和县,3室2厅 | 96平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,78,"8,125元/平"
鑫鼎商业广场，毛坯大三房，带车位,鑫鼎商业广场 -永新县,3室2厅 | 134.31平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 24天以前发布,96,"7,148元/平"
诚心出售市中 心地段装修大三房满两年,宜家公园 -吉州区,3室2厅 | 143.42平米 | 南 北 | 简装 | 中楼层(共31层)  | 塔楼,0人关注 / 24天以前发布,150,"10,459元/平"
4房2厅2卫好楼层 朝南 采光很好 房东诚心卖 毛坏房,国兴南方花园 -泰和县,4室2厅 | 137.1平米 | 南 东 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 30天以前发布,62.5,"4,559元/平"
复式楼，毛坯房，按自己喜好装修,欧洲城 -永新县,6室3厅 | 141.95平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 29天以前发布,115,"8,102元/平"
精装四房，坐北朝南，满五唯一。,阳明公馆 -吉州区,4室2厅 | 128.7平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 28天以前发布,125,"9,713元/平"
汇丰御园，精装三房，户型方正，楼层好，拎包入住,汇丰御园 -吉州区,3室2厅 | 101.93平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,80,"7,849元/平"
凯旋翰林府新出三房，产证在手，视野很好,凯旋翰林府 -吉州区,3室2厅 | 103平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 20天以前发布,113.8,"11,049元/平"
达观学府四房，毛坯房，满5唯一,达观学府 -吉州区,4室2厅 | 126.6平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,109.7,"8,666元/平"
上江界大三房，带车位，户型方正，产证满两年,上江界 -青原区,4室2厅 | 128.48平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 26天以前发布,100,"7,784元/平"
颐景园小区位于龙泉公园旁居家生活十分方便房子,龙泉颐景苑 -遂川县,2室1厅 | 95.16平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 20天以前发布,61.8,"6,495元/平"
毛坯三房，楼层好，人车分流，城北配套,禾水滨江壹号 -永新县,3室2厅 | 118.64平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,69,"5,816元/平"
此房一楼带车库和柴间，也可装修成复式楼,金鸡湖住宅小区 -吉安县,3室2厅 | 129平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,82,"6,357元/平"
达观学府新出三房业主工作调动诚心出售,达观学府 -吉州区,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 21天以前发布,119,"10,085元/平"
环境好 视野开阔 小区绿化好，安保24小时服务，,泽盛中心城 -泰和县,3室2厅 | 107平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 28天以前发布,83,"7,758元/平"
地理位置好，出入方便.有金鑫未来港,理想城北区 -青原区,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 25天以前发布,78,"6,783元/平"
凤凰城精装3房.小区环境优美，配套齐全,吉水滨江凤凰城 -吉水县,3室2厅 | 122.22平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 19天以前发布,116,"9,492元/平"
恒大帝景，两房带全友家具家电，拎包入住,恒大帝景 -吉州区,2室2厅 | 93.8平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 24天以前发布,82,"8,743元/平"
泰和富瑞花园二期，房东常年在外地发展，诚心出售。,富瑞花园二期 -泰和县,3室2厅 | 129.59平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 21天以前发布,92,"7,100元/平"
恒大帝景：高瑞小区小三房房坐北朝南，采光好楼距70米,恒大帝景 -吉州区,3室2厅 | 99.8平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 20天以前发布,99,"9,920元/平"
恒大帝景，阳台大的小三房，满两年，小区环境好,恒大帝景 -吉州区,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 29天以前发布,100,"9,434元/平"
泽盛四房两厅东边户，采光通风很不错，视野也好,泽盛中心城二期A区 -泰和县,4室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 29天以前发布,92,"7,420元/平"
新小区环境好，此房可步行，适合老人居住,东山中央城 -吉水县,3室2厅 | 109平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 20天以前发布,78,"7,156元/平"
房子是复式的 带大露台 ，户型方正，采光好还带个车位,城建花苑 -吉州区,3室2厅 | 127.84平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 22天以前发布,126,"9,857元/平"
城北的房子三开间朝南的房子通风畅流的,滨江盛景 -永新县,3室2厅 | 112.3平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 27天以前发布,89.9,"8,006元/平"
精致3房，户型方正，好楼层采光充足。,恒盛花园·江尚 -吉州区,3室2厅 | 131.74平米 | 南 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 29天以前发布,92,"6,984元/平"
单价才6K多的房子，满两年，业主诚心出售,上江界 -青原区,3室2厅 | 108.6平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 31天以前发布,76,"6,999元/平"
新城区装修好的房子，楼层很好，户型很好，采光很好。,金田鑫城 -永丰县,3室2厅 | 104.57平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 26天以前发布,93,"8,894元/平"
精装修未入住，高品质物业，绿化好，人车分流,新力帝泊湾 -吉州区,3室2厅 | 130.65平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 25天以前发布,120,"9,185元/平"
新小区 配套齐全 采光好  户型优美,东山金色海岸 -吉水县,4室3厅 | 117.8平米 | 南 | 毛坯 | 高楼层(共8层)  | 板楼,0人关注 / 25天以前发布,75,"6,367元/平"
城南板块，市政边上，小区优质。。。。,恒大帝景 -吉州区,3室2厅 | 126.97平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 24天以前发布,121,"9,530元/平"
户型方正，南北朝向，中间楼层视野宽阔，采光充足..,恒源泰荣诚 -吉州区,3室2厅 | 112平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 18天以前发布,130,"11,608元/平"
井岗山大道百货公司宿舍2房2厅有个大平台,井冈山大道181号 -吉州区,2室2厅 | 94.57平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 27天以前发布,70,"7,402元/平"
新小区绿化好，环境舒适，人人向往的天然氧吧,吉水滨江凤凰城 -吉水县,4室2厅 | 136.53平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 暂无数据,0人关注 / 18天以前发布,104,"7,618元/平"
理想城 带车位 大三房 南北通透双阳台 前后无遮挡,理想城南区 -青原区,3室2厅 | 140.66平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 塔楼,0人关注 / 25天以前发布,85,"6,043元/平"
