标题,开发商,房子信息,发布信息,售价/万,单价
西咸新区秦创园低密度墅区叠拼诚意出售,阳光城壹号蔷薇溪谷 -秦都区,3室1厅 | 167.75平米 | 南 | 精装 | 上叠(共4层)  | 板楼 | 叠拼别墅 ,0人关注 / 6天以前发布,350,"20,865元/平"
南北通透2居室，满二临地铁 一梯两户小高层,怡水花园 -秦都区,2室2厅 | 82.27平米 | 南 北 | 简装 | 中楼层(共15层)  | 板楼,0人关注 / 5天以前发布,93,"11,305元/平"
此房产证满二，格局，楼层好，视野宽阔，采光好,国润城 -秦都区,3室1厅 | 103.41平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 8个月以前发布,175,"16,923元/平"
思源北路多层中间楼层三室房子业主急售,咸阳陶瓷研究设计院生活区 -秦都区,3室1厅 | 77.75平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,55,"7,074元/平"
世纪大道中段  南北通透大三居,帝都温泉花园 -秦都区,3室2厅 | 134.06平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,91人关注 / 一年前发布,80,"5,968元/平"
业主诚意出售，采光好，两室，地铁口，交通便利,紫气东来 -秦都区,2室2厅 | 88.37平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,6人关注 / 8个月以前发布,100,"11,317元/平"
林湖苑精装修优质好房源，业主实心出售,林湖苑 -秦都区,2室2厅 | 115.52平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,10人关注 / 9个月以前发布,140,"12,120元/平"
文汇路民院十字【华星小区】两室，双气到位停车方便,华星小区 -渭城区,2室2厅 | 72.64平米 | 北 | 简装 | 高楼层(共7层)  | 暂无数据,40人关注 / 一年前发布,37.8,"5,204元/平"
西咸大道 安谷苑小区 三室出售,安谷苑小区 -秦都区,3室2厅 | 118.11平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,17人关注 / 一年前发布,88,"7,451元/平"
力高御景湾简装3室2厅1厨2卫  业主急售,力高御景湾 -秦都区,3室2厅 | 110.95平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,12人关注 / 8个月以前发布,103,"9,284元/平"
低密度小区，绿化好，南北通透，双地铁,奥林匹克花园一期 -秦都区,2室2厅 | 82.15平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,4人关注 / 9个月以前发布,109,"13,269元/平"
巴塞精装2室，满二。诚心出售随时可看！,阳光城壹号巴塞阳光 -秦都区,2室2厅 | 93.36平米 | 南 西 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 5个月以前发布,144,"15,425元/平"
双地铁口、毛坯三室、南北通透户型，楼中位置,阳光城壹号巴塞阳光 -秦都区,3室2厅 | 141.8平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,6人关注 / 一年前发布,240,"16,926元/平"
此房，南北通透，户型方正，视野宽阔，采光充足,安谷苑小区 -秦都区,2室2厅 | 88.88平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,70,"7,876元/平"
满二房源无增值税，小高层，中高楼层，南北通透，,同德晨曦园 -秦都区,3室2厅 | 128.7平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,16人关注 / 11个月以前发布,145,"11,267元/平"
两室湖景房，南北双阳台，邻渭水河畔，环境优美,怡水花园 -秦都区,2室2厅 | 101.96平米 | 南 北 | 简装 | 低楼层(共31层)  | 板塔结合,1人关注 / 5个月以前发布,120,"11,770元/平"
中式园林，恒大物业，小区安静。楼层好。。。。,恒大帝景 -秦都区,3室2厅 | 118平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,130,"11,017元/平"
房子精装修，没有增值税，视野开阔，采光充足,奥林匹克花园一期 -秦都区,2室2厅 | 85.25平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,9人关注 / 10个月以前发布,115,"13,490元/平"
房子全明户型，精装修，业主自己住，保持的很好。,咸阳市秦都分局住宅楼 -秦都区,2室2厅 | 103.72平米 | 东 南 | 简装 | 低楼层(共29层)  | 板塔结合,9人关注 / 一年前发布,92,"8,871元/平"
缘，妙不可言 南北朝向两居 刚需客户不容错过，点我！,阳光城沣太花园 -秦都区,2室1厅 | 92.43平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,46人关注 / 一年前发布,104,"11,252元/平"
地铁口，南北户型，地铁口，精装三室，无大税,华府御园 -秦都区,3室2厅 | 133.75平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,126,"9,421元/平"
文林路三丰四季阳光 电梯三室精装未入住 带地下室,三丰四季阳光 -渭城区,3室2厅 | 121.2平米 | 南 北 | 精装 | 中楼层(共11层)  | 平房,1人关注 / 6个月以前发布,104,"8,581元/平"
毛坯大三室 中间楼层 户型全明 格局好,华泰世纪华苑 -秦都区,3室2厅 | 119.17平米 | 北 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,3人关注 / 一年前发布,122,"10,238元/平"
世纪大道奥林匹克花园四期纯南两室！,奥林匹克花园四期伦敦奥运村 -秦都区,2室2厅 | 79.96平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,13人关注 / 8个月以前发布,97,"12,132元/平"
农业家属院，经典三室南北通透，业主诚售，价钱可谈,中国农业银行咸阳分行花园小区 -秦都区,3室2厅 | 116.89平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,66,"5,647元/平"
房子精装修，领包入住，小区配套齐全，交通便利,奥林匹克花园四期伦敦奥运村 -秦都区,3室1厅 | 83.87平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,2人关注 / 5个月以前发布,120,"14,308元/平"
洋房小区，居住人的素质都比较高，人车分流,阳光城壹号蔷薇溪谷 -秦都区,3室2厅 | 145.3平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,260,"17,895元/平"
房子采光无遮挡，纯南户，经典户型,亿龙金河湾 -秦都区,2室2厅 | 90.01平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,13人关注 / 一年前发布,105,"11,666元/平"
美域西湖  湖景三室  毛坯房,美域熙湖 -秦都区,3室2厅 | 106.66平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,3人关注 / 4个月以前发布,140,"13,126元/平"
此房满五年，产证在手，无抵押，中间楼层,华府御园 -秦都区,3室1厅 | 114.84平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,5人关注 / 9个月以前发布,120,"10,450元/平"
此房满五，房屋南北通透采光充足，视野宽阔交通便利,留园公司惠民小区壹号院 -秦都区,3室2厅 | 99.07平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,21人关注 / 一年前发布,45,"4,543元/平"
一梯两户刷卡入户陈阳寨精装三室楼栋位置好，随时看房,华宇蓝郡小区 -秦都区,3室2厅 | 133.32平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 6个月以前发布,142,"10,652元/平"
户型方正  低楼层  适合老人居住 孩子陪读,玉泉小区兴秦新村 -秦都区,2室2厅 | 82.02平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,49,"5,975元/平"
业主诚意出售 南北大3室，满两年无大税,秦宝小区西区北院 -秦都区,3室2厅 | 117.55平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,70,"5,955元/平"
西咸新区  世纪大道 新新佳园   满五唯一  可按揭急急,新新佳园 -秦都区,2室2厅 | 90.36平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,96,"10,625元/平"
临湖小区 交通便利 中间楼层 业主诚心卖。,秦宝小区东区 -秦都区,3室2厅 | 98.92平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,14人关注 / 8个月以前发布,63,"6,369元/平"
西咸沣东 奥林匹克花园 两室 南北通透 满二,奥林匹克花园一期 -秦都区,2室2厅 | 82.15平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,115,"13,999元/平"
装修不错【中华小区】实用行住宅,中华小区 -秦都区,4室2厅 | 124.79平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,118,"9,456元/平"
陈阳寨地铁沿线 临湖房 双峰锦湖 产证在手,双峰锦湖 -秦都区,2室2厅 | 81.97平米 | 东南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,97,"11,834元/平"
【枫景苑】配套齐全，三室全明户型，封闭是小区有游乐,枫景苑 -秦都区,3室2厅 | 117.83平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,47人关注 / 一年前发布,89,"7,554元/平"
业主精装保持的比较好，配套齐全.户型南北通透,枫景苑 -秦都区,3室2厅 | 142.39平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,43人关注 / 9个月以前发布,102,"7,164元/平"
奥园精装修.顶跃3室.业主诚心出售.看房提前联系,奥林匹克花园一期 -秦都区,3室2厅 | 174.96平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,19人关注 / 一年前发布,180,"10,289元/平"
能源金茂区经典三室业主诚心出售,阳光城壹号官邸 -秦都区,3室2厅 | 94.75平米 | 南 北 | 简装 | 低楼层(共33层)  | 板塔结合,3人关注 / 4个月以前发布,158,"16,676元/平"
经典两室格局，户型方正，业主诚心出售,聆水居 -秦都区,2室1厅 | 80.88平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,3人关注 / 7个月以前发布,99.5,"12,303元/平"
西咸新区奥林匹克花园精装三室全配出售,奥林匹克花园三期北京奥运村 -秦都区,3室2厅 | 117.22平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,158,"13,479元/平"
世界500强阳光城集团开发阳光城物业别墅高层诚心出售,阳光城壹号巴塞阳光 -秦都区,4室2厅 | 148.23平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,9人关注 / 一年前发布,245,"16,529元/平"
亿龙 大三室 南北通透 楼层好 采光好,亿龙金河湾 -秦都区,3室2厅 | 125.54平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,2人关注 / 8个月以前发布,158,"12,586元/平"
：高铁站 新装未住 家电家具全带 公摊小 好停车,壹品峰境 -秦都区,3室2厅 | 125.06平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,15人关注 / 一年前发布,116,"9,276元/平"
西咸沣东新城，出则繁华入则宁静奥园两室，,奥林匹克花园一期 -秦都区,2室2厅 | 75.63平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,100,"13,223元/平"
国润城两室毛坯采光充足上学方便,国润城 -秦都区,2室2厅 | 79.65平米 | 西南 | 毛坯 | 中楼层(共34层)  | 板塔结合,1人关注 / 7个月以前发布,118,"14,815元/平"
视野开阔 户型布局好 地铁口 小区绿化好，人车分流,宇宏健康花城西区 -秦都区,5室2厅 | 162.82平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,1人关注 / 2个月以前发布,205,"12,591元/平"
文林路两室南北户型  三丰四季阳光小区,三丰四季阳光 -渭城区,2室2厅 | 88.43平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,65,"7,351元/平"
出行方便 往南500米就是咸阳湖 小区门口就是菜市场,先河国际公馆 -渭城区,2室2厅 | 91.06平米 | 东南 | 简装 | 中楼层(共33层)  | 板塔结合,13人关注 / 一年前发布,88.5,"9,719元/平"
中华小区 大四室 素质生活区 交通便利,中华小区 -秦都区,4室2厅 | 124.2平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,96,"7,730元/平"
精装修电梯房中间楼层 全屋壁纸 业主人好满五唯一,新新佳园 -秦都区,2室2厅 | 64.53平米 | 东 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,24人关注 / 一年前发布,76.8,"11,902元/平"
东尚小镇两室房产证在手满二随时可看房诚心出售装修好,东尚小镇 -渭城区,2室2厅 | 107.82平米 | 南 | 简装 | 高楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,91,"8,440元/平"
房子实际使用面积大，配套齐全，交通便利,中铁二十局集团咸阳基地 -渭城区,3室2厅 | 67.85平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,3人关注 / 6个月以前发布,48,"7,075元/平"
望塬小区，交通便利，环境优雅，全封闭小区,望塬小区 -渭城区,3室2厅 | 123.86平米 | 西南 | 毛坯 | 高楼层(共26层)  | 塔楼,11人关注 / 8个月以前发布,84,"6,782元/平"
文汇东路华星小区温馨小两室，业主诚售！,华星小区 -渭城区,2室1厅 | 39.62平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,3人关注 / 6个月以前发布,24,"6,058元/平"
文林路三丰四季阳光 电梯三室精装未入住 带地下室,三丰四季阳光 -渭城区,3室2厅 | 121.2平米 | 南 北 | 精装 | 中楼层(共11层)  | 平房,1人关注 / 6个月以前发布,104,"8,581元/平"
西咸沣东 奥林匹克花园 两室 南北通透 满二,奥林匹克花园一期 -秦都区,2室2厅 | 82.15平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,115,"13,999元/平"
先河国际东区，地铁口，经典三室，诚心出售。,先河国际社区东区 -秦都区,3室1厅 | 131.61平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,131.9,"10,023元/平"
世纪大道地铁口经典两室好房，公摊小 入住舒适,摩登3米阳光 -秦都区,2室2厅 | 74.98平米 | 东 北 | 简装 | 中楼层(共16层)  | 板塔结合,1人关注 / 一年前发布,102,"13,604元/平"
沣西新城，世纪大道沿线海泉湾大三室，价格合适！,华宇碧水茗居 -秦都区,3室1厅 | 130.24平米 | 东 西 | 简装 | 中楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,110,"8,446元/平"
业主诚心出售，彩虹老区单价pianyi的,彩虹老区 -秦都区,2室1厅 | 59.85平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,38,"6,350元/平"
房子是毛坯的两室，户型好，通风好，采光好,荣城西苑 -秦都区,2室1厅 | 86.85平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,1人关注 / 3个月以前发布,74.5,"8,579元/平"
咸阳高新区精装修大三室，交通便利，可做婚房。,力高御景湾 -秦都区,3室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,128,"10,323元/平"
急售 准地铁口 彩虹二路 户型方正 简装二室 采光很好,长虹小区 -秦都区,2室2厅 | 97.09平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,23人关注 / 一年前发布,65,"6,695元/平"
地铁口精装房两室，先河国际东区，中间楼层小高层。,先河国际社区东区 -秦都区,2室2厅 | 92.19平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,101.9,"11,054元/平"
纯南户型 楼层好 采光好 视野宽阔  业主好说话,新新佳园 -秦都区,2室1厅 | 90.36平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 6个月以前发布,117,"12,949元/平"
咸阳西高新。精装小三室，中间楼层采光无遮挡,力高御景湾 -秦都区,3室1厅 | 88.81平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,4人关注 / 5个月以前发布,88,"9,909元/平"
泾润花园 3室2厅 南,泾润花园 -泾阳县,3室2厅 | 124.38平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,88,"7,076元/平"
世纪大道3室急售，随时可看，价位可谈,摩登3米阳光 -秦都区,3室2厅 | 84.9平米 | 南 | 简装 | 高楼层(共16层)  | 板塔结合,0人关注 / 2个月以前发布,93,"10,955元/平"
玉泉西路 大型社区  华泰世纪华苑 两室出售,华泰世纪华苑 -秦都区,2室2厅 | 99.08平米 | 南 | 简装 | 低楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,98,"9,891元/平"
渭城区金旭路滨河小区，位于渭河湿地公园，,滨河小区(渭城区) -渭城区,3室2厅 | 121平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,71,"5,868元/平"
咸阳市征稽处家属院 2室1厅 南 北,咸阳市征稽处家属院 -秦都区,2室1厅 | 61平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,57,"9,345元/平"
视野开阔，采光好，交通便利，地铁口,世纪锦城 -秦都区,2室1厅 | 76.41平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,8人关注 / 8个月以前发布,90,"11,779元/平"
奥园4.2期，满二 楼位好 无遮挡,奥林匹克花园四期伦敦奥运村 -秦都区,3室1厅 | 104.62平米 | 南 北 | 简装 | 低楼层(共23层)  | 板塔结合,2人关注 / 5个月以前发布,141,"13,478元/平"
小区 位于二号桥十字，房子满两年采光好 边配套齐全,古渡花园小区 -渭城区,2室2厅 | 90.05平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,60,"6,663元/平"
水电十五局 南北通透 采光好 临渭柳湿地公园,水电十五局小区 -渭城区,2室1厅 | 54.59平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,39,"7,145元/平"
地铁1号线北槐地铁口精装大三室,世纪锦城 -秦都区,3室1厅 | 141.19平米 | 南 北 | 简装 | 低楼层(共27层)  | 板塔结合,1人关注 / 8个月以前发布,160,"11,333元/平"
户型方正，精装修，环境优美 ，小区成熟。,奥林匹克花园四期伦敦奥运村 -秦都区,3室2厅 | 109.81平米 | 南 北 | 精装 | 低楼层(共20层)  | 板塔结合,19人关注 / 一年前发布,158,"14,389元/平"
奥园四期精装两室 双地铁成熟社区配套齐全,奥林匹克花园四期伦敦奥运村 -秦都区,2室1厅 | 79.73平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,8人关注 / 5个月以前发布,120,"15,051元/平"
此房采光好，楼层好，格局好，三室两卫。。。,紫韵东城 -渭城区,3室2厅 | 122.22平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,33人关注 / 一年前发布,85,"6,955元/平"
房子业主诚心出售，精装修，满二无大税,文锦新城 -渭城区,3室2厅 | 134.34平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,17人关注 / 4个月以前发布,122,"9,082元/平"
渭河湿地公园旁，咸阳化纤金旭小区,陕西化纤金旭小区 -渭城区,2室1厅 | 56.6平米 | 南 北 | 简装 | 中楼层(共5层)  | 平房,19人关注 / 一年前发布,32,"5,654元/平"
房子小区环境好，安静，有小花园，有停车场,文林小区 -渭城区,3室2厅 | 117.24平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,16人关注 / 10个月以前发布,75.6,"6,449元/平"
此房已满二，房子1-2楼为商铺，3层带大平台，房子通透,双兴商厦 -渭城区,2室1厅 | 110.91平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,8人关注 / 8个月以前发布,51,"4,599元/平"
3-1-1-2 130.84m²,博尚嘉苑 -渭城区,3室1厅 | 130.84平米 | 北 | 精装 | 低楼层(共7层)  | 板塔结合,103人关注 / 一年前发布,82,"6,268元/平"
业主急售，户型方正，价位低，采光充足。,福林海棠苑 -渭城区,3室2厅 | 119.24平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,3人关注 / 4个月以前发布,103,"8,639元/平"
户型方正采光好三室朝南双阳台好楼层离地铁口近急售,汇丰花园小区 -渭城区,3室2厅 | 129平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,65人关注 / 一年前发布,80.5,"6,241元/平"
西咸新区沣西新城世纪大道白马河路地铁站启迪英才旁,华宇碧水茗居 -秦都区,4室2厅 | 143.16平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,13人关注 / 一年前发布,135,"9,431元/平"
电梯房。中间楼层，视野宽阔，采光充足,西北国棉一厂西区 -渭城区,2室2厅 | 96.79平米 | 南 | 精装 | 中楼层(共22层)  | 暂无数据,0人关注 / 6个月以前发布,89.9,"9,289元/平"
咸阳湖边北门口精装小三居无浪费面积,双保凤凰城 -渭城区,3室2厅 | 105.63平米 | 南 | 简装 | 高楼层(共26层)  | 塔楼,17人关注 / 一年前发布,99,"9,373元/平"
满二无大税，看房方便，业主诚心。,抗战路住宅小区 -渭城区,3室2厅 | 123.05平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,88,"7,152元/平"
人民路东段  户型方正  采光明亮  配套齐全  业主急售,鼎城花园 -渭城区,3室2厅 | 122.89平米 | 东南 南 | 简装 | 高楼层(共17层)  | 板塔结合,3人关注 / 6个月以前发布,120,"9,765元/平"
东风路，亨星锦绣城大俩室，户型方正明亮,亨星锦绣城 -渭城区,2室2厅 | 99.93平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,2人关注 / 5个月以前发布,97,"9,707元/平"
清泰澜花语岸精装修三室带露台 业主诚心出售 配套齐全,清泰澜花语岸 -渭城区,3室1厅 | 98.04平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,17人关注 / 6个月以前发布,66,"6,732元/平"
房子满二   经典户型设计，业主急售,亨星锦绣城 -渭城区,3室2厅 | 115.07平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,26人关注 / 一年前发布,101.5,"8,821元/平"
能源经贸区，高品质小区，环境舒适，刚需两室,阳光城西西里 -秦都区,2室2厅 | 78.61平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,3人关注 / 5个月以前发布,119,"15,139元/平"
秦都区宝泉路大型社区中宏星苑精装房,中宏星苑 -秦都区,3室2厅 | 105平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,16人关注 / 一年前发布,95,"9,048元/平"
秦都区中华西路秦宝社区全明两室户型方正,秦宝小区东区 -秦都区,2室1厅 | 82.3平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,56,"6,805元/平"
奥林匹克花园 小区中间位置 业主诚心出售 双地铁,奥林匹克花园二期巴塞罗那奥运村 -秦都区,2室2厅 | 85.66平米 | 南 北 | 精装 | 中楼层(共15层)  | 板塔结合,5人关注 / 一年前发布,140,"16,344元/平"
稀有户型， 双向大阳台，高品质装修，高私密性。,国润城 -秦都区,3室1厅 | 133.03平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,159人关注 / 9个月以前发布,215,"16,162元/平"
奥林匹克花园2T9户LOFT户型，中间楼层，采光好，满二,奥林匹克花园三期北京奥运村 -秦都区,2室1厅 | 47.23平米 | 南 | 简装 | 高楼层(共20层)  | 板塔结合,4人关注 / 8个月以前发布,76,"16,092元/平"
世纪大道优质小两室，业主诚心出售,摩登3米阳光 -秦都区,2室1厅 | 74.91平米 | 西北 | 其他 | 高楼层(共16层)  | 板塔结合,0人关注 / 5个月以前发布,88,"11,748元/平"
地段好，诚心卖，我是维护人，有钥匙,中宏星苑 -秦都区,3室2厅 | 108.36平米 | 南 北 | 简装 | 中楼层(共28层)  | 塔楼,4人关注 / 5个月以前发布,93,"8,583元/平"
奥园经典四居室，南北通透，全明户型，小高层，公摊小,奥林匹克花园二期巴塞罗那奥运村 -秦都区,4室2厅 | 150.72平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,37人关注 / 一年前发布,188,"12,474元/平"
世纪大道人人乐旁两室带装修有证满五可按揭,锦秀苑小区B区 -秦都区,2室2厅 | 90.06平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,41人关注 / 一年前发布,64,"7,107元/平"
能源金茂区一楼带花园  优质房源出售,奥林匹克花园二期巴塞罗那奥运村 -秦都区,3室2厅 | 138.45平米 | 南 北 | 精装 | 低楼层(共9层)  | 板塔结合,16人关注 / 一年前发布,172.5,"12,460元/平"
华宇蓝郡西区，经典3室，业主诚心出售,华宇蓝郡西区 -秦都区,3室2厅 | 116.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,24人关注 / 一年前发布,97,"8,327元/平"
双渔湾三室好房，业主诚心出售......,双鱼湾 -秦都区,3室2厅 | 132.42平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,118.6,"8,957元/平"
精装大两室，业主诚心出售，舒适居住,阳光城西西里 -秦都区,2室1厅 | 98.68平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 5个月以前发布,195,"19,761元/平"
咸阳湖边 业主诚信出售  中间楼层,荣华小区 -秦都区,2室2厅 | 92.56平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,85,"9,184元/平"
此小区在咸阳西高新区，交通发达,西橡总厂住宅楼 -秦都区,2室1厅 | 60.94平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 7个月以前发布,33,"5,416元/平"
渭滨苑 精装  满二  业主诚心出售,渭滨苑 -秦都区,4室2厅 | 161.75平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2人关注 / 7个月以前发布,275,"17,002元/平"
此房满五 七厂十字地段好  交通便利 生活配套完善,道路运输管理所小区 -秦都区,3室1厅 | 63.57平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,5人关注 / 8个月以前发布,49,"7,709元/平"
精装两室  临西宝高速西出口   两寺渡公园   采光好,藤麟居 -秦都区,2室2厅 | 94.16平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,0人关注 / 4个月以前发布,87,"9,240元/平"
地铁口毛坯大三室，河景房，沣河森林公园旁。,沣渭怡心岛 -秦都区,3室2厅 | 131.73平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,140,"10,628元/平"
西咸新区  沣东新城  优质2室 出售,阳光城沣太花园 -秦都区,2室2厅 | 81.73平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,101,"12,358元/平"
西咸新区沣东能源金贸区高品质住宅,国润城 -秦都区,2室2厅 | 88.95平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 8个月以前发布,148,"16,639元/平"
精装修，楼层好，业主诚心出售。,金方圆嘉润公馆 -秦都区,3室2厅 | 126.54平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,142,"11,222元/平"
世纪大道 奥林匹克花园 复式 精装两居 南北朝向,奥林匹克花园三期北京奥运村 -秦都区,2室2厅 | 47.23平米 | 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,16人关注 / 一年前发布,90,"19,056元/平"
户型方正，楼间距大，无遮挡，采光好,秦宝小区东区 -秦都区,3室2厅 | 97.85平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,51人关注 / 一年前发布,58,"5,928元/平"
此房满五无大税.一楼带花园小区环境好,奥林匹克花园二期巴塞罗那奥运村 -秦都区,3室2厅 | 137.27平米 | 北 南 | 简装 | 低楼层(共11层)  | 板塔结合,4人关注 / 6个月以前发布,169,"12,312元/平"
阳光城蔷薇溪谷 2楼花园洋房 户型方正,阳光城壹号蔷薇溪谷 -秦都区,3室2厅 | 145.26平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,10人关注 / 一年前发布,335,"23,063元/平"
能源金融贸易区  阳光城蔷薇溪谷 低密洋房社区,阳光城壹号蔷薇溪谷 -秦都区,3室2厅 | 145.69平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,266,"18,258元/平"
