标题,开发商,房子信息,发布信息,售价/万,单价
恒大名都 精三室 124平 南北向 看房方便,恒大名都 -银海区,3室2厅 | 124.28平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,5人关注 / 7个月以前发布,67,"5,392元/平"
看房方便，户型方正          采光好,东方之珠花园 -海城区,1室0厅 | 27.35平米 | 北 | 其他 | 中楼层(共19层)  | 板塔结合,3人关注 / 一年前发布,17.7,"6,472元/平"
金癸领海郡 3室2厅 南 北,金癸领海郡 -银海区,3室2厅 | 89.75平米 | 南 北 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 一年前发布,55,"6,129元/平"
小区绿化好、物业费低、房子满五年,怡康花园 -海城区,1室0厅 | 40.9平米 | 北 | 简装 | 高楼层(共18层)  | 板塔结合,19人关注 / 一年前发布,16.5,"4,035元/平"
碧雅苑一房，配套齐，户型好，宜居养老。,碧雅苑 -银海区,1室1厅 | 46.92平米 | 西南 | 其他 | 低楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,17,"3,624元/平"
此房户型方正，通风采光好，生活配套齐全,蓝色海岸国际家园 -银海区,2室2厅 | 89.46平米 | 南 北 | 简装 | 高楼层(共7层)  | 平房,40人关注 / 一年前发布,27.5,"3,074元/平"
新大润发旁精装两房，看海而不近海，朝南大阳台。,江苏泰城 -银海区,2室2厅 | 69.71平米 | 东南 | 精装 | 高楼层(共27层)  | 板塔结合,5人关注 / 一年前发布,35.5,"5,093元/平"
银滩西区，冠头岭，第九湾，大单间，70年产权未入住,第九湾蓝山上湾 -银海区,1室0厅 | 53.72平米 | 南 | 简装 | 中楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,29.5,"5,492元/平"
金滩商圈 春天海景 大单间 拎包入住 近海近公园,春天海景 -海城区,1室0厅 | 38.96平米 | 北 | 其他 | 低楼层(共24层)  | 板塔结合,8人关注 / 一年前发布,20,"5,134元/平"
出售北部湾广场旁边天赐碧园两房。,越亚天赐碧园 -海城区,2室2厅 | 81.52平米 | 东北 | 简装 | 低楼层(共31层)  | 板塔结合,6人关注 / 8个月以前发布,34.5,"4,233元/平"
房子是朝南的一房，位置好，视野好,第五街一期 -海城区,1室0厅 | 41.98平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,5人关注 / 一年前发布,21,"5,003元/平"
银州花园 银滩大道旁 万达商圈 生活便利 配套齐全,银州花园 -银海区,2室2厅 | 87.24平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,3人关注 / 一年前发布,36.5,"4,184元/平"
此房户型方正，干净舒适，交通便利，配套齐全,金宝小区 -海城区,2室2厅 | 70.84平米 | 东 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,30.6,"4,320元/平"
新大润发商场  一房  市场配套成熟 交通方便,丽水南珠 -银海区,1室0厅 | 37.98平米 | 东北 | 其他 | 中楼层(共13层)  | 板塔结合,0人关注 / 一年前发布,19.9,"5,240元/平"
北部湾广场，老街，步梯大2房，无抵押，随时交易过户,金海湾 -海城区,2室1厅 | 81.21平米 | 南 北 | 其他 | 中楼层(共5层)  | 塔楼,2人关注 / 一年前发布,35.8,"4,409元/平"
高德古镇 电梯高层 正规大两房 南北通透 采光好,安盛花园 -海城区,2室2厅 | 91.55平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,4人关注 / 8个月以前发布,34,"3,714元/平"
银滩度假区里别墅区 1房 户型方正 采光好,海泰别墅区 -银海区,1室1厅 | 58.19平米 | 东南 | 简装 | 低楼层(共8层)  | 板塔结合,0人关注 / 一年前发布,33.8,"5,809元/平"
彰泰观江海 2房 低楼层 户型方正 满二唯一,彰泰观江海 -银海区,2室1厅 | 62.14平米 | 南 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 8个月以前发布,57.5,"9,254元/平"
万达吾悦商圈 高档全新小区 正规两房经典格局,紫薇.英伦小镇 -银海区,2室1厅 | 75.92平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,2人关注 / 7个月以前发布,53,"6,982元/平"
精装修，楼层好，采光充足，交通便利，拎包入住,大都·金沙湾 -银海区,2室2厅 | 88.99平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 9个月以前发布,66,"7,417元/平"
观海一品，两室一厅，电梯中层！,观海一品 -海城区,2室1厅 | 58.57平米 | 东南 | 精装 | 高楼层(共11层)  | 板塔结合,23人关注 / 一年前发布,28,"4,781元/平"
高铁站 和安宁春城 大润发 桐洋新城朝南大两房急售,桐洋新城 -海城区,2室2厅 | 88.65平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,39,"4,400元/平"
火车站旁万汇广场，过冬养老一房,万汇广场 -海城区,1室1厅 | 50.18平米 | 北 | 简装 | 低楼层(共29层)  | 板塔结合,3人关注 / 一年前发布,32,"6,378元/平"
金滩商圈北部湾东路 春天海景 两房两厅 家具家电全,春天海景 -海城区,4室4厅 | 169.27平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼,2人关注 / 1个月以前发布,82,"4,845元/平"
新大润发 小区位置旁边贵兴市场 交通便利  配套齐全,佳宇兰庭 -银海区,2室2厅 | 78.49平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,34,"4,332元/平"
高铁站旁，宁春城商圈，交通便利 生活配套齐全,国际新城 -海城区,1室2厅 | 62平米 | 北 | 其他 | 中楼层(共21层)  | 板塔结合,1人关注 / 一年前发布,36,"5,807元/平"
海湾茗园高层精装大两房拎包入住,海湾茗园 -银海区,3室2厅 | 117.17平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,7人关注 / 一年前发布,61.5,"5,249元/平"
采光好，视野好，31楼万达商圈，吾悦商圈。,越亚天赐良园 -银海区,2室1厅 | 50.26平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,1人关注 / 7个月以前发布,44.5,"8,854元/平"
嘉盛名都正规两室，户型方正，双阳台,嘉盛名都 -银海区,2室2厅 | 81平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,52,"6,420元/平"
金滩商圈北部湾东路 春天海景 两房两厅 家具家电全,春天海景 -海城区,4室4厅 | 169.27平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼,2人关注 / 1个月以前发布,82,"4,845元/平"
高铁站旁，宁春城商圈，交通便利 生活配套齐全,国际新城 -海城区,1室2厅 | 62平米 | 北 | 其他 | 中楼层(共21层)  | 板塔结合,1人关注 / 一年前发布,36,"5,807元/平"
新大润发 小区位置旁边贵兴市场 交通便利  配套齐全,佳宇兰庭 -银海区,2室2厅 | 78.49平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,34,"4,332元/平"
高品质园林小区恒大名都两房出售,恒大名都 -银海区,2室2厅 | 59.87平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,7人关注 / 一年前发布,42.6,"7,116元/平"
通风效果佳，通风效果好，拎包入住，配套齐全，位置好,同和水岸香堤 -银海区,2室2厅 | 88.06平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,46.9,"5,326元/平"
金滩  毛坯大两房  业主吉售,星海名城二期 -海城区,2室2厅 | 87.81平米 | 西北 | 其他 | 高楼层(共26层)  | 板塔结合,1人关注 / 5个月以前发布,45,"5,125元/平"
满五唯一无个税、近万达广场、吾悦广场 桥港风情街,万泉城一区 -银海区,2室2厅 | 76.65平米 | 东南 | 简装 | 高楼层(共30层)  | 板塔结合,5人关注 / 一年前发布,41,"5,349元/平"
侨港风情街 在海一方毛坯大三房 海景房视野无遮挡急售,在海一方 -银海区,3室2厅 | 132.18平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,10人关注 / 一年前发布,52,"3,935元/平"
银海区大型优美园林式高绿化小区南北通透大两房,同和水岸香堤 -银海区,2室1厅 | 87.73平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 10个月以前发布,49.8,"5,677元/平"
龙云大厦1房，户型方正.采光充足，成熟小区,龙云大厦 -海城区,1室1厅 | 42.85平米 | 东南 西北 | 其他 | 中楼层(共23层)  | 板塔结合,2人关注 / 6个月以前发布,14.7,"3,431元/平"
壹海江山双拼精装大户型，一线海景房急售！,壹海江山 -银海区,3室1厅 | 75平米 | 南 | 其他 | 33层  | 板楼,14人关注 / 一年前发布,103,"13,734元/平"
此房满五唯一，户型好，朝南中层，离海近，配套齐全,海辰国际公寓 -海城区,2室2厅 | 79.04平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,1人关注 / 9个月以前发布,39.8,"5,036元/平"
银滩侨港板块 标准两居双阳台 电梯可看海,在海一方 -银海区,2室2厅 | 73.96平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,20人关注 / 一年前发布,31.8,"4,300元/平"
银滩西 看山看海 精致正规2房,第九湾蓝山上湾 -银海区,2室1厅 | 75.57平米 | 西南 | 精装 | 中楼层(共29层)  | 板塔结合,13人关注 / 一年前发布,38,"5,029元/平"
云南路火车桥南北通大两房，户型方正采光棒,晋海御园 -银海区,2室2厅 | 98.99平米 | 东 西 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,40.8,"4,122元/平"
高层海景房，精装房，拎包入住，可按揭,大都·金沙湾 -银海区,2室2厅 | 88.21平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,39人关注 / 一年前发布,57.8,"6,553元/平"
急售，嘉逸花园正规一房一厅价格便宜,嘉逸花园 -海城区,1室1厅 | 51.36平米 | 东 北 | 简装 | 中楼层(共7层)  | 板塔结合,6人关注 / 一年前发布,20.9,"4,070元/平"
廉州湾北岸金滩 阳光东海岸 1房急卖,阳光东海岸 -海城区,1室0厅 | 44.32平米 | 东 | 简装 | 中楼层(共21层)  | 板塔结合,4人关注 / 8个月以前发布,13.6,"3,069元/平"
房子是电梯高层，楼层好，采光充足，视野开阔,南国华城 -海城区,1室1厅 | 35.9平米 | 东 | 其他 | 低楼层(共19层)  | 塔楼,0人关注 / 5个月以前发布,16.8,"4,680元/平"
湿地公园，冯家江公园，万达吾悦商圈，,恒大名都 -银海区,2室2厅 | 81.59平米 | 西南 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 一年前发布,59.5,"7,293元/平"
禧悦湾小区，小区环境很好，户型很方正,禧悦湾 -银海区,2室2厅 | 68.88平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,3人关注 / 一年前发布,49,"7,114元/平"
银滩高档小区南北朝向看海大都金沙湾2室2房1厅1卫,大都·金沙湾 -银海区,2室2厅 | 74.57平米 | 南 北 | 其他 | 中楼层(共45层)  | 板塔结合,0人关注 / 一年前发布,50,"6,706元/平"
金滩商圈 户型方正  看房方便 满五唯一 近海边,春天海景 -海城区,2室2厅 | 85.65平米 | 南 | 其他 | 中楼层(共26层)  | 塔楼,6人关注 / 9个月以前发布,43.8,"5,114元/平"
金海岸大道与四川路，万泉城，户型方正，电梯房,万泉城一区 -银海区,2室2厅 | 90.48平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,62,"6,853元/平"
成熟社区 小区配置完善 城中城,兴海 -银海区,5室2厅 | 228.29平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,22人关注 / 一年前发布,124.3,"5,445元/平"
城东 2居 满五唯一 楼层好 拎包入住,东峰锦绣城 -海城区,2室2厅 | 85.93平米 | 西南 西 | 简装 | 高楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,33,"3,841元/平"
龙珠新村·E区 1室1厅 南,龙珠新村·E区 -银海区,1室1厅 | 50.02平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,20.5,"4,099元/平"
南北通透户型，阳光充足，交通方便。生活方便。,同和水岸香堤 -银海区,2室2厅 | 88.06平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,44,"4,997元/平"
北海大道精装朝南两房，楼层好，光线佳,东峰锦绣城 -海城区,2室2厅 | 87.72平米 | 南 | 简装 | 中楼层(共23层)  | 板塔结合,24人关注 / 一年前发布,32.7,"3,728元/平"
首付5万 别墅小区 楼层中层  户型方正 正规一室一厅,生活区 -海城区,1室1厅 | 48.1平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,25人关注 / 一年前发布,18.9,"3,930元/平"
北部湾广场与沃尔玛商圈 蓝钻华庭 精装大两房 满五,蓝钻华庭 -海城区,2室2厅 | 110.63平米 | 南 北 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 3个月以前发布,42.9,"3,878元/平"
嘉盛名都 2室2厅 南,嘉盛名都 -银海区,2室2厅 | 87.67平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 16天以前发布,53,"6,046元/平"
强远春天花园 1室0厅 北,强远春天花园 -海城区,1室0厅 | 40.94平米 | 北 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 17天以前发布,18,"4,397元/平"
电梯小高层朝南两房 无遮挡视野好,恒贵公寓 -海城区,2室2厅 | 78.4平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,2人关注 / 一年前发布,38.4,"4,898元/平"
嘉和冠山海大阳台两房海景效果好,嘉和冠山海 -海城区,2室2厅 | 81.67平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,10人关注 / 一年前发布,70,"8,572元/平"
满五唯一，正规两房，家具齐全，装修干净,东峰锦绣城 -海城区,2室2厅 | 82.51平米 | 西南 | 简装 | 高楼层(共26层)  | 板塔结合,5人关注 / 一年前发布,32,"3,879元/平"
南洋公寓2房2厅923.54平米精装修54.5万 随时看房,南洋国际金融公寓 -海城区,2室2厅 | 93.54平米 | 南 北 | 其他 | 中楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,54.3,"5,806元/平"
万达商圈，吾悦广场双商圈，户型方正两房，采光充足。,蓝海名都 -银海区,2室2厅 | 89.71平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,64,"7,135元/平"
广东路瀚宇国际2房  采光好 出行便,瀚宇国际 -海城区,2室1厅 | 92.31平米 | 北 | 简装 | 高楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,42,"4,550元/平"
新大润发商圈高层大两房全新装修带家具急售,领海假日年华 -银海区,2室2厅 | 60.72平米 | 东南 南 | 精装 | 高楼层(共27层)  | 板楼,3人关注 / 10个月以前发布,44,"7,247元/平"
此房在次顶层，户型方正，明厨明卫，采光通风、视野好,万泉城一区 -银海区,2室2厅 | 87.62平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 6个月以前发布,56.5,"6,449元/平"
房子满五唯一无抵押，可随时看房过户。,强远世纪度假村 -银海区,2室2厅 | 91.51平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,39.5,"4,317元/平"
星海名城二期 2房2厅 毛胚 户型方正,星海名城二期 -海城区,2室1厅 | 83.69平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 15天以前发布,37.7,"4,505元/平"
急，业主急卖，欢迎你的咨询。诚心买房的速来。,越亚天赐锦园 -银海区,2室1厅 | 71.53平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,48,"6,711元/平"
北海大道三房采光好出入便利步梯小高楼,房天公寓 -海城区,3室2厅 | 81.74平米 | 南 西 | 其他 | 高楼层(共8层)  | 板楼,5人关注 / 一年前发布,22.8,"2,790元/平"
天赐碧园 精装两房 四川北路 生活方便,越亚天赐碧园 -海城区,2室2厅 | 81.52平米 | 北 东 | 简装 | 高楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,41.8,"5,128元/平"
恒大御景半岛，近海边户，宽楼间距，主卧室看中庭水系,恒大御景半岛 -银海区,2室2厅 | 89.19平米 | 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,57.2,"6,414元/平"
北岸金滩 上海路口 香槟郡小区1房,香槟郡 -海城区,1室0厅 | 40.49平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,6人关注 / 5个月以前发布,19.5,"4,817元/平"
此房满五唯一，配套设施齐全，交通便利，拎包入住.,穗丰金湾 -银海区,2室1厅 | 76.13平米 | 北 | 简装 | 中楼层(共30层)  | 板塔结合,0人关注 / 6个月以前发布,29,"3,810元/平"
廉州湾金滩 阳光东海岸1房急卖,阳光东海岸 -海城区,1室0厅 | 45.05平米 | 北 | 简装 | 中楼层(共21层)  | 板塔结合,29人关注 / 8个月以前发布,14.6,"3,241元/平"
三千亩红树林景区，空气好，环境佳，朝南正规一房一厅,中信国安北海第一城 -银海区,1室1厅 | 67.38平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,3人关注 / 9个月以前发布,39.9,"5,922元/平"
贵兴市场旁大两房 新大润发商圈 出行方便,盛世华庭 -银海区,2室2厅 | 88.92平米 | 南 | 其他 | 中楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,41.8,"4,701元/平"
银滩西欧式园林品质小区拎包入住,恒大御景半岛 -银海区,2室2厅 | 80.37平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,12人关注 / 一年前发布,50,"6,222元/平"
银海区，两房，业主诚心出售，看房方便,御海澜庭 -银海区,2室2厅 | 75.45平米 | 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 10个月以前发布,43.8,"5,806元/平"
壹海江山 距离海158  看海好地方,壹海江山 -银海区,2室1厅 | 67.43平米 | 南 | 其他 | 31层  | 板塔结合,0人关注 / 5个月以前发布,68,"10,085元/平"
此房满二唯一 地段好出入方便 毛坯房随意装修,馨隆天地 -海城区,4室2厅 | 97.76平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,4人关注 / 一年前发布,79.9,"8,174元/平"
廉州湾金滩 海上栈道 阳光海岸 电梯中高层海景房,阳光海岸 -海城区,2室2厅 | 86.77平米 | 东北 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 5个月以前发布,57,"6,570元/平"
悦兴大厦 2室1厅 南,悦兴大厦 -海城区,2室1厅 | 89.65平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,5人关注 / 5个月以前发布,29.8,"3,325元/平"
银湾花园羊湖苑 2室1厅 北,银湾花园羊湖苑 -海城区,2室1厅 | 65.98平米 | 北 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,23,"3,486元/平"
位于北海新城区， 生活配套齐全，园景房,恒大御景半岛 -银海区,2室2厅 | 80.31平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,10人关注 / 8个月以前发布,49,"6,102元/平"
一房一厅一厨一卫出售， 视野宽阔，采光充足,南洋新都 -海城区,1室1厅 | 62.53平米 | 北 | 其他 | 中楼层(共10层)  | 板楼,0人关注 / 5个月以前发布,22.3,"3,567元/平"
大润发，万达 双商圈，地理位置优越，,怡康春城 -银海区,2室2厅 | 88.68平米 | 北 | 简装 | 低楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,35.8,"4,037元/平"
金滩北岸一线海景无遮挡，正规 一房一厅吉售,海岸国际假日花园 -海城区,1室2厅 | 65.94平米 | 西北 | 精装 | 中楼层(共31层)  | 板塔结合,38人关注 / 一年前发布,47.8,"7,250元/平"
"万达，吾悦旁的好房位于广东路主干道旁,交通便利。",圣美阳光家园 -银海区,2室2厅 | 100.88平米 | 南 | 其他 | 低楼层(共12层)  | 板塔结合,0人关注 / 一年前发布,43.5,"4,313元/平"
新世纪大道中yang美地精品一房价格美丽,中央美地 -银海区,1室0厅 | 32.01平米 | 南 | 简装 | 中楼层(共23层)  | 板塔结合,0人关注 / 一年前发布,21.5,"6,717元/平"
南国华城大一房，满五唯一，朝南视野宽阔，采光充足。,南国华城 -海城区,1室1厅 | 43.08平米 | 南 北 | 简装 | 低楼层(共25层)  | 塔楼,2人关注 / 一年前发布,18.9,"4,388元/平"
廉州湾金滩 海上栈道 阳光海岸 电梯中高层海景房,阳光海岸 -海城区,2室2厅 | 86.77平米 | 东北 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 5个月以前发布,57,"6,570元/平"
悦兴大厦 2室1厅 南,悦兴大厦 -海城区,2室1厅 | 89.65平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,5人关注 / 5个月以前发布,29.8,"3,325元/平"
天赐碧园 精装两房 四川北路 生活方便,越亚天赐碧园 -海城区,2室2厅 | 81.52平米 | 北 东 | 简装 | 高楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,41.8,"5,128元/平"
此房满二唯一 地段好出入方便 毛坯房随意装修,馨隆天地 -海城区,4室2厅 | 97.76平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,4人关注 / 一年前发布,79.9,"8,174元/平"
恒大4房2厅2卫 高楼层 视野好 看房方便 业主急售,恒大御景半岛 -银海区,4室2厅 | 163平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,120,"7,362元/平"
新世纪大道  九州家园 两房 诚意出售,九州家园南区 -银海区,2室1厅 | 78.8平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 3个月以前发布,35,"4,442元/平"
安静优美 格局户型设计好 适合养老旅居,第九湾蓝山上湾 -银海区,2室1厅 | 73.31平米 | 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,32,"4,366元/平"
北海大厦 沃尔玛商圈 2房 拎包入住,北海大厦 -海城区,2室2厅 | 114.45平米 | 南 | 简装 | 高楼层(共24层)  | 塔楼,1人关注 / 一年前发布,42,"3,670元/平"
房子业主诚心出售，此房满两年唯一，楼层好，采光足,金缘世家 -海城区,2室2厅 | 75.52平米 | 北 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,44.3,"5,866元/平"
大润发商圈，户型方正，小区环境好，配套齐全,嘉盛名都 -银海区,2室2厅 | 78.88平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,45,"5,705元/平"
急买 冠山海 8楼 精装2房42万  随时看房,嘉和冠山海 -海城区,1室2厅 | 65.85平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,14人关注 / 一年前发布,42,"6,379元/平"
户型南北通透，看房方便，随时看房,龙珠新村·E区 -银海区,2室1厅 | 93.45平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,33.4,"3,575元/平"
朝南户型方正，中高楼层，视野好，采光好,嘉盛名都 -银海区,2室2厅 | 83.12平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,61.5,"7,399元/平"
宁春城商圈 动车站旁 一房一厨一卫  生活方便,海尚巴黎酒店公寓 -海城区,1室0厅 | 33.08平米 | 北 | 其他 | 中楼层(共29层)  | 塔楼,0人关注 / 13天以前发布,13,"3,930元/平"
：房子满四唯一，全新未住过，中高,恒大名都 -银海区,1室1厅 | 55.52平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,6人关注 / 一年前发布,33,"5,944元/平"
楼层好，视野开阔，采光充足，恒大御景半岛,阳光金海岸 -银海区,2室2厅 | 78.77平米 | 北 | 毛坯 | 中楼层(共24层)  | 板楼,4人关注 / 一年前发布,35,"4,444元/平"
满五年，高楼层，格局好户型方正，采光充足出行方便,兴凯花园 -海城区,2室2厅 | 99.22平米 | 南 | 毛坯 | 高楼层(共16层)  | 板塔结合,28人关注 / 一年前发布,22.9,"2,309元/平"
湿地公园旁 东峰富苑小区 朝南  首付十万 采光好,东峰富苑 -海城区,2室2厅 | 89平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,14人关注 / 一年前发布,32,"3,596元/平"
西藏路体育公园正规一房 看花园 税费少,一品湾 -银海区,1室1厅 | 46.5平米 | 东南 | 其他 | 低楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,32,"6,882元/平"
交通便利   配套齐全     生活方便,嘉盛名都 -银海区,2室2厅 | 82.91平米 | 南 | 简装 | 低楼层(共25层)  | 板塔结合,5人关注 / 一年前发布,46,"5,549元/平"
金滩边 阳光东海岸 电梯中层 朝南一房 价格便宜,阳光东海岸 -海城区,1室0厅 | 36.55平米 | 北 | 其他 | 中楼层(共21层)  | 板塔结合,10人关注 / 一年前发布,13.78,"3,771元/平"
精装修证件在手，业主没有来住过，满五唯一。,圣景龙湾 -银海区,2室2厅 | 81.23平米 | 南 北 | 精装 | 低楼层(共29层)  | 板塔结合,3人关注 / 一年前发布,48,"5,910元/平"
万达旁，大两房，拎包入住。。。。。。。,北海盈馨花园 -银海区,2室1厅 | 84.1平米 | 西 | 其他 | 中楼层(共17层)  | 板塔结合,1人关注 / 4个月以前发布,39.9,"4,745元/平"
满五年，高楼层，格局好户型方正，采光充足出行方便,兴凯花园 -海城区,2室2厅 | 99.22平米 | 南 | 毛坯 | 高楼层(共16层)  | 板塔结合,28人关注 / 一年前发布,22.9,"2,309元/平"
蓝海银湾 2室2厅 南,蓝海银湾 -海城区,2室2厅 | 80.7平米 | 南 | 其他 | 中楼层(共16层)  | 板塔结合,0人关注 / 15天以前发布,35,"4,338元/平"
湿地公园旁 东峰富苑小区 朝南  首付十万 采光好,东峰富苑 -海城区,2室2厅 | 89平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,14人关注 / 一年前发布,32,"3,596元/平"
万达广场、新大润发双商圈，小区环境优美，安静,金域华府 -银海区,2室2厅 | 77.8平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 15天以前发布,55,"7,070元/平"
银滩西区 品质楼盘    全新装修 3房    采光好,第九湾蓝山上湾 -银海区,2室1厅 | 89平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,49.8,"5,596元/平"
嘉福文华苑 2室2厅 东北,嘉福文华苑 -海城区,2室2厅 | 98平米 | 东北 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,50,"5,103元/平"
可观江.可观海.环境优美..........,彰泰观江海 -银海区,2室1厅 | 65平米 | 南 北 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,65,"10,000元/平"
新大润发商圈正规三房，户型方正，业主急售,辰宸花园 -银海区,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,46,"5,169元/平"
金滩 德利海北海 一线海景房 三房二厅  毛坯房,德利海北海 -海城区,3室2厅 | 121.18平米 | 南 北 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 29天以前发布,98,"8,088元/平"
万达旁边，新润发旁边，朝南两房,桐洋家园 -银海区,2室2厅 | 88.67平米 | 南 北 | 简装 | 中楼层(共27层)  | 板塔结合,0人关注 / 28天以前发布,45,"5,075元/平"
广坊东里 3室2厅 南 北,广坊东里 -海城区,3室2厅 | 78.38平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,38.3,"4,887元/平"
银海区 九州家园三房  户型方正  业主诚心出售,九州家园南区 -银海区,3室2厅 | 89.7平米 | 东南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 22天以前发布,42,"4,683元/平"
老街与北部湾广场旁 天赐碧园 电梯两房,越亚天赐碧园 -海城区,2室2厅 | 76.99平米 | 南 | 简装 | 低楼层(共31层)  | 板塔结合,0人关注 / 29天以前发布,43.7,"5,677元/平"
中兴花园 2室2厅 东 北,中兴花园 -海城区,2室2厅 | 77.09平米 | 东 北 | 简装 | 中楼层(共14层)  | 板塔结合,0人关注 / 26天以前发布,39.5,"5,124元/平"
