标题,开发商,房子信息,发布信息,售价/万,单价
格局宽阔，采光充足好，楼层好，视野好 满五唯颐,颐景雅苑 -延安东路,3室2厅 | 128.45平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 18天以前发布,138,"10,744元/平"
可拎包入住，精装修，楼层好，视野开阔，采光充足,九华学府 -生态新城,2室1厅 | 93.6平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 10个月以前发布,220,"23,505元/平"
房子满二年。采光好，户型好，价格低,福地锦绣华庭 -深圳路,3室2厅 | 114.5平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,108,"9,433元/平"
房东诚售 顶层复式 带200平大露台 阁楼单独产权证,东城景苑 -翔宇大道,4室2厅 | 170平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,8人关注 / 9个月以前发布,172,"10,118元/平"
江淮印象 3室1厅 南,江淮印象 -大学城商圈,3室1厅 | 111.97平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 5天以前发布,100,"8,931元/平"
人民大会堂宿舍区3室1厅87平方185万,人民大会堂宿舍区 -外国语,3室1厅 | 85.92平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3天以前发布,185,"21,532元/平"
此房格局好，楼层好，采光充足，配套设施齐全,北京新村 -外国语,2室1厅 | 57.61平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,60.8,"10,554元/平"
金鼎御庭  精装2室 有储藏室楼层好采光，着急卖,金鼎御庭 -上海西路,2室1厅 | 104.1平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 6个月以前发布,91,"8,742元/平"
东海畅园3-2-1-1  好楼层 采光无遮挡,东海畅园 -深圳路,3室2厅 | 90平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,69,"7,667元/平"
金地中心 1室1厅 东北,金地中心 -翔宇大道,1室1厅 | 28.43平米 | 东北 | 其他 | 中楼层(共39层)  | 平房,0人关注 / 10个月以前发布,55,"19,346元/平"
城上城小区 3室1厅 南,城上城小区 -北京西路,3室1厅 | 106.75平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 24天以前发布,118.8,"11,129元/平"
农垦丽景苑北京新村三房中楼层看房有钥匙,北京新村 -外国语,3室1厅 | 75.53平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 30天以前发布,64,"8,474元/平"
出售 南部新城 恒大名都三期 精装未住过 大3房,恒大名都三期 -恒大名都,3室2厅 | 101.76平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 29天以前发布,105,"10,319元/平"
香缇豪庭 景观位置 中等楼层 精装修 家电全留 拎包入,香缇豪庭 -迎宾大道,4室2厅 | 124.02平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 22天以前发布,122.5,"9,878元/平"
盛祥苑 2室2厅 南,盛祥苑 -淮阴区大润发,2室2厅 | 78平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,78,"10,000元/平"
南部新城 恒大名都旁 钱隆御景四开间朝南中上楼层,钱隆御景 -恒大名都,3室2厅 | 97.81平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 5天以前发布,85,"8,691元/平"
丰球璟园，房东急售，飞机户型，采光好，户型佳,丰球璟园 -白鹭湖,3室1厅 | 121.81平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 11天以前发布,120,"9,852元/平"
急售中南世纪城三期玺园3-2-1-1 111.25m²,中南世纪城三期玺园 -中南商圈,3室2厅 | 111.25平米 | 南 | 其他 | 低楼层(共34层)  | 塔楼,0人关注 / 13天以前发布,121,"10,877元/平"
鸿基雅园  4间朝南 复式  南北大露台,鸿基雅园 -上海西路,4室2厅 | 152.78平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,16人关注 / 一年前发布,102.8,"6,729元/平"
韩侯花园 2室2厅 南,韩侯花园 -上海西路,2室2厅 | 86.55平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,66,"7,626元/平"
丰球颐园 3室2厅 南 北,丰球颐园 -白鹭湖,3室2厅 | 105.51平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 3天以前发布,110,"10,426元/平"
此房得房率高，，宽敞明亮，新亚万达商圈，交通便利,中鑫上城 -万达,2室1厅 | 65.81平米 | 南 | 其他 | 中楼层(共17层)  | 塔楼,0人关注 / 11天以前发布,56,"8,510元/平"
"精装房 好楼层,通风效果好, 随时看房 小区环境好!",金辉城悦府 -白鹭湖,3室2厅 | 111.37平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 12天以前发布,140,"12,571元/平"
承德公寓一楼，幼！晓  初，都在3百米内东万达西新亚,承德公寓 -万达,3室2厅 | 126.6平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 9天以前发布,140,"11,059元/平"
满五唯一，景观楼层，采光充足，改善好房,万达广场一期住宅 -万达,3室1厅 | 115.09平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 11天以前发布,132,"11,470元/平"
恒辉花园多层一楼户型周正有院子,恒辉花园 -淮阴卷烟厂,2室2厅 | 96.5平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3天以前发布,105,"10,881元/平"
新上，花园位置精装三房，有钥匙随时看房。,富春花园 -楚秀园,3室2厅 | 106平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 6天以前发布,96.8,"9,133元/平"
此房户型方正，视野开阔，采光充足，交通便利!,丰球和园 -白鹭湖,3室2厅 | 143.77平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,160,"11,129元/平"
淮海天宸花苑花园洋房136.5平米4室2厅2卫毛坯出售,淮海天宸花苑 -外国语,4室2厅 | 136.84平米 | 南 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 8天以前发布,218,"15,932元/平"
恒大名都二期 3室2厅 南,恒大名都二期 -恒大名都,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 7天以前发布,115,"9,200元/平"
巨一首府，淮海西路，新小区，环境好，楼层好。。。,巨一首府 -上海东路,4室2厅 | 117平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 8天以前发布,158,"13,505元/平"
房东诚心出售 契税满两年 使用面积多 随时看,中南世纪城2期 -中南商圈,4室2厅 | 121平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 4天以前发布,135,"11,158元/平"
建华多层电梯洋房 带院子 有车位 采光刺眼 无遮挡,建华观园 -生态新城,4室1厅 | 155.47平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,0人关注 / 3天以前发布,270,"17,367元/平"
金满華府 3室2厅 南,金满華府 -清晏园,3室2厅 | 121.41平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 27天以前发布,111,"9,143元/平"
金榜花园洋房大两房精装修 诚心出售随时看房,金榜花园 -大学城商圈,2室2厅 | 96平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 25天以前发布,80.9,"8,428元/平"
水韵天成银杏苑 纯毛坯 满二年 三室二厅二卫 采光很好,水韵天成银杏苑 -翔宇大道,3室2厅 | 140.51平米 | 南 | 其他 | 中楼层(共24层)  | 板塔结合,0人关注 / 24天以前发布,257,"18,291元/平"
金榜花园洋房大两房精装修 诚心出售随时看房,金榜花园 -大学城商圈,2室2厅 | 96平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 25天以前发布,80.9,"8,428元/平"
东大院 109.47平 一楼 4室 2厅  有院子自*房  有车位,东大院三区 -东大院,4室2厅 | 109.47平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 23天以前发布,238,"21,742元/平"
东方豪城 3室2厅 南,东方豪城 -大学城商圈,3室2厅 | 86.96平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,24人关注 / 一年前发布,87,"10,005元/平"
水渡口商圈融侨观邸三房两卫毛坯房看房方便,融侨观邸 -水渡口大道,3室1厅 | 113.99平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 30天以前发布,126,"11,054元/平"
清江人家，户型方正，采光无遮挡，交通便利。,清江人家 -延安东路,4室2厅 | 124.4平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 27天以前发布,136,"10,933元/平"
楼层好，三房 采光充足，户型方正，无公摊。,安涉桥小区 -东大院,3室1厅 | 80.11平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,83,"10,361元/平"
浦东花园 5室2厅 南,浦东花园 -楚秀园,5室2厅 | 153.25平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,140,"9,136元/平"
满2年新上房东急售白鹭湖润园精装两室采光好视野好,丰球润园 -白鹭湖,2室2厅 | 93.71平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 15天以前发布,112,"11,952元/平"
此房满两年了，户型方正，没有浪费面积楼层不错,北京如意桂园 -北京西路,3室2厅 | 91.59平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 9天以前发布,98,"10,700元/平"
建华观园一期大平层带100多平方露台,建华观园 -生态新城,4室1厅 | 230.18平米 | 南 | 其他 | 低楼层(共29层)  | 塔楼,0人关注 / 3天以前发布,430,"18,682元/平"
电梯房，好楼层，采光好，精装修哦,和达雅苑A区 -水渡口大道,3室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 25天以前发布,100,"7,408元/平"
恒大二期精装修婚房 边户 采光无遮挡 满2年,恒大名都二期 -恒大名都,3室2厅 | 130.54平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 23天以前发布,128,"9,806元/平"
精装修，满五唯一，无贷款，拎包即住,剑桥佳苑 -大学城商圈,3室2厅 | 105.61平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 29天以前发布,93,"8,806元/平"
健康东路东大院一区。四房，中层，看房方便，户型方正,东大院一区 -东大院,4室2厅 | 144.47平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 28天以前发布,300.1,"20,773元/平"
：西大院，房屋全明 采光好，视野宽阔，四周配套齐,淮安市市级机关西院生活区 -外国语,4室1厅 | 109.43平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 24天以前发布,228,"20,836元/平"
绿地世纪城国际花都南苑 3室2厅 南,绿地世纪城国际花都南苑 -生态新城,3室2厅 | 131.2平米 | 南 | 其他 | 中楼层(共24层)  | 板楼,0人关注 / 15天以前发布,240,"18,293元/平"
东大院三楼，采光好，位置佳 ，二室一厅76平方,东大院四区 -东大院,2室1厅 | 75.94平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 19天以前发布,246,"32,394元/平"
此房为电梯洋房，户型好采光足，环境优美,融侨观邸 -水渡口大道,5室2厅 | 193平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,320,"16,581元/平"
位置好，配套好，小区环境优美，交通便利,绿地世纪城国际花都北苑 -生态新城,4室2厅 | 140平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 9个月以前发布,268,"19,143元/平"
运河高架旁边位置好楼层好精装三房拎包入住,金吉华冠苑 -延安东路,3室2厅 | 132.93平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 15天以前发布,132,"9,931元/平"
天鹅湾 精装修三室两厅两卫 户型方正两室朝阳,金辉天鹅湾 -淮阴区大润发,3室2厅 | 115.24平米 | 南 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 13天以前发布,120,"10,414元/平"
精装满五唯一两大露台车库和车位上下跃层,京河湾公寓北区 -恒大名都,4室2厅 | 89平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,4人关注 / 10个月以前发布,80,"8,989元/平"
恒大名都二期.精装修交付.家具家电配套齐全.领包入住.,恒大名都二期 -恒大名都,3室2厅 | 102.47平米 | 南 | 其他 | 高楼层(共26层)  | 塔楼,0人关注 / 1天以前发布,89.8,"8,764元/平"
比佛利 3室2厅 南 北,比佛利 -深圳路,3室2厅 | 121.25平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 15天以前发布,130,"10,722元/平"
璟和毛坯两房，前排采光视野好，业主诚售，看房有钥匙,璟和名城 -水渡口大道,2室1厅 | 88.9平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 13天以前发布,117,"13,161元/平"
玖珑湾 城果  毛坯房任意装修  房东急卖,玖珑湾城果 -生态新城,3室2厅 | 127平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 8天以前发布,145,"11,418元/平"
急售生态新城中南锦城精装三房，价格可以谈,中南世纪锦城 -生态新城,3室1厅 | 98.52平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 5天以前发布,125,"12,688元/平"
丰球璟园 2室1厅 南,丰球璟园 -白鹭湖,2室1厅 | 121.6平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 8天以前发布,118,"9,704元/平"
此房是开发商精装，好楼层采光好，不满两年,郦城国际南苑 -翔宇大道,3室2厅 | 89.79平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 3天以前发布,140,"15,592元/平"
裕墨园 好楼层低总价含车位  诚心出售价格好说,裕墨园 -中南商圈,3室2厅 | 111平米 | 南 | 其他 | 低楼层(共23层)  | 暂无数据,0人关注 / 4天以前发布,130,"11,712元/平"
淮海天宸花苑 103平3房 现房128万石塔湖位置在,淮海天宸花苑 -外国语,3室2厅 | 102.55平米 | 南 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 5天以前发布,128,"12,482元/平"
小区位置很好，交通便利，配套成熟,海润枫景佳苑 -清晏园,3室2厅 | 120平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,88,"7,334元/平"
翔宇大道 政务旁精装三房 好采光 随时看房,郦城国际 -翔宇大道,3室2厅 | 125平米 | 东南 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 6天以前发布,190,"15,200元/平"
此房户型方正视野开阔采光充足交通便利配套齐全,金辉城清江府 -白鹭湖,3室1厅 | 96.63平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 6天以前发布,106.8,"11,053元/平"
此房户型方正，楼层格局佳，明厨明卫,玖珑湾城果 -生态新城,4室2厅 | 142平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 5天以前发布,153,"10,775元/平"
东湖锦绣 大两房 精装修 全天采光 可拎包入住,东湖锦绣 -徐杨,2室2厅 | 107.48平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 15天以前发布,67,"6,234元/平"
小区环境优美，交通便利，停车方便，房型方正,明光花园 -大学城商圈,2室2厅 | 94.8平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,88.8,"9,368元/平"
检察院宿舍三楼无公摊面积户型方正,检察院宿舍 -漕运西路,2室1厅 | 69平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,60,"8,696元/平"
樱花小区 3室2厅 南,樱花小区 -淮阴区大润发,3室2厅 | 125.37平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 16天以前发布,126,"10,051元/平"
吾悦首府好位置好楼层三房两卫急售,吾悦首府 -生态新城,3室2厅 | 123.3平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 18天以前发布,240,"19,465元/平"
此房全明户型，视野好，全天采光,青春雅轩 -迎宾大道,3室2厅 | 99.08平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 7天以前发布,84,"8,478元/平"
北京路清河实验隔壁广电局宿舍3楼,广电宿舍 -漕运西路,3室1厅 | 94平米 | 南 | 简装 | 中楼层(共4层)  | 板塔结合,0人关注 / 13天以前发布,75,"7,979元/平"
十排房花苑 2室1厅 南,十排房花苑 -上海西路,2室1厅 | 57平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,52,"9,123元/平"
城开御园 毛坯三房 东边户 景观房,城开御园二期 -白鹭湖,3室2厅 | 108.37平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 13天以前发布,97,"8,951元/平"
翔宇大道旁 建滔裕花园一楼复式精装修,建滔裕花园 -翔宇大道,4室3厅 | 263.33平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 8个月以前发布,182,"6,912元/平"
文华苑 三房全明通透楼层佳采光好 满五,淮师文华苑 -外国语,3室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 10天以前发布,200,"14,286元/平"
白鹭湖璟园 毛坯三室两卫 看好再谈,丰球璟园 -白鹭湖,3室2厅 | 124平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 11天以前发布,123.8,"9,984元/平"
海洲朗郡 前进东路 采光无遮挡，楼层好。随时看房,海洲朗郡 -延安东路,3室1厅 | 113.84平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 11天以前发布,106,"9,312元/平"
水沐清华精装房户型采光好精装修,水沐清华 -恒大名都,4室1厅 | 145.36平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 6天以前发布,150,"10,320元/平"
含车位！郦城国际二期 前排景观房采光好无遮挡 满二年,郦城国际南苑 -翔宇大道,3室2厅 | 106平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 13天以前发布,170,"16,038元/平"
淮海南路旁，金辉项目。物业管理较好，人文社区,四季金辉 -恒大名都,3室1厅 | 116.28平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 14天以前发布,108,"9,288元/平"
东城新锐园 3室1厅 南,东城新锐园 -大学城商圈,3室1厅 | 124平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 10天以前发布,94,"7,581元/平"
中南一期，毛坯房可根据自己的喜欢自由发挥，满两，,中南世纪城一期 -中南商圈,3室1厅 | 136.42平米 | 东 东南 | 精装 | 低楼层(共31层)  | 塔楼,2人关注 / 一年前发布,155,"11,362元/平"
翡丽湾大三房，房东着急出国急售，价格好商量，,中天翡丽湾 -生态新城,3室2厅 | 143.38平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,220,"15,344元/平"
婚装3房，基本未住，楼层好，采光无.敌,建华观园 -生态新城,3室2厅 | 106.98平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,158,"14,770元/平"
萧湖人家   毛坯房   楼层好   价格美丽,萧湖人家 -生态新城,3室2厅 | 115平米 | 北 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,107,"9,305元/平"
水沐清华多层4楼4室2厅2卫满两年房东有诚意出售,水沐清华 -恒大名都,4室2厅 | 108.19平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,140,"12,941元/平"
水渡口大道 钵池山公园 弘辉首馥新空毛坯三房有钥匙,弘辉首馥 -水渡口大道,3室1厅 | 125.07平米 | 南 | 毛坯 | 高楼层(共39层)  | 板楼,0人关注 / 1个月以前发布,230,"18,390元/平"
多层6楼的两室一厅的设施齐全拎包入住，,利苑新村二区 -上海东路,2室1厅 | 74.35平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,82,"11,029元/平"
水沐清华多层小区户型方正采光好,水沐清华 -恒大名都,3室2厅 | 98.34平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,17人关注 / 一年前发布,90,"9,152元/平"
精装三房 户型方正 楼层好 可拎包入住,中央华府 -恒大名都,3室2厅 | 101.69平米 | 东南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 7个月以前发布,99.8,"9,815元/平"
南浦佳园多层小区子交通方便户型方正,南浦佳园 -恒大名都,3室2厅 | 95.61平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 一年前发布,75,"7,845元/平"
香格里拉D区，满二年，户型方正，看房方便，房东急售,香格里拉D区 -水渡口大道,4室2厅 | 129.56平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 5个月以前发布,147,"11,347元/平"
房子是一楼带院子的，前面是别墅，采光不挡，,丰球璟园 -白鹭湖,3室2厅 | 133.28平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,165,"12,380元/平"
鸿基雅苑多层6楼精装三室设施齐全带车库带阁楼,鸿基雅园 -上海西路,3室2厅 | 97.91平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,82.8,"8,457元/平"
淮师文华苑高层中间楼层毛坯三房有钥匙看房方便,淮师文华苑 -外国语,3室2厅 | 136.8平米 | 西南 | 毛坯 | 中楼层(共27层)  | 板楼,1人关注 / 8个月以前发布,198,"14,474元/平"
满五唯一，有车库，万达大润发两大商圈 ，采光充足,迎春嘉园 -长征小学,3室2厅 | 134.86平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 7个月以前发布,128,"9,492元/平"
房子户型方正  商圈配套齐全  房东诚心出售,翠湖一号 -白鹭湖,3室1厅 | 133.21平米 | 南 | 毛坯 | 高楼层(共38层)  | 板塔结合,10人关注 / 8个月以前发布,118,"8,859元/平"
水韵天成金桂苑 3室2厅 南 北,水韵天成金桂苑 -翔宇大道,3室2厅 | 101.75平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,155,"15,234元/平"
九龙湖公园旁，精品三房，采光刺眼，随时看房,城置公园龙湾 -大学城商圈,3室1厅 | 106.68平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,89.5,"8,390元/平"
此房采光充足，视野开阔，配套设施齐全，交通便利,英祥承德公馆 -火车北站,3室2厅 | 105.6平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,4人关注 / 8个月以前发布,86,"8,144元/平"
四季金辉观岚 3室2厅 南 北,四季金辉观岚 -恒大名都,3室2厅 | 97.94平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,110,"11,232元/平"
"满五年唯一,采光视野好,原始格局，房东诚心出售！",梧桐苑 -生态新城,3室2厅 | 137.55平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,11人关注 / 一年前发布,185,"13,450元/平"
绿地世纪城四期  两室朝南  精装修  采光好,绿地世纪城四期 -生态新城,2室2厅 | 90.46平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,155,"17,135元/平"
中南正四房   毛坯房   任意装修   凤凰楼层,中南世纪锦城 -生态新城,4室2厅 | 121.13平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,3人关注 / 一年前发布,138,"11,393元/平"
学府名门 低单价出售，手快有手慢无， 看房方便105万,学府名门 -大学城商圈,3室2厅 | 120.49平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,1人关注 / 2个月以前发布,105,"8,715元/平"
永和家园3房，有25平米平地汽车库和8平米电动车库,永和家园 -外国语,3室2厅 | 111.22平米 | 南 北 | 精装 | 中楼层(共5层)  | 塔楼,0人关注 / 1个月以前发布,105,"9,441元/平"
紫晶花苑 3室2厅 南,紫晶花苑 -外国语,3室2厅 | 121.92平米 | 南 | 毛坯 | 高楼层(共23层)  | 板楼,2人关注 / 7个月以前发布,139,"11,401元/平"
6楼带阁楼的三室精装设施齐全拎包入住看房方便,金鼎御庭 -上海西路,3室2厅 | 122.7平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,120,"9,780元/平"
中天花园 精装 全明通透采光全天无遮挡 满五,中天花园西区 -外国语,3室1厅 | 105.64平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,145,"13,726元/平"
翔宇大道旁亿力未来城五期小高层装修两房,亿力未来城五期 -翔宇大道,2室2厅 | 97.46平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,6人关注 / 8个月以前发布,132,"13,545元/平"
精装3房未住过，诚卖急卖价格合适就出手,福晟钱隆城 -中南商圈,3室2厅 | 111.65平米 | 东南 | 精装 | 中楼层(共28层)  | 塔楼,9人关注 / 一年前发布,123,"11,017元/平"
此房子是满五唯一，房型方正，3室2厅2卫。,山阳湾花园 -生态新城,3室1厅 | 129.47平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,1人关注 / 5个月以前发布,218,"16,838元/平"
买房带个车位  毛坯随自己心意装修  看房方便,中南世纪锦城 -生态新城,3室2厅 | 108.52平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,8人关注 / 6个月以前发布,116,"10,690元/平"
小区前排 采光无档 毛坯好装修 老证税少  看房方便,中南世纪锦城 -生态新城,3室1厅 | 107.04平米 | 南 北 | 其他 | 低楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,118,"11,024元/平"
淮师第二附属小隔壁大三房两厅两卫满两年，毛坯任意装,蓝天学府 -淮阴区大润发,3室2厅 | 124.21平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,1人关注 / 3个月以前发布,117,"9,420元/平"
颐和花园，户型方正，南边有大平台，东边户，有钥匙,颐和花园 -长征小学,3室2厅 | 127.48平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,122,"9,571元/平"
中南世纪锦城  高楼层  视野好采光好  价格美丽,中南世纪锦城 -生态新城,3室2厅 | 109.16平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,107,"9,803元/平"
北京花园4室2厅1厨2卫，户型方正，居住方便舒适。,北京花园 -外国语,4室2厅 | 145.03平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,135,"9,309元/平"
五洲龙湾毛坯房东边户 户型好 房东急售 有钥匙方便,五洲龙湾B区 -北京西路,3室3厅 | 122.76平米 | 南 | 毛坯 | 高楼层(共15层)  | 塔楼,1人关注 / 3个月以前发布,118,"9,613元/平"
清城亿园 洋房 户型方正 带轿车位 储藏室,清城创意谷清城亿园 -白鹭湖,3室2厅 | 114.64平米 | 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,125,"10,904元/平"
光华苑多层6楼的精装三室带阁楼设施齐全拎包入住,光华苑 -上海西路,3室2厅 | 92.33平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,75,"8,124元/平"
光华苑2室户型方正，房东急售，拎包入住,光华苑 -上海西路,2室2厅 | 61.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,55,"8,951元/平"
中南世纪城二期  采光充足 视野宽阔  精装修 急售,中南世纪城2期 -中南商圈,3室2厅 | 102.1平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 一年前发布,126,"12,341元/平"
