标题,开发商,房子信息,发布信息,售价/万,单价
公馆贰号 2室1厅 西北,公馆贰号 -南岸西区,2室1厅 | 41.43平米 | 西北 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 5天以前发布,32.8,"7,917元/平"
房屋户型方正，采光好，正面临江,观澜上郡 -柏溪镇,3室2厅 | 87.5平米 | 南 北 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 29天以前发布,72.8,"8,320元/平"
龙凤苑顶楼跃层带两个花园，全中庭清净,龙凤苑小区 -南岸东区,4室2厅 | 150平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 20天以前发布,114.8,"7,654元/平"
地中海蓝湾5-3-1805交通便利  小区环境干净,地中海蓝湾 -临港,3室2厅 | 114.8平米 | 东南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 23天以前发布,117,"10,192元/平"
莱茵河畔107平米3房2卫110万，中庭位置，诚心出售,莱茵河畔-丽江湾 -南岸东区,3室2厅 | 106平米 | 东南 | 其他 | 低楼层(共22层)  | 板塔结合,0人关注 / 23天以前发布,110,"10,378元/平"
南岸东区电梯，经典三房双卫，可以拎包入住。,梦想和居 -南岸东区,3室2厅 | 106平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 22天以前发布,85,"8,019元/平"
高楼层而且采光好，小区物业比较好，旁边的商比较成熟,白沙翡翠城 -临港,3室2厅 | 89平米 | 东南 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 20天以前发布,76.8,"8,630元/平"
此房视野开阔，房东急售，低楼层，朝向好,邦泰大学路1号 -临港,3室2厅 | 89平米 | 西南 | 其他 | 低楼层(共23层)  | 暂无数据,1人关注 / 31天以前发布,69,"7,753元/平"
精装修，标准三房，干净整洁，免费停车,宜宾翠屏区古塔小区 -上江北,3室2厅 | 83平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 22天以前发布,39.8,"4,796元/平"
南岸东区  碧水山庄  装修大平层  满五唯一  随时看房,碧水山庄 -南岸西区,3室2厅 | 130.85平米 | 东南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 31天以前发布,93,"7,108元/平"
此房通透格局 楼层好 视野无遮挡配套完善 交通便利,地中海蓝湾 -临港,3室2厅 | 96.5平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 18天以前发布,93.8,"9,721元/平"
房子为邦泰北区小洋房 户型非 常方正，业主精装修,邦泰国际社区北区 -临港,3室2厅 | 102平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 18天以前发布,115.6,"11,334元/平"
江北五粮液旁大3房2卫 房东诚意出售 可按揭贷款,鼎业江北兴城B区 -上江北,3室2厅 | 127平米 | 东 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,74.8,"5,890元/平"
小高层7层跃8层 带个人私家花园 家具家电一起卖,邦泰国际社区北区 -临港,4室2厅 | 139平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 31天以前发布,208,"14,965元/平"
鼎业江北兴城A区 2室1厅 东南,鼎业江北兴城A区 -上江北,2室1厅 | 81平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 24天以前发布,63,"7,778元/平"
临港套四！！！！清水出售！！！,临港中央 -临港,4室2厅 | 134.41平米 | 东 东南 | 其他 | 低楼层(共29层)  | 板楼,0人关注 / 20天以前发布,100,"7,440元/平"
时代嘉苑 4室2厅 东南 西南 西北 东北,时代嘉苑 -老城区,4室2厅 | 220平米 | 东南 西南 西北 东北 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 20天以前发布,160,"7,273元/平"
江北成熟地段的标准三房、低首付户型方正,金松苑 -上江北,3室2厅 | 128平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 22天以前发布,61.8,"4,829元/平"
邦泰社区，精装三房，拎包入住，可随时看房,邦泰国际社区北区 -临港,3室2厅 | 91平米 | 东南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 29天以前发布,90.8,"9,979元/平"
三江新区  长江国际青年城  精装三居室 证满两年,长江国际青年城 -临港,3室2厅 | 90.18平米 | 东南 | 其他 | 高楼层(共28层)  | 平房,0人关注 / 28天以前发布,66,"7,319元/平"
葡萄小区3楼  采光好  户型方正,葡萄园小区 -上江北,3室2厅 | 93平米 | 东北 | 其他 | 低楼层(共12层)  | 暂无数据,0人关注 / 22天以前发布,54.8,"5,893元/平"
邦泰临港国际 3室2厅 东南,邦泰临港国际 -临港,3室2厅 | 91平米 | 东南 | 其他 | 高楼层(共26层)  | 塔楼,0人关注 / 20天以前发布,93.8,"10,308元/平"
锦悦府 3室2厅 南,锦悦府 -上江北,3室2厅 | 97平米 | 南 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 23天以前发布,106,"10,928元/平"
东方时代广场 D街区精装3房 看房方便,鲁能山水绿城D街区 -南岸西区,3室2厅 | 125平米 | 东南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 20天以前发布,96,"7,680元/平"
城北新区 左岸公馆  精装4居室 家具家电齐全 拎包入住,拉菲-左岸公馆 -城北新区,4室2厅 | 130平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 28天以前发布,122,"9,385元/平"
户型方正 浪费少 住家精装 拎包入住,邦泰国际社区南区 -临港,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 20天以前发布,98,"11,012元/平"
白沙翡翠城 三房带车位。。。。,白沙翡翠城 -临港,3室2厅 | 89.72平米 | 南 | 其他 | 低楼层(共17层)  | 塔楼,0人关注 / 18天以前发布,89,"9,920元/平"
金帝庄园正三房，家具家电全齐，拎包入住,正和金帝庄园A区 -中坝,3室2厅 | 104平米 | 西南 | 其他 | 中楼层(共28层)  | 塔楼,0人关注 / 25天以前发布,95,"9,135元/平"
城北新区 左岸公馆  精装4居室 家具家电齐全 拎包入住,拉菲-左岸公馆 -城北新区,4室2厅 | 130平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 28天以前发布,122,"9,385元/平"
户型方正 浪费少 住家精装 拎包入住,邦泰国际社区南区 -临港,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 20天以前发布,98,"11,012元/平"
标准两室，方正实用，看房方便。,天悦府 -上江北,2室2厅 | 66.64平米 | 东 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 17天以前发布,63.8,"9,574元/平"
此房户型方正，明厨明卫，采光好，离小区大门口近,邦泰白沙鹭岛 -临港,3室2厅 | 103平米 | 东南 南 西南 | 其他 | 中楼层(共23层)  | 暂无数据,0人关注 / 27天以前发布,92.8,"9,010元/平"
南岸莱茵河畔、一中旁，龙润国际华浔精装房 房东急售,龙润国际 -南岸东区,3室2厅 | 118平米 | 东南 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 25天以前发布,107.8,"9,136元/平"
临港三室出售！！！！！！！！！！,长江国际青年城 -临港,3室2厅 | 90平米 | 东南 南 | 其他 | 低楼层(共28层)  | 板塔结合,0人关注 / 19天以前发布,71.8,"7,978元/平"
城北新区新小区，三房双卫，清水任意装。,鼎仁叙乐名庭 -城北新区,3室2厅 | 87平米 | 北 东北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 29天以前发布,58,"6,667元/平"
塞纳国际 精装三室，拎包入住，单价七千多,塞纳国际一期 -新村,3室2厅 | 95.4平米 | 东南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 18天以前发布,70,"7,338元/平"
小区环境干净，有凉亭、修身养性的不二选择,南山星城北区 -城北新区,3室2厅 | 103.57平米 | 南 西南 | 其他 | 高楼层(共19层)  | 暂无数据,0人关注 / 23天以前发布,68.8,"6,643元/平"
"南山星城精装3房双卫,家具家电齐全，可拎包入住。",南山星城北区 -城北新区,3室2厅 | 98.7平米 | 东南 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 26天以前发布,62.8,"6,363元/平"
欢乐颂清水三房，采光好户型方正，楼层好,欢乐颂豪庭 -柏溪镇,3室2厅 | 90.95平米 | 东南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 17天以前发布,56.8,"6,246元/平"
踞柏溪焦点，四面聚合，规划品质的江景房,树高金沙首座B区 -柏溪镇,3室2厅 | 107平米 | 东南 | 简装 | 中楼层(共28层)  | 暂无数据,0人关注 / 26天以前发布,115,"10,748元/平"
单价低，离江边近，小区安静不吵闹,成中集团榕树园小区 -柏溪镇,4室2厅 | 156平米 | 东南 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,70,"4,488元/平"
毕加索精装套二 拎包入住 楼层好 采光好 户型方正,城中央-毕加索庄园 -城北新区,2室2厅 | 65.99平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 17天以前发布,49.8,"7,547元/平"
远达鹭湖宫一期 2室2厅 南,远达鹭湖宫一期 -城北新区,2室2厅 | 61平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 25天以前发布,49.8,"8,164元/平"
德福名城精装三房，视野开阔，可拎包入住。,德福名城 -城北新区,3室2厅 | 101.51平米 | 东南 | 其他 | 中楼层(共23层)  | 塔楼,0人关注 / 27天以前发布,73,"7,192元/平"
房屋户型方正，采光好，拎包入住,观澜上郡 -柏溪镇,3室2厅 | 87.71平米 | 南 北 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 20天以前发布,72.8,"8,301元/平"
叙乐名庭清水四室二厅一厨双卫；采光好；户型方正；；,鼎仁叙乐名庭 -城北新区,4室2厅 | 95.13平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 18天以前发布,65.8,"6,917元/平"
毕加索中装大三房 双阳台， 拎包入住,城中央-毕加索庄园 -城北新区,3室2厅 | 113平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 30天以前发布,88,"7,788元/平"
东城 精装套三双卫 拎包入住 家具家电齐全,凯悦金沙-东城 -城北新区,3室2厅 | 96平米 | 东 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 31天以前发布,79.8,"8,313元/平"
农业局大四房精装修环境安静适合居住,农业农村局宿舍 -柏溪镇,4室2厅 | 151平米 | 东 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 29天以前发布,69.8,"4,623元/平"
老客运站10米两室，房子成色新。房东诚心出售,老旅游局宿舍 -江安县,2室2厅 | 92平米 | 东 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,19.8,"2,153元/平"
振兴大厦标准3房2卫户型方正住清净，价格可以谈,华富·振兴大厦 -柏溪镇,3室2厅 | 92平米 | 西南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 22天以前发布,57.8,"6,283元/平"
半岛大院精装三房家具家电全齐，拎包入住，证满两年,半岛大院一期 -新村,3室2厅 | 116平米 | 东南 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 25天以前发布,100,"8,621元/平"
低总价 大面积 电梯大三房 拎包入住 证满两年,银龙天池雅苑 -新村,3室2厅 | 138平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 19天以前发布,68,"4,928元/平"
此房满了两年，装修欧式风格，精装修，拎包入住,正和滨江国际A区 -中坝,3室2厅 | 121平米 | 东南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 17天以前发布,104,"8,596元/平"
正面看江大三室，带300平大露台,金江外滩B区 -柏溪镇,3室2厅 | 131平米 | 东南 | 其他 | 低楼层(共26层)  | 塔楼,0人关注 / 21天以前发布,150,"11,451元/平"
叙州区南山星城三房出售，家具家电齐全。,南山星城北区 -城北新区,3室2厅 | 97平米 | 南 | 其他 | 低楼层(共19层)  | 暂无数据,0人关注 / 20天以前发布,65,"6,702元/平"
远达鹭湖宫一期 3室2厅 西南,远达鹭湖宫一期 -城北新区,3室2厅 | 91.4平米 | 西南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 17天以前发布,76.8,"8,403元/平"
柏溪花园三期 4室3厅 南,柏溪花园三期 -柏溪镇,4室3厅 | 169平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,80,"4,734元/平"
圣马聚福苑 3室2厅 南,圣马聚福苑 -新村,3室2厅 | 99.5平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 26天以前发布,58.8,"5,910元/平"
山水原著清水电梯四房，带租出售买过手就收房租,山水原著二期缇香湾 -南岸西区,4室2厅 | 118平米 | 东南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 19天以前发布,140,"11,865元/平"
阳光新园 装修三室 家具家电齐全 拎包入住,寅吾阳光新园 -城北新区,3室2厅 | 101平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,52.8,"5,228元/平"
"南岸莱茵河畔精装三室,诚意出售",莱茵河畔-西湖湾 -南岸东区,3室2厅 | 103.5平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 19天以前发布,119,"11,498元/平"
山水原著三期原香岭 4室2厅 东南,山水原著三期原香岭 -南岸西区,4室2厅 | 131平米 | 东南 | 其他 | 33层  | 塔楼,0人关注 / 24天以前发布,122,"9,313元/平"
山水原著一期溢香谷 4室2厅 东南,山水原著一期溢香谷 -南岸西区,4室2厅 | 118平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 22天以前发布,108.8,"9,221元/平"
房东急售：新区附.近标准3室精装修小区环境好,远达第一城 -上江北,3室2厅 | 76平米 | 东南 | 其他 | 高楼层(共22层)  | 暂无数据,0人关注 / 22天以前发布,69.8,"9,185元/平"
该房位于老城集中地 ，楼下即为公交车站点,水池路59号 -南溪区,3室2厅 | 92.44平米 | 西 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 27天以前发布,32.8,"3,549元/平"
天福北苑大三房 首期0.1坨 装修好 低于市价5万 可谈！,天福北苑 -柏溪镇,3室2厅 | 125平米 | 西南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,50.8,"4,064元/平"
欢乐颂清水三房，采光好户型方正，楼层好,欢乐颂豪庭 -柏溪镇,3室2厅 | 90.95平米 | 东南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 17天以前发布,56.8,"6,246元/平"
小区环境干净，有凉亭、修身养性的不二选择,南山星城北区 -城北新区,3室2厅 | 103.57平米 | 南 西南 | 其他 | 高楼层(共19层)  | 暂无数据,0人关注 / 23天以前发布,68.8,"6,643元/平"
城北新区新小区，三房双卫，清水任意装。,鼎仁叙乐名庭 -城北新区,3室2厅 | 87平米 | 北 东北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 29天以前发布,58,"6,667元/平"
低总价 大面积 电梯大三房 拎包入住 证满两年,银龙天池雅苑 -新村,3室2厅 | 138平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 19天以前发布,68,"4,928元/平"
德福名城精装三房，视野开阔，可拎包入住。,德福名城 -城北新区,3室2厅 | 101.51平米 | 东南 | 其他 | 中楼层(共23层)  | 塔楼,0人关注 / 27天以前发布,73,"7,192元/平"
房屋户型方正，采光好，拎包入住,观澜上郡 -柏溪镇,3室2厅 | 87.71平米 | 南 北 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 20天以前发布,72.8,"8,301元/平"
远达鹭湖宫一期 3室2厅 西南,远达鹭湖宫一期 -城北新区,3室2厅 | 91.4平米 | 西南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 17天以前发布,76.8,"8,403元/平"
叙州区南山星城三房出售，家具家电齐全。,南山星城北区 -城北新区,3室2厅 | 97平米 | 南 | 其他 | 低楼层(共19层)  | 暂无数据,0人关注 / 20天以前发布,65,"6,702元/平"
正面看江大三室，带300平大露台,金江外滩B区 -柏溪镇,3室2厅 | 131平米 | 东南 | 其他 | 低楼层(共26层)  | 塔楼,0人关注 / 21天以前发布,150,"11,451元/平"
此房采光充足此房采光充足，户型结构好，视野开阔陪,丽雅龙城 -南岸西区,3室2厅 | 117平米 | 东南 | 其他 | 低楼层(共22层)  | 板塔结合,0人关注 / 30天以前发布,153,"13,077元/平"
凯丽香江 3室2厅 东南,凯丽香江 -南溪区,3室2厅 | 113平米 | 东南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 18天以前发布,78.8,"6,974元/平"
大地披东辰校学旁清水大四房一梯一户带电梯入户小高层,邦泰天誉二期 -南岸西区,4室2厅 | 139.5平米 | 东南 | 其他 | 中楼层(共17层)  | 塔楼,0人关注 / 26天以前发布,156.8,"11,241元/平"
邦泰北区    顶跃带露台  有子母车位  车位可单独出售,邦泰国际社区北区 -临港,4室2厅 | 91平米 | 东南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 22天以前发布,117,"12,858元/平"
真实在售，房间整层出售，价格可议。,天立装备城汽车城 -临港,1室0厅 | 365平米 | 东南 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 24天以前发布,310.25,"8,500元/平"
三江新区 临港中 央精装套二  无抵押  随时看房,临港中央 -临港,2室2厅 | 69.36平米 | 东南 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 27天以前发布,66,"9,516元/平"
鑫空间精装量两房出售，满五唯一，拎包入住,鑫空间 -南岸西区,2室2厅 | 88.27平米 | 东南 | 精装 | 高楼层(共25层)  | 暂无数据,7人关注 / 一年前发布,76.8,"8,701元/平"
柑子园街 3室1厅 东南,柑子园街 -南岸东区,3室1厅 | 105.91平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,58,"5,477元/平"
买一得一户型方正观长江大两房精品房源只此一套,煤司宿舍 -江安县,2室2厅 | 84.7平米 | 东 | 简装 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,28,"3,306元/平"
临港中央精装修三房拎包入住，看房方便,临港中央 -临港,3室2厅 | 84.55平米 | 东南 | 精装 | 高楼层(共23层)  | 暂无数据,4人关注 / 4个月以前发布,76.8,"9,084元/平"
老二中宿舍两室两厅两卫业主急售。。,宜宾县二中教职工生活区 -柏溪镇,2室2厅 | 63平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,28,"4,445元/平"
西郊低楼层精装大两室 业主诚心出售   全新装修,人民二、三村 -西郊,2室2厅 | 54.6平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,14人关注 / 一年前发布,38,"6,960元/平"
电梯高层清水可随意装修。单价低,五香田园小区 -南岸西区,2室2厅 | 78平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 18天以前发布,55.8,"7,154元/平"
城西两室，户型方正，家具家电齐全采光通透，拎包入住,顺达小区 -江安县,2室2厅 | 77.22平米 | 西北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,28.8,"3,730元/平"
中坝外滩一号精装改两室  诚心出售  家具家电齐全,外滩一号 -中坝,2室1厅 | 58.56平米 | 东南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 16天以前发布,46,"7,856元/平"
精装大两室，采光很好，领包即住,江安国际D区 -江安县,2室2厅 | 81平米 | 北 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 11天以前发布,45.8,"5,655元/平"
北庆街 2室2厅 西南,北庆街 -老城区,2室2厅 | 62.94平米 | 西南 | 简装 | 高楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,48,"7,627元/平"
中坝片区，城中集团春江盛景精装两房,春江盛景B区 -中坝,2室2厅 | 71.46平米 | 东南 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,55,"7,697元/平"
宜宾市西区寓苑小区标准2室1厅,寓苑小区 -南岸东区,2室1厅 | 92.83平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,4人关注 / 11个月以前发布,52.8,"5,688元/平"
南山星城温馨住家装修大两室急卖,南山星城北区 -城北新区,2室2厅 | 89.5平米 | 南 北 | 简装 | 低楼层(共12层)  | 暂无数据,0人关注 / 11天以前发布,45.8,"5,118元/平"
凤凰楼层 采光充足 视野开阔 方正大两房,天工凯宾上院二期 -柏溪镇,2室1厅 | 91平米 | 东南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 13天以前发布,63.8,"7,011元/平"
邦泰社区精装2房+产权车位即买即入住,邦泰国际社区北区 -临港,2室2厅 | 70.15平米 | 西北 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 15天以前发布,72,"10,264元/平"
此房已满5年 交通便利 居住方便舒适,上锦美域 -新村,1室1厅 | 51平米 | 东南 | 简装 | 低楼层(共29层)  | 暂无数据,0人关注 / 12天以前发布,40.6,"7,961元/平"
此房楼层好，周 边配套齐全。。,龙凤苑小区 -南岸东区,3室1厅 | 90平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 10天以前发布,61.8,"6,867元/平"
房子标准的三室，位于西区中 心地段，绿化面积多。,碧水山庄 -南岸西区,3室2厅 | 146.1平米 | 东南 | 精装 | 高楼层(共6层)  | 塔楼,7人关注 / 一年前发布,85,"5,818元/平"
翠屏区古塔小区三室房东诚心出售,宜宾翠屏区古塔小区 -上江北,3室2厅 | 82.67平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 11个月以前发布,50,"6,049元/平"
成熟地段，成熟配套。拎包入住，临港繁华地区。,邦泰国际社区南区 -临港,2室1厅 | 67平米 | 东 | 精装 | 中楼层(共24层)  | 平房,0人关注 / 13天以前发布,67,"10,000元/平"
上江北都市风景标准2房带大露台出售，看房方便,远达都市峰景 -上江北,2室2厅 | 64平米 | 东南 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 30天以前发布,73.8,"11,532元/平"
西区鲁能山水原著壹号公馆1室1厅2卫 88平方,山水原著壹号公馆 -南岸西区,1室1厅 | 88平米 | 东北 | 其他 | 中楼层(共15层)  | 板塔结合,1人关注 / 1个月以前发布,61.8,"7,023元/平"
户型方正，视野开阔，可任意装修，,城中央-青年公社 -城北新区,2室1厅 | 61.56平米 | 东 | 其他 | 高楼层(共33层)  | 板楼,1人关注 / 30天以前发布,39.8,"6,466元/平"
上江北 广厦小区 精装修  标准2室  家具家电  采光好,广厦小区 -上江北,2室1厅 | 55.54平米 | 东北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 22天以前发布,39.6,"7,130元/平"
临港中央 130平大4房，买一层加一层 只需一房的价格哦,临港中央 -临港,3室2厅 | 66.01平米 | 东南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 25天以前发布,42,"6,363元/平"
南岸西区大地坡龙璟台二房出售，看房方便,龙璟台 -南岸西区,2室2厅 | 79平米 | 南 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 24天以前发布,62,"7,849元/平"
正和滨江国际B区 1室2厅 东南,正和滨江国际B区 -中坝,1室2厅 | 66平米 | 东南 | 其他 | 高楼层(共25层)  | 塔楼,0人关注 / 29天以前发布,59,"8,940元/平"
户型方正 采光好，配套设施齐全，交通方便。,华富商业城 -柏溪镇,2室2厅 | 53平米 | 西南 | 其他 | 低楼层(共28层)  | 板塔结合,0人关注 / 19天以前发布,37.8,"7,133元/平"
正两室出售，小区环境优美，交通方便,寅吾阳光新园 -城北新区,2室1厅 | 70平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 24天以前发布,47.6,"6,800元/平"
住家精装修两室，紧挨宜宾县二中附属中 学,远达鹭湖宫二期 -城北新区,2室2厅 | 60.6平米 | 东 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 19天以前发布,55,"9,076元/平"
翠柏小区精装3室采光好，楼层好户型方正，公摊面积小,翠柏小区 -柏溪镇,3室2厅 | 100平米 | 东南 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 20天以前发布,56,"5,600元/平"
户型方正，房东急卖。房子装修带全部家具家电一起出售,河湾苑二期 -翠屏区,2室1厅 | 66.17平米 | 东 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 29天以前发布,48.5,"7,330元/平"
东区小区3室2厅交通便利 小区环境干净舒适,鑫悦华府 -高县,3室2厅 | 104.33平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,61.8,"5,924元/平"
出行方便，户型方正，居住方便舒适.地段好,财富中心 -高县,3室2厅 | 123.6平米 | 南 北 | 其他 | 低楼层(共24层)  | 暂无数据,4人关注 / 一年前发布,56.8,"4,596元/平"
碧水长滩温馨小三房空间利用合理,阳光碧水长滩 -新村,3室1厅 | 82平米 | 东南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 10个月以前发布,53,"6,464元/平"
此房是属于中间楼层，价格不高，适中,塞纳国际三期 -新村,3室2厅 | 97.92平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,70.8,"7,231元/平"
客厅卧室带阳台， 采光好， 户型方正,塞纳国际三期 -新村,3室2厅 | 108平米 | 东北 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,73.8,"6,834元/平"
采纳国际 户型方正 清水房采光好,塞纳国际二期 -新村,3室2厅 | 91平米 | 东南 东 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,60,"6,594元/平"
塞纳国际三房双卫，房东诚心出售,塞纳国际三期 -新村,3室2厅 | 95.97平米 | 东南 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,65,"6,773元/平"
龙投紫云间3-2-1-2 109.00m² 68 万采光通透,龙投紫云间 -南溪区,3室2厅 | 109平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,70,"6,423元/平"
远达央墅小区，大面积上跃。。。,远达第一城 -上江北,4室2厅 | 96.2平米 | 东北 | 毛坯 | 中楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,90,"9,356元/平"
户型方正，楼层低，空间大，视野良好。,远达第一城 -上江北,3室2厅 | 89平米 | 东 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 一年前发布,82,"9,214元/平"
天际上城B区，精装三室两厅双卫，拎包入住,天际上城B区 -南溪区,3室2厅 | 102.37平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,98.8,"9,652元/平"
户型方正，内跃跃层，带子母车位,远达第一城央墅小区 -上江北,5室2厅 | 109平米 | 南 | 其他 | 低楼层(共8层)  | 暂无数据,1人关注 / 7个月以前发布,119,"10,918元/平"
正和美好和居地理位置好，临挨着万达广场,正和美好和居 -南岸东区,3室2厅 | 123平米 | 东南 | 其他 | 低楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,139,"11,301元/平"
此房户型格局好，楼层也好，视野开阔，采光充足,阳光碧水长滩 -新村,3室2厅 | 72平米 | 东南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,51.8,"7,195元/平"
半岛大院清水四房双卫带楼顶花园，看房方便,半岛大院二期 -新村,4室2厅 | 104平米 | 西北 | 其他 | 高楼层(共32层)  | 暂无数据,4人关注 / 一年前发布,108,"10,385元/平"
清水出售，此房户型方正，采光充足，入手即可装修,远达尚城 -上江北,3室2厅 | 125平米 | 西南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,89.2,"7,136元/平"
邦泰国际社区北区精装三室两厅单卫,邦泰国际社区北区 -临港,3室2厅 | 85平米 | 西北 | 其他 | 中楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,92,"10,824元/平"
