标题,开发商,房子信息,发布信息,售价/万,单价
恒大名都 3室2厅 南 北,恒大名都 -盐湖区,3室2厅 | 151.46平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 1天以前发布,86.6,"5,718元/平"
尚东城 3室2厅 东,尚东城 -盐湖区,3室2厅 | 138.5平米 | 东 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 6个月以前发布,95,"6,860元/平"
小区环境优美，自带幼儿园  户型好，南北通透采光好,东方华城 -盐湖区,3室2厅 | 115平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,56.8,"4,940元/平"
锦绣花城北区120平精装88万,锦绣花城北区 -盐湖区,3室2厅 | 120平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,80,"6,667元/平"
黄金水岸步梯中层 精装修 带家具家电拎包入住可以按揭,黄金水岸 -盐湖区,3室2厅 | 129平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,91.7,"7,109元/平"
关铝花园 电梯中层 有本可按揭 精装短住 保养良好,关铝花园 -盐湖区,4室2厅 | 160平米 | 南 北 | 其他 | 中楼层(共12层)  | 暂无数据,1人关注 / 一年前发布,127,"7,938元/平"
锦绣花城南区 3室2厅 南 北,锦绣花城南区 -盐湖区,3室2厅 | 141平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,80,"5,674元/平"
五洲观澜 好楼层 好户型 南北通透 新装未住,五洲观澜 -盐湖区,4室2厅 | 143平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,145,"10,140元/平"
南北通透纯东边户，前后左右都没有遮挡,鑫地阳光城 -盐湖区,3室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,71.8,"5,203元/平"
金税苑 步梯低层四居室 拎包入住 采光巨好 可塑性强,金税苑 -盐湖区,4室2厅 | 135平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,67,"4,963元/平"
禹香苑  精装大三居   步梯高层   能接受的来,禹香苑 -盐湖区,3室2厅 | 137平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,65,"4,745元/平"
外滩玺园小区，小区已经成熟，配套齐全，电梯毛坯,大运外滩玺园 -盐湖区,4室2厅 | 197.98平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 8个月以前发布,159.8,"8,072元/平"
都市绿洲 南风广场旁  步梯好楼层 有本可按揭,都市绿洲 -盐湖区,3室2厅 | 117平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,69.8,"5,966元/平"
五洲观澜 好楼层 好户型 南北通透 新装未住,五洲观澜 -盐湖区,4室2厅 | 143平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,145,"10,140元/平"
现代城，首付15万，精装，进去不用收拾，看房随时，,金世现代城 -盐湖区,3室2厅 | 132平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,7人关注 / 8个月以前发布,59.8,"4,531元/平"
恒大绿洲 3室2厅 南 北,恒大绿洲 -盐湖区,3室2厅 | 97平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,72.8,"7,506元/平"
怡世名邸  电梯好楼层  看房提前联系,怡世名邸 -盐湖区,3室2厅 | 150平米 | 南 北 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 3个月以前发布,84,"5,600元/平"
锦绣花城南区 3室2厅 南 北,锦绣花城南区 -盐湖区,3室2厅 | 141平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,80,"5,674元/平"
居乐苑 逸夫小 旁 大产权 实验 附 近 采光好 南北,居乐苑 -盐湖区,3室2厅 | 126.79平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,64,"5,048元/平"
逸夫金鑫槐东花园步梯中高层大三居南北大通透售价110,金鑫槐东花园 -盐湖区,3室2厅 | 159平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,85.8,"5,397元/平"
五洲观澜 电梯中间楼层 毛坯可以随意装修 可按揭,五洲观澜 -盐湖区,3室2厅 | 120平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,80,"6,667元/平"
首付6个 御庭园电梯中层 一居室 户型方正,御庭园 -盐湖区,1室2厅 | 70平米 | 西 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 1个月以前发布,32,"4,572元/平"
天逸公园旁 五洲观澜电梯高层 三居室 地板已铺,五洲观澜 -盐湖区,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,70,"5,512元/平"
解三旁 电梯中层 三居室 拎包入住 首付9个,御庭园 -盐湖区,3室2厅 | 97平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,1人关注 / 1个月以前发布,46,"4,743元/平"
御景华庭 南北通透大2居拎包入住,御景华庭 -盐湖区,2室2厅 | 98.71平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,95,"9,625元/平"
圣惠路 明珠小区步梯高层 简装两居室 拎包入住,明珠小区 -盐湖区,2室2厅 | 90.2平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,30.8,"3,415元/平"
尚东城电梯高层135平精装仅售82W 房本满2,尚东城 -盐湖区,3室2厅 | 135平米 | 南 北 | 其他 | 高楼层(共14层)  | 暂无数据,6人关注 / 11个月以前发布,78,"5,778元/平"
首付12个 御庭园三居两卫 电梯好楼层 看房方便,御庭园 -盐湖区,3室2厅 | 141平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,58,"4,114元/平"
圣景苑 步梯中层 简装两居室 大产权 首付7个,圣景苑 -盐湖区,2室2厅 | 91平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,35.8,"3,935元/平"
圣惠路 明珠佳园 步梯中层 地暖房 拎包入住 首付12个,明珠佳园 -盐湖区,2室2厅 | 85平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,42,"4,942元/平"
县医院旁 凤凰财富广场电梯中层 简装两居室 满二,凤凰财富广场 -盐湖区,2室2厅 | 80.24平米 | 西 | 简装 | 中楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,42,"5,235元/平"
美林山 4室2厅 南 北,美林山 -盐湖区,4室2厅 | 240平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 4个月以前发布,73.8,"3,075元/平"
东区电梯高层非顶层，复式楼，精装修。,凤凰小区 -盐湖区,4室2厅 | 178平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,6人关注 / 一年前发布,99,"5,562元/平"
东区运中附 近 高层 南北通透 简装拎包住满二可按揭,天宝春沐苑 -盐湖区,3室2厅 | 116平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,55,"4,742元/平"
黄jin水岸一楼带小院，三室两厅两卫,黄金水岸 -盐湖区,3室2厅 | 121平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,9人关注 / 一年前发布,102,"8,430元/平"
梧桐名邸 电梯房158平四室两卫 带家具家电加车位,梧桐名邸 -盐湖区,4室2厅 | 158平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,10人关注 / 一年前发布,105,"6,646元/平"
欧香枫景 步梯低层 满二可按揭 诚心出售 仅 此一套,欧香枫景 -盐湖区,3室2厅 | 130平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,72.8,"5,600元/平"
恒大名都 电梯好楼层 精装 空房 全款 好 按揭能谈,恒大名都 -盐湖区,4室2厅 | 168平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,1人关注 / 3个月以前发布,92.4,"5,500元/平"
黄jin水岸一楼带小院，三室两厅两卫,黄金水岸 -盐湖区,3室2厅 | 121平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,9人关注 / 一年前发布,102,"8,430元/平"
梧桐名邸 电梯房158平四室两卫 带家具家电加车位,梧桐名邸 -盐湖区,4室2厅 | 158平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,10人关注 / 一年前发布,105,"6,646元/平"
外滩首付，身份象征，精装修，观景房，满二可按揭,外滩首府 -盐湖区,3室2厅 | 143.79平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,119,"8,276元/平"
此房有本满二可按揭，业主急售可随时签约，看房方便,星河城南区 -盐湖区,4室1厅 | 177平米 | 南 北 | 其他 | 中楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,115,"6,498元/平"
东区金海湾 复式楼带小院 精装短住 高层买一层一层,广厦金海湾 -盐湖区,3室2厅 | 115平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,3人关注 / 6个月以前发布,140,"12,174元/平"
城市花园小区，三室两厅一厨两卫，户型大通透。,中建城市花园 -盐湖区,3室2厅 | 123平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,73.8,"6,000元/平"
金鑫滨湖一号  临湖观景房  电梯好楼层,金鑫滨湖一号 -盐湖区,3室2厅 | 134.4平米 | 南 北 | 其他 | 中楼层(共21层)  | 板楼,0人关注 / 2个月以前发布,105,"7,813元/平"
毕加索复式 116平精装3室 电梯好楼层 首付仅需低,毕加索 -盐湖区,4室2厅 | 116平米 | 南 北 | 其他 | 中楼层(共27层)  | 塔楼,0人关注 / 一年前发布,87,"7,500元/平"
城市花园 步梯中层 两居室 拎包入住 首付11个,中建城市花园 -盐湖区,2室2厅 | 89平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,55,"6,180元/平"
圣惠桥旁 春天花园步梯好楼层 三居室 拎包入住 可按揭,春天花园 -盐湖区,3室2厅 | 111平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,48.9,"4,406元/平"
学府嘉苑  步梯3层 可免个税 精装两室 满五可按揭,学府嘉园(盐湖区) -盐湖区,2室2厅 | 98平米 | 西 | 精装 | 中楼层(共6层)  | 暂无数据,13人关注 / 一年前发布,58.8,"6,000元/平"
明珠小区步梯一楼 三居室 南北通透 带地下室,明珠小区 -盐湖区,2室2厅 | 92平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,38,"4,131元/平"
圣泽苑 步梯三楼 三居室 拎包入住 首付12万,圣泽苑 -盐湖区,3室2厅 | 106平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,59.8,"5,642元/平"
关公像旁 圣惠小区步梯四层 三居两卫 拎包入住 满二,圣惠小区 -盐湖区,3室2厅 | 125平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 3个月以前发布,56,"4,480元/平"
圣惠路西 桃源公寓步梯高层 三居室 拎包入住,桃源公寓 -盐湖区,3室2厅 | 97平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,43.8,"4,516元/平"
东星广场旁 二郎庙步梯低层 三居室 南北通透 满二,二郎庙商业金街 -盐湖区,3室2厅 | 110平米 | 南 北 | 简装 | 低楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,46.8,"4,255元/平"
天逸公园旁 电梯小高层 四居两卫 南北通透 可按揭,中鑫美景天城 -盐湖区,4室2厅 | 167.12平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,102,"6,104元/平"
城市花园，房东诚心出售，看上了可以直接联系,中建城市花园 -盐湖区,3室2厅 | 134平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,88,"6,568元/平"
涑水街橡树湾小区，有证满二，电梯好楼层,绿美橡树湾 -盐湖区,3室2厅 | 108平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,75,"6,945元/平"
禹都公园旁 外滩玺园 东区 南北通透,大运外滩玺园 -盐湖区,4室2厅 | 160.43平米 | 南 北 | 其他 | 中楼层(共27层)  | 暂无数据,2人关注 / 4个月以前发布,125,"7,792元/平"
五洲观澜精装未住的房子 可按揭,五洲观澜 -盐湖区,3室2厅 | 133.7平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,108,"8,078元/平"
恒大绿洲，3室2卫，有本可按揭，拎包入住，急售急售,恒大绿洲 -盐湖区,3室2厅 | 141.7平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,99.6,"7,029元/平"
怡鑫苑 3室2厅 南 北,怡鑫苑 -盐湖区,3室2厅 | 95.06平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,31.8,"3,346元/平"
明珠佳园 2室2厅 南,明珠佳园 -盐湖区,2室2厅 | 90平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,32.5,"3,612元/平"
名人港湾 电梯中层 毛坯复式楼 采光好手续全 可按揭,名人港湾 -盐湖区,5室3厅 | 214.99平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 3个月以前发布,99,"4,605元/平"
云湖湾，精装三室，拎包入住，可按揭,云鼎云湖湾 -盐湖区,3室2厅 | 138平米 | 南 北 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 8个月以前发布,105,"7,609元/平"
桃源公寓 中建花园  步梯中层 两居室 满二可按揭,桃源公寓 -盐湖区,2室2厅 | 94平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,41.8,"4,447元/平"
五洲观澜 经典户型 南北大通透 四室 户型好,五洲观澜 -盐湖区,4室2厅 | 131平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,115,"8,779元/平"
荟萃小区，东区，成熟，楼层好，精装三室带家具家电,荟萃花园(盐湖区) -盐湖区,3室2厅 | 109.22平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,79.8,"7,307元/平"
盛世雅苑二期 3室2厅 南 北,盛世雅苑二期 -盐湖区,3室2厅 | 123平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,76,"6,179元/平"
锦绣花城北区，三室两厅一厨一卫，大通透,锦绣花城北区 -盐湖区,3室2厅 | 123平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,63.8,"5,187元/平"
盛世雅苑二期 3室2厅 南 北,盛世雅苑二期 -盐湖区,3室2厅 | 123平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,76,"6,179元/平"
泽惠苑 3室2厅 南 北,泽惠苑 -盐湖区,3室2厅 | 138平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,59,"4,276元/平"
春沐苑 步梯低层 可按揭 复式楼 毛坯 万达边运中,天宝春沐苑 -盐湖区,5室2厅 | 250平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,162.8,"6,512元/平"
四季绿城南北通透户型，有证可按揭,四季绿城D区雅园 -盐湖区,3室2厅 | 105平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,70,"6,667元/平"
五洲观澜 好楼层 好户型  精装短住 随时看房,五洲观澜 -盐湖区,4室2厅 | 138平米 | 南 北 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,125,"9,058元/平"
港府花都南北大通透，两卧和客厅都朝南,港府花都 -盐湖区,3室2厅 | 125.6平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,62,"4,937元/平"
空港南区  美林山小区精装短住 诚心售看房有钥匙,美林山 -盐湖区,3室2厅 | 134平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,78.8,"5,881元/平"
空港南区  毛坯三室   南北通透,天尧明珠 -盐湖区,3室2厅 | 139.39平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 2个月以前发布,107,"7,677元/平"
大运外滩玺园 4室2厅 南 北,大运外滩玺园 -盐湖区,4室2厅 | 157平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,1人关注 / 4个月以前发布,93,"5,924元/平"
盐湖金座 南北大通透 电梯四居室 改善首  选,盐湖金座 -盐湖区,4室2厅 | 234平米 | 南 北 | 其他 | 低楼层(共21层)  | 暂无数据,0人关注 / 4个月以前发布,188,"8,035元/平"
沃尔玛跟前 金鑫学府嘉园 经典2+1户型 可按揭,学府嘉园(盐湖区) -盐湖区,3室2厅 | 114.93平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,12人关注 / 一年前发布,60,"5,221元/平"
学苑花都，南风鑫都汇。电梯好楼层，精装。,金鑫金都汇 -盐湖区,1室1厅 | 45平米 | 北 | 精装 | 中楼层(共19层)  | 暂无数据,0人关注 / 22天以前发布,28.6,"6,356元/平"
东兴卡纳溪谷 南北通透电梯中层  有本可按揭 看房方便,东星卡纳溪谷 -盐湖区,4室1厅 | 177.9平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 20天以前发布,118,"6,633元/平"
空港南区~哈佛家园 有本满二可按揭 朝南户型 带地下室,哈佛家园 -盐湖区,1室1厅 | 51平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 20天以前发布,22,"4,314元/平"
非 常空间 保养良好 拎包入住 适合陪读 过度,非常空间小区 -盐湖区,1室1厅 | 46平米 | 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,14,"3,044元/平"
阳光庄园 1室1厅 南 北,阳光庄园 -盐湖区,1室1厅 | 65平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,16,"2,462元/平"
全屋壁布，装修崭新，急售！！！！,领秀城 -盐湖区,1室1厅 | 42平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 11天以前发布,22,"5,239元/平"
恒大绿洲 2室2厅 南,恒大绿洲 -盐湖区,2室2厅 | 93.53平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,62,"6,629元/平"
华源豪庭 电梯中层 毛坯两室可 改 三室 可按揭,华源豪庭北区 -盐湖区,2室2厅 | 99平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,3人关注 / 9个月以前发布,65,"6,566元/平"
港府名都 电梯3室 单价5千多 钥匙看房 采光好,港府名都 -盐湖区,3室2厅 | 110平米 | 南 | 其他 | 中楼层(共25层)  | 板塔结合,1人关注 / 3个月以前发布,66,"6,000元/平"
外滩玺园 电梯中层 有证满二 可按揭 南北大通透,大运外滩玺园 -盐湖区,4室2厅 | 159平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,127,"7,988元/平"
户型南北通透   采光好       价格低,万象华城 -盐湖区,3室2厅 | 111.48平米 | 东 西 | 其他 | 高楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,44.8,"4,019元/平"
晋府壹号 3室2厅 南 北,晋府壹号 -盐湖区,3室2厅 | 119平米 | 南 北 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,81.8,"6,874元/平"
金碧苑，中间楼层，部分家具家电，地下室,金碧苑 -盐湖区,2室2厅 | 113.76平米 | 东 | 其他 | 高楼层(共4层)  | 板楼,12人关注 / 一年前发布,33,"2,901元/平"
急售！精装新房，南北通透，三居室，可按揭，价格可谈,尚上府邸 -盐湖区,3室2厅 | 109平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,5人关注 / 8个月以前发布,63.8,"5,854元/平"
万象华城  两居室  生活方便  交通便利,万象华城 -盐湖区,2室1厅 | 78平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,5人关注 / 一年前发布,30,"3,847元/平"
晋府壹号，精装修三房，景观无 敌,晋府壹号 -盐湖区,3室2厅 | 114.98平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,94,"8,176元/平"
急售！晋府壹号，135平南北大通透，明厨明卫。,晋府壹号 -盐湖区,3室2厅 | 135平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,1人关注 / 8个月以前发布,94.5,"7,000元/平"
晋府壹号，南北通透，中间楼层，三室两卫,晋府壹号 -盐湖区,3室2厅 | 138平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,98,"7,102元/平"
拎包入住 满二可按揭  装修保养好 年轻人过度选择,学府嘉园(盐湖区) -盐湖区,2室2厅 | 97平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 11个月以前发布,55,"5,671元/平"
东上水漾 步梯中层 精装三室两卫 带买的车位地下室,东上水漾佳苑 -盐湖区,3室2厅 | 121.75平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,59.8,"4,912元/平"
小区环境很不错   精装修拎包入住,美林山 -盐湖区,3室2厅 | 113.88平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,72.8,"6,393元/平"
星河南区，南北大通透，三室精装未住，可按揭,星河城南区 -盐湖区,3室2厅 | 113平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,84.8,"7,505元/平"
黄 金水岸旁捡漏房 大两室  双卧朝南,天泰邑北苑 -盐湖区,2室2厅 | 89.87平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,52.8,"5,876元/平"
禹香苑 步梯高层 有证满二可按揭，首付仅需17万,禹香苑 -盐湖区,3室2厅 | 129平米 | 北 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,52.8,"4,094元/平"
五洲观澜 三室1卫 中高层 可按揭 随时看,五洲观澜 -盐湖区,3室2厅 | 123平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 9个月以前发布,81.8,"6,651元/平"
空港南区   精装2室   看房方便  可按揭,东湖春天 -盐湖区,2室2厅 | 80平米 | 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,41.8,"5,225元/平"
东星卡纳溪谷 3室2厅 南 北,东星卡纳溪谷 -盐湖区,3室2厅 | 148平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,95,"6,419元/平"
电梯中层 东把边户 全明户型  马上满二 有学qu,美林山 -盐湖区,3室2厅 | 127.44平米 | 南 北 | 其他 | 中楼层(共22层)  | 板楼,0人关注 / 4个月以前发布,65,"5,101元/平"
全明户型，能按揭带地下室 随时看房 南北大通透,铂郡东方 -盐湖区,3室2厅 | 139平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,76.5,"5,504元/平"
水景大城景观为设计主题突显皇，家园林特色,鑫地理想城 -盐湖区,3室2厅 | 146平米 | 南 北 | 其他 | 中楼层(共24层)  | 板楼,1人关注 / 5个月以前发布,95,"6,507元/平"
沃尔玛旁学府嘉园电梯中层精装128平有钥匙看房方便,学府嘉园(盐湖区) -盐湖区,3室2厅 | 128.68平米 | 东北 | 其他 | 中楼层(共13层)  | 暂无数据,5人关注 / 一年前发布,89.8,"6,979元/平"
步梯低层  有本满二可按揭  交通便利  入手门槛低,香格里拉绿谷 -盐湖区,3室2厅 | 130平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,2人关注 / 11个月以前发布,57,"4,385元/平"
圣惠嘉园 3室2厅 南 北,圣惠嘉园 -盐湖区,3室2厅 | 130.4平米 | 南 北 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 5个月以前发布,66,"5,062元/平"
四季绿城D区雅园 3室2厅 南 北,四季绿城D区雅园 -盐湖区,3室2厅 | 102平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,52.8,"5,177元/平"
河东金叶小区 3室2厅 南 北,河东金叶小区 -盐湖区,3室2厅 | 138平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,44.8,"3,247元/平"
大产权，三居室，简装，首付8万左右,德新小区 -盐湖区,3室2厅 | 105.18平米 | 东 西 | 其他 | 高楼层(共6层)  | 暂无数据,21人关注 / 一年前发布,29.8,"2,834元/平"
金审嘉苑 2室2厅 南,金审嘉苑 -盐湖区,2室2厅 | 97.72平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,62.8,"6,427元/平"
晋府壹号 3室2厅 南,晋府壹号 -盐湖区,3室2厅 | 116平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,3人关注 / 4个月以前发布,78,"6,725元/平"
电梯房  大暖 户型方正 南北通透,云天格调 -盐湖区,2室2厅 | 77.6平米 | 南 北 | 其他 | 中楼层(共8层)  | 板塔结合,1人关注 / 一年前发布,31.8,"4,098元/平"
晋府壹号，南北通透，中间楼层，三室两卫,晋府壹号 -盐湖区,3室2厅 | 138平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,98,"7,102元/平"
急售！晋府壹号，135平南北大通透，明厨明卫。,晋府壹号 -盐湖区,3室2厅 | 135平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,1人关注 / 8个月以前发布,94.5,"7,000元/平"
全明户型双卫  南北通透   户型方正   采光好,铂郡东方 -盐湖区,3室2厅 | 139.47平米 | 南 北 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 4个月以前发布,75.8,"5,435元/平"
晋府壹号，电梯凤凰层，南北通透，视野开阔,晋府壹号 -盐湖区,3室2厅 | 145平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,96,"6,621元/平"
电梯好楼层  全阳户型   采光好,铂郡东方 -盐湖区,3室2厅 | 137平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 7个月以前发布,76.8,"5,606元/平"
此房电梯小高层 正常首付 户型很好 可按揭 可全款,尚上府邸 -盐湖区,2室2厅 | 81.18平米 | 南 北 | 其他 | 高楼层(共15层)  | 暂无数据,0人关注 / 9个月以前发布,42.8,"5,273元/平"
橡树湾 三楼 毛坯 三室两卫 南北通透 有地下室,绿美橡树湾 -盐湖区,3室2厅 | 140平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,75.5,"5,393元/平"
河东故事 3室2厅 南 北,河东故事 -盐湖区,3室2厅 | 141平米 | 南 北 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 3个月以前发布,108,"7,660元/平"
公园旁，大产权，绿化好，成熟小区,东湖春天 -盐湖区,3室1厅 | 116.44平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,56,"4,810元/平"
带小院，带地下室，可以按揭，南北通透。,圣惠嘉园 -盐湖区,3室2厅 | 108平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,2人关注 / 7个月以前发布,65,"6,019元/平"
