标题,开发商,房子信息,发布信息,售价/万,单价
清河庄园精装修全屋暖气拎包入住中间楼层税费低,清河庄园 -樊城东区,3室2厅 | 108.53平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 14天以前发布,99,"9,122元/平"
南北通透 ，户型方正，低公摊，停车方便,公园一号 -襄州区,2室1厅 | 84.45平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,41,"4,855元/平"
房子满五唯一，采光充足楼层好 配套设施齐全。,劳动就业管理局家属院 -襄城区,3室2厅 | 108.29平米 | 北 南 | 精装 | 高楼层(共6层)  | 暂无数据,10人关注 / 一年前发布,95,"8,773元/平"
万达广场商圈通透户型视野开阔紫贞公园火车站便利出行,中原花园小区 -樊城东区,3室2厅 | 136.54平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,106,"7,764元/平"
东方新城大三室 满二 南北方向 两梯两户 户型好,东方新城 -襄州区,3室1厅 | 123.02平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板楼,4人关注 / 9个月以前发布,81,"6,585元/平"
襄州区航空路电务处三室两厅房子,电务处家属院 -襄州区,3室2厅 | 96.15平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,73,"7,593元/平"
急售！！国色天襄A区，满2年，毛坯，楼层好,国色天襄A区 -樊城西区,3室2厅 | 124.3平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,15人关注 / 8个月以前发布,93,"7,482元/平"
新5中旁，国色天襄，满2年，精装3房，拎包入住,国色天襄C区 -樊城西区,3室2厅 | 132.66平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,113,"8,519元/平"
城圈少有的花园洋房.前后有院.停车方便.,襄阳华府 -襄城区,3室2厅 | 133.5平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,1人关注 / 5个月以前发布,194,"14,532元/平"
骧龙国际一期碧桂园旁毛坯大三室 边户通透三开间朝南,君临山 -襄城区,3室2厅 | 132.63平米 | 南 | 其他 | 低楼层(共15层)  | 塔楼,0人关注 / 3个月以前发布,126,"9,501元/平"
襄州区财政局家属院  院内有球场食堂 绿化好 停车免费,襄州区财政局家属院 -襄州区,2室2厅 | 88.28平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,15人关注 / 一年前发布,55,"6,231元/平"
风和园暖气房，小区环境优美，出行方便,风和园 -襄州区,3室2厅 | 123.74平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,105,"8,486元/平"
航空路民发英伦华府 怡美家园 两室采光好,怡美家园 -襄州区,2室1厅 | 79.68平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,63.5,"7,970元/平"
襄轴家园 3室2厅 东 东南 南,襄轴家园 -樊城西区,3室2厅 | 138.86平米 | 东 东南 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,6人关注 / 一年前发布,118,"8,498元/平"
毛坯满二唯一， 业主急售 随时可签,国色天襄C区 -樊城西区,2室2厅 | 102.97平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,24人关注 / 6个月以前发布,76.8,"7,459元/平"
恒大翡翠珑庭旁三室电梯房，南北通透采光好,方圆名城 -樊城西区,3室2厅 | 110.15平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,4人关注 / 8个月以前发布,112,"10,168元/平"
鱼梁洲 单位家属院 诚心出售 看房方便,鱼梁洲经济开发区管委会家属院 -鱼梁洲,2室2厅 | 107.45平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 7个月以前发布,75,"6,980元/平"
大门口位置楼层好，视野宽阔，出行方便,东津世纪城8区新外滩 -东津区,3室2厅 | 102.03平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,85,"8,331元/平"
鱼梁洲 单位家属院 诚心出售 看房方便,鱼梁洲经济开发区管委会家属院 -鱼梁洲,2室2厅 | 107.45平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 7个月以前发布,75,"6,980元/平"
襄轴家园 3室2厅 东 东南 南,襄轴家园 -樊城西区,3室2厅 | 138.86平米 | 东 东南 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,6人关注 / 一年前发布,118,"8,498元/平"
万达广场商圈通透户型视野开阔紫贞公园火车站便利出行,中原花园小区 -樊城东区,3室2厅 | 136.54平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,106,"7,764元/平"
东方新城大三室 满二 南北方向 两梯两户 户型好,东方新城 -襄州区,3室1厅 | 123.02平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板楼,4人关注 / 9个月以前发布,81,"6,585元/平"
襄州区航空路电务处三室两厅房子,电务处家属院 -襄州区,3室2厅 | 96.15平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,73,"7,593元/平"
风和园暖气房，小区环境优美，出行方便,风和园 -襄州区,3室2厅 | 123.74平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,105,"8,486元/平"
城圈少有的花园洋房.前后有院.停车方便.,襄阳华府 -襄城区,3室2厅 | 133.5平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,1人关注 / 5个月以前发布,194,"14,532元/平"
襄州区财政局家属院  院内有球场食堂 绿化好 停车免费,襄州区财政局家属院 -襄州区,2室2厅 | 88.28平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,15人关注 / 一年前发布,55,"6,231元/平"
民发商圈 襄州一中对  面通透三房拎包入住,电务处家属院 -襄州区,3室2厅 | 93.24平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,73.5,"7,883元/平"
新5中旁，国色天襄，满2年，精装3房，拎包入住,国色天襄C区 -樊城西区,3室2厅 | 132.66平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,113,"8,519元/平"
急售！！国色天襄A区，满2年，毛坯，楼层好,国色天襄A区 -樊城西区,3室2厅 | 124.3平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,15人关注 / 8个月以前发布,93,"7,482元/平"
此房一楼带院，采光通风好，适合养花，晒太阳,鹿鸣岛花园龙行天下 -鱼梁洲,2室1厅 | 85.89平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,1人关注 / 5个月以前发布,90,"10,479元/平"
精装修 满2年税费少 业主诚意出售,学府佳园 -樊城西区,3室2厅 | 130.85平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,102,"7,796元/平"
此房满五唯一，全屋家具家电，小三房,瑞源小区 -樊城西区,3室1厅 | 76.47平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,17人关注 / 一年前发布,57,"7,454元/平"
恒大翡翠华庭珑庭旁 电梯小区  地段好朝向好采光好,方圆名城 -樊城西区,2室1厅 | 83.77平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,18人关注 / 一年前发布,80.9,"9,658元/平"
国色天香B区优质大三房南北通透 有车位一起更优惠,国色天襄B区 -樊城西区,3室2厅 | 135.74平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,19人关注 / 一年前发布,115.8,"8,532元/平"
绿地香庭公馆 毛坯四房 采光较好  俯瞰小区花园,绿地中央广场香庭公馆 -樊城西区,4室2厅 | 143.8平米 | 东南 | 其他 | 中楼层(共33层)  | 板塔结合,5人关注 / 11个月以前发布,140,"9,736元/平"
房本满二 毛坯三房 视野开阔 采光充足 小区环境好,东津世纪城12区花漫里 -东津区,3室2厅 | 116.17平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,78,"6,715元/平"
沃尔玛旁商品房 朝南户型 可看江景,钱塘100 -樊城西区,3室1厅 | 125.78平米 | 西南 | 其他 | 高楼层(共25层)  | 塔楼,0人关注 / 10天以前发布,116,"9,223元/平"
沃尔玛商圈，小区已改造停车方便，精装可拎包直接入住,三六一一生活小区 -樊城西区,4室2厅 | 169.23平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,110,"6,501元/平"
襄阳府商圈四房，楼层好，房东诚心出售,汉江梦御府 -樊城西区,4室2厅 | 130.61平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,116,"8,882元/平"
万紫千红商住楼 3室2厅 南,万紫千红商住楼 -樊城西区,3室2厅 | 126平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 10天以前发布,110,"8,731元/平"
现房满2年，毛坯，可任意装修，视野无遮挡,襄轴家园 -樊城西区,3室2厅 | 94.11平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 10天以前发布,91,"9,670元/平"
此房适合刚需过度型家庭，户型小，楼层好，采光好,三六一一生活小区 -樊城西区,3室1厅 | 87.55平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,71,"8,110元/平"
房子精装修，可拎包入住，省去装修的时间和费用,学府佳园 -樊城西区,3室2厅 | 142.98平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,130,"9,093元/平"
楼层好 毛坯 可随意改造   视野开阔 采光充足,东津世纪城16区天境台 -东津区,3室2厅 | 126.36平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,94.7,"7,495元/平"
汉江梦御府 毛坯低楼层48中旁,汉江梦御府 -樊城西区,4室1厅 | 130.61平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,113,"8,652元/平"
万紫千红精装三室诚意出售，户型方正采光好,万紫千红商住楼 -樊城西区,3室1厅 | 120.56平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,107,"8,876元/平"
二汽悦活荟 和信北郡89平毛坯两室 电梯洋房 急售,和信北郡 -高新区,2室2厅 | 89.5平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,44,"4,917元/平"
沃尔玛 汉水锦苑 三室两厅两卫 诚心出售,汉水锦苑 -樊城西区,3室2厅 | 115.16平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,1人关注 / 2个月以前发布,118,"10,247元/平"
火车站圈 总价低 楼层好 房主诚心出售,铁路分局二院住宅二区 -樊城东区,2室1厅 | 49.43平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,38,"7,688元/平"
中原花园 电梯三房 精装修 看房方便有钥匙,中原花园小区 -樊城东区,3室1厅 | 122.89平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,5人关注 / 5个月以前发布,97,"7,894元/平"
大三室 任意装 税少 业主很诚心卖,东津世纪城15区上和院 -东津区,3室2厅 | 122.55平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,2人关注 / 2个月以前发布,76,"6,202元/平"
山水华府玫瑰园一楼带前后花园，大三房，阔绰三居,山水华府 -襄城区,3室2厅 | 138.24平米 | 南 | 毛坯 | 低楼层(共10层)  | 板楼,6人关注 / 11个月以前发布,190,"13,745元/平"
公摊少单位家属院，37，视野宽阔，采光充足，交通便利,中心商场家属院 -樊城东区,3室2厅 | 97.19平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,78,"8,026元/平"
此房满五唯一，党校旁边，地理位置优越，交通便利,利民2公寓 -襄城区,3室2厅 | 142.57平米 | 南 北 | 其他 | 高楼层(共8层)  | 板塔结合,0人关注 / 3个月以前发布,120,"8,417元/平"
东湖国际 二汽转盘电梯房 大三房 视野好,东湖国际花园 -襄州区,3室2厅 | 156.68平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,9人关注 / 一年前发布,87.8,"5,604元/平"
长征路 精装小三室，好楼层 停车方便,红光路物资局家属院 -樊城东区,3室1厅 | 65.78平米 | 南 北 | 其他 | 中楼层(共4层)  | 板塔结合,1人关注 / 8个月以前发布,54,"8,210元/平"
毛纺小区襄棉家属院三室的好房出售,毛纺小区襄棉家属院 -樊城东区,3室1厅 | 81.19平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,65,"8,006元/平"
长虹北路江山北路中铁电气化 毛坯大两室，格局方正,中铁电气化局集团二公司江山北路小区 -樊城东区,2室1厅 | 90.74平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,5人关注 / 10个月以前发布,50,"5,511元/平"
此房为小区南排 视野开阔 采光充足,东津世纪城16区天境台 -东津区,3室2厅 | 121.03平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,4人关注 / 一年前发布,85,"7,024元/平"
满五唯一，后期税费低，新华市场旁 停车方便,新华佳园 -樊城东区,4室2厅 | 155.27平米 | 东 西 | 精装 | 中楼层(共8层)  | 板塔结合,7人关注 / 一年前发布,110,"7,085元/平"
长征路工贸二院  37中+长征路小,工贸二院 -樊城东区,2室2厅 | 96.33平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,89,"9,240元/平"
鼎府精装未入住。婚房装修，楼层好。湖景房,鼎府 -襄州区,3室2厅 | 109.19平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,16人关注 / 一年前发布,94.5,"8,655元/平"
襄城恒大名都一期 精装三室朝南 配套齐全适宜居住改善,恒大名都 -襄城区,3室2厅 | 128.87平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,1人关注 / 1个月以前发布,139.5,"10,825元/平"
就医购物出行都很方便。华洋堂商圈。,长征路老人大家属院 -樊城东区,3室2厅 | 87.13平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,58,"6,657元/平"
人民广场星火路，小两室一厅，出售,长征路襄江商场家属院 -樊城东区,2室1厅 | 54.87平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,4人关注 / 一年前发布,38.8,"7,072元/平"
接受公积金贷款，毛纺花园大3房，全体采光好，双阳台,毛纺花园 -樊城东区,3室2厅 | 120.69平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,93,"7,706元/平"
此房是满五二套房，到江边也近。,樊城区政府家属院炮铺街6号 -樊城东区,2室2厅 | 100.43平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,4人关注 / 7个月以前发布,85,"8,464元/平"
长虹路沃尔玛2室，首付3层，采光好。诚心出售看房方便,长虹新村 -樊城东区,2室2厅 | 82.6平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,82,"9,928元/平"
航空路碧桂园精装三室，证件齐全 满两年，带车位。,襄阳碧桂园芳邻 -襄州区,3室1厅 | 105.02平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,98,"9,332元/平"
航空路     百洋欧典     看江好房,百洋欧典 -襄州区,3室2厅 | 118.56平米 | 南 东南 | 其他 | 中楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,92,"7,760元/平"
视野开阔，交通便利，户型方正，南bei通透,统计局家属院 -襄城区,3室2厅 | 133.07平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,125,"9,394元/平"
20中 单位家属院，入户电梯花园，离校200米,襄北监狱休干所 -樊城东区,4室2厅 | 143.72平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,7人关注 / 10个月以前发布,158,"10,994元/平"
春园东路天润未来城大3房精装修采光视野好,天润未来城北区 -襄州区,3室2厅 | 106.96平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,94,"8,789元/平"
三房边户大三房，  带大花园，小区前排采光好满二,东津世纪城14区崇文府 -东津区,3室2厅 | 116.25平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,4人关注 / 4个月以前发布,96,"8,259元/平"
湖景好，实用三房，户型方正，楼层视野好,恒大名都 -襄城区,3室1厅 | 129.74平米 | 南 北 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 3个月以前发布,145,"11,177元/平"
经晨红星城市花园 毛坯大三房 低楼层,经晨红星城市花园 -襄州区,3室2厅 | 130.38平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 一年前发布,88,"6,750元/平"
襄州五中旁，大四房看房方便，诚心出售,锦都汇 -襄州区,4室2厅 | 139.35平米 | 东南 | 精装 | 低楼层(共29层)  | 板塔结合,2人关注 / 一年前发布,125,"8,971元/平"
东津世纪城127平毛坯 可随意装修 业主诚心出售,东津世纪城14区崇文府 -东津区,3室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,20人关注 / 8个月以前发布,85,"6,693元/平"
精装小三室，产证满两年，装修不过时,海容骧龙国际 -襄城区,3室2厅 | 117.1平米 | 南 北 | 其他 | 高楼层(共30层)  | 板塔结合,2人关注 / 4个月以前发布,128,"10,931元/平"
二桥江边干休所 税费低 好楼层,长虹南路10号  -襄城区,2室1厅 | 71.03平米 | 南 北 | 其他 | 中楼层(共4层)  | 板塔结合,0人关注 / 1个月以前发布,61,"8,588元/平"
带一个美丽天台的顶楼，买一层得两层，晚上可以看星星,襄城人大家属院 -襄城区,3室2厅 | 137平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,17人关注 / 一年前发布,121.5,"8,869元/平"
檀溪主路  出行方便，光线好 小区环境好,名仕家天下 -襄城区,3室2厅 | 123.22平米 | 南 | 其他 | 中楼层(共13层)  | 板塔结合,8人关注 / 10个月以前发布,125,"10,145元/平"
东风电器厂前山成色新户型光线好依山产权清晰,东风电器厂家属院 -襄城区,2室2厅 | 82.16平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,52,"6,330元/平"
房子毛坯房可以根据自己的喜好装修，楼层好，税费少。,山水家园 -襄城区,3室1厅 | 117.86平米 | 东南 | 其他 | 中楼层(共24层)  | 塔楼,1人关注 / 1个月以前发布,135,"11,455元/平"
正贤聚大厦 1室1厅 东南,正贤聚大厦 -樊城东区,1室1厅 | 69.24平米 | 东南 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 1天以前发布,52,"7,511元/平"
天元世纪城焦家台供销社家属院107平米小三室诚心出售,焦家台供销社 -樊城东区,3室1厅 | 107.84平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,6人关注 / 6个月以前发布,75,"6,955元/平"
天元四季城商圈人民路教育集团人民广场公园市医院沿江,中房永安商住楼 -樊城东区,3室2厅 | 119.42平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 6个月以前发布,81,"6,783元/平"
急售天元四季城旁  精装2室45万 满五唯一税费低,永安桥社区 -樊城东区,2室1厅 | 57.74平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,62人关注 / 一年前发布,38,"6,582元/平"
高新外国语院内 停车方便户型方正通风采光好,襄阳市工业干部学校 -樊城东区,3室2厅 | 115.02平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,78,"6,782元/平"
人民广场星火路，小两室一厅，出售,长征路襄江商场家属院 -樊城东区,2室1厅 | 54.87平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,4人关注 / 一年前发布,38.8,"7,072元/平"
此房是满五二套房，到江边也近。,樊城区政府家属院炮铺街6号 -樊城东区,2室2厅 | 100.43平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,4人关注 / 7个月以前发布,85,"8,464元/平"
就医购物出行都很方便。华洋堂商圈。,长征路老人大家属院 -樊城东区,3室2厅 | 87.13平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,58,"6,657元/平"
毛纺小区襄棉家属院三室的好房出售,毛纺小区襄棉家属院 -樊城东区,3室1厅 | 81.19平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,65,"8,006元/平"
公摊少单位家属院，37，视野宽阔，采光充足，交通便利,中心商场家属院 -樊城东区,3室2厅 | 97.19平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,78,"8,026元/平"
此房满五唯一，党校旁边，地理位置优越，交通便利,利民2公寓 -襄城区,3室2厅 | 142.57平米 | 南 北 | 其他 | 高楼层(共8层)  | 板塔结合,0人关注 / 3个月以前发布,120,"8,417元/平"
航空路碧桂园精装三室，证件齐全 满两年，带车位。,襄阳碧桂园芳邻 -襄州区,3室1厅 | 105.02平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,98,"9,332元/平"
航空路     百洋欧典     看江好房,百洋欧典 -襄州区,3室2厅 | 118.56平米 | 南 东南 | 其他 | 中楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,92,"7,760元/平"
视野开阔，交通便利，户型方正，南bei通透,统计局家属院 -襄城区,3室2厅 | 133.07平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,125,"9,394元/平"
民发世界城精装复式四房 火火火火,民发世界城学院派 -襄州区,4室3厅 | 90.21平米 | 东南 | 其他 | 高楼层(共32层)  | 板塔结合,1人关注 / 5个月以前发布,145,"16,074元/平"
山水檀溪山水华府百合园临江可望江，毛坯三房满两年,山水华府 -襄城区,3室2厅 | 113.89平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 板楼,5人关注 / 6个月以前发布,135,"11,854元/平"
商贸城社区，满五，时代天街商圈,商贸城社区 -襄州区,5室2厅 | 118.26平米 | 南 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,55,"4,651元/平"
襄城区凤雏大桥下，毛坯大三房，产权清晰无抵押无纠纷,北京公馆 -襄城区,3室2厅 | 130.66平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,3人关注 / 4个月以前发布,150,"11,481元/平"
大庆东路中百楼上 装修好 户型好,阳光世纪城 -樊城东区,3室2厅 | 116.96平米 | 南 北 | 其他 | 高楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,108,"9,234元/平"
南向前排 采光无遮挡视野好 精装拎包入住,东津世纪城16区天境台 -东津区,3室2厅 | 102.12平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,86,"8,422元/平"
临吾悦商圈 出门42中花园小区 2梯三户精装 好楼层边户,红星国际法兰郡 -樊城东区,3室2厅 | 134.84平米 | 南 北 | 简装 | 高楼层(共31层)  | 板楼,11人关注 / 7个月以前发布,124,"9,197元/平"
三房边户大三房，  带大花园，小区前排采光好满二,东津世纪城14区崇文府 -东津区,3室2厅 | 116.25平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,4人关注 / 4个月以前发布,96,"8,259元/平"
鼎府精装未入住。婚房装修，楼层好。湖景房,鼎府 -襄州区,3室2厅 | 109.19平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,16人关注 / 一年前发布,94.5,"8,655元/平"
湖景好，实用三房，户型方正，楼层视野好,恒大名都 -襄城区,3室1厅 | 129.74平米 | 南 北 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 3个月以前发布,145,"11,177元/平"
此房为小区南排 视野开阔 采光充足,东津世纪城16区天境台 -东津区,3室2厅 | 121.03平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,4人关注 / 一年前发布,85,"7,024元/平"
房子在襄州区中医院后面，与水星台相邻。,襄州区卫生局樊城生活区 -樊城东区,4室1厅 | 123.14平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,76,"6,172元/平"
东湖国际 二汽转盘电梯房 大三房 视野好,东湖国际花园 -襄州区,3室2厅 | 156.68平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,9人关注 / 一年前发布,87.8,"5,604元/平"
山水华府玫瑰园一楼带前后花园，大三房，阔绰三居,山水华府 -襄城区,3室2厅 | 138.24平米 | 南 | 毛坯 | 低楼层(共10层)  | 板楼,6人关注 / 11个月以前发布,190,"13,745元/平"
长征路 精装小三室，好楼层 停车方便,红光路物资局家属院 -樊城东区,3室1厅 | 65.78平米 | 南 北 | 其他 | 中楼层(共4层)  | 板塔结合,1人关注 / 8个月以前发布,54,"8,210元/平"
毛纺小区襄棉家属院三室的好房出售,毛纺小区襄棉家属院 -樊城东区,3室1厅 | 81.19平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,65,"8,006元/平"
公摊少单位家属院，37，视野宽阔，采光充足，交通便利,中心商场家属院 -樊城东区,3室2厅 | 97.19平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,78,"8,026元/平"
此房满五唯一，党校旁边，地理位置优越，交通便利,利民2公寓 -襄城区,3室2厅 | 142.57平米 | 南 北 | 其他 | 高楼层(共8层)  | 板塔结合,0人关注 / 3个月以前发布,120,"8,417元/平"
航空路碧桂园精装三室，证件齐全 满两年，带车位。,襄阳碧桂园芳邻 -襄州区,3室1厅 | 105.02平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,98,"9,332元/平"
航空路     百洋欧典     看江好房,百洋欧典 -襄州区,3室2厅 | 118.56平米 | 南 东南 | 其他 | 中楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,92,"7,760元/平"
视野开阔，交通便利，户型方正，南bei通透,统计局家属院 -襄城区,3室2厅 | 133.07平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,125,"9,394元/平"
襄城恒大名都一期 精装三室朝南 配套齐全适宜居住改善,恒大名都 -襄城区,3室2厅 | 128.87平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,1人关注 / 1个月以前发布,139.5,"10,825元/平"
此房满五唯一，环境幽静，小区优美,公园一号 -襄州区,2室2厅 | 91平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,8人关注 / 一年前发布,55.5,"6,099元/平"
檀溪主路 出行方便，光线好 小区环境好,名仕家天下 -襄城区,3室2厅 | 123.11平米 | 南 | 其他 | 中楼层(共13层)  | 塔楼,0人关注 / 4个月以前发布,129,"10,479元/平"
鑫鼎花园 大三室 价格低  停车方便,鑫鼎花园 -樊城东区,3室2厅 | 150.65平米 | 南 北 | 其他 | 高楼层(共8层)  | 板楼,5人关注 / 6个月以前发布,95,"6,307元/平"
精装修未入住 昭明  配套成熟 院内停车方便,老五中家属院东院 -襄城区,3室2厅 | 94.17平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,131.5,"13,965元/平"
民发商圈小区绿化面积大出门清河绿化带，钓鱼散步美,民发世界城浅水湾 -襄州区,4室2厅 | 141.43平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 4个月以前发布,130,"9,192元/平"
四中义教部旁昌隆小区4楼三室生活方便院子可停车,昌隆小区 -襄城区,3室2厅 | 111.08平米 | 东南 | 简装 | 中楼层(共7层)  | 板塔结合,18人关注 / 一年前发布,110,"9,903元/平"
此房低楼层，有多出一间卧室，还带有露台。,毛纺小区华盛公寓 -樊城东区,2室1厅 | 71.4平米 | 南 北 | 其他 | 低楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,73,"10,225元/平"
航空路主干道 民发商圈 配套齐全 满二  百洋欧典精装,百洋欧典 -襄州区,3室2厅 | 131.75平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,4人关注 / 一年前发布,120,"9,109元/平"
