标题,开发商,房子信息,发布信息,售价/万,单价
高铁站  绿地云水谣  四室 带车位 带储藏室 南北通透,绿地云水谣 -高铁新区,4室2厅 | 151.67平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 塔楼,0人关注 / 7天以前发布,159,"10,484元/平"
万达旁 万岳华府 松园小区  附属医院 淘你欢购物,万岳华府 -万达广场,3室2厅 | 96.22平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,4人关注 / 一年前发布,140,"14,550元/平"
仁和佳园 2室2厅 精装修 中间楼层 集暖 看房方便,仁和佳园 -宝龙城,2室2厅 | 86.14平米 | 南 | 其他 | 低楼层(共15层)  | 板楼,0人关注 / 11个月以前发布,124.5,"14,454元/平"
市立医院老街爱琴海 云水谣 精装三室两卫 落地窗,绿地云水谣 -高铁新区,3室2厅 | 130.23平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,6人关注 / 一年前发布,122,"9,369元/平"
环山路 白马石花园 两室一厅朝阳带车位配房,白馬石花園 -宝龙城,3室2厅 | 153.2平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,228,"14,883元/平"
东岳大街 中南世纪城锦城 免大税 毛坯 市政府上御碑楼,中南▪世纪锦城 -国际会展中心,3室2厅 | 101平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 8个月以前发布,143,"14,159元/平"
电视台对过 单位房 南北通风 采光好 楼间距大·,岱道庵路560号 -宝龙城,2室2厅 | 67平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,105,"15,672元/平"
荣疗东路伟业苑小区 集暖好楼层 三室朝阳 双证好停车,伟业苑 -火车站,3室2厅 | 129平米 | 南 | 精装 | 低楼层(共4层)  | 暂无数据,2人关注 / 8个月以前发布,135.9,"10,535元/平"
贤德苑望岳b区3楼，上下楼不累，三室朝阳，即买即住,望岳B区贤德苑 -火车站,3室2厅 | 117平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,164,"14,018元/平"
云水谣三期  洋房大四居户型   南北通透 有钥匙,绿地云水谣三期 -高铁新区,5室2厅 | 151.44平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 10天以前发布,165,"10,896元/平"
仁和佳园 2室2厅 南,仁和佳园 -宝龙城,2室2厅 | 86.17平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 11天以前发布,99,"11,489元/平"
高铁安居小区 2室2厅 南 北,高铁安居小区 -高铁新区,2室2厅 | 93平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 4天以前发布,56,"6,022元/平"
光彩大市场好地段 做生意的好房源,光彩大市场 -泮河景区,1室2厅 | 100平米 | 北 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 3个月以前发布,72,"7,200元/平"
唐庄小区 三室两厅 双阳台 采光充足 停车方便,唐庄小区泰来路北区 -宝龙城,3室2厅 | 120.95平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,115,"9,509元/平"
万达商圈  宝盛  望岳C区  三室户型  满五年 南北通透,望岳C区 -国际会展中心,3室1厅 | 89.59平米 | 北 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,94.5,"10,549元/平"
小区为梯四户梯三户，主推两室两厅的户型,安居幸福里 -南开发区,2室2厅 | 91.3平米 | 南 北 | 简装 | 高楼层(共23层)  | 板塔结合,1人关注 / 一年前发布,70,"7,668元/平"
福源嘉苑 三室 单位房 有配房 小区安静,福源嘉苑 -东湖公园,3室2厅 | 101.53平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,100,"9,850元/平"
急！！光彩旁，正规小三室，户型方正，上学方便,鲁商中心 -泮河景区,3室2厅 | 98平米 | 南 北 | 其他 | 低楼层(共34层)  | 暂无数据,0人关注 / 3个月以前发布,120,"12,245元/平"
价格冰点 安居金域缇香 精装三室 集暖配房,安居·金域缇香 -东湖公园,3室2厅 | 101平米 | 南 北 | 精装 | 中楼层(共23层)  | 暂无数据,4人关注 / 5个月以前发布,100,"9,901元/平"
泮河小镇 三室两厅精装修 小高层,德天泮河小镇 -泮河景区,3室2厅 | 107.44平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 9天以前发布,115,"10,704元/平"
贤德院 泰山区 万达广场 南北通透 卧室朝阳 过户费少,望岳B区贤德苑 -火车站,2室1厅 | 77平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,80,"10,390元/平"
业主急售 证满五年 免大税 全明户型 拎包入住,粥店街道办事处 -泮河景区,3室2厅 | 109.66平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,96,"8,755元/平"
边户南北通透 华新新城带车位 长城路五矿北实 高新,华新新城 -南开发区,3室2厅 | 126.6平米 | 南 北 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 6个月以前发布,104,"8,215元/平"
泰山区 万达 附院北 时代佳苑 楼头  随时看房,时代佳苑 -国际会展中心,2室2厅 | 82.08平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,81,"9,869元/平"
卧龙山庄 3室2厅 南 北,卧龙山庄 -宝龙城,3室2厅 | 152.25平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 13天以前发布,230,"15,107元/平"
乐园小区 视野开阔 采光良好 精装修 可拎包入住,乐园小区 -国际会展中心,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 10个月以前发布,103.9,"11,545元/平"
御碑楼小区 3室2厅 南 北,御碑楼小区 -泰安市委,3室2厅 | 93.2平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,100,"10,730元/平"
月季花园 三楼带阁楼 精装修 满五年,月季花园 -体育中心,3室2厅 | 136.22平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 10天以前发布,168,"12,333元/平"
龙城国际 9楼边户  通风好 精装两室  可贷款,龍城国际水岸龍庭 -南开发区,2室2厅 | 100平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,3人关注 / 一年前发布,68,"6,800元/平"
环山路路南   精装三室   采光好 好楼层 白马石花园,白馬石花園 -宝龙城,3室2厅 | 153平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,230,"15,033元/平"
向阳东区 三室两厅 南北通透 东岳 岱道庵,向阳东区 -宝龙城,3室1厅 | 86平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,90.5,"10,524元/平"
楼层好，视野宽阔，采光充足，交通便利,泰安奥林匹克花园 -南开发区,3室2厅 | 115平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,105,"9,131元/平"
尚座国际 精装四室 观景房 东湖公园,尚座国际 -东湖公园,4室2厅 | 117平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,145,"12,394元/平"
凤台小区 精装三室 三室朝阳 全明户型,凤台小区 -宝龙城,3室2厅 | 96平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,125,"13,021元/平"
志高国际 两室一厅一卫 随时看房 交通便利 生活方便,志高国际 -宝龙城,2室1厅 | 96平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 14天以前发布,132,"13,750元/平"
国悦府一期 满二年 好楼层 有钥匙 地下车位 有 大露台,国悦府 -泰安市委,4室2厅 | 140.33平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 12天以前发布,345,"24,585元/平"
此房三室  户型方正 采光好 看房方便 产权清晰。。,中南财源门 -火车站,3室1厅 | 88平米 | 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 13天以前发布,110,"12,500元/平"
泰山区 恒大城 精装大三室 三室朝阳 保利 五岳风华,恒大城 -高铁新区,3室2厅 | 109平米 | 南 | 其他 | 中楼层(共26层)  | 塔楼,1人关注 / 13天以前发布,99,"9,083元/平"
此房满二 泰师 东岳 四楼  好停车 户型合理,云海小区 -岱庙,3室1厅 | 71.52平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,6人关注 / 4个月以前发布,137,"19,156元/平"
向阳小区 一层带40㎡露天院  精装三室,向阳小区(泰山区) -宝龙城,3室2厅 | 96.85平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,190,"19,618元/平"
建设银行宿舍好楼层 好停车 老六中 出行方便,清真寺小区 -火车站,3室2厅 | 91.22平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,128,"14,033元/平"
御蓝山 三室两厅两卫 一手房手续 带两个大露台,新兴御蓝山 -宝龙城,3室2厅 | 128平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,175,"13,672元/平"
宝龙 向阳东区  客厅卧室朝阳好楼层 停车方便看房方便,向阳东区 -宝龙城,3室2厅 | 87平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,129.8,"14,920元/平"
宝盛御府 三室两厅两卫 精装 无大税,宝盛广场上峰 · 七里御府 -万达广场,3室2厅 | 128.75平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 8个月以前发布,166,"12,894元/平"
国企楼盘绿化面积大出行方便配套成熟户型方正,万象府 -岱岳区,3室2厅 | 118平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 8天以前发布,95,"8,051元/平"
房子满二，产权清晰，全明户型，楼层好，岳峰旁,泰山·新兴园 -体育中心,3室2厅 | 113.21平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,135,"11,925元/平"
岱宗大街  民政局宿舍 停车方便 集暖 看房方便 急售,泰山区民政局宿舍 -宝龙城,3室2厅 | 101平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,118,"11,684元/平"
信合佳苑 6层电梯洋房 金质楼层 精装未住 客卧向阳,信合佳苑 -宝龙城,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,352.8,"25,022元/平"
东湖地毯厂宿舍  大三室双卫  停车方便  金质楼层,东湖地毯厂宿舍 -东湖公园,3室2厅 | 132.96平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,139,"10,455元/平"
东湖小区 电梯正常使用 采光好 配房 停车方便,东湖社区 -东湖公园,2室2厅 | 99.98平米 | 南 北 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,138,"13,803元/平"
此房三室  户型方正 采光好 看房方便 产权清晰。。,中南财源门 -火车站,3室1厅 | 88平米 | 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 13天以前发布,110,"12,500元/平"
龙城国际 9楼边户  通风好 精装两室  可贷款,龍城国际水岸龍庭 -南开发区,2室2厅 | 100平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,3人关注 / 一年前发布,68,"6,800元/平"
楼层好，视野宽阔，采光充足，交通便利,泰安奥林匹克花园 -南开发区,3室2厅 | 115平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,105,"9,131元/平"
尚座国际 精装四室 观景房 东湖公园,尚座国际 -东湖公园,4室2厅 | 117平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,145,"12,394元/平"
环山路路南   精装三室   采光好 好楼层 白马石花园,白馬石花園 -宝龙城,3室2厅 | 153平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,230,"15,033元/平"
向阳东区 三室两厅 南北通透 东岳 岱道庵,向阳东区 -宝龙城,3室1厅 | 86平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,90.5,"10,524元/平"
此房满二 泰师 东岳 四楼  好停车 户型合理,云海小区 -岱庙,3室1厅 | 71.52平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,6人关注 / 4个月以前发布,137,"19,156元/平"
向阳小区 一层带40㎡露天院  精装三室,向阳小区(泰山区) -宝龙城,3室2厅 | 96.85平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,190,"19,618元/平"
建设银行宿舍好楼层 好停车 老六中 出行方便,清真寺小区 -火车站,3室2厅 | 91.22平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,128,"14,033元/平"
泰山区 恒大城 精装大三室 三室朝阳 保利 五岳风华,恒大城 -高铁新区,3室2厅 | 109平米 | 南 | 其他 | 中楼层(共26层)  | 塔楼,1人关注 / 13天以前发布,99,"9,083元/平"
凤台小区 精装三室 三室朝阳 全明户型,凤台小区 -宝龙城,3室2厅 | 96平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,125,"13,021元/平"
志高国际 两室一厅一卫 随时看房 交通便利 生活方便,志高国际 -宝龙城,2室1厅 | 96平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 14天以前发布,132,"13,750元/平"
国悦府一期 满二年 好楼层 有钥匙 地下车位 有 大露台,国悦府 -泰安市委,4室2厅 | 140.33平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 12天以前发布,345,"24,585元/平"
三联小区 精装 冯玉祥 迎胜 4楼 三室 好停 随时看,三联小区 -火车站,3室2厅 | 82.1平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 13天以前发布,168,"20,463元/平"
华侨宿舍 南北通透 采光好 70年产权,华侨宿舍 -东湖公园,2室1厅 | 67平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,76,"11,344元/平"
向阳东区 中间楼层 满 五 全明户型 停车方便,向阳东区 -宝龙城,3室1厅 | 88.13平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,118,"13,390元/平"
边户南北通透 电梯洋房海普凤凰城带配房 高新书香,海普凤凰城 -南开发区,2室2厅 | 90.24平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 6天以前发布,67,"7,425元/平"
恒基都市森林 精装三室 车位配房 8楼 颐和院子,恒基都市森林 -宝龙城,3室2厅 | 127平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 3个月以前发布,239,"18,819元/平"
文化路天元棉麻宿舍 集暖 停车方便 南北通透,泰安市天元棉麻宿舍 -火车站,2室1厅 | 59平米 | 南 北 | 其他 | 高楼层(共4层)  | 暂无数据,1人关注 / 3个月以前发布,85,"14,407元/平"
新六中 化肥厂宿舍  独院停车方便  南北通透,化肥厂宿舍 -东湖公园,3室1厅 | 78平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,89,"11,411元/平"
都市森林 南北通透 精装带露台 带配房,恒基都市森林 -宝龙城,2室2厅 | 95.57平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,173,"18,102元/平"
长城路 精装 宏成富园 观山好房 双阳台 带大衣帽间,宏成富园 -泮河景区,3室2厅 | 117.2平米 | 南 北 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 12天以前发布,144,"12,287元/平"
吾悦广场旁 凤台市场 岱银小区  南北通透  停车方便,岱银小区 -宝龙城,3室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,85,"9,445元/平"
向阳东区 三室两厅 采光充足 户型方正,向阳东区 -宝龙城,3室2厅 | 93.72平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,118,"12,591元/平"
文化路泰建公司宿舍，一楼带院，现浇房，三室两厅两卫,市建工集团宿舍文化路 -火车站,3室2厅 | 127.32平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,3人关注 / 一年前发布,260,"20,421元/平"
雷诺名郡 中间楼层 带车位 配房  精装 满二 东岳大街,雷诺名郡 -宝龙城,3室2厅 | 137平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 7个月以前发布,210,"15,329元/平"
急售 精装三室 满二 开元盛世智园 低公摊 电梯洋房,开元盛世 · 智园 -泮河景区,3室2厅 | 107.77平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,118,"10,950元/平"
精装基本没住 好楼层 边户 观景房 南北通透 全明户型,华新新城 -南开发区,3室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,90,"7,965元/平"
泮河小镇 精装三室 小高层中间楼层,德天泮河小镇 -泮河景区,3室2厅 | 129平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 11天以前发布,129,"10,000元/平"
交运二宿舍 2室1厅 南,交运二宿舍 -火车站,2室1厅 | 69平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,48,"6,957元/平"
东岳大街石化宿舍中间楼层 三室 满五唯一 带储藏室,石化宿舍 -火车站,3室2厅 | 88.78平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,6人关注 / 一年前发布,105,"11,827元/平"
五环小区北院   有钥匙看房随时   岳峰 临位置好,五环小区北院 -体育中心,3室1厅 | 77.34平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 12天以前发布,76,"9,827元/平"
东湖地毯厂宿舍  大三室双卫  停车方便  金质楼层,东湖地毯厂宿舍 -东湖公园,3室2厅 | 132.96平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,139,"10,455元/平"
信合佳苑 6层电梯洋房 金质楼层 精装未住 客卧向阳,信合佳苑 -宝龙城,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,352.8,"25,022元/平"
岱宗大街  民政局宿舍 停车方便 集暖 看房方便 急售,泰山区民政局宿舍 -宝龙城,3室2厅 | 101平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,118,"11,684元/平"
环山路 国泰山庄 温馨3室  全天采光  免大税,国泰山庄 -宝龙城,3室1厅 | 95平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,99.8,"10,506元/平"
岱道庵  东岳  民政局宿舍   单位房  采光好 停车方便,泰山区民政局宿舍 -宝龙城,3室2厅 | 88.28平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,118,"13,367元/平"
房子满二，产权清晰，全明户型，楼层好，岳峰旁,泰山·新兴园 -体育中心,3室2厅 | 113.21平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,135,"11,925元/平"
泰安市山东梆子剧院宿舍 2室2厅 南 北,泰安市山东梆子剧院宿舍 -东湖公园,2室2厅 | 80平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,85,"10,625元/平"
宝盛广场上峰 · 七里御府 2室2厅 南,宝盛广场上峰 · 七里御府 -万达广场,2室2厅 | 101.91平米 | 南 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,112,"10,991元/平"
正规4室 配套完善 交通便利带配房 房主诚心出售,峪龙佳苑北区 -徐家楼,4室2厅 | 124.4平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,105,"8,441元/平"
公安局宿舍北一楼院子，位置好，有证，价可谈,水利水产宿舍 -岱庙,3室1厅 | 85平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 13天以前发布,155,"18,236元/平"
司家庄 领秀城二期 光彩北 泰山大街,司家庄 -岱岳区区委,3室2厅 | 98.28平米 | 南 | 其他 | 低楼层(共28层)  | 暂无数据,0人关注 / 11天以前发布,83,"8,446元/平"
绿地公馆 精装婚房十几万未住，目前空置，带储藏室,绿地公馆秀园 -高铁新区,2室1厅 | 91.21平米 | 南 北 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 13天以前发布,75,"8,223元/平"
市政府旁 乐园小区 集中供暖 停车方便 有钥匙看房方便,乐园小区 -国际会展中心,3室2厅 | 105平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 9个月以前发布,102,"9,715元/平"
龙泉花苑 3室2厅 南 北,龙泉花苑 -高铁新区,3室2厅 | 112平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,118,"10,536元/平"
天平湖景区南印象泰山117.6平，三室两厅两卫，急售中,印象泰山 -岱岳区区委,3室2厅 | 117.6平米 | 南 | 其他 | 低楼层(共25层)  | 暂无数据,1人关注 / 7个月以前发布,105.8,"8,997元/平"
高铁 泮河 市立医 卧虎山 英雄山 开元,开元盛世 · 智园 -泮河景区,3室2厅 | 108.38平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,2人关注 / 7个月以前发布,125,"11,534元/平"
长城路 宏成富园 精装未住  两居室 带家具,宏成富园 -泮河景区,2室2厅 | 84.7平米 | 南 北 | 其他 | 高楼层(共31层)  | 板楼,0人关注 / 9天以前发布,75,"8,855元/平"
天平湖壹号 2室2厅 南 北,天平湖壹号 -岱岳区区委,2室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 9天以前发布,220,"16,924元/平"
岱岳花园 3室1厅 南 北,岱岳花园 -岱岳区区委,3室1厅 | 97.7平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,66,"6,756元/平"
恒大城！大三室 有车位！家具家电等都带！采光很好！,恒大城 -高铁新区,3室2厅 | 140平米 | 南 | 其他 | 高楼层(共26层)  | 平房,0人关注 / 9天以前发布,120,"8,572元/平"
金色领域 精装12楼  南北通透 采光好 可观山,金色领域 -徐家楼,3室2厅 | 124.13平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,89,"7,170元/平"
信合佳苑 6层电梯洋房 金质楼层 精装未住 客卧向阳,信合佳苑 -宝龙城,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,352.8,"25,022元/平"
环山路 国泰山庄 温馨3室  全天采光  免大税,国泰山庄 -宝龙城,3室1厅 | 95平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,99.8,"10,506元/平"
岱道庵  东岳  民政局宿舍   单位房  采光好 停车方便,泰山区民政局宿舍 -宝龙城,3室2厅 | 88.28平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,118,"13,367元/平"
环山路，擂鼓石大街，老槐树，温泉花园，泰师，东岳,温泉花园 -红门,3室2厅 | 145平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,275.5,"19,000元/平"
恒尚东尚  电梯小高  好楼层   绿化高   吾悦广场,恒基▪東尚 -小井,3室2厅 | 111平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,3人关注 / 7个月以前发布,130,"11,712元/平"
泰山脚下 电梯洋房 紫郡山水逸景 带负一 带院子带车位,紫郡 -方特大区,3室2厅 | 155平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,370,"23,871元/平"
泰山院子 合院别墅 上下5层 两个车位 毛坯未住,泰山院子 -泮河景区,4室3厅 | 170.39平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 9个月以前发布,390,"22,889元/平"
巨菱枫景园顶楼复式电梯满二有储藏室采光充足,巨菱枫景园 -南湖公园,4室2厅 | 199.6平米 | 南 北 | 简装 | 高楼层(共11层)  | 暂无数据,3人关注 / 11个月以前发布,175,"8,768元/平"
观山房源   4室豪  装  财源门  中百,中南财源门 -火车站,4室2厅 | 119平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,205,"17,227元/平"
天颐湖旁边蓝岸别墅  直接入住 院子120平有鱼池有酒窖,蓝岸别墅 -南开发区,5室2厅 | 258.43平米 | 南 北 | 精装 | 3层  | 板楼 | 独栋别墅 ,5人关注 / 一年前发布,420,"16,252元/平"
南关大街电梯新房，好楼层。户型好，带地下车位。,春风十里 -南关,3室2厅 | 136平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,125,"9,192元/平"
南关大街 春风十里 毛坯 现房 带车位,春风十里 -南关,3室2厅 | 137平米 | 南 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,120,"8,760元/平"
环山路脚下 六层洋房 车位 储藏室  精装,泰山原著 -体育中心,5室2厅 | 180.9平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,430,"23,771元/平"
高铁站 碧桂园时代 市立医院 光彩市场,碧桂园·黄金时代 -高铁新区,5室2厅 | 281平米 | 南 北 | 精装 | 中楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,298,"10,605元/平"
紫气 东来 环山路 紫郡 电梯洋房 环境优美 天然氧吧,紫郡 -方特大区,3室2厅 | 153平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,238,"15,556元/平"
房主急售带120平大院蓝岸别墅欧式装修好房,蓝岸别墅 -南开发区,5室3厅 | 258.43平米 | 南 北 | 精装 | 3层  | 板楼,1人关注 / 8个月以前发布,419.7,"16,241元/平"
精装别墅 地上三层地下两层 南北双院 已安装室内电梯,印象泰山 -岱岳区区委,5室3厅 | 214平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 6个月以前发布,680,"31,776元/平"
东苑香墅 大平房户型 上下四层 采光地下室 车库直入户,東苑香墅 -方特大区,5室3厅 | 422.71平米 | 南 北 | 毛坯 | 4层  | 暂无数据 | 联排别墅 ,4人关注 / 一年前发布,540,"12,775元/平"
紫郡带露台 6楼带阁楼 4室4厅2卫 精装证满2年钥匙房,紫郡 -方特大区,4室2厅 | 94.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,239,"25,305元/平"
泰山御园泰山封禅大典旁交通便利,泰山御苑 -方特大区,5室3厅 | 230平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,4人关注 / 一年前发布,335,"14,566元/平"
高铁标杆小区 泰山院子 带院子 挑高负一层 有露台,泰山院子 -泮河景区,4室2厅 | 170.32平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,2人关注 / 一年前发布,399,"23,427元/平"
双龙小区C区 4室2厅 南 北,双龙小区C区 -小井,4室2厅 | 167平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,225,"13,474元/平"
圣源美郡 南北通透 精装修 免大税楼层好视野开阔采光,聖源美郡 -泰安市委,3室2厅 | 141平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 10个月以前发布,345,"24,469元/平"
