标题,开发商,房子信息,发布信息,售价/万,单价
青年路碱泉街兵二日月星光地暖电梯复式采光好人车分流,日光小区 -青年路,4室3厅 | 234.2平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,12人关注 / 一年前发布,178,"7,601元/平"
长春路美居商圈 多层二楼！南北通透配套齐全交通便利,美林花源 -美居,3室2厅 | 102.04平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,97,"9,507元/平"
百信康城小面积功能型四室 业主急植物园旁,百信康城 -植物园,4室2厅 | 124.64平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,89.5,"7,181元/平"
医学院县医院御园世家碧水源金色嘉园,御园世家 -美居,4室2厅 | 156.65平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,151.97,"9,702元/平"
博雅文轩 3室2厅 北 南,博雅文轩 -医学院,3室2厅 | 133.65平米 | 北 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,140,"10,476元/平"
马德里春天大四室高楼层好房出售,马德里春天小区 -木材厂,4室2厅 | 183.16平米 | 南 北 | 精装 | 低楼层(共24层)  | 暂无数据,0人关注 / 3个月以前发布,156,"8,518元/平"
售北京城花园小区顶楼跃层118平精装修，大赛台。,北京城花园小区 -植物园,2室3厅 | 118平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,73.6,"6,238元/平"
此房格局好 楼层适合老人居住 小区配套完善 停车方便,马德里春天小区 -木材厂,3室2厅 | 102.22平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 11个月以前发布,90,"8,805元/平"
二宫奥林小区西区 二楼 三室两厅,奥林匹克花园 -二宫,3室2厅 | 85.96平米 | 东 南 北 | 简装 | 低楼层(共7层)  | 板楼,8人关注 / 一年前发布,73,"8,493元/平"
友好 泰惠花园 三室两厅 户型通透 拎包入住,泰惠花园小区 -医学院,3室2厅 | 111.58平米 | 东 西 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 5个月以前发布,110,"9,859元/平"
水区水磨沟公园世界公园二期20楼满五唯一精装好房出售,世界公元Ⅱ -水磨沟公园,3室2厅 | 138.93平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,4人关注 / 一年前发布,210,"15,116元/平"
柒街区尚美佳 丽景江山 逸仙小区 卫星路 秦郡一期二期,柒街区B区 -石油新村,3室2厅 | 107平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,84,"7,851元/平"
此房满五 南北标准户型 明厨明卫 价格包15平地下室,山水华庭小区 -美居,3室2厅 | 97.53平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,90,"9,228元/平"
美居蓝调晶典  三居室全实木装修  带车位,蓝调晶典 -美居,3室2厅 | 97.6平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,99,"10,144元/平"
西北路友好商圈地铁口 南北通透地暖房，采光好无遮挡,海龙山庄 -文化宫,3室2厅 | 107.54平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,79,"7,347元/平"
新市区 美居 鲤鱼山路 赛博特 买一层得两层 御园公馆,御园公馆 -美居,3室1厅 | 49.4平米 | 北 南 | 精装 | 中楼层(共19层)  | 塔楼,1人关注 / 7个月以前发布,59.9,"12,126元/平"
小西沟地铁口 精装自住的房子 通透全明 苏州路北京南,新闻出版局家属院 -小西沟,3室1厅 | 125.17平米 | 南 北 | 简装 | 高楼层(共25层)  | 塔楼,0人关注 / 一年前发布,148,"11,824元/平"
翰林尚苑地暖房  精装修 多层 公摊小,翰林尚苑 -碱泉街,3室2厅 | 119.33平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,133,"11,146元/平"
荷兰小镇二期高层复式160平四室两厅两卫产证在手,荷兰小镇二期 -天汇汽车城,4室2厅 | 159.92平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,4人关注 / 一年前发布,88,"5,503元/平"
水磨沟区  映象南湖 精装 140平 房屋出售,映象南湖 -南湖广场,3室2厅 | 140.42平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,15人关注 / 一年前发布,120,"8,546元/平"
建筑设计院小区 3室2厅 南 北,建筑设计院小区 -大小西门,3室2厅 | 127.34平米 | 南 北 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,206,"16,178元/平"
血站旁越秀小区大两室在售，中高楼层，采光充足,越秀小区 -油运司,2室2厅 | 88.02平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 6个月以前发布,54,"6,135元/平"
水磨沟公园旁 世界公元二期 毛坯 大平层房屋 出售,世界公元Ⅱ -水磨沟公园,5室2厅 | 195.52平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 8个月以前发布,182,"9,309元/平"
鸿瑞豪庭104平三居室简装楼层好采光好环境好可停车,鸿瑞豪庭 -南湖广场,3室2厅 | 100.47平米 | 南 北 | 简装 | 低楼层(共29层)  | 暂无数据,0人关注 / 5个月以前发布,160,"15,926元/平"
北园春农大旁汇嘉园89.6平米 南北 采光好 简装,汇嘉园 -油运司,2室2厅 | 89.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 11个月以前发布,52,"5,804元/平"
锦绣年华北区 3室2厅 南 北,锦绣年华北区 -喀什东路,3室2厅 | 92.14平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,78,"8,466元/平"
标准户型  南北通透 一体两户 好楼层,江南嘉苑 -油运司,3室1厅 | 91.14平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,90,"9,875元/平"
机场南区好房底价出售中配40平大地下室业主诚心出售！,飞机场家属院 -机场,3室2厅 | 111.7平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,1人关注 / 8个月以前发布,80,"7,163元/平"
南湖北路宏怡花园南北通透3室2厅1卫,宏怡苑 -王家梁,3室2厅 | 105平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,75,"7,143元/平"
南站一街小区  出行便利  购物方便,乌南一街小区 -火车南站,3室1厅 | 80.21平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,55.5,"6,920元/平"
新港世纪花园精装三室低价出售中,新港世纪花园 -机场,3室2厅 | 120.49平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,85,"7,055元/平"
德港万达旁中亚路南北100㎡二楼诚意出售,建银小区 -德港万达,3室2厅 | 100.77平米 | 东 西 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,80,"7,939元/平"
水区 南湖广场 恒昌恒晟2006年地暖 南北通透,恒昌恒晟小区 -南湖广场,2室2厅 | 84.48平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,67.6,"8,002元/平"
荷兰小镇一期 南北通透 有证 多层三楼 带阳台地下室,荷兰小镇一期 -天汇汽车城,3室2厅 | 102.47平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,61.5,"6,002元/平"
单位房电梯 精装修 户型方正 采光好 南北通透电梯房,联通住宅小区 -南湖广场,5室3厅 | 261.88平米 | 南 北 | 精装 | 中楼层(共14层)  | 暂无数据,8人关注 / 一年前发布,210,"8,019元/平"
华凌公馆一梯一户好房出售，拎包入住,华凌公馆 -南湖广场,2室2厅 | 122.6平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,7人关注 / 一年前发布,125,"10,196元/平"
小区成熟，交通方便，户型好，装修好,新港世纪花园 -机场,4室2厅 | 138.29平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,93,"6,725元/平"
北门光明路教育学院南光明珠高层兵一电梯精装三室,自治区人大常委会机关光明路家属院 -北门,3室1厅 | 110.93平米 | 东 南 | 精装 | 高楼层(共30层)  | 塔楼,2人关注 / 一年前发布,388.6,"35,032元/平"
此方房屋位置好，交通便利，出行方便，小区宽敞,建行小区 -北门,2室2厅 | 89.57平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,175,"19,538元/平"
水区7438工厂舒乐园小区 三室精装08年地暖房 拎包入住,舒乐园小区 -水磨沟公园,3室2厅 | 116.1平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,83,"7,150元/平"
卫星广场万达旁96㎡一楼三室精装带花园急售,口岸南路银苑小区 -德港万达,3室2厅 | 95.72平米 | 东 西 | 精装 | 低楼层(共6层)  | 暂无数据,14人关注 / 一年前发布,87.5,"9,142元/平"
新市区迎宾路钢化小区业主诚心出售,钢化小区 -机场,3室2厅 | 121.82平米 | 东 西 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,82,"6,732元/平"
楼层好，三室好户型，南北通透，房主诚意出售。,嘉和园 -油运司,3室2厅 | 108.99平米 | 南 北 | 简装 | 6层  | 暂无数据,1人关注 / 一年前发布,92,"8,442元/平"
"格局方正,南北通透、采光好、满五、交通便利",雅山小区 -西山,3室2厅 | 96.74平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,63,"6,513元/平"
南湖北路10年电梯房三室两厅一梯两户南北通透看房方便,朗月星城 -水磨沟区,3室2厅 | 133.96平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,13人关注 / 8个月以前发布,113,"8,436元/平"
此房交通便利，生活方便，采光好,南湖一期 -南湖广场,2室1厅 | 89.2平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,94,"10,539元/平"
水磨沟区南湖 华凌公馆 99平3室 好房出售,华凌公馆 -南湖广场,3室2厅 | 99.33平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,125,"12,585元/平"
视野开阔，采光充足，配套齐全，交通便利,水墨清苑 -水磨沟公园,6室3厅 | 199.99平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,203,"10,151元/平"
水磨沟公园旁 世界公元二期 毛坯 大平层房屋 出售,世界公元Ⅱ -水磨沟公园,5室2厅 | 195.52平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 8个月以前发布,182,"9,309元/平"
鸿瑞豪庭104平三居室简装楼层好采光好环境好可停车,鸿瑞豪庭 -南湖广场,3室2厅 | 100.47平米 | 南 北 | 简装 | 低楼层(共29层)  | 暂无数据,0人关注 / 5个月以前发布,160,"15,926元/平"
沙区北园春三室恒昌恒业花园旁尚品家园首付18万,尚品家园 -儿童村,3室2厅 | 133.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,89,"6,667元/平"
业主诚心出售艾美卡特兰电梯洋房精装修,艾美卡特兰 -未知商圈,4室2厅 | 164.42平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,9人关注 / 一年前发布,218,"13,259元/平"
嘉幸尚品 四室两厅一厨一卫 精装修拎包住,嘉幸尚品 -医学院,4室2厅 | 167.01平米 | 南 北 | 简装 | 低楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,169.8,"10,168元/平"
友好沙区泰绣小区，顶楼阳光充足。简装带地下室,泰琇小区 -油运司,2室2厅 | 78.66平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,42,"5,340元/平"
全明双卫小高层洋房 产权清晰 采光佳 拎包住,中建幸福里北区 -秦郡,3室2厅 | 127.41平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,128,"10,047元/平"
好房急售天赐良园150平精装修，户型很好可拎包入住,天赐良园小区 -未知商圈,4室2厅 | 150.71平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,90,"5,972元/平"
师大家属院，拎包入住、业主诚意出售,新疆师范大学家属院 -医学院,2室1厅 | 78.9平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,126,"15,970元/平"
鲤鱼山路苏州路交叉口百商国际旁诚售,百商太阳城 -美居,4室2厅 | 179.5平米 | 东 西 | 精装 | 高楼层(共12层)  | 板楼,11人关注 / 一年前发布,135,"7,521元/平"
医学院 66中 78小 天山花园 南北通透三室,天山花园 -医学院,3室2厅 | 110.23平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 6个月以前发布,94.5,"8,573元/平"
长春路 澳龙广场 59克拉小区 电梯房 南北 品质小区,诚祥59克拉 -长春路,3室2厅 | 137.73平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 7个月以前发布,156.8,"11,385元/平"
全新精装修可以直接入住长春路万达广场旁上海城,上海城 -高新万达,4室3厅 | 219.79平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,2人关注 / 一年前发布,296,"13,468元/平"
水区南湖广场云顶名筑三室两厅出售,云顶名筑 -水磨沟公园,3室2厅 | 132平米 | 东 西 | 简装 | 低楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,102,"7,728元/平"
温州街，新疆图书馆地铁口，小户型，低价格,准噶尔小区 -新市区,2室2厅 | 66.1平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,55,"8,321元/平"
河北路，奥龙广场旁小高层好房出售，,国秀家园 -长春路,3室2厅 | 101.55平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,1人关注 / 6个月以前发布,83,"8,174元/平"
新市区卫星广场德港万达旁多层大三室,同城国际B区 -乌北站,3室2厅 | 126.62平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,98,"7,740元/平"
业主急售 品质小区 万达旁 天津路 长春路 地铁口,上海城 -高新万达,4室2厅 | 151.75平米 | 南 北 | 精装 | 低楼层(共16层)  | 暂无数据,2人关注 / 一年前发布,152,"10,017元/平"
新市区 鲤鱼山路赛博特汽车城花田小镇旁御园公馆！！,御园公馆 -美居,3室2厅 | 81.52平米 | 东 西 | 精装 | 低楼层(共19层)  | 板楼,1人关注 / 5个月以前发布,93,"11,409元/平"
二毛品质小区 嘉幸尚品三室推荐.,嘉幸尚品 -医学院,3室2厅 | 122.15平米 | 东南 | 简装 | 低楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,138,"11,298元/平"
兵二旁嘉鸿园三室两厅地暖东西朝向出行方便,嘉鸿园小区 -碱泉街,3室2厅 | 101.24平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,105,"10,372元/平"
华凌市场旁 业主诚意出售 看房方便！,华凌公馆 -南湖广场,3室2厅 | 137.44平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,205,"14,916元/平"
珠江路口好房一套上下 地段好 位置好 没有浪费空间,紫东苑 -商贸城,3室2厅 | 172.68平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,1人关注 / 7个月以前发布,145,"8,398元/平"
二十九中家属院 上学一百米 好房出售,二十九中家属院 -小西沟,2室2厅 | 74.76平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,52,"6,956元/平"
嘉鸿中环 3室2厅 东 西,嘉鸿中环 -碱泉街,3室2厅 | 119.5平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,118,"9,875元/平"
房子位置靠前，绿化好，小区新，交通方便,金谷蟠龙山庄 -仓房沟,4室3厅 | 127平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,83,"6,536元/平"
铁路局辰信小区两室一厅好房出售,辰信小区 -铁路局,2室1厅 | 81平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,133,"16,420元/平"
新市区铁路局县医院旁电业局家属院,电业局家属院 -铁路局,2室1厅 | 64.54平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,46,"7,128元/平"
位于小西沟地铁口，交通便利对房源的点评,康普百信钻石苑 -小西沟,3室2厅 | 183.37平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,4人关注 / 一年前发布,150,"8,181元/平"
大客厅 户型方正 采光通透好 布局合理,金和绿色家园 -碱泉街,3室2厅 | 130平米 | 东 南 | 简装 | 高楼层(共34层)  | 塔楼,8人关注 / 一年前发布,94,"7,231元/平"
北京南路鲤鱼山脚下非顶平层大四居拎包入 交通便利,裕欣苑 -小西沟,4室2厅 | 129.29平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,94,"7,271元/平"
南北标户，户型方正，满五唯一环境优美配套齐全。,楼兰新城 -油运司,3室2厅 | 126.1平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,115,"9,120元/平"
红光山脚下云鼎大观花园洋房带带地下车库带地下室,中海云鼎大观云玺 -红光山,4室2厅 | 151.22平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,19人关注 / 一年前发布,164,"10,846元/平"
高铁新区南北全明三室双卫 产权清晰 可按揭拎包住,金阳卫星花园 -卫星路,3室2厅 | 171.29平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,3人关注 / 一年前发布,133,"7,765元/平"
光明路红山路，交通方便，适合居住,自治区团委家属院 -人民电影院,3室2厅 | 132平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,145,"10,985元/平"
新城花园 两室，含家具家电，诚意售房！,新城花园小区 -友好,2室2厅 | 74.8平米 | 东 南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,62,"8,289元/平"
北门 新民路出行方便 南北通透,新民路240号院 -北门,3室2厅 | 117.85平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,171,"14,510元/平"
府城花苑大2室朝南的房子不靠路边采光良好有证可按揭,天恒基府城花苑 -友好,2室2厅 | 97.24平米 | 南 | 简装 | 中楼层(共25层)  | 板楼,0人关注 / 一年前发布,83,"8,536元/平"
交通便利    户型方正   诚心出售    看房子方便,新天润国际社区洛林郡 -新天润,5室3厅 | 129平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 8个月以前发布,140,"10,853元/平"
美林花园 3室1厅 南 北,美林花园 -小西沟,3室1厅 | 124.91平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,169,"13,530元/平"
百信幸福苑三期  三室好房 停车方便,百信幸福苑三期 -幸福路,3室2厅 | 118.74平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,135,"11,370元/平"
户型好  看房方便  拎包入住,幸福阳光城 -幸福路,3室1厅 | 129.96平米 | 东 | 精装 | 中楼层(共26层)  | 板楼,2人关注 / 一年前发布,105,"8,080元/平"
高铁旁马德里大三室高楼层随时看房,马德里春天小区 -木材厂,3室2厅 | 124.26平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 3个月以前发布,108,"8,692元/平"
金色花苑家属院，小公摊得房率高，低楼层适合居住,金色花苑 -友好,2室1厅 | 86.18平米 | 东 西 | 简装 | 低楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,68,"7,891元/平"
碱泉街 金和绿色家园 地暖落地窗,金和绿色家园 -碱泉街,3室2厅 | 142平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,9人关注 / 一年前发布,93,"6,550元/平"
房子户型好，采光充足，朝南户型,自治区财政厅干部教育中心家属院 -未知商圈,3室1厅 | 111.52平米 | 北 西 | 精装 | 中楼层(共19层)  | 暂无数据,5人关注 / 10个月以前发布,79,"7,084元/平"
蓝波湾小区物业正规，绿化好，好房诚心出售,百信蓝波湾 -天山区,2室2厅 | 72.18平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,57,"7,897元/平"
沙区克西主干道 农大旁精装三室 拎包入住 户型方正,晨曦小区 -油运司,3室1厅 | 110.02平米 | 东 西 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,106,"9,635元/平"
汇嘉园两室房源在售，看房提前联系，单价低,汇嘉园 -油运司,2室2厅 | 84.95平米 | 东 西 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,56,"6,593元/平"
06年血战复式地暖房带20平米大晒台,金康丽景苑 -油运司,4室2厅 | 128.97平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,85,"6,591元/平"
乌鲁木齐市沙依巴克区德汇万达商圈,客运司家属院 -商贸城,2室2厅 | 80.09平米 | 东 西 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,69,"8,616元/平"
户型方正，房屋整洁干净。装修较好,揽园世家 -古牧地,3室2厅 | 119.97平米 | 南 北 | 简装 | 低楼层(共24层)  | 塔楼,0人关注 / 11个月以前发布,92,"7,669元/平"
瑞昌大厦 3室1厅 西,瑞昌大厦 -友好,3室1厅 | 74平米 | 西 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 7个月以前发布,65,"8,784元/平"
友好花园二期3室2厅2卫1厅好房出售,友好花园二期 -水磨沟区,3室2厅 | 137平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,98,"7,154元/平"
马德里春天三室两卫精装修采光好拎包入住西外,马德里春天小区 -木材厂,3室1厅 | 142.62平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,140,"9,817元/平"
小西沟大3居，采光好，总价低，好停车,辰锦小区 -新市区,3室2厅 | 159.66平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,2人关注 / 7个月以前发布,135,"8,456元/平"
太原路小区  110.71平  105万  三室两厅一卫 南北通透,太原路小区 -德港万达,3室2厅 | 110.71平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,95,"8,581元/平"
宜品家春秋 3室1厅 东 西,宜品家春秋 -油运司,3室1厅 | 94.34平米 | 东 西 | 精装 | 高楼层(共6层)  | 板塔结合,4人关注 / 10个月以前发布,69,"7,314元/平"
乌鲁木齐沙依巴克区珠江路 五桥,珠江塑料厂家属院 -珠江路,2室1厅 | 72.48平米 | 东 西 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,55,"7,589元/平"
新大地花园，电梯房，精装修，好房出售,新大地花园 -未知商圈,5室2厅 | 86.74平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,1人关注 / 6个月以前发布,156,"17,985元/平"
新大地花园，电梯房，精装修，好房出售,新大地花园 -未知商圈,5室2厅 | 86.74平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,1人关注 / 6个月以前发布,156,"17,985元/平"
辰信小区 2室1厅 南,辰信小区 -铁路局,2室1厅 | 54.83平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,110,"20,063元/平"
业主诚心诚意出售精装修两室两厅带地下室房子,祥通小区 -德港万达,2室2厅 | 75.47平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,53,"7,023元/平"
荣和城一期吉郡 3室2厅 南,荣和城一期吉郡 -油运司,3室2厅 | 101.49平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,96,"9,460元/平"
福润德旁 电梯高层 标户 三居 看房方便,汇芙园 -油运司,3室2厅 | 117平米 | 东 西 | 精装 | 高楼层(共14层)  | 板楼,1人关注 / 7个月以前发布,90,"7,693元/平"
新市区 天津北路 嘉华园 3室2厅,嘉华园 -长春路,3室2厅 | 118.56平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,93,"7,845元/平"
标准三室两厅 户型方正 南北通透 院内东西齐全,幸福花园六期 -天山区,3室2厅 | 125.27平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 10个月以前发布,92,"7,345元/平"
马德里春天大三室双卫精装南北通透拎包入住,马德里春天小区 -木材厂,3室2厅 | 143.94平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 3个月以前发布,124.8,"8,671元/平"
二宫体育馆 铁路局 空军医院 植物园 汇嘉时代,绿景花园小区 -植物园,2室1厅 | 78.66平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,4人关注 / 7个月以前发布,66,"8,391元/平"
此房户型好，中间楼层，位置好，大3室，出行方便。,蓝天森林花苑 -仓房沟,3室2厅 | 101.12平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,89,"8,802元/平"
北京南路财大南校区高层带电梯 南北通透 地铁沿线,新疆财经大学南校区家属院 -小西沟,3室2厅 | 159平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,7人关注 / 一年前发布,163,"10,252元/平"
水木多层4楼带地下室精装修113平带家具家电拎包入,特变水木尚城 -天汇汽车城,3室2厅 | 113.68平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,99.8,"8,780元/平"
水区南湖 南湖花苑 109平米 3居室 南北通透,南湖花苑 -南湖广场,3室2厅 | 133.98平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,88,"6,569元/平"
水区 水磨沟公园 世界公元二期 四室两厅出售,世界公元Ⅱ -水磨沟公园,4室2厅 | 193.71平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,3人关注 / 6个月以前发布,293,"15,126元/平"
阿勒泰路汇芙园3室2厅好房子 简单装修,汇芙园 -油运司,3室2厅 | 89.79平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,73,"8,131元/平"
房子是一梯两户，三室两厅，南北通透，中间楼层,泰琇小区 -油运司,3室2厅 | 87.31平米 | 北 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,54,"6,185元/平"
南湖地段 交通便利   好房出售,六道湾卧龙花园西区 -南湖广场,3室2厅 | 130.79平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,6人关注 / 11个月以前发布,95,"7,264元/平"
东大梁朝阳明居小户型实惠两居室,朝阳明居 -幸福路,2室2厅 | 73.45平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,48,"6,536元/平"
纺织品家属院 2室2厅 东 北,纺织品家属院 -幸福路,2室2厅 | 97.64平米 | 东 北 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 7个月以前发布,153,"15,670元/平"
送变电高层小区 3室2厅 南 北,送变电高层小区 -长春路,3室2厅 | 133.18平米 | 南 北 | 简装 | 高楼层(共25层)  | 暂无数据,3人关注 / 一年前发布,107,"8,035元/平"
七中旁两室南北朝向采光好出行方便,荣发小区 -南门,3室2厅 | 120平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,150,"12,500元/平"
水磨沟 五星路 一炮成功 银钻小区,银钻小区 -未知商圈,3室2厅 | 132平米 | 东 北 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,80,"6,061元/平"
天山农商银行家属院，位置佳，交通便利,天山农商银行家属院 -南湖广场,2室2厅 | 74.28平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,56,"7,540元/平"
