标题,开发商,房子信息,发布信息,售价/万,单价
精装修3房 视野开阔 南北通透 省心省力省时间,香榭丽舍 -风景城邦商圈,3室1厅 | 98.62平米 | 南 北 | 精装 | 14层  | 板塔结合,0人关注 / 6天以前发布,83,"8,417元/平"
恒大雅苑 交通便利 配套齐全 物业佳 间距阔 诚心卖,恒大雅苑 -宝华商圈,2室2厅 | 98.86平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,5人关注 / 一年前发布,75.6,"7,648元/平"
金樾公馆三房一卫阳光普照，视野一览无余。,金樾公馆 -句容市区,3室1厅 | 97平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 板塔结合,0人关注 / 3个月以前发布,94,"9,691元/平"
都市晴园皓月坊4-2-1-2 133.00m² 150 万,都市晴园皓月坊 -句容市区,4室2厅 | 133平米 | 东南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 10个月以前发布,125,"9,399元/平"
城西天悦容城  电梯洋房 顶复加阁楼 有大露台看房方便,天悦容城 -句容市区,3室2厅 | 100.95平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,89,"8,817元/平"
多层住宅，公摊面积少，生活便利,紫荆苑(扬子江路) -大港新区,1室1厅 | 50.01平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,23.8,"4,760元/平"
两用房，通透。采光好，精装两房，可办工,恒大雅苑 -宝华商圈,2室2厅 | 93.8平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,10人关注 / 5个月以前发布,57.5,"6,131元/平"
电梯洋房，低密度小区，户型好楼层好，有钥匙随时看房,中冶玉翠园 -南山商圈,3室2厅 | 131.62平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,13人关注 / 9个月以前发布,166,"12,613元/平"
此房南北通透格局 楼层好 采光不受影响 配套设施齐全,阳光西班牙 -风景城邦商圈,3室2厅 | 104.21平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,3人关注 / 一年前发布,82.8,"7,946元/平"
娄巷好房出售   配套全  设施好,娄巷 -大市口商圈,3室1厅 | 73.64平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,168,"22,814元/平"
碧桂园大平层，环境优美低价出售。,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,4室2厅 | 266.48平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,14人关注 / 一年前发布,181,"6,793元/平"
东边户大平层 满5年 精装交付没住过 有钥匙随时看,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,4室2厅 | 172.48平米 | 南 东南 | 精装 | 高楼层(共30层)  | 塔楼,2人关注 / 6个月以前发布,135,"7,827元/平"
此房满五唯一，楼层佳，采光好，可随时看房,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 92.21平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,1人关注 / 5个月以前发布,86,"9,327元/平"
区政府商圈福临广场室小高层电梯房毛坯,福临广场 -风景城邦商圈,3室2厅 | 125.58平米 | 北 南 | 毛坯 | 高楼层(共11层)  | 塔楼,4人关注 / 9个月以前发布,100,"7,964元/平"
宝华山下 四季金辉 四房改善 人车分流 小区配套全,四季金辉 -宝华商圈,4室2厅 | 109.97平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,110,"10,003元/平"
精装用料考究 保养好  可拎包入住 谁看谁喜欢,银泰祥龙雅苑 -风景城邦商圈,4室2厅 | 131.82平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,108.8,"8,254元/平"
装修好，南北通透，中间楼层采光好，视野开阔,臻岳君庭 -青年广场商圈,2室1厅 | 96.4平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,4人关注 / 一年前发布,77,"7,988元/平"
大三房     四季金辉  看房有钥匙,四季金辉 -宝华商圈,3室2厅 | 89.27平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 塔楼,2人关注 / 一年前发布,95,"10,642元/平"
小区环境优美内有人工湖出行便利近商场户型方正,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.54平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,3人关注 / 8个月以前发布,66,"7,290元/平"
宝龙二期，户型方正  小区环境优美,宝龙国际花园二期 -宝龙商圈,4室2厅 | 129.59平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,13人关注 / 一年前发布,97,"7,486元/平"
业主诚意出售，楼栋位置好，楼层适中采光好,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 122.69平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,3人关注 / 10个月以前发布,86,"7,010元/平"
水蓝湾三房朝南户型 楼层好 采光好,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室2厅 | 92.52平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 8个月以前发布,71.6,"7,739元/平"
房型方正，南京东，交通方便。得房率高,黄梅新村中区 -碧桂园凤凰城,3室2厅 | 108.05平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,68,"6,294元/平"
一期凤仪苑112平高层三室毛坯房,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,3室2厅 | 112.38平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 塔楼,8人关注 / 一年前发布,84,"7,475元/平"
好楼层全天阳光，全屋精装家具家电，大三房双阳台。,碧桂园凤凰城幸福里 -碧桂园凤凰城,3室2厅 | 119.38平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,8人关注 / 8个月以前发布,103,"8,628元/平"
婚房配置 业主诚心出售 看中价格可谈 家电家具不带走,泰达青筑 -宝华商圈,2室2厅 | 81.38平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,78,"9,585元/平"
全新毛坯顶层复式，采光好，满二，业主诚意出售,中南世纪城望江 -红豆购物广场商圈,3室2厅 | 138.76平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,210.5,"15,171元/平"
业主诚心出售，满两年 小区中间，进出方便，地铁口,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 133.47平米 | 东南 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,86,"6,444元/平"
八层电梯洋房  小区景观位置  2019年交付   业主急售,光明南郡 -风景城邦商圈,4室2厅 | 131.72平米 | 南 | 毛坯 | 中楼层(共8层)  | 塔楼,5人关注 / 一年前发布,112,"8,503元/平"
精装用料考究 保养好  可拎包入住 谁看谁喜欢,银泰祥龙雅苑 -风景城邦商圈,4室2厅 | 131.82平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,108.8,"8,254元/平"
云玺大平层，10月满两年，中间楼层,云玺苑 -碧桂园凤凰城,4室2厅 | 192.81平米 | 东南 | 精装 | 中楼层(共31层)  | 塔楼,1人关注 / 6个月以前发布,168,"8,714元/平"
宝华山下 四季金辉 四房改善 人车分流 小区配套全,四季金辉 -宝华商圈,4室2厅 | 109.97平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,110,"10,003元/平"
小区环境优美内有人工湖出行便利近商场户型方正,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.54平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,3人关注 / 8个月以前发布,66,"7,290元/平"
装修好，南北通透，中间楼层采光好，视野开阔,臻岳君庭 -青年广场商圈,2室1厅 | 96.4平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,4人关注 / 一年前发布,77,"7,988元/平"
大三房     四季金辉  看房有钥匙,四季金辉 -宝华商圈,3室2厅 | 89.27平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 塔楼,2人关注 / 一年前发布,95,"10,642元/平"
电梯洋房，低密度小区，户型好楼层好，有钥匙随时看房,中冶玉翠园 -南山商圈,3室2厅 | 131.62平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,13人关注 / 9个月以前发布,166,"12,613元/平"
碧桂园凤凰城临湖苑精装修改善大三房,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 126.37平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,84.8,"6,711元/平"
御桥嘉园精装修2-2-1-1 88平 69.8 万,御桥嘉园 -市政府商圈,2室2厅 | 88.23平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,75.8,"8,592元/平"
急售 价格美丽！！！户型格局方正，视野好 采光充足,碧桂园凤凰城凤鸣苑 -碧桂园凤凰城,3室1厅 | 139.97平米 | 南 东南 | 精装 | 低楼层(共29层)  | 塔楼,26人关注 / 一年前发布,90,"6,430元/平"
地铁口精装小三房 出行方便 楼栋好采光好 户型方正,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.54平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,81,"8,947元/平"
地铁精装房  满两年 阳台已封闭,碧桂园凤凰城幸福里 -碧桂园凤凰城,3室2厅 | 119.02平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,7人关注 / 一年前发布,88,"7,394元/平"
芷兰湾三房好房，有车位，开发商精装。,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 126.04平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,11人关注 / 一年前发布,95,"7,538元/平"
碧桂园凤凰城翰林湾精装三房   朝南户型,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 133.71平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,22人关注 / 一年前发布,98,"7,330元/平"
该业主房子待售，女儿待嫁，有意向的抓紧时间联系,四季金辉 -宝华商圈,3室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 一年前发布,89,"10,000元/平"
南站旁低总价实惠毛坯温馨三居室南北通透,绿地香颂苑 -南山商圈,3室2厅 | 92.48平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,73,"7,894元/平"
小区环境优美内有人工湖出行便利近商场户型方正,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室2厅 | 123.32平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 10个月以前发布,87,"7,055元/平"
翰林湾二次装修，满二，钥匙随时看房,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室1厅 | 133.55平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,5人关注 / 8个月以前发布,105,"7,863元/平"
位于小区前排，前面无遮挡，景观好，离地铁口近。,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 91.17平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,11人关注 / 7个月以前发布,73,"8,008元/平"
南京东 近地铁 大平层居住舒适性高 配套齐全,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,4室2厅 | 179.64平米 | 南 | 简装 | 31层  | 塔楼,5人关注 / 8个月以前发布,125,"6,959元/平"
碧桂园大平层，环境优美低价出售。,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,4室2厅 | 266.48平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,14人关注 / 一年前发布,181,"6,793元/平"
此房是新小区，环境优美，地理位置佳，近镇江高铁南站,景泉印象 -风景城邦商圈,3室2厅 | 103.74平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,59人关注 / 一年前发布,53,"5,109元/平"
国企泰达，环境好，精装三房，满五年，急卖,泰达青筑 -宝华商圈,3室2厅 | 101.94平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,6人关注 / 一年前发布,76,"7,456元/平"
满两年。采光好，位置好，大三房,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 116.03平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 一年前发布,110,"9,481元/平"
区政府商圈福临广场室小高层电梯房毛坯,福临广场 -风景城邦商圈,3室2厅 | 125.58平米 | 北 南 | 毛坯 | 高楼层(共11层)  | 塔楼,4人关注 / 9个月以前发布,100,"7,964元/平"
东边户大平层 满5年 精装交付没住过 有钥匙随时看,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,4室2厅 | 172.48平米 | 南 东南 | 精装 | 高楼层(共30层)  | 塔楼,2人关注 / 6个月以前发布,135,"7,827元/平"
此房满五唯一，楼层佳，采光好，可随时看房,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 92.21平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,1人关注 / 5个月以前发布,86,"9,327元/平"
碧桂园凤凰城凤鸣苑 业主自装112平大三房 急售,碧桂园凤凰城凤鸣苑 -碧桂园凤凰城,3室1厅 | 112.35平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,71,"6,320元/平"
雅居乐涟山 129平 113万 楼层好    楼间距大 采光好,雅居乐涟山 -南徐商圈,3室2厅 | 129.81平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,12人关注 / 一年前发布,110,"8,474元/平"
装修好，南北通透，中间楼层采光好，视野开阔,臻岳君庭 -青年广场商圈,2室1厅 | 96.4平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,4人关注 / 一年前发布,77,"7,988元/平"
小区环境优美内有人工湖出行便利近商场户型方正,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.54平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,3人关注 / 8个月以前发布,66,"7,290元/平"
亚东紫檀精装修，各付价格，楼层好，视野宽阔，诚心卖,亚东紫檀 -南徐商圈,3室2厅 | 130.68平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,165,"12,627元/平"
吾悦华府172.84平 四室两厅两卫  有地暖 满两年,吾悦华府 -丹阳开发区商圈,4室1厅 | 172.84平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 5个月以前发布,199.8,"11,560元/平"
碧桂园临湖苑环境好户型方正价格低,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 125.88平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 3个月以前发布,80,"6,356元/平"
万达茂旁中间楼层朝南 M80户型,京东紫晶 -宝华商圈,2室2厅 | 67.96平米 | 南 | 毛坯 | 中楼层(共35层)  | 塔楼,0人关注 / 一年前发布,71,"10,448元/平"
南京东 地铁口 满两年 三房朝南,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 92平米 | 东南 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 6个月以前发布,77,"8,370元/平"
华都锦城 前排108平 精装3室 124.8万,华都锦城 -丹阳华南商圈,3室2厅 | 108.22平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,121.8,"11,255元/平"
一梯三户小户型，两房朝南，采光充足，购物交通便利,江滨新村三期 -东吴商圈,2室1厅 | 52.33平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,37.8,"7,224元/平"
阳台前面就是湖，楼层采光都很毒，三房两卫都够住。,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室2厅 | 133.65平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,9人关注 / 3个月以前发布,81.5,"6,099元/平"
退层洋房 精装修大横厅 有钥匙 采光充足 看房方便！,万科蓝山 -南山商圈,3室2厅 | 121.35平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 6个月以前发布,168,"13,845元/平"
户型好，楼层佳，视野采光无遮挡，得房率高，居住舒适,永隆城市广场 -丁卯商圈,2室2厅 | 76.58平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,71,"9,272元/平"
品质小区，值得信赖，欢迎随时来看房。,招商国际E城 -宝华商圈,3室2厅 | 105平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 一年前发布,106,"10,096元/平"
房子格局好，主卧朝南，楼层好，配套设施齐全,京东紫晶 -宝华商圈,2室2厅 | 75.02平米 | 南 | 精装 | 低楼层(共35层)  | 板楼,1人关注 / 8个月以前发布,73,"9,731元/平"
阳光世纪花园精装2房 通透全明 多层3楼 大厨房 采光好,阳光世纪花园百合苑 -东吴商圈,2室2厅 | 90.44平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,84,"9,288元/平"
招商依云尚城 精装家电。房东急售。采光足，视野好，,招商国际E城 -宝华商圈,3室1厅 | 91平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,4人关注 / 一年前发布,99,"10,880元/平"
宝华山下，经典洋房，依山而建，环境优美,九曲花苑 -宝华商圈,3室2厅 | 82.2平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,1人关注 / 一年前发布,110,"13,382元/平"
格局好，楼层好，采光足，视野开阔,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 123.56平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,119,"9,631元/平"
万达茂旁，翡翠华府精装修加地暖，诚心出售，环境优美,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115.18平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,16人关注 / 一年前发布,111,"9,638元/平"
近吾悦广场，买菜做饭很方便。吃喝住行都在家门口。,珑悦苑 -丁卯商圈,3室2厅 | 114.69平米 | 东南 | 精装 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,128.5,"11,205元/平"
大三房 环境优美近商场   低密度社区  花园洋房,碧桂园·江南世家 -句容市区,3室2厅 | 95.63平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,68.8,"7,195元/平"
锦轩华庭 电梯精装10楼 一梯两户  三房两卫  全天采光,锦轩华庭 -丹阳华南商圈,3室2厅 | 128.9平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,4人关注 / 一年前发布,119.8,"9,295元/平"
精装修，两室朝南，前后无遮挡，采光充足，江景房,象山花园二区 -红豆购物广场商圈,2室2厅 | 75.61平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,53,"7,010元/平"
户型方正，小高层中间楼层，采光无遮挡，装修保养好,米山雅居东区 -象山街办,2室1厅 | 57.81平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,7人关注 / 6个月以前发布,41.6,"7,196元/平"
中冶蓝湾精装修现房 保养很好 全天采光 诚心出售,恒泰学府里 -红豆购物广场商圈,3室2厅 | 90.82平米 | 南 北 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,68,"7,488元/平"
招商依云尚城 精装家电。房东急售。采光足，视野好，,招商国际E城 -宝华商圈,3室1厅 | 91平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,4人关注 / 一年前发布,99,"10,880元/平"
宝华山下，经典洋房，依山而建，环境优美,九曲花苑 -宝华商圈,3室2厅 | 82.2平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,1人关注 / 一年前发布,110,"13,382元/平"
视野开阔，采光充足，配套设施相当完善，交通便利,美的城二区 -市政府商圈,3室2厅 | 98.76平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,106,"10,734元/平"
精装，拎包入住，全明，采光充足,恒华苑 -丁卯商圈,2室2厅 | 83.35平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,21人关注 / 一年前发布,49.8,"5,975元/平"
交通便利，生活配套设施齐全。。,世纪名门 -丁卯商圈,2室1厅 | 94.05平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 7个月以前发布,79,"8,400元/平"
碧桂园世纪城邦118平92万视野开阔采光充足,碧桂园世纪城邦 -句容,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,8人关注 / 一年前发布,71,"6,017元/平"
房东急售 众悦华城 15楼 130㎡ 三室两厅一卫 全天采光,众悦华城 -丹阳开发区商圈,3室2厅 | 130.69平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,95.8,"7,331元/平"
融创悦秀园 5室2厅 南 北,融创悦秀园 -丁卯商圈,5室2厅 | 128.78平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,5人关注 / 10个月以前发布,202,"15,686元/平"
"此房户型方正，朝向好 楼层好, 采光不错,",朴园上观 -万达商圈,3室2厅 | 120.68平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,180,"14,916元/平"
户型方正 毛坯 装自己喜欢温馨的家 楼下就是吾悦 长申,沃得花园三期 -丁卯商圈,2室2厅 | 87.63平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,78,"8,902元/平"
配套成熟 环境优美 户型好 *市菜场都有,京东紫晶 -宝华商圈,4室2厅 | 110.89平米 | 南 | 毛坯 | 中楼层(共35层)  | 塔楼,8人关注 / 一年前发布,78,"7,034元/平"
南京仙林东宝华山下精装修未住新房,碧桂园大学印象峰景苑 -宝华商圈,3室1厅 | 95.74平米 | 南 | 简装 | 低楼层(共29层)  | 板楼,0人关注 / 3个月以前发布,79,"8,252元/平"
生活方便，交通便利，环境优美，成熟小区，采光很好,康泰花园 -丁卯商圈,2室2厅 | 56平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,44,"7,858元/平"
地铁S6号线直达马群 新交付现房 佩合满2年过户,云玺苑 -碧桂园凤凰城,3室2厅 | 107平米 | 南 北 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 2个月以前发布,72,"6,729元/平"
三室两厅两卫，南北通透，视野开阔,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室2厅 | 133.77平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 一年前发布,82,"6,130元/平"
轻轨S6站口 凤凰城11期新户型3开间朝南 精装没住过,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 105.58平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,80,"7,578元/平"
S6轻轨 凤凰城11期第3代产品 3房2卫满二年有车位,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 117.34平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 11个月以前发布,105,"8,949元/平"
S6轻轨 凤凰城11期第3代产品 3房2卫满二年有车位,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 117.16平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 11个月以前发布,105,"8,963元/平"
南山C位，精装修拎包入住，带地暖，空调，有钥匙可看,万科蓝山 -南山商圈,3室2厅 | 115.56平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,51人关注 / 11个月以前发布,129,"11,164元/平"
万科物业 天玺华府 三房 毛坯 采光好 有钥匙 随时看房,天玺华府 -句容市区,3室2厅 | 99.41平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,90,"9,054元/平"
一步南京  精装三房 三开间朝南,和昌仙林国际 -宝华商圈,2室1厅 | 92平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,1人关注 / 2个月以前发布,88,"9,566元/平"
金鼎城市花园129平全屋欧派装修,金鼎城市花园 -丹阳开发区商圈,3室2厅 | 129.64平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 7个月以前发布,128.5,"9,913元/平"
仙林东碧桂园仙林东郡一楼带30平院子小三房诚意出售,碧桂园仙林东郡 -宝华商圈,3室2厅 | 82.81平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,16人关注 / 9个月以前发布,79,"9,540元/平"
区政府泰银·茗园4-2-1-2 120.21m² 中等装修三楼,泰银·茗园 -风景城邦商圈,4室2厅 | 120.21平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,5人关注 / 6个月以前发布,89,"7,404元/平"
南北通透的格局，通风好，屋子里空气更好流通,華南新村 -丹阳华南商圈,3室1厅 | 85.52平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,63,"7,367元/平"
采光充沛 楼层好 看房方便 交通便利，小区新环境好,宜安苑 -大港新区,2室1厅 | 86.47平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 9个月以前发布,34,"3,932元/平"
恒大城 103平 精装修 高楼层  采光好 户型好,恒大城 -丹阳开发区商圈,3室2厅 | 103.66平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,27人关注 / 一年前发布,88,"8,490元/平"
高品质小区，小区物业好，环境好，人员素养高,香江世纪名城 -学府路商圈,1室1厅 | 45.22平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 一年前发布,43,"9,510元/平"
宝龙旁 精装房 省时 省力 省时间 采光充足 交通便利,钱塘•彩虹城 -宝龙商圈,3室2厅 | 106.57平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 7个月以前发布,106,"9,947元/平"
地铁口，天玺华府万科物业。。交通便捷,天玺华府 -句容市区,3室2厅 | 88平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,108,"12,273元/平"
四季金辉 毛坯四房 东边户 楼层好 采光视野无遮挡,四季金辉 -宝华商圈,4室2厅 | 107.21平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,33人关注 / 一年前发布,87,"8,115元/平"
采光好.楼层好 格局好 视野宽阔交通便利 配套设施,四季金辉 -宝华商圈,3室2厅 | 86.88平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 一年前发布,83,"9,554元/平"
孔雀苑 精装两房 房东诚心出售,孔雀苑 -学府路商圈,2室2厅 | 83.03平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 11个月以前发布,72,"8,672元/平"
有地暖有车位二次装修房主急售价格可以谈,碧桂园凤凰城凤鸣苑 -碧桂园凤凰城,3室2厅 | 136.34平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,3人关注 / 8个月以前发布,95,"6,968元/平"
此房源满两年，无增值税 此房二次装修，家具家电,濠锋星钻 -宝华商圈,2室2厅 | 90.9平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,79,"8,691元/平"
配套成熟 环境优美 户型好 *市菜场都有,京东紫晶 -宝华商圈,4室2厅 | 110.89平米 | 南 | 毛坯 | 中楼层(共35层)  | 塔楼,8人关注 / 一年前发布,78,"7,034元/平"
房东急售 众悦华城 15楼 130㎡ 三室两厅一卫 全天采光,众悦华城 -丹阳开发区商圈,3室2厅 | 130.69平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,95.8,"7,331元/平"
"此房户型方正，朝向好 楼层好, 采光不错,",朴园上观 -万达商圈,3室2厅 | 120.68平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,180,"14,916元/平"
碧桂园世纪城邦118平92万视野开阔采光充足,碧桂园世纪城邦 -句容,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,8人关注 / 一年前发布,71,"6,017元/平"
