标题,开发商,房子信息,发布信息,售价/万,单价
安德门商圈 银城物业 交通便利 楼层采光无遮挡,时光澔韵 -小行,3室2厅 | 113.54平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,5人关注 / 2个月以前发布,420,"36,992元/平"
小区电梯新换，秦淮河景观，东边户两房视野开阔采光好,琥珀巷高层小区 -建康路,2室1厅 | 56.87平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,8人关注 / 4个月以前发布,169,"29,717元/平"
阅城正规两房，中间楼层，视野好！采光好！业主急卖！,阅城国际花园悠然园 -宁南,2室2厅 | 91.39平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,103人关注 / 一年前发布,388,"42,456元/平"
店长推荐，满五唯一，省个税，没有物业费和车位费,横岭新寓 -江宁大学城,2室1厅 | 67.62平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,19人关注 / 5个月以前发布,117,"17,303元/平"
珠江路 长江路 双南两室 居家装修拎包入住,如意里 -长江路,2室1厅 | 64.51平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,248,"38,444元/平"
总统府旁，房龄新，低总价，近长江路旅游街，业主诚心,东箭道 -长江路,1室1厅 | 41.4平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,13人关注 / 5个月以前发布,123,"29,711元/平"
天元城 朝南刚需户型  采光充足无遮挡  看房方便,市政天元城 -东山镇,1室1厅 | 55.36平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,51人关注 / 一年前发布,135,"24,386元/平"
婚装房，保养好，采光视野好，业主诚心出售,花港幸福城玫瑰园 -马群,3室1厅 | 87.1平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,38人关注 / 8个月以前发布,163,"18,715元/平"
双南大两房 全明户型 优质小区 急售,紫鑫城 -锁金村,2室2厅 | 74.31平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,27人关注 / 7个月以前发布,218,"29,337元/平"
纯边户 中间楼层 户型方正 业主诚售,花港幸福城杜鹃园 -马群,3室1厅 | 87.02平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,1人关注 / 3个月以前发布,158,"18,157元/平"
盛和家园 南区 单室套 出行方便 业主底价急售,盛和家园南区 -马群,1室1厅 | 47.06平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,27人关注 / 一年前发布,81,"17,213元/平"
４楼　东边户　有钥匙　前无遮挡　夫子庙　三山街地铁,璇子巷 -长乐路,1室1厅 | 40.07平米 | 东南 南 北 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 2个月以前发布,125,"31,196元/平"
九龙湖板块 户型方正 交通便利 配套齐全 生活便利,殷巷新寓124至187幢 -九龙湖,2室1厅 | 63.39平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,155,"24,452元/平"
三地铁沿线  百家湖户型方正通透两室一厅出售,碧水湾西园 -百家湖,2室1厅 | 75.12平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,39人关注 / 9个月以前发布,217,"28,888元/平"
大石桥珠江路老虎桥好楼层业主诚售随时看房,大石桥10号 -丹凤街,2室1厅 | 47平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,9人关注 / 8个月以前发布,270,"57,447元/平"
明发滨江新城二期，单室套，诚心出售，中楼层，不占用,明发滨江新城二期 -桥北,1室1厅 | 47.12平米 | 北 | 简装 | 高楼层(共27层)  | 塔楼,5人关注 / 4个月以前发布,145,"30,773元/平"
三开间朝南，全明户型，双飘窗，精装修,天润城第十六街区北区 -桥北,2室2厅 | 89.66平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,7人关注 / 2个月以前发布,163,"18,180元/平"
此房采光充足，环境好，适宜居住，精装修，满五唯一,东郊小镇第五街区 -麒麟镇,2室2厅 | 80.36平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,130,"16,178元/平"
70年产权，中高楼层 采光好，精装修拎包入住,浦东大厦 -泰山街道,1室1厅 | 57.49平米 | 南 | 精装 | 高楼层(共38层)  | 塔楼,77人关注 / 一年前发布,82,"14,264元/平"
满2年 采光无遮挡 置换诚心出售 看中可谈,茉莉园 -马群,1室1厅 | 58.4平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,18人关注 / 一年前发布,93,"15,925元/平"
曹后村10号双地铁全明中间楼层毛坯随时看,曹后村10号 -红山,2室1厅 | 50.56平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,5人关注 / 7个月以前发布,132,"26,108元/平"
满五科利华    采光无遮挡   精装修拎包入住,高楼门 -玄武门,2室1厅 | 63.06平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,368,"58,358元/平"
天润城，第四街区 ， 地铁口 。,天润城第二街区 -桥北,2室2厅 | 90.63平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,8人关注 / 一年前发布,148,"16,331元/平"
采光好 满五唯一 业主诚心卖房,白鹭花园凤栖苑 -湖西街,2室1厅 | 63.2平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,140人关注 / 7个月以前发布,145,"22,944元/平"
五塘地铁口 白云雅居  南北二房  朝南大客厅,白云雅居 -五塘广场,2室1厅 | 67.62平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,18人关注 / 3个月以前发布,194,"28,690元/平"
满五唯一，光线好从未出租带车位适合小家庭换房诚售。,东郊小镇第二街区 -麒麟镇,2室1厅 | 64.76平米 | 东 西 | 精装 | 中楼层(共6层)  | 板塔结合,18人关注 / 5个月以前发布,120,"18,530元/平"
新庄西村 2楼 配套齐全 生活方便 刚需可选,新庄西村 -大厂,2室1厅 | 53.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,7人关注 / 7个月以前发布,64,"12,040元/平"
宋都小区环境清幽 全南2房 三面采光 配套齐全,宋都南郡国际南区 -板桥,2室1厅 | 68.85平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 8个月以前发布,163,"23,675元/平"
楼层好 东边户 视野开阔 采光充足  配套设施齐全,新城保利天地 -禄口,3室1厅 | 77.57平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,4人关注 / 6个月以前发布,128,"16,502元/平"
楼层好 总价低 三山街地铁站 采光好 公交站 双塘路,铜坊苑小区 -来凤里,1室1厅 | 36.48平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,15人关注 / 8个月以前发布,118,"32,347元/平"
明发一期T户型两房 满五年 产权清晰,明发滨江新城一期 -桥北,2室2厅 | 90.34平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,19人关注 / 一年前发布,195,"21,586元/平"
采光好，视野好，总价低，户型方正，明厨明卫。,颐家春天花园 -禄口,1室1厅 | 41.74平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,113人关注 / 一年前发布,31,"7,427元/平"
科利华 南北通透 采光好 次顶楼 高楼门 西家大塘,北极山村 -玄武门,3室1厅 | 62.39平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,330,"52,894元/平"
绿城物业环境好 东边户 采光充足 婚装修 品牌家电,平治东苑 -岱山新城,3室1厅 | 85.76平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,36人关注 / 一年前发布,175,"20,406元/平"
滨江正核 电梯房 采光好 诚心出售,弘阳禹洲时光印象 -江宁滨江,3室2厅 | 88.47平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,4人关注 / 6个月以前发布,121,"13,677元/平"
小区电梯新换，秦淮河景观，东边户两房视野开阔采光好,琥珀巷高层小区 -建康路,2室1厅 | 56.87平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,8人关注 / 4个月以前发布,169,"29,717元/平"
马台街 将军庙 2房1厅 中间楼层 南北朝向 精装修,将军庙 -湖南路,2室1厅 | 53.42平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,166,"31,075元/平"
金浦御龙湾 低密度 小高层 采光视野好 南北通透两房,金浦御龙湾 -迈皋桥,2室2厅 | 88.12平米 | 南 北 | 简装 | 高楼层(共20层)  | 板塔结合,19人关注 / 11个月以前发布,305,"34,612元/平"
曹后村10号双地铁全明中间楼层毛坯随时看,曹后村10号 -红山,2室1厅 | 50.56平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,5人关注 / 7个月以前发布,132,"26,108元/平"
大石桥珠江路老虎桥好楼层业主诚售随时看房,大石桥10号 -丹凤街,2室1厅 | 47平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,9人关注 / 8个月以前发布,270,"57,447元/平"
三地铁沿线  百家湖户型方正通透两室一厅出售,碧水湾西园 -百家湖,2室1厅 | 75.12平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,39人关注 / 9个月以前发布,217,"28,888元/平"
满2年 采光无遮挡 置换诚心出售 看中可谈,茉莉园 -马群,1室1厅 | 58.4平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,18人关注 / 一年前发布,93,"15,925元/平"
全新未住 高品质现代轻奢风 高楼层东边户江景美宅,雅居乐滨江国际三四期 -顶山街道,4室2厅 | 291.95平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,59人关注 / 一年前发布,1200,"41,103元/平"
大行宫东箭道 居家两房 总价低 精装修采光好全明,东箭道 -长江路,2室1厅 | 40.43平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,5人关注 / 1个月以前发布,128,"31,660元/平"
此房得房率高 采光不遮挡 满五唯一户型方正,海润枫景家园 -泰山街道,2室1厅 | 84.92平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,6人关注 / 5个月以前发布,125,"14,720元/平"
茉莉园3-1-1-1 88.00m² 165 万,茉莉园 -马群,3室1厅 | 88.99平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,135,"15,171元/平"
万科物业，中高楼层采光好，居家精装修，价格好谈,万达西地一期 -万达广场,2室1厅 | 80.82平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,13人关注 / 8个月以前发布,385,"47,637元/平"
双南双北 南北通透 厨卫全明 采光好 常府街地铁200米,九莲塘 -常府街,2室1厅 | 64.8平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,28人关注 / 6个月以前发布,215,"33,180元/平"
格局分明  电梯房 精装修 一梯两户,左邻右里 -岔路口,2室2厅 | 87.34平米 | 南 | 精装 | 低楼层(共10层)  | 板楼,8人关注 / 9个月以前发布,259,"29,655元/平"
"河东好房,业主急售 ,采光好,装修好,生活便捷",天润城第十二街区 -桥北,2室2厅 | 76.62平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,4人关注 / 10个月以前发布,140,"18,272元/平"
岔路口 双龙大道 武夷商城电梯房 两居室,武夷商城 -岔路口,2室1厅 | 92.57平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,16人关注 / 4个月以前发布,215,"23,226元/平"
：满五唯一 精装修 双南户型  楼层好 2000年房龄,省电力公司宿舍 -迈皋桥,2室1厅 | 73.7平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,20人关注 / 一年前发布,170,"23,067元/平"
小区电梯新换，东边户 视野开阔 采光好，精装两房,琥珀巷高层小区 -建康路,2室1厅 | 56.95平米 | 东 南 | 简装 | 中楼层(共24层)  | 板楼,20人关注 / 3个月以前发布,166,"29,149元/平"
中间复式 得房率高 北望紫金山 城东次新房,大发融悦 -孝陵卫,3室2厅 | 87.5平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,26人关注 / 一年前发布,420,"48,000元/平"
南北通透 银城物业 交通便利  新装修,鸿意星城 -月牙湖,2室1厅 | 81.05平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,8人关注 / 6个月以前发布,259,"31,956元/平"
演武新村位置好：南外旁，小区刚出新不久，干净整洁,演武新村 -北京东路,2室1厅 | 52.57平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,12人关注 / 7个月以前发布,146,"27,773元/平"
夫子庙上商圈 1/3号线地铁 业主诚心出售 低楼层,大全福巷 -夫子庙,2室1厅 | 47.2平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,22人关注 / 一年前发布,168,"35,594元/平"
满五唯一，，采光充足，配套设施齐全，诚售！,天润城第十一街区 -桥北,2室2厅 | 83.96平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 2个月以前发布,146,"17,390元/平"
莫愁湖地铁口 婚装2房 有车位 看房随时 低楼层,莫愁新寓涌泉里 -汉中门大街,2室1厅 | 56.1平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,31人关注 / 7个月以前发布,213.5,"38,058元/平"
南部新城 大校场 复地宴南都 改善三房97㎡ 居家精装修,复地宴南都二期 -洪家园,3室2厅 | 97.31平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,4人关注 / 2个月以前发布,492,"50,561元/平"
奥体 万科物业 新城 满五年 精装 保养好,万科光明城市西苑 -奥体,2室2厅 | 93.04平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,9人关注 / 6个月以前发布,510,"54,816元/平"
宋都北区B1户型 婚装三房 采光充足 满二诚售,宋都南郡国际北区 -板桥,3室2厅 | 89.55平米 | 南 | 精装 | 26层  | 板楼,88人关注 / 一年前发布,189,"21,106元/平"
明发一期T户型两房 满五年 产权清晰,明发滨江新城一期 -桥北,2室2厅 | 90.34平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,19人关注 / 一年前发布,195,"21,586元/平"
满五唯一 新装拎包入住 业主诚心,天龙湾花园 -百家湖,2室1厅 | 96.85平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,68人关注 / 6个月以前发布,199,"20,548元/平"
此房视野开阔，楼间距宽，采光好，精装修,银亿东城第十二街区 -麒麟镇,2室1厅 | 73.99平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,9人关注 / 1个月以前发布,129,"17,435元/平"
总价低，看房随时方便，南北通透，开发商精装修,银亿东城第九街区 -麒麟镇,2室1厅 | 76.42平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,20人关注 / 一年前发布,139,"18,189元/平"
急售 威尼斯水城七街区 中高楼层 随时看  全天采光,威尼斯水城第七街区 -桥北,3室1厅 | 128.35平米 | 东 | 简装 | 中楼层(共27层)  | 板楼,40人关注 / 6个月以前发布,205,"15,972元/平"
急卖钟英金盾公寓新街口洪武路火瓦巷有物业有小区诚售,金盾公寓 -新街口,2室1厅 | 73.46平米 | 东北 | 精装 | 低楼层(共29层)  | 板塔结合,2人关注 / 2个月以前发布,336,"45,740元/平"
新小区，中高楼层，全天无遮挡，户型方正,新城花漾紫郡 -高新区,3室2厅 | 89.08平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,9人关注 / 一年前发布,195,"21,891元/平"
房子满2年，一楼带院子，精装修，看房方便。,银亿东城第九街区 -麒麟镇,2室1厅 | 76.42平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,51人关注 / 一年前发布,158,"20,676元/平"
隧道口 交通便利 小区绿化好 环境优美 业主诚心出售,阳光帝景 -顶山街道,2室2厅 | 93.8平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,36人关注 / 一年前发布,190,"20,256元/平"
南北两房， 采光好，精装修全明不遮挡， 楼层适中 。,一枝园小区 -长江路,2室1厅 | 49.63平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,213,"42,918元/平"
水佐岗四卫头人和街赤壁路低总价小两房，看房方便,四卫头小区 -水佐岗,2室1厅 | 49.39平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 9个月以前发布,166,"33,611元/平"
精装修 满两年 拎包入住 看房方便,万达茂御湖仕家三期 -仙林,3室1厅 | 104.71平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,13人关注 / 9个月以前发布,320,"30,561元/平"
梦幻家 纯毛坯 满两年 户型方正 配套齐全,明发浦泰梦幻家 -板桥,3室2厅 | 84.5平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,8人关注 / 6个月以前发布,158.8,"18,793元/平"
业主诚心出售 户型方正 前后无遮挡,地和苑 -桥北,1室1厅 | 41.26平米 | 南 | 简装 | 中楼层(共15层)  | 板楼,16人关注 / 6个月以前发布,69,"16,724元/平"
威尼斯水城十九街区精装两房拎包入 采光好带新风系统,北外滩水城第十九街区 -桥北,2室2厅 | 88.9平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 2个月以前发布,175,"19,686元/平"
"精装修,得房率高，郑和公园,常府街地铁，诚心出售",绣花巷8号 -常府街,1室1厅 | 38.99平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,41人关注 / 6个月以前发布,102,"26,161元/平"
紫金山 卫岗26号 下马坊 中楼层 南北通透,卫岗26号小区 -卫岗,2室1厅 | 51.57平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,45人关注 / 一年前发布,140,"27,148元/平"
岱山新城大两房 满五满二采光无挡 农拆房,平治北苑 -岱山新城,2室1厅 | 74.36平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 7个月以前发布,138,"18,559元/平"
新街口 钟英 洪武路 中间楼层,洪武路 -新街口,2室1厅 | 50.84平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,28人关注 / 7个月以前发布,288,"56,649元/平"
网红小区  精装2房   业主诚售 看房方便,弘阳时光里一区 -高新区,2室1厅 | 62.07平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,11人关注 / 9个月以前发布,165,"26,583元/平"
夫子庙商圈 户型方正 南北通透 采光好 武定门地铁,长乐路 -夫子庙,3室1厅 | 67.58平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,197人关注 / 10个月以前发布,186,"27,523元/平"
钟英 洪武路 小火瓦巷 省外贸房改 双南 精装修,小火瓦巷 -新街口,2室1厅 | 45.58平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,6人关注 / 2个月以前发布,250,"54,849元/平"
小区前排，采光无遮挡，近秦淮河，诚心出售,世茂滨江新城 -热河南路,1室2厅 | 87.5平米 | 南 | 精装 | 高楼层(共53层)  | 板塔结合,0人关注 / 2个月以前发布,380,"43,429元/平"
珠江路 丹凤街 一枝园 如意里  浮桥 双南两房  采光好,一枝园小区 -长江路,2室1厅 | 38.65平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,15人关注 / 一年前发布,163,"42,174元/平"
满五年的好房 装修好 看房方便  户型通风性好,同曦青春水岸 -百家湖,3室2厅 | 98.52平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,9人关注 / 2个月以前发布,316,"32,075元/平"
居家精装 拎包入住 户型方正 配套设施齐全  交通便利,天润城第四街区 -桥北,2室1厅 | 81.21平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,5人关注 / 6个月以前发布,143,"17,609元/平"
通透好 开发商精装修 户型方正 小区环境好,诚品城 -仙林,3室2厅 | 90.49平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,177人关注 / 一年前发布,220,"24,313元/平"
满五唯一、总价低、复式、70年产权民用水电通燃气。,东郊小镇第四街区 -麒麟镇,2室1厅 | 29.11平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,21人关注 / 一年前发布,59,"20,268元/平"
南部新城 复地宴南都 精装修次新房从未入住  南外,复地宴南都二期 -洪家园,3室2厅 | 105.89平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,7人关注 / 9个月以前发布,578,"54,585元/平"
海都旁 阳光苑 满2年 有钥匙 好楼层 虹悦城旁,阳光苑 -江浦街道,2室1厅 | 70.46平米 | 南 | 其他 | 中楼层(共21层)  | 板塔结合,3人关注 / 2个月以前发布,128,"18,167元/平"
"东边户，得房率80%,东和南双阳台，全明户型，采光好。",恒盛金陵湾 -定淮门大街,2室1厅 | 81.09平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,36人关注 / 9个月以前发布,560,"69,060元/平"
低总价房东诚心出售  正规一室一厅,三牌楼大街 -三牌楼,1室1厅 | 36.72平米 | 南 北 | 简装 | 低楼层(共9层)  | 板塔结合,4人关注 / 一年前发布,151,"41,123元/平"
南师 满五唯一，景观好房，视野好 交通方便,成贤街 -珠江路,2室1厅 | 77.34平米 | 东 | 简装 | 中楼层(共33层)  | 塔楼,10人关注 / 10个月以前发布,358,"46,290元/平"
新小区 开发商精装两房 中高楼层 价格有空间保养好,威尼斯水城第十八街区 -桥北,2室2厅 | 86.04平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,4人关注 / 一年前发布,162,"18,829元/平"
新街口商圈 单室套 精装修 中间楼层 采光好,曹都巷小区 -新街口,1室1厅 | 39.37平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,9人关注 / 4个月以前发布,125,"31,751元/平"
招商兰溪谷东苑 满两年 精装三房 高楼层采光好,招商兰溪谷二期 -高新区,3室2厅 | 88.99平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,20人关注 / 一年前发布,238,"26,745元/平"
威尼斯水城十九街区精装两房拎包入 采光好带新风系统,北外滩水城第十九街区 -桥北,2室2厅 | 88.9平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 2个月以前发布,175,"19,686元/平"
南北通透 居家装修 宜家国际公寓 满五年 看房有钥匙,宜家国际公寓 -江宁大学城,2室2厅 | 81.3平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,11人关注 / 1个月以前发布,185,"22,756元/平"
水佐岗四卫头人和街赤壁路低总价小两房，看房方便,四卫头小区 -水佐岗,2室1厅 | 49.39平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 9个月以前发布,166,"33,611元/平"
鼓楼宁夏路 山西路。赤壁路29  环境佳,宁夏路 -水佐岗,2室1厅 | 59.64平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 9个月以前发布,382,"64,051元/平"
新小区，中高楼层，全天无遮挡，户型方正,新城花漾紫郡 -高新区,3室2厅 | 89.08平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,9人关注 / 一年前发布,195,"21,891元/平"
房子满2年，一楼带院子，精装修，看房方便。,银亿东城第九街区 -麒麟镇,2室1厅 | 76.42平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,51人关注 / 一年前发布,158,"20,676元/平"
"精装修,得房率高，郑和公园,常府街地铁，诚心出售",绣花巷8号 -常府街,1室1厅 | 38.99平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,41人关注 / 6个月以前发布,102,"26,161元/平"
总价低，看房随时方便，南北通透，开发商精装修,银亿东城第九街区 -麒麟镇,2室1厅 | 76.42平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,20人关注 / 一年前发布,139,"18,189元/平"
急售 威尼斯水城七街区 中高楼层 随时看  全天采光,威尼斯水城第七街区 -桥北,3室1厅 | 128.35平米 | 东 | 简装 | 中楼层(共27层)  | 板楼,40人关注 / 6个月以前发布,205,"15,972元/平"
此房视野开阔，楼间距宽，采光好，精装修,银亿东城第十二街区 -麒麟镇,2室1厅 | 73.99平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,9人关注 / 1个月以前发布,129,"17,435元/平"
满五唯一 新装拎包入住 业主诚心,天龙湾花园 -百家湖,2室1厅 | 96.85平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,68人关注 / 6个月以前发布,199,"20,548元/平"
业主诚心出售 户型方正 前后无遮挡,地和苑 -桥北,1室1厅 | 41.26平米 | 南 | 简装 | 中楼层(共15层)  | 板楼,16人关注 / 6个月以前发布,69,"16,724元/平"
汇景和园 业主着急出售 户型南北通,汇景和园 -洪家园,2室2厅 | 75平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,37人关注 / 1个月以前发布,100,"13,334元/平"
白鹭小区，夫子庙旁，近地铁，低总价，精装修,白鹭小区丁官营 -夫子庙,2室1厅 | 49.35平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,4人关注 / 1个月以前发布,169,"34,246元/平"
中海环宇城 酒店式公寓 楼层好 采光好,中海凤凰熙岸玺荟 -凤凰西街,1室1厅 | 57.22平米 | 东 | 精装 | 中楼层(共29层)  | 板楼,3人关注 / 1个月以前发布,158,"27,613元/平"
南部新城 南外明远 电梯两房 全明户型 满五唯一,汇景家园景泰苑 -洪家园,2室1厅 | 58.34平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,27人关注 / 3个月以前发布,135,"23,141元/平"
晨光苑总高11层两房，业主诚心出售。,晨光苑 -麒麟镇,2室1厅 | 62.85平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,13人关注 / 一年前发布,106,"16,866元/平"
急卖钟英金盾公寓新街口洪武路火瓦巷有物业有小区诚售,金盾公寓 -新街口,2室1厅 | 73.46平米 | 东北 | 精装 | 低楼层(共29层)  | 板塔结合,2人关注 / 2个月以前发布,336,"45,740元/平"
奥体 清荷园 s2地铁口 采光不挡 交通便利 诚心出售,清荷园北园 -奥南,3室2厅 | 89.57平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,17人关注 / 11个月以前发布,229,"25,567元/平"
景秀园不沿高架 非顶楼 精装修 看房提前联系,天景山公寓景秀苑 -东山镇,2室1厅 | 65.38平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,19人关注 / 5个月以前发布,129,"19,731元/平"
岱山新城大两房 满五满二采光无挡 农拆房,平治北苑 -岱山新城,2室1厅 | 74.36平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 7个月以前发布,138,"18,559元/平"
满五年中间楼层，采光好，地铁口,天华硅谷庄园 -泰山街道,2室1厅 | 89.98平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,17人关注 / 一年前发布,165,"18,338元/平"
银城物业 厅卧分明 配套设施齐全 交通便利,南方花园枫彩园 -岔路口,1室1厅 | 42.24平米 | 北 | 精装 | 高楼层(共15层)  | 板楼,6人关注 / 2个月以前发布,96,"22,728元/平"
赤壁路 中间楼层 边户 采光无遮挡 繁华街道 配套成熟,老菜市 -水佐岗,2室1厅 | 73.13平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 7个月以前发布,290,"39,656元/平"
南北通透 居家装修 宜家国际公寓 满五年 看房有钥匙,宜家国际公寓 -江宁大学城,2室2厅 | 81.3平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,11人关注 / 1个月以前发布,185,"22,756元/平"
鼓楼宁夏路 山西路。赤壁路29  环境佳,宁夏路 -水佐岗,2室1厅 | 59.64平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 9个月以前发布,382,"64,051元/平"
地铁5号线 三牌楼适合陪读 年轻过渡 老人自住 都合适,三牌楼大街 -三牌楼,2室1厅 | 50.8平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,10人关注 / 3个月以前发布,148,"29,134元/平"
招商兰溪谷东苑 满两年 精装三房 高楼层采光好,招商兰溪谷二期 -高新区,3室2厅 | 88.99平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,20人关注 / 一年前发布,238,"26,745元/平"
汇景和园 业主着急出售 户型南北通,汇景和园 -洪家园,2室2厅 | 75平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,37人关注 / 1个月以前发布,100,"13,334元/平"
玲珑两房  复式挑高   环境优美   弘阳物业管理好,弘阳时光里一区 -高新区,2室2厅 | 61.37平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,74人关注 / 一年前发布,165,"26,887元/平"
