标题,开发商,房子信息,发布信息,售价/万,单价
御璟城市花园 3室2厅 南 北,御璟城市花园 -榆次区,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,100,"8,334元/平"
太行旁 南北户型 精装 拎包入住，停车免费 看房方便,玉湖佳苑 -榆次区,2室2厅 | 103平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,0人关注 / 3个月以前发布,87.99,"8,543元/平"
新兴1文教城两居全明户型带地下室,新兴文教城三期 -榆次区,2室1厅 | 106平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,2人关注 / 一年前发布,75,"7,076元/平"
简装两居室，采光充足无遮挡，适合养老,一三九小区 -榆次区,2室2厅 | 89.57平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,63,"7,034元/平"
兴达华苑 蕴华街 精装自住三居  带地下室带30平花园,兴达华苑 -榆次区,3室2厅 | 108.9平米 | 南 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 7个月以前发布,93,"8,540元/平"
万达奥莱品质小区好楼层精装修交通便利配套成熟满二。,御璟华府 -榆次区,2室2厅 | 90.98平米 | 南 北 | 精装 | 高楼层(共32层)  | 暂无数据,3人关注 / 9个月以前发布,82,"9,013元/平"
兰田传奇 3室2厅 南 北,兰田传奇 -榆次区,3室2厅 | 131平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 塔楼,0人关注 / 2个月以前发布,86,"6,565元/平"
潇河湾  无遮挡  采光充足  三居室,潇河湾 -榆次区,3室2厅 | 117平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,72.5,"6,197元/平"
安宁街玉湖北路 带十平地下室 浇筑房好楼层 三卧朝南,晋中重工局宿舍 -榆次区,3室2厅 | 117平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,80,"6,838元/平"
锦纶厂  南北一层 养老陪读 精装入住 首付10,锦纶厂2区 -榆次区,2室1厅 | 66平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,48,"7,273元/平"
经纬丽苑 业主闲置采光楼层电梯三居 满二 生活成本低,经纬西苑小区 -榆次区,3室2厅 | 107.24平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 10个月以前发布,76,"7,087元/平"
蕴华街 八中宿舍 采光充足  出入方便,八中宿舍 -榆次区,2室2厅 | 60平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,33,"5,500元/平"
金润园  安宁街   体育路   带地下室 精装  南北三居,金润园西区 -榆次区,3室2厅 | 160平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,5人关注 / 一年前发布,138,"8,625元/平"
银海心悦 电梯洋房 中间楼层 满二 带地下室,银海心悦 -榆次区,3室2厅 | 140.03平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 10个月以前发布,110,"7,856元/平"
榆次老城旁 简装两居电梯 大红本满二 可贷款,泰亨华庭 -榆次区,2室2厅 | 105平米 | 南 北 | 精装 | 中楼层(共21层)  | 板楼,0人关注 / 4个月以前发布,69,"6,572元/平"
新晋优品 带车位 三居 满二年 大红本 可以贷款 采光好,新晋优品 -榆次区,3室2厅 | 106平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,72,"6,793元/平"
普家乐宿舍 2室1厅 南 北,普家乐宿舍 -榆次区,2室1厅 | 84平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,38,"4,524元/平"
金玉华府 满二年 自住居家装修 公摊小 低密度小区,金玉华府 -榆次区,3室1厅 | 118.61平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,3人关注 / 7个月以前发布,78,"6,577元/平"
新晋优品 满二 景观楼层 精硬装 三居两卫 车位另售,新晋优品 -榆次区,3室2厅 | 134平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,11人关注 / 一年前发布,79,"5,896元/平"
金玉华府 骆驼广场边 原业主自住南北通两居室 满二年,金玉华府 -榆次区,2室2厅 | 104平米 | 北 南 | 精装 | 中楼层(共15层)  | 板楼,1人关注 / 一年前发布,68,"6,539元/平"
德国小镇 迎宾西街 生活便利 原婚房 带地下室 南北房,清华金元德国小镇 -榆次区,2室2厅 | 101.69平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,70,"6,884元/平"
榆次老城旁 简装两居电梯 大红本满二 可贷款,泰亨华庭 -榆次区,2室2厅 | 105平米 | 南 北 | 精装 | 中楼层(共21层)  | 板楼,0人关注 / 4个月以前发布,69,"6,572元/平"
经纬丽苑 业主闲置采光楼层电梯三居 满二 生活成本低,经纬西苑小区 -榆次区,3室2厅 | 107.24平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 10个月以前发布,76,"7,087元/平"
新晋优品 带车位 三居 满二年 大红本 可以贷款 采光好,新晋优品 -榆次区,3室2厅 | 106平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,72,"6,793元/平"
普家乐宿舍 2室1厅 南 北,普家乐宿舍 -榆次区,2室1厅 | 84平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,38,"4,524元/平"
榆次老城潇河湾小区交通便利南北通透采光好,潇河湾 -榆次区,3室2厅 | 125平米 | 北 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,85,"6,800元/平"
良硕和山 3室2厅 南 北,良硕和山 -榆次区,3室2厅 | 100.07平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,88,"8,794元/平"
领秀铭筑 自住南北通精装三居两卫  使用面积大 满二年,领秀铭筑 -榆次区,3室2厅 | 136.83平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,105,"7,674元/平"
蕴华街太行壹中旁荣发集团宿舍南北三居全明户型大红本,荣发集团宿舍楼 -榆次区,3室2厅 | 111平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,95,"8,559元/平"
保利心语 3室2厅 南 北,保利心语 -榆次区,3室2厅 | 111平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,2人关注 / 2个月以前发布,98,"8,829元/平"
辰兴·雅郡 3室2厅 南 北,辰兴·雅郡 -榆次区,3室2厅 | 138平米 | 南 北 | 精装 | 中楼层(共10层)  | 暂无数据,2人关注 / 3个月以前发布,125,"9,058元/平"
良硕和山 自住三居 满二 厨卫带窗 拎包入住 诚售,良硕和山 -榆次区,3室1厅 | 99.06平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,73,"7,370元/平"
御璟华府 满二年自住两居 采光设计  成熟配套商圈,御璟华府 -榆次区,2室2厅 | 84平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,1人关注 / 4个月以前发布,66,"7,858元/平"
新兴文教城全新装修三居室婚房诚心出售,新兴文教城三期 -榆次区,3室2厅 | 129.9平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 6个月以前发布,90,"6,929元/平"
科技局宿舍 3室2厅 南 北,科技局宿舍 -榆次区,3室2厅 | 110平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,83,"7,546元/平"
五公司宿舍 2室1厅 南,五公司宿舍 -榆次区,2室1厅 | 63平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,1人关注 / 3个月以前发布,37,"5,874元/平"
太原南站东 龙城金帝园小区 简装三居室出售,龙城金帝园 -榆次区,3室2厅 | 119.3平米 | 南 北 | 简装 | 低楼层(共18层)  | 暂无数据,3人关注 / 6个月以前发布,72,"6,036元/平"
新兴文教城精装拎包入住有车位地下室,新兴文教城三期 -榆次区,3室2厅 | 155平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,115,"7,420元/平"
西华苑 适合老人居住的房子 精装两居 自住房 满二年,西华苑住宅小区 -榆次区,2室1厅 | 86.45平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,51,"5,900元/平"
有钥匙可贷款安宁街印象城 雅园 新晋世家城市艺墅三室,顺驰城市艺墅 -榆次区,3室2厅 | 122平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,14人关注 / 9个月以前发布,70,"5,738元/平"
德国小镇 楼中楼 南北通 满五年两居两卫 小区中间位置,清华金元德国小镇 -榆次区,2室2厅 | 112.95平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,59,"5,224元/平"
农牧局小区 3室2厅 南 北,农牧局小区 -榆次区,3室2厅 | 102平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,65,"6,373元/平"
良硕和山 楼间距宽 景观层三居室 业主有车位另卖,良硕和山 -榆次区,3室1厅 | 96平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,2人关注 / 11个月以前发布,75,"7,813元/平"
御景城市花园   中间层  采光好 大三居房可拎包入住,御璟城市花园 -榆次区,3室2厅 | 160平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,145,"9,063元/平"
焦化集团宿舍 免费停车 步梯中间楼层 三阳房 带地下室,焦化集团宿舍 -榆次区,3室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 5个月以前发布,75,"6,638元/平"
二中旁，荣军苑，电梯房精装修2居室，大本在手！,荣军苑 -榆次区,2室1厅 | 78.68平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,1人关注 / 5个月以前发布,60,"7,626元/平"
新兴文教城三期 3室2厅 南,新兴文教城三期 -榆次区,3室2厅 | 166平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,120,"7,229元/平"
蕴华街槐园小区好楼层三卧朝阳生活便利,槐苑小区 -榆次区,3室2厅 | 115平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,75,"6,522元/平"
太榆路新兴国际文教城大红本可按揭,新兴文教城三期 -榆次区,3室2厅 | 171平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,5人关注 / 一年前发布,108,"6,316元/平"
新兴文教城纯毛坯小户型四居室急售,新兴文教城三期 -榆次区,4室2厅 | 164.88平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,3人关注 / 一年前发布,101,"6,126元/平"
中铁三局六公司锦东小区 2室1厅 南 北,中铁三局六公司锦东小区 -榆次区,2室1厅 | 67.8平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,5人关注 / 10个月以前发布,42,"6,195元/平"
良硕和山 楼间距宽 景观层三居室 业主有车位另卖,良硕和山 -榆次区,3室1厅 | 96平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,2人关注 / 11个月以前发布,75,"7,813元/平"
新晋世家  经典两居室   无遮挡,新晋世家 -榆次区,2室2厅 | 98平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,3人关注 / 一年前发布,71,"7,245元/平"
德国小镇 楼中楼 南北通 满五年两居两卫 小区中间位置,清华金元德国小镇 -榆次区,2室2厅 | 112.95平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,59,"5,224元/平"
农牧局小区 3室2厅 南 北,农牧局小区 -榆次区,3室2厅 | 102平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,65,"6,373元/平"
精装两居，通长大阳台，拎包入住，天星锦苑西侧一钟,玉湖佳苑 -榆次区,2室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共13层)  | 暂无数据,5人关注 / 一年前发布,79.5,"8,458元/平"
新兴文教城三居室带车位地下室拎包入住房,新兴文教城三期 -榆次区,3室2厅 | 166平米 | 南 北 | 精装 | 低楼层(共12层)  | 暂无数据,2人关注 / 一年前发布,130,"7,832元/平"
鑫发小区  满二年 值得买低楼层两居  带地下室,鑫发小区(迎宾西街) -榆次区,2室2厅 | 93.22平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,63,"6,759元/平"
东昌丽景 2室1厅 南 北,东昌丽景 -榆次区,2室1厅 | 81平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,3人关注 / 3个月以前发布,50,"6,173元/平"
安宁壹号 2室1厅 南,安宁壹号 -榆次区,2室1厅 | 82.3平米 | 南 | 简装 | 中楼层(共29层)  | 塔楼,1人关注 / 6个月以前发布,60,"7,291元/平"
晋中银行住宅小区  满二年 带大地下室 三居 采光好,晋中银行住宅小区 -榆次区,3室2厅 | 131平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,75,"5,726元/平"
此房子红本在手，户型南北通透，视野宽阔，采光充足,锦隆小区 -榆次区,2室2厅 | 95平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,42,"4,422元/平"
太原龙城大街东，精装两居室出售，即买即住,龙城半岛三期 -榆次区,2室1厅 | 90.53平米 | 南 东 | 精装 | 高楼层(共20层)  | 暂无数据,2人关注 / 8个月以前发布,72,"7,954元/平"
龙城大街东延，精装大两居室，带家具家电，拎包入住,龙城金帝园 -榆次区,2室2厅 | 99.45平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 9个月以前发布,83,"8,346元/平"
龙城半岛小区，精装三居，即买即住,龙城半岛三期 -榆次区,3室1厅 | 91.44平米 | 南 北 | 精装 | 中楼层(共20层)  | 暂无数据,2人关注 / 8个月以前发布,72.5,"7,929元/平"
太原南站东 龙城半岛小区 精装大三居 出售 全明户型,龙城半岛三期 -榆次区,3室2厅 | 136.5平米 | 东 东南 | 精装 | 低楼层(共20层)  | 暂无数据,3人关注 / 一年前发布,102,"7,473元/平"
兴达华苑  精装修自住三居 观景层 拎包入住 满二年,兴达华苑 -榆次区,3室2厅 | 113.9平米 | 南 北 | 精装 | 高楼层(共22层)  | 塔楼,0人关注 / 8个月以前发布,90,"7,902元/平"
槐苑小区 3室2厅 南 北,槐苑小区 -榆次区,3室2厅 | 112.95平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,75,"6,641元/平"
山大附 精装修 大红本可贷款 提前约随时看 中间楼层,泰悦御庭 -榆次区,2室2厅 | 90平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,68.8,"7,645元/平"
龙城金帝园  毛坯大三居出售  双卫户型    价格可谈,龙城金帝园 -榆次区,3室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,96,"6,858元/平"
太原南站东  龙城金帝园 高层精装大三居出售,龙城金帝园 -榆次区,3室2厅 | 109平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,83,"7,615元/平"
太原南站东  龙城金帝园精装两居室   带家具家电出售,龙城金帝园 -榆次区,2室2厅 | 77.83平米 | 南 | 精装 | 低楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,53,"6,810元/平"
太原南站东龙城金帝园电梯房大3居（房东出部分税费）,龙城金帝园 -榆次区,3室2厅 | 120.96平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 7个月以前发布,83,"6,862元/平"
太榆交界处  龙城金帝园  电梯高层出售 精装拎包入住,龙城金帝园 -榆次区,2室2厅 | 77.83平米 | 南 | 精装 | 中楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,58,"7,453元/平"
龙城大街东，龙城半岛一期，改善型小三居室精装出售,龙城半岛一期 -榆次区,2室2厅 | 95.39平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,0人关注 / 一年前发布,76,"7,968元/平"
龙城金帝园  精装三居室  带家具家电出售   看房方便,龙城金帝园 -榆次区,3室1厅 | 102.99平米 | 南 北 | 简装 | 低楼层(共18层)  | 暂无数据,3人关注 / 7个月以前发布,66,"6,409元/平"
太原南站东 龙城半岛小区  精装大三居室出售即买即住,龙城半岛一期 -榆次区,3室2厅 | 118.14平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 10个月以前发布,93.8,"7,940元/平"
中都北路军安小区天河园中园晋商公园广安街,天河园中园 -榆次区,2室2厅 | 90平米 | 南 北 | 简装 | 中楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,78,"8,667元/平"
迎宾街上火车站，精装电梯房，南北方正户型中间楼层。,碧桂园凤麟府 -榆次区,3室2厅 | 118.65平米 | 南 北 | 简装 | 高楼层(共20层)  | 板楼,3人关注 / 一年前发布,105,"8,850元/平"
翰林苑 3室2厅 南 北,翰林苑 -榆次区,3室2厅 | 104.26平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,85,"8,153元/平"
华悦怡苑  中都北路 近万达公摊小户型好三居,华悦怡苑 -榆次区,3室2厅 | 143.75平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,116,"8,070元/平"
天河园中园 3室2厅 南,天河园中园 -榆次区,3室2厅 | 137平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,1人关注 / 3个月以前发布,104,"7,592元/平"
太原南站东  龙城金帝园  精装两居室 带家具家电出售,龙城金帝园 -榆次区,2室2厅 | 74.88平米 | 南 | 精装 | 低楼层(共19层)  | 暂无数据,2人关注 / 2个月以前发布,54,"7,212元/平"
迎宾街新建路运输公司宿舍南北通透大红本可贷款随时看,运输公司小区 -榆次区,2室2厅 | 55平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,36,"6,546元/平"
泰悦御庭 3室2厅 南 北,泰悦御庭 -榆次区,3室2厅 | 109.5平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,90,"8,220元/平"
大学城 万科朗润园二期 电梯洋房大三居精装拎包住,万科 · 郎润园二期 -榆次区,3室2厅 | 174平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,230,"13,219元/平"
位 于 新 建 路 晋 华 小 学 旁,晋华苑西小区 -榆次区,2室2厅 | 82平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,53,"6,464元/平"
保利  壹号公馆  两室两厅 户型方正,保利·壹号公馆 -榆次区,2室2厅 | 84.88平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,4人关注 / 一年前发布,65,"7,658元/平"
御璟城市花园 2室1厅 南 北,御璟城市花园 -榆次区,2室1厅 | 86平米 | 南 北 | 其他 | 中楼层(共29层)  | 暂无数据,0人关注 / 5个月以前发布,72,"8,373元/平"
太原南站东龙城金帝园简装大三居出售（房东包过户费）,龙城金帝园 -榆次区,3室2厅 | 122平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,75,"6,148元/平"
榆次汇通路，小户型现房，即买即住,世界知音 -榆次区,1室1厅 | 54平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,33,"6,112元/平"
中都路同心桥旁 育苑二区 精装2室好楼层配套齐全,榆次教育局育苑二区 -榆次区,2室2厅 | 97平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,66,"6,805元/平"
榆次老城 二层三居室 三卧朝阳 单价5900 生活成本低,新集安居小区 -榆次区,3室2厅 | 115平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,6人关注 / 6个月以前发布,68,"5,914元/平"
蕴华街晋华苑旁全明户型上学方便 房好楼层可贷款,欣悦小区 -榆次区,2室2厅 | 69平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,40,"5,798元/平"
位 于 榆 次 金 三 角 南海颐园小 高 层,南海颐苑 -榆次区,2室2厅 | 90平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 暂无数据,2人关注 / 7个月以前发布,56,"6,223元/平"
龙城金帝园 3室1厅 东 南 北,龙城金帝园 -榆次区,3室1厅 | 109.29平米 | 东 南 北 | 精装 | 低楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,68,"6,222元/平"
华悦怡苑  中都北路 近万达公摊小户型好三居,华悦怡苑 -榆次区,3室2厅 | 143.75平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,116,"8,070元/平"
文馨苑精装两居，中间楼层电梯房 拎包入住,文馨苑 -榆次区,2室2厅 | 94.13平米 | 南 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 4个月以前发布,70,"7,437元/平"
龙城半岛一期 4室1厅 东 南 北,龙城半岛一期 -榆次区,4室1厅 | 118.13平米 | 东 南 北 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 5个月以前发布,91,"7,704元/平"
军安小区一三九中都北路红星天铂天河园中园,天河园中园 -榆次区,2室2厅 | 89.73平米 | 南 | 简装 | 低楼层(共30层)  | 暂无数据,0人关注 / 8个月以前发布,74,"8,247元/平"
新集花园1区 2室1厅 南,新集花园1区 -榆次区,2室1厅 | 59.7平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 5个月以前发布,28,"4,691元/平"
西湖花苑 2室1厅 南 北,西湖花苑 -榆次区,2室1厅 | 90.27平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,51,"5,650元/平"
锦纶厂六区 2室1厅 南,锦纶厂六区 -榆次区,2室1厅 | 64.04平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,45,"7,027元/平"
华苑学府 3室2厅 南 北,华苑学府 -榆次区,3室2厅 | 125平米 | 南 北 | 简装 | 低楼层(共29层)  | 暂无数据,0人关注 / 2个月以前发布,135,"10,800元/平"
领秀铭筑 2室2厅 南 北,领秀铭筑 -榆次区,2室2厅 | 94平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,62,"6,596元/平"
太榆交界处新兴文教城大红本可按揭,新兴文教城一期 -榆次区,3室2厅 | 153平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 一年前发布,130,"8,497元/平"
文苑街鑫发小区大红本在手   可贷款 可按揭 交通便利,鑫发小区(文苑街) -榆次区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,77,"5,924元/平"
此房 精装修 楼层好采光充足 南北通透 大红本,上东庭院 -榆次区,3室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,87,"7,017元/平"
华都 公园里精装房，二室一厅一厨一卫一书房,华都·公园里 -榆次区,3室2厅 | 140平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2人关注 / 一年前发布,137,"9,786元/平"
高师附校 山大二院 万科朗润园 仁和苑 南北通透两居,红星天铂 -榆次区,2室1厅 | 85.17平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,75,"8,806元/平"
新兴文教城一期 3室2厅 南 北,新兴文教城一期 -榆次区,3室2厅 | 153平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,3人关注 / 3个月以前发布,95,"6,210元/平"
新兴文教城中间楼层三居室大红本出售,新兴文教城二期 -榆次区,3室2厅 | 152.6平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,4人关注 / 一年前发布,105,"6,881元/平"
龙城金帝园 2室1厅 南,龙城金帝园 -榆次区,2室1厅 | 77.5平米 | 南 | 精装 | 低楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,55,"7,097元/平"
景福小区 3室2厅 南 北,景福小区 -榆次区,3室2厅 | 143平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,98,"6,854元/平"
经纬雅居 三居 满二年 厨卫带窗 低密度住宅区 采光好,经纬雅居 -榆次区,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,87,"7,373元/平"
和平壹号 2室1厅 南 北,和平壹号 -榆次区,2室1厅 | 95.63平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,62,"6,484元/平"
中国中铁电务小区 2室2厅 南 北,中国中铁电务小区 -榆次区,2室2厅 | 64.62平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,47,"7,274元/平"
龙湖国际 2室2厅 南,龙湖国际 -榆次区,2室2厅 | 127.36平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,90,"7,067元/平"
万达广场中都北路军安小区部队家属楼中间楼层支持贷款,军安小区 -榆次区,3室2厅 | 127平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,85,"6,693元/平"
顺城街 精装三居 电梯地暖 大红本带地下室 包增值税,富康家园 -榆次区,3室2厅 | 127.49平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,2人关注 / 4个月以前发布,83,"6,511元/平"
校园小区 3室2厅 南 北,校园小区 -榆次区,3室2厅 | 81平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,58,"7,161元/平"
锦纶路质量技术监督局宿舍精装婚房,山西省晋中市质量技监督局宿舍 -榆次区,3室2厅 | 111平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,78,"7,028元/平"
银海心悦 两卧朝阳 视野好 免费停车 可谈,银海心悦 -榆次区,2室1厅 | 89.99平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,65,"7,224元/平"
迎宾街锦纶路太行旁天星锦苑南北三居大红本可贷款,天星锦苑 -榆次区,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,3人关注 / 一年前发布,135,"10,228元/平"
金玉华府 景观采光楼层 自住装修 交通便利 生活方便,金玉华府 -榆次区,3室2厅 | 116.09平米 | 南 西 北 | 精装 | 中楼层(共19层)  | 板楼,1人关注 / 5个月以前发布,78,"6,719元/平"
迎宾街上火车站，精装电梯房，南北方正户型中间楼层。,碧桂园凤麟府 -榆次区,3室2厅 | 118.65平米 | 南 北 | 简装 | 高楼层(共20层)  | 板楼,3人关注 / 一年前发布,105,"8,850元/平"
中都北路军安小区天河园中园晋商公园广安街,天河园中园 -榆次区,2室2厅 | 90平米 | 南 北 | 简装 | 中楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,78,"8,667元/平"
迎宾街中都路区粮食局宿舍精装三居大红本可贷款随时看,区粮食局宿舍 -榆次区,3室2厅 | 116.93平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,93,"7,954元/平"
扶贫小区 2室1厅 南,扶贫小区 -榆次区,2室1厅 | 56.4平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,35,"6,206元/平"
羊毫街旁 新华小区 低层简装 南北通透 大红本满五唯一,新华小区 -榆次区,2室2厅 | 91.5平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,51,"5,574元/平"
