标题,开发商,房子信息,发布信息,售价/万,单价
开元上府高品质精装洋房 证过二 带产权子母车位带负一,开元上府 -新闻大厦,4室2厅 | 233.94平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,369,"15,774元/平"
掌舵东岸西边户，两个卫生间，楼层好，户型好,掌舵东岸 -沂河实验小学,3室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共16层)  | 板塔结合,0人关注 / 1个月以前发布,130,"9,091元/平"
掌舵东岸一楼带院带负一330多平 沂河边公园旁,掌舵东岸 -沂河实验小学,4室2厅 | 330平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板塔结合,3人关注 / 一年前发布,228,"6,910元/平"
沂河新区 奥德海棠   品质小区  环境优美  顶楼复式,奥德海棠 -锦绣外滩,5室2厅 | 223平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,11人关注 / 一年前发布,400,"17,938元/平"
沂河新区 中梁壹号院联排别墅 毛坯 带两个车位 前排,中梁壹号院 -锦绣外滩,5室2厅 | 273.48平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 一年前发布,580,"21,209元/平"
恒大绿洲 三期四室 好楼层 诚心出售,恒大绿洲 -临沂市第三人民医院,4室2厅 | 155.86平米 | 南 北 | 精装 | 中楼层(共27层)  | 塔楼,5人关注 / 7个月以前发布,93.8,"6,019元/平"
洋房顶复 带大露台 精装修 园林绿化高 位置好诚心卖,碧桂园凤凰壹品 -北城-长沙路东区,4室2厅 | 228.07平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,480,"21,047元/平"
环球掌舵大平层 东区沿河地段 高品质，诚心卖,环球掌舵 -北城-长沙路东区,5室2厅 | 215平米 | 南 北 | 毛坯 | 31层  | 板塔结合,1人关注 / 5个月以前发布,400,"18,605元/平"
此房为联排别墅，有证可贷款 中间户，证过二 省税，,月澜湾 -北城-鲁商中心,5室3厅 | 278平米 | 南 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,5人关注 / 11个月以前发布,780,"28,058元/平"
恒大华府 证过二 带两车位  好位置 随时看房,恒大华府 -北城-鲁商中心,4室2厅 | 325平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,5人关注 / 10个月以前发布,608,"18,708元/平"
宏宸欧缘 多层3楼带车库 户型方正新房毛坯装修随意,宏宸欧缘 -动植物园,3室1厅 | 146平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,1人关注 / 3个月以前发布,97,"6,644元/平"
国企开发 一梯一户电梯洋房 元宝四居室,城投·华皓城 -动植物园,4室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共9层)  | 板楼,1人关注 / 6个月以前发布,99,"7,334元/平"
掌舵东岸，元宝户型，四室两卫，东边户,掌舵东岸 -沂河实验小学,4室2厅 | 159平米 | 南 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 1个月以前发布,151,"9,497元/平"
恒大华府，人文社区，教育，吃购配套设施一应俱全,恒大华府 -北城-鲁商中心,9室3厅 | 1117.23平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,12人关注 / 9个月以前发布,1290,"11,547元/平"
伊丽莎白东岸  电梯洋房 精装修 密码钥匙 随时可看,伊丽莎白东岸 -东夷文化园,3室2厅 | 143.03平米 | 西 南 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 5个月以前发布,140,"9,789元/平"
恒大华府毛坯大平层！寻找有缘买家！,恒大华府 -北城-鲁商中心,4室2厅 | 335平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,9人关注 / 一年前发布,510,"15,224元/平"
一楼带院带负一，户型方正，此价格带两个车位.,掌舵东岸 -沂河实验小学,3室2厅 | 301.55平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板塔结合,5人关注 / 一年前发布,195,"6,467元/平"
掌舵东岸 洋房好楼层 车位储藏室,掌舵东岸 -沂河实验小学,3室2厅 | 156.88平米 | 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,0人关注 / 7个月以前发布,115,"7,331元/平"
好楼层 附带储藏室 业主诚心出售,掌舵东岸 -沂河实验小学,3室2厅 | 146.94平米 | 南 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 5个月以前发布,112,"7,623元/平"
恒大华府 430平瞰湖大平层  只此一套 证过二 含三车位,恒大华府 -北城-鲁商中心,5室2厅 | 430平米 | 南 北 | 简装 | 高楼层(共25层)  | 板楼,19人关注 / 一年前发布,710,"16,512元/平"
沂河传奇 一楼带院 户型通透 带车位,致远沂河传奇 -沂河实验小学,3室2厅 | 136平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,215,"15,809元/平"
掌舵东岸电梯洋房带车位业主急售,掌舵东岸 -沂河实验小学,3室2厅 | 137平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,109,"7,957元/平"
奥德海棠顶复 小区好位置  带露台 毛坯房  不挡不冲,奥德海棠 -锦绣外滩,6室3厅 | 222.71平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,9人关注 / 4个月以前发布,370,"16,614元/平"
掌舵东岸，观河小高层，好楼层，视野好，河景好,掌舵东岸 -沂河实验小学,3室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,2人关注 / 7个月以前发布,125,"8,866元/平"
独栋，带储藏室和车位，电梯洋房顶复，随时看房,掌舵东岸 -沂河实验小学,5室2厅 | 211.6平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,185,"8,743元/平"
明厨明卫 电梯小高 中间楼层 品质社区 人车分流,史丹利四季长安 -沂河实验小学,4室2厅 | 154平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 板楼,2人关注 / 4个月以前发布,125,"8,117元/平"
掌舵东岸新区 电梯洋房 毛坯3室元宝户型,掌舵东岸 -沂河实验小学,3室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,170,"12,143元/平"
河景大五室 好楼层 户型方正 方便看房,伊丽莎白花漾 -国际会展中心,5室2厅 | 180.09平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 塔楼,0人关注 / 3个月以前发布,125,"6,941元/平"
冠亚星城官邸  观河景 带个大前后露台,冠亚星城中央观邸 -国际会展中心,3室2厅 | 151平米 | 南 | 毛坯 | 低楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,125,"8,279元/平"
大四室 西边户 前后别墅 不遮不挡不冲 带地下车位,海博壹江阅 -临沂市第三人民医院,4室2厅 | 164.02平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 10个月以前发布,130,"7,926元/平"
电梯洋房 带车位 业主诚心出售,碧桂园·滨江学府 -国际会展中心,4室2厅 | 137.4平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 4个月以前发布,145,"10,554元/平"
舒适四居 阳光充足 证过二 一中对过 房屋质量绝绝子,金榜龍城 -临沂市第三人民医院,4室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,78.8,"6,567元/平"
元沃 四室 毛坯  电梯洋房 好楼层,元沃·御景苑 -东方城,4室2厅 | 161平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 板楼,2人关注 / 6个月以前发布,128,"7,951元/平"
掌舵东岸新区 电梯洋房 毛坯3室元宝户型,掌舵东岸 -沂河实验小学,3室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,170,"12,143元/平"
人车分流 高档小区 别墅 业主急售,冠亚星城中央观邸 -国际会展中心,4室2厅 | 171.66平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,1人关注 / 6个月以前发布,220,"12,817元/平"
奥正诚园大平层330平 带两个车位 楼层好 观河效果佳,奥正诚园 -锦绣外滩,4室2厅 | 330平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 暂无数据,3人关注 / 5个月以前发布,880,"26,667元/平"
急售德馨园品质小区 中高楼层 户型南北透透  很优质,德馨园 -李公河湿地公园,4室2厅 | 149平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,8人关注 / 4个月以前发布,110,"7,383元/平"
锦都上城 顶楼复式5室 南北露台 全天采光 车位 储藏室,天元锦都上城 -锦绣外滩,6室2厅 | 241平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,2人关注 / 5个月以前发布,360,"14,938元/平"
滨河新天地 二室 证过2 带车位 带储藏室,滨河新天地 -北城-北城人民医院,2室1厅 | 83.22平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 14天以前发布,83,"9,974元/平"
龙盛幸福里2室1厅，诚心卖房，证过二，户型好。,龙盛·幸福里 -南道,2室1厅 | 74.4平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 9天以前发布,65,"8,737元/平"
沂蒙路边，出行方便，精装低价全部家电家具随时看房,书院小区 -王羲之故居,2室2厅 | 88.44平米 | 西 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 13天以前发布,63,"7,124元/平"
新港龙庭 精装小两室证过二 带储藏室,新港龙庭 -新闻大厦,2室1厅 | 71.46平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 13天以前发布,85,"11,895元/平"
宝丽阳光国际 1室1厅 北,宝丽阳光国际 -双月湖公园,1室1厅 | 48平米 | 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 9天以前发布,25,"5,209元/平"
金信融城 3室2厅 南 北,金信融城 -北城-汽车北站,3室2厅 | 132平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 6天以前发布,170,"12,879元/平"
房子精装修，中间楼层价格可以谈,恒大绿洲 -临沂市第三人民医院,3室1厅 | 110.18平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 7天以前发布,78,"7,080元/平"
环球掌舵  观河经典四居室  好楼层 欢迎品鉴,环球掌舵 -北城-长沙路东区,3室2厅 | 124.35平米 | 南 北 | 其他 | 31层  | 板塔结合,0人关注 / 3天以前发布,165,"13,269元/平"
环球掌舵 3室2厅 南,环球掌舵 -北城-长沙路东区,3室2厅 | 121平米 | 南 | 其他 | 低楼层(共31层)  | 板塔结合,0人关注 / 8天以前发布,156,"12,893元/平"
石油花园，好楼层，大露台改成阳光房，双阳台,石油花园 -王羲之故居,2室1厅 | 76平米 | 南 | 其他 | 高楼层(共29层)  | 板塔结合,0人关注 / 3天以前发布,99,"13,027元/平"
开元 · 阳光水岸 3室1厅 南,开元 · 阳光水岸 -二十四中,3室1厅 | 88.48平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 2天以前发布,90,"10,172元/平"
三十五中旁汀香郡叠加别墅下叠 一楼带院带车位证过二,汀香郡 -北城-临沂第三十五中,4室2厅 | 265平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 5天以前发布,538,"20,302元/平"
朴园 3室2厅 南,朴园 -北城-临沂第三十五中,3室2厅 | 150平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 3天以前发布,365,"24,334元/平"
朴园 3 5Z 毛坯任性装修 全天采光 一览河景 价能聊,天泰华府 -北城-临沂第三十五中,3室2厅 | 115平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 1天以前发布,265,"23,044元/平"
阜丰元丰明悦郡 3室1厅 南 北,阜丰元丰明悦郡 -远通汽车广场,3室1厅 | 143平米 | 南 北 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 1天以前发布,135,"9,441元/平"
此房南北通透格局好 精装修短住过 高楼层视野好,沂河观邸 -锦绣外滩,3室2厅 | 127.48平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 3天以前发布,130,"10,198元/平"
金信融城 3室1厅 南,金信融城 -北城-汽车北站,3室1厅 | 120.57平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 1天以前发布,150,"12,441元/平"
凤凰水城 3室1厅 南,凤凰水城 -北城-鲁商中心,3室1厅 | 132.39平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 3天以前发布,200,"15,107元/平"
位置＋＋柳青齐鲁园大面积房，有证可贷款有车位,柳青齐鲁园 -北城-临沂第三十五中,4室1厅 | 180平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 3天以前发布,430,"23,889元/平"
豪森华府 温馨三室 证过二  随时看房,豪森華府 -区政府,3室2厅 | 97平米 | 南 | 其他 | 低楼层(共21层)  | 板塔结合,0人关注 / 6天以前发布,100,"10,310元/平"
柳青齐鲁园 4室1厅 南,柳青齐鲁园 -北城-临沂第三十五中,4室1厅 | 163平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 3天以前发布,438,"26,872元/平"
冠亚星城四期 3室1厅 南 北,冠亚星城四期 -国际会展中心,3室1厅 | 104平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 1天以前发布,69,"6,635元/平"
孟园馨苑 3室2厅 南 北,孟园馨苑 -沂河路,3室2厅 | 120.53平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,46,"3,817元/平"
掌舵东岸新区 精装未住 带车位储藏室 7层洋房 好楼层,掌舵东岸 -沂河实验小学,3室2厅 | 131平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,150,"11,451元/平"
顶复带大露台，客厅通阳台全明通透户型,儒辰丹枫园 -前十街,5室3厅 | 235.8平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 暂无数据,0人关注 / 2天以前发布,280,"11,875元/平"
新区 位置好 和洋房一样元宝户型 好楼层 带储藏室,掌舵东岸 -沂河实验小学,3室2厅 | 141.02平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 7天以前发布,124,"8,794元/平"
省级物业 品质小区 全天采光 业主诚心出售,舒格兰二期 -北城-鲁商中心,3室1厅 | 110平米 | 南 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 2天以前发布,198,"18,000元/平"
欣悦小区 3室1厅 南,欣悦小区 -十五中,3室1厅 | 106平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2天以前发布,86,"8,114元/平"
丹枫园 户型方正 南北通透 带车位 储藏室,儒辰丹枫园 -前十街,3室2厅 | 136平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 16天以前发布,150,"11,030元/平"
好位置 户型方正，带车位，好楼层房东急售，,环球掌舵 -北城-长沙路东区,4室2厅 | 147平米 | 南 北 | 毛坯 | 11层  | 板塔结合,0人关注 / 19天以前发布,268,"18,232元/平"
金水河畔 观河 三室 好楼层  带车位 配房 有钥匙,金水河畔 -北城-临沂第三十五中,3室2厅 | 149平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 15天以前发布,248,"16,645元/平"
沂河岸边环球掌舵电梯洋房一楼带院带车位配房,环球掌舵 -北城-长沙路东区,3室1厅 | 329平米 | 南 | 毛坯 | 7层  | 板塔结合,0人关注 / 15天以前发布,480,"14,590元/平"
市中 心 采光佳娱乐一体化交通便利满二周圈配套全,银座中心 -和谐广场,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 14天以前发布,160,"13,794元/平"
金泰锦府洋房顶楼复式 带大露台11米阳台落地窗 大宽厅,金泰锦府 -北城-长沙路东区,5室2厅 | 261平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 16天以前发布,590,"22,606元/平"
环球掌舵中间位置边户带车位带配房证过二年,环球掌舵 -北城-长沙路东区,4室2厅 | 178平米 | 南 | 毛坯 | 7层  | 板塔结合,0人关注 / 15天以前发布,460,"25,843元/平"
齐鲁园  经 典 小户型 证过二 有钥匙 看房方便,齐鲁园 -北城-临沂第三十五中,1室1厅 | 53.06平米 | 南 | 简装 | 低楼层(共12层)  | 板楼,0人关注 / 8天以前发布,118,"22,239元/平"
领秀豪庭 毛坯 户型方正 证过二 有钥匙,领秀豪庭 -河东汽车站,3室2厅 | 123平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 15天以前发布,120,"9,757元/平"
永兴园 5楼的，老户型，有证，采光好，随时办证,永兴园 -双月湖公园,3室2厅 | 106.06平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,52,"4,903元/平"
城开首府 3室2厅 南,城开首府 -北城-长沙路西片区,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 15天以前发布,143,"11,350元/平"
此房楼层采光好 位置很好 陶然路上平时出入方便 九,站前铁路小区 -火车站,3室2厅 | 114.57平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 15天以前发布,61,"5,325元/平"
翡翠传奇 11楼 简单装修 客厅通阳台,致远翡翠传奇 -双月湖公园,3室2厅 | 109.7平米 | 南 | 简装 | 中楼层(共21层)  | 板塔结合,0人关注 / 13天以前发布,67.6,"6,163元/平"
此房证过二，温馨一居，户型方正，楼层位置佳。,滨河·润城 -火车站,1室1厅 | 44平米 | 南 | 简装 | 高楼层(共14层)  | 板楼,0人关注 / 5天以前发布,40,"9,091元/平"
北城芯一中旁 中南鲁商樾府好位置 好楼层,中南|鲁商•樾府 -北城-长沙路东区,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共9层)  | 板楼,0人关注 / 13天以前发布,320,"22,378元/平"
火车站片区   好楼层  刚需好房  全采光,宝丽未来城A区 -火车站,3室1厅 | 105平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 11天以前发布,88,"8,381元/平"
沂蒙路火车站兰山普村清河园精装四室带配房带地下车位,普村清河园 -火车站,4室2厅 | 158平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 16天以前发布,155,"9,811元/平"
环球掌舵 品质河景房 户型好 环境好 过二 低价出售,环球掌舵 -北城-长沙路东区,4室1厅 | 150平米 | 南 北 | 毛坯 | 13层  | 板塔结合,0人关注 / 15天以前发布,275,"18,334元/平"
香水郡小区 业主急售 新出大四室 价格能谈,香水郡小区 -火车站,4室2厅 | 150平米 | 南 | 简装 | 高楼层(共30层)  | 板楼,0人关注 / 10天以前发布,120,"8,000元/平"
宝德和园 顶楼三居室 无噪音 采光好 带车位 人车分流,宝德和园 -东夷文化园,3室2厅 | 115平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 16天以前发布,105,"9,131元/平"
名仕雅苑 精装修两室证过二拎包入住仅售40万,名仕雅苑 -沂河实验小学,2室1厅 | 64.97平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 3天以前发布,40,"6,157元/平"
东户洋房一楼带院 视野采光很好 诚售,中南|鲁商•樾府 -北城-长沙路东区,4室2厅 | 160平米 | 南 东南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 13天以前发布,540,"33,750元/平"
省级物业 纯人车分流 园林绿化高 位置好诚心卖,碧桂园凤凰壹品 -北城-长沙路东区,4室1厅 | 152平米 | 南 | 精装 | 低楼层(共9层)  | 暂无数据,1人关注 / 15天以前发布,280,"18,422元/平"
精装好房，是您追求生活品质的优质选择。,环球掌舵 -北城-长沙路东区,3室2厅 | 119.94平米 | 南 | 精装 | 29层  | 板塔结合,0人关注 / 15天以前发布,170,"14,174元/平"
环球掌舵品质好房证过二 全采光 全通透户型合理,环球掌舵 -北城-长沙路东区,4室2厅 | 141平米 | 南 北 | 毛坯 | 15层  | 板塔结合,0人关注 / 15天以前发布,260,"18,440元/平"
楼层好 采光好 沂河实验旁边 上学方便,中科印象 -沂河实验小学,3室2厅 | 128平米 | 东 南 | 毛坯 | 高楼层(共14层)  | 板楼,0人关注 / 12天以前发布,90,"7,032元/平"
好户型 好楼层 全天采光 通风性好 诚心出售 随时看,怡海国际新城 -九曲街道,2室2厅 | 83.7平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 11天以前发布,83,"9,917元/平"
好户型 好楼层 全天采光 通风性好 诚心出售 随时看,怡海国际新城 -九曲街道,2室2厅 | 83.7平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 11天以前发布,83,"9,917元/平"
距离35中100米  带车位  视野开阔  有证 诚心卖,金水河畔 -北城-临沂第三十五中,3室2厅 | 150平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 12天以前发布,240,"16,000元/平"
泰和花园两居室 好楼层 证过二 边户 采光好 近育新,泰和花园东区 -凤凰广场,2室2厅 | 109平米 | 南 北 | 简装 | 低楼层(共24层)  | 塔楼,0人关注 / 1天以前发布,108,"9,909元/平"
金鼎国际广场 1室1厅 北,金鼎国际广场 -人民广场,1室1厅 | 64平米 | 北 | 精装 | 低楼层(共35层)  | 塔楼,0人关注 / 4天以前发布,27.5,"4,297元/平"
南坊一期 祊河边 纯 电梯洋房 全天无遮挡,意林小鎮 -北城-北城人民医院,3室2厅 | 166平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 10天以前发布,205,"12,350元/平"
滨湖花园 沿河和高品质小区 户型相当哇塞,凯润滨湖花园 -河东汽车站,3室2厅 | 130平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 13天以前发布,130,"10,000元/平"
精装未住 资源未用 证过二 带车位 好楼层 诚售,中南|鲁商•樾府 -北城-长沙路东区,4室2厅 | 143平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 13天以前发布,210,"14,686元/平"
方正户型 精装 带车位储藏室  小三室,荣昌绿园 -北城-鲁商中心,3室2厅 | 98平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 15天以前发布,120,"12,245元/平"
柳青玺悦 临沂神秘的楼盘 居住舒适度高,柳青玺悦 -北城-长沙路东区,4室2厅 | 156平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 9天以前发布,270,"17,308元/平"
开先国际 电梯洋房三楼 四室两厅两卫 带车位储藏室,开先国际B区 -沂水县,4室2厅 | 165平米 | 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,196,"11,879元/平"
沂龙湾慧园  全明户型   诚心出售,沂龙湾慧园 -北城-实验中学,2室1厅 | 90.18平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 3天以前发布,120,"13,307元/平"
颐高上海街二期 精装一室 证过二 西向 看房方便,颐高上海街二期 -北城-实验中学,1室1厅 | 69.7平米 | 南 西 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 3天以前发布,99,"14,204元/平"
房东诚意出售，看房方便，证过二，交通便利，户型方正,德居一品西区 -北城-五洲湖,2室1厅 | 92平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 13天以前发布,119,"12,935元/平"
"中南精装高层，户型南北通，视野宽阔，采光充足,",中南|鲁商•樾府 -北城-长沙路东区,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 9天以前发布,170,"14,167元/平"
洋房 好楼层 带2车位 全天采光 证即将过二 诚售,中南|鲁商•樾府 -北城-长沙路东区,4室2厅 | 141平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 板塔结合,0人关注 / 11天以前发布,360,"25,532元/平"
站前铁路小区 3室2厅 南,站前铁路小区 -火车站,3室2厅 | 105.46平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,60,"5,690元/平"
星河城高层急售 楼层好户型 带车位储藏室 全天采光,星河城 -鲁南花卉市场,3室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 13天以前发布,95,"7,917元/平"
春城里   电梯小高层   精装修未住,春城里 -双月湖公园,3室1厅 | 134平米 | 南 北 | 精装 | 高楼层(共5层)  | 塔楼,0人关注 / 8天以前发布,90,"6,717元/平"
满五唯一 简装 四居室  中间楼层  有钥匙,华前城市广场富华小区 -隆达客运站,4室2厅 | 151平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 8天以前发布,160,"10,597元/平"
水景明珠大两室，高楼层，视野无遮挡可观河,水景明珠 -九曲街道,2室2厅 | 104.15平米 | 西 | 毛坯 | 高楼层(共22层)  | 塔楼,0人关注 / 9天以前发布,80,"7,682元/平"
开元上城 经典三室 证过二 楼层好 视野宽阔交通便利,开元上城 -新闻大厦,3室2厅 | 122平米 | 东南 | 简装 | 高楼层(共22层)  | 塔楼,0人关注 / 7天以前发布,150,"12,296元/平"
学府美地精装电梯 三室 有钥匙 随时看房 双气地暖,学府美地 -宝泉寺,3室2厅 | 124平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 13天以前发布,96,"7,742元/平"
户型方正，全天无遮挡 精装修1室，房子受看。,致远翡翠传奇 -双月湖公园,1室1厅 | 45平米 | 北 | 精装 | 低楼层(共10层)  | 塔楼,0人关注 / 12天以前发布,25,"5,556元/平"
德馨苑大三居带车位储藏室证过二诚心卖,德馨苑 -大学城,3室2厅 | 165平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 14天以前发布,156,"9,455元/平"
住宅大户型 南通透 楼层好 采光充足,联安现代城 -新闻大厦,1室0厅 | 57平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 7天以前发布,45.6,"8,000元/平"
证过二，精装，拎包入住，带20平阁楼，诚心出售。,鑫城家园 -平安路,3室2厅 | 115.47平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 7个月以前发布,67.5,"5,846元/平"
急售急售世纪花园 小户型 中高楼层 全天采光 户型方正,世纪花园(兰山区) -新闻大厦,3室2厅 | 86.43平米 | 南 | 简装 | 中楼层(共36层)  | 板塔结合,9人关注 / 一年前发布,92,"10,645元/平"
华阳小区 楼层好 公摊小 采光好 停车方便,华阳小区 -莒南商圈,3室2厅 | 95.56平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 11个月以前发布,73,"7,640元/平"
诚心出售 2室南向 全天采光 有钥匙,冠亚星城三期 -国际会展中心,2室2厅 | 82.71平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,4人关注 / 一年前发布,61.9,"7,484元/平"
奥正观河景顶楼复式   证过二,奥正诚园南区 -锦绣外滩,4室2厅 | 195.07平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,390,"19,993元/平"
房源印象 视野采光充足 户型好证过二 带车位 带储,房源印象 -平安路,3室2厅 | 146.27平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,27人关注 / 8个月以前发布,114,"7,794元/平"
精装修，温馨三居室，小区的配套设施齐全,恒大绿洲 -临沂市第三人民医院,3室1厅 | 123.45平米 | 南 北 | 精装 | 低楼层(共27层)  | 塔楼,0人关注 / 4个月以前发布,83,"6,724元/平"
诚心出售 2室南向 全天采光 有钥匙,冠亚星城三期 -国际会展中心,2室2厅 | 82.71平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,4人关注 / 一年前发布,61.9,"7,484元/平"
高架桥下来 品质社区两室户型 带储藏室,江泉国际 -盛能游乐园,2室2厅 | 116.42平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,74.5,"6,400元/平"
