标题,开发商,房子信息,发布信息,售价/万,单价
高新佳园三期丨中间楼层丨单价4000多丨本满二丨首付16,高新佳园三期 -高新区,3室2厅 | 126.71平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,53,"4,183元/平"
高新三路 高新佳园六号院 两室 中层装修,高新佳园6号院 -高新区,2室2厅 | 101.97平米 | 南 北 | 其他 | 7层  | 板楼,0人关注 / 1个月以前发布,49,"4,806元/平"
大3室 带露台 4条主路、高铁、医院,高新永泰茗苑东区 -高新区,3室2厅 | 149.11平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,108,"7,243元/平"
盛世广场 戴家湾电梯两室 房东急售,戴家湾小区 -大庆路,2室2厅 | 91.43平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,22人关注 / 一年前发布,45,"4,922元/平"
宏文大庆路地段，三陆医院，业主诚心出售，房子保养好,金桥福盛佳园 -大庆路,2室2厅 | 98.06平米 | 南 北 | 精装 | 7层  | 板楼,6人关注 / 8个月以前发布,34,"3,468元/平"
斗鸡小区 两室双阳台 采光好公摊小 适合养老,陕棉十二厂东新村 -大庆路,2室1厅 | 59.59平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,16,"2,686元/平"
高新六路  简装两室无大税 采光好 欢迎议价,渭水苑B区 -高新区,2室2厅 | 106.64平米 | 南 | 简装 | 中楼层(共24层)  | 板塔结合,5人关注 / 一年前发布,54,"5,064元/平"
此房位于宏文路繁华地段，交通便利出行方便,新秦花园住宅小区 -大庆路,3室2厅 | 135.93平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,54,"3,973元/平"
交通便利  出行方便  业主急售,万达新村 -火车站,3室2厅 | 132.57平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,43,"3,244元/平"
银泰旁经典两居室，投入小收益大的房子，,宝鸡市盐业总公司住宅楼 -上马营,2室2厅 | 81.71平米 | 南 北 | 简装 | 7层  | 板楼,4人关注 / 一年前发布,33,"4,039元/平"
宏文路北边   虢十路上   房子里面干净,纺西村小区 -大庆路,2室1厅 | 66.55平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,18,"2,705元/平"
"大庆路95号院准电梯房,两室两厅通风好，采光好。",大庆路95号院 -大庆路,2室2厅 | 103.08平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,39,"3,784元/平"
陈仓园轩苑小区电梯房3室，业主置换诚心出售,轩苑小区 -陈仓园,3室2厅 | 153.5平米 | 南 北 | 精装 | 13层  | 板楼,4人关注 / 一年前发布,84.5,"5,505元/平"
市政府西侧大庆路精品3室2厅简装南北通透急售,恒源小区 -大庆路,3室2厅 | 149.7平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,76.5,"5,111元/平"
大庆路电梯3室2卫全明户型视野好140.46平米 价格可谈,戴家湾小区 -大庆路,3室2厅 | 140.46平米 | 南 北 | 简装 | 高楼层(共27层)  | 板塔结合,4人关注 / 一年前发布,68,"4,842元/平"
宏文路北边   虢十路上   房子里面干净,纺西村小区 -大庆路,2室1厅 | 66.55平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,18,"2,705元/平"
陈仓园轩苑小区电梯房3室，业主置换诚心出售,轩苑小区 -陈仓园,3室2厅 | 153.5平米 | 南 北 | 精装 | 13层  | 板楼,4人关注 / 一年前发布,84.5,"5,505元/平"
市政府西侧大庆路精品3室2厅简装南北通透急售,恒源小区 -大庆路,3室2厅 | 149.7平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,76.5,"5,111元/平"
大庆路电梯3室2卫全明户型视野好140.46平米 价格可谈,戴家湾小区 -大庆路,3室2厅 | 140.46平米 | 南 北 | 简装 | 高楼层(共27层)  | 板塔结合,4人关注 / 一年前发布,68,"4,842元/平"
户型好  采光充足  交通、生活便利,团结花园A区 -大庆路,2室1厅 | 76.11平米 | 北 南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,28.5,"3,745元/平"
"大庆路95号院准电梯房,两室两厅通风好，采光好。",大庆路95号院 -大庆路,2室2厅 | 103.08平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,39,"3,784元/平"
斗鸡大三室业主诚心出售带家具中间楼层看房方便,百合鸿家园小区 -大庆路,3室2厅 | 132.88平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,49.8,"3,748元/平"
户型方正，南北通透，采光好，结构设计合理，绿化高！,百合花城 -姜谭路,4室2厅 | 156.59平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,13人关注 / 一年前发布,45.9,"2,932元/平"
新福路精装大三室，南北通透，电梯中间楼层,九華海豐花園 -新福路,3室2厅 | 148.24平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,3人关注 / 一年前发布,76,"5,127元/平"
大庆路精装修，南北通透两室房。,团结花园C区北区 -大庆路,2室2厅 | 99.8平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,10人关注 / 一年前发布,44,"4,409元/平"
大庆路精装两室低价出售地段优越,锦苑小区(金台区) -大庆路,2室2厅 | 102.34平米 | 南 北 | 精装 | 7层  | 板楼,1人关注 / 11个月以前发布,49.5,"4,837元/平"
低价 出售，大庆路繁华地段，仅售32万,电力新苑 -大庆路,3室2厅 | 93.63平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,43人关注 / 一年前发布,28.5,"3,044元/平"
此房满五年 业主之前装修好 交通便利。,团结花园B区 -大庆路,3室2厅 | 137.93平米 | 西北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,57,"4,133元/平"
大庆路东润枫景，两室精装，全明户型，拎包入住。,东润枫景 -大庆路,2室2厅 | 99.05平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,15人关注 / 6个月以前发布,56.8,"5,735元/平"
此房位于宏文路繁华地段，交通便利出小区就是公交站牌,西建·康城 -大庆路,2室2厅 | 103.64平米 | 南 北 | 精装 | 6层  | 板楼,8人关注 / 一年前发布,41.9,"4,043元/平"
大庆路 繁华地段 两室简装 南北通透 价位低采光视野好,团结花园B区 -大庆路,2室1厅 | 98.56平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,28人关注 / 一年前发布,30,"3,044元/平"
宏文路19号 新装修 看房方便 业主急售 随时可看,宏文路19号 -大庆路,2室2厅 | 84.15平米 | 东 西 南 | 简装 | 高楼层(共7层)  | 板楼,31人关注 / 一年前发布,26.5,"3,150元/平"
大庆路3室2厅1卫 精装拎包入住124.68平米。,团结花园D区 -大庆路,3室2厅 | 124.68平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,4人关注 / 7个月以前发布,49.5,"3,971元/平"
新福路百翠园B区两室两卫精装修,豪城天下B区 -新福路,2室1厅 | 112.34平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,46,"4,095元/平"
陈仓园 轩苑小区 141平 大三室 拎包入住 业主置换,轩苑小区 -陈仓园,3室2厅 | 141.1平米 | 南 北 | 精装 | 16层  | 板楼,15人关注 / 一年前发布,77.7,"5,507元/平"
：配套设施完善，交通便利，小孩上学方便。,陈仓园 -陈仓园,2室2厅 | 83.27平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,33,"3,964元/平"
大庆路  恒源酒店团结花园  两室多层房 采光好 户型好,团结花园A区 -大庆路,2室2厅 | 97.6平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,8人关注 / 一年前发布,38,"3,894元/平"
百翠园电梯141平米大三室精装拎包入住，83万可按揭,百翠园 -新福路,3室2厅 | 141.18平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,11人关注 / 一年前发布,77.5,"5,490元/平"
大庆路 大三居 配套齐全 交通便利,锦苑小区(金台区) -大庆路,3室2厅 | 147.31平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,0人关注 / 一年前发布,78,"5,295元/平"
小区位置优越门口就是华润万家，交通方便,大庆路95号院 -大庆路,2室2厅 | 100.64平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,41,"4,074元/平"
大庆路繁华地段，精装4室，电梯低楼层。,团结君逸 -大庆路,4室2厅 | 140.99平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,85,"6,029元/平"
位置优，装修好，价位可谈，业主沟通良好,豪城天下B区 -新福路,3室2厅 | 138.22平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,63,"4,558元/平"
大庆路精装修两室，家具家电全带。附带6平米阳台,雅典丽舍小区 -大庆路,2室1厅 | 64.93平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,1人关注 / 6个月以前发布,30,"4,621元/平"
泰森广场跟前，拎包入住多层房子，南北向看房提前预约,宝鸡供电局东区家属院 -大庆路,2室2厅 | 106.95平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,39.9,"3,731元/平"
房子精装修，拎包入住，4楼采光好,中山东路257号 -火车站,3室2厅 | 106.83平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,14人关注 / 一年前发布,33,"3,090元/平"
大庆路主干道，经典两室，拎包入住,大庆路95号院 -大庆路,2室2厅 | 103.12平米 | 北 | 精装 | 高楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,38.5,"3,734元/平"
大庆路繁华路段，不临街，采光无遮挡， 生活设施齐全,雅典丽舍小区 -大庆路,2室1厅 | 70.89平米 | 东 西 | 精装 | 高楼层(共7层)  | 塔楼,1人关注 / 6个月以前发布,28,"3,950元/平"
姜谭路孔家大院精装三室家具家电全带拎包入住可按揭,孔家大院 -姜谭路,3室2厅 | 128.45平米 | 东 | 精装 | 低楼层(共27层)  | 板塔结合,4人关注 / 一年前发布,60,"4,672元/平"
海丰花园三室房，出行方便，生活方便,九華海豐花園 -新福路,3室2厅 | 111.28平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,38,"3,415元/平"
急售 急售！店子街首付8万精装修三居室！,蟠龙花园 -上马营,3室1厅 | 96.14平米 | 南 北 | 精装 | 7层  | 板塔结合,13人关注 / 9个月以前发布,25.8,"2,684元/平"
蟠龙大桥北，精装修无大税，精装3室，拎包入住。,盛世观邸 -三迪,3室2厅 | 135.43平米 | 南 北 | 精装 | 33层  | 板楼,0人关注 / 一年前发布,89,"6,572元/平"
大庆路东润枫景，两室精装，全明户型，拎包入住。,东润枫景 -大庆路,2室2厅 | 99.05平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,15人关注 / 6个月以前发布,56.8,"5,735元/平"
大庆路3室2厅1卫 精装拎包入住124.68平米。,团结花园D区 -大庆路,3室2厅 | 124.68平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,4人关注 / 7个月以前发布,49.5,"3,971元/平"
此房位于宏文路繁华地段，交通便利出小区就是公交站牌,西建·康城 -大庆路,2室2厅 | 103.64平米 | 南 北 | 精装 | 6层  | 板楼,8人关注 / 一年前发布,41.9,"4,043元/平"
大庆路 繁华地段 两室简装 南北通透 价位低采光视野好,团结花园B区 -大庆路,2室1厅 | 98.56平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,28人关注 / 一年前发布,30,"3,044元/平"
此房满五年 业主之前装修好 交通便利。,团结花园B区 -大庆路,3室2厅 | 137.93平米 | 西北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,57,"4,133元/平"
宏文路19号 新装修 看房方便 业主急售 随时可看,宏文路19号 -大庆路,2室2厅 | 84.15平米 | 东 西 南 | 简装 | 高楼层(共7层)  | 板楼,31人关注 / 一年前发布,26.5,"3,150元/平"
电梯房中间楼层、小三室、南北全明户型可按揭。,金桥福盛佳园 -大庆路,3室2厅 | 104.18平米 | 南 北 | 简装 | 18层  | 板楼,15人关注 / 一年前发布,52,"4,992元/平"
首付9万入住大庆路繁华地段小三室 拎包入住,宏文路46号院 -大庆路,3室1厅 | 86.02平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,38人关注 / 一年前发布,26,"3,023元/平"
宏文路  繁华地段  3室2厅2卫  电梯房,骏景蓝亭 -大庆路,3室2厅 | 136.06平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,72,"5,292元/平"
新福路轩苑新城一楼带花园看房方便,轩苑新城 -新福路,3室2厅 | 130.24平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,66,"5,068元/平"
此房视野采光很好  河景房 秦岭南山一览无余,轩苑臻品 -新福路,2室2厅 | 91.13平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,53.8,"5,904元/平"
斗鸡宏文路中装两居室南北通透新秦花园住宅小区,新秦花园住宅小区 -大庆路,2室2厅 | 103.45平米 | 东 西 | 简装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,33.5,"3,239元/平"
装修好，可拎包入住.省去装修费用.楼层好中间采光足,轩苑小区 -陈仓园,3室2厅 | 141.49平米 | 东南 | 精装 | 高楼层(共13层)  | 板塔结合,5人关注 / 一年前发布,70,"4,948元/平"
泰森广场跟前，拎包入住多层房子，南北向看房提前预约,宝鸡供电局东区家属院 -大庆路,2室2厅 | 106.95平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,39.9,"3,731元/平"
小区位置优越门口就是华润万家，交通方便,大庆路95号院 -大庆路,2室2厅 | 100.64平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,41,"4,074元/平"
户型方正，房子装修不错，保持可以，可拎包入住,豪城天下D区 -新福路,2室2厅 | 79.35平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,38,"4,789元/平"
新福路精装三室带花园看房方便，,豪城C天下 -新福路,3室2厅 | 101.79平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,8人关注 / 一年前发布,55,"5,404元/平"
本房在高新四路北段，小区环境优美，房子南北通透，,城市公馆 -高新区,4室2厅 | 156.57平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,7人关注 / 8个月以前发布,117,"7,473元/平"
南北通透，地理位优越。小区环境好,盛世观邸 -三迪,3室2厅 | 135.43平米 | 南 北 | 毛坯 | 33层  | 板楼,2人关注 / 一年前发布,80,"5,908元/平"
凌云·锦绣新城 2室2厅 南 北,凌云·锦绣新城 -群众路,2室2厅 | 95.97平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,37,"3,856元/平"
一梯两户  简装三室   户型方正 采光好,三迪加州阳光小区 -三迪,3室2厅 | 87平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,13人关注 / 一年前发布,59,"6,782元/平"
三迪塞纳丽 经典小三室 南北通透,三迪·世纪新城塞纳丽 -三迪,3室2厅 | 100.29平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,66.5,"6,631元/平"
峪泉路中装大三室低楼层看房方便,新烽火盛華園 -桥南,3室2厅 | 130.15平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,56,"4,303元/平"
业主急售红旗路上精装修两室住宅楼一套,九冶小区家属院 -火车站,2室1厅 | 77.5平米 | 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,16.5,"2,130元/平"
此房无大税，简单装修，全明户型,水木清華 -高新区,2室2厅 | 97.89平米 | 北 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,83人关注 / 一年前发布,51.1,"5,221元/平"
经典三室 全明户型 诚心出售价位可谈,宝鸡供电局家属院南区 -大庆路,3室1厅 | 74.53平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,16.8,"2,255元/平"
本房在高新四路北段，小区环境优美，房子南北通透，,城市公馆 -高新区,4室2厅 | 156.57平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,7人关注 / 8个月以前发布,117,"7,473元/平"
三迪* 河景好房 视野好 采光充足,三迪加州阳光小区 -三迪,4室2厅 | 118.33平米 | 西南 | 毛坯 | 高楼层(共32层)  | 板塔结合,23人关注 / 一年前发布,73,"6,170元/平"
高新三路 高新佳园六号院 两室 中层装修,高新佳园6号院 -高新区,2室2厅 | 101.97平米 | 南 北 | 其他 | 7层  | 板楼,0人关注 / 1个月以前发布,49,"4,806元/平"
斗中路优质房源，南北通透，带双气,斗鸡中学家属院 -大庆路,2室2厅 | 91平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,36,"3,957元/平"
桥南火炬路中行家属院，公摊小，户型方正,中行火炬路家属院 -桥南,3室2厅 | 101.53平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,36.5,"3,595元/平"
桥南电梯大四室 错层 精装修满五年,世纪花园 -桥南,4室2厅 | 182.43平米 | 南 北 | 简装 | 低楼层(共17层)  | 板塔结合,2人关注 / 5个月以前发布,58.9,"3,229元/平"
华辰凤凰城  钻石楼层  南北通透   业主诚心出售,华辰凤凰城 -卧龙寺,2室2厅 | 95.22平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,7人关注 / 一年前发布,43,"4,516元/平"
宝光路 邮政局宝光家属院 三室 拎包入住,宝鸡市邮政局宝光家属院 -石坝河,3室2厅 | 154.49平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,65,"4,208元/平"
金台大道丨银泰城丨东岭国际城丨陈仓园丨精装修,东岭新时代二期 -陈仓园,3室2厅 | 97.93平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,63,"6,434元/平"
出售阳光上东精装修两室 带家具家电 中间楼层,阳光上东 -高新区,2室1厅 | 35.61平米 | 北 | 精装 | 18层  | 板塔结合,1人关注 / 1个月以前发布,23,"6,459元/平"
东风路 上马营 低楼层小三室 全明户型 南北通透可看房,城建局家属院(金台区) -上马营,3室1厅 | 110.4平米 | 南 北 | 简装 | 低楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,43,"3,895元/平"
急售，急售，2009年精装修两居室首付7万左右！,得力康小区 -上马营,2室2厅 | 99.86平米 | 南 北 | 简装 | 6层  | 板楼,0人关注 / 1个月以前发布,23,"2,304元/平"
大庆路 繁华地段 大两室 南北通透 房本满二,天然气总公司东区家属院 -大庆路,2室2厅 | 110.32平米 | 南 北 | 精装 | 6层  | 塔楼,0人关注 / 2个月以前发布,44,"3,989元/平"
高新四路|近河提公园|高新广场旁边|全屋定制品牌家具,华厦生态时代 -高新区,4室2厅 | 140.75平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,4人关注 / 3个月以前发布,115,"8,171元/平"
东高新，交通便利，环境优美，地段好,阳光上东 -高新区,3室2厅 | 116平米 | 南 | 精装 | 18层  | 板塔结合,6人关注 / 一年前发布,43.5,"3,750元/平"
此房源满五 无大税 两室南北通透 低楼层 上下楼都方便,益门小区 -清姜,2室2厅 | 87.97平米 | 南 北 | 其他 | 6层  | 板楼,0人关注 / 1个月以前发布,26,"2,956元/平"
桥南 清姜路 多层低楼层 房龄新 精装修  支持按揭贷款,姜城花园 -桥南,2室2厅 | 96.29平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,46,"4,778元/平"
联盟桥旁  大社区  配套齐全  有本可交易,陈仓园铁路住宅A区 -陈仓园,2室1厅 | 73.1平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,27,"3,694元/平"
桥南，川陕路，姜河花园，环境优美,姜河花园 -清姜,1室1厅 | 50.34平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 21天以前发布,19.8,"3,934元/平"
阳光上东 紧凑两室 家具家电全带 有钥匙,阳光上东 -高新区,2室1厅 | 35.47平米 | 北 | 其他 | 低楼层(共16层)  | 板塔结合,0人关注 / 25天以前发布,24,"6,767元/平"
田丰园 2室1厅 南,田丰园 -上马营,2室1厅 | 86.06平米 | 南 | 其他 | 7层  | 板楼,0人关注 / 22天以前发布,42.8,"4,974元/平"
宝灯西住宅区 2室1厅 南 北,宝灯西住宅区 -清姜,2室1厅 | 62.06平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 18天以前发布,16,"2,579元/平"
新起点C区环境配套成熟，优质房源。,新起点家园C区 -高新区,2室2厅 | 79.88平米 | 西 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 25天以前发布,52,"6,510元/平"
高新五路 精装两室 基本未住 电梯中层 采光优,华厦生态时代 -高新区,2室2厅 | 100.71平米 | 南 北 | 其他 | 中楼层(共24层)  | 塔楼,0人关注 / 18天以前发布,88,"8,738元/平"
精装自住2室 高楼层 视野好 户型方正 教育资源丰富,轩苑尚城 -清姜,2室2厅 | 85.66平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 24天以前发布,46,"5,371元/平"
此房满五，小区环境良好，安保措施齐全，交通便利,新秦花园住宅小区 -大庆路,2室2厅 | 92.82平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 19天以前发布,32,"3,448元/平"
中滩路 中铁一局五公司 两室有本可按揭,中国中铁一局五公司家属院 -桥南,2室1厅 | 86平米 | 西 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,25.9,"3,012元/平"
高新十一路隔壁隆泰府102平毛坯3室54万价位能谈可看房,高新·隆泰府 -高新区,3室2厅 | 102平米 | 东南 | 其他 | 低楼层(共32层)  | 暂无数据,1人关注 / 26天以前发布,53.8,"5,275元/平"
轩苑世家星城 毛坯小三室 电梯中楼层 采光好,轩苑世家星城二期A区 -三迪,3室2厅 | 105平米 | 南 | 其他 | 低楼层(共34层)  | 板塔结合,0人关注 / 25天以前发布,55,"5,239元/平"
桥南聚丰一城江山112平小三室，看房方便。,聚丰一城江山I期 -石坝河,3室1厅 | 112.7平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,54,"4,792元/平"
三迪金域蓝湾 3室2厅 南,三迪金域蓝湾 -三迪,3室2厅 | 96平米 | 南 | 其他 | 高楼层(共23层)  | 板塔结合,0人关注 / 29天以前发布,65,"6,771元/平"
联盟大桥旁紧凑全明三室拎包入住,陈仓园铁路住宅A区 -陈仓园,3室2厅 | 96平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,36,"3,750元/平"
高新二路 山水文苑 繁华地段 宝中 高新中有本满二可按,山水文苑 -高新区,2室2厅 | 89平米 | 南 北 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 29天以前发布,56,"6,293元/平"
高新五路 九龙新城 诚心出售 毛坯房 楼层高,九龙新城 -高新区,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共31层)  | 板楼,0人关注 / 20天以前发布,85,"6,800元/平"
轩苑世家星城二期 毛坯三室 前后无遮挡 采光好,轩苑世家星城二期A区 -三迪,3室2厅 | 122平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 24天以前发布,55,"4,509元/平"
高新一路 锦御华府 中间楼层 诚心出售 产权清晰,锦御华府 -高新区,3室2厅 | 125平米 | 南 北 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 23天以前发布,95,"7,600元/平"
新建路东段39号 2室1厅 南 北,新建路东段39号 -火车站,2室1厅 | 77.09平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 31天以前发布,27,"3,503元/平"
此房户型方正，电梯房，南北朝向h，毛坯房，可按揭，,中联国际广场 -上马营,3室2厅 | 130平米 | 西 | 毛坯 | 低楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,65,"5,000元/平"
铁五处小区高层  新精装三室 可带家具家电 可全款更名,石坝河小区(宝光路) -石坝河,3室2厅 | 103平米 | 东南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 25天以前发布,50,"4,855元/平"
高新六路 泰森亿佳苑 三室 南北通透 全款更名,泰森亿佳苑 -高新区,3室2厅 | 132平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 22天以前发布,80,"6,061元/平"
水木清華 3室2厅 南,水木清華 -高新区,3室2厅 | 61平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 18天以前发布,58,"9,509元/平"
南站旁 世纪景元 电梯两室 看房方便 交通方便,世纪景元 -高新区,2室1厅 | 103平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 20天以前发布,56,"5,437元/平"
清姜 西二路 轩苑尚城 电梯房 三室,轩苑尚城 -清姜,3室2厅 | 120平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 29天以前发布,55,"4,584元/平"
高新六路 三室两厅两卫 房东诚心出售 价位可谈,泰森亿佳苑 -高新区,3室2厅 | 132平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 24天以前发布,75,"5,682元/平"
东岭银泰城旁195平大平层河景房,悦珑湾 -陈仓园,4室2厅 | 195平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 28天以前发布,210,"10,770元/平"
姜谭路 户型方正 精装修 拎包入住 南北通透 景观房,姜源城 -姜谭路,3室2厅 | 135平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 27天以前发布,88,"6,519元/平"
房子南北通透。格局好。英泰城旁边,东岭新时代二期 -陈仓园,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 23天以前发布,118.8,"9,139元/平"
新福路电梯小高层，一梯两户全明户型，房本满二可按揭,豪城天下F区 -新福路,2室1厅 | 92平米 | 西南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 31天以前发布,47,"5,109元/平"
高新四路，南站跟前，大四室，小区环境好，配套丰富,世纪景元西区 -高新区,4室2厅 | 179平米 | 北 南 | 其他 | 低楼层(共24层)  | 板塔结合,0人关注 / 23天以前发布,98.2,"5,487元/平"
高新繁华地段，毛坯三室，有房本可按揭,聚丰高新首府一期 -高新区,3室1厅 | 96.49平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 29天以前发布,65,"6,737元/平"
三迪金域蓝湾 毛坯大四室 户型房子,三迪金域蓝湾 -三迪,4室2厅 | 171.04平米 | 北 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 21天以前发布,102,"5,964元/平"
高新区 海河湾现房 可按揭 小区环境优美,宏运海河湾 -高新区,3室2厅 | 111.99平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,1人关注 / 28天以前发布,71.8,"6,412元/平"
高新三路 左岸新城 电梯房 诚心出售 产权清晰,左岸新城 -高新区,3室2厅 | 131平米 | 北 南 | 其他 | 高楼层(共15层)  | 板楼,0人关注 / 16天以前发布,80,"6,107元/平"
东岭银泰城旁 一线河景房 户型好 视野好,悦珑湾 -陈仓园,5室2厅 | 272平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 27天以前发布,298,"10,956元/平"
