标题,开发商,房子信息,发布信息,售价/万,单价
金港静园，带20平大露台，精装2+1户型，业主诚心卖,金港静园 -路北区,2室1厅 | 97.52平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 29天以前发布,123,"12,613元/平"
此房满五唯一南北通户型视野开阔光照充足,勤源里桃园楼 -路北区,2室1厅 | 77平米 | 北 南 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 7个月以前发布,87,"11,299元/平"
南北通透，户型方正，楼层好，采光充足,繁荣花园 -路北区,2室1厅 | 100.6平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,8人关注 / 一年前发布,185,"18,390元/平"
21小区 106平3室 带20.56平地下室 南北通 双阳台,21小区 -丰润区,3室2厅 | 106平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,78,"7,359元/平"
一层，南北通户型，老本，带地下室，有xiaoyuan,南园公寓一期 -路北区,2室2厅 | 92.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,112,"12,153元/平"
绿锦园 老本唯一 采光好 品牌装修 拎包入住,绿锦园 -路北区,3室2厅 | 132.87平米 | 西南 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 一年前发布,165,"12,419元/平"
仁宝凤凰楼层 房主发家房。看房方便。,仁宝新居 -丰润区,3室2厅 | 110.71平米 | 南 北 西 | 简装 | 高楼层(共20层)  | 板楼,0人关注 / 一年前发布,80,"7,227元/平"
兴盛大成小高层  难得的好户型,興盛大成B区 -路北区,4室2厅 | 203.25平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,11人关注 / 一年前发布,485,"23,863元/平"
玫瑰园南北通户型紧荣大商厦家万佳 小三中旁边设施全,玫瑰园 -丰南区,2室1厅 | 83平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,52,"6,266元/平"
满五唯一，两室两厅南北通非顶，砖混结构，带地下室,光明南里 -路北区,2室2厅 | 90平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,88,"9,778元/平"
男女老幼皆可入住  交通十分便利 环境优美,泰安荣锦花园 -遵化市,3室2厅 | 130.65平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,85,"6,506元/平"
银安花园 3室2厅 南 北,银安花园 -路北区,3室2厅 | 122.98平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,140,"11,384元/平"
不要被价格限制 五十四 三居室  老本可贷款  产权清晰,银安花园 -路北区,3室2厅 | 103.95平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,60人关注 / 一年前发布,98,"9,428元/平"
老本 南北通 不临街 户型好 交通方便 配套设施全,鑫雅园 -路北区,3室2厅 | 124.81平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,5人关注 / 10个月以前发布,198,"15,865元/平"
双湖二期精装修，老本唯一诚心出售,双湖锦苑二期 -丰南区,3室2厅 | 112.18平米 | 南 北 | 精装 | 低楼层(共27层)  | 暂无数据,1人关注 / 7个月以前发布,94,"8,380元/平"
双湖二期精装修，老本唯一诚心出售,双湖锦苑二期 -丰南区,3室2厅 | 112.18平米 | 南 北 | 精装 | 低楼层(共27层)  | 暂无数据,1人关注 / 7个月以前发布,94,"8,380元/平"
汇通花园广场 3室2厅 南 北,汇通花园广场 -丰南区,3室2厅 | 126.23平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,65,"5,150元/平"
老本 南北通 不临街 户型好 交通方便 配套设施全,鑫雅园 -路北区,3室2厅 | 124.81平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,5人关注 / 10个月以前发布,198,"15,865元/平"
精装修两室 紧挨远洋城  龙泉片内房  会展广场跟前,富华东里惠苑楼 -高新区,2室1厅 | 78.52平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,92.5,"11,781元/平"
凤凰新城，精装修，老本，全天采光，诚心出售！,梧桐大道 -路北区,3室2厅 | 170.64平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,270,"15,823元/平"
福乐园 南北通三居 忒好户型 近唐百南购店 配套齐全,常泰里福乐园 -路南区,3室1厅 | 85.72平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,80,"9,333元/平"
双新里！南北通透！中间层次！可公积金贷款！老本！,双新里 -路南区,2室2厅 | 83.77平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,108,"12,893元/平"
此房老本，南北通格局，楼层好，视野开阔，采光充足,矿院楼 -路南区,3室1厅 | 89平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,120,"13,484元/平"
老本满五唯一。南北通透，采光好，交通便利,新燕里昌盛楼 -路南区,2室1厅 | 77.12平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,106,"13,745元/平"
东南北三朝向，通透户型，使用率高,双新里 -路南区,3室2厅 | 122.28平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,155,"12,676元/平"
新华联广场三室南北通精装修 可贷款 采光好 好层次,新华联广场 -路南区,3室2厅 | 169.95平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,324,"19,065元/平"
新华联国花园 南湖商圈  视野开阔,新华联国花园 -路南区,3室2厅 | 119.09平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,1人关注 / 一年前发布,196,"16,459元/平"
楼层好，视野宽阔，采光充足，配套实施齐全。交通便利,世博广场 -路南区,3室2厅 | 137.9平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,2人关注 / 8个月以前发布,192.5,"13,960元/平"
站西片，满五唯一，新精装，急售,新河嘉园 -路北区,2室2厅 | 94.16平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,115,"12,214元/平"
此房南北户型，采光好，楼层好，配套设施齐全交通便利,万科·南湖春晓五期(观澜苑) -路南区,3室2厅 | 134.25平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,8人关注 / 一年前发布,235,"17,505元/平"
南湖景区，商品房，三室南北通有本可贷款,水岸名都 -路南区,3室1厅 | 119.64平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,126,"10,532元/平"
凤城天鹅湖！洋房！大三室！老本！有地下室！,凤城·天鹅湖 -路南区,3室2厅 | 134.68平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,310,"23,018元/平"
帝景豪庭 中间层 三居室 带19多平米双地下室 老本唯一,帝景豪庭 -丰润区,3室2厅 | 180.24平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,0人关注 / 一年前发布,215,"11,929元/平"
业主急售，南北通，采光好，得房率高，小区绿化好,昌隆·金色雅居 -路南区,2室2厅 | 87.06平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,24人关注 / 一年前发布,117,"13,440元/平"
万达广场 精装小3室 老本可贷款 首付35万！,万达广场E区 -路南区,3室1厅 | 108.43平米 | 西 北 | 精装 | 高楼层(共34层)  | 板楼,8人关注 / 8个月以前发布,108,"9,961元/平"
正对小区花园 全天采光 老本唯一 观景南湖,和泓阳光 -路南区,3室2厅 | 142.48平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,1人关注 / 5个月以前发布,237,"16,634元/平"
唐山为数不多的户型 带露台 阳光房 户型很好,逸品园 -路南区,3室2厅 | 87.98平米 | 东 南 | 精装 | 高楼层(共19层)  | 塔楼,8人关注 / 一年前发布,220,"25,006元/平"
银安花园精装修大露台30平南北通透户型好电梯房位置好,银安花园 -路北区,2室2厅 | 104.11平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,6人关注 / 4个月以前发布,162,"15,561元/平"
一层 三室户型方正   精装地暖，独立下水！院,万隆小区 -丰润区,3室1厅 | 73平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,15人关注 / 一年前发布,92,"12,603元/平"
纯正南北通，大两室，地暖落地窗，独立餐厅,朝新楼 -开平区,2室2厅 | 96.83平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,78,"8,056元/平"
交通便利  商圈齐全 随时看房 南北通透,张大里新村 -路北区,3室2厅 | 119.04平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,126.5,"10,627元/平"
鹭港商圈 南北通精装3居+20平米露台 拎包入住小高层,鹭港小区 -路北区,3室2厅 | 101.27平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,23人关注 / 5个月以前发布,150,"14,812元/平"
产权清晰，南北通透3室，小区居住人群素质高，户型好,富丽小区西区 -丰润区,3室2厅 | 106.55平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,78,"7,321元/平"
金域名邸 三室 精装修 阳面客厅,金域名邸 -丰润区,3室2厅 | 112.47平米 | 南 北 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 一年前发布,122,"10,848元/平"
德盛家园  三室两厅  精装修  房龄新,德盛家园 -丰润区,3室2厅 | 144.89平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,120,"8,283元/平"
美景花园 2室2厅 南 北,美景花园 -丰润区,2室2厅 | 100.25平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,1人关注 / 9个月以前发布,85,"8,479元/平"
21小区      南北通透  小三室,21小区 -丰润区,3室2厅 | 94.12平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,14人关注 / 一年前发布,91,"9,669元/平"
镇中楼 2室2厅 南 北,镇中楼 -丰润区,2室2厅 | 85.8平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 10个月以前发布,73,"8,509元/平"
新华道荷花坑东港龙城+老本+中间层+车位+地下室,東港龍城 -开平区,3室2厅 | 104.89平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,10人关注 / 一年前发布,108,"10,297元/平"
电梯房，挨着县医院，火车站，汽车站，北购，万达,富力城 -丰润区,2室2厅 | 105.91平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 5个月以前发布,100,"9,442元/平"
水云间公寓 3室2厅 南 北,水云间公寓 -高新区,3室2厅 | 142.87平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,2人关注 / 8个月以前发布,220,"15,399元/平"
城西五期 四层三室两卫 拎包入住 支持贷款,城西小区五期 -丰润区,3室2厅 | 136.15平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 9个月以前发布,102,"7,492元/平"
开尔 两室  有露台  地下室 随时看房 有本 可贷款,开尔尚城 -丰润区,3室2厅 | 88.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,66,"7,450元/平"
真实出售，精装两室，拎包入住，好楼层，采光充足,御龙湾家园 -丰润区,2室2厅 | 87.82平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,70,"7,971元/平"
本房源真实出售，三室，采光好，拎包入住，可当婚房,开尔尚城 -丰润区,3室2厅 | 111.13平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,95,"8,549元/平"
真实出售，有本可贷款，看房方便，位置好,光明小区 -丰润区,2室1厅 | 67.81平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 8个月以前发布,62,"9,144元/平"
真实出售，价格可议，三室，采光充足，看房方便,石榴家园 -丰润区,3室1厅 | 86平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,77.4,"9,000元/平"
恒益馨苑，拎包入住，有房本，可贷款,恒益馨苑 -丰润区,3室1厅 | 101.77平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,2人关注 / 一年前发布,83,"8,156元/平"
真实出售，两室改三室，产权清晰，价格可议,仁宝新居 -丰润区,3室2厅 | 97.75平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,1人关注 / 11个月以前发布,72,"7,366元/平"
福乐园！老本！有地下室！诚心卖,常泰里福乐园 -路南区,3室2厅 | 119.98平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,147,"12,253元/平"
此房老本过户费低，南本通透，通风效果好，全天采光,河头里 -丰南区,3室2厅 | 135.97平米 | 南 北 | 精装 | 高楼层(共25层)  | 暂无数据,3人关注 / 8个月以前发布,120,"8,826元/平"
都市花园 两室一厅  南北通透 看房方便,都市花园小区 -高新区,2室1厅 | 94.24平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,6人关注 / 一年前发布,114,"12,097元/平"
建科楼 三室两厅 三阳住室 老本唯一 带地下室,郭大里建科楼 -路北区,3室2厅 | 124.3平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,159,"12,792元/平"
上学方便，房子是老本唯一，户型通透,玫瑰园 -丰南区,3室2厅 | 144平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,81,"5,625元/平"
此房为纯商品房社区，中间楼层，精装修，全明格局,万科南湖春晓栖霞苑 -路南区,4室1厅 | 158.45平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,212,"13,380元/平"
此房户型方正，南北通透，采光好，精装修，拎包入住,君熙太和 -丰南区,3室2厅 | 118.52平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,5人关注 / 一年前发布,145,"12,235元/平"
此房南北通透格局，采光充足，精装修可随时看房,金岸红堡 -路南区,3室2厅 | 105.62平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,3人关注 / 7个月以前发布,170,"16,096元/平"
位置好楼层好次顶采光好。交通便利，老本满五不唯一i,陽光家園 -丰南区,2室2厅 | 87.48平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,8人关注 / 一年前发布,55,"6,288元/平"
房主换房急售  全小区价格合适的一套  看房方便,丰源南里裕兴楼 -路北区,3室2厅 | 84.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,23人关注 / 一年前发布,84,"9,930元/平"
诚心出售，价格可议，老本带露台花园,尚座花园 -路北区,3室2厅 | 130平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,218,"16,770元/平"
新兴小区 3室2厅 南 北,新兴小区 -丰润区,3室2厅 | 69.86平米 | 南 北 | 其他 | 中楼层(共4层)  | 板塔结合,1人关注 / 一年前发布,57,"8,160元/平"
南北通透格局好位置好 步梯公摊小 视野开阔采光好,青青家園 -丰南区,3室2厅 | 108.92平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,74,"6,794元/平"
精装 南北通透户型 视野宽阔 采光充足 配套设施齐全,诚诚小区 -遵化市,3室2厅 | 123.84平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,75,"6,057元/平"
大两室南北通，精装修家具家电部分留下,新世界水景花苑 -丰南区,2室2厅 | 103.64平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,73,"7,044元/平"
此房满五唯一，南北通透格局，视野宽阔，采光充足,瑞景花园 -开平区,3室2厅 | 118平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 一年前发布,97,"8,221元/平"
此房满五唯一，南北通透格局，视野宽阔，采光充足,瑞景花园 -开平区,3室2厅 | 118平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 一年前发布,97,"8,221元/平"
大两室南北通，精装修家具家电部分留下,新世界水景花苑 -丰南区,2室2厅 | 103.64平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,73,"7,044元/平"
新兴小区 3室2厅 南 北,新兴小区 -丰润区,3室2厅 | 69.86平米 | 南 北 | 其他 | 中楼层(共4层)  | 板塔结合,1人关注 / 一年前发布,57,"8,160元/平"
此房为纯商品房社区，中间楼层，精装修，全明格局,万科南湖春晓栖霞苑 -路南区,4室1厅 | 158.45平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,212,"13,380元/平"
上学方便，房子是老本唯一，户型通透,玫瑰园 -丰南区,3室2厅 | 144平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,81,"5,625元/平"
兴帝家园的大平层，质量好，公摊少，交通便利。,兴帝家园 -丰南区,3室2厅 | 129平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,77,"5,969元/平"
华明嘉园三期 朝南北向格局，男女老幼皆可入住，,华明嘉园三期 -遵化市,2室1厅 | 97.83平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,75,"7,667元/平"
双阳面采光好，新装修的   可以拎包入住好房不要错,龙泽苑 -高新区,2室2厅 | 97平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,29人关注 / 一年前发布,89.6,"9,238元/平"
南湖春晓 中间层全天采光 精装修,万科·南湖春晓五期(观澜苑) -路南区,3室2厅 | 111.75平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,172,"15,392元/平"
视野宽阔 ，南北通透 ，上学方便,矿院楼 -路南区,3室2厅 | 88.45平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,125,"14,133元/平"
再水一方 中间楼层 交通便利 采光无遮挡,在水一方 -路南区,3室2厅 | 137.46平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,8人关注 / 一年前发布,133,"9,676元/平"
房型好，地理位置优越，小区环境好，采光充足。,世纪名苑 -丰润区,3室2厅 | 132.11平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,1人关注 / 一年前发布,120,"9,084元/平"
祥润旁三丰楼大三室，三阳开泰户型，单价不租7千！,三丰楼 -丰润区,3室2厅 | 110.1平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,9人关注 / 一年前发布,66,"5,995元/平"
南北通，次顶楼层，采光好，视野无档,祥润佳园 -丰润区,3室2厅 | 116平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,93,"8,018元/平"
祥和小区地理位置优越，交通便利,祥和小区 -丰润区,3室2厅 | 120.67平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,105,"8,702元/平"
丰源南里裕兴楼三阳开泰老本唯一大三居,丰源南里裕兴楼 -路北区,3室2厅 | 147.11平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,12人关注 / 一年前发布,175,"11,896元/平"
富祥花苑 3层 户型方正 地暖  可当四室,富祥花苑 -丰润区,3室2厅 | 150.74平米 | 南 北 | 精装 | 中楼层(共4层)  | 板塔结合,2人关注 / 一年前发布,115,"7,630元/平"
本房源真实出售，精装三室，商品洋房，带地下室,田园景苑 -丰润区,3室2厅 | 117.28平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,100,"8,527元/平"
红楼新区 2室1厅 南 北,红楼新区 -丰润区,2室1厅 | 89平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 6个月以前发布,63,"7,079元/平"
万达小3室 精装修 10多层 老本全天采光！诚心卖！,万达广场G区 -路南区,3室1厅 | 94.25平米 | 西南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 1个月以前发布,105,"11,141元/平"
唐城101 稀有房源，自封30平米露台，精装修,唐城·壹零壹 -路北区,4室2厅 | 155平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,23人关注 / 一年前发布,490,"31,613元/平"
水景花苑，2室两厅一卫，精装修，带地下室,新世界水景花苑 -丰南区,2室2厅 | 99.62平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,62,"6,224元/平"
老本可贷款，看房方便，提前联系，带地下室，户型好,湖畔郦舍荷风苑 -丰南区,3室2厅 | 97.56平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,2人关注 / 一年前发布,100,"10,251元/平"
出售 老地税楼 140平 中层 三室南北通 老本可贷款,西湖路2号小区 -丰南区,3室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,102,"7,286元/平"
此房精装，老本可贷款，两室南北通，电梯房，高层..,河头里 -丰南区,3室2厅 | 149.2平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,1人关注 / 9个月以前发布,132,"8,848元/平"
新城金惠组团，两室两厅，全天来光。,银城花园金惠组团 -丰南区,2室1厅 | 85平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,45,"5,295元/平"
惠苑楼出二层两室南北通啦  全明H户型  舒适感强,富华东里惠苑楼 -高新区,2室1厅 | 78.53平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,105,"13,371元/平"
此房为老本，房子很干净，拎包入住,御景花园 -丰南区,3室2厅 | 115.03平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,73.5,"6,390元/平"
新上，凤凰新城，三室两卫，全天采光，老本税低,电建地产首郡 -路北区,3室2厅 | 116.06平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,2人关注 / 4个月以前发布,225,"19,387元/平"
万达大四居室南北通透户型，带车位业主诚心出售精装,万达广场F区 -路南区,4室2厅 | 230.15平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,4人关注 / 一年前发布,320,"13,904元/平"
仁泰里 示范院 中间楼层 三室两卫 公摊小,仁泰里 -路北区,3室2厅 | 137.74平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,27人关注 / 一年前发布,130,"9,439元/平"
冯大里新村楼层好位置好户型方正大客厅可贷款价格可议,冯大里新村 -路北区,3室2厅 | 145.98平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,9人关注 / 一年前发布,172,"11,783元/平"
此房是老本，精装修未住过人，采光好，看房方便....,金盛花苑二期 -丰南区,3室2厅 | 115.25平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,96.8,"8,400元/平"
万达大四居室南北通透户型，带车位业主诚心出售精装,万达广场F区 -路南区,4室2厅 | 230.15平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,4人关注 / 一年前发布,320,"13,904元/平"
天元花园 3室2厅 南 北,天元花园 -路北区,3室2厅 | 128.79平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 9个月以前发布,261.5,"20,305元/平"
东方花苑 3室2厅 南 北,东方花苑 -高新区,3室2厅 | 113.02平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,146,"12,919元/平"
银城花园，2室简单装修，未出租过，老本,银城花园 -丰南区,2室2厅 | 75.98平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,3人关注 / 一年前发布,28,"3,686元/平"
龙源新居  三室南北通 电梯楼  老本唯一,龙源新居 -高新区,3室2厅 | 97.4平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,18人关注 / 一年前发布,125,"12,834元/平"
龙源新居 2室2厅 南 北,龙源新居 -高新区,2室2厅 | 85.34平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,129,"15,117元/平"
南北通透 老本 全天采光 带地下室 不临街不把边,张大里新村 -路北区,2室2厅 | 87.35平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,105,"12,021元/平"
精品房源 标准H户型 南北通透 落地窗采光好 诚心出售,智源里畅春园 -路北区,2室2厅 | 96.83平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,17人关注 / 一年前发布,99,"10,225元/平"
雅颂居大三居南北通透俯瞰人民公园,雅颂居 -路北区,3室2厅 | 167.69平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,7人关注 / 一年前发布,430,"25,643元/平"
此房老本，户型好，南北通透，通风好,瑞明楼 -丰南区,2室1厅 | 73.39平米 | 北 南 | 其他 | 高楼层(共4层)  | 板楼,8人关注 / 9个月以前发布,39.5,"5,383元/平"
晨光家园的三室，位置好，户型好，阳面客厅，价格低,晨光家园 -丰南区,3室1厅 | 107.69平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 7个月以前发布,55,"5,108元/平"
君熙太和官邸精装现房，可拎包入住,君熙太和 -丰南区,4室2厅 | 205.33平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,12人关注 / 一年前发布,360,"17,533元/平"
天元 舒适两居 南北通 公摊小 采光好 小区人均素质高,天元花园 -路北区,2室2厅 | 110平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,162,"14,728元/平"
房主诚心出售，价格可议。。。。。。。。。,恒茂国际都会 -路北区,3室2厅 | 205.51平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,17人关注 / 10个月以前发布,266,"12,944元/平"
H户型南北通透带车位和21平带窗户的地下室，诚心出售,天元花园 -路北区,2室2厅 | 110平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 6个月以前发布,129,"11,728元/平"
金隅精装四居小高层老本采光好环境好业主诚心出售,金隅冀东玺唐 -路北区,4室2厅 | 133.09平米 | 南 北 | 精装 | 低楼层(共17层)  | 暂无数据,6人关注 / 7个月以前发布,182,"13,675元/平"
繁荣花园  三室南北通   精装修  方正户型 看房方便,繁荣花园 -路北区,3室2厅 | 129.76平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,9人关注 / 一年前发布,260,"20,037元/平"
怡和楼　两居室　双阳卧室　南北通透　老本可贷款,怡和楼 -路北区,2室2厅 | 93.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,130,"13,904元/平"
仁宝新居  南北通透  均价7000+,仁宝新居 -丰润区,2室2厅 | 98.11平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,70,"7,135元/平"
郭大里建科楼 2室2厅 南 北,郭大里建科楼 -路北区,2室2厅 | 110.68平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 10个月以前发布,105,"9,487元/平"
满五老本精装修，内有幼儿园，交通便利,北关二居小区 -丰润区,3室1厅 | 112.82平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,3人关注 / 一年前发布,90,"7,978元/平"
天元花园好房子在这里，老本唯一省个税,天元花园 -路北区,2室2厅 | 99.43平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,150,"15,086元/平"
东新苑 步梯二层 H户型 户型真棒 出行便利,东新苑 -开平区,2室2厅 | 95.94平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,90,"9,381元/平"
郭大里建科楼！老本唯一！二层！诚心出售！,郭大里建科楼 -路北区,2室2厅 | 107.42平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,164,"15,268元/平"
此房远洋城商圈三室南北通精装修,6湾丽景 -路北区,3室2厅 | 114.13平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,11人关注 / 一年前发布,132,"11,566元/平"
