标题,开发商,房子信息,发布信息,售价/万,单价
西部新城 园林小区 电梯房 装修保养好 关门卖拎包入住,阳光路苑三期 -城南片区,3室2厅 | 76.36平米 | 西 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 7天以前发布,58.8,"7,701元/平"
标准三室，诚心出售，房型方正。,铁投·邛海壹号 -三岔口片区,3室2厅 | 91平米 | 东南 | 毛坯 | 低楼层(共20层)  | 塔楼,2人关注 / 3个月以前发布,118.3,"13,000元/平"
电梯春城四室现房大客厅！环境优美！,合信邛海湾B区 -三岔口片区,4室2厅 | 86.28平米 | 东 | 毛坯 | 中楼层(共20层)  | 塔楼,0人关注 / 一年前发布,126,"14,604元/平"
城东优质小区套三双卫诚心出售，品质住宅，法式风格,合信邛海湾A区 -三岔口片区,3室2厅 | 77平米 | 东南 | 毛坯 | 低楼层(共17层)  | 塔楼,0人关注 / 10个月以前发布,105,"13,637元/平"
房小区环境好，户型房子，采光通透，朝中庭，视野好，,东苑小区 -三岔口片区,3室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共20层)  | 塔楼,0人关注 / 2个月以前发布,114,"10,000元/平"
海河边 明珠花园 四室两厅一两卫 房东诚心出售,明珠花园 -城南片区,4室2厅 | 144.65平米 | 东北 | 简装 | 低楼层(共6层)  | 平房,4人关注 / 一年前发布,135.8,"9,389元/平"
胜利北路 电梯房中间楼层 随时看房,中共西昌市委党校职工住宅楼 -老城片区,3室2厅 | 103.62平米 | 南 | 毛坯 | 高楼层(共15层)  | 塔楼,0人关注 / 1个月以前发布,68.8,"6,640元/平"
万达旁楼层好，视野开阔，小区绿化面积大,铁投·邛海壹号 -三岔口片区,3室2厅 | 81.79平米 | 西南 | 毛坯 | 低楼层(共19层)  | 板塔结合,0人关注 / 3个月以前发布,165,"20,174元/平"
三岔口 一梯一户 套四三卫 大平层 交通便利 环境优美,三岔口国税局 -三岔口片区,4室2厅 | 179平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,152,"8,492元/平"
万达广场旁 邛海湾B区 正规套三双卫 看房方便 诚售,合信邛海湾B区 -三岔口片区,3室2厅 | 79.86平米 | 南 | 其他 | 中楼层(共20层)  | 板楼,1人关注 / 4个月以前发布,91.5,"11,458元/平"
格局好，楼层好，小区好，楼间距宽。,南山御墅A区 -城南片区,5室3厅 | 276平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,5人关注 / 11个月以前发布,399,"14,457元/平"
东延线套四清水房房东诚心出售！！,合信邛海湾B区 -三岔口片区,4室2厅 | 86.56平米 | 南 西南 | 毛坯 | 高楼层(共20层)  | 塔楼,2人关注 / 一年前发布,115,"13,286元/平"
小区绿化环境好，邛海湿地在旁边。出门就是万达广场,邛海湾·长岛 -三岔口片区,3室2厅 | 82.38平米 | 东 | 毛坯 | 高楼层(共20层)  | 塔楼,0人关注 / 5个月以前发布,128,"15,538元/平"
三岔口，六中，剪力墙四楼，简单装修,凉山彝族自治州环境保护局 -三岔口片区,3室2厅 | 108平米 | 东南 | 简装 | 中楼层(共6层)  | 塔楼,2人关注 / 一年前发布,88,"8,149元/平"
凉山州经信委健康路住宅小区精装大套三,凉山州经信委健康路住宅小区 -三岔口片区,3室1厅 | 108平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,97.8,"9,056元/平"
阳光湿地旁花园式小区套三诚心出售,鹭洲·威尼斯半岛 -三岔口片区,3室2厅 | 93.35平米 | 南 | 简装 | 中楼层(共20层)  | 板楼,0人关注 / 1个月以前发布,135,"14,462元/平"
小区环境干净舒适 适合居住 交通便利,瓦尔学校单位房 -三岔口片区,3室2厅 | 107平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,15人关注 / 一年前发布,66,"6,169元/平"
城东电梯装修套三拎包入住交通便利,昭觉住西昌第一干休所 -三岔口片区,3室2厅 | 104.8平米 | 西北 | 简装 | 低楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,84,"8,016元/平"
老城区标准套三电梯房采光好户型方正,州政府小区 -老城片区,3室2厅 | 124.04平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,5人关注 / 4个月以前发布,115,"9,272元/平"
春城旁   万达附，近标准套三双卫,合信邛海湾B区 -三岔口片区,3室2厅 | 80平米 | 南 | 简装 | 中楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,101.5,"12,688元/平"
万达旁出行方便，边标准套三，拎包入住,领地凯旋公馆 -三岔口片区,3室2厅 | 79.31平米 | 东南 西北 | 精装 | 中楼层(共20层)  | 板塔结合,3人关注 / 6个月以前发布,128,"16,140元/平"
万达旁标准三室双卫出售，地段好，交通方便,邛海湾·长岛 -三岔口片区,3室2厅 | 84平米 | 西北 | 毛坯 | 高楼层(共20层)  | 塔楼,0人关注 / 5个月以前发布,102.8,"12,239元/平"
房子满五，单位小区，环境清静，户型方正，采光好,市农行家属区 -市中心片区,3室2厅 | 114.57平米 | 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,98,"8,554元/平"
户型方正采光充足 。。。。。。。。。。。,碧海蓝天 -城南片区,3室2厅 | 117平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,109,"9,317元/平"
刚需房子，房子的税费低，配套成熟，出行方便,老西门街11号 -老城片区,2室1厅 | 60.89平米 | 西南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,54,"8,869元/平"
东城区春城旁交通便利套三双卫使用面积120,合信邛海湾B区 -三岔口片区,3室2厅 | 79.04平米 | 东 | 毛坯 | 低楼层(共20层)  | 板塔结合,0人关注 / 8个月以前发布,92,"11,640元/平"
万达旁，邛海边，大套四出售，居住品质高,乐荟城 -三岔口片区,4室2厅 | 164.7平米 | 东南 | 毛坯 | 中楼层(共20层)  | 板塔结合,0人关注 / 6个月以前发布,197,"11,962元/平"
火把广场 电梯精装套三 随时看房,金地丽都 -三岔口片区,3室2厅 | 113.83平米 | 西南 | 精装 | 低楼层(共17层)  | 暂无数据,3人关注 / 8个月以前发布,111.8,"9,822元/平"
体育广场，精装修套二，采光好，小区停车方便,金地丽都 -三岔口片区,2室2厅 | 79.64平米 | 东北 | 精装 | 中楼层(共18层)  | 塔楼,2人关注 / 5个月以前发布,81.8,"10,272元/平"
此房交通便利，小区环境干净舒适，适合居住！！！！,南苑钰楼 -三岔口片区,3室2厅 | 111平米 | 南 | 精装 | 高楼层(共14层)  | 板塔结合,0人关注 / 1个月以前发布,108,"9,730元/平"
万达广场旁，邛海湾b区，交通便利,合信邛海湾B区 -三岔口片区,3室2厅 | 77平米 | 南 | 毛坯 | 低楼层(共20层)  | 塔楼,0人关注 / 9个月以前发布,87.1,"11,312元/平"
大昌小区精装套三，带家具家电，诚心出售,大昌小区南村 -市中心片区,3室2厅 | 106.4平米 | 东 西 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,88,"8,271元/平"
此房出行方便，购物方便，清水房，户型方正,蜀鑫·海河上院 -西部新城片区,4室2厅 | 145平米 | 南 | 毛坯 | 低楼层(共9层)  | 塔楼,2人关注 / 6个月以前发布,145,"10,000元/平"
长安菜市 小区中庭 精装电梯大套三,长安花园一期 -长安片区,3室2厅 | 126.5平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,106,"8,380元/平"
花园城套四，对水景大中庭，中高楼层，采光好电梯入户,邦泰花园城二期 -西部新城片区,4室2厅 | 83.55平米 | 北 | 毛坯 | 中楼层(共9层)  | 暂无数据,3人关注 / 一年前发布,126,"15,081元/平"
标准套三双卫，朝向好，采光好。,正黄金色学府 -西部新城片区,3室2厅 | 81平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,77.2,"9,531元/平"
西部新城朝南标准毛坯套三诚心出售,蓝润.春风九里 -西部新城片区,3室2厅 | 94.65平米 | 南 | 毛坯 | 中楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,90.8,"9,594元/平"
西部新城清水跃层套四三卫带楼顶花园即买即住！,邦泰花园城三期 -西部新城片区,4室2厅 | 75.22平米 | 西北 | 毛坯 | 高楼层(共15层)  | 暂无数据,2人关注 / 3个月以前发布,127.8,"16,991元/平"
长安片区大套三低价出售，大户型，采光好，速来认购！,西昌市盐业公司 -长安片区,3室2厅 | 121.26平米 | 西南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,92,"7,588元/平"
此房户型方正，采光好，视野开阔无遮挡,荷苑 -会理县,3室2厅 | 104.48平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 暂无数据,0人关注 / 3个月以前发布,63.8,"6,107元/平"
西客站旁·精装套三双卫家具家电齐全拎包入住,金阳驻西昌干休所 -长安片区,3室1厅 | 110平米 | 南 | 简装 | 中楼层(共16层)  | 暂无数据,1人关注 / 4个月以前发布,80,"7,273元/平"
此房是三室一厅带露台的毛坯房，房子新采光好,金域香江 -会理县,3室2厅 | 110.95平米 | 东 | 毛坯 | 中楼层(共7层)  | 暂无数据,2人关注 / 9个月以前发布,70,"6,310元/平"
此房为套四双  户型好  彩光好,凉山州水利电力勘测设计研究院 -市中心片区,4室2厅 | 109平米 | 东 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,88,"8,074元/平"
此房跃层带花园 单独楼梯 可以住一层 出租一层,胜利路蔬菜公司 -市中心片区,3室2厅 | 124.6平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,111,"8,909元/平"
长安套三双卫电梯房出售   根据自己喜欢风格装修,工商局长安经济实用房 -长安片区,3室2厅 | 105平米 | 北 | 简装 | 高楼层(共15层)  | 暂无数据,1人关注 / 6个月以前发布,78.8,"7,505元/平"
此房是四室两厅一厨两卫的套房，房子房龄新,金域香江 -会理县,4室2厅 | 110.95平米 | 东 | 毛坯 | 中楼层(共7层)  | 暂无数据,2人关注 / 9个月以前发布,76,"6,850元/平"
龙腾南街 3室1厅 东,龙腾南街 -会理县,3室1厅 | 133.5平米 | 东 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,72,"5,394元/平"
带地下车位，套四大户型，南北朝向，一梯两户，采光好,馨辉源 -会理县,4室2厅 | 148.17平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,1人关注 / 7个月以前发布,93,"6,277元/平"
中巷子 3室1厅 东 西,中巷子 -会理县,3室1厅 | 82.96平米 | 东 西 | 精装 | 中楼层(共4层)  | 板楼,3人关注 / 5个月以前发布,46.8,"5,642元/平"
此房户型标准 采光良好 适宜居住,星光苑A区 -市中心片区,3室2厅 | 124.2平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,105,"8,455元/平"
长安花园一期 交通便利 小区环境干净舒适 适合居住,长安花园一期 -长安片区,3室2厅 | 133.27平米 | 东南 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,100,"7,504元/平"
攀西商贸城旁/金色学府/清水房,正黄金色学府 -西部新城片区,3室2厅 | 81.83平米 | 东 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,83,"10,143元/平"
楼层好，采光好，朝中庭，明厨明卫，动静分区，,蜀鑫·海河上院 -西部新城片区,3室2厅 | 108平米 | 东北 | 毛坯 | 高楼层(共9层)  | 塔楼,0人关注 / 2个月以前发布,103.3,"9,565元/平"
正黄金色学府，清水套三，房东诚心出售，随时看房,正黄金色学府 -西部新城片区,3室2厅 | 72平米 | 东北 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,69,"9,584元/平"
此房户型方正，房东城心出售，新小区新环境,领地锦绣蘭台 -西部新城片区,3室2厅 | 96平米 | 东北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,76,"7,917元/平"
小区环境好 交通购物方便 电梯房 户型方正 楼层好,正黄金色学府 -西部新城片区,3室2厅 | 81.33平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 7个月以前发布,86,"10,575元/平"
西部新城朝南标准毛坯套三诚心出售,蓝润.春风九里 -西部新城片区,3室2厅 | 94.65平米 | 南 | 毛坯 | 中楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,90.8,"9,594元/平"
邮政街单位房不动产权证地段位置好,邮政街 -会理县,3室1厅 | 110.73平米 | 东 西 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,49.8,"4,498元/平"
房子标准套四，楼层好，靠小区中庭，朝向好,正黄金色学府 -西部新城片区,4室2厅 | 87平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,88,"10,115元/平"
万达旁，邛海边，大套四出售，居住品质高,乐荟城 -三岔口片区,4室2厅 | 164.7平米 | 东南 | 毛坯 | 中楼层(共20层)  | 板塔结合,0人关注 / 6个月以前发布,197,"11,962元/平"
小区环境干净舒适 适合居住 交通便利,瓦尔学校单位房 -三岔口片区,3室2厅 | 107平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,15人关注 / 一年前发布,66,"6,169元/平"
此房小区环境好，绿化做得不错，,锦绣花园 -长安片区,3室2厅 | 120.95平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 10个月以前发布,126.8,"10,484元/平"
阳光湿地旁花园式小区套三诚心出售,鹭洲·威尼斯半岛 -三岔口片区,3室2厅 | 93.35平米 | 南 | 简装 | 中楼层(共20层)  | 板楼,0人关注 / 1个月以前发布,135,"14,462元/平"
会中巷粮食局家属院家属院 2室2厅 北,会中巷粮食局家属院家属院 -会理县,2室2厅 | 86.23平米 | 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,36,"4,175元/平"
房东现在诚心出售，户型方正，光线好，繁华区域,蓝润.春风九里 -西部新城片区,3室2厅 | 98.14平米 | 东北 | 毛坯 | 中楼层(共20层)  | 暂无数据,0人关注 / 4个月以前发布,72,"7,337元/平"
会理市馨辉源经纪适房带车位出售,馨辉源 -会理县,3室2厅 | 126.07平米 | 南 北 | 精装 | 中楼层(共12层)  | 暂无数据,0人关注 / 5个月以前发布,90,"7,139元/平"
万达旁 套三双卫 海景房诚心出售,合信邛海湾B区 -三岔口片区,3室2厅 | 81平米 | 南 | 毛坯 | 中楼层(共20层)  | 板楼,4人关注 / 7个月以前发布,95.2,"11,754元/平"
标准套三  小区安静 环境好  适合居住,什字街10号 -老城片区,3室2厅 | 90平米 | 南 北 | 简装 | 中楼层(共6层)  | 平房,3人关注 / 一年前发布,80,"8,889元/平"
西部航天区现房出售标准套三明厨明卫朝南,正黄金色学府 -西部新城片区,3室2厅 | 81.13平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,88,"10,847元/平"
西部新城现房，套四，朝小区中庭不临街，户型方正,金色学府天骄 -西部新城片区,4室2厅 | 96.86平米 | 东南 | 毛坯 | 低楼层(共19层)  | 暂无数据,0人关注 / 3个月以前发布,81,"8,363元/平"
精品房为三室两厅双卫，房屋宽大敞亮。,丽景豪庭 -长安片区,3室2厅 | 128平米 | 东 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,105,"8,204元/平"
建昌路，2018小区精装大套三，优质房源,公園2018 -三岔口片区,3室2厅 | 118.12平米 | 西南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 9个月以前发布,137,"11,599元/平"
西客站小区环境好户型方正，动静分区，人文素养高.,月城丽景 -长安片区,3室2厅 | 101平米 | 北 | 简装 | 高楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,86,"8,515元/平"
此小区是成都领地集团 在西昌开发的 小区一梯两户..,领地·阑台府 -城南片区,3室2厅 | 96.7平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,128,"13,237元/平"
健康路森源大厦套三单卫住房出售，面积大房子优质。,健康路森源大厦 -三岔口片区,3室2厅 | 115平米 | 东南 南 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,83,"7,218元/平"
市区低单价房源满五税费低带装修,胜利路国土局 -市中心片区,4室2厅 | 150平米 | 东 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 8个月以前发布,99.5,"6,634元/平"
配套设施齐全 采光通风性好 家具家电都是齐全 全新的,月海苑 -三岔口片区,3室2厅 | 105平米 | 东南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,105,"10,000元/平"
精品精装套三出售，小区环境和地段都不错，交通便利,州林业局南桥小区 -三岔口片区,3室2厅 | 67平米 | 西北 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 6个月以前发布,64,"9,553元/平"
万达广场旁 邛海湾B区  正规套三双卫 业主诚售 可议价,合信邛海湾B区 -三岔口片区,3室2厅 | 77.8平米 | 东北 | 毛坯 | 中楼层(共20层)  | 塔楼,0人关注 / 10个月以前发布,96,"12,340元/平"
万达旁 套三双卫 海景房诚心出售,合信邛海湾B区 -三岔口片区,3室2厅 | 81平米 | 南 | 毛坯 | 中楼层(共20层)  | 板楼,4人关注 / 7个月以前发布,95.2,"11,754元/平"
此房现房，出行方便，户型方正，居住方便舒适,铁投·邛海壹号 -三岔口片区,3室2厅 | 91平米 | 东南 | 其他 | 高楼层(共20层)  | 塔楼,0人关注 / 6个月以前发布,125,"13,737元/平"
海河帝景B区精装套四诚心出售。,海河帝景B区 -城南片区,4室2厅 | 125.3平米 | 西南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,110,"8,779元/平"
房子满五，单位小区，环境清静，户型方正，采光好,市农行家属区 -市中心片区,3室2厅 | 114.57平米 | 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,98,"8,554元/平"
刚需房子，房子的税费低，配套成熟，出行方便,老西门街11号 -老城片区,2室1厅 | 60.89平米 | 西南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,54,"8,869元/平"
户型方正采光充足 。。。。。。。。。。。,碧海蓝天 -城南片区,3室2厅 | 117平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,109,"9,317元/平"
房子装修温馨舒适，带全新家具家电 拎包入住,荞窝监狱驻西昌干休所 -长安片区,3室2厅 | 85.5平米 | 南 北 | 精装 | 低楼层(共4层)  | 塔楼,0人关注 / 6个月以前发布,75.8,"8,866元/平"
碧桂园·天樾 3室2厅 西,碧桂园·天樾 -西部新城片区,3室2厅 | 100.3平米 | 西 | 其他 | 高楼层(共20层)  | 塔楼,2人关注 / 6个月以前发布,93.6,"9,333元/平"
此房精装修 视野开阔，采光充足，小区环境绿化好,碧桂园·天樾 -西部新城片区,3室1厅 | 112平米 | 东南 | 简装 | 中楼层(共20层)  | 塔楼,0人关注 / 8个月以前发布,121,"10,804元/平"
健康小区2室1厅1厨1卫交通便利，有小区环境，适合居住,健康小区 -三岔口片区,2室1厅 | 70.24平米 | 东南 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 4天以前发布,63,"8,970元/平"
丝绸苑小区 2室2厅 北,丝绸苑小区 -三岔口片区,2室2厅 | 80.24平米 | 北 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 3天以前发布,65,"8,101元/平"
老城区，建昌古城，套三双卫，大客厅,仿古小区 -老城片区,3室2厅 | 115平米 | 东南 | 其他 | 高楼层(共5层)  | 平房,0人关注 / 5天以前发布,95,"8,261元/平"
顺城路门市带住房整栋出售 双门市 通车,果元村五组 -会理县,2室1厅 | 519.65平米 | 东南 | 简装 | 低楼层(共2层)  | 暂无数据,0人关注 / 一年前发布,450,"8,660元/平"
长安片区，精装小户型，采光好，电梯房，交通便利,长安小区 -长安片区,1室1厅 | 52.91平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,37.8,"7,145元/平"
价格低，成熟商圈，接手可收租金，也可自己做生意,金厦攀星花園 -市中心片区,1室0厅 | 55.72平米 | 东 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,100,"17,947元/平"
高档小区，停车，坐车，都是很方便的,彩云府 -三岔口片区,2室1厅 | 83.48平米 | 西南 | 毛坯 | 高楼层(共20层)  | 塔楼,13人关注 / 一年前发布,73.8,"8,841元/平"
会理县会中巷4楼一室一厅一厨出售,老百货公司家属院 -会理县,1室1厅 | 34.52平米 | 东 | 简装 | 高楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,17,"4,925元/平"
阳光片区套二诚心出售    户型方正 采光好,第二人民医院宿舍 -三岔口片区,1室1厅 | 61.36平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,52,"8,475元/平"
合兴园小区 3室2厅 西南,合兴园小区 -三岔口片区,3室2厅 | 147平米 | 西南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,138,"9,388元/平"
房子精装修东南朝向带着一个车位出售,合信南山别墅 -城南片区,3室2厅 | 73.27平米 | 东南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,134.6,"18,371元/平"
东关东路，3楼位置很好，交通方便,东关东路 -会理县,4室2厅 | 127.3平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,58,"4,557元/平"
悦城枫丹丽舍二期 4室4厅 东南,悦城枫丹丽舍二期 -长安片区,4室4厅 | 169.21平米 | 东南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,196,"11,584元/平"
市区内标准套三出售 拎包入住 交通方便 配套齐全,大昌小区北区 -市中心片区,3室2厅 | 73平米 | 东南 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,66,"9,042元/平"
房子位置比较好 配套设施齐全 采光充足 出行方便,景苑山水华庭 -会理县,3室2厅 | 117.7平米 | 东南 西北 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,98,"8,327元/平"
宁远航天家园 3室2厅 东,宁远航天家园 -宁远桥片区,3室2厅 | 120平米 | 东 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 31天以前发布,120,"10,000元/平"
鑫海花园，经典错层，户型方正，套四看房方便,鑫海花園 -市中心片区,4室2厅 | 139平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,112,"8,058元/平"
此房户型方正 小区环境好 停车方便 周编配套齐全,悦城枫丹丽舍一期 -长安片区,3室2厅 | 117.89平米 | 西南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,142.8,"12,113元/平"
长安片区 铁路家园 精装套四双卫 好房出售 拎包入住,铁路家园 -市中心片区,4室2厅 | 132.8平米 | 北 | 其他 | 低楼层(共7层)  | 塔楼,0人关注 / 30天以前发布,104.5,"7,869元/平"
西部新城 套四双卫 花园式洋房 电梯入户 正朝中庭水景,邦泰花园城二期 -西部新城片区,4室2厅 | 83.52平米 | 西 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 25天以前发布,130,"15,566元/平"
川投医院旁，碧桂园精装修大套三，拎包入住,碧桂园·天樾 -西部新城片区,3室2厅 | 112平米 | 东 | 其他 | 中楼层(共13层)  | 塔楼,0人关注 / 1个月以前发布,120,"10,715元/平"
航天片区带露台花园，采光好视野开阔,金色极地 -西部新城片区,2室1厅 | 85.25平米 | 东南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 26天以前发布,120,"14,077元/平"
配套齐全  格局好 小套三  采光视野充足,州林业局南桥小区 -三岔口片区,3室1厅 | 67.8平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,69,"10,177元/平"
春城套三，拎包入住，满五多套！,南苑小区A区 -三岔口片区,3室2厅 | 101平米 | 西南 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 30天以前发布,85,"8,416元/平"
万达商圈春城旁，精装套三业主诚售,合信邛海湾B区 -三岔口片区,3室2厅 | 66.9平米 | 东南 | 其他 | 低楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,109,"16,293元/平"
交通便利 小区环境 干净舒适 适合居住；,清泉西街35号 -德昌县,3室2厅 | 119.04平米 | 北 | 其他 | 高楼层(共5层)  | 平房,0人关注 / 24天以前发布,55,"4,621元/平"
健康路一楼大套四采光好拎包入驻,会东办事处二区 -三岔口片区,4室2厅 | 152平米 | 西南 | 简装 | 低楼层(共4层)  | 平房,0人关注 / 30天以前发布,116,"7,632元/平"
此房户型方正，楼层好，采光通透，视野开阔，配套成熟,树高·翡丽庄园 -西部新城片区,3室2厅 | 87.8平米 | 东南 | 其他 | 中楼层(共16层)  | 塔楼,0人关注 / 25天以前发布,110,"12,529元/平"
万景阳光 3室2厅 东南,万景阳光 -长安片区,3室2厅 | 112.94平米 | 东南 | 其他 | 高楼层(共10层)  | 塔楼,0人关注 / 26天以前发布,96,"8,501元/平"
火把广场边洋房布局大平层，居住舒适，出入方便,碧海蓝天 -城南片区,3室2厅 | 147.8平米 | 西 | 其他 | 低楼层(共11层)  | 塔楼,0人关注 / 1个月以前发布,120,"8,120元/平"
标准三室两厅，户型方正无改动。,金厦攀星花園 -市中心片区,3室2厅 | 93平米 | 东北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,92,"9,893元/平"
此房精装修套四，南北通透，采光好,中共凉山州委党校 -市中心片区,4室2厅 | 122.31平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 28天以前发布,115,"9,403元/平"
满五唯一，楼层好，采光好，视野宽阔，配套设施齐全。,西昌水电工程公司 -三岔口片区,3室2厅 | 100.52平米 | 东 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 31天以前发布,102.8,"10,227元/平"
格局好 视野不错 采光通透 套三双卫 小区环境不错,桂苑 -西部新城片区,3室2厅 | 116平米 | 东 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 21天以前发布,92,"7,932元/平"
此房满五唯一，楼层好采光好位置好出行方便居住适宜,光彩·城市风景小区 -市中心片区,3室2厅 | 127平米 | 东南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,102,"8,032元/平"
中装三室两厅住房出售，视野采光好。,安居苑 -会理县,3室2厅 | 104.34平米 | 北 | 其他 | 中楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,73,"6,997元/平"
邦泰花园洋房带产权车位房东急售，,邦泰花园城 -西部新城片区,3室2厅 | 74.43平米 | 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 24天以前发布,97.8,"13,140元/平"
高铁新区，标准三室户型方正，采光好。,蓝润.春风九里 -西部新城片区,3室1厅 | 95平米 | 东南 | 其他 | 低楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,78,"8,211元/平"
时代地标 3室2厅 西,时代地标 -德昌县,3室2厅 | 108.33平米 | 西 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 21天以前发布,58.8,"5,428元/平"
满五唯一，楼层好，采光好，视野宽阔，配套设施齐全。,西昌水电工程公司 -三岔口片区,3室2厅 | 100.52平米 | 东 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 31天以前发布,102.8,"10,227元/平"
格局好 视野不错 采光通透 套三双卫 小区环境不错,桂苑 -西部新城片区,3室2厅 | 116平米 | 东 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 21天以前发布,92,"7,932元/平"
水岸国际花城A区 4室2厅 南,水岸国际花城A区 -市中心片区,4室2厅 | 156平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 24天以前发布,150,"9,616元/平"
