标题,开发商,房子信息,发布信息,售价/万,单价
兰亭花园！四五楼复式！带倆露台！精装修！,蘭亭花園 -理想城,5室3厅 | 142.75平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,29人关注 / 7个月以前发布,125,"8,757元/平"
中间楼层，两卧朝南，采光充足。,丽水华庭 -橄榄城,2室2厅 | 101平米 | 东 | 其他 | 中楼层(共6层)  | 塔楼,5人关注 / 一年前发布,65,"6,436元/平"
双气大三房，三卧朝南，南北通透。,高新区泰和新电小区 -橄榄城,3室2厅 | 111平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,56,"5,046元/平"
离学XIAO约300米，步梯得房率高,信达花园 -橄榄城,3室2厅 | 140平米 | 东 西 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,63,"4,500元/平"
电梯中层，视野开阔，采光通风好。老证,渤海花园 -新乡县,3室2厅 | 139.5平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 8个月以前发布,63.5,"4,552元/平"
温莎城堡3室2厅，采光好 视野好 无遮挡 看房方便,温莎城堡 -柳青路,3室2厅 | 126.06平米 | 东 | 毛坯 | 中楼层(共33层)  | 塔楼,3人关注 / 一年前发布,98,"7,775元/平"
华隆国际 全明三室 毛坯 随意装修 看房有钥匙 诚售,华隆国际 -大学城,3室2厅 | 147.91平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,13人关注 / 一年前发布,128,"8,654元/平"
刚交工电梯新房，楼层好居住方便，房龄新，环境好,华地东城 -橄榄城,3室2厅 | 129平米 | 东 | 毛坯 | 高楼层(共15层)  | 板塔结合,7人关注 / 6个月以前发布,76,"5,892元/平"
南北直通!毛坯，中间楼层，采光好，无遮挡！双卫,文渊花园 -大学城,3室2厅 | 143平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,97,"6,784元/平"
隆盛华庭，步梯，公摊小，户型号，采光好。,隆胜华庭 -恒大,3室2厅 | 114.7平米 | 北 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,56.5,"4,926元/平"
户型方正 南北直通 大三室电梯洋房,桂竹花园二期 -柳青路,3室2厅 | 138.54平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,104,"7,507元/平"
天下城 电梯洋房 户型方正 南北通透,开祥天下城 -橄榄城,3室2厅 | 144.67平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,140,"9,678元/平"
馨华佳苑人车分流环境好毛坯随意装修,馨华佳苑 -恒大,4室2厅 | 133.98平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,4人关注 / 一年前发布,104.8,"7,823元/平"
桂竹花园  电梯洋房 带价值三万的地下室,桂竹花园二期 -柳青路,3室2厅 | 138.54平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,103,"7,435元/平"
博瑞情缘，三室两厅两卫，毛坯，随意装修,博瑞沁园 -柳青路,3室2厅 | 125平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,92,"7,360元/平"
桂竹花园二期，南北通透，柳青路小区，配套齐全,桂竹花园二期 -柳青路,3室2厅 | 134.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,17人关注 / 一年前发布,69.8,"5,179元/平"
二中精装三室业主换房诚心出售，看房有钥匙，比较方便,富业景颐花园 -万达,3室2厅 | 122.4平米 | 东 | 精装 | 高楼层(共18层)  | 板楼,13人关注 / 5个月以前发布,77,"6,291元/平"
三室，中高楼层，户型方正，采光比较好,诚城•常青藤 -大学城,3室2厅 | 121平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,2人关注 / 7个月以前发布,100.5,"8,306元/平"
老证毛坯随意装，总高9层小洋房,蘭亭花園 -理想城,3室2厅 | 160平米 | 南 北 | 其他 | 中楼层(共9层)  | 板楼,2人关注 / 4个月以前发布,152,"9,500元/平"
南区品质小区 三室 人车分离，户型通透,深业世纪新城 -恒大,3室2厅 | 116.83平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,13人关注 / 一年前发布,91.3,"7,815元/平"
此房老证，步梯二楼，有地下室。采光好，户型好。,隆胜华庭 -恒大,2室2厅 | 84平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,54.3,"6,465元/平"
07年的房子  房子在三楼  房东急售   价格可谈,高新区农发行家属院 -橄榄城,3室2厅 | 163.19平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,95,"5,822元/平"
此房位置优越 证件齐全 一楼 看房方便,审查站家属院 -汽车东站,2室2厅 | 68.74平米 | 东 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,41.5,"6,038元/平"
精装未住，三室两厅两卫，布局合理，人车分流,水木兰亭 -胜利北街,3室2厅 | 122平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,5人关注 / 8个月以前发布,96.5,"7,910元/平"
香槟小镇 步梯五楼 挑高客厅 带阁楼双露台 价格好谈,融通香槟小镇 -新乡县,3室2厅 | 133平米 | 南 北 | 其他 | 高楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,61.8,"4,647元/平"
隆盛华庭 满五唯一 钥匙看房方便 带地下室 诚心出售,隆胜华庭 -恒大,3室2厅 | 127平米 | 南 | 简装 | 高楼层(共17层)  | 板楼,4人关注 / 一年前发布,79.8,"6,284元/平"
金域蓝湾。经典三房，房东急售。随意装修,润田金域蓝湾 -胜利北街,3室2厅 | 113平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,2人关注 / 10个月以前发布,85,"7,523元/平"
东站十字 三室 南北通透 采光充足 视野开阔,红旗区市检察院家属院 -汽车东站,3室2厅 | 100.34平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,50,"4,984元/平"
三院近，中间楼层，户型合理，出行方便,馨景家园 -新建街,3室2厅 | 125平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,69.8,"5,584元/平"
此房格局好，采光充足，小区环境好,正弘悦云庄 -平原新区,5室3厅 | 191.59平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,260,"13,571元/平"
欧洲名郡 电梯洋房 均价低，户型方正,伯马欧洲名郡 -八里营,1室1厅 | 53.4平米 | 西 | 其他 | 高楼层(共16层)  | 板楼,8人关注 / 一年前发布,27,"5,057元/平"
市政府 牧野湖旁 畅想花园 简装三室看房 看房方便,畅想花园 -市政府,3室2厅 | 127.16平米 | 西 | 简装 | 高楼层(共18层)  | 板楼,11人关注 / 一年前发布,86,"6,764元/平"
两梯两户，楼间距大，采光好，诚心出售,惠邦华恩城东区 -定国湖,3室2厅 | 143平米 | 东 | 毛坯 | 高楼层(共26层)  | 板楼,1人关注 / 7个月以前发布,101.8,"7,119元/平"
一中家属院 09年建成 三室两厅两厅  双气   老证,红旗区一中家属院 -人民公园,3室2厅 | 118平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,145.8,"12,356元/平"
蓝堡湾 电梯洋房 户型南北通透 水系雾森系统,蓝葆湾 -柳青路,3室2厅 | 125平米 | 南 北 | 其他 | 中楼层(共9层)  | 暂无数据,1人关注 / 3个月以前发布,110,"8,800元/平"
房东刚挂牌！诚心出售！看房有钥匙！全明户型！两梯两,隆基新谊城 -光彩,3室2厅 | 143平米 | 西 | 毛坯 | 高楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,97,"6,784元/平"
小区是新交小区 包括绿化 户型方正,宝龙世家 -宝龙,3室2厅 | 124平米 | 西 | 毛坯 | 低楼层(共28层)  | 板楼,1人关注 / 3个月以前发布,109,"8,791元/平"
工人街片区能贷款的房子，格局好，公摊少,工商局东楼 -二中,3室2厅 | 90.55平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,40,"4,418元/平"
此房视野开阔 采光充足 楼层适中 交通便利 适宜出行,鼎佳学城 -二中,3室2厅 | 141平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,110,"7,802元/平"
石榴园小区 2室 采光佳 小区新 南北通 透 物业完善,石榴园小区 -二中,2室2厅 | 87.63平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,41,"4,679元/平"
道清路  奥园康城  一楼有院子  装修讲究  看房方便,奥园康城 -洪门,3室2厅 | 136.25平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,19人关注 / 一年前发布,133.8,"9,821元/平"
碧桂园大开发商。精装修交付。有保障,碧桂园剑桥郡 -平原新区,3室2厅 | 117.85平米 | 南 西南 | 其他 | 低楼层(共30层)  | 板塔结合,5人关注 / 一年前发布,90,"7,637元/平"
经典三室 精装修 小区环境好物业好 诚心出售,绿都 · 塞纳春天 -二中,3室1厅 | 90平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,81,"9,000元/平"
万达旁  大两室 采光通风好 户型方正,牧南小区 -万达,2室2厅 | 103.24平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 11个月以前发布,39.8,"3,856元/平"
家电厂家属院，小户型一楼房源。两室一厅带个大阳台。,家电厂家属院 -市中心医院,2室1厅 | 58.57平米 | 东 | 其他 | 低楼层(共4层)  | 板楼,1人关注 / 8个月以前发布,54,"9,220元/平"
东方家园 明德 全新毛坯 老证 看房方便,东方家园 -理想城,3室2厅 | 143平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,140,"9,791元/平"
振中路小  学  经典四室  南北直通  有钥匙看房方便,金禧园 -橄榄城,4室1厅 | 149.41平米 | 南 北 | 其他 | 中楼层(共9层)  | 板楼,12人关注 / 一年前发布,96,"6,426元/平"
电梯洋房社区，环境好，居住舒适度好，容积2.0,东哲·中南府 -柳青路,3室2厅 | 128.8平米 | 东 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,107.8,"8,370元/平"
老式精装，中间楼层，支持公积金。低于市场价急卖,铁路小区14号院 -八里营,2室1厅 | 62平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,25人关注 / 一年前发布,22.5,"3,630元/平"
盛世年华 1楼带院子 养老房  采光好 毛坯 有钥匙,盛润盛世年华 -橄榄城,3室2厅 | 121平米 | 南 西 北 | 其他 | 低楼层(共6层)  | 板楼,4人关注 / 3个月以前发布,93.8,"7,753元/平"
卫滨区乘务小区 3室1厅 东 西,卫滨区乘务小区 -二十七中,3室1厅 | 72平米 | 东 西 | 其他 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,29.8,"4,139元/平"
房子南北双向阳台，户型采光好 视野开阔 看房方便,绿地缤纷城二期 -平原新区,3室2厅 | 135.24平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,3人关注 / 7个月以前发布,68,"5,029元/平"
启明小区 一楼带院中装两室两厅52.9万,启明小区 -花卉市场,2室2厅 | 67.26平米 | 东 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,53.8,"7,999元/平"
3室2厅精装修步梯中间楼层采光好户型方正,金色奥园 -洪门,3室2厅 | 108平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,85,"7,871元/平"
南北通透 前面无遮挡 采光视野好,统建楼家属院 -牧野公园,3室2厅 | 111.14平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,57.5,"5,174元/平"
好房急售!联盟新城四期南北三居室!好楼层随时看房,建业联盟新城四期 -高铁东站,3室2厅 | 137.4平米 | 南 北 | 其他 | 中楼层(共22层)  | 暂无数据,2人关注 / 7个月以前发布,92.3,"6,718元/平"
新悦城 低楼层 生活方便 老少咸宜 居住舒适,大型南院 -新悦城,2室2厅 | 80.09平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,45,"5,619元/平"
家电厂旁 一楼一楼 小院子 有钥匙 一谈就成,胜利路南头商业局家属院 -市中心医院,1室1厅 | 25平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,1人关注 / 8个月以前发布,32.5,"13,000元/平"
烟厂家属院3-1-1-1 中装修诚意出售,烟厂家属院 -新悦城,3室1厅 | 68平米 | 东 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,27.8,"4,089元/平"
人民公园旁   胖东来 步梯四楼 老证,红旗区一中家属院 -人民公园,3室2厅 | 118.76平米 | 东 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,137.7,"11,595元/平"
新马名苑两层复式 面积大 楼层低 房东诚心出售,新马名苑 -新乡站,2室2厅 | 110平米 | 东 西 | 其他 | 低楼层(共3层)  | 板楼,0人关注 / 1个月以前发布,52,"4,728元/平"
外语，十中电梯精装户型好，随时签合同，急售。,状元府第 -人民公园,3室2厅 | 120.27平米 | 南 北 | 精装 | 低楼层(共16层)  | 板塔结合,12人关注 / 一年前发布,150,"12,472元/平"
楼层低  适合老人孩子居住  配套齐全,文化小区 -市中心医院,3室2厅 | 101平米 | 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,54.8,"5,426元/平"
老证，南北通透，采光好，装修环保 ，拎包入住,锦绣花园(卫滨区) -市中心医院,3室2厅 | 143平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,17人关注 / 一年前发布,124.5,"8,707元/平"
新世纪花园 3室 小胖附 近 配套齐全 交通便利,新世纪花园 -人民公园,3室2厅 | 115.92平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,54,"4,659元/平"
金龙花园！房东刚挂牌！精装三房！采光好！全明户型！,金龙花园 -橄榄城,3室2厅 | 166.12平米 | 西 | 其他 | 高楼层(共21层)  | 塔楼,1人关注 / 8个月以前发布,95,"5,719元/平"
天下城三居室  南北通透   凤凰层 有钥匙,开祥天下城 -橄榄城,3室2厅 | 115平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,105,"9,131元/平"
公园旁，8层电梯洋房，毛坯复式，急售能低于市场价,金色奥园 -洪门,4室2厅 | 249平米 | 南 北 | 其他 | 中楼层(共8层)  | 塔楼,8人关注 / 一年前发布,235,"9,438元/平"
南北通风格局，三室两厅，中等装修 采光充足,谊连花园 -万达,3室2厅 | 110平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,58.8,"5,346元/平"
经典小三室，户型合理，三开间朝南,温莎城堡 -柳青路,3室2厅 | 86平米 | 东南 | 简装 | 中楼层(共33层)  | 塔楼,1人关注 / 4个月以前发布,76,"8,838元/平"
长顺家园 大三房 南北通透 全明户型,长顺家园 -柳青路,3室2厅 | 144.84平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,105,"7,250元/平"
电梯中楼层，楼层好，视野开阔，产权清晰老证,澳达玫瑰园 -橄榄城,3室2厅 | 131平米 | 西 南 | 其他 | 中楼层(共21层)  | 板楼,6人关注 / 一年前发布,92,"7,023元/平"
师大嘉苑毛坯四室单价5300有钥匙看房方便,师大嘉苑 -柳青路,4室2厅 | 167.7平米 | 东 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,89.6,"5,343元/平"
高晟福润城近 步梯三室  结构合理,静宜小区 -新建街,3室2厅 | 110.27平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,45.8,"4,154元/平"
此房子有房产证，南 北 通透户型，三室两厅一卫。,博瑞沁园 -柳青路,3室2厅 | 131平米 | 北 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,83,"6,336元/平"
新飞花园 电梯精装修 楼龄新 中间楼层 位置好邻河,新飛花園 -橄榄城,3室2厅 | 115.9平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,10人关注 / 10个月以前发布,92.8,"8,007元/平"
大门口正对公园，篮球场，乒乓球场，健身器材等。,万新莱茵半岛 -柳青路,3室2厅 | 120平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,1人关注 / 6个月以前发布,96,"8,000元/平"
黄岗十字，广厦阳光苑，温馨两室。房东急售,广厦阳光苑 -二十七中,2室1厅 | 82.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,38,"4,607元/平"
观景房，南北通透，小区环境很好,新乡输油处家属院 -牧野公园,3室1厅 | 77.53平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,38.8,"5,005元/平"
新悦城近总价低  房子户型合理,烟厂家属院 -新悦城,3室1厅 | 69.8平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,34.9,"5,000元/平"
铁路文化宫近！满五唯一，东西通透，双气小区，楼层低,西工房小区 -八里营,2室2厅 | 64平米 | 东 西 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,26,"4,063元/平"
人民公园旁，胖东来旁，配套齐全。生活便利,红旗区统建家属院 -人民公园,2室2厅 | 101平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 11个月以前发布,46,"4,555元/平"
电机厂家属院，出行，购物，体育锻炼方便。,机电厂小区 -人民公园,3室2厅 | 98.48平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,47.8,"4,854元/平"
新悦城上海城毛坯3室随意装修户型方正随时签合同,立拓上海城 -新悦城,4室2厅 | 138.84平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,12人关注 / 一年前发布,133.2,"9,594元/平"
公园fujin，繁华地段。生活便利。,四排房工字楼 -汽车东站,3室1厅 | 76平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,10人关注 / 一年前发布,26.2,"3,448元/平"
三室两厅采光好，毛坯随意装修。,博瑞沁园 -柳青路,3室2厅 | 125平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,7人关注 / 10个月以前发布,78,"6,240元/平"
此房为老证，公摊小，有钥匙，看房方便,隆胜华庭 -恒大,3室1厅 | 114平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,59.8,"5,246元/平"
金谷阳光电梯三室两卫带装修满五唯一急售,金谷阳光 -柳青路,3室1厅 | 125平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,8人关注 / 5个月以前发布,75,"6,000元/平"
电梯中间楼层精装修3室2厅，满五唯一。,橡树湾 -新乡县,3室2厅 | 116.8平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,60,"5,137元/平"
此房业主诚意出售随时可签，三室两厅，户型方正，,隆胜华庭 -恒大,3室2厅 | 133.21平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,78,"5,856元/平"
步梯中层 户型方正  采光好 无公摊,惠民馨苑 -新建街,3室1厅 | 121平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,66.8,"5,521元/平"
金谷阳光 3室1厅 南,金谷阳光 -柳青路,3室1厅 | 89.11平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,3人关注 / 5个月以前发布,61.6,"6,913元/平"
天下城三居室  南北通透   凤凰层 有钥匙,开祥天下城 -橄榄城,3室2厅 | 115平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,105,"9,131元/平"
房子精装修，房东诚心出售，看房方便，带家具家电,星海传说小区 -柳青路,4室2厅 | 128平米 | 西南 | 毛坯 | 低楼层(共23层)  | 板塔结合,4人关注 / 7个月以前发布,85.9,"6,711元/平"
步梯六楼，精装修，比较干净，诚心出售。,迪亚上郡 -绿地,2室2厅 | 87.9平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,13人关注 / 一年前发布,64.8,"7,373元/平"
南北通透 户型方正 南区品质小区 拎包入住,嘉联·橄榄城 -橄榄城,3室2厅 | 126.32平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,102,"8,075元/平"
平原路 三室 拎包入住 有钥匙 看房方便,油坊胡同 -二中,3室2厅 | 93.51平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,60,"6,417元/平"
大学城商圈一楼养老房龄新暖气入户,鸿翔小区 -大学城,2室2厅 | 92.29平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,54.9,"5,949元/平"
新飞花园 电梯精装修 楼龄新 中间楼层 位置好邻河,新飛花園 -橄榄城,3室2厅 | 115.9平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,10人关注 / 10个月以前发布,92.8,"8,007元/平"
南北通风格局，三室两厅，中等装修 采光充足,谊连花园 -万达,3室2厅 | 110平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,58.8,"5,346元/平"
此房子有房产证，南 北 通透户型，三室两厅一卫。,博瑞沁园 -柳青路,3室2厅 | 131平米 | 北 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,83,"6,336元/平"
高晟福润城近 步梯三室  结构合理,静宜小区 -新建街,3室2厅 | 110.27平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,45.8,"4,154元/平"
大门口正对公园，篮球场，乒乓球场，健身器材等。,万新莱茵半岛 -柳青路,3室2厅 | 120平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,1人关注 / 6个月以前发布,96,"8,000元/平"
经典小三室，户型合理，三开间朝南,温莎城堡 -柳青路,3室2厅 | 86平米 | 东南 | 简装 | 中楼层(共33层)  | 塔楼,1人关注 / 4个月以前发布,76,"8,838元/平"
此房户型好，采光充足无遮挡，配套设施齐全，交通便利,润田金域蓝湾 -胜利北街,3室2厅 | 129.8平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 一年前发布,98,"7,551元/平"
房子性 价 比 高，南北通透，得房率高。,七六零厂生活区 -新乡站,2室1厅 | 60平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,14.5,"2,417元/平"
低楼层 高得房率小三房居住舒适,隆胜华庭 -恒大,2室2厅 | 84平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,58.6,"6,977元/平"
锦仓小区 一楼 南北通透 三室两厅两卫,锦仓小区 -新乡站,3室2厅 | 115.68平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,80,"6,916元/平"
房龄新，可按揭，燃气入户，生活便利,卫北市场192号院 -新乡站,2室1厅 | 82.48平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,47.8,"5,796元/平"
满五唯一，精装修，格局通透，拎包入住,116厂北地家属院 -环宇,1室1厅 | 49.31平米 | 东 | 其他 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,17,"3,448元/平"
青青家园顶楼带阁楼平带，房龄新 单价低6000,青青家园(红旗区) -橄榄城,3室2厅 | 132平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 板楼,46人关注 / 一年前发布,81.7,"6,190元/平"
汽车东站，小三室，总价低，视野好,金谷东方广场 -汽车东站,3室2厅 | 95.31平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,10人关注 / 11个月以前发布,72.5,"7,607元/平"
业主急售，布局合理，户型方正，没有浪费面积,新钟小区 -新悦城,3室2厅 | 109平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,45,"4,129元/平"
天鹅城大3室 户型合理 采光充足 小区环境优美,天鹅第一城一期 -市中心医院,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,12人关注 / 一年前发布,92.5,"7,709元/平"
单价低~万达旁 近学小 二建生活区 老证 精装两房,河南二建二生活区 -万达,2室2厅 | 78.49平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,37.8,"4,816元/平"
南北格局不错，采光充足，交通便利。,城南荘 -人民公园,3室2厅 | 89平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,40.5,"4,551元/平"
此房户型方正，南北直通，老证，双气，业主诚心出售,星海传说小区 -柳青路,4室1厅 | 135.13平米 | 南 北 | 其他 | 低楼层(共23层)  | 板塔结合,0人关注 / 3个月以前发布,99.5,"7,364元/平"
老证  中间楼层   标准三室,红旗区鑫花园院 -新悦城,3室1厅 | 88.99平米 | 西 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,54,"6,069元/平"
毛坯大两室，可以自主设计装修风格。,大景城 -伟业,2室2厅 | 85平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,11人关注 / 一年前发布,67,"7,883元/平"
房子精装修是个2楼楼层低适合人居住户型方正,陶然佳苑 -新建街,3室2厅 | 143平米 | 东 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,83,"5,805元/平"
黄岗十字，广厦阳光苑，温馨两室。房东急售,广厦阳光苑 -二十七中,2室1厅 | 82.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,38,"4,607元/平"
观景房，南北通透，小区环境很好,新乡输油处家属院 -牧野公园,3室1厅 | 77.53平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,38.8,"5,005元/平"
电机厂家属院，出行，购物，体育锻炼方便。,机电厂小区 -人民公园,3室2厅 | 98.48平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,47.8,"4,854元/平"
新悦城上海城毛坯3室随意装修户型方正随时签合同,立拓上海城 -新悦城,4室2厅 | 138.84平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,12人关注 / 一年前发布,133.2,"9,594元/平"
人民公园旁，胖东来旁，配套齐全。生活便利,红旗区统建家属院 -人民公园,2室2厅 | 101平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 11个月以前发布,46,"4,555元/平"
宏力大道，紫锦苑。一梯一户。房东急卖,紫锦苑小区 -牛村,3室1厅 | 128.7平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,45,"3,497元/平"
卫滨区乘务小区 3室1厅 东 西,卫滨区乘务小区 -二十七中,3室1厅 | 72平米 | 东 西 | 其他 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,29.8,"4,139元/平"
铁路文化宫近！满五唯一，东西通透，双气小区，楼层低,西工房小区 -八里营,2室2厅 | 64平米 | 东 西 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,26,"4,063元/平"
新悦城近总价低  房子户型合理,烟厂家属院 -新悦城,3室1厅 | 69.8平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,34.9,"5,000元/平"
低楼层，老证，采光充足，含家电拎包入住,锦绣花园(卫滨区) -市中心医院,3室2厅 | 145.44平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,122,"8,389元/平"
中 心医院近  天宝小区 顶层带阁楼 带地下室 户型通透,天宝小区 -市中心医院,3室2厅 | 117.33平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,66,"5,626元/平"
