标题,开发商,房子信息,发布信息,售价/万,单价
嘉荟新城东区精装122平拎包入住,嘉荟新城东区 -丹阳开发区商圈,3室1厅 | 122平米 | 南 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 31天以前发布,89.8,"7,361元/平"
上善雅苑 83平 精装修 楼层好 采光好  可随时看房,上善雅苑 -丹阳华南商圈,2室2厅 | 83平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,91.8,"11,061元/平"
碧桂园一房一厅一卫 精装48平 报价42.8万,丹阳碧桂园 -丹阳华南商圈,1室1厅 | 48平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,4人关注 / 9个月以前发布,42.8,"8,917元/平"
嘉荟新城东区2-2-1-1 90.00m² 68万,嘉荟新城东区 -丹阳开发区商圈,2室2厅 | 90平米 | 南 | 精装 | 低楼层(共11层)  | 平房,4人关注 / 一年前发布,66.8,"7,423元/平"
房东诚心出售 太阳城2房 满5唯一,太阳城小区 -丹阳华南商圈,2室2厅 | 75平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 11个月以前发布,46,"6,134元/平"
紫薇花园2-1-1-1 60.00m² 43 万,紫薇花园 -丹阳开发区商圈,2室1厅 | 60平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,43.2,"7,200元/平"
众悦华城1楼 91平精装两居室 前排无遮挡 总价低无压力,众悦华城 -丹阳开发区商圈,2室2厅 | 91.06平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,65.8,"7,227元/平"
新城吾悦广场（丹阳）1-1-1-1 43.00m² 38 万,新城吾悦广场（丹阳） -丹阳开发区商圈,1室1厅 | 43平米 | 东 | 简装 | 中楼层(共34层)  | 板楼,4人关注 / 一年前发布,38,"8,838元/平"
华都锦城 婚装2房 楼层不高 看中价格可谈,华都锦城 -丹阳华南商圈,2室1厅 | 83平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 7个月以前发布,89.6,"10,796元/平"
丹金家园76平2室1卫，采光好.视野开阔，居住很舒服,丹金家园 -丹阳华南商圈,2室2厅 | 76平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,72,"9,474元/平"
锦绣熙城好房推荐，精致装修，采光好,锦绣熙城 -丹阳城区商圈,3室2厅 | 114.5平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,121.8,"10,638元/平"
凤美新村3室1厅1卫房东诚心出售,凤美新村 -丹阳城区商圈,3室1厅 | 89平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,5人关注 / 一年前发布,65,"7,304元/平"
南桥花园127平房东简装诚心出售,南桥花园 -丹阳城区商圈,3室2厅 | 127平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,76.6,"6,032元/平"
丹凤公寓 3室2厅 南,丹凤公寓 -丹阳城区商圈,3室2厅 | 148平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,122,"8,244元/平"
此房南北通透  飞机户型   采光好,康居园 -丹阳城区商圈,3室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,103.8,"7,415元/平"
南门花园二期 电梯楼层好 采光户型佳 4室2卫 152平,南门花园二期 -丹阳城区商圈,4室2厅 | 152平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,152.8,"10,053元/平"
爱家尚城3室2厅1卫房东诚心出售,爱家尚城 -丹阳城区商圈,3室2厅 | 98平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 塔楼,1人关注 / 一年前发布,105.8,"10,796元/平"
此房新装未入住   家具齐全  拎包入住,練湖新城 -丹阳城区商圈,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,4人关注 / 11个月以前发布,128.8,"9,908元/平"
爱家尚城 3室2厅 南,爱家尚城 -丹阳城区商圈,3室2厅 | 108.11平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 5个月以前发布,117,"10,823元/平"
大桥新村3室1厅1卫124平有自行车库满五售68.8万,大桥新村 -丹阳城区商圈,3室1厅 | 119.26平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,65.8,"5,518元/平"
干净整洁的小区，幸福指数高，交通便利,惠泽苑 -丹阳城区商圈,3室1厅 | 97平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,77.6,"8,000元/平"
玉乳泉小区 三房婚装中层，房东诚心出售,玉乳泉小区 -丹阳城区商圈,3室2厅 | 140平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,96.6,"6,900元/平"
全新精装，品牌家具，拎包入住，全天采光，户型通透,練湖新城 -丹阳城区商圈,3室2厅 | 133平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,2人关注 / 一年前发布,128.8,"9,685元/平"
华都锦城·幸福里3-2-1-2 128.00m² 163.8 万,华都锦城·幸福里 -丹阳华南商圈,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 一年前发布,163.8,"12,797元/平"
（华都锦城·幸福里3-1-1-1 100.45m² 127 万,华都锦城·幸福里 -丹阳华南商圈,3室1厅 | 100.45平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 11个月以前发布,127,"12,644元/平"
爱家商城 首排临河 中上楼层 全天采光 首付35,爱家尚城 -丹阳城区商圈,3室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 11个月以前发布,110,"10,892元/平"
阳光花园 精装5楼 3室2卫 148.10平 112.8万,阳光花园小区 -丹阳城区商圈,3室2厅 | 148.1平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,112.8,"7,617元/平"
该房源已满五，是三室两厅一卫一厨的户型，采光好,利宝小区 -丹阳城区商圈,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,84.5,"7,042元/平"
吾悦二期一楼 四室两卫 毛坯 位置好采光佳 满两年,吾悦华府公馆 -丹阳开发区商圈,4室2厅 | 146平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,2人关注 / 一年前发布,158,"10,822元/平"
水云新村 3室1厅 南,水云新村 -丹阳城区商圈,3室1厅 | 96.5平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,70,"7,254元/平"
新家园(丹阳市)3-2-1-2 108.00m² 75.8 万,新家园(丹阳市) -丹阳城区商圈,3室2厅 | 108平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,70,"6,482元/平"
玉乳泉小区5楼125平3室2厅2卫有产权车库10平售价79万,玉乳泉小区 -丹阳城区商圈,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,78.8,"6,304元/平"
水云新村3室2厅1卫 偏高层 105平,水云新村 -丹阳城区商圈,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,69.8,"6,648元/平"
城北菜场旁现有房诚心出售实际面积130,城北商住楼 -丹阳城区商圈,3室2厅 | 99平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,70.8,"7,152元/平"
老汽车站综合楼  大面积  价格实惠,老汽车站综合楼 -丹阳城区商圈,3室2厅 | 123.3平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,2人关注 / 一年前发布,85.5,"6,935元/平"
大桥新村中楼层 单价好  有独库 业主自装  三阳台,大桥新村 -丹阳城区商圈,3室2厅 | 128平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 10个月以前发布,82,"6,407元/平"
缇香花园电梯房精装修房东诚心出售,缇香花园 -丹阳城区商圈,3室2厅 | 120平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,3人关注 / 一年前发布,125.8,"10,484元/平"
锦轩华庭三室两厅精装135万，诚心可谈,锦轩华庭 -丹阳华南商圈,3室2厅 | 138.5平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,3人关注 / 一年前发布,134,"9,676元/平"
无遮挡 通透格局 采光好 配套完善,金鼎城市花园 -丹阳开发区商圈,6室3厅 | 230.79平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 9个月以前发布,148.8,"6,448元/平"
房东诚心出售 开发区电永小区简装3房,电永小区 -丹阳开发区商圈,3室2厅 | 92平米 | 西 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,56,"6,087元/平"
御珑湾121平 精装修 家具家电齐全 满两年户型好采光好,御珑湾 -丹阳开发区商圈,3室2厅 | 121平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,129.8,"10,728元/平"
金鼎城市花园三房两卫精装房，户型方正，采光佳,金鼎城市花园 -丹阳开发区商圈,3室2厅 | 139.5平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,123.8,"8,875元/平"
曲园小区 3室1厅 南 北,曲园小区 -丹阳开发区商圈,3室1厅 | 92平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,66.8,"7,261元/平"
太阳城小区 2室2厅 南 北,太阳城小区 -丹阳华南商圈,2室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,65.8,"7,000元/平"
好房房东诚心出售，价格合适位置地段好,电永小区 -丹阳开发区商圈,3室2厅 | 93平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,68.8,"7,398元/平"
房东急售天波城精装三房两卫148平120.8万,国骅天波 -丹阳开发区商圈,3室1厅 | 148.63平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,2人关注 / 4个月以前发布,120.8,"8,128元/平"
房东急售众悦华城精装两房91平82.8万,众悦华城 -丹阳开发区商圈,2室2厅 | 91.34平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 4个月以前发布,78.8,"8,628元/平"
昆仑华府 3室2厅 南 北,昆仑华府 -丹阳华南商圈,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,132.8,"11,067元/平"
美亚华悦2-1-1-1 86.43m² 130 万,美亚华悦 -丹阳开发区商圈,2室1厅 | 86.43平米 | 南 | 精装 | 低楼层(共22层)  | 暂无数据,0人关注 / 一年前发布,118.8,"13,746元/平"
凤翔花园5楼，3室，118平，99.8万，精装,鳯翔花園城 -丹阳开发区商圈,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,99.8,"8,458元/平"
御河熙岸·幸福家4-2-1-2 149.00m² 128.8 万,御河熙岸·幸福家 -丹阳开发区商圈,4室2厅 | 149平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 一年前发布,128.6,"8,631元/平"
海宇花园3-2-1-2 139.70m² 103.8 万,海宇花园 -丹阳开发区商圈,3室2厅 | 139.7平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,102.8,"7,359元/平"
太阳城小区 2室2厅 南 北,太阳城小区 -丹阳华南商圈,2室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,65.8,"7,000元/平"
好房房东诚心出售，价格合适位置地段好,电永小区 -丹阳开发区商圈,3室2厅 | 93平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,68.8,"7,398元/平"
曲园小区 3室1厅 南 北,曲园小区 -丹阳开发区商圈,3室1厅 | 92平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,66.8,"7,261元/平"
楼层好，视野宽阔，视野充足，配套设施齐全，生活便利,华侨新村 -丹阳开发区商圈,3室2厅 | 106平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,70.8,"6,680元/平"
御河熙岸·幸福家4-2-1-2 149.00m² 128.8 万,御河熙岸·幸福家 -丹阳开发区商圈,4室2厅 | 149平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 一年前发布,128.6,"8,631元/平"
金鼎城市花园三房两卫精装房，户型方正，采光佳,金鼎城市花园 -丹阳开发区商圈,3室2厅 | 139.5平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,123.8,"8,875元/平"
丹金家园 3室2厅 南,丹金家园 -丹阳华南商圈,3室2厅 | 132平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,105.8,"8,016元/平"
爱家尚城 3室2厅 101平110万 中间偏高楼层,爱家尚城 -丹阳城区商圈,3室2厅 | 101平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,1人关注 / 一年前发布,101,"10,000元/平"
爱家尚城 3室2厅 毛坯101平 108.9万,爱家尚城 -丹阳城区商圈,3室2厅 | 101平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 一年前发布,105.8,"10,476元/平"
大桥新村 三室两厅，高楼层  单价五字出头,大桥新村 -丹阳城区商圈,3室1厅 | 93平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,12人关注 / 一年前发布,48.8,"5,248元/平"
玉泉小区 105平 高楼层 老精装 视野好 采光好,玉泉小区 -丹阳开发区商圈,3室1厅 | 105平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,69.8,"6,648元/平"
房东诚心急售；楼层采光好；地段好视野开阔，双华南,华都锦城·幸福里 -丹阳华南商圈,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,6人关注 / 一年前发布,115.8,"10,925元/平"
丹阳碧桂园 3室1厅 南 北,丹阳碧桂园 -丹阳华南商圈,3室1厅 | 88平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 7个月以前发布,105.8,"12,023元/平"
碧桂园·樾府 4室2厅 南,碧桂园·樾府 -丹阳华南商圈,4室2厅 | 141平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 7个月以前发布,132.8,"9,419元/平"
荣城国际高楼层110平三房一卫视野宽阔 拎包入住,荣城国际 -丹阳城区商圈,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 10个月以前发布,133.8,"12,164元/平"
爱家尚城 抢手楼层 三开间朝南103.8万,爱家尚城 -丹阳城区商圈,3室2厅 | 101平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,1人关注 / 11个月以前发布,103.8,"10,278元/平"
老汽车站综合楼 3室2厅 南,老汽车站综合楼 -丹阳城区商圈,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,73,"6,240元/平"
太阳城小区顶楼4室2厅2卫，128平，精装,太阳城小区 -丹阳华南商圈,4室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 一年前发布,97.9,"7,649元/平"
电梯房，房东诚心出售，看房方便，,江南人家 -丹阳城区商圈,3室2厅 | 146平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,3人关注 / 7个月以前发布,131.6,"9,014元/平"
房东家装修新，现代装修，欢迎预约看房,新香草苑 -丹阳城区商圈,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,120,"10,000元/平"
金凤凰花园3-2-1-2 150.00m² 165 万,金凤凰花园 -丹阳开发区商圈,3室2厅 | 150平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,160,"10,667元/平"
欢迎预约看房，房东诚心出售...........,江南人家 -丹阳城区商圈,3室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,128.8,"9,200元/平"
家园首·府高层，121平，3室2厅2卫，毛坯。,嘉源首府（丹阳市） -丹阳开发区商圈,3室2厅 | 121平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,120,"9,918元/平"
恒大名都143平 精装修 高楼层  采光好 户型好  视野好,恒大名都 -丹阳城区商圈,3室2厅 | 143平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 10个月以前发布,122.8,"8,588元/平"
阳光花园小区 3室2厅 南,阳光花园小区 -丹阳城区商圈,3室2厅 | 147.9平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,128,"8,655元/平"
曲园小区 3室2厅 南,曲园小区 -丹阳开发区商圈,3室2厅 | 114平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,75.8,"6,650元/平"
锦轩华庭4-2-1-2 155.00m² 156 万,锦轩华庭 -丹阳华南商圈,4室2厅 | 155平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 一年前发布,156,"10,065元/平"
房东急售 恒大名都一期3房2卫精装,恒大名都 -丹阳城区商圈,3室1厅 | 124平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 10个月以前发布,125,"10,081元/平"
东方嘉园 3室1厅 南,东方嘉园 -丹阳城区商圈,3室1厅 | 77平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,39.8,"5,169元/平"
此房满儿不唯一，双阳台，采光好，精装修,锦轩华庭 -丹阳华南商圈,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 6个月以前发布,131.8,"10,297元/平"
上善雅苑3-2-1-1 110.00m² 111.8 万,上善雅苑 -丹阳华南商圈,3室2厅 | 110平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板楼,0人关注 / 一年前发布,106.8,"9,710元/平"
户型通透，视野开阔，采光充足，四开间朝南交通便利,爱家尚城 -丹阳城区商圈,4室2厅 | 140.66平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 塔楼,2人关注 / 一年前发布,135.6,"9,641元/平"
此房已满五，格局好，楼层好，采光好，配套设施齐全。,无线电厂宿舍 -丹阳城区商圈,3室2厅 | 100平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,68.8,"6,880元/平"
房龄新，高楼层，采光好，业主诚心出售,丹凤公寓 -丹阳城区商圈,3室2厅 | 103.31平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 一年前发布,76.8,"7,434元/平"
小区干净整洁，幸福指数高，交通便利,缇香花园 -丹阳城区商圈,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,108.8,"8,500元/平"
楼层好，采光好，家里拎包入住，,荣城国际 -丹阳城区商圈,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 10个月以前发布,160,"14,160元/平"
此房电梯房，楼层好，位置好，户型好精装，拎包入住。,宜和A区 -丹阳城区商圈,3室1厅 | 103平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,150,"14,564元/平"
温州城 4室2厅 南 北,温州城 -丹阳城区商圈,4室2厅 | 151.8平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 8个月以前发布,133.8,"8,815元/平"
新到精装恒大名都三期！135平三房两卫直接拎包入住,恒大名都 -丹阳城区商圈,3室1厅 | 135平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 2个月以前发布,125,"9,260元/平"
宜和A区 3室1厅 南,宜和A区 -丹阳城区商圈,3室1厅 | 116.27平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,135.8,"11,680元/平"
楼层好，视野宽阔，视野充足，配套设施齐全，生活便利,上善雅苑 -丹阳华南商圈,3室2厅 | 127平米 | 北 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,139.8,"11,008元/平"
户型方正，采光好 视野开阔 无遮挡,上善雅苑 -丹阳华南商圈,3室2厅 | 126平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,142,"11,270元/平"
房龄新，视野开阔采光足，户型方正.,嘉源首府（丹阳市） -丹阳开发区商圈,4室2厅 | 147.97平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,139.8,"9,448元/平"
上善雅苑3-2-1-1 113平·126.8万,上善雅苑 -丹阳华南商圈,3室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共31层)  | 暂无数据,0人关注 / 4个月以前发布,126.8,"11,222元/平"
凤凰新村两室4楼，中间楼层，不临街，房东自住装修,凤凰新村 -丹阳城区商圈,2室1厅 | 72.41平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,59.5,"8,218元/平"
地段好，出行方便，配套齐全，采光好，业主诚心出售,金谷小区 -丹阳城区商圈,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,83.8,"6,349元/平"
业主诚意出售 南北通风户型 万善旁环境清幽,碧水兰庭 -丹阳华南商圈,3室2厅 | 119平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,99,"8,320元/平"
中高层非顶楼三房一卫精装修 满五唯一 家具家电齐全,嘉源首府（丹阳市） -丹阳开发区商圈,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,128.6,"9,893元/平"
翡翠林天峰 130平精装三房 保养如新 采光好 业主诚售,翡翠林天峰 -丹阳开发区商圈,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共16层)  | 暂无数据,1人关注 / 11个月以前发布,137.8,"10,600元/平"
丹桂园 3室2厅 南 北,丹桂园 -丹阳城区商圈,3室2厅 | 135平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,88.8,"6,578元/平"
大桥新村3-1-1-1 96.60m² 68.8 万,大桥新村 -丹阳城区商圈,3室1厅 | 96.6平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,65.8,"6,812元/平"
户型方正，楼层好.上下楼方便.采光好,曲园小区 -丹阳开发区商圈,3室1厅 | 114.64平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,79.8,"6,961元/平"
恒大名都126平 精装修 中高层 楼层好 采光好,恒大名都 -丹阳城区商圈,3室2厅 | 126平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 9个月以前发布,122.8,"9,747元/平"
房东急售 恒大名都3期经典145户型,恒大名都 -丹阳城区商圈,4室2厅 | 146平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,2人关注 / 一年前发布,125.8,"8,617元/平"
丹桂园北新新房中间楼层115平三房一卫拎包入住,丹桂园 -丹阳城区商圈,3室1厅 | 115平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,83.8,"7,287元/平"
丹桂园 3室1厅 南 北,丹桂园 -丹阳城区商圈,3室1厅 | 135平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,96.8,"7,171元/平"
新世纪花园 3室2厅 南,新世纪花园 -丹阳华南商圈,3室2厅 | 145平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,132,"9,104元/平"
恒大名都109平 精装修 中低层  采光好  户型好,恒大名都 -丹阳城区商圈,3室2厅 | 109平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,109.5,"10,046元/平"
凤凰国际广场 3室2厅 南,凤凰国际广场 -丹阳开发区商圈,3室2厅 | 150平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,116.8,"7,787元/平"
丹桂园 3室2厅 南 北,丹桂园 -丹阳城区商圈,3室2厅 | 135平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,88.8,"6,578元/平"
户型方正，楼层好.上下楼方便.采光好,曲园小区 -丹阳开发区商圈,3室1厅 | 114.64平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,79.8,"6,961元/平"
普善人家3-1-1-2 108.00m² 88 万,普善人家 -丹阳城区商圈,3室1厅 | 108平米 | 南 | 精装 | 高楼层(共6层)  | 平房,1人关注 / 一年前发布,79.8,"7,389元/平"
大桥新村3-1-1-1 96.60m² 68.8 万,大桥新村 -丹阳城区商圈,3室1厅 | 96.6平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,65.8,"6,812元/平"
恒大名都126平 精装修 中高层 楼层好 采光好,恒大名都 -丹阳城区商圈,3室2厅 | 126平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 9个月以前发布,122.8,"9,747元/平"
房东急售 恒大名都3期经典145户型,恒大名都 -丹阳城区商圈,4室2厅 | 146平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,2人关注 / 一年前发布,125.8,"8,617元/平"
房东家装修新，现代装修，欢迎预约看房,新香草苑 -丹阳城区商圈,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,120,"10,000元/平"
欢迎预约看房，房东诚心出售...........,江南人家 -丹阳城区商圈,3室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,128.8,"9,200元/平"
锦尚名都西边户采光好装修好华南优质3居好房,锦尚名都 -丹阳华南商圈,3室2厅 | 108平米 | 南 西 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,121.8,"11,278元/平"
金凤凰花园 3室1厅 南 北,金凤凰花园 -丹阳开发区商圈,3室1厅 | 138平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,93,"6,740元/平"
迎春小区3-2-1-1 118.00m² 80 万独立自行车库。,迎春小区 -丹阳开发区商圈,3室2厅 | 118平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,80,"6,780元/平"
"户型好，楼层佳，采光充足,结构好，方便改造",金凤凰花园 -丹阳开发区商圈,3室2厅 | 146平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,1人关注 / 一年前发布,138.8,"9,507元/平"
开发区精装修三房，两房朝南，户型方正,紫荆花园(丹阳市) -丹阳开发区商圈,3室2厅 | 103平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,82.8,"8,039元/平"
华都锦城·幸福里 4室2厅 南 北,华都锦城·幸福里 -丹阳华南商圈,4室2厅 | 173平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,179.8,"10,394元/平"
东方盛世 4室2厅 南,东方盛世 -丹阳开发区商圈,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,2人关注 / 一年前发布,120.8,"8,448元/平"
紫荆花园(丹阳市)3-1-1-1 111.00m² 81.8 万,紫荆花园(丹阳市) -丹阳开发区商圈,3室1厅 | 111平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,80,"7,208元/平"
凤翔花园多层房，3室2卫，精装修视野好，采光充足,鳯翔花園城 -丹阳开发区商圈,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,103.7,"8,642元/平"
