标题,开发商,房子信息,发布信息,售价/万,单价
电梯大两室，户型方正税费少。。,康桥枫景一期 -汉台区,2室2厅 | 112.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,56,"4,988元/平"
江边大三室 户型好生活配套齐全 精装修,丽江苑小区 -南郑区,3室2厅 | 126.18平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,19人关注 / 10个月以前发布,39.9,"3,163元/平"
小区绿化好，环境优美，主要以洋房和小高层为主品质高,缙颐缇香郡 -南郑区,3室2厅 | 128.94平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,96,"7,446元/平"
城东电梯房满二，采光好，产权清晰，,朋鹰紫城 -汉台区,2室2厅 | 86.62平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,10人关注 / 9个月以前发布,61,"7,043元/平"
龙岗路精装2室，繁华地段，拎包入住,话艺园 -南郑区,2室1厅 | 86.13平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,40,"4,645元/平"
天汉大道，电梯房，两室简装，地理位置优越。,朝阳新世纪 -南郑区,2室1厅 | 70.6平米 | 东 西 | 简装 | 高楼层(共12层)  | 塔楼,34人关注 / 一年前发布,20.3,"2,876元/平"
户型方正 南北通透 采光很好 2楼 价格优美,航院新村 -汉台区,2室2厅 | 84.1平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,3人关注 / 11个月以前发布,30.9,"3,675元/平"
户型好，配套完善，楼层低，交通出行方便,汉中市供电局家属院 -汉台区,2室1厅 | 58.97平米 | 南 北 | 其他 | 低楼层(共8层)  | 板楼,1人关注 / 7个月以前发布,25.5,"4,325元/平"
城西两室好房，，拎包即可 入住 !!!,长青小区 -汉台区,2室1厅 | 82.64平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,26,"3,147元/平"
双阳台  精装修   中楼层   采光好  咨询维护人即可,汉水名城北区 -汉台区,2室2厅 | 92.84平米 | 东 西 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,52.5,"5,655元/平"
城东电梯小高层，精装修，满五朝南两居室,和谐春天 -汉台区,2室1厅 | 92.34平米 | 南 | 其他 | 高楼层(共17层)  | 板塔结合,1人关注 / 7个月以前发布,48,"5,199元/平"
城东标志性小区，花园洋房底跃复式  带花园,建昌卡斯迪亚第壹大道 -汉台区,3室2厅 | 214.18平米 | 南 北 | 其他 | 5层  | 板塔结合,18人关注 / 3个月以前发布,84.5,"3,946元/平"
城西简装房源，业主诚心出售，看房提前约。,桂园小区 -汉台区,2室2厅 | 87.13平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,30,"3,444元/平"
城西好地段，两室精装南北通透，小区地段好，采光好,4号信箱家属院 -汉台区,2室2厅 | 56.38平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,19,"3,370元/平"
东西通透，视野宽阔，采光充足，交通便利,大河坎村二组 -南郑区,3室2厅 | 124.13平米 | 东 西 | 其他 | 高楼层(共6层)  | 板楼,25人关注 / 一年前发布,32,"2,578元/平"
南北通透，视野采光好，拎包入住，业主诚心出售,汉中市盐业公司家属院 -汉台区,2室1厅 | 59.47平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,19.9,"3,347元/平"
桃源新城装修大两房诚心出售看房方便,桃源新城 -汉台区,2室2厅 | 84.1平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,4人关注 / 7个月以前发布,44,"5,232元/平"
东门桥路口  多层中间楼层  配套齐全,东新小区 -汉台区,2室1厅 | 70.24平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 13天以前发布,31,"4,414元/平"
盛世国际一室精装，产证满二，业主诚售,盛世国际商业广场 -汉台区,1室1厅 | 40平米 | 南 | 其他 | 中楼层(共19层)  | 板塔结合,0人关注 / 12天以前发布,25,"6,250元/平"
北大街，两室一厅，简单装修，地段好,外贸家属楼 -汉台区,2室1厅 | 55.59平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,23人关注 / 一年前发布,18,"3,238元/平"
市区 位置方便 大两居 生活方便,张万营北巷80号 -汉台区,2室1厅 | 80.06平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,255人关注 / 2个月以前发布,21,"2,624元/平"
产证满五，税少，精装修两居，拎包入住生活配套齐全。,和谐春天 -汉台区,2室2厅 | 94.95平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,48.5,"5,108元/平"
多层5楼，采光视野好，户型方正,外贸家属楼 -汉台区,2室1厅 | 72.29平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,23,"3,182元/平"
城东，电视塔旁，电梯房，小高层，3室2卫，一梯两户,博雅花园 -汉台区,3室2厅 | 125.29平米 | 南 北 | 简装 | 中楼层(共12层)  | 板楼,46人关注 / 一年前发布,59.8,"4,773元/平"
房子产权满五，采光好，多层公摊小,汉中人民广播电台家属院 -汉台区,2室1厅 | 54.09平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 11天以前发布,23.5,"4,345元/平"
市区 位置方便 大两居 生活方便,张万营北巷80号 -汉台区,2室1厅 | 80.06平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,255人关注 / 2个月以前发布,21,"2,624元/平"
城东新上房源 楼梯房中间楼层 南北通透 产证满五唯一,新桥台联小区 -汉台区,2室1厅 | 83平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 10个月以前发布,26.6,"3,205元/平"
高铁站电信大楼边，年轻人过渡房，带车位拎包入住,汉中供电局住宅区 -汉台区,2室2厅 | 66.48平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,5人关注 / 8个月以前发布,17.9,"2,693元/平"
此房满五，无多余税费，户型方正，南北通透，地段好。,望江苑小区 -南郑区,3室2厅 | 112.26平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,57.8,"5,149元/平"
恒大城精装修，小两室，大品牌公司，金碧物业公司。,恒大城 -南郑区,2室1厅 | 54.12平米 | 西 北 | 精装 | 高楼层(共33层)  | 板塔结合,33人关注 / 一年前发布,35,"6,468元/平"
房子南北通透，楼层，通风 ，采光好。配套充足，,汉江物产家属院 -汉台区,2室2厅 | 102.47平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,35,"3,416元/平"
高客站旁精装两室，业主诚心出售！,兴汉小区 -汉台区,2室2厅 | 109平米 | 北 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 10个月以前发布,45,"4,129元/平"
和谐春天南北通透，。。。。两室一厅经典大两室户型，,和谐春天 -汉台区,2室2厅 | 95.58平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,32人关注 / 一年前发布,30,"3,139元/平"
城东成熟社区地理位置好，离江边开放式公园不足一公里,地王熙苑三期 -汉台区,2室2厅 | 78平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,50,"6,411元/平"
毛坯3室，步梯3楼出售。。。。。。,汉江明珠 -南郑区,3室2厅 | 102.42平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,7人关注 / 6个月以前发布,51,"4,980元/平"
城东电梯房中间楼层，精装修两室产证满二。。,文沁世家 -汉台区,2室2厅 | 93.47平米 | 南 北 | 其他 | 高楼层(共25层)  | 板塔结合,1人关注 / 3个月以前发布,49,"5,243元/平"
汉中刚需两室江边单价低税费低随时可看房,海德理想城 -汉台区,2室2厅 | 105.12平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,3人关注 / 9个月以前发布,45,"4,281元/平"
市区多层三楼  南北通透 地理位置优越 生活便利,地王花园 -汉台区,2室2厅 | 90.23平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,13人关注 / 一年前发布,36,"3,990元/平"
小区位于前进路夜市边，市区繁华地段，出行便利,汉中供电局住宅区 -汉台区,2室1厅 | 49.95平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,10人关注 / 11个月以前发布,18.3,"3,664元/平"
天汉大道鸿海苑两室，业主诚心出售,鸿海苑 -南郑区,2室2厅 | 89.76平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,20人关注 / 11个月以前发布,26,"2,897元/平"
城东多层两室  楼层好  税费低  业主诚意出售,石狮·东方之珠 -汉台区,2室2厅 | 103.19平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,2人关注 / 10个月以前发布,43,"4,168元/平"
城东大型社区，精装中间楼层，拎包入住,万泰康居城 -汉台区,2室2厅 | 95.42平米 | 南 北 | 其他 | 中楼层(共27层)  | 板塔结合,1人关注 / 7个月以前发布,49.8,"5,220元/平"
江边 多层2居中间楼层  产证满二  产权清晰 带柴房,汉中世纪城 -汉台区,2室2厅 | 86.9平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,49.5,"5,697元/平"
铺镇火锅一条街带20平大露台满五唯一可按揭,竹韵汉府 -汉台区,2室2厅 | 78.29平米 | 东 西 | 毛坯 | 高楼层(共6层)  | 暂无数据,5人关注 / 8个月以前发布,16.8,"2,146元/平"
此房满二，税费少楼层低，南北通透格局好，无浪费空间,诗兿園 -南郑区,2室2厅 | 86.31平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 11个月以前发布,26.5,"3,071元/平"
房子精装修，房子保养比较新，龙岗陪读挺适合的。,龙岗学府 -南郑区,2室2厅 | 83平米 | 南 | 其他 | 高楼层(共23层)  | 板塔结合,0人关注 / 15天以前发布,59,"7,109元/平"
顶楼复式，南北向，采光无限好，三个大晒台！！！,汉江明珠 -南郑区,3室2厅 | 119.61平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,15人关注 / 一年前发布,58,"4,850元/平"
江边大三房，交通方便，房子新。,春林迈克公馆 -南郑区,3室2厅 | 131.47平米 | 南 | 其他 | 低楼层(共23层)  | 板楼,2人关注 / 一年前发布,61.5,"4,678元/平"
城西多层1楼  带柴房   精装修  产证满二  税费少,民乐花苑南区 -汉台区,2室1厅 | 55.27平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,3人关注 / 7个月以前发布,35,"6,333元/平"
此户型方正，户型方正，采光好视野开阔，满五,民乐花苑一期 -汉台区,2室2厅 | 87.38平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,26人关注 / 6个月以前发布,42.5,"4,864元/平"
此房朝南，没有多余的税费，楼层好 南向是客厅,明珠南苑二期 -汉台区,2室2厅 | 87.63平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,1人关注 / 9天以前发布,56,"6,391元/平"
莲湖路多层两室地段好位置佳业主诚意出售,中药厂家属院 -汉台区,2室1厅 | 49.12平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,13.9,"2,830元/平"
此房子楼层好，视野开阔，采光充足，交通便利,青龙小区 -汉台区,2室1厅 | 101.24平米 | 南 北 | 其他 | 中楼层(共15层)  | 板塔结合,2人关注 / 3个月以前发布,48,"4,742元/平"
业主诚心出售，满五，有钥匙，随时可看......,东城房地产开发有限公司三号小区 -汉台区,2室2厅 | 81.67平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,32.9,"4,029元/平"
精装修，户型方正 无浪费，产证满五不唯一 ，,丰辉公园小区 -汉台区,2室2厅 | 97.47平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,47,"4,822元/平"
江边多层大两室，南北通透，全明户型，电梯房,汉中世纪城 -汉台区,2室2厅 | 94.68平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,56.5,"5,968元/平"
占据地理的优势，享受成熟生活体验。。,虎桥路住宅小区 -汉台区,2室1厅 | 72.04平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 8个月以前发布,26,"3,610元/平"
江边温馨大2居  经典好户型 ，满二商品房性质,海德理想城 -汉台区,2室1厅 | 101.23平米 | 南 西 | 毛坯 | 中楼层(共24层)  | 板塔结合,18人关注 / 一年前发布,48,"4,742元/平"
此房纯南朝向 采光通风好 多层低楼层 公摊小 精装修,民乐花苑南区 -汉台区,2室1厅 | 55.27平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,30.5,"5,519元/平"
市中.心大两室新房电梯房办公出租都可以满五年,汇豪新世界 -汉台区,2室2厅 | 90.82平米 | 西北 | 其他 | 高楼层(共20层)  | 塔楼,0人关注 / 7个月以前发布,52,"5,726元/平"
此房交通便利 三室的精装房子产权清晰满二,天汉芙蓉苑 -汉台区,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,81,"6,329元/平"
户型好，南北通透，采光充足，诚心出售，欢迎带看,益宁铭居 -汉台区,3室2厅 | 107平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,65,"6,075元/平"
二号桥头  江南花园 电梯中层 南北朝向 格局 好，,江南花园 -南郑区,3室1厅 | 135平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,50,"3,704元/平"
户型好，电梯中间楼层，小区位置好，地段好,明珠南苑二期 -汉台区,4室1厅 | 170.41平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 26天以前发布,106,"6,221元/平"
城西精装房，楼层好，价格低，可以做婚房,鑫辉茗都 -汉台区,3室2厅 | 110.59平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,71,"6,421元/平"
户型好，电梯房，小区位置好，路段好，业主急售.,明珠南苑二期 -汉台区,3室1厅 | 126.47平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 26天以前发布,87,"6,880元/平"
大平层 精装修 未入住  天汉长街公园吾悦广场旁,中交滨江国际 -汉台区,4室1厅 | 204.23平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 26天以前发布,379,"18,558元/平"
精装修三室，户型好，业主诚心出售，可按揭，带大露台,竹韵汉府 -汉台区,3室1厅 | 119.71平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,45,"3,760元/平"
江边新小区，大四房，视野好，南看汉山，北可观江,江南壹号 -南郑区,4室2厅 | 139平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 28天以前发布,90,"6,475元/平"
汉中电辅热小区，英伦风格现房，大三居有车位，诚心售,英郦庄园 -南郑区,3室2厅 | 133.55平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,85,"6,365元/平"
精装大三居，拎包入住，产证在手,吾悦公馆 -汉台区,3室2厅 | 128.75平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 26天以前发布,135,"10,486元/平"
新汉新区 小区安静适宜居住 价格优惠,北城新苑 -汉台区,2室2厅 | 90平米 | 南 | 简装 | 高楼层(共7层)  | 塔楼,1人关注 / 31天以前发布,29.5,"3,278元/平"
滨江芯一线江景房，品牌开发商，国家一级资质物业,碧桂园·阅江府 -汉台区,3室2厅 | 128平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,0人关注 / 28天以前发布,125,"9,766元/平"
新天汉洋房四室，一楼带花园，实得面积大,新天汉时代滨江 -汉台区,4室2厅 | 178平米 | 南 北 | 毛坯 | 6层  | 暂无数据,0人关注 / 27天以前发布,251,"14,102元/平"
城西品质小区碧桂园 电梯高楼层 视野采光好 大三室,碧桂园·阅江府 -汉台区,3室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,125,"9,766元/平"
二次装修 家具家电全带  拎包入住,恒大帝景 -汉台区,3室2厅 | 122.72平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 29天以前发布,118,"9,616元/平"
江边三室，交通便利，户型方正，格局好,汉泉菁华里 -汉台区,3室2厅 | 110.08平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 26天以前发布,68,"6,178元/平"
金泰·滨江花城 3室1厅 南 北,金泰·滨江花城 -汉台区,3室1厅 | 126平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,1人关注 / 26天以前发布,110,"8,731元/平"
高品质小区，好地段，好楼层，好户型,龙岗一品 -南郑区,4室2厅 | 163平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,145,"8,896元/平"
江边茶城大三室，配套成熟，生活便利！！！,天泽茗园 -汉台区,3室2厅 | 138.86平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 20天以前发布,86,"6,194元/平"
此房，税费少，电梯小高层居住舒适，楼层好，视野开阔,龙惠春天 -南郑区,3室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 27天以前发布,52,"4,095元/平"
江边大三室可观江商圈成熟，生活便利！！！,天泽茗园 -汉台区,3室2厅 | 138.86平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 20天以前发布,86,"6,194元/平"
江边大三室可观江商圈成熟，生活便利！！！,天泽茗园 -汉台区,3室2厅 | 138.86平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 20天以前发布,86,"6,194元/平"
此房，税费少，电梯小高层居住舒适，楼层好，视野开阔,龙惠春天 -南郑区,3室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 27天以前发布,52,"4,095元/平"
江边茶城大三室，配套成熟，生活便利！！！,天泽茗园 -汉台区,3室2厅 | 138.86平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 20天以前发布,86,"6,194元/平"
采光好，交通便利，新小区，出行便利,天泽茗园 -汉台区,3室2厅 | 138.86平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 20天以前发布,85,"6,122元/平"
高品质小区，好地段，好楼层，好户型,龙岗一品 -南郑区,4室2厅 | 163平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,145,"8,896元/平"
龙岗旁电梯小高层南北通透急售..,艺苑居住区 -南郑区,3室2厅 | 140.67平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,0人关注 / 25天以前发布,68,"4,835元/平"
城市中地段 出行方便 三室精装 拎包入住,汇豪新世界 -汉台区,3室1厅 | 159.76平米 | 南 北 | 精装 | 中楼层(共20层)  | 塔楼,0人关注 / 31天以前发布,98,"6,135元/平"
江边大三室，可观江，商圈成熟，交通方便，生活便利,天泽茗园 -汉台区,3室2厅 | 138.86平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 20天以前发布,85.5,"6,158元/平"
城东雅居乐大三室，边户，南北向，随时装修。,雅居乐花园 -汉台区,3室2厅 | 115.4平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 19天以前发布,68,"5,893元/平"
东方明珠 电梯精装  3室产证在手 诚心出售 随时看房,广厦·东方明珠 -汉台区,3室2厅 | 116.41平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 22天以前发布,69,"5,928元/平"
城东牛架桥，交通便利，房子维护的比较好,怡蕊园A区 -汉台区,2室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 18天以前发布,40,"4,445元/平"
业主诚心出售、头排观江一线江景。,竹园华府 -汉台区,4室2厅 | 178平米 | 南 北 | 简装 | 低楼层(共31层)  | 板塔结合,0人关注 / 25天以前发布,129,"7,248元/平"
准现房带有露台，稀有卖两室德三房户型,滨江半岛翡翠城 -汉台区,3室2厅 | 119平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 26天以前发布,85,"7,143元/平"
绝美江景，南北通透好户型，适合养老置换。,竹园华府 -汉台区,3室2厅 | 148平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 18天以前发布,105,"7,095元/平"
城东 莲湖路，精装大两室，带租赁车位一个,兴达二号小区 -汉台区,2室2厅 | 91.6平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,35,"3,821元/平"
产证满五年，多层公摊小，视野开阔，交通便利,御景名都 -汉台区,3室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 24天以前发布,58,"6,591元/平"
万邦时代广场品质住宅，居家购物无忧,万邦时代广场 -汉台区,3室2厅 | 158平米 | 南 北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 22天以前发布,103,"6,519元/平"
汉台区精装现房，新小区配套齐全,雅居乐花园 -汉台区,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 26天以前发布,78,"7,091元/平"
房子户型方正，南北双花园露台，园林式环境小区,金色蓝镇 -南郑区,4室2厅 | 161.14平米 | 西北 | 精装 | 高楼层(共11层)  | 塔楼,0人关注 / 28天以前发布,128,"7,944元/平"
城西无大税，精装修房子，业主诚心出售。,堂宏广场 -汉台区,3室2厅 | 124.55平米 | 西南 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 18天以前发布,83,"6,664元/平"
城西高品质小区 大三居 精装修 南北通透 一线江景,缙颐玫瑰庄园 -汉台区,3室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,0人关注 / 15天以前发布,130,"9,630元/平"
南北通透，户型方正，采光好.带露台,银沟桥小区 -南郑区,4室2厅 | 141.72平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 17天以前发布,68,"4,799元/平"
房子是刚交的新房，位于尤满吉，小区环境好，,江南壹号 -南郑区,4室2厅 | 115平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 26天以前发布,69,"6,000元/平"
新青龙小区 三室两厅两卫 户型方正 精装修 带家具家电,青龙小区 -汉台区,3室2厅 | 140平米 | 西北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 21天以前发布,96,"6,858元/平"
江边湿地公园旁，优质精装房，诚心出售,滨江佳园 -汉台区,3室2厅 | 119.06平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 25天以前发布,86,"7,224元/平"
南郑近江边优质房源，小区环境优美，购物方便,利和银座 -南郑区,3室2厅 | 107平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 23天以前发布,56,"5,234元/平"
城西电梯大三室 有车位出售 便宜,锦园聚春园二期 -汉台区,3室2厅 | 124.76平米 | 南 北 | 精装 | 中楼层(共12层)  | 板塔结合,0人关注 / 30天以前发布,60,"4,810元/平"
城西好房，大三室。  业主急售 ，,延龄大厦 -汉台区,3室2厅 | 127.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 10个月以前发布,49,"3,844元/平"
兴汉路中段   电梯房大面积 精装修 业主诚意出售,东塔北路市计生局住宅楼 -汉台区,3室2厅 | 197.89平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 6个月以前发布,124.5,"6,292元/平"
市区成熟小区，大三室南北通透采光好，户型好，,汉丰小区 -汉台区,3室2厅 | 115.71平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,78,"6,741元/平"
城东品质小区洋房 环境优雅 舒适惬意,紫岚居 -汉台区,4室2厅 | 164平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,182.5,"11,129元/平"
全一线江景，精装大四室，楼层好！,竹园华府 -汉台区,4室2厅 | 174.9平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,162,"9,263元/平"
城东电梯精装小三室，拎包入住。,建昌卡斯迪亚第壹大道 -汉台区,3室2厅 | 99.1平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,68,"6,862元/平"
城东多层1楼南北通透大三室    产证满五    拎包入住,世纪园小区 -汉台区,3室2厅 | 121.51平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,8人关注 / 一年前发布,55,"4,527元/平"
花溪时光精装大三室，东边户，采光好，户型好,莲湖花溪时光 -汉台区,3室2厅 | 138.59平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 4个月以前发布,120,"8,659元/平"
此房满五唯一，南北通透，业主诚心出售，产权清晰,丰辉小区 -汉台区,3室2厅 | 136.1平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,52,"3,821元/平"
丰辉花园 城东成熟片区 交通便利 大三室,丰辉花园 -汉台区,3室2厅 | 134平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,45,"3,359元/平"
太白社区 多层 大三室 业主诚意出售,太白新村 -汉台区,3室2厅 | 138.81平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,55,"3,963元/平"
此房满二，无增值税，精装修，带家电家具。,晨晖帝景府 -汉台区,4室2厅 | 138.16平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,7人关注 / 一年前发布,120,"8,686元/平"
莲湖东路多层两室、公摊小、得房率高、户型方正。,兴达三号小区 -汉台区,2室2厅 | 97.75平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,31,"3,172元/平"
城中成熟小区..出行方便。设施配套完善,将坛东路 -汉台区,4室2厅 | 147.66平米 | 南 | 其他 | 低楼层(共2层)  | 塔楼,1人关注 / 一年前发布,58,"3,928元/平"
房子精装修，保养的好，楼层好户型方正,竹园华府 -汉台区,3室2厅 | 122.82平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,1人关注 / 2个月以前发布,110,"8,957元/平"
此房满五唯一，采光足，配套设施齐全，生活便利.....,汉中设计院家属院 -汉台区,2室2厅 | 75平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,25,"3,334元/平"
产证满5 无抵押 产权清晰 地段好，户型方正,邮电小区 -汉台区,3室2厅 | 113.29平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,34,"3,002元/平"
户型好，彩光好，小区居住人文素质高,文沁世家 -汉台区,3室2厅 | 116.64平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,6人关注 / 6个月以前发布,62,"5,316元/平"
城东区复式户型带阳光房动静分离,建昌卡斯迪亚第壹大道 -汉台区,4室2厅 | 159.63平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,116.9,"7,324元/平"
地理位置好，实际面积82平，配套齐全。,新星家园 -汉台区,2室2厅 | 59.99平米 | 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,32,"5,335元/平"
城东优质小区，现在空置，大家多多带看,益汉小区 -汉台区,2室2厅 | 91.16平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,8人关注 / 一年前发布,43,"4,717元/平"
简装大三居 120平业主诚意出售,怡蕊园B区 -汉台区,3室2厅 | 120.9平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,49,"4,053元/平"
