标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园 3室2厅 南 北,碧桂园 -成纪新城,3室2厅 | 124平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 2天以前发布,116,"9,355元/平"
天水郡上河苑，毛坯房，可随意装修，拆返房，全新小区,天水郡上河苑 -天水郡,3室2厅 | 127平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,101,"7,953元/平"
此房南北通透  双阳台  经典户型  全明户型,碧桂园 -成纪新城,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 一年前发布,140,"10,938元/平"
万达天御 三室两厅一厨两卫 110.34平 南北通透 采光好,天水万达广场 -万达,3室2厅 | 110.34平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,107.9,"9,779元/平"
恒顺锦润悦府大三室113万可谈  可按揭,恒顺锦润悦府 -成纪新城,3室2厅 | 134.23平米 | 南 北 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,113,"8,419元/平"
碧桂园御府 三室两厅一卫 价格可议,碧桂园·御府 -麦积区,3室2厅 | 115平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 暂无数据,0人关注 / 一年前发布,103,"8,957元/平"
天庆嘉园  地段好 交通便利 配套齐全 环境优美,天庆嘉园 -秦州区,4室2厅 | 158.3平米 | 南 | 精装 | 低楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,158,"9,982元/平"
此房诚心出售，南北通透户型，楼层好，视野开阔,碧桂园·御府 -麦积区,4室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 3个月以前发布,138,"9,651元/平"
（碧桂园3-2-1-2 124.00m² 106 万 业主急售,碧桂园 -成纪新城,3室2厅 | 124平米 | 东南 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,106,"8,549元/平"
公摊面积小。生活便利。交通方便,和谐家园(孙家坪路) -七里墩,1室1厅 | 52平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,28,"5,385元/平"
天河家园一室精装修满五可按揭46万可谈,天河家园 -七里墩,1室1厅 | 54平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,46,"8,519元/平"
现房，方正户型，南北通透，配套成熟,鸿源新居 -秦州区,1室1厅 | 73平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 28天以前发布,70,"9,590元/平"
一中片区，枣园小区  单价便宜   急出售,枣园小区 -秦州区,1室1厅 | 50平米 | 南 北 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 28天以前发布,35,"7,000元/平"
宏安英郡 1室1厅 南 北,宏安英郡 -万达,1室1厅 | 41.75平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 13天以前发布,43,"10,300元/平"
包过户  碧桂园御府   小面积住宅   一次性付款,碧桂园·御府 -麦积区,1室1厅 | 51.7平米 | 西 | 简装 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,50,"9,672元/平"
70年产权  一室一厅  随时看房,碧桂园·御府 -麦积区,1室1厅 | 52平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,55,"10,577元/平"
东达大厦一室一厅，采光好，出行方便，设施完善。,东达大厦 -未知商圈,1室1厅 | 70.08平米 | 北 | 其他 | 高楼层(共19层)  | 暂无数据,0人关注 / 8个月以前发布,59,"8,419元/平"
此房诚心出售，南北通透户型，楼层好，视野开阔,碧桂园·御府 -麦积区,1室1厅 | 38平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,34,"8,948元/平"
恒顺锦润悦府70年大产权一室60万可谈,恒顺锦润悦府 -成纪新城,1室1厅 | 60.28平米 | 西 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,60,"9,954元/平"
七里墩商圈 天河小区 一室一厅 精装修 业主诚意出售,天河家园 -七里墩,1室1厅 | 53平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,40,"7,548元/平"
此房诚心出售，南北通透户型，楼层好，视野开阔,恒顺锦润悦府 -成纪新城,1室1厅 | 59.73平米 | 西南 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,59,"9,878元/平"
碧桂园御府53平一室出售46万 70年大产权,碧桂园·御府 -麦积区,1室1厅 | 53平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,45,"8,491元/平"
碧桂园 三室两厅两卫 全明户型 着急出售,碧桂园 -成纪新城,3室2厅 | 127.04平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,1人关注 / 一年前发布,100,"7,872元/平"
恒顺锦润悦府、精装修交付一室一厅采光足,恒顺锦润悦府 -成纪新城,1室1厅 | 60.76平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,5人关注 / 10个月以前发布,54,"8,888元/平"
南北通透户型，楼层好，视野开阔，采光充足,长开小区 -七里墩,2室2厅 | 76平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,76,"10,000元/平"
无公摊实用面积大，生活成本低，采光好,海林家属院 -七里墩,2室1厅 | 59.8平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,59.8,"10,000元/平"
房子满五唯一，中间楼层。看房方便，价格可议,紫薇苑 -天水郡,2室2厅 | 93.88平米 | 南 北 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 8个月以前发布,85,"9,055元/平"
岷山厂住宅区 两室一厅一厨一卫,岷山住宅区 -万达,2室2厅 | 72.74平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,69,"9,486元/平"
花苑小区、逸夫公园片区、刚需房源,花苑小区 -秦州区,2室1厅 | 77.19平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,91,"11,790元/平"
此房、南北通透格局、楼层好、视野宽阔、采光充足,碧桂园·御府 -麦积区,2室2厅 | 95平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,122,"12,843元/平"
广场邮电家属院三室精装房，可以拎包入住,邮电家属院 -秦州区,3室1厅 | 86.1平米 | 东 西 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,105,"12,196元/平"
此房南北通透，楼层好，一梯两户,恒顺锦润悦府 -成纪新城,2室2厅 | 97平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,94,"9,691元/平"
电梯房，带阳台，低楼层，价格可议,天创花园 -兰天,2室1厅 | 92.68平米 | 东 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,95,"10,251元/平"
天河家园两室一厅，南北通透户型方正.,天河家园 -七里墩,2室2厅 | 77.87平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,4人关注 / 一年前发布,82,"10,531元/平"
南北通透，楼层好，视野宽阔，交通便利,天庆国际 -马跑泉,2室2厅 | 93平米 | 南 | 其他 | 低楼层(共14层)  | 塔楼,0人关注 / 5个月以前发布,95,"10,216元/平"
精装修 刚需两室 满五唯一 房间朝南 中间楼层 采光佳,长开小区 -七里墩,2室1厅 | 56.75平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,54,"9,516元/平"
和谐家园 毛坯两室 好楼层 南北通透 业主急售,和谐家园(孙家坪路) -七里墩,2室2厅 | 95.43平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 暂无数据,1人关注 / 10个月以前发布,69,"7,231元/平"
桥南建材市场附 近，新华书店家属院，简装两室,麦积区新华书店家属楼 -分路口,2室1厅 | 69.7平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,6人关注 / 一年前发布,39,"5,596元/平"
河景房  户型方正 朝南大阳台 视野开阔 精装修,恒顺锦润悦府 -成纪新城,2室1厅 | 72平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,1人关注 / 一年前发布,72,"10,000元/平"
满五唯一，南北通透，无公摊，实用面积大，看房方便,永生博爱居 -天水郡,2室2厅 | 87.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,82,"9,372元/平"
此房精装修，家具家电齐全，可拎包入住,长城家园 -七里墩,2室1厅 | 81.12平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,70,"8,630元/平"
秦州区安居小区 两室两厅一厨一卫 万达商圈,秦州区安居小区 -万达,2室2厅 | 93.55平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,90,"9,621元/平"
广丰凤凰公馆一室一厅一厨一卫.,广丰凤凰公馆 -马跑泉,1室1厅 | 75.4平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,0人关注 / 一年前发布,75,"9,947元/平"
和谐家园两室两厅精装修 南北通透 业主诚意出售,和谐家园(孙家坪路) -七里墩,2室2厅 | 95平米 | 南 北 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,75,"7,895元/平"
此房南北通透格局、楼层好、视野宽阔、采光充足,碧桂园 -成纪新城,2室2厅 | 85平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,90,"10,589元/平"
此房满五唯一，南北通透格局好，采光充足，交通便利，,长材家属院 -秦州区,2室1厅 | 55平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,68,"12,364元/平"
此房满五唯一、经典两室H户型、楼层采光好,和谐家园 -七里墩,2室1厅 | 93.92平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,79,"8,412元/平"
子产权清晰，支持按揭贷款，南北通透采光好，交通便利,永红家园 -伏羲庙,2室1厅 | 66.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,72,"10,828元/平"
长通厂家属院 逸夫 公园 中间楼层 可按揭,长通家园 -秦州区,2室1厅 | 64.98平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,81,"12,466元/平"
金地小区 两室两厅 诚心出售 单价不过万,金地花园 -秦州区,2室2厅 | 94.88平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,80,"8,432元/平"
新建小区，中间楼层，带家具家电，精装修,福田·天水中心 -西十里,3室2厅 | 108平米 | 南 北 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 5个月以前发布,95,"8,797元/平"
建一 建二 逸夫 配套设施齐全 教育资源雄厚,宏业小区 -东桥头,2室2厅 | 88.89平米 | 东 西 | 其他 | 高楼层(共14层)  | 暂无数据,1人关注 / 一年前发布,100,"11,250元/平"
五唯一，南北通透，无公摊，实用面积大，看房方便,天缆家园1号院 -伏羲庙,2室2厅 | 105平米 | 南 北 | 其他 | 中楼层(共11层)  | 塔楼,0人关注 / 一年前发布,121,"11,524元/平"
房子满五唯一 南北通透  设施设备 配套齐全  交通便利,宝泰雅苑 -天水郡,2室2厅 | 97平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,110,"11,341元/平"
此房满五五一，南北通透，小区环境优雅，中间楼层,聚宝盆兰庭小区 -兰天,2室1厅 | 94.2平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,84,"8,918元/平"
满五唯一，精装修，中间楼层，南北通透,冷冻巷1号 -天水郡,2室2厅 | 92平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,73,"7,935元/平"
二一三家园2-2-1-1  91.99㎡  82万,二一三家园 -西十里,2室2厅 | 91.99平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,80,"8,697元/平"
天水郡商圈  四中家属院  两居室无公摊  可按揭,四中家属院 -天水郡,2室1厅 | 57平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,62,"10,878元/平"
玉泉观旁阳光花苑 大产权满五唯一 南北通透 可按揭,阳光花苑(秦州区) -兰天,2室2厅 | 89.79平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,110,"12,251元/平"
佳水岸精装复式，单价六千左右，拎包入住,佳·5.4克拉 -王家磨,2室2厅 | 48平米 | 南 北 | 其他 | 高楼层(共18层)  | 塔楼,2人关注 / 7个月以前发布,63,"13,125元/平"
天光厂家属院  育生学QU 房  上学方便,天光集成电路厂家属区 -兰天,3室1厅 | 79.01平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,83,"10,505元/平"
南北通透楼层好视野宽阔采光充足生活成本低出行方便,天河家园 -七里墩,3室1厅 | 75.99平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,56,"7,370元/平"
优质教育 方正户型  产权清晰 可按揭,长材家属院 -秦州区,2室1厅 | 54.95平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,61,"11,102元/平"
逸夫学QU 高楼层 小面积 可按揭 随时落户 看房方便,长材家属院 -秦州区,2室1厅 | 54.95平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,66,"12,011元/平"
天庆嘉园2室2厅，南北通透，采光充足,天庆嘉园 -秦州区,2室2厅 | 103平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,115,"11,166元/平"
西十里单价七千左右南北通透两居室，大产权可按揭,二一三家园 -西十里,2室2厅 | 86.7平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,57,"6,575元/平"
此房南北通透  精装修 可按揭 采光充足,天缆家园4号院 -伏羲庙,2室1厅 | 97平米 | 南 北 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,110,"11,341元/平"
恒顺锦润悦府 经典两室 实用面积大 方便看房 价格可议,恒顺锦润悦府 -成纪新城,2室2厅 | 95.3平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,1人关注 / 一年前发布,87,"9,130元/平"
产权清晰，南北通透采光好，出行便利，配套完善。,中怡嘉苑 -兰天,2室2厅 | 112平米 | 南 | 简装 | 低楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,106,"9,465元/平"
核 心 位 置，凤 凰  楼 层，精 装 修。,中怡嘉苑 -兰天,2室2厅 | 95.87平米 | 南 | 精装 | 高楼层(共24层)  | 暂无数据,4人关注 / 一年前发布,105,"10,953元/平"
经典两居室 总价低 地段好 房主诚意出售,长控靶场 -七里墩,2室1厅 | 81平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,73,"9,013元/平"
公园逸夫片区，首付28W户型方正，采光充足，配套齐全,花苑小区 -秦州区,2室1厅 | 87.9平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,96,"10,922元/平"
兰天新华苑 两室一厅厨两卫 南北通透,兰天新华苑 -东桥头,2室1厅 | 87.82平米 | 南 北 | 其他 | 中楼层(共12层)  | 平房,1人关注 / 一年前发布,99,"11,274元/平"
七里墩大两室 85万可谈可按揭 公摊小 得房率高,畅和新城 -七里墩,2室1厅 | 85.9平米 | 东 西 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 10个月以前发布,85,"9,896元/平"
伏羲庙西门，大产权，可按揭，无公摊,五一号线务站家属院 -伏羲庙,2室1厅 | 81平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,72,"8,889元/平"
逸夫 公园 小面积 可落户 精品小户型,金宇花苑 -秦州区,2室1厅 | 57.29平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,3人关注 / 11个月以前发布,63,"10,997元/平"
一梯两户，板式楼南北通透，三室两厅一卫，,碧桂园·御府 -麦积区,2室2厅 | 96平米 | 南 | 其他 | 高楼层(共10层)  | 暂无数据,1人关注 / 一年前发布,85,"8,855元/平"
畅和新城2-2-1-1 98.00m² 100 万）,畅和新城 -七里墩,2室2厅 | 98平米 | 东 北 | 简装 | 中楼层(共22层)  | 暂无数据,0人关注 / 8个月以前发布,100,"10,205元/平"
天河家园2-2-1-1 95.91m² 89 万）,天河家园 -七里墩,2室2厅 | 95.91平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,89,"9,280元/平"
此房满五，两室两室，中间楼层，无公摊， 实用面积大,天光集成电路厂家属区 -兰天,2室1厅 | 79.01平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,76,"9,620元/平"
房子满五唯一，中间楼层。看房方便，价格可议,重新街住宅小区 -兰天,2室1厅 | 88平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 9个月以前发布,78,"8,864元/平"
装修很好，安静宜居，交通方便，市场购物方便,长控靶场 -七里墩,2室1厅 | 59.3平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,50,"8,432元/平"
此房满五唯一。南北通透户型，大两居室，中间楼层,华港兴居 -天水郡,2室2厅 | 102平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,82,"8,040元/平"
天水郡  东煜品质住宅   精装修,东煜广场 -天水郡,2室2厅 | 97平米 | 南 北 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,81,"8,351元/平"
房源满五，楼 王位置，采光 佳。,天庆嘉园 -秦州区,2室2厅 | 104.12平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,115,"11,045元/平"
户型方正 装修保养好 随时看房 拧包入住,盛世桃园 -秦州区,2室2厅 | 92.49平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 9个月以前发布,130,"14,056元/平"
满五唯一    业主诚心出售  简单装修 业主保持不错,紫薇苑 -天水郡,2室1厅 | 96平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,92,"9,584元/平"
此房使用面积大，采光足，舒适通透,长开小区 -七里墩,2室2厅 | 87.58平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,84,"9,592元/平"
出售精表厂大产权精装修房子，可以按揭无公摊首付三成,精表家园 -王家磨,2室2厅 | 88平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,77,"8,750元/平"
庆华庭居两室两厅设施齐全出行方便,庆华庭居 -伏羲庙,2室1厅 | 79.2平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,68,"8,586元/平"
急售，上亿广场小面积的房子，户型好,上亿广场 -西十里,2室1厅 | 50.67平米 | 南 | 其他 | 高楼层(共15层)  | 暂无数据,0人关注 / 3个月以前发布,48,"9,474元/平"
此房 南北通透 满二唯一 采光通透 ，市景全揽,都市花园 -秦州区,2室2厅 | 114平米 | 南 北 | 其他 | 中楼层(共19层)  | 暂无数据,0人关注 / 一年前发布,112,"9,825元/平"
庆华庭居65平2室 南北通透 明厨明卫,庆华庭居 -伏羲庙,2室1厅 | 65平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,58,"8,924元/平"
石马坪繁华地段两居室，满五唯一可按揭,金地花园 -秦州区,2室1厅 | 87.6平米 | 西 | 其他 | 高楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,75,"8,562元/平"
星光世纪城两居室，电梯房，南北通透,星光世纪城B区 -天水郡,2室2厅 | 97.3平米 | 南 北 | 其他 | 高楼层(共24层)  | 暂无数据,0人关注 / 8个月以前发布,75,"7,709元/平"
华泰苑、逸夫公园片区、小区安静整洁,华泰苑小区 -秦州区,2室2厅 | 88.27平米 | 北 南 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,96,"10,876元/平"
新华路小区 两室两厅一厨一卫 楼梯房 公摊小,新华路小区 -秦州区,2室2厅 | 68平米 | 南 北 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,67,"9,853元/平"
两室无公摊，东西朝向，楼下餐馆。,金地花园 -秦州区,2室2厅 | 90.36平米 | 东 | 其他 | 高楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,86,"9,518元/平"
业主诚心出售  大产权 可按揭,安民家园 -王家磨,2室2厅 | 96.5平米 | 南 北 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,76,"7,876元/平"
尚真印象  两室两厅  南北格局  可议价,尚真印象 -七里墩,2室2厅 | 93.15平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 8个月以前发布,82,"8,804元/平"
满五唯一， 南北通透， 逸夫片区,八建集团南大桥家属院 -秦州区,2室1厅 | 59.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,74,"12,458元/平"
长开小区 两室一卫 精装修 有家具,长开小区 -七里墩,2室1厅 | 69.89平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,53,"7,584元/平"
电梯房，好楼层，视野宽阔，采光好，交通便利。,山水嘉园 -王家磨,2室1厅 | 91.03平米 | 南 北 | 简装 | 低楼层(共15层)  | 暂无数据,0人关注 / 5个月以前发布,68,"7,471元/平"
锦绣苑 两室 价格低 好楼层 有电梯,锦绣苑 -秦州区,2室2厅 | 97平米 | 南 | 简装 | 低楼层(共26层)  | 暂无数据,4人关注 / 6个月以前发布,62,"6,392元/平"
长材家园2室1厅，南北通透格局好,长材家属院 -秦州区,2室1厅 | 72.65平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,82,"11,287元/平"
天河美郡18年次新小区，精装两居室，免装修可按揭,天河美郡 -王家磨,2室1厅 | 82.23平米 | 南 北 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 一年前发布,70,"8,513元/平"
和谐家园两室两厅一卫一橱户型出售,和谐家园(孙家坪路) -七里墩,2室2厅 | 96平米 | 南 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 3个月以前发布,75,"7,813元/平"
百货大楼    2室1厅    精装修   中间楼层  公园xue,青年南路小区 -东桥头,2室2厅 | 68.07平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,67,"9,843元/平"
桃李春风地段好出行方便随时看房,御园·桃李春风 -万达,2室2厅 | 89.7平米 | 南 | 简装 | 低楼层(共23层)  | 暂无数据,0人关注 / 5个月以前发布,89.7,"10,000元/平"
此房出售，南北通透，楼层好，视野开阔，采光充足，..,星光家园 -麦积区,2室2厅 | 104平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,58,"5,577元/平"
八建和顺家园 两室两厅一卫 毛坯 采光好,八建和顺家园 -七里墩,2室2厅 | 95平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,58,"6,106元/平"
此房满五唯一，属于逸夫片区，中楼层,八建集团南大桥家属院 -秦州区,2室1厅 | 56.5平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,62,"10,974元/平"
长开小区精装低价好房拎包入住，欢迎咨询,长开小区 -七里墩,2室1厅 | 69.25平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 3个月以前发布,56,"8,087元/平"
和谐家园精装好房价格可谈，欢迎咨询,和谐家园(孙家坪路) -七里墩,2室2厅 | 95平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 3个月以前发布,75,"7,895元/平"
标准的小三室 南北通透  满五唯一,天光集成电路厂家属区 -兰天,3室1厅 | 66平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,64,"9,697元/平"
户型方正  南北通透 交通便利,广厦小区 -秦州区,2室2厅 | 83.2平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,105,"12,621元/平"
坐北朝南.南北通透.光线充足.,东方红小区 -万达,2室2厅 | 103平米 | 南 北 | 简装 | 高楼层(共14层)  | 暂无数据,0人关注 / 3个月以前发布,80,"7,767元/平"
书香花苑 满五唯一 价格可议，中间楼层,书香花苑 -天水郡,2室1厅 | 82.85平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,72,"8,691元/平"
师院旁边两居室，大产权  可按揭,紫薇苑 -天水郡,2室2厅 | 75平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,70,"9,334元/平"
总价低，大两室，可按揭，产权清晰,二一三家园 -西十里,2室2厅 | 87平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 9个月以前发布,65,"7,472元/平"
师院精装三居室，首付三十万左右可按揭,园丁苑 -天水郡,3室2厅 | 112平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,100,"8,929元/平"
刚需两室  南北格局   看房方便  价位优惠,恒顺锦润悦府 -成纪新城,2室2厅 | 94平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,2人关注 / 7个月以前发布,88,"9,362元/平"
逸夫公园片区 精装修  大开间 中间楼层 南北通透,华泰苑小区 -秦州区,2室2厅 | 99.13平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,126,"12,711元/平"
兰天新华苑 简单2室 建一片区 南北通透 带电梯,兰天新华苑 -东桥头,2室2厅 | 89平米 | 南 北 | 简装 | 中楼层(共12层)  | 平房,1人关注 / 一年前发布,118,"13,259元/平"
精品两居室 南北朝向 采光充沛  电梯房,供电局家属楼 -分路口,2室2厅 | 110.17平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 4个月以前发布,69.5,"6,309元/平"
逸夫 公园 采光好 环境好 南北通透 可落户,华泰苑小区 -秦州区,2室2厅 | 99.8平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,115,"11,524元/平"
逸夫公园片区 精装修  大开间 中间楼层 南北通透,华泰苑小区 -秦州区,2室2厅 | 99.13平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,126,"12,711元/平"
南北通透  拎包入住  满五不唯一  互相方正,长材家属院 -秦州区,2室2厅 | 72平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,75,"10,417元/平"
满五唯一，南北朝向，采光充足，中间楼层，逸夫片区,家园小区 -秦州区,2室2厅 | 87.75平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,87,"9,915元/平"
一梯两户，中间楼层，两室一厅一卫，小区环境优美,碧桂园 -成纪新城,2室2厅 | 85平米 | 东南 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,93,"10,942元/平"
出售公路段旁鸿泰家园，两室一厅，满五唯一，大产权,鸿泰家园 -天水郡,2室1厅 | 61.77平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 一年前发布,50,"8,095元/平"
师院旁边精装两居室，南北通透，无公摊,华港兴居 -天水郡,2室2厅 | 103.56平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,85,"8,208元/平"
